,number,value,datetime_start,datetime_complete,duration,params_ADSK_XLNX_beta_win,params_ADSK_XLNX_stop_loss,params_ADSK_XLNX_trade_freq,params_ADSK_XLNX_z_entry,params_ADSK_XLNX_z_exit,params_ADSK_XLNX_z_stop_scaler,params_ADSK_XLNX_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MAR_INCY_beta_win,params_MAR_INCY_stop_loss,params_MAR_INCY_trade_freq,params_MAR_INCY_z_entry,params_MAR_INCY_z_exit,params_MAR_INCY_z_stop_scaler,params_MAR_INCY_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.729339608154278,2025-06-15 00:20:03.030387,2025-06-15 00:20:04.259919,0 days 00:00:01.229532,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,1.789136160693432,2025-06-15 00:20:04.357441,2025-06-15 00:20:05.593606,0 days 00:00:01.236165,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-6.896035361586211,2025-06-15 00:20:05.652606,2025-06-15 00:20:09.104808,0 days 00:00:03.452202,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,-1.4514355087121313,2025-06-15 00:20:09.175817,2025-06-15 00:20:11.028334,0 days 00:00:01.852517,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,-0.9708176125404236,2025-06-15 00:20:11.073338,2025-06-15 00:20:12.818710,0 days 00:00:01.745372,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,-3.3284012756911023,2025-06-15 00:20:12.862709,2025-06-15 00:20:15.692108,0 days 00:00:02.829399,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,3.417417257138382,2025-06-15 00:20:15.750112,2025-06-15 00:20:17.393708,0 days 00:00:01.643596,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,0.45,4,COMPLETE
7,7,-0.3013871087008186,2025-06-15 00:20:17.477720,2025-06-15 00:20:18.778701,0 days 00:00:01.300981,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,0.06028931115469917,2025-06-15 00:20:18.856212,2025-06-15 00:20:21.774702,0 days 00:00:02.918490,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,172.0,0.001,2m,2.5,4.0,1.8,892.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,-0.9636708353371924,2025-06-15 00:20:21.844216,2025-06-15 00:20:25.950085,0 days 00:00:04.105869,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
10,10,2.181380678857829,2025-06-15 00:20:26.034604,2025-06-15 00:20:34.738183,0 days 00:00:08.703579,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,2.3850336221970725,2025-06-15 00:20:34.800222,2025-06-15 00:20:35.336426,0 days 00:00:00.536204,,,,,,,,,,,,,,,,,,,,,,636,0.006,1m,3.0,1.0,0.5,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,1.2430829619459463,2025-06-15 00:20:35.406947,2025-06-15 00:20:35.964771,0 days 00:00:00.557824,,,,,,,,,,,,,,,,,,,,,,708,0.006,1m,3.5,1.0,0.5,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
13,13,-2.8540651960315246,2025-06-15 00:20:36.031961,2025-06-15 00:20:36.944639,0 days 00:00:00.912678,,,,,,,,,,,,,,,,,,,,,,752,0.007,1m,3.0,1.0,1.0,794,,,,,,,,492.0,0.006,2m,2.0,1.0,1.0,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
14,14,0.059744351899372834,2025-06-15 00:20:36.998162,2025-06-15 00:20:39.329076,0 days 00:00:02.330914,,,,,,,,86.0,0.01,1m,4.0,1.5,0.5,66.0,,,,,,,,44,0.004,1m,3.5,2.0,0.7,530,,,,,,,,482.0,0.004,1m,4.0,1.5,0.5,770.0,40.0,0.01,3m,1.5,1.0,1.7000000000000002,62.0,,,,,,,,362.0,0.001,3m,1.0,4.0,1.3,1000.0,988.0,0.01,2m,4.0,2.0,0.5,816.0,0.5,6,COMPLETE
15,15,-3.6861426179144376,2025-06-15 00:20:39.397585,2025-06-15 00:20:41.146425,0 days 00:00:01.748840,,,,,,,,,,,,,,,,,,,,,,512,0.007,1m,2.5,2.5,1.5,880,,,,,,,,678.0,0.008,2m,2.0,2.0,1.1,42.0,356.0,0.004,4m,3.5,2.0,0.9,172.0,,,,,,,,418.0,0.008,2m,2.0,3.0,1.6,702.0,,,,,,,,0.3,4,COMPLETE
16,16,2.208181887241703,2025-06-15 00:20:41.739260,2025-06-15 00:20:42.263910,0 days 00:00:00.524650,,,,,,,,,,,,,,,,,,,,,,786,0.002,1m,4.0,1.0,1.1,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
17,17,-3.862120215425995,2025-06-15 00:20:42.324936,2025-06-15 00:20:43.990867,0 days 00:00:01.665931,,,,,,,,,,,,,,,,,,,,,,474,0.007,1m,3.5,1.5,0.7,1004,,,,,,,,352.0,0.001,2m,3.0,2.0,0.5,246.0,254.0,0.004,3m,3.0,1.0,2.0,296.0,,,,,,,,688.0,0.002,2m,1.0,4.0,1.0,796.0,,,,,,,,0.25,4,COMPLETE
18,18,-3.678168006018147,2025-06-15 00:20:44.046901,2025-06-15 00:20:46.779397,0 days 00:00:02.732496,,,,,,,,694.0,0.001,1m,4.0,2.0,0.6,28.0,,,,,,,,868,0.01,2m,2.0,3.0,1.6,600,,,,,,,,576.0,0.005,1m,1.0,1.0,1.3,598.0,16.0,0.01,3m,2.0,2.0,1.5,238.0,,,,,,,,212.0,0.008,3m,2.0,2.5,1.5,460.0,598.0,0.001,1m,1.0,3.0,2.0,696.0,0.35000000000000003,6,COMPLETE
19,19,1.4152078935843544,2025-06-15 00:20:46.851915,2025-06-15 00:20:47.861336,0 days 00:00:01.009421,,,,,,,,,,,,,,,,,,,,,,574,0.005,1m,3.0,2.0,0.6,910,,,,,,,,388.0,0.008,2m,2.0,2.0,0.9,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
20,20,0.6306130390894105,2025-06-15 00:20:47.932537,2025-06-15 00:20:48.937429,0 days 00:00:01.004892,,,,,,,,,,,,,,,,,,,,,,184,0.005,1m,4.0,1.0,1.0,460,,,,,,,,676.0,0.006,2m,4.0,2.5,0.7,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
21,21,2.234989707064856,2025-06-15 00:20:49.004949,2025-06-15 00:20:49.549983,0 days 00:00:00.545034,,,,,,,,,,,,,,,,,,,,,,782,0.001,1m,4.0,1.0,1.1,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
22,22,-5.126996463184189,2025-06-15 00:20:49.616501,2025-06-15 00:20:50.181600,0 days 00:00:00.565099,,,,,,,,,,,,,,,,,,,,,,636,0.002,1m,3.5,1.5,1.5,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
23,23,-0.2853383292755959,2025-06-15 00:20:50.247807,2025-06-15 00:20:52.203518,0 days 00:00:01.955711,,,,,,,,,,,,,,,,,,,,,,850,0.002,1m,4.0,1.0,0.8,682,,,,,,,,312.0,0.003,3m,3.0,1.5,1.2000000000000002,276.0,510.0,0.004,4m,3.0,1.5,0.5,28.0,,,,,,,,762.0,0.009000000000000001,2m,3.0,3.0,1.0,1008.0,,,,,,,,0.4,4,COMPLETE
24,24,-2.025100035809294,2025-06-15 00:20:52.286541,2025-06-15 00:20:53.241208,0 days 00:00:00.954667,,,,,,,,,,,,,,,,,,,,,,418,0.003,1m,3.5,1.5,0.6,618,,,,,,,,1002.0,0.008,4m,1.5,3.5,1.4,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
25,25,4.282363392802151,2025-06-15 00:20:53.315244,2025-06-15 00:20:54.753020,0 days 00:00:01.437776,,,,,,,,,,,,,,,,,,,,,,684,0.008,1m,4.0,1.0,0.7,836,,,,,,,,600.0,0.005,1m,2.5,2.5,1.0,872.0,502.0,0.001,3m,1.0,4.0,1.2000000000000002,666.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
26,26,5.012146086768114,2025-06-15 00:20:54.833046,2025-06-15 00:20:56.274356,0 days 00:00:01.441310,,,,,,,,,,,,,,,,,,,,,,630,0.008,2m,3.0,1.5,0.7,966,,,,,,,,564.0,0.005,1m,2.5,2.5,1.0,848.0,536.0,0.001,3m,1.0,4.0,1.2000000000000002,624.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
27,27,1.6680901770696734,2025-06-15 00:20:56.350376,2025-06-15 00:20:58.331602,0 days 00:00:01.981226,,,,,,,,,,,,,,,,,,,,,,676,0.008,2m,2.5,1.5,0.7,832,,,,,,,,576.0,0.005,1m,2.5,2.5,1.0,848.0,554.0,0.001,3m,1.0,4.0,1.2000000000000002,674.0,,,,,,,,282.0,0.003,2m,2.0,3.5,2.0,420.0,,,,,,,,0.25,4,COMPLETE
28,28,-2.895917165473931,2025-06-15 00:20:58.395609,2025-06-15 00:21:00.791294,0 days 00:00:02.395685,,,,,,,,,,,,,,,,,,,,,,560,0.01,2m,3.5,2.0,0.9,928,,,,,,,,596.0,0.004,1m,3.0,2.5,0.9,824.0,660.0,0.001,3m,1.5,4.0,1.2000000000000002,652.0,,,,,,,,476.0,0.006,4m,3.5,1.0,1.5,624.0,326.0,0.001,2m,2.0,1.0,0.9,588.0,0.3,5,COMPLETE
29,29,3.8756254892192357,2025-06-15 00:21:00.877818,2025-06-15 00:21:02.337672,0 days 00:00:01.459854,,,,,,,,,,,,,,,,,,,,,,328,0.008,3m,2.0,2.0,0.6,538,,,,,,,,438.0,0.007,1m,2.5,2.0,0.7,1022.0,424.0,0.003,3m,1.0,4.0,1.0,352.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
30,30,3.3388793837040454,2025-06-15 00:21:02.415185,2025-06-15 00:21:03.904693,0 days 00:00:01.489508,,,,,,,,,,,,,,,,,,,,,,394,0.008,3m,2.0,2.0,0.9,436,,,,,,,,448.0,0.006,1m,2.0,1.5,0.6,1016.0,412.0,0.003,3m,1.0,4.0,0.8,406.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
31,31,3.8767690390772156,2025-06-15 00:21:03.989204,2025-06-15 00:21:05.467989,0 days 00:00:01.478785,,,,,,,,,,,,,,,,,,,,,,252,0.008,3m,1.5,1.5,0.6,540,,,,,,,,736.0,0.007,1m,2.5,2.0,0.8,932.0,448.0,0.002,3m,1.0,4.0,1.0,278.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
32,32,2.4567235513754553,2025-06-15 00:21:05.533502,2025-06-15 00:21:07.045810,0 days 00:00:01.512308,,,,,,,,,,,,,,,,,,,,,,362,0.007,3m,1.5,1.5,0.7,524,,,,,,,,720.0,0.007,1m,2.5,2.0,1.1,914.0,456.0,0.002,3m,1.0,4.0,1.0,532.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
33,33,1.3569961373153965,2025-06-15 00:21:07.142320,2025-06-15 00:21:08.524020,0 days 00:00:01.381700,,,,,,,,,,,,,,,,,,,,,,300,0.008,3m,1.0,2.0,0.6,346,,,,,,,,760.0,0.005,1m,2.5,2.0,0.8,938.0,650.0,0.001,3m,1.5,3.5,1.3,372.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
34,34,0.15588170935738405,2025-06-15 00:21:08.591127,2025-06-15 00:21:09.570781,0 days 00:00:00.979654,,,,,,,,,,,,,,,,,,,,,,138,0.01,3m,1.5,2.5,0.8,134,,,,,,,,420.0,0.006,1m,3.0,1.5,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
35,35,-5.500185453087241,2025-06-15 00:21:09.641569,2025-06-15 00:21:11.047893,0 days 00:00:01.406324,,,,,,,,,,,,,,,,,,,,,,252,0.009000000000000001,3m,2.0,1.5,0.5,584,,,,,,,,534.0,0.003,1m,2.0,2.0,0.7,1010.0,286.0,0.003,3m,1.0,4.0,0.9,148.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
36,36,-0.8925173069458325,2025-06-15 00:21:11.121498,2025-06-15 00:21:13.307013,0 days 00:00:02.185515,,,,,,,,,,,,,,,,,,,,,,494,0.007,2m,1.0,2.0,0.7,418,,,,,,,,772.0,0.005,1m,2.5,2.5,1.2000000000000002,742.0,468.0,0.003,3m,2.0,3.5,1.1,648.0,,,,,,,,828.0,0.001,3m,3.5,1.0,0.5,44.0,780.0,0.008,1m,4.0,2.0,1.6,970.0,0.2,5,COMPLETE
37,37,4.52140526896144,2025-06-15 00:21:13.380355,2025-06-15 00:21:14.855713,0 days 00:00:01.475358,,,,,,,,,,,,,,,,,,,,,,214,0.008,4m,1.5,1.5,0.6,370,,,,,,,,628.0,0.002,1m,2.0,2.5,0.9,874.0,566.0,0.002,3m,1.5,4.0,1.4,324.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
38,38,2.5548755930509612,2025-06-15 00:21:14.939251,2025-06-15 00:21:18.084191,0 days 00:00:03.144940,,,,,,,,,,,,,,,,,,,,,,218,0.009000000000000001,4m,1.5,1.5,1.8,208,,,,,,,,942.0,0.002,1m,2.0,3.0,0.9,894.0,634.0,0.001,3m,1.5,4.0,1.4,770.0,,,,,,,,564.0,0.004,1m,1.5,2.0,0.7,376.0,,,,,,,,0.1,4,COMPLETE
39,39,-7.863003144433249,2025-06-15 00:21:18.184706,2025-06-15 00:21:22.999669,0 days 00:00:04.814963,,,,,,,,,,,,,,,,,,,,,,590,0.008,4m,1.0,4.0,1.0,224,,,,,,,,628.0,0.002,1m,1.5,2.5,1.1,676.0,728.0,0.002,3m,2.0,3.5,1.7000000000000002,496.0,,,,,,,,84.0,0.003,3m,2.5,2.5,1.1,726.0,250.0,0.004,3m,1.5,4.0,0.5,90.0,0.3,5,COMPLETE
40,40,3.6799146072609945,2025-06-15 00:21:23.116198,2025-06-15 00:21:30.513519,0 days 00:00:07.397321,,,,,,,,16.0,0.01,2m,2.5,2.5,0.9,992.0,,,,,,,,28,0.009000000000000001,4m,2.5,1.5,1.3,372,,,,,,,,908.0,0.002,1m,2.0,3.5,1.0,862.0,578.0,0.001,3m,1.0,4.0,1.4,900.0,1000.0,0.01,1m,4.0,4.0,0.6,1024.0,850.0,0.005,4m,3.5,2.0,0.7,530.0,704.0,0.004,4m,2.5,2.5,0.9,448.0,0.15000000000000002,7,COMPLETE
41,41,1.2660597182020925,2025-06-15 00:21:30.619038,2025-06-15 00:21:33.204056,0 days 00:00:02.585018,,,,,,,,,,,,,,,,,,,,,,358,0.008,4m,2.0,2.5,0.6,278,,,,,,,,514.0,0.008,1m,3.0,2.0,0.7,960.0,416.0,0.002,3m,1.0,4.0,1.2000000000000002,308.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
42,42,4.9040784113738285,2025-06-15 00:21:33.322083,2025-06-15 00:21:34.949894,0 days 00:00:01.627811,,,,,,,,,,,,,,,,,,,,,,116,0.008,3m,1.5,1.5,0.8,480,,,,,,,,634.0,0.009000000000000001,1m,2.5,3.0,0.6,968.0,506.0,0.003,1m,1.5,4.0,1.0,228.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
43,43,1.6626527353250602,2025-06-15 00:21:35.012903,2025-06-15 00:21:36.063610,0 days 00:00:01.050707,,,,,,,,,,,,,,,,,,,,,,126,0.007,3m,1.5,1.5,0.8,474,,,,,,,,808.0,0.009000000000000001,1m,2.5,3.0,0.6,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
44,44,-0.43779542162692364,2025-06-15 00:21:36.136122,2025-06-15 00:21:38.017076,0 days 00:00:01.880954,,,,,,,,,,,,,,,,,,,,,,84,0.01,2m,1.0,3.5,0.9,292,,,,,,,,622.0,0.009000000000000001,1m,3.0,3.0,0.8,818.0,492.0,0.002,1m,1.5,3.5,1.3,182.0,,,,,,,,646.0,0.007,4m,1.5,1.0,1.1,144.0,,,,,,,,0.15000000000000002,4,COMPLETE
45,45,-2.1588297629786193,2025-06-15 00:21:38.092587,2025-06-15 00:21:39.629180,0 days 00:00:01.536593,,,,,,,,,,,,,,,,,,,,,,158,0.009000000000000001,4m,1.5,1.5,0.5,382,,,,,,,,736.0,0.009000000000000001,3m,2.0,2.5,0.6,724.0,594.0,0.001,1m,1.5,4.0,0.8,94.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
46,46,2.2726948920057635,2025-06-15 00:21:39.684179,2025-06-15 00:21:40.660394,0 days 00:00:00.976215,,,,,,,,,,,,,,,,,,,,,,236,0.006,3m,1.5,1.0,0.8,954,,,,,,,,644.0,0.004,1m,2.5,3.0,0.9,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
47,47,3.8068023144557404,2025-06-15 00:21:40.726902,2025-06-15 00:21:42.689578,0 days 00:00:01.962676,,,,,,,,,,,,,,,,,,,,,,98,0.008,2m,2.5,1.0,0.7,868,,,,,,,,534.0,0.003,4m,3.5,3.0,0.8,964.0,532.0,0.005,1m,2.0,2.5,1.1,248.0,,,,,,,,506.0,0.002,1m,2.5,4.0,1.8,384.0,,,,,,,,0.05,4,COMPLETE
48,48,-1.1921348608407516,2025-06-15 00:21:42.752101,2025-06-15 00:21:45.047056,0 days 00:00:02.294955,,,,,,,,,,,,,,,,,,,,,,712,0.007,4m,1.5,1.0,0.5,812,,,,,,,,802.0,0.006,1m,2.5,3.0,1.3,784.0,342.0,0.002,1m,1.5,3.5,0.9,602.0,,,,,,,,352.0,0.004,3m,4.0,2.5,1.4,328.0,366.0,0.01,3m,3.5,3.0,1.3,768.0,0.25,5,COMPLETE
49,49,-7.7131726084169925,2025-06-15 00:21:45.108056,2025-06-15 00:21:49.143942,0 days 00:00:04.035886,1004.0,0.005,2m,1.0,1.5,1.5,1016.0,662.0,0.001,3m,1.5,1.0,2.0,310.0,,,,,,,,1018,0.009000000000000001,3m,2.0,2.0,2.0,558,32.0,0.01,2m,4.0,4.0,2.0,1018.0,864.0,0.004,3m,1.5,2.5,2.0,906.0,714.0,0.003,4m,1.0,3.5,1.5,448.0,32.0,0.001,3m,3.5,4.0,2.0,36.0,754.0,0.007,4m,1.0,3.5,0.9,524.0,210.0,0.008,4m,1.5,1.5,1.8,20.0,0.3,9,COMPLETE
50,50,-2.0857362282167626,2025-06-15 00:21:49.215951,2025-06-15 00:21:50.180148,0 days 00:00:00.964197,,,,,,,,,,,,,,,,,,,,,,452,0.006,3m,1.0,3.0,0.6,658,,,,,,,,654.0,0.01,1m,2.0,3.5,1.1,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
51,51,2.022233025926535,2025-06-15 00:21:50.256668,2025-06-15 00:21:51.789957,0 days 00:00:01.533289,,,,,,,,,,,,,,,,,,,,,,304,0.008,3m,2.0,2.0,0.6,500,,,,,,,,554.0,0.007,1m,2.5,2.5,0.6,974.0,414.0,0.003,3m,1.0,4.0,1.0,346.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
52,52,0.98545153189367,2025-06-15 00:21:51.823472,2025-06-15 00:21:53.151022,0 days 00:00:01.327550,,,,,,,,,,,,,,,,,,,,,,216,0.008,3m,1.5,1.5,0.7,402,,,,,,,,460.0,0.007,1m,2.5,2.0,0.7,1024.0,460.0,0.002,2m,1.0,4.0,1.0,226.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
53,53,2.155306998883842,2025-06-15 00:21:53.220048,2025-06-15 00:21:54.712095,0 days 00:00:01.492047,,,,,,,,,,,,,,,,,,,,,,286,0.007,3m,2.0,1.5,0.8,566,,,,,,,,694.0,0.009000000000000001,1m,2.5,2.5,0.5,930.0,518.0,0.005,1m,1.0,4.0,1.2000000000000002,374.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
54,54,2.7996345203178197,2025-06-15 00:21:54.784631,2025-06-15 00:21:56.667522,0 days 00:00:01.882891,,,,,,,,,,,,,,,,,,,,,,176,0.009000000000000001,3m,2.0,2.0,0.5,638,,,,,,,,294.0,0.008,1m,3.0,2.0,0.9,790.0,588.0,0.001,3m,1.5,3.5,1.1,324.0,,,,,,,,872.0,0.002,1m,3.0,2.0,1.2000000000000002,24.0,,,,,,,,0.2,4,COMPLETE
55,55,-1.2922632068604163,2025-06-15 00:21:56.729040,2025-06-15 00:21:57.727274,0 days 00:00:00.998234,,,,,,,,,,,,,,,,,,,,,,608,0.009000000000000001,2m,1.0,1.5,0.6,492,,,,,,,,612.0,0.005,4m,2.5,2.5,0.7,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
56,56,3.4394269526193333,2025-06-15 00:21:57.814294,2025-06-15 00:21:59.422322,0 days 00:00:01.608028,,,,,,,,,,,,,,,,,,,,,,336,0.007,4m,3.0,1.0,0.9,964,,,,,,,,500.0,0.007,1m,2.0,1.5,0.8,980.0,368.0,0.002,3m,1.0,4.0,0.7,714.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
