,number,value,datetime_start,datetime_complete,duration,params_ADI_INTC_beta_win,params_ADI_INTC_stop_loss,params_ADI_INTC_trade_freq,params_ADI_INTC_z_entry,params_ADI_INTC_z_exit,params_ADI_INTC_z_stop_scaler,params_ADI_INTC_z_win,params_AEP_TXN_beta_win,params_AEP_TXN_stop_loss,params_AEP_TXN_trade_freq,params_AEP_TXN_z_entry,params_AEP_TXN_z_exit,params_AEP_TXN_z_stop_scaler,params_AEP_TXN_z_win,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_GOOG_INTC_beta_win,params_GOOG_INTC_stop_loss,params_GOOG_INTC_trade_freq,params_GOOG_INTC_z_entry,params_GOOG_INTC_z_exit,params_GOOG_INTC_z_stop_scaler,params_GOOG_INTC_z_win,params_ILMN_PANW_beta_win,params_ILMN_PANW_stop_loss,params_ILMN_PANW_trade_freq,params_ILMN_PANW_z_entry,params_ILMN_PANW_z_exit,params_ILMN_PANW_z_stop_scaler,params_ILMN_PANW_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_MNST_TXN_beta_win,params_MNST_TXN_stop_loss,params_MNST_TXN_trade_freq,params_MNST_TXN_z_entry,params_MNST_TXN_z_exit,params_MNST_TXN_z_stop_scaler,params_MNST_TXN_z_win,params_SIRI_TXN_beta_win,params_SIRI_TXN_stop_loss,params_SIRI_TXN_trade_freq,params_SIRI_TXN_z_entry,params_SIRI_TXN_z_exit,params_SIRI_TXN_z_stop_scaler,params_SIRI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-6.758822199927012,2025-06-15 00:36:58.537371,2025-06-15 00:36:59.713922,0 days 00:00:01.176551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,0.002,4m,3.0,2.5,1.3,662.0,610,0.005,3m,3.5,1.0,1.6,892,,,,,,,,,,,,,,,0.1,2,COMPLETE
21,21,8.221149155775075,2025-06-15 00:36:59.771433,2025-06-15 00:37:02.952345,0 days 00:00:03.180912,,,,,,,,330.0,0.003,1m,1.5,2.0,0.5,64.0,24.0,0.009000000000000001,1m,4.0,1.0,0.5,116.0,724.0,0.001,3m,1.0,1.0,1.2000000000000002,606.0,,,,,,,,,,,,,,,920.0,0.003,3m,1.0,1.0,1.1,392.0,638,0.01,1m,1.0,3.5,1.3,458,582.0,0.01,3m,2.0,3.0,0.5,1000.0,,,,,,,,0.5,6,COMPLETE
22,22,9.506682341888427,2025-06-15 00:37:03.059874,2025-06-15 00:37:06.865049,0 days 00:00:03.805175,,,,,,,,236.0,0.003,1m,1.0,2.5,0.5,50.0,242.0,0.007,1m,3.5,1.0,0.9,282.0,840.0,0.001,3m,1.5,1.5,1.0,724.0,,,,,,,,22.0,0.001,3m,3.5,4.0,1.2000000000000002,1008.0,900.0,0.004,3m,1.5,1.0,1.0,412.0,474,0.009000000000000001,1m,1.0,4.0,1.3,480,650.0,0.01,3m,2.5,3.0,0.7,1010.0,,,,,,,,0.45,7,COMPLETE
23,23,6.967916473297935,2025-06-15 00:37:06.963571,2025-06-15 00:37:10.674018,0 days 00:00:03.710447,,,,,,,,216.0,0.003,1m,2.0,2.5,0.5,20.0,214.0,0.007,1m,3.5,1.0,0.9,268.0,744.0,0.001,3m,1.0,1.0,0.9,770.0,,,,,,,,46.0,0.001,3m,3.5,4.0,1.2000000000000002,1012.0,916.0,0.004,3m,1.0,1.0,1.0,228.0,386,0.01,1m,1.0,4.0,1.1,494,710.0,0.01,3m,1.5,3.0,0.9,728.0,,,,,,,,0.45,7,COMPLETE
24,24,5.876154400657261,2025-06-15 00:37:10.750027,2025-06-15 00:37:15.246031,0 days 00:00:04.496004,,,,,,,,212.0,0.003,1m,2.0,2.5,0.5,16.0,220.0,0.007,1m,3.5,1.0,0.9,266.0,790.0,0.001,3m,1.0,1.0,0.9,740.0,,,,,,,,42.0,0.001,3m,3.5,4.0,1.3,1006.0,934.0,0.004,3m,1.5,1.0,1.0,238.0,460,0.01,1m,1.0,4.0,1.1,626,726.0,0.01,3m,1.5,3.0,0.9,804.0,76.0,0.01,3m,4.0,4.0,2.0,36.0,0.45,8,COMPLETE
25,25,1.1045837946005104,2025-06-15 00:37:15.316544,2025-06-15 00:37:18.958793,0 days 00:00:03.642249,,,,,,,,46.0,0.004,1m,1.5,2.5,0.7,160.0,200.0,0.008,1m,3.5,1.0,0.9,230.0,664.0,0.001,3m,1.0,1.0,1.0,698.0,,,,,,,,22.0,0.001,3m,3.0,3.5,1.1,1000.0,722.0,0.004,3m,1.0,1.5,1.0,22.0,716,0.01,1m,1.0,4.0,1.0,448,624.0,0.009000000000000001,3m,1.5,3.0,0.6,1014.0,,,,,,,,0.4,7,COMPLETE
26,26,6.615484273346359,2025-06-15 00:37:19.046795,2025-06-15 00:37:23.163593,0 days 00:00:04.116798,,,,,,,,224.0,0.003,1m,2.0,1.5,0.9,124.0,204.0,0.008,1m,3.5,1.5,0.7,198.0,862.0,0.003,3m,1.5,1.5,0.7,804.0,,,,,,,,212.0,0.003,3m,3.0,2.5,1.4,860.0,906.0,0.002,3m,1.5,1.0,0.8,142.0,172,0.007,1m,1.0,4.0,1.1,752,736.0,0.01,3m,2.5,3.0,1.0,780.0,1022.0,0.006,2m,1.0,2.5,1.3,1016.0,0.4,8,COMPLETE
27,27,5.200069846264397,2025-06-15 00:37:23.249613,2025-06-15 00:37:26.404590,0 days 00:00:03.154977,,,,,,,,138.0,0.004,1m,1.0,2.5,0.5,258.0,540.0,0.006,1m,4.0,1.5,1.1,482.0,590.0,0.001,3m,1.5,2.0,1.1,956.0,,,,,,,,,,,,,,,762.0,0.005,3m,2.0,1.5,1.1,282.0,864,0.008,1m,1.5,3.5,0.9,600,982.0,0.008,3m,1.5,3.5,0.7,576.0,,,,,,,,0.45,6,COMPLETE
28,28,7.6728654089388915,2025-06-15 00:37:26.474114,2025-06-15 00:37:31.075802,0 days 00:00:04.601688,,,,,,,,452.0,0.002,4m,2.0,2.0,0.7,104.0,24.0,0.009000000000000001,1m,3.0,1.0,0.7,356.0,722.0,0.002,3m,1.0,1.0,0.8,614.0,998.0,0.005,2m,1.0,1.0,1.5,990.0,176.0,0.003,3m,4.0,3.5,0.9,814.0,1020.0,0.002,3m,1.0,1.0,0.6,426.0,582,0.002,1m,1.0,4.0,1.2000000000000002,504,666.0,0.009000000000000001,3m,2.0,2.0,0.7,840.0,1024.0,0.01,4m,4.0,2.5,2.0,144.0,0.5,9,COMPLETE
29,29,4.801649861383945,2025-06-15 00:37:31.136325,2025-06-15 00:37:36.289191,0 days 00:00:05.152866,1018.0,0.001,1m,1.0,4.0,2.0,1020.0,452.0,0.002,4m,1.5,1.0,0.7,132.0,38.0,0.009000000000000001,2m,3.0,2.0,0.5,394.0,900.0,0.003,3m,1.5,1.5,0.7,620.0,1006.0,0.005,2m,1.0,1.0,1.5,998.0,196.0,0.003,1m,4.0,3.0,0.8,796.0,1020.0,0.002,3m,1.5,1.5,0.5,436.0,606,0.002,1m,1.5,3.0,1.3,356,478.0,0.008,3m,2.5,2.0,0.5,890.0,1018.0,0.01,4m,4.0,2.5,2.0,16.0,0.5,10,COMPLETE
