,number,value,datetime_start,datetime_complete,duration,params_ABNB_ROST_beta_win,params_ABNB_ROST_stop_loss,params_ABNB_ROST_trade_freq,params_ABNB_ROST_z_entry,params_ABNB_ROST_z_exit,params_ABNB_ROST_z_stop_scaler,params_ABNB_ROST_z_win,params_ADI_IDXX_beta_win,params_ADI_IDXX_stop_loss,params_ADI_IDXX_trade_freq,params_ADI_IDXX_z_entry,params_ADI_IDXX_z_exit,params_ADI_IDXX_z_stop_scaler,params_ADI_IDXX_z_win,params_ADSK_IDXX_beta_win,params_ADSK_IDXX_stop_loss,params_ADSK_IDXX_trade_freq,params_ADSK_IDXX_z_entry,params_ADSK_IDXX_z_exit,params_ADSK_IDXX_z_stop_scaler,params_ADSK_IDXX_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_DLTR_IDXX_beta_win,params_DLTR_IDXX_stop_loss,params_DLTR_IDXX_trade_freq,params_DLTR_IDXX_z_entry,params_DLTR_IDXX_z_exit,params_DLTR_IDXX_z_stop_scaler,params_DLTR_IDXX_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_FISV_IDXX_beta_win,params_FISV_IDXX_stop_loss,params_FISV_IDXX_trade_freq,params_FISV_IDXX_z_entry,params_FISV_IDXX_z_exit,params_FISV_IDXX_z_stop_scaler,params_FISV_IDXX_z_win,params_MDLZ_MSFT_beta_win,params_MDLZ_MSFT_stop_loss,params_MDLZ_MSFT_trade_freq,params_MDLZ_MSFT_z_entry,params_MDLZ_MSFT_z_exit,params_MDLZ_MSFT_z_stop_scaler,params_MDLZ_MSFT_z_win,params_ROST_WDAY_beta_win,params_ROST_WDAY_stop_loss,params_ROST_WDAY_trade_freq,params_ROST_WDAY_z_entry,params_ROST_WDAY_z_exit,params_ROST_WDAY_z_stop_scaler,params_ROST_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
93,93,-0.9715411471690867,2025-06-15 01:07:01.481730,2025-06-15 01:07:03.539439,0 days 00:00:02.057709,,,,,,,,148,0.009000000000000001,4m,2.0,2.5,0.8,300,,,,,,,,,,,,,,,402.0,0.004,1m,3.0,2.0,0.6,680.0,,,,,,,,956.0,0.004,3m,3.5,3.0,1.4,32.0,,,,,,,,170.0,0.01,4m,1.0,3.5,0.8,792.0,,,,,,,,0.5,4,COMPLETE
94,94,5.673478503055469,2025-06-15 01:07:03.588447,2025-06-15 01:07:04.560646,0 days 00:00:00.972199,,,,,,,,74,0.01,4m,2.0,2.5,0.9,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,0.003,3m,3.0,3.0,1.4,116.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
95,95,-4.271772339806528,2025-06-15 01:07:04.614166,2025-06-15 01:07:05.225758,0 days 00:00:00.611592,,,,,,,,102,0.008,2m,1.5,3.0,1.0,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
96,96,3.3068890043766634,2025-06-15 01:07:05.302270,2025-06-15 01:07:06.830813,0 days 00:00:01.528543,,,,,,,,16,0.009000000000000001,3m,2.0,2.5,0.8,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0,0.007,1m,3.5,3.5,1.6,18.0,,,,,,,,60.0,0.008,3m,2.5,4.0,1.2000000000000002,714.0,,,,,,,,0.05,3,COMPLETE
97,97,2.1331334014404093,2025-06-15 01:07:06.905837,2025-06-15 01:07:07.921825,0 days 00:00:01.015988,,,,,,,,60,0.01,4m,2.0,3.0,0.9,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.0,0.005,1m,3.0,1.5,1.5,122.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
98,98,-1.4155626184326833,2025-06-15 01:07:07.964828,2025-06-15 01:07:09.328599,0 days 00:00:01.363771,,,,,,,,568,0.009000000000000001,2m,2.5,2.0,1.2000000000000002,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.0,0.004,3m,3.5,1.0,1.3,716.0,,,,,,,,286.0,0.009000000000000001,3m,2.0,2.5,0.7,36.0,,,,,,,,0.4,3,COMPLETE
99,99,0.9355630160843937,2025-06-15 01:07:09.411504,2025-06-15 01:07:10.651731,0 days 00:00:01.240227,,,,,,,,162,0.01,4m,3.5,2.5,0.7,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.006,1m,2.5,3.0,1.8,128.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
100,100,0.8006699833415112,2025-06-15 01:07:10.739240,2025-06-15 01:07:11.738929,0 days 00:00:00.999689,,,,,,,,38,0.009000000000000001,2m,2.0,3.5,1.0,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
101,101,3.8320539100756834,2025-06-15 01:07:11.836448,2025-06-15 01:07:13.750787,0 days 00:00:01.914339,,,,,,,,90,0.009000000000000001,4m,2.0,2.5,0.9,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.0,0.005,3m,3.5,3.5,1.5,652.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
102,102,3.720173315478225,2025-06-15 01:07:13.844306,2025-06-15 01:07:15.684682,0 days 00:00:01.840376,,,,,,,,54,0.008,4m,2.0,2.5,0.9,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.0,0.005,3m,3.5,3.5,1.6,702.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
103,103,2.56801575056398,2025-06-15 01:07:15.782201,2025-06-15 01:07:17.647238,0 days 00:00:01.865037,,,,,,,,126,0.009000000000000001,4m,2.0,2.5,0.8,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.0,0.003,3m,3.5,4.0,1.5,758.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
104,104,1.0769029335040674,2025-06-15 01:07:17.757753,2025-06-15 01:07:20.214288,0 days 00:00:02.456535,,,,,,,,76,0.01,4m,3.0,3.0,1.0,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.005,3m,4.0,3.5,1.7000000000000002,794.0,,,,,,,,16.0,0.008,2m,1.5,1.0,1.4,664.0,,,,,,,,0.15000000000000002,3,COMPLETE
105,105,4.159520716325843,2025-06-15 01:07:20.305294,2025-06-15 01:07:22.250450,0 days 00:00:01.945156,,,,,,,,32,0.009000000000000001,4m,1.5,2.5,0.9,448,,,,,,,,,,,,,,,668.0,0.001,2m,2.5,3.0,1.0,1010.0,,,,,,,,962.0,0.006,1m,3.5,3.5,1.4,578.0,,,,,,,,94.0,0.002,3m,3.5,3.0,1.1,168.0,,,,,,,,0.5,4,COMPLETE
106,106,3.116733712155442,2025-06-15 01:07:22.315975,2025-06-15 01:07:23.465305,0 days 00:00:01.149330,,,,,,,,110,0.01,4m,2.5,2.5,1.0,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.004,1m,3.0,3.0,1.6,832.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
107,107,1.9576174461702023,2025-06-15 01:07:23.534832,2025-06-15 01:07:24.164443,0 days 00:00:00.629611,,,,,,,,240,0.004,2m,2.0,1.0,0.8,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
108,108,3.007970064911976,2025-06-15 01:07:24.235960,2025-06-15 01:07:25.765611,0 days 00:00:01.529651,,,,,,,,50,0.008,4m,2.0,3.0,1.1,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,0.002,2m,3.5,1.5,1.1,876.0,,,,,,,,944.0,0.009000000000000001,3m,3.0,2.0,1.3,876.0,,,,,,,,0.45,3,COMPLETE
109,109,3.465413430354023,2025-06-15 01:07:25.826137,2025-06-15 01:07:26.375250,0 days 00:00:00.549113,,,,,,,,88,0.009000000000000001,1m,4.0,2.5,0.9,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
110,110,-3.47935313475972,2025-06-15 01:07:26.435283,2025-06-15 01:07:29.844420,0 days 00:00:03.409137,184.0,0.01,1m,2.5,2.5,2.0,330.0,396,0.009000000000000001,2m,2.5,2.0,0.7,110,,,,,,,,,,,,,,,340.0,0.009000000000000001,4m,3.0,1.5,1.2000000000000002,516.0,144.0,0.003,3m,3.0,1.5,0.8,842.0,858.0,0.004,4m,4.0,2.5,1.4,722.0,500.0,0.003,1m,1.0,4.0,1.8,698.0,216.0,0.006,4m,2.0,2.5,1.7000000000000002,938.0,,,,,,,,0.45,7,COMPLETE
111,111,1.8603455391826436,2025-06-15 01:07:29.891421,2025-06-15 01:07:31.766916,0 days 00:00:01.875495,,,,,,,,148,0.01,2m,3.0,3.0,1.2000000000000002,832,,,,,,,,,,,,,,,542.0,0.001,2m,2.5,2.0,2.0,432.0,,,,,,,,652.0,0.003,1m,4.0,1.5,1.2000000000000002,416.0,,,,,,,,218.0,0.009000000000000001,3m,2.0,2.5,1.2000000000000002,988.0,,,,,,,,0.5,4,COMPLETE
112,112,7.002541207581963,2025-06-15 01:07:31.838442,2025-06-15 01:07:33.890997,0 days 00:00:02.052555,,,,,,,,32,0.003,2m,3.0,3.0,1.1,782,,,,,,,,,,,,,,,568.0,0.002,2m,2.5,2.0,0.7,256.0,,,,,,,,690.0,0.003,1m,4.0,1.5,1.2000000000000002,444.0,,,,,,,,170.0,0.01,3m,2.0,2.5,1.3,1006.0,,,,,,,,0.5,4,COMPLETE
113,113,0.007516568261461117,2025-06-15 01:07:33.939021,2025-06-15 01:07:35.724784,0 days 00:00:01.785763,,,,,,,,872,0.005,2m,3.0,3.0,1.0,864,,,,,,,,,,,,,,,590.0,0.002,2m,2.5,2.5,0.8,250.0,,,,,,,,546.0,0.003,1m,1.5,1.5,1.2000000000000002,456.0,,,,,,,,138.0,0.01,3m,2.5,3.0,1.4,988.0,,,,,,,,0.5,4,COMPLETE
114,114,4.185828891890509,2025-06-15 01:07:35.796775,2025-06-15 01:07:38.138575,0 days 00:00:02.341800,,,,,,,,32,0.003,2m,3.5,3.0,1.1,790,,,,,,,,,,,,,,,744.0,0.003,2m,2.0,2.0,0.5,158.0,,,,,,,,770.0,0.002,1m,4.0,1.0,1.1,360.0,154.0,0.005,3m,4.0,3.0,1.6,110.0,56.0,0.01,3m,1.5,2.0,1.5,1024.0,,,,,,,,0.45,5,COMPLETE
115,115,7.301101720634367,2025-06-15 01:07:38.205577,2025-06-15 01:07:39.229801,0 days 00:00:01.024224,,,,,,,,60,0.001,2m,3.0,2.5,0.8,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.0,0.003,1m,3.5,3.5,1.3,626.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
116,116,-2.9730720831518904,2025-06-15 01:07:39.291801,2025-06-15 01:07:41.104779,0 days 00:00:01.812978,,,,,,,,72,0.001,2m,3.0,3.5,0.8,696,,,,,,,,,,,,,,,440.0,0.002,2m,1.5,1.5,0.6,102.0,,,,,,,,1000.0,0.003,1m,3.5,2.0,1.3,534.0,,,,,,,,336.0,0.01,3m,2.0,2.5,1.3,934.0,,,,,,,,0.45,4,COMPLETE
117,117,7.2892772211729895,2025-06-15 01:07:41.173287,2025-06-15 01:07:42.768138,0 days 00:00:01.594851,,,,,,,,120,0.003,2m,3.0,2.5,0.7,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,0.003,1m,3.0,2.0,1.0,640.0,,,,,,,,176.0,0.009000000000000001,3m,2.5,2.5,1.1,840.0,,,,,,,,0.4,3,COMPLETE
118,118,3.8245194181015636,2025-06-15 01:07:42.826663,2025-06-15 01:07:43.818009,0 days 00:00:00.991346,,,,,,,,122,0.004,2m,3.0,2.5,0.6,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,0.003,1m,3.0,1.5,1.0,616.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
119,119,8.097155721281782,2025-06-15 01:07:43.891009,2025-06-15 01:07:45.254291,0 days 00:00:01.363282,,,,,,,,20,0.003,2m,3.0,2.5,0.7,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,0.002,1m,2.5,2.0,1.0,588.0,,,,,,,,192.0,0.008,3m,2.5,2.0,1.0,836.0,,,,,,,,0.4,3,COMPLETE
120,120,-0.5451644399458998,2025-06-15 01:07:45.319398,2025-06-15 01:07:46.741765,0 days 00:00:01.422367,,,,,,,,58,0.003,2m,3.0,2.5,0.6,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,0.001,1m,2.5,2.0,1.0,590.0,,,,,,,,264.0,0.009000000000000001,3m,2.5,2.0,1.0,826.0,,,,,,,,0.4,3,COMPLETE
121,121,7.5367177739936055,2025-06-15 01:07:46.814381,2025-06-15 01:07:48.149822,0 days 00:00:01.335441,,,,,,,,20,0.003,2m,3.0,2.5,0.7,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.002,1m,2.5,2.0,1.1,632.0,,,,,,,,174.0,0.008,3m,2.5,2.0,1.1,850.0,,,,,,,,0.35000000000000003,3,COMPLETE
122,122,9.747066268777719,2025-06-15 01:07:48.205223,2025-06-15 01:07:49.483739,0 days 00:00:01.278516,,,,,,,,34,0.002,2m,3.0,2.5,0.7,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,0.002,1m,2.5,2.0,1.1,634.0,,,,,,,,182.0,0.008,3m,2.5,2.0,1.1,888.0,,,,,,,,0.3,3,COMPLETE
123,123,8.776887561896165,2025-06-15 01:07:49.550798,2025-06-15 01:07:51.062858,0 days 00:00:01.512060,,,,,,,,32,0.002,2m,3.0,2.5,0.7,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.0,0.002,1m,2.5,2.0,1.1,620.0,,,,,,,,184.0,0.008,3m,2.5,1.5,0.9,882.0,,,,,,,,0.25,3,COMPLETE
124,124,7.590118572857011,2025-06-15 01:07:51.137187,2025-06-15 01:07:52.482476,0 days 00:00:01.345289,,,,,,,,18,0.002,2m,3.0,2.5,0.7,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,0.002,1m,2.5,2.0,1.1,572.0,,,,,,,,192.0,0.008,3m,2.5,1.5,0.9,846.0,,,,,,,,0.25,3,COMPLETE
125,125,4.934380749150197,2025-06-15 01:07:52.534127,2025-06-15 01:07:53.908632,0 days 00:00:01.374505,,,,,,,,16,0.002,2m,3.0,2.5,0.7,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0,0.001,1m,2.5,2.0,1.1,568.0,,,,,,,,314.0,0.007,3m,3.0,1.5,0.9,890.0,,,,,,,,0.25,3,COMPLETE
126,126,4.986438482181513,2025-06-15 01:07:53.972298,2025-06-15 01:07:55.547804,0 days 00:00:01.575506,,,,,,,,44,0.002,2m,3.0,2.5,0.6,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,0.002,1m,2.5,2.0,1.1,612.0,,,,,,,,234.0,0.008,3m,2.5,1.5,0.8,734.0,,,,,,,,0.3,3,COMPLETE
127,127,-2.419103051662216,2025-06-15 01:07:55.589968,2025-06-15 01:07:56.939580,0 days 00:00:01.349612,,,,,,,,58,0.002,2m,3.0,2.5,0.5,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,0.002,1m,2.5,2.0,1.0,674.0,,,,,,,,270.0,0.008,3m,2.5,1.5,0.8,784.0,,,,,,,,0.25,3,COMPLETE
128,128,4.578381894471767,2025-06-15 01:07:57.006270,2025-06-15 01:07:58.461631,0 days 00:00:01.455361,,,,,,,,86,0.001,3m,3.0,2.5,0.7,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0,0.001,1m,2.0,2.0,1.1,540.0,,,,,,,,198.0,0.007,3m,3.0,1.0,1.0,852.0,,,,,,,,0.25,3,COMPLETE
129,129,3.2936057087954076,2025-06-15 01:07:58.515368,2025-06-15 01:07:59.476647,0 days 00:00:00.961279,,,,,,,,16,0.002,2m,3.0,2.0,0.6,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.0,0.002,1m,2.5,2.0,0.9,596.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
130,130,0.3658205110410451,2025-06-15 01:07:59.534242,2025-06-15 01:08:00.468718,0 days 00:00:00.934476,,,,,,,,36,0.001,2m,3.0,2.5,0.7,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,0.002,1m,2.0,2.0,1.2000000000000002,630.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
131,131,5.45414261415905,2025-06-15 01:08:00.535786,2025-06-15 01:08:01.961166,0 days 00:00:01.425380,,,,,,,,68,0.003,2m,3.0,2.5,0.7,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.0,0.002,1m,2.5,2.0,1.1,644.0,,,,,,,,108.0,0.008,3m,2.5,2.0,1.1,828.0,,,,,,,,0.25,3,COMPLETE
132,132,9.058278977283525,2025-06-15 01:08:02.019681,2025-06-15 01:08:03.491172,0 days 00:00:01.471491,,,,,,,,104,0.002,2m,3.0,2.5,0.8,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.0,0.002,1m,2.5,2.0,1.0,630.0,,,,,,,,168.0,0.008,3m,2.5,2.0,0.9,852.0,,,,,,,,0.35000000000000003,3,COMPLETE
133,133,8.520534677030616,2025-06-15 01:08:03.562041,2025-06-15 01:08:04.811240,0 days 00:00:01.249199,,,,,,,,100,0.002,2m,3.0,2.5,0.8,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,0.002,1m,2.5,2.0,1.0,598.0,,,,,,,,156.0,0.008,3m,2.5,1.5,0.9,918.0,,,,,,,,0.35000000000000003,3,COMPLETE
134,134,10.108766137314012,2025-06-15 01:08:04.859280,2025-06-15 01:08:06.231224,0 days 00:00:01.371944,,,,,,,,96,0.002,2m,3.0,2.5,0.8,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,0.002,1m,2.5,2.0,1.0,590.0,,,,,,,,158.0,0.008,3m,2.5,1.5,0.9,918.0,,,,,,,,0.35000000000000003,3,COMPLETE
135,135,8.107419318248166,2025-06-15 01:08:06.289885,2025-06-15 01:08:07.803037,0 days 00:00:01.513152,,,,,,,,98,0.002,2m,3.0,2.5,0.7,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,0.002,1m,2.5,2.0,1.0,574.0,,,,,,,,154.0,0.008,3m,2.5,1.5,0.9,912.0,,,,,,,,0.35000000000000003,3,COMPLETE
136,136,8.527037773767846,2025-06-15 01:08:07.851820,2025-06-15 01:08:09.147631,0 days 00:00:01.295811,,,,,,,,100,0.002,2m,3.0,2.5,0.6,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0,0.002,1m,2.5,2.0,1.0,566.0,,,,,,,,154.0,0.008,3m,2.5,1.5,0.9,916.0,,,,,,,,0.35000000000000003,3,COMPLETE
137,137,7.702914680631312,2025-06-15 01:08:09.206195,2025-06-15 01:08:10.602620,0 days 00:00:01.396425,,,,,,,,98,0.002,2m,3.0,2.5,0.5,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,0.001,1m,2.5,2.0,0.9,506.0,,,,,,,,134.0,0.008,3m,2.5,1.5,0.9,912.0,,,,,,,,0.35000000000000003,3,COMPLETE
138,138,6.76776751293628,2025-06-15 01:08:10.662436,2025-06-15 01:08:12.061760,0 days 00:00:01.399324,,,,,,,,102,0.002,2m,3.0,2.5,0.5,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.0,0.001,1m,2.5,2.0,0.9,522.0,,,,,,,,134.0,0.008,3m,2.5,1.5,0.9,924.0,,,,,,,,0.35000000000000003,3,COMPLETE
139,139,7.666936203970458,2025-06-15 01:08:12.120648,2025-06-15 01:08:13.668270,0 days 00:00:01.547622,,,,,,,,190,0.002,2m,3.0,2.5,0.6,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,0.001,1m,2.5,2.0,1.0,544.0,,,,,,,,150.0,0.008,3m,2.5,1.5,0.8,882.0,,,,,,,,0.35000000000000003,3,COMPLETE
140,140,3.825134904002337,2025-06-15 01:08:13.738483,2025-06-15 01:08:16.318321,0 days 00:00:02.579838,,,,,,,,94,0.002,2m,3.0,2.5,0.5,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,0.001,1m,2.5,2.0,0.8,592.0,,,,,,,,80.0,0.007,3m,2.5,1.5,1.0,912.0,,,,,,,,0.35000000000000003,3,COMPLETE
141,141,7.333020081469675,2025-06-15 01:08:16.417861,2025-06-15 01:08:18.932670,0 days 00:00:02.514809,,,,,,,,144,0.002,2m,3.0,2.5,0.6,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0,0.001,1m,2.5,2.0,1.0,546.0,,,,,,,,148.0,0.008,3m,2.5,1.5,0.8,878.0,,,,,,,,0.35000000000000003,3,COMPLETE
142,142,6.845311816224545,2025-06-15 01:08:19.026511,2025-06-15 01:08:21.298350,0 days 00:00:02.271839,,,,,,,,176,0.002,2m,3.0,2.5,0.5,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.0,0.001,1m,2.5,2.0,0.9,504.0,,,,,,,,110.0,0.008,3m,2.5,1.5,0.9,952.0,,,,,,,,0.35000000000000003,3,COMPLETE
143,143,5.846326776124734,2025-06-15 01:08:21.392806,2025-06-15 01:08:22.779603,0 days 00:00:01.386797,,,,,,,,110,0.002,2m,3.0,2.5,0.6,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,0.002,1m,2.5,2.0,1.0,604.0,,,,,,,,214.0,0.007,3m,2.5,1.5,1.0,896.0,,,,,,,,0.35000000000000003,3,COMPLETE
144,144,7.189007838804156,2025-06-15 01:08:22.844355,2025-06-15 01:08:24.328086,0 days 00:00:01.483731,,,,,,,,78,0.002,2m,3.0,2.5,0.6,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,0.002,1m,2.5,2.0,1.0,560.0,,,,,,,,164.0,0.008,3m,2.5,1.0,0.8,960.0,,,,,,,,0.35000000000000003,3,COMPLETE
145,145,7.08312897387599,2025-06-15 01:08:24.380642,2025-06-15 01:08:25.674507,0 days 00:00:01.293865,,,,,,,,680,0.002,2m,3.0,2.5,0.6,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,0.002,1m,2.5,2.0,0.9,478.0,,,,,,,,124.0,0.008,3m,2.5,1.5,0.9,874.0,,,,,,,,0.3,3,COMPLETE
146,146,5.994266781059579,2025-06-15 01:08:25.737038,2025-06-15 01:08:27.651980,0 days 00:00:01.914942,,,,,,,,130,0.002,2m,3.0,2.5,0.8,928,,,,,,,,,,,,,,,90.0,0.007,4m,4.0,4.0,1.5,828.0,,,,,,,,558.0,0.001,1m,2.5,2.0,0.9,580.0,,,,,,,,198.0,0.008,3m,3.0,1.5,0.7,806.0,,,,,,,,0.35000000000000003,4,COMPLETE
147,147,-0.4633318311136705,2025-06-15 01:08:27.705487,2025-06-15 01:08:29.020001,0 days 00:00:01.314514,,,,,,,,98,0.002,2m,3.0,2.5,0.5,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,0.002,2m,2.5,2.0,1.0,664.0,,,,,,,,236.0,0.007,3m,2.5,1.5,0.9,916.0,,,,,,,,0.35000000000000003,3,COMPLETE
148,148,2.1421713872008166,2025-06-15 01:08:29.060369,2025-06-15 01:08:30.538128,0 days 00:00:01.477759,,,,,,,,208,0.001,2m,3.0,2.5,0.7,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0,0.001,1m,2.5,2.0,1.0,54.0,,,,,,,,88.0,0.008,3m,3.0,1.5,0.8,938.0,,,,,,,,0.35000000000000003,3,COMPLETE
149,149,5.989969540039587,2025-06-15 01:08:30.598095,2025-06-15 01:08:32.090147,0 days 00:00:01.492052,,,,,,,,86,0.002,2m,3.0,2.5,0.8,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,0.002,1m,2.0,2.0,0.8,602.0,,,,,,,,152.0,0.007,3m,2.5,1.0,1.0,894.0,,,,,,,,0.3,3,COMPLETE
