,number,value,datetime_start,datetime_complete,duration,params_ABNB_ROST_beta_win,params_ABNB_ROST_stop_loss,params_ABNB_ROST_trade_freq,params_ABNB_ROST_z_entry,params_ABNB_ROST_z_exit,params_ABNB_ROST_z_stop_scaler,params_ABNB_ROST_z_win,params_ADI_IDXX_beta_win,params_ADI_IDXX_stop_loss,params_ADI_IDXX_trade_freq,params_ADI_IDXX_z_entry,params_ADI_IDXX_z_exit,params_ADI_IDXX_z_stop_scaler,params_ADI_IDXX_z_win,params_ADSK_IDXX_beta_win,params_ADSK_IDXX_stop_loss,params_ADSK_IDXX_trade_freq,params_ADSK_IDXX_z_entry,params_ADSK_IDXX_z_exit,params_ADSK_IDXX_z_stop_scaler,params_ADSK_IDXX_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_DLTR_IDXX_beta_win,params_DLTR_IDXX_stop_loss,params_DLTR_IDXX_trade_freq,params_DLTR_IDXX_z_entry,params_DLTR_IDXX_z_exit,params_DLTR_IDXX_z_stop_scaler,params_DLTR_IDXX_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_FISV_IDXX_beta_win,params_FISV_IDXX_stop_loss,params_FISV_IDXX_trade_freq,params_FISV_IDXX_z_entry,params_FISV_IDXX_z_exit,params_FISV_IDXX_z_stop_scaler,params_FISV_IDXX_z_win,params_MDLZ_MSFT_beta_win,params_MDLZ_MSFT_stop_loss,params_MDLZ_MSFT_trade_freq,params_MDLZ_MSFT_z_entry,params_MDLZ_MSFT_z_exit,params_MDLZ_MSFT_z_stop_scaler,params_MDLZ_MSFT_z_win,params_ROST_WDAY_beta_win,params_ROST_WDAY_stop_loss,params_ROST_WDAY_trade_freq,params_ROST_WDAY_z_entry,params_ROST_WDAY_z_exit,params_ROST_WDAY_z_stop_scaler,params_ROST_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,2.5330774923140984,2025-06-15 01:05:06.001800,2025-06-15 01:05:07.027014,0 days 00:00:01.025214,,,,,,,,444,0.01,1m,2.0,3.0,1.5,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.0,0.002,1m,3.0,2.0,1.3,586.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
21,21,6.235757820126726,2025-06-15 01:05:07.093528,2025-06-15 01:05:09.111406,0 days 00:00:02.017878,,,,,,,,134,0.01,2m,3.5,3.0,1.0,750,,,,,,,,,,,,,,,546.0,0.003,2m,2.5,2.0,0.5,432.0,,,,,,,,694.0,0.003,1m,3.0,2.5,0.9,662.0,,,,,,,,16.0,0.009000000000000001,3m,2.0,2.5,1.2000000000000002,986.0,,,,,,,,0.45,4,COMPLETE
22,22,6.5770367871752535,2025-06-15 01:05:09.187931,2025-06-15 01:05:11.130531,0 days 00:00:01.942600,,,,,,,,164,0.01,2m,3.0,3.0,1.1,740,,,,,,,,,,,,,,,562.0,0.002,2m,2.5,2.0,0.7,428.0,,,,,,,,646.0,0.003,1m,3.0,1.5,1.1,498.0,,,,,,,,40.0,0.009000000000000001,3m,2.0,2.5,1.2000000000000002,990.0,,,,,,,,0.45,4,COMPLETE
23,23,6.081382894225655,2025-06-15 01:05:11.211042,2025-06-15 01:05:13.074073,0 days 00:00:01.863031,,,,,,,,108,0.01,2m,3.0,3.0,1.1,772,,,,,,,,,,,,,,,552.0,0.001,2m,2.5,2.0,0.7,438.0,,,,,,,,714.0,0.003,1m,4.0,1.5,1.2000000000000002,444.0,,,,,,,,216.0,0.009000000000000001,3m,2.0,2.5,1.3,1010.0,,,,,,,,0.5,4,COMPLETE
24,24,-0.35849011764346933,2025-06-15 01:05:13.141073,2025-06-15 01:05:14.185782,0 days 00:00:01.044709,,,,,,,,198,0.01,2m,2.5,3.5,1.0,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.0,0.001,1m,3.0,1.5,1.2000000000000002,320.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
25,25,1.4810189254789166,2025-06-15 01:05:14.254793,2025-06-15 01:05:16.813517,0 days 00:00:02.558724,,,,,,,,342,0.008,2m,3.0,3.5,1.2000000000000002,624,,,,,,,,,,,,,,,624.0,0.003,2m,2.5,2.0,0.5,432.0,,,,,,,,976.0,0.003,1m,3.5,1.0,1.4,502.0,730.0,0.001,1m,1.0,4.0,0.9,996.0,244.0,0.01,4m,2.0,2.5,1.8,904.0,,,,,,,,0.4,5,COMPLETE
26,26,4.275252466233431,2025-06-15 01:05:16.878540,2025-06-15 01:05:18.777065,0 days 00:00:01.898525,,,,,,,,836,0.01,2m,3.5,3.0,1.4,966,,,,,,,,,,,,,,,446.0,0.002,2m,3.0,2.0,0.8,648.0,,,,,,,,624.0,0.004,1m,3.0,2.0,1.1,686.0,,,,,,,,104.0,0.009000000000000001,3m,1.5,2.5,1.2000000000000002,904.0,,,,,,,,0.25,4,COMPLETE
27,27,-0.6435625882344254,2025-06-15 01:05:18.848068,2025-06-15 01:05:20.021795,0 days 00:00:01.173727,,,,,,,,124,0.007,2m,2.0,4.0,1.7000000000000002,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,0.002,1m,3.5,1.5,1.1,864.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
28,28,-7.364455733618993,2025-06-15 01:05:20.108308,2025-06-15 01:05:21.532096,0 days 00:00:01.423788,,,,,,,,512,0.01,2m,3.0,2.5,1.1,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,0.004,1m,3.0,2.5,0.9,668.0,,,,,,,,250.0,0.008,3m,1.0,4.0,1.4,1022.0,,,,,,,,0.5,3,COMPLETE
29,29,1.961603265166192,2025-06-15 01:05:21.585613,2025-06-15 01:05:24.588637,0 days 00:00:03.003024,,,,,,,,224,0.008,2m,3.5,3.5,1.3,880,,,,,,,,,,,,,,,476.0,0.003,2m,2.0,2.5,0.7,358.0,20.0,0.004,3m,3.5,1.5,0.9,352.0,918.0,0.002,1m,4.0,1.0,1.4,174.0,450.0,0.01,3m,1.5,3.0,0.5,760.0,40.0,0.01,3m,2.0,2.5,1.2000000000000002,860.0,,,,,,,,0.5,6,COMPLETE
