,number,value,datetime_start,datetime_complete,duration,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ANSS_GOOG_beta_win,params_ANSS_GOOG_stop_loss,params_ANSS_GOOG_trade_freq,params_ANSS_GOOG_z_entry,params_ANSS_GOOG_z_exit,params_ANSS_GOOG_z_stop_scaler,params_ANSS_GOOG_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_CPRT_WDAY_beta_win,params_CPRT_WDAY_stop_loss,params_CPRT_WDAY_trade_freq,params_CPRT_WDAY_z_entry,params_CPRT_WDAY_z_exit,params_CPRT_WDAY_z_stop_scaler,params_CPRT_WDAY_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MSFT_ODFL_beta_win,params_MSFT_ODFL_stop_loss,params_MSFT_ODFL_trade_freq,params_MSFT_ODFL_z_entry,params_MSFT_ODFL_z_exit,params_MSFT_ODFL_z_stop_scaler,params_MSFT_ODFL_z_win,params_NXPI_SNPS_beta_win,params_NXPI_SNPS_stop_loss,params_NXPI_SNPS_trade_freq,params_NXPI_SNPS_z_entry,params_NXPI_SNPS_z_exit,params_NXPI_SNPS_z_stop_scaler,params_NXPI_SNPS_z_win,params_buffer_capital,params_pairs_to_trade,state
114,114,5.163821521698735,2025-06-15 00:47:22.960085,2025-06-15 00:47:27.845397,0 days 00:00:04.885312,1022.0,0.009000000000000001,1m,4.0,4.0,1.8,118.0,596.0,0.009000000000000001,3m,3.0,2.0,1.1,692.0,854.0,0.007,1m,1.0,4.0,1.3,440.0,430.0,0.008,4m,2.0,4.0,1.4,642.0,550.0,0.007,4m,1.5,1.0,0.6,942.0,196.0,0.01,3m,4.0,1.0,0.8,134.0,568.0,0.007,3m,2.5,4.0,1.1,812.0,808,0.002,4m,3.0,1.0,2.0,154,498.0,0.002,4m,3.0,2.0,1.9000000000000001,416.0,254.0,0.007,2m,2.5,2.0,0.9,524.0,0.1,10,COMPLETE
115,115,4.151237917968343,2025-06-15 00:47:27.937104,2025-06-15 00:47:32.350453,0 days 00:00:04.413349,928.0,0.005,4m,3.5,3.5,1.6,216.0,,,,,,,,814.0,0.004,1m,4.0,4.0,1.2000000000000002,402.0,996.0,0.01,4m,2.5,4.0,1.3,774.0,864.0,0.005,1m,1.0,3.5,0.5,994.0,432.0,0.01,3m,2.5,1.0,1.2000000000000002,166.0,626.0,0.007,3m,2.5,3.5,0.9,732.0,852,0.001,3m,3.0,1.5,0.8,716,220.0,0.003,2m,3.5,1.5,1.2000000000000002,340.0,304.0,0.004,2m,2.5,1.5,0.8,322.0,0.15000000000000002,9,COMPLETE
116,116,3.6696919978393967,2025-06-15 00:47:32.413969,2025-06-15 00:47:37.601458,0 days 00:00:05.187489,612.0,0.008,2m,1.0,3.5,1.7000000000000002,160.0,750.0,0.005,1m,2.0,1.5,1.9000000000000001,462.0,952.0,0.006,1m,1.5,4.0,1.7000000000000002,322.0,54.0,0.002,2m,2.0,4.0,1.3,666.0,482.0,0.006,4m,1.0,1.5,0.7,960.0,90.0,0.01,4m,3.5,2.0,1.1,38.0,448.0,0.006,2m,2.5,4.0,1.0,924.0,824,0.002,4m,3.0,1.0,0.7,412,302.0,0.001,4m,3.5,1.0,1.3,468.0,342.0,0.006,2m,3.0,2.0,1.1,962.0,0.1,10,COMPLETE
117,117,2.8499148235677625,2025-06-15 00:47:37.682979,2025-06-15 00:47:42.060819,0 days 00:00:04.377840,978.0,0.006,2m,3.5,3.5,1.8,262.0,,,,,,,,364.0,0.005,2m,2.0,2.0,1.5,480.0,300.0,0.009000000000000001,4m,2.5,3.0,1.5,550.0,998.0,0.008,4m,1.5,1.0,0.6,918.0,230.0,0.009000000000000001,1m,2.0,1.5,1.0,248.0,596.0,0.008,3m,3.0,3.5,0.7,876.0,750,0.001,4m,3.5,1.0,1.1,500,354.0,0.002,4m,3.0,1.5,1.4,208.0,390.0,0.004,1m,2.0,3.0,1.0,484.0,0.05,9,COMPLETE
118,118,-4.6478364839688835,2025-06-15 00:47:42.118328,2025-06-15 00:47:47.197612,0 days 00:00:05.079284,916.0,0.005,1m,4.0,4.0,1.6,48.0,786.0,0.007,3m,4.0,3.0,1.4,252.0,760.0,0.002,3m,2.5,3.0,1.4,578.0,372.0,0.01,4m,3.0,2.0,1.1,584.0,106.0,0.005,4m,1.0,1.5,0.5,776.0,160.0,0.01,3m,4.0,1.5,0.9,356.0,642.0,0.006,4m,2.0,2.0,0.8,838.0,712,0.01,4m,3.0,1.5,1.2000000000000002,276,594.0,0.003,4m,3.5,1.5,1.0,300.0,230.0,0.005,2m,2.5,3.5,0.9,364.0,0.25,10,COMPLETE
119,119,5.0712712958570725,2025-06-15 00:47:47.286161,2025-06-15 00:47:52.388901,0 days 00:00:05.102740,862.0,0.007,2m,4.0,3.5,1.7000000000000002,130.0,430.0,0.006,2m,3.0,2.5,1.8,388.0,878.0,0.005,1m,1.5,3.5,1.4,328.0,498.0,0.01,3m,2.0,4.0,1.4,720.0,930.0,0.004,4m,1.0,2.5,1.2000000000000002,1024.0,106.0,0.006,2m,2.5,1.0,0.8,616.0,498.0,0.007,3m,2.5,2.5,1.4,64.0,676,0.002,4m,3.0,1.0,1.3,208,406.0,0.004,4m,3.5,2.0,1.1,366.0,314.0,0.006,4m,3.0,2.5,1.5,158.0,0.15000000000000002,10,COMPLETE
120,120,5.106491321149635,2025-06-15 00:47:52.469914,2025-06-15 00:47:57.002904,0 days 00:00:04.532990,952.0,0.006,2m,3.5,3.0,1.1,568.0,,,,,,,,832.0,0.006,1m,1.0,2.5,1.5,284.0,190.0,0.008,2m,1.5,3.5,1.0,830.0,900.0,0.007,4m,1.5,2.0,0.9,996.0,354.0,0.009000000000000001,3m,4.0,1.0,0.6,70.0,738.0,0.007,3m,2.5,3.0,1.0,374.0,948,0.003,2m,2.5,1.0,0.9,340,874.0,0.003,4m,3.0,1.5,1.1,326.0,270.0,0.007,2m,3.5,2.0,0.8,464.0,0.45,9,COMPLETE
121,121,4.055985891348858,2025-06-15 00:47:57.066911,2025-06-15 00:48:01.656564,0 days 00:00:04.589653,1002.0,0.002,2m,2.5,3.5,0.5,94.0,,,,,,,,802.0,0.006,1m,1.0,3.5,1.1,372.0,114.0,0.01,1m,3.5,4.0,1.3,742.0,858.0,0.005,4m,4.0,1.5,0.7,904.0,128.0,0.01,3m,3.0,1.5,0.5,76.0,544.0,0.007,3m,2.0,3.5,1.0,656.0,696,0.002,4m,3.0,1.5,1.1,202,186.0,0.004,4m,3.0,1.5,1.2000000000000002,478.0,428.0,0.004,2m,3.0,2.0,0.9,510.0,0.05,9,COMPLETE
122,122,3.948511293048108,2025-06-15 00:48:01.714079,2025-06-15 00:48:05.746309,0 days 00:00:04.032230,,,,,,,,,,,,,,,794.0,0.006,1m,1.0,3.0,1.3,344.0,350.0,0.01,1m,3.5,4.0,1.3,720.0,880.0,0.006,4m,2.5,1.5,0.8,18.0,116.0,0.01,3m,3.5,1.5,0.5,88.0,582.0,0.007,3m,2.0,3.5,0.9,610.0,778,0.002,4m,3.0,2.0,1.0,112,722.0,0.005,4m,3.0,1.5,1.1,504.0,368.0,0.004,2m,3.0,2.0,0.9,516.0,0.05,8,COMPLETE
123,123,2.4044587428528503,2025-06-15 00:48:05.832332,2025-06-15 00:48:10.250278,0 days 00:00:04.417946,988.0,0.009000000000000001,2m,3.0,1.0,1.8,176.0,,,,,,,,876.0,0.007,1m,1.0,4.0,1.1,354.0,266.0,0.01,1m,3.5,4.0,1.2000000000000002,690.0,952.0,0.005,4m,3.5,1.0,0.6,842.0,188.0,0.01,3m,4.0,1.5,0.5,110.0,682.0,0.007,3m,2.0,3.5,1.2000000000000002,490.0,708,0.009000000000000001,4m,3.0,1.5,1.8,144,180.0,0.004,4m,2.5,1.5,2.0,404.0,424.0,0.003,2m,3.0,2.0,0.9,546.0,0.05,9,COMPLETE
124,124,-3.434583440695898,2025-06-15 00:48:10.335301,2025-06-15 00:48:16.061183,0 days 00:00:05.725882,1024.0,0.001,2m,3.5,3.5,1.9000000000000001,124.0,690.0,0.005,3m,3.5,1.0,2.0,778.0,920.0,0.005,1m,1.0,3.0,1.0,410.0,392.0,0.009000000000000001,1m,4.0,4.0,1.4,792.0,850.0,0.005,4m,4.0,1.5,0.5,874.0,172.0,0.01,3m,4.0,1.5,0.6,444.0,614.0,0.006,2m,2.0,3.5,1.0,774.0,732,0.001,4m,3.0,2.0,1.1,770,134.0,0.002,4m,3.0,1.5,1.0,548.0,446.0,0.004,2m,3.0,1.5,1.0,428.0,0.1,10,COMPLETE
125,125,4.311981432023194,2025-06-15 00:48:16.170707,2025-06-15 00:48:24.278978,0 days 00:00:08.108271,956.0,0.001,2m,3.0,3.5,1.8,976.0,,,,,,,,840.0,0.006,4m,2.0,4.0,1.2000000000000002,254.0,356.0,0.01,1m,2.5,4.0,1.3,672.0,428.0,0.006,4m,1.0,1.5,1.3,914.0,76.0,0.001,3m,3.5,2.0,0.7,154.0,1016.0,0.008,3m,2.5,4.0,1.1,860.0,854,0.002,4m,3.0,1.0,1.2000000000000002,192,196.0,0.003,1m,3.5,1.0,1.1,386.0,478.0,0.005,4m,1.5,2.0,0.8,390.0,0.05,9,COMPLETE
126,126,2.088013143161228,2025-06-15 00:48:24.406527,2025-06-15 00:48:29.591642,0 days 00:00:05.185115,996.0,0.01,1m,3.5,4.0,1.5,824.0,918.0,0.003,4m,2.5,2.0,1.3,184.0,740.0,0.007,1m,1.5,3.5,0.9,442.0,234.0,0.01,4m,3.0,4.0,1.4,618.0,818.0,0.004,2m,3.5,1.0,0.7,952.0,72.0,0.01,3m,4.0,1.0,1.3,98.0,568.0,0.007,3m,2.5,3.5,1.3,650.0,372,0.003,4m,3.0,1.0,1.0,256,158.0,0.004,4m,3.5,1.5,1.2000000000000002,432.0,328.0,0.005,3m,2.5,2.0,1.4,898.0,0.2,10,COMPLETE
127,127,3.8449473510104033,2025-06-15 00:48:29.687175,2025-06-15 00:48:33.564565,0 days 00:00:03.877390,,,,,,,,,,,,,,,900.0,0.005,1m,1.0,3.5,1.3,292.0,332.0,0.006,2m,2.0,4.0,0.6,702.0,770.0,0.006,4m,1.0,1.0,0.7,84.0,148.0,0.009000000000000001,4m,4.0,1.0,0.7,16.0,416.0,0.006,3m,2.0,4.0,0.9,896.0,802,0.001,1m,3.5,1.0,1.9000000000000001,50,92.0,0.006,4m,3.0,2.0,1.8,170.0,352.0,0.004,2m,3.0,3.5,1.2000000000000002,564.0,0.1,8,COMPLETE
128,128,6.484106209621123,2025-06-15 00:48:33.649085,2025-06-15 00:48:38.115257,0 days 00:00:04.466172,910.0,0.007,2m,3.5,3.5,1.7000000000000002,674.0,,,,,,,,858.0,0.004,1m,2.0,4.0,1.4,382.0,476.0,0.009000000000000001,4m,2.0,4.0,1.5,648.0,724.0,0.005,4m,1.0,2.0,0.8,972.0,610.0,0.01,1m,4.0,1.5,0.9,126.0,224.0,0.008,3m,3.0,3.5,1.1,808.0,754,0.003,4m,3.0,4.0,1.1,466,122.0,0.003,4m,3.5,1.5,1.9000000000000001,490.0,200.0,0.003,2m,3.0,1.0,1.0,840.0,0.05,9,COMPLETE
129,129,5.570141285747586,2025-06-15 00:48:38.194646,2025-06-15 00:48:43.172551,0 days 00:00:04.977905,894.0,0.007,3m,3.5,2.0,1.6,688.0,496.0,0.01,3m,2.5,3.0,1.1,922.0,972.0,0.004,1m,2.0,4.0,1.4,220.0,452.0,0.009000000000000001,4m,2.0,4.0,1.5,638.0,718.0,0.007,4m,1.0,2.0,0.9,586.0,598.0,0.005,1m,4.0,2.0,0.9,128.0,220.0,0.009000000000000001,2m,3.5,4.0,1.1,810.0,832,0.003,4m,2.5,4.0,1.4,512,122.0,0.003,4m,3.5,1.0,2.0,460.0,244.0,0.002,4m,3.0,1.0,1.0,856.0,0.5,10,COMPLETE
130,130,5.107790104583148,2025-06-15 00:48:43.252071,2025-06-15 00:48:48.035677,0 days 00:00:04.783606,840.0,0.007,3m,3.5,2.0,1.6,676.0,438.0,0.01,3m,2.5,3.0,1.1,926.0,982.0,0.004,1m,2.0,4.0,1.4,184.0,468.0,0.009000000000000001,4m,2.0,4.0,1.6,598.0,694.0,0.007,4m,1.0,2.0,2.0,660.0,594.0,0.004,1m,4.0,2.5,0.9,130.0,232.0,0.009000000000000001,3m,3.5,4.0,1.2000000000000002,808.0,762,0.003,4m,2.5,4.0,0.9,498,124.0,0.003,4m,3.5,1.0,2.0,538.0,166.0,0.003,4m,3.0,1.0,1.0,922.0,0.5,10,COMPLETE
131,131,0.5743932504292072,2025-06-15 00:48:48.116197,2025-06-15 00:48:52.904027,0 days 00:00:04.787830,886.0,0.008,3m,3.5,2.0,1.7000000000000002,736.0,580.0,0.009000000000000001,3m,3.0,3.0,0.9,880.0,1018.0,0.004,1m,2.0,4.0,1.4,212.0,444.0,0.008,4m,2.0,4.0,1.5,648.0,642.0,0.007,4m,1.0,2.5,0.9,706.0,646.0,0.003,1m,4.0,2.5,1.0,172.0,144.0,0.009000000000000001,2m,3.5,4.0,1.1,754.0,824,0.003,4m,2.5,4.0,1.4,444,104.0,0.003,4m,3.5,1.0,1.9000000000000001,464.0,212.0,0.001,4m,3.0,1.0,1.0,842.0,0.5,10,COMPLETE
132,132,5.036378469732989,2025-06-15 00:48:52.973025,2025-06-15 00:48:57.947741,0 days 00:00:04.974716,908.0,0.007,3m,3.5,2.5,1.6,632.0,506.0,0.01,3m,2.5,3.5,1.2000000000000002,124.0,938.0,0.004,1m,2.0,4.0,1.5,150.0,420.0,0.009000000000000001,4m,2.0,4.0,1.5,646.0,654.0,0.006,4m,1.0,2.0,0.8,504.0,544.0,0.01,1m,4.0,2.0,0.9,200.0,342.0,0.008,2m,4.0,4.0,1.1,966.0,876,0.004,4m,2.5,4.0,1.5,544,68.0,0.003,4m,3.5,1.0,1.9000000000000001,446.0,194.0,0.002,4m,3.5,1.0,1.1,842.0,0.5,10,COMPLETE
133,133,3.8858927590985157,2025-06-15 00:48:58.044255,2025-06-15 00:49:02.325674,0 days 00:00:04.281419,946.0,0.006,3m,1.5,3.0,1.5,826.0,,,,,,,,964.0,0.003,1m,2.0,4.0,1.3,376.0,396.0,0.009000000000000001,4m,2.0,4.0,1.5,674.0,728.0,0.005,4m,1.0,2.5,1.0,578.0,704.0,0.005,1m,4.0,1.5,1.0,280.0,178.0,0.01,2m,3.0,4.0,1.2000000000000002,836.0,790,0.004,4m,3.0,3.5,1.4,572,122.0,0.002,4m,3.5,1.0,1.9000000000000001,406.0,248.0,0.002,4m,3.0,1.0,0.9,886.0,0.1,9,COMPLETE
134,134,4.869500741357273,2025-06-15 00:49:02.399191,2025-06-15 00:49:07.445963,0 days 00:00:05.046772,874.0,0.007,2m,3.5,3.5,1.4,882.0,198.0,0.005,3m,1.5,2.5,0.7,498.0,868.0,0.004,1m,2.5,4.0,1.6,324.0,506.0,0.009000000000000001,4m,2.0,4.0,1.6,22.0,716.0,0.006,4m,1.0,2.5,0.9,588.0,646.0,0.01,1m,4.0,2.0,0.8,144.0,280.0,0.009000000000000001,2m,3.0,3.5,1.0,796.0,840,0.003,4m,3.0,4.0,1.6,462,152.0,0.003,4m,3.5,1.5,2.0,364.0,296.0,0.003,4m,3.0,1.0,1.0,822.0,0.45,10,COMPLETE
135,135,0.48792429219821326,2025-06-15 00:49:07.535485,2025-06-15 00:49:12.615160,0 days 00:00:05.079675,824.0,0.005,2m,4.0,4.0,1.7000000000000002,510.0,488.0,0.006,2m,3.5,1.5,1.0,576.0,1002.0,0.005,1m,2.0,4.0,1.4,408.0,466.0,0.009000000000000001,4m,1.5,4.0,1.5,514.0,986.0,0.007,4m,1.0,2.0,0.8,544.0,514.0,0.007,1m,4.0,1.0,0.9,116.0,70.0,0.008,3m,4.0,4.0,0.8,914.0,814,0.003,4m,3.0,3.0,1.1,470,34.0,0.003,3m,3.5,1.5,2.0,488.0,258.0,0.001,2m,2.5,1.0,1.0,760.0,0.1,10,COMPLETE
136,136,4.497377448997813,2025-06-15 00:49:12.694172,2025-06-15 00:49:17.678414,0 days 00:00:04.984242,918.0,0.008,1m,4.0,3.5,1.6,558.0,786.0,0.008,1m,2.0,4.0,1.5,958.0,894.0,0.004,1m,2.0,4.0,0.6,516.0,882.0,0.009000000000000001,4m,2.0,4.0,1.4,632.0,778.0,0.005,1m,1.0,2.5,1.1,352.0,602.0,0.01,1m,4.0,1.5,1.1,56.0,380.0,0.008,3m,3.5,3.5,0.9,852.0,860,0.002,4m,2.5,3.5,1.0,520,82.0,0.002,4m,3.5,1.0,2.0,572.0,232.0,0.003,2m,3.5,1.0,1.1,882.0,0.5,10,COMPLETE
137,137,3.41417137030632,2025-06-15 00:49:17.744929,2025-06-15 00:49:22.414295,0 days 00:00:04.669366,968.0,0.006,2m,3.5,1.5,1.7000000000000002,64.0,,,,,,,,850.0,0.005,3m,2.5,4.0,1.5,224.0,416.0,0.008,4m,2.5,4.0,0.9,754.0,940.0,0.008,4m,1.0,2.0,0.9,394.0,566.0,0.006,1m,4.0,1.0,0.8,238.0,484.0,0.01,2m,3.5,3.0,1.1,880.0,748,0.001,4m,3.0,4.0,1.1,324,216.0,0.003,4m,3.5,2.5,1.9000000000000001,342.0,132.0,0.002,3m,3.0,1.0,2.0,800.0,0.25,9,COMPLETE
138,138,-6.835830407212358,2025-06-15 00:49:22.491300,2025-06-15 00:49:25.021809,0 days 00:00:02.530509,,,,,,,,,,,,,,,,,,,,,,440.0,0.005,4m,2.0,4.0,1.6,700.0,,,,,,,,684.0,0.004,1m,4.0,2.0,0.9,178.0,,,,,,,,786,0.006,3m,3.0,2.5,1.2000000000000002,410,58.0,0.002,1m,4.0,1.5,1.8,510.0,212.0,0.005,4m,3.0,3.0,0.9,856.0,0.45,5,COMPLETE
139,139,7.17002505326794,2025-06-15 00:49:25.078808,2025-06-15 00:49:29.624893,0 days 00:00:04.546085,796.0,0.005,2m,3.5,3.5,1.9000000000000001,400.0,,,,,,,,822.0,0.003,1m,2.0,4.0,1.3,386.0,148.0,0.01,4m,2.0,3.5,1.5,242.0,1012.0,0.007,4m,1.0,1.5,0.8,618.0,622.0,0.002,4m,4.0,2.5,1.4,104.0,244.0,0.002,4m,2.5,4.0,1.2000000000000002,732.0,888,0.005,4m,3.0,1.0,1.0,602,522.0,0.001,4m,3.5,1.0,1.8,382.0,292.0,0.009000000000000001,2m,2.5,1.5,0.8,450.0,0.1,9,COMPLETE
140,140,-7.405654815458215,2025-06-15 00:49:29.714402,2025-06-15 00:49:31.365045,0 days 00:00:01.650643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,0.005,4m,3.0,4.0,0.9,586,522.0,0.001,4m,3.5,1.0,1.3,308.0,280.0,0.01,2m,2.5,1.5,0.7,448.0,0.1,3,COMPLETE
141,141,0.9507520185883768,2025-06-15 00:49:31.458558,2025-06-15 00:49:35.946698,0 days 00:00:04.488140,818.0,0.005,2m,3.5,1.5,1.9000000000000001,440.0,,,,,,,,918.0,0.003,1m,2.0,4.0,1.3,432.0,144.0,0.01,4m,2.0,3.5,1.5,234.0,1012.0,0.007,4m,1.0,1.5,0.8,974.0,608.0,0.01,4m,4.0,2.5,1.4,102.0,206.0,0.007,4m,2.5,4.0,1.2000000000000002,780.0,830,0.004,4m,3.0,1.0,1.0,510,548.0,0.001,4m,3.5,1.0,1.8,414.0,292.0,0.008,2m,2.5,1.5,0.8,398.0,0.1,9,COMPLETE
142,142,4.70396554156359,2025-06-15 00:49:35.995703,2025-06-15 00:49:40.435153,0 days 00:00:04.439450,758.0,0.005,2m,3.5,3.5,1.9000000000000001,402.0,,,,,,,,820.0,0.002,1m,2.0,4.0,1.4,386.0,156.0,0.007,4m,2.0,4.0,1.4,132.0,972.0,0.008,4m,1.0,1.5,0.8,992.0,250.0,0.002,4m,4.0,2.5,1.5,136.0,256.0,0.009000000000000001,4m,2.5,4.0,1.3,736.0,914,0.007,4m,3.0,1.0,1.5,592,478.0,0.001,4m,3.5,1.0,1.9000000000000001,384.0,316.0,0.009000000000000001,2m,2.5,1.5,0.8,490.0,0.15000000000000002,9,COMPLETE
143,143,4.14377860636921,2025-06-15 00:49:40.517676,2025-06-15 00:49:44.523792,0 days 00:00:04.006116,,,,,,,,,,,,,,,870.0,0.003,1m,2.0,4.0,1.2000000000000002,470.0,480.0,0.01,4m,2.0,4.0,1.4,310.0,922.0,0.007,4m,1.0,1.5,1.9000000000000001,630.0,516.0,0.001,4m,4.0,2.5,1.6,78.0,216.0,0.002,4m,2.5,4.0,1.2000000000000002,690.0,872,0.002,4m,3.0,1.0,1.0,670,580.0,0.003,4m,3.5,1.0,1.8,366.0,266.0,0.009000000000000001,2m,2.0,1.5,0.9,418.0,0.1,8,COMPLETE
144,144,4.9622801302039665,2025-06-15 00:49:44.584790,2025-06-15 00:49:49.078320,0 days 00:00:04.493530,788.0,0.004,2m,3.5,3.5,2.0,606.0,,,,,,,,844.0,0.008,1m,1.5,4.0,1.3,300.0,122.0,0.01,4m,2.0,2.5,1.5,658.0,530.0,0.006,4m,1.0,1.0,0.7,312.0,584.0,0.002,4m,4.0,2.5,1.0,38.0,286.0,0.002,4m,2.5,4.0,1.1,816.0,842,0.003,4m,3.0,1.0,1.0,482,166.0,0.003,2m,3.5,1.5,1.7000000000000002,140.0,338.0,0.002,2m,2.5,3.5,1.0,440.0,0.05,9,COMPLETE
145,145,1.1409315225547823,2025-06-15 00:49:49.174831,2025-06-15 00:49:54.172273,0 days 00:00:04.997442,858.0,0.006,2m,4.0,4.0,1.8,510.0,728.0,0.007,3m,3.0,1.0,1.9000000000000001,766.0,940.0,0.005,1m,2.0,4.0,1.4,350.0,176.0,0.01,4m,2.5,4.0,1.6,446.0,956.0,0.007,3m,1.0,2.0,0.6,452.0,680.0,0.01,4m,2.0,1.0,0.8,116.0,50.0,0.007,3m,4.0,3.5,1.0,762.0,808,0.001,4m,3.0,1.0,1.1,292,626.0,0.002,4m,3.5,1.0,1.2000000000000002,446.0,542.0,0.008,2m,3.0,1.0,0.9,800.0,0.1,10,COMPLETE
146,146,4.4096534331241735,2025-06-15 00:49:54.249784,2025-06-15 00:49:57.334967,0 days 00:00:03.085183,,,,,,,,,,,,,,,,,,,,,,378.0,0.01,2m,1.5,3.5,1.5,100.0,688.0,0.005,4m,1.5,1.5,1.4,600.0,638.0,0.003,2m,4.0,1.5,1.6,210.0,,,,,,,,772,0.006,4m,2.5,1.0,1.3,606,140.0,0.001,4m,3.5,1.5,1.9000000000000001,330.0,198.0,0.009000000000000001,4m,3.0,4.0,1.7000000000000002,938.0,0.2,6,COMPLETE
147,147,3.2640249807446944,2025-06-15 00:49:57.419479,2025-06-15 00:50:04.811000,0 days 00:00:07.391521,900.0,0.005,4m,3.5,3.5,1.6,350.0,676.0,0.009000000000000001,3m,3.5,3.5,1.2000000000000002,354.0,778.0,0.002,2m,2.5,4.0,1.3,410.0,426.0,0.009000000000000001,4m,3.0,4.0,1.4,734.0,606.0,0.006,4m,1.0,1.0,0.9,650.0,628.0,0.002,3m,4.0,3.0,1.4,154.0,140.0,0.008,3m,3.0,4.0,0.9,714.0,464,0.008,4m,3.0,1.0,0.9,386,114.0,0.007,4m,3.5,1.0,1.8,388.0,378.0,0.006,2m,2.5,1.5,0.8,466.0,0.15000000000000002,10,COMPLETE
148,148,3.7846992820681873,2025-06-15 00:50:04.923538,2025-06-15 00:50:12.782868,0 days 00:00:07.859330,938.0,0.006,2m,4.0,3.0,1.7000000000000002,538.0,348.0,0.007,3m,2.5,2.5,1.4,282.0,818.0,0.004,1m,1.5,3.0,1.4,446.0,312.0,0.01,4m,2.5,4.0,1.5,176.0,1006.0,0.006,4m,1.0,1.0,0.8,616.0,214.0,0.005,3m,4.0,1.0,1.1,186.0,520.0,0.007,3m,2.5,3.5,1.1,788.0,894,0.001,4m,3.5,1.0,1.1,562,98.0,0.002,4m,3.5,1.5,1.2000000000000002,354.0,242.0,0.005,2m,2.5,1.0,1.0,532.0,0.05,10,COMPLETE
149,149,4.3328578711179695,2025-06-15 00:50:12.869916,2025-06-15 00:50:17.432159,0 days 00:00:04.562243,966.0,0.009000000000000001,2m,3.5,3.5,1.9000000000000001,468.0,,,,,,,,892.0,0.005,1m,2.0,4.0,1.5,246.0,370.0,0.009000000000000001,4m,3.0,4.0,1.7000000000000002,688.0,386.0,0.007,4m,1.0,1.5,0.6,1014.0,548.0,0.009000000000000001,1m,4.0,1.5,0.9,130.0,194.0,0.006,3m,2.5,4.0,0.8,828.0,802,0.005,4m,3.0,1.0,0.8,536,462.0,0.003,1m,2.0,3.0,0.5,272.0,286.0,0.007,1m,3.0,2.5,0.9,348.0,0.1,9,COMPLETE
