,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ABNB_GEHCV_beta_win,params_ABNB_GEHCV_stop_loss,params_ABNB_GEHCV_trade_freq,params_ABNB_GEHCV_z_entry,params_ABNB_GEHCV_z_exit,params_ABNB_GEHCV_z_stop_scaler,params_ABNB_GEHCV_z_win,params_ADP_MELI_beta_win,params_ADP_MELI_stop_loss,params_ADP_MELI_trade_freq,params_ADP_MELI_z_entry,params_ADP_MELI_z_exit,params_ADP_MELI_z_stop_scaler,params_ADP_MELI_z_win,params_AMAT_AEP_beta_win,params_AMAT_AEP_stop_loss,params_AMAT_AEP_trade_freq,params_AMAT_AEP_z_entry,params_AMAT_AEP_z_exit,params_AMAT_AEP_z_stop_scaler,params_AMAT_AEP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CSGP_ILMN_beta_win,params_CSGP_ILMN_stop_loss,params_CSGP_ILMN_trade_freq,params_CSGP_ILMN_z_entry,params_CSGP_ILMN_z_exit,params_CSGP_ILMN_z_stop_scaler,params_CSGP_ILMN_z_win,params_CSX_ILMN_beta_win,params_CSX_ILMN_stop_loss,params_CSX_ILMN_trade_freq,params_CSX_ILMN_z_entry,params_CSX_ILMN_z_exit,params_CSX_ILMN_z_stop_scaler,params_CSX_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_EXC_GEHCV_beta_win,params_EXC_GEHCV_stop_loss,params_EXC_GEHCV_trade_freq,params_EXC_GEHCV_z_entry,params_EXC_GEHCV_z_exit,params_EXC_GEHCV_z_stop_scaler,params_EXC_GEHCV_z_win,params_GILD_WBA_beta_win,params_GILD_WBA_stop_loss,params_GILD_WBA_trade_freq,params_GILD_WBA_z_entry,params_GILD_WBA_z_exit,params_GILD_WBA_z_stop_scaler,params_GILD_WBA_z_win,params_buffer_capital,params_pairs_to_trade,state
55,55,2.222038321072495,2025-06-15 01:25:52.477393,2025-06-15 01:25:53.011121,0 days 00:00:00.533728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.004,4m,2.0,3.0,0.9,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
56,56,-4.430825388980158,2025-06-15 01:25:53.044266,2025-06-15 01:25:54.125959,0 days 00:00:01.081693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,0.005,3m,3.0,2.5,0.6,450,662.0,0.006,4m,3.5,3.0,0.8,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
57,57,0.6070417518725263,2025-06-15 01:25:54.203248,2025-06-15 01:25:55.288244,0 days 00:00:01.084996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,0.004,4m,2.0,3.5,0.9,386,108.0,0.008,3m,4.0,3.5,0.6,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
58,58,-5.046425650725705,2025-06-15 01:25:55.340952,2025-06-15 01:25:58.335432,0 days 00:00:02.994480,166.0,0.009000000000000001,1m,1.0,2.0,1.4,914.0,,,,,,,,446.0,0.001,3m,3.5,3.5,1.3,974.0,,,,,,,,780,0.005,3m,2.5,3.0,0.8,260,772.0,0.008,1m,4.0,3.0,1.1,798.0,734.0,0.009000000000000001,4m,2.5,3.5,1.5,502.0,,,,,,,,,,,,,,,542.0,0.008,4m,2.0,2.0,1.5,206.0,0.05,6,COMPLETE
59,59,-0.4538523595320316,2025-06-15 01:25:58.394953,2025-06-15 01:26:02.727209,0 days 00:00:04.332256,282.0,0.002,4m,2.5,1.0,0.7,728.0,,,,,,,,898.0,0.007,1m,2.5,2.0,1.1,26.0,764.0,0.003,2m,4.0,3.0,1.6,336.0,884,0.007,2m,1.5,2.0,1.7000000000000002,42,394.0,0.009000000000000001,3m,3.5,4.0,1.4,720.0,334.0,0.007,3m,1.0,1.5,0.7,346.0,1020.0,0.01,3m,4.0,2.5,1.2000000000000002,62.0,928.0,0.005,2m,1.0,1.0,1.5,1020.0,276.0,0.005,2m,4.0,4.0,1.1,632.0,0.35000000000000003,9,COMPLETE
60,60,4.257932829914172,2025-06-15 01:26:02.795584,2025-06-15 01:26:06.414837,0 days 00:00:03.619253,668.0,0.007,3m,1.5,1.5,1.8,1008.0,,,,,,,,196.0,0.002,3m,1.5,1.0,1.7000000000000002,690.0,390.0,0.008,4m,1.0,3.5,0.5,746.0,18,0.003,4m,3.0,2.0,0.7,306,824.0,0.001,3m,4.0,3.0,0.8,852.0,194.0,0.008,1m,2.0,2.5,1.3,774.0,,,,,,,,,,,,,,,1020.0,0.003,3m,3.0,3.0,0.6,358.0,0.05,7,COMPLETE
61,61,3.5857083567974986,2025-06-15 01:26:06.471216,2025-06-15 01:26:08.042590,0 days 00:00:01.571374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0.006,3m,2.5,2.5,1.1,1020,872.0,0.009000000000000001,3m,4.0,2.0,1.2000000000000002,484.0,86.0,0.005,2m,3.5,1.0,1.0,244.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
62,62,5.653383663862306,2025-06-15 01:26:08.098535,2025-06-15 01:26:09.835271,0 days 00:00:01.736736,,,,,,,,,,,,,,,554.0,0.006,2m,3.0,2.5,1.3,832.0,,,,,,,,842,0.006,3m,2.5,2.5,1.5,188,894.0,0.01,3m,4.0,1.5,0.9,428.0,842.0,0.004,2m,4.0,3.0,1.7000000000000002,170.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
63,63,2.804589421286811,2025-06-15 01:26:09.911159,2025-06-15 01:26:12.052845,0 days 00:00:02.141686,,,,,,,,,,,,,,,556.0,0.006,2m,3.0,2.5,1.3,920.0,,,,,,,,844,0.005,3m,2.5,2.5,1.6,148,992.0,0.01,3m,4.0,1.0,0.9,544.0,846.0,0.003,2m,4.0,3.0,1.7000000000000002,64.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
64,64,1.1246569720877173,2025-06-15 01:26:12.108792,2025-06-15 01:26:14.171191,0 days 00:00:02.062399,,,,,,,,,,,,,,,664.0,0.008,2m,2.5,2.5,1.5,830.0,,,,,,,,568,0.004,3m,3.0,2.5,1.5,202,938.0,0.01,3m,3.5,2.5,0.7,422.0,750.0,0.002,2m,4.0,3.0,0.5,170.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
65,65,-2.22780314302913,2025-06-15 01:26:14.224012,2025-06-15 01:26:16.839354,0 days 00:00:02.615342,846.0,0.005,2m,3.5,3.5,1.3,76.0,,,,,,,,362.0,0.007,2m,3.0,2.0,1.4,1020.0,,,,,,,,520,0.006,1m,2.5,3.5,1.4,476,522.0,0.002,3m,4.0,2.0,0.9,652.0,968.0,0.006,2m,4.0,3.0,1.6,436.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
66,66,0.09604211349643293,2025-06-15 01:26:16.907346,2025-06-15 01:26:18.075658,0 days 00:00:01.168312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,0.007,3m,2.0,2.0,1.5,366,678.0,0.01,2m,4.0,1.5,1.1,980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
67,67,0.8614393613957215,2025-06-15 01:26:18.134284,2025-06-15 01:26:19.787494,0 days 00:00:01.653210,,,,,,,,,,,,,,,1024.0,0.005,1m,3.5,3.0,1.8,306.0,,,,,,,,994,0.006,3m,3.0,3.0,1.0,94,728.0,0.01,3m,3.5,1.0,0.6,606.0,1014.0,0.004,2m,4.0,2.5,2.0,630.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
68,68,2.0411904115057373,2025-06-15 01:26:19.847888,2025-06-15 01:26:22.974728,0 days 00:00:03.126840,484.0,0.004,1m,1.0,2.0,1.6,380.0,,,,,,,,296.0,0.01,2m,3.0,1.5,1.2000000000000002,912.0,,,,,,,,812,0.005,4m,2.5,2.5,1.4,610,794.0,0.008,3m,4.0,3.5,1.3,310.0,842.0,0.01,4m,3.0,3.5,1.6,258.0,,,,,,,,,,,,,,,494.0,0.001,3m,1.0,1.5,0.8,756.0,0.35000000000000003,6,COMPLETE
69,69,0.2791984636806124,2025-06-15 01:26:23.044209,2025-06-15 01:26:24.620898,0 days 00:00:01.576689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,0.008,3m,1.5,3.0,1.7000000000000002,310,950.0,0.009000000000000001,3m,2.5,2.0,1.8,452.0,880.0,0.005,2m,2.5,3.0,1.9000000000000001,196.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
70,70,1.4692629274760856,2025-06-15 01:26:24.707500,2025-06-15 01:26:25.334304,0 days 00:00:00.626804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,0.007,4m,2.0,4.0,0.9,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
71,71,3.968114478753714,2025-06-15 01:26:25.395019,2025-06-15 01:26:26.994688,0 days 00:00:01.599669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,0.006,3m,2.5,2.5,1.2000000000000002,238,892.0,0.009000000000000001,3m,4.0,1.5,1.0,392.0,394.0,0.004,2m,3.5,1.0,1.8,144.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
72,72,4.9098305287294535,2025-06-15 01:26:27.047744,2025-06-15 01:26:28.487583,0 days 00:00:01.439839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,0.007,3m,2.5,2.5,1.3,198,856.0,0.009000000000000001,3m,4.0,1.5,1.0,528.0,238.0,0.003,2m,3.5,1.5,1.7000000000000002,106.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
73,73,3.6694561185686463,2025-06-15 01:26:28.558046,2025-06-15 01:26:29.652197,0 days 00:00:01.094151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,0.007,3m,2.5,2.5,1.3,134,828.0,0.009000000000000001,3m,4.0,1.5,1.1,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
74,74,2.0332935657848865,2025-06-15 01:26:29.721252,2025-06-15 01:26:32.157126,0 days 00:00:02.435874,772.0,0.009000000000000001,4m,2.0,3.0,2.0,808.0,,,,,,,,448.0,0.006,2m,4.0,4.0,1.1,974.0,,,,,,,,908,0.009000000000000001,3m,3.0,2.5,1.4,194,760.0,0.01,3m,3.5,2.5,0.8,564.0,220.0,0.003,2m,3.5,1.5,1.7000000000000002,102.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
75,75,-5.982165721123723,2025-06-15 01:26:32.208625,2025-06-15 01:26:34.445234,0 days 00:00:02.236609,,,,,,,,,,,,,,,962.0,0.008,1m,2.0,3.0,1.6,170.0,,,,,,,,822,0.007,3m,2.5,3.5,1.0,54,846.0,0.008,1m,4.0,1.5,1.2000000000000002,764.0,124.0,0.003,2m,4.0,1.5,1.4,54.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
76,76,3.3567983797583567,2025-06-15 01:26:34.499748,2025-06-15 01:26:36.205960,0 days 00:00:01.706212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.008,3m,3.5,3.0,1.1,408,916.0,0.01,3m,3.0,1.0,0.9,470.0,242.0,0.003,2m,3.0,2.0,2.0,304.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
77,77,-0.7139515720383062,2025-06-15 01:26:36.265199,2025-06-15 01:26:37.232884,0 days 00:00:00.967685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,0.006,2m,2.0,2.0,1.3,272,1018.0,0.009000000000000001,4m,4.0,1.5,1.0,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
78,78,-0.7726313122220774,2025-06-15 01:26:37.295958,2025-06-15 01:26:39.139648,0 days 00:00:01.843690,,,,,,,,,,,,,,,642.0,0.004,4m,3.5,3.5,1.3,556.0,,,,,,,,864,0.007,3m,3.0,2.5,0.8,886,806.0,0.007,3m,3.5,2.0,1.1,588.0,304.0,0.004,2m,3.5,1.0,1.8,150.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
79,79,4.93411029344555,2025-06-15 01:26:39.222978,2025-06-15 01:26:40.902317,0 days 00:00:01.679339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0.005,1m,2.5,2.0,1.5,102,980.0,0.008,3m,4.0,1.0,0.8,526.0,966.0,0.002,2m,4.0,2.5,1.7000000000000002,82.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
80,80,-2.865645123354666,2025-06-15 01:26:40.972297,2025-06-15 01:26:43.610524,0 days 00:00:02.638227,138.0,0.002,3m,1.0,4.0,1.6,258.0,,,,,,,,536.0,0.003,3m,2.5,2.5,0.5,806.0,,,,,,,,392,0.004,1m,2.0,1.5,1.7000000000000002,114,970.0,0.008,3m,1.5,1.0,0.6,620.0,976.0,0.001,3m,4.0,3.5,1.5,706.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
81,81,7.240414689760507,2025-06-15 01:26:43.678174,2025-06-15 01:26:45.277239,0 days 00:00:01.599065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,0.005,1m,2.5,2.0,1.4,82,994.0,0.007,3m,4.0,1.0,0.7,512.0,936.0,0.002,2m,4.0,2.5,1.7000000000000002,52.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
