,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_FAST_TXN_beta_win,params_FAST_TXN_stop_loss,params_FAST_TXN_trade_freq,params_FAST_TXN_z_entry,params_FAST_TXN_z_exit,params_FAST_TXN_z_stop_scaler,params_FAST_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MRNA_TXN_beta_win,params_MRNA_TXN_stop_loss,params_MRNA_TXN_trade_freq,params_MRNA_TXN_z_entry,params_MRNA_TXN_z_exit,params_MRNA_TXN_z_stop_scaler,params_MRNA_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.691558390468654,2025-06-15 00:52:01.179919,2025-06-15 00:52:05.487262,0 days 00:00:04.307343,386.0,0.003,3m,4.0,2.5,1.2000000000000002,620.0,346.0,0.005,3m,4.0,2.5,1.0,180.0,174,0.001,2m,4.0,2.0,1.4,572,436.0,0.009000000000000001,4m,1.5,3.5,1.1,610.0,32.0,0.005,2m,1.0,2.0,1.8,1014.0,82.0,0.001,3m,2.0,4.0,0.7,562.0,1022.0,0.007,1m,3.0,3.0,2.0,60.0,,,,,,,,464.0,0.003,4m,2.5,2.0,0.7,330.0,486.0,0.001,3m,3.5,1.5,1.8,186.0,0.35000000000000003,9,COMPLETE
21,21,-100.0,2025-06-15 00:52:05.593780,2025-06-15 00:52:06.200890,0 days 00:00:00.607110,,,,,,,,,,,,,,,360,0.004,3m,3.5,2.0,1.2000000000000002,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
22,22,3.8645204627777656,2025-06-15 00:52:06.258401,2025-06-15 00:52:07.215430,0 days 00:00:00.957029,,,,,,,,,,,,,,,130,0.01,3m,3.5,2.0,1.3,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,0.004,3m,1.0,3.5,1.3,390.0,,,,,,,,0.45,2,COMPLETE
23,23,2.158742952618132,2025-06-15 00:52:07.299439,2025-06-15 00:52:08.394791,0 days 00:00:01.095352,,,,,,,,,,,,,,,150,0.003,3m,3.0,3.0,0.9,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.0,0.004,3m,1.0,3.5,0.9,294.0,,,,,,,,0.45,2,COMPLETE
24,24,-2.391998697006348,2025-06-15 00:52:08.458308,2025-06-15 00:52:11.282629,0 days 00:00:02.824321,616.0,0.007,3m,2.0,1.0,0.7,146.0,708.0,0.004,2m,3.5,1.5,1.4,764.0,242,0.01,3m,4.0,1.0,1.1,420,178.0,0.006,4m,2.0,2.5,0.8,864.0,226.0,0.007,3m,3.0,1.0,0.5,484.0,,,,,,,,,,,,,,,,,,,,,,774.0,0.003,3m,2.0,3.5,1.2000000000000002,184.0,,,,,,,,0.4,6,COMPLETE
25,25,1.7362129910558175,2025-06-15 00:52:11.362142,2025-06-15 00:52:13.302047,0 days 00:00:01.939905,174.0,0.003,1m,3.5,4.0,1.4,344.0,544.0,0.002,3m,2.0,1.0,0.7,1002.0,104,0.007,3m,3.5,1.5,1.4,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,0.005,3m,1.5,3.5,1.1,450.0,,,,,,,,0.45,4,COMPLETE
26,26,-2.925741683210721,2025-06-15 00:52:13.383559,2025-06-15 00:52:16.539924,0 days 00:00:03.156365,872.0,0.007,2m,3.0,2.5,2.0,870.0,888.0,0.006,4m,3.0,2.5,0.5,578.0,86,0.005,1m,2.5,1.5,1.7000000000000002,624,514.0,0.003,4m,2.5,4.0,0.7,1014.0,1008.0,0.008,1m,2.0,1.5,1.4,384.0,,,,,,,,,,,,,,,,,,,,,,922.0,0.001,4m,2.0,1.5,1.3,674.0,844.0,0.004,2m,2.0,2.5,0.6,422.0,0.35000000000000003,7,COMPLETE
27,27,8.407323239405622,2025-06-15 00:52:16.616445,2025-06-15 00:52:20.676146,0 days 00:00:04.059701,732.0,0.005,4m,4.0,2.0,1.0,810.0,696.0,0.004,4m,4.0,1.5,0.7,304.0,28,0.004,4m,3.5,3.0,1.1,428,150.0,0.001,3m,1.0,1.0,1.5,278.0,706.0,0.01,4m,3.5,2.5,1.9000000000000001,848.0,302.0,0.004,4m,1.0,3.0,1.1,644.0,368.0,0.003,4m,1.0,3.0,0.9,1022.0,,,,,,,,798.0,0.006,3m,2.5,2.5,0.9,574.0,566.0,0.01,2m,2.5,3.5,2.0,854.0,0.3,9,COMPLETE
28,28,10.816186409118913,2025-06-15 00:52:20.755661,2025-06-15 00:52:25.499116,0 days 00:00:04.743455,722.0,0.005,4m,4.0,2.0,1.0,776.0,702.0,0.004,4m,4.0,1.5,0.7,282.0,24,0.002,4m,4.0,3.0,1.1,946,166.0,0.002,3m,1.0,1.0,1.5,232.0,682.0,0.01,4m,3.5,3.0,1.9000000000000001,850.0,286.0,0.004,4m,1.0,3.0,1.1,634.0,336.0,0.003,4m,1.0,3.0,0.8,994.0,52.0,0.003,4m,3.5,4.0,1.8,694.0,764.0,0.009000000000000001,1m,2.5,2.5,0.6,572.0,546.0,0.009000000000000001,2m,1.5,3.5,2.0,918.0,0.25,10,COMPLETE
29,29,9.535511146920756,2025-06-15 00:52:25.588276,2025-06-15 00:52:30.099085,0 days 00:00:04.510809,746.0,0.006,4m,4.0,2.0,1.0,790.0,738.0,0.004,4m,3.5,2.0,0.7,288.0,368,0.002,4m,4.0,3.0,0.9,190,208.0,0.001,3m,1.5,1.0,1.5,214.0,666.0,0.009000000000000001,4m,3.5,3.0,1.9000000000000001,922.0,280.0,0.005,4m,1.5,2.5,1.1,640.0,306.0,0.003,4m,1.0,3.0,0.8,1000.0,,,,,,,,766.0,0.009000000000000001,1m,3.0,2.5,0.6,576.0,526.0,0.01,2m,1.5,3.5,1.8,974.0,0.25,9,COMPLETE
30,30,5.100449544937329,2025-06-15 00:52:30.212118,2025-06-15 00:52:38.228213,0 days 00:00:08.016095,726.0,0.005,4m,4.0,2.0,1.0,928.0,724.0,0.005,4m,3.5,2.0,0.8,322.0,374,0.002,4m,4.0,3.0,0.6,220,214.0,0.001,3m,1.5,1.0,1.4,178.0,732.0,0.009000000000000001,4m,3.5,3.0,1.8,918.0,216.0,0.005,4m,1.5,2.5,1.1,648.0,282.0,0.003,4m,1.0,3.0,0.8,1006.0,,,,,,,,772.0,0.009000000000000001,1m,3.0,2.5,0.6,552.0,406.0,0.01,2m,1.5,3.5,1.9000000000000001,972.0,0.25,9,COMPLETE
