,number,value,datetime_start,datetime_complete,duration,params_CERN_TXN_beta_win,params_CERN_TXN_stop_loss,params_CERN_TXN_trade_freq,params_CERN_TXN_z_entry,params_CERN_TXN_z_exit,params_CERN_TXN_z_stop_scaler,params_CERN_TXN_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EA_TXN_beta_win,params_EA_TXN_stop_loss,params_EA_TXN_trade_freq,params_EA_TXN_z_entry,params_EA_TXN_z_exit,params_EA_TXN_z_stop_scaler,params_EA_TXN_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_INTC_PEP_beta_win,params_INTC_PEP_stop_loss,params_INTC_PEP_trade_freq,params_INTC_PEP_z_entry,params_INTC_PEP_z_exit,params_INTC_PEP_z_stop_scaler,params_INTC_PEP_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TMUS_TXN_beta_win,params_TMUS_TXN_stop_loss,params_TMUS_TXN_trade_freq,params_TMUS_TXN_z_entry,params_TMUS_TXN_z_exit,params_TMUS_TXN_z_stop_scaler,params_TMUS_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.8865456415945518,2025-06-15 00:34:03.786869,2025-06-15 00:34:05.162439,0 days 00:00:01.375570,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-6.8715721211778895,2025-06-15 00:34:05.221959,2025-06-15 00:34:06.604281,0 days 00:00:01.382322,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-2.518669496117857,2025-06-15 00:34:06.696805,2025-06-15 00:34:10.677697,0 days 00:00:03.980892,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,270,0.008,4m,1.0,1.5,0.5,50,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,0.2,9,COMPLETE
3,3,-2.491902995664354,2025-06-15 00:34:10.766203,2025-06-15 00:34:13.130641,0 days 00:00:02.364438,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,0.05,5,COMPLETE
4,4,1.3164812858101183,2025-06-15 00:34:13.178624,2025-06-15 00:34:15.398100,0 days 00:00:02.219476,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,0.2,5,COMPLETE
5,5,7.149255121981579,2025-06-15 00:34:15.486632,2025-06-15 00:34:19.015994,0 days 00:00:03.529362,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,430,0.001,4m,2.5,4.0,0.8,278,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,0.15000000000000002,8,COMPLETE
6,6,6.274834014817725,2025-06-15 00:34:19.107055,2025-06-15 00:34:20.960089,0 days 00:00:01.853034,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-4.252303368973715,2025-06-15 00:34:21.041041,2025-06-15 00:34:22.514812,0 days 00:00:01.473771,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,0.29830389166755944,2025-06-15 00:34:22.589838,2025-06-15 00:34:25.788998,0 days 00:00:03.199160,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,0.05,7,COMPLETE
9,9,7.505912611817874,2025-06-15 00:34:25.840507,2025-06-15 00:34:30.476874,0 days 00:00:04.636367,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,90,0.004,2m,4.0,1.5,0.9,844,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,0.45,10,COMPLETE
10,10,-3.2915473594456186,2025-06-15 00:34:30.549484,2025-06-15 00:34:35.428495,0 days 00:00:04.879011,526.0,0.005,4m,2.0,1.0,1.0,802.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,910.0,0.01,4m,4.0,4.0,2.0,884.0,852.0,0.001,2m,4.0,1.0,2.0,64.0,550.0,0.004,3m,3.5,1.0,0.7,60.0,98.0,0.01,4m,1.0,4.0,0.7,918.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,26,0.004,2m,3.0,1.0,1.1,1016,348.0,0.01,2m,4.0,1.0,2.0,808.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,0.35000000000000003,10,COMPLETE
11,11,-1.1259924918927895,2025-06-15 00:34:35.501018,2025-06-15 00:34:39.617478,0 days 00:00:04.116460,360.0,0.004,2m,1.5,1.5,1.1,22.0,600.0,0.001,4m,4.0,2.0,1.1,54.0,,,,,,,,46.0,0.01,4m,1.0,1.0,1.9000000000000001,138.0,788.0,0.005,1m,3.5,4.0,0.5,658.0,760.0,0.008,4m,4.0,4.0,2.0,930.0,230.0,0.008,1m,2.0,3.5,1.6,386.0,598,0.001,4m,2.5,4.0,0.9,1008,16.0,0.006,1m,3.0,2.5,1.8,34.0,,,,,,,,0.4,8,COMPLETE
12,12,4.320306609976454,2025-06-15 00:34:39.688487,2025-06-15 00:34:43.183241,0 days 00:00:03.494754,684.0,0.002,1m,2.0,3.5,0.5,74.0,742.0,0.005,1m,4.0,2.5,0.5,60.0,,,,,,,,390.0,0.003,2m,1.0,1.5,1.5,944.0,770.0,0.01,4m,1.5,2.0,0.8,792.0,530.0,0.007,4m,3.0,3.0,1.9000000000000001,758.0,,,,,,,,686,0.001,2m,2.5,4.0,0.9,298,184.0,0.007,1m,2.5,3.0,1.5,412.0,,,,,,,,0.2,7,COMPLETE
13,13,5.1824862868593735,2025-06-15 00:34:43.261754,2025-06-15 00:34:48.151932,0 days 00:00:04.890178,368.0,0.005,4m,1.0,2.0,1.4,340.0,394.0,0.007,4m,3.5,2.0,2.0,268.0,660.0,0.01,1m,4.0,4.0,1.9000000000000001,18.0,198.0,0.009000000000000001,1m,1.0,2.0,1.5,362.0,838.0,0.006,1m,3.0,1.0,0.8,1014.0,522.0,0.005,1m,2.5,4.0,1.6,728.0,422.0,0.006,1m,2.0,1.0,1.3,466.0,102,0.003,4m,3.0,3.0,1.6,498,264.0,0.008,2m,3.5,2.0,1.6,650.0,968.0,0.002,1m,3.5,1.0,1.0,620.0,0.15000000000000002,10,COMPLETE
14,14,-100.0,2025-06-15 00:34:48.255462,2025-06-15 00:34:48.893061,0 days 00:00:00.637599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0.003,2m,3.5,2.5,0.7,858,,,,,,,,,,,,,,,0.3,1,COMPLETE
15,15,-0.10661854874134101,2025-06-15 00:34:48.976569,2025-06-15 00:34:52.952910,0 days 00:00:03.976341,382.0,0.008,2m,2.0,3.5,1.6,1008.0,790.0,0.003,3m,3.5,1.0,1.2000000000000002,462.0,,,,,,,,610.0,0.004,2m,2.0,4.0,1.7000000000000002,782.0,636.0,0.004,3m,2.0,2.0,0.5,656.0,1014.0,0.008,4m,3.5,3.0,1.7000000000000002,48.0,578.0,0.004,1m,2.0,2.5,1.0,322.0,694,0.005,4m,2.0,3.5,1.0,230,610.0,0.004,1m,2.0,4.0,2.0,250.0,,,,,,,,0.5,8,COMPLETE
16,16,1.632011182020589,2025-06-15 00:34:53.045437,2025-06-15 00:34:57.349029,0 days 00:00:04.303592,692.0,0.003,4m,4.0,3.5,1.1,764.0,366.0,0.003,4m,1.0,2.5,0.9,164.0,390.0,0.006,4m,1.0,1.0,1.3,472.0,874.0,0.008,4m,3.0,1.5,1.2000000000000002,436.0,400.0,0.007,1m,3.0,4.0,0.9,238.0,274.0,0.002,4m,2.0,2.0,1.0,676.0,60.0,0.01,3m,4.0,2.5,2.0,758.0,810,0.006,2m,3.5,2.0,1.5,852,30.0,0.001,2m,3.0,1.0,1.4,572.0,,,,,,,,0.4,9,COMPLETE
17,17,3.595967402964357,2025-06-15 00:34:57.454549,2025-06-15 00:35:00.989747,0 days 00:00:03.535198,232.0,0.006,2m,1.5,2.0,0.8,202.0,844.0,0.007,1m,3.5,2.0,1.6,364.0,,,,,,,,438.0,0.007,1m,1.5,1.0,1.6,274.0,876.0,0.01,3m,3.5,2.5,0.7,866.0,706.0,0.01,3m,1.0,3.5,1.7000000000000002,1022.0,,,,,,,,448,0.002,1m,2.0,1.5,0.7,438,794.0,0.005,2m,3.0,3.0,1.0,286.0,,,,,,,,0.25,7,COMPLETE
18,18,-0.0885965890913996,2025-06-15 00:35:01.095719,2025-06-15 00:35:05.795147,0 days 00:00:04.699428,642.0,0.004,1m,3.0,3.0,0.5,448.0,1024.0,0.004,1m,3.0,1.5,1.4,664.0,1022.0,0.006,2m,3.0,3.0,1.5,840.0,240.0,0.004,3m,3.0,2.0,0.5,700.0,892.0,0.007,4m,2.0,1.5,1.6,592.0,338.0,0.006,1m,3.0,2.0,2.0,808.0,402.0,0.004,1m,1.0,3.0,1.1,638.0,162,0.006,2m,2.5,3.0,0.5,180,232.0,0.008,1m,4.0,2.0,1.8,24.0,,,,,,,,0.15000000000000002,9,COMPLETE
19,19,-4.706101378003853,2025-06-15 00:35:05.874660,2025-06-15 00:35:14.642494,0 days 00:00:08.767834,48.0,0.009000000000000001,2m,3.0,2.5,1.2000000000000002,670.0,512.0,0.001,4m,2.5,3.0,0.8,16.0,558.0,0.008,4m,2.5,2.5,0.7,202.0,718.0,0.002,4m,1.5,1.5,1.8,1014.0,666.0,0.005,3m,3.0,2.5,0.9,322.0,702.0,0.004,2m,2.0,3.5,1.5,540.0,774.0,0.007,1m,3.0,2.0,1.5,198.0,22,0.002,4m,4.0,3.5,1.0,626,352.0,0.007,2m,1.5,3.5,1.8,178.0,140.0,0.01,3m,1.0,4.0,2.0,16.0,0.35000000000000003,10,COMPLETE
20,20,3.050289006974567,2025-06-15 00:35:14.778007,2025-06-15 00:35:18.169272,0 days 00:00:03.391265,464.0,0.006,4m,2.0,3.5,2.0,306.0,476.0,0.006,3m,4.0,4.0,1.0,362.0,,,,,,,,,,,,,,,418.0,0.008,1m,2.0,1.5,0.5,126.0,78.0,0.008,4m,3.5,3.5,1.0,604.0,,,,,,,,428,0.005,2m,3.0,2.5,1.5,886,134.0,0.005,1m,3.5,1.5,0.5,390.0,,,,,,,,0.25,6,COMPLETE
21,21,6.471532102844187,2025-06-15 00:35:18.251789,2025-06-15 00:35:20.307609,0 days 00:00:02.055820,594.0,0.008,2m,2.5,2.5,0.8,580.0,240.0,0.009000000000000001,2m,2.0,4.0,1.7000000000000002,958.0,,,,,,,,,,,,,,,46.0,0.009000000000000001,3m,2.5,1.5,1.1,314.0,,,,,,,,,,,,,,,220,0.007,1m,4.0,1.0,0.6,752,,,,,,,,,,,,,,,0.45,4,COMPLETE
22,22,-100.0,2025-06-15 00:35:20.413665,2025-06-15 00:35:20.958178,0 days 00:00:00.544513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,0.007,1m,3.5,1.0,0.7,786,,,,,,,,,,,,,,,0.45,1,COMPLETE
23,23,5.290147198599242,2025-06-15 00:35:21.008184,2025-06-15 00:35:23.811856,0 days 00:00:02.803672,496.0,0.009000000000000001,2m,2.5,2.0,0.9,836.0,240.0,0.008,2m,2.0,2.0,1.8,748.0,,,,,,,,,,,,,,,234.0,0.009000000000000001,3m,3.0,1.0,1.2000000000000002,186.0,838.0,0.001,4m,2.0,2.5,1.8,860.0,,,,,,,,136,0.007,1m,4.0,1.5,0.8,594,714.0,0.01,3m,2.0,3.0,1.4,672.0,,,,,,,,0.45,6,COMPLETE
24,24,-3.29916722442869,2025-06-15 00:35:23.875366,2025-06-15 00:35:27.736149,0 days 00:00:03.860783,804.0,0.008,2m,3.0,2.5,0.7,692.0,668.0,0.006,2m,2.0,4.0,1.5,160.0,,,,,,,,520.0,0.005,2m,1.5,3.0,1.4,238.0,1020.0,0.008,3m,2.0,1.5,0.7,528.0,582.0,0.007,4m,3.0,4.0,1.1,342.0,290.0,0.004,2m,2.5,4.0,0.9,526.0,378,0.004,1m,3.5,1.0,0.6,936,984.0,0.007,4m,3.0,3.5,0.9,144.0,,,,,,,,0.4,8,COMPLETE
25,25,-0.6407371082862449,2025-06-15 00:35:27.812155,2025-06-15 00:35:29.938075,0 days 00:00:02.125920,590.0,0.01,2m,1.5,3.0,0.6,496.0,296.0,0.004,2m,1.5,2.5,2.0,1024.0,,,,,,,,,,,,,,,690.0,0.01,3m,1.5,2.0,0.9,372.0,,,,,,,,,,,,,,,248,0.007,1m,4.0,1.5,1.1,746,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
26,26,-3.2102335599418024,2025-06-15 00:35:30.028601,2025-06-15 00:35:31.017203,0 days 00:00:00.988602,738.0,0.008,2m,2.5,3.5,0.9,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.002,4m,3.0,2.0,0.9,404,,,,,,,,,,,,,,,0.5,2,COMPLETE
27,27,3.420601067624939,2025-06-15 00:35:31.072725,2025-06-15 00:35:35.552151,0 days 00:00:04.479426,300.0,0.004,4m,2.0,2.5,1.3,120.0,20.0,0.008,1m,3.5,1.5,1.8,362.0,756.0,0.002,2m,1.0,1.0,1.6,666.0,220.0,0.007,4m,2.5,2.0,0.9,558.0,224.0,0.007,3m,3.0,3.5,1.4,732.0,198.0,0.009000000000000001,3m,1.5,1.0,0.5,1018.0,814.0,0.009000000000000001,4m,1.5,1.0,1.8,636.0,516,0.01,3m,3.5,1.0,0.5,574,408.0,0.001,2m,2.5,2.0,1.7000000000000002,512.0,,,,,,,,0.1,9,COMPLETE
28,28,-6.6909025101066435,2025-06-15 00:35:35.643183,2025-06-15 00:35:37.777716,0 days 00:00:02.134533,956.0,0.009000000000000001,3m,1.0,3.0,1.5,746.0,136.0,0.009000000000000001,4m,1.5,1.0,0.7,152.0,,,,,,,,,,,,,,,18.0,0.009000000000000001,1m,2.5,2.5,1.0,526.0,,,,,,,,,,,,,,,236,0.005,4m,2.5,1.5,0.8,790,,,,,,,,,,,,,,,0.45,4,COMPLETE
29,29,3.497590642808626,2025-06-15 00:35:37.853841,2025-06-15 00:35:41.029694,0 days 00:00:03.175853,756.0,0.006,1m,4.0,1.5,1.0,638.0,864.0,0.002,2m,2.5,3.0,1.8,556.0,,,,,,,,,,,,,,,468.0,0.001,4m,3.5,1.5,0.6,934.0,400.0,0.006,2m,4.0,3.5,1.5,642.0,,,,,,,,340,0.006,3m,4.0,2.5,1.1,144,114.0,0.004,1m,3.5,1.5,1.3,368.0,,,,,,,,0.5,6,COMPLETE
30,30,6.365983114573199,2025-06-15 00:35:41.132730,2025-06-15 00:35:45.942375,0 days 00:00:04.809645,430.0,0.01,2m,2.5,2.0,1.2000000000000002,858.0,576.0,0.004,1m,3.0,3.5,1.4,1020.0,324.0,0.003,1m,3.5,3.5,1.0,608.0,66.0,0.005,2m,1.0,1.0,2.0,846.0,914.0,0.008,2m,4.0,1.0,1.1,646.0,448.0,0.004,1m,1.5,2.5,1.8,842.0,460.0,0.005,3m,2.5,3.0,0.8,954.0,74,0.003,1m,1.5,2.0,0.6,516,304.0,0.008,1m,2.5,4.0,2.0,210.0,604.0,0.006,4m,2.5,2.5,0.5,884.0,0.4,10,COMPLETE
31,31,5.61239743163474,2025-06-15 00:35:46.038838,2025-06-15 00:35:51.114678,0 days 00:00:05.075840,560.0,0.01,2m,2.5,2.0,1.2000000000000002,870.0,576.0,0.004,1m,4.0,3.5,1.4,1020.0,274.0,0.003,1m,3.5,3.5,1.0,644.0,38.0,0.005,2m,1.0,1.0,2.0,862.0,924.0,0.008,2m,4.0,1.0,1.2000000000000002,672.0,418.0,0.004,1m,1.5,2.5,1.7000000000000002,850.0,480.0,0.005,3m,2.5,3.0,0.8,312.0,84,0.003,1m,1.0,2.0,0.6,528,284.0,0.008,1m,2.5,4.0,2.0,218.0,590.0,0.006,4m,2.5,2.5,0.5,988.0,0.4,10,COMPLETE
32,32,8.344276199561614,2025-06-15 00:35:51.191988,2025-06-15 00:35:55.735768,0 days 00:00:04.543780,446.0,0.009000000000000001,2m,2.5,1.5,1.4,936.0,424.0,0.005,1m,3.0,4.0,1.5,904.0,338.0,0.003,1m,3.5,3.5,1.0,314.0,134.0,0.004,2m,1.5,1.5,1.8,686.0,840.0,0.006,2m,4.0,1.0,1.0,568.0,584.0,0.004,1m,1.0,1.5,1.9000000000000001,924.0,294.0,0.006,3m,3.0,3.5,0.7,980.0,16,0.001,1m,1.5,2.0,0.7,412,20.0,0.009000000000000001,1m,3.0,3.5,1.9000000000000001,110.0,,,,,,,,0.45,9,COMPLETE
33,33,-4.389745526070989,2025-06-15 00:35:55.794768,2025-06-15 00:36:00.263238,0 days 00:00:04.468470,284.0,0.008,2m,3.0,1.5,1.4,1010.0,436.0,0.005,1m,3.5,2.0,1.6,884.0,472.0,0.004,3m,3.5,3.5,1.0,288.0,996.0,0.003,2m,1.5,1.5,1.7000000000000002,642.0,824.0,0.006,2m,3.5,1.5,0.8,488.0,652.0,0.007,1m,1.0,1.5,1.9000000000000001,942.0,258.0,0.007,3m,3.5,3.5,1.3,548.0,310,0.001,1m,1.0,1.5,0.8,398,40.0,0.009000000000000001,1m,3.0,3.5,1.8,116.0,,,,,,,,0.5,9,COMPLETE
34,34,5.491608498611222,2025-06-15 00:36:00.339731,2025-06-15 00:36:04.598805,0 days 00:00:04.259074,140.0,0.009000000000000001,2m,2.0,1.0,1.6,932.0,334.0,0.006,1m,2.0,4.0,1.9000000000000001,784.0,,,,,,,,310.0,0.003,2m,2.5,2.5,1.8,452.0,710.0,0.007,2m,4.0,2.0,0.6,432.0,856.0,0.003,1m,2.5,1.5,1.9000000000000001,762.0,168.0,0.002,1m,1.5,3.5,0.7,1022.0,18,0.002,2m,2.0,1.5,0.7,292,166.0,0.009000000000000001,1m,3.5,3.0,1.6,324.0,,,,,,,,0.45,8,COMPLETE
35,35,4.551845044860027,2025-06-15 00:36:04.708323,2025-06-15 00:36:07.243844,0 days 00:00:02.535521,902.0,0.003,3m,3.0,3.0,1.4,410.0,192.0,0.005,2m,4.0,4.0,1.7000000000000002,926.0,,,,,,,,,,,,,,,984.0,0.005,1m,2.5,1.0,1.0,580.0,,,,,,,,,,,,,,,202,0.001,1m,1.5,2.0,1.0,386,88.0,0.006,2m,3.0,2.5,1.9000000000000001,82.0,,,,,,,,0.3,5,COMPLETE
36,36,-2.4389981240816927,2025-06-15 00:36:07.337365,2025-06-15 00:36:09.019725,0 days 00:00:01.682360,668.0,0.009000000000000001,4m,1.5,4.0,1.7000000000000002,944.0,,,,,,,,,,,,,,,,,,,,,,606.0,0.006,3m,2.5,1.5,1.0,370.0,,,,,,,,,,,,,,,142,0.002,1m,4.0,1.0,2.0,946,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
37,37,1.967558729070655,2025-06-15 00:36:09.095753,2025-06-15 00:36:13.803539,0 days 00:00:04.707786,430.0,0.007,1m,1.0,3.0,0.7,772.0,106.0,0.005,4m,2.5,4.0,1.5,734.0,140.0,0.005,4m,2.0,2.0,1.7000000000000002,172.0,514.0,0.004,1m,1.5,1.5,1.3,754.0,1020.0,0.004,3m,3.0,2.0,2.0,592.0,994.0,0.006,4m,1.0,2.0,1.6,948.0,344.0,0.007,1m,3.0,2.0,1.1,722.0,288,0.008,4m,1.5,2.0,0.5,348,208.0,0.007,3m,4.0,3.5,1.7000000000000002,476.0,,,,,,,,0.25,9,COMPLETE
38,38,4.119122990212491,2025-06-15 00:36:13.888052,2025-06-15 00:36:17.577727,0 days 00:00:03.689675,632.0,0.008,2m,2.5,3.5,1.8,560.0,438.0,0.008,2m,3.5,3.5,1.7000000000000002,814.0,,,,,,,,148.0,0.007,3m,2.0,2.0,1.7000000000000002,602.0,846.0,0.009000000000000001,2m,2.5,3.5,1.3,724.0,592.0,0.009000000000000001,4m,3.5,1.5,1.2000000000000002,722.0,,,,,,,,382,0.001,2m,2.0,1.5,1.2000000000000002,466,462.0,0.009000000000000001,4m,2.0,3.0,1.5,348.0,,,,,,,,0.15000000000000002,7,COMPLETE
39,39,-6.4930426162449475,2025-06-15 00:36:17.655246,2025-06-15 00:36:19.634618,0 days 00:00:01.979372,772.0,0.005,3m,3.5,1.5,1.5,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,0.008,1m,1.0,2.5,0.9,682,,,,,,,,,,,,,,,0.45,2,COMPLETE
40,40,-2.4101791096924963,2025-06-15 00:36:19.741136,2025-06-15 00:36:26.519283,0 days 00:00:06.778147,118.0,0.01,4m,3.0,4.0,0.8,236.0,708.0,0.006,3m,3.0,1.5,1.2000000000000002,956.0,,,,,,,,330.0,0.001,4m,4.0,4.0,1.5,450.0,314.0,0.007,1m,2.0,1.0,0.7,864.0,208.0,0.005,1m,2.0,3.0,2.0,86.0,598.0,0.006,3m,1.5,4.0,1.5,198.0,214,0.007,3m,3.0,4.0,0.6,248,66.0,0.005,1m,3.0,1.0,1.9000000000000001,246.0,,,,,,,,0.1,8,COMPLETE
41,41,2.051530370103861,2025-06-15 00:36:26.628317,2025-06-15 00:36:32.351353,0 days 00:00:05.723036,464.0,0.01,2m,2.5,2.0,1.1,838.0,542.0,0.004,1m,3.0,3.5,1.4,964.0,330.0,0.003,1m,3.5,3.5,1.0,554.0,108.0,0.005,2m,1.0,1.0,1.9000000000000001,848.0,938.0,0.008,2m,4.0,1.0,1.1,536.0,494.0,0.004,1m,1.5,2.5,1.8,846.0,488.0,0.005,3m,2.5,3.0,0.7,986.0,84,0.003,1m,1.5,2.0,0.7,544,324.0,0.008,1m,2.5,4.0,1.9000000000000001,184.0,570.0,0.007,4m,2.5,2.5,0.5,460.0,0.4,10,COMPLETE
42,42,5.505938283430187,2025-06-15 00:36:32.402355,2025-06-15 00:36:37.038851,0 days 00:00:04.636496,302.0,0.009000000000000001,2m,2.5,2.5,1.3,918.0,622.0,0.004,1m,3.0,3.5,1.5,976.0,234.0,0.008,1m,4.0,4.0,1.2000000000000002,380.0,98.0,0.006,2m,1.0,1.0,2.0,834.0,912.0,0.008,2m,4.0,1.5,1.1,688.0,422.0,0.004,1m,1.0,3.5,1.8,886.0,378.0,0.003,3m,2.5,3.5,0.5,928.0,74,0.003,1m,1.5,1.0,0.6,468,126.0,0.007,1m,2.5,4.0,1.7000000000000002,94.0,340.0,0.003,2m,3.0,2.0,0.8,958.0,0.45,10,COMPLETE
43,43,-2.0846883361000446,2025-06-15 00:36:37.088370,2025-06-15 00:36:41.197373,0 days 00:00:04.109003,512.0,0.01,2m,2.0,1.5,1.6,808.0,508.0,0.003,1m,2.5,4.0,1.3,240.0,504.0,0.001,1m,3.0,3.0,0.8,722.0,254.0,0.004,2m,1.5,1.5,1.8,728.0,966.0,0.009000000000000001,2m,4.0,1.0,0.9,624.0,364.0,0.003,1m,1.5,2.0,1.6,800.0,692.0,0.006,3m,2.0,3.0,0.8,888.0,120,0.004,1m,1.5,2.0,0.8,350,90.0,0.008,1m,1.0,4.0,2.0,182.0,,,,,,,,0.5,9,COMPLETE
44,44,5.406582480996525,2025-06-15 00:36:41.274895,2025-06-15 00:36:46.436225,0 days 00:00:05.161330,418.0,0.009000000000000001,2m,2.5,2.0,1.0,988.0,920.0,0.01,1m,2.0,4.0,1.6,842.0,686.0,0.004,1m,3.5,3.5,1.3,522.0,152.0,0.008,2m,1.0,1.0,1.9000000000000001,950.0,732.0,0.007,2m,3.5,1.0,1.2000000000000002,816.0,482.0,0.002,1m,1.0,4.0,1.8,1018.0,152.0,0.005,3m,3.5,3.5,0.9,472.0,52,0.004,1m,1.0,1.5,0.5,690,182.0,0.006,1m,3.0,3.5,1.9000000000000001,254.0,810.0,0.009000000000000001,4m,1.5,3.5,1.4,452.0,0.4,10,COMPLETE
