,number,value,datetime_start,datetime_complete,duration,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_AMD_DLTR_beta_win,params_AMD_DLTR_stop_loss,params_AMD_DLTR_trade_freq,params_AMD_DLTR_z_entry,params_AMD_DLTR_z_exit,params_AMD_DLTR_z_stop_scaler,params_AMD_DLTR_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_CDW_NVDA_beta_win,params_CDW_NVDA_stop_loss,params_CDW_NVDA_trade_freq,params_CDW_NVDA_z_entry,params_CDW_NVDA_z_exit,params_CDW_NVDA_z_stop_scaler,params_CDW_NVDA_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TSLA_beta_win,params_CSCO_TSLA_stop_loss,params_CSCO_TSLA_trade_freq,params_CSCO_TSLA_z_entry,params_CSCO_TSLA_z_exit,params_CSCO_TSLA_z_stop_scaler,params_CSCO_TSLA_z_win,params_CSCO_XEL_beta_win,params_CSCO_XEL_stop_loss,params_CSCO_XEL_trade_freq,params_CSCO_XEL_z_entry,params_CSCO_XEL_z_exit,params_CSCO_XEL_z_stop_scaler,params_CSCO_XEL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
81,81,6.820746197544578,2025-06-15 00:14:31.265667,2025-06-15 00:14:33.646457,0 days 00:00:02.380790,800,0.006,3m,1.0,1.5,0.5,944,,,,,,,,,,,,,,,,,,,,,,970.0,0.003,4m,1.0,4.0,0.6,80.0,950.0,0.001,3m,1.5,1.5,0.7,80.0,,,,,,,,,,,,,,,,,,,,,,222,0.009000000000000001,1m,3.5,2.0,1.7000000000000002,580,,,,,,,,0.05,3,COMPLETE
82,82,5.3638684980610964,2025-06-15 00:14:33.716711,2025-06-15 00:14:36.496269,0 days 00:00:02.779558,898,0.006,3m,1.0,1.0,0.7,862,,,,,,,,,,,,,,,,,,,,,,934.0,0.003,4m,1.0,4.0,0.6,134.0,802.0,0.002,3m,1.0,1.0,0.6,192.0,,,,,,,,,,,,,,,,,,,,,,126,0.007,1m,3.0,2.0,1.6,514,,,,,,,,0.1,3,COMPLETE
83,83,9.505979176421507,2025-06-15 00:14:36.562587,2025-06-15 00:14:38.701259,0 days 00:00:02.138672,932,0.006,1m,1.5,1.5,0.6,956,,,,,,,,,,,,,,,,,,,,,,988.0,0.003,4m,1.0,3.5,0.7,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.008,3m,3.5,2.0,1.5,550,,,,,,,,0.05,2,COMPLETE
84,84,6.460996161546106,2025-06-15 00:14:38.770113,2025-06-15 00:14:40.536490,0 days 00:00:01.766377,922,0.006,3m,1.0,2.0,0.6,966,,,,,,,,,,,,,,,,,,,,,,868.0,0.002,4m,1.0,3.5,0.7,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,0.008,3m,3.0,2.5,1.4,558,,,,,,,,0.05,2,COMPLETE
85,85,4.159465924311958,2025-06-15 00:14:40.604972,2025-06-15 00:14:42.560201,0 days 00:00:01.955229,756,0.005,1m,1.5,1.5,0.6,884,,,,,,,,,,,,,,,,,,,,,,984.0,0.004,4m,1.0,4.0,0.8,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0.008,3m,3.5,2.0,1.6,606,,,,,,,,0.05,2,COMPLETE
86,86,1.8181652375869437,2025-06-15 00:14:42.632330,2025-06-15 00:14:44.717230,0 days 00:00:02.084900,860,0.007,1m,1.0,1.5,0.8,840,,,,,,,,,,,,,,,,,,,,,,930.0,0.003,4m,1.5,3.5,0.7,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,0.009000000000000001,3m,2.5,2.0,1.8,542,,,,,,,,0.05,2,COMPLETE
87,87,8.947468786101862,2025-06-15 00:14:44.806639,2025-06-15 00:14:47.274792,0 days 00:00:02.468153,984,0.006,1m,1.5,1.0,0.5,912,,,,,,,,,,,,,,,,,,,,,,986.0,0.002,4m,1.0,3.5,0.5,66.0,896.0,0.002,3m,1.5,1.5,0.9,154.0,,,,,,,,,,,,,,,,,,,,,,212,0.007,1m,3.5,2.5,1.6,466,,,,,,,,0.1,3,COMPLETE
88,88,7.150753385289307,2025-06-15 00:14:47.332227,2025-06-15 00:14:50.785022,0 days 00:00:03.452795,934,0.007,3m,1.5,1.0,0.6,914,,,,,,,,196.0,0.01,2m,1.0,4.0,1.7000000000000002,92.0,,,,,,,,992.0,0.002,4m,1.5,3.5,0.5,84.0,908.0,0.002,3m,1.5,1.5,0.9,56.0,,,,,,,,,,,,,,,,,,,,,,212,0.009000000000000001,3m,3.5,2.5,1.7000000000000002,462,,,,,,,,0.05,4,COMPLETE
89,89,7.6444921522769835,2025-06-15 00:14:50.895556,2025-06-15 00:14:53.453465,0 days 00:00:02.557909,892,0.005,1m,1.5,2.0,0.7,958,,,,,,,,,,,,,,,,,,,,,,900.0,0.004,4m,1.0,4.0,0.5,24.0,1020.0,0.001,3m,1.5,1.5,1.0,230.0,,,,,,,,,,,,,,,,,,,,,,306,0.008,3m,3.0,2.5,1.4,616,,,,,,,,0.1,3,COMPLETE
90,90,3.333782650492097,2025-06-15 00:14:53.529384,2025-06-15 00:14:56.287804,0 days 00:00:02.758420,822,0.004,2m,1.0,1.0,0.5,996,,,,,,,,,,,,,,,,,,,,,,946.0,0.002,4m,1.0,3.5,0.7,106.0,820.0,0.004,3m,1.0,1.0,0.9,144.0,,,,,,,,,,,,,,,,,,,,,,194,0.007,1m,3.5,2.5,1.6,408,,,,,,,,0.05,3,COMPLETE
91,91,7.843018651364278,2025-06-15 00:14:56.365950,2025-06-15 00:14:58.539217,0 days 00:00:02.173267,970,0.006,1m,1.5,1.5,0.5,820,,,,,,,,,,,,,,,,,,,,,,840.0,0.003,4m,1.0,4.0,0.6,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.007,1m,3.5,2.0,1.5,476,,,,,,,,0.1,2,COMPLETE
92,92,8.858530656183369,2025-06-15 00:14:58.610479,2025-06-15 00:15:00.577874,0 days 00:00:01.967395,986,0.006,1m,1.5,2.0,0.6,900,,,,,,,,,,,,,,,,,,,,,,994.0,0.003,4m,1.0,4.0,0.6,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0.007,1m,3.5,2.0,1.5,540,,,,,,,,0.1,2,COMPLETE
93,93,5.5840908351903735,2025-06-15 00:15:00.647268,2025-06-15 00:15:03.394882,0 days 00:00:02.747614,1004,0.006,1m,1.5,2.0,0.7,922,,,,,,,,,,,,,,,,,,,,,,990.0,0.003,4m,1.5,4.0,0.5,192.0,732.0,0.001,3m,1.5,1.5,1.1,78.0,,,,,,,,,,,,,,,,,,,,,,322,0.006,1m,3.5,2.0,1.6,448,,,,,,,,0.1,3,COMPLETE
94,94,2.63299486079824,2025-06-15 00:15:03.492145,2025-06-15 00:15:05.566980,0 days 00:00:02.074835,992,0.007,1m,1.0,2.0,0.8,906,,,,,,,,,,,,,,,,,,,,,,890.0,0.002,4m,1.0,4.0,0.7,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.008,1m,3.0,2.5,1.8,538,,,,,,,,0.05,2,COMPLETE
95,95,5.256435412260704,2025-06-15 00:15:05.643501,2025-06-15 00:15:08.728680,0 days 00:00:03.085179,940,0.006,1m,1.5,1.0,0.6,966,,,,,,,,278.0,0.007,1m,1.5,3.5,1.9000000000000001,176.0,,,,,,,,970.0,0.004,4m,1.5,3.5,0.6,80.0,906.0,0.002,3m,1.0,1.0,0.5,324.0,,,,,,,,,,,,,,,,,,,,,,246,0.007,1m,3.5,2.0,1.4,574,,,,,,,,0.1,4,COMPLETE
96,96,10.148805998578666,2025-06-15 00:15:08.820798,2025-06-15 00:15:10.999121,0 days 00:00:02.178323,912,0.005,1m,1.5,2.0,0.6,854,,,,,,,,,,,,,,,,,,,,,,996.0,0.003,4m,1.0,4.0,0.8,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0.007,1m,3.5,2.0,1.6,642,,,,,,,,0.15000000000000002,2,COMPLETE
97,97,9.844549614078508,2025-06-15 00:15:11.081084,2025-06-15 00:15:13.600652,0 days 00:00:02.519568,848,0.005,1m,1.0,1.0,0.5,850,,,,,,,,,,,,,,,,,,,,,,920.0,0.002,4m,1.0,3.0,0.8,114.0,976.0,0.003,3m,1.5,1.5,0.7,164.0,,,,,,,,,,,,,,,,,,,,,,220,0.008,1m,3.5,1.5,1.6,668,,,,,,,,0.15000000000000002,3,COMPLETE
98,98,3.0332207442824894,2025-06-15 00:15:13.672456,2025-06-15 00:15:15.576022,0 days 00:00:01.903566,902,0.005,1m,1.5,1.0,0.5,810,,,,,,,,,,,,,,,,,,,,,,918.0,0.002,4m,1.5,3.0,0.8,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,0.006,3m,3.5,1.5,1.7000000000000002,638,,,,,,,,0.2,2,COMPLETE
99,99,5.869228302257578,2025-06-15 00:15:15.655662,2025-06-15 00:15:18.460118,0 days 00:00:02.804456,862,0.005,1m,1.5,1.0,0.6,872,,,,,,,,,,,,,,,,,,,,,,864.0,0.002,4m,1.0,3.0,0.8,156.0,978.0,0.003,3m,2.0,1.0,1.2000000000000002,164.0,,,,,,,,,,,,,,,,,,,,,,120,0.007,1m,3.5,2.5,1.8,728,,,,,,,,0.15000000000000002,3,COMPLETE
100,100,0.25369311092593033,2025-06-15 00:15:18.551102,2025-06-15 00:15:20.419207,0 days 00:00:01.868105,650,0.004,1m,1.0,1.5,0.5,846,,,,,,,,,,,,,,,,,,,,,,804.0,0.004,4m,1.0,3.0,0.9,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,0.008,1m,3.5,1.5,1.4,672,,,,,,,,0.15000000000000002,2,COMPLETE
101,101,4.9835093593982664,2025-06-15 00:15:20.512445,2025-06-15 00:15:23.278688,0 days 00:00:02.766243,774,0.005,1m,1.0,1.5,0.6,1024,,,,,,,,,,,,,,,,,,,,,,954.0,0.003,4m,1.0,3.5,0.7,16.0,834.0,0.002,3m,1.5,1.5,0.7,20.0,,,,,,,,,,,,,,,,,,,,,,252,0.008,1m,3.5,2.0,1.6,774,,,,,,,,0.15000000000000002,3,COMPLETE
102,102,9.623970688458375,2025-06-15 00:15:23.355581,2025-06-15 00:15:25.783028,0 days 00:00:02.427447,846,0.005,1m,1.0,2.0,0.7,778,,,,,,,,,,,,,,,,,,,,,,1000.0,0.003,4m,1.0,4.0,0.7,32.0,982.0,0.004,3m,1.5,1.5,0.6,114.0,,,,,,,,,,,,,,,,,,,,,,184,0.007,1m,3.0,1.5,1.5,702,,,,,,,,0.15000000000000002,3,COMPLETE
103,103,7.7390625211284405,2025-06-15 00:15:25.858560,2025-06-15 00:15:29.274705,0 days 00:00:03.416145,880,0.004,1m,1.5,1.0,0.5,848,,,,,,,,230.0,0.008,2m,1.0,3.5,1.9000000000000001,926.0,,,,,,,,1004.0,0.003,4m,1.0,3.5,0.8,62.0,908.0,0.004,3m,2.0,2.0,0.6,118.0,,,,,,,,,,,,,,,,,,,,,,188,0.007,1m,3.5,1.5,1.5,780,,,,,,,,0.15000000000000002,4,COMPLETE
104,104,1.1995918269951784,2025-06-15 00:15:29.382757,2025-06-15 00:15:31.834957,0 days 00:00:02.452200,814,0.005,1m,1.0,1.5,0.6,788,,,,,,,,,,,,,,,,,,,,,,984.0,0.002,3m,2.0,4.0,0.7,94.0,754.0,0.004,3m,2.0,1.0,0.6,246.0,,,,,,,,,,,,,,,,,,,,,,142,0.006,1m,3.5,1.5,1.6,738,,,,,,,,0.2,3,COMPLETE
105,105,6.3616788615772615,2025-06-15 00:15:31.932753,2025-06-15 00:15:35.935268,0 days 00:00:04.002515,932,0.005,1m,1.0,2.0,0.5,676,,,,,,,,334.0,0.005,1m,2.0,4.0,1.6,78.0,,,,,,,,936.0,0.002,4m,1.0,4.0,0.8,208.0,998.0,0.005,3m,1.5,1.5,1.0,192.0,,,,,,,,144.0,0.01,3m,1.0,4.0,0.5,68.0,,,,,,,,172,0.007,1m,3.0,1.5,1.5,1016,,,,,,,,0.15000000000000002,5,COMPLETE
106,106,3.429141307119568,2025-06-15 00:15:36.000042,2025-06-15 00:15:37.900698,0 days 00:00:01.900656,700,0.005,1m,1.5,1.0,0.7,806,,,,,,,,,,,,,,,,,,,,,,1002.0,0.005,4m,1.5,3.5,0.7,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,0.007,2m,3.5,2.5,1.7000000000000002,600,,,,,,,,0.15000000000000002,2,COMPLETE
107,107,4.922734977306932,2025-06-15 00:15:37.976187,2025-06-15 00:15:40.629595,0 days 00:00:02.653408,570,0.004,1m,1.0,1.5,0.6,772,,,,,,,,,,,,,,,,,,,,,,902.0,0.003,4m,1.0,4.0,0.5,172.0,882.0,0.003,3m,1.0,2.0,0.8,126.0,,,,,,,,,,,,,,,,,,,,,,270,0.006,1m,3.5,1.5,1.5,690,,,,,,,,0.2,3,COMPLETE
108,108,9.438102375128393,2025-06-15 00:15:40.712919,2025-06-15 00:15:42.801993,0 days 00:00:02.089074,954,0.005,1m,1.5,2.0,0.5,832,,,,,,,,,,,,,,,,,,,,,,974.0,0.003,4m,1.0,4.0,0.7,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.007,1m,3.5,2.5,1.6,714,,,,,,,,0.15000000000000002,2,COMPLETE
109,109,5.671036193269146,2025-06-15 00:15:42.874501,2025-06-15 00:15:44.954309,0 days 00:00:02.079808,910,0.005,1m,1.5,2.0,0.5,732,,,,,,,,,,,,,,,,,,,,,,924.0,0.004,4m,1.0,4.0,0.8,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.006,1m,2.0,1.5,1.3,724,,,,,,,,0.15000000000000002,2,COMPLETE
110,110,2.425056211811558,2025-06-15 00:15:45.018804,2025-06-15 00:15:46.954657,0 days 00:00:01.935853,850,0.005,1m,2.5,2.0,0.8,834,,,,,,,,,,,,,,,,,,,,,,972.0,0.003,4m,2.0,4.0,0.9,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,0.008,1m,3.0,2.0,1.4,660,,,,,,,,0.2,2,COMPLETE
111,111,9.489133729168742,2025-06-15 00:15:47.048289,2025-06-15 00:15:49.230075,0 days 00:00:02.181786,956,0.005,1m,1.5,1.5,0.5,860,,,,,,,,,,,,,,,,,,,,,,1008.0,0.003,4m,1.0,4.0,0.7,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.007,1m,3.5,2.5,1.7000000000000002,766,,,,,,,,0.15000000000000002,2,COMPLETE
112,112,9.300971616128956,2025-06-15 00:15:49.305586,2025-06-15 00:15:51.312170,0 days 00:00:02.006584,958,0.005,1m,1.5,1.5,0.5,858,,,,,,,,,,,,,,,,,,,,,,1006.0,0.003,4m,1.0,4.0,0.7,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.007,1m,3.5,2.5,1.7000000000000002,768,,,,,,,,0.15000000000000002,2,COMPLETE
113,113,6.708398394656978,2025-06-15 00:15:51.383692,2025-06-15 00:15:53.507621,0 days 00:00:02.123929,958,0.004,1m,1.0,1.5,0.6,870,,,,,,,,,,,,,,,,,,,,,,1004.0,0.003,4m,1.0,4.0,0.7,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.007,1m,3.5,2.5,1.8,818,,,,,,,,0.15000000000000002,2,COMPLETE
114,114,6.674694943420865,2025-06-15 00:15:53.588586,2025-06-15 00:15:55.767524,0 days 00:00:02.178938,956,0.005,1m,2.0,2.0,0.6,784,,,,,,,,,,,,,,,,,,,,,,954.0,0.004,4m,1.0,4.0,0.7,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0.007,1m,3.5,3.0,1.7000000000000002,706,,,,,,,,0.15000000000000002,2,COMPLETE
115,115,4.301009658771994,2025-06-15 00:15:55.838350,2025-06-15 00:15:57.826432,0 days 00:00:01.988082,922,0.005,1m,1.5,1.5,0.5,740,,,,,,,,,,,,,,,,,,,,,,882.0,0.003,4m,1.5,4.0,0.8,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.006,1m,3.5,2.0,1.6,900,,,,,,,,0.15000000000000002,2,COMPLETE
116,116,6.915122151331925,2025-06-15 00:15:57.914252,2025-06-15 00:16:00.076239,0 days 00:00:02.161987,1002,0.004,1m,2.0,2.0,0.7,810,,,,,,,,,,,,,,,,,,,,,,944.0,0.003,4m,1.0,4.0,0.7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,0.007,1m,3.5,2.5,1.7000000000000002,764,,,,,,,,0.15000000000000002,2,COMPLETE
117,117,2.8632678180972237,2025-06-15 00:16:00.137001,2025-06-15 00:16:01.567662,0 days 00:00:01.430661,892,0.005,1m,1.5,1.5,0.6,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.006,3m,2.5,2.5,1.7000000000000002,790,,,,,,,,0.2,1,COMPLETE
118,118,2.016992550992834,2025-06-15 00:16:01.645610,2025-06-15 00:16:03.637013,0 days 00:00:01.991403,952,0.005,2m,1.0,1.5,0.5,886,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,4m,1.0,4.0,0.8,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.008,1m,3.5,2.0,1.9000000000000001,710,,,,,,,,0.15000000000000002,2,COMPLETE
119,119,3.035928757612372,2025-06-15 00:16:03.722008,2025-06-15 00:16:05.011403,0 days 00:00:01.289395,994,0.004,1m,2.0,2.0,0.6,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,0.007,1m,3.0,2.0,1.6,748,,,,,,,,0.15000000000000002,1,COMPLETE
120,120,-0.9418045119048365,2025-06-15 00:16:05.104855,2025-06-15 00:16:07.379422,0 days 00:00:02.274567,942,0.005,1m,1.5,1.5,0.5,850,,,,,,,,,,,,,,,,,,,,,,976.0,0.004,3m,1.0,4.0,0.7,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0.008,1m,3.5,2.5,1.5,806,,,,,,,,0.15000000000000002,2,COMPLETE
121,121,8.735647345990367,2025-06-15 00:16:07.460112,2025-06-15 00:16:09.406782,0 days 00:00:01.946670,880,0.006,1m,1.5,1.5,0.5,774,,,,,,,,,,,,,,,,,,,,,,1008.0,0.003,4m,1.0,4.0,0.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,0.007,1m,3.5,2.5,1.5,628,,,,,,,,0.2,2,COMPLETE
122,122,7.150950227511598,2025-06-15 00:16:09.498436,2025-06-15 00:16:12.186733,0 days 00:00:02.688297,920,0.005,1m,1.5,1.5,0.5,746,,,,,,,,,,,,,,,,,,,,,,1008.0,0.003,4m,1.0,4.0,0.6,100.0,654.0,0.005,2m,1.0,1.0,0.5,392.0,,,,,,,,,,,,,,,,,,,,,,234,0.007,1m,3.5,2.5,1.5,754,,,,,,,,0.15000000000000002,3,COMPLETE
123,123,8.02546091359948,2025-06-15 00:16:12.248480,2025-06-15 00:16:14.009830,0 days 00:00:01.761350,966,0.006,1m,1.5,1.5,0.5,796,,,,,,,,,,,,,,,,,,,,,,968.0,0.003,4m,1.0,4.0,0.7,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,0.007,1m,3.5,3.0,1.6,708,,,,,,,,0.15000000000000002,2,COMPLETE
124,124,-0.190025866830972,2025-06-15 00:16:14.089846,2025-06-15 00:16:16.321643,0 days 00:00:02.231797,784,0.005,1m,2.0,1.5,0.6,692,,,,,,,,,,,,,,,,,,,,,,910.0,0.004,4m,1.0,4.0,0.6,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,0.006,1m,3.5,2.5,1.7000000000000002,844,,,,,,,,0.1,2,COMPLETE
125,125,4.102051170724074,2025-06-15 00:16:16.398097,2025-06-15 00:16:18.960460,0 days 00:00:02.562363,852,0.006,1m,1.0,2.0,0.5,828,,,,,,,,,,,,,,,,,,,,,,942.0,0.002,4m,1.0,4.0,0.8,130.0,694.0,0.004,2m,1.0,2.0,0.5,298.0,,,,,,,,,,,,,,,,,,,,,,164,0.008,2m,3.5,2.0,1.4,496,,,,,,,,0.2,3,COMPLETE
126,126,7.889007433172765,2025-06-15 00:16:19.035309,2025-06-15 00:16:21.240361,0 days 00:00:02.205052,896,0.006,1m,1.5,1.5,0.7,718,,,,,,,,,,,,,,,,,,,,,,986.0,0.003,4m,1.5,4.0,0.6,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,0.007,1m,3.5,2.5,1.6,658,,,,,,,,0.1,2,COMPLETE
127,127,3.742216934903605,2025-06-15 00:16:21.314770,2025-06-15 00:16:22.684425,0 days 00:00:01.369655,934,0.005,1m,2.0,2.5,0.6,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,0.009000000000000001,1m,3.0,2.5,1.5,516,,,,,,,,0.15000000000000002,1,COMPLETE
128,128,10.816328680637694,2025-06-15 00:16:22.760262,2025-06-15 00:16:25.498573,0 days 00:00:02.738311,874,0.007,1m,1.0,2.0,0.5,758,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,4m,1.0,4.0,0.7,18.0,842.0,0.003,3m,2.0,1.0,0.7,426.0,,,,,,,,,,,,,,,,,,,,,,314,0.007,3m,3.5,2.0,1.6,550,,,,,,,,0.05,3,COMPLETE
129,129,5.344236155229574,2025-06-15 00:16:25.582216,2025-06-15 00:16:28.828307,0 days 00:00:03.246091,1004,0.007,1m,1.0,2.0,0.6,886,,,,,,,,394.0,0.006,2m,2.5,3.0,1.8,790.0,,,,,,,,998.0,0.003,4m,1.0,1.5,0.7,58.0,768.0,0.003,3m,2.0,1.0,0.6,494.0,,,,,,,,,,,,,,,,,,,,,,316,0.006,3m,3.0,2.0,1.7000000000000002,866,,,,,,,,0.1,4,COMPLETE
130,130,5.165038026557348,2025-06-15 00:16:28.915074,2025-06-15 00:16:31.064196,0 days 00:00:02.149122,912,0.008,1m,1.0,2.0,0.5,812,,,,,,,,,,,,,,,,,,,,,,952.0,0.004,4m,1.0,4.0,0.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,0.007,3m,3.5,2.0,1.8,554,,,,,,,,0.15000000000000002,2,COMPLETE
131,131,10.504023959793836,2025-06-15 00:16:31.165931,2025-06-15 00:16:33.651617,0 days 00:00:02.485686,870,0.007,1m,1.0,2.0,0.5,762,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,4m,1.0,4.0,0.7,42.0,718.0,0.003,3m,1.5,1.0,0.8,426.0,,,,,,,,,,,,,,,,,,,,,,262,0.007,3m,3.5,2.0,1.6,522,,,,,,,,0.05,3,COMPLETE
132,132,7.216063521420291,2025-06-15 00:16:33.726087,2025-06-15 00:16:36.353363,0 days 00:00:02.627276,1024,0.007,1m,1.0,2.0,0.5,778,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,4m,1.0,4.0,0.9,82.0,720.0,0.004,3m,2.0,1.0,0.8,436.0,,,,,,,,,,,,,,,,,,,,,,258,0.007,3m,3.5,2.0,1.6,506,,,,,,,,0.05,3,COMPLETE
133,133,5.169614825119944,2025-06-15 00:16:36.429328,2025-06-15 00:16:38.916939,0 days 00:00:02.487611,834,0.007,1m,1.0,2.0,0.6,742,,,,,,,,,,,,,,,,,,,,,,968.0,0.002,4m,1.0,4.0,0.7,32.0,834.0,0.003,3m,1.5,1.5,1.0,560.0,,,,,,,,,,,,,,,,,,,,,,176,0.008,3m,3.5,2.0,1.7000000000000002,642,,,,,,,,0.05,3,COMPLETE
134,134,0.8849321801664901,2025-06-15 00:16:39.027079,2025-06-15 00:16:41.047797,0 days 00:00:02.020718,972,0.007,1m,1.0,2.0,0.5,856,,,,,,,,,,,,,,,,,,,,,,984.0,0.003,4m,2.0,4.0,0.8,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,0.007,3m,3.5,2.0,1.6,438,,,,,,,,0.05,2,COMPLETE
135,135,8.204255664526416,2025-06-15 00:16:41.125585,2025-06-15 00:16:43.697944,0 days 00:00:02.572359,812,0.008,1m,1.0,2.0,0.6,760,,,,,,,,,,,,,,,,,,,,,,1000.0,0.003,4m,1.0,4.0,0.7,54.0,622.0,0.003,3m,1.5,1.5,0.8,438.0,,,,,,,,,,,,,,,,,,,,,,108,0.006,3m,3.5,1.5,1.6,680,,,,,,,,0.1,3,COMPLETE
136,136,4.114685725909924,2025-06-15 00:16:43.777584,2025-06-15 00:16:46.714730,0 days 00:00:02.937146,878,0.005,1m,1.0,2.5,0.5,802,,,,,,,,588.0,0.001,1m,1.5,4.0,0.6,192.0,,,,,,,,928.0,0.003,4m,1.0,3.0,0.8,68.0,862.0,0.005,3m,2.0,1.0,1.1,344.0,,,,,,,,,,,,,,,,,,,,,,302,0.007,3m,3.5,2.0,1.5,398,,,,,,,,0.05,4,COMPLETE
137,137,9.049084016683727,2025-06-15 00:16:46.801213,2025-06-15 00:16:49.056967,0 days 00:00:02.255754,944,0.007,1m,1.0,2.0,0.6,832,,,,,,,,,,,,,,,,,,,,,,972.0,0.004,4m,1.0,2.5,0.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,0.007,3m,3.5,2.0,1.6,596,,,,,,,,0.1,2,COMPLETE
138,138,7.105268929595796,2025-06-15 00:16:49.143972,2025-06-15 00:16:51.540953,0 days 00:00:02.396981,912,0.006,2m,2.0,2.0,0.7,782,,,,,,,,,,,,,,,,,,,,,,1022.0,0.002,4m,1.5,3.5,0.6,132.0,562.0,0.004,3m,1.5,1.0,0.9,372.0,,,,,,,,,,,,,,,,,,,,,,198,0.008,3m,3.5,1.5,1.7000000000000002,568,,,,,,,,0.05,3,COMPLETE
139,139,0.08176120499133446,2025-06-15 00:16:51.645806,2025-06-15 00:16:53.200448,0 days 00:00:01.554642,964,0.007,1m,1.0,1.5,0.5,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,0.007,1m,3.5,2.0,1.5,480,,,,,,,,0.15000000000000002,1,COMPLETE
