,number,value,datetime_start,datetime_complete,duration,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_AMD_DLTR_beta_win,params_AMD_DLTR_stop_loss,params_AMD_DLTR_trade_freq,params_AMD_DLTR_z_entry,params_AMD_DLTR_z_exit,params_AMD_DLTR_z_stop_scaler,params_AMD_DLTR_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_CDW_NVDA_beta_win,params_CDW_NVDA_stop_loss,params_CDW_NVDA_trade_freq,params_CDW_NVDA_z_entry,params_CDW_NVDA_z_exit,params_CDW_NVDA_z_stop_scaler,params_CDW_NVDA_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TSLA_beta_win,params_CSCO_TSLA_stop_loss,params_CSCO_TSLA_trade_freq,params_CSCO_TSLA_z_entry,params_CSCO_TSLA_z_exit,params_CSCO_TSLA_z_stop_scaler,params_CSCO_TSLA_z_win,params_CSCO_XEL_beta_win,params_CSCO_XEL_stop_loss,params_CSCO_XEL_trade_freq,params_CSCO_XEL_z_entry,params_CSCO_XEL_z_exit,params_CSCO_XEL_z_stop_scaler,params_CSCO_XEL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-3.4656418406240848,2025-06-15 00:11:00.750092,2025-06-15 00:11:07.318580,0 days 00:00:06.568488,1020,0.004,1m,2.0,2.0,1.5,394,,,,,,,,188.0,0.004,3m,3.0,1.5,0.7,928.0,26.0,0.006,2m,3.0,2.5,0.9,524.0,654.0,0.004,2m,4.0,1.5,1.4,1004.0,256.0,0.01,4m,3.5,3.5,1.4,308.0,250.0,0.001,4m,1.5,3.0,1.3,428.0,394.0,0.007,2m,3.5,2.0,1.5,750.0,728.0,0.004,2m,4.0,2.5,0.8,296.0,776,0.007,4m,4.0,4.0,1.1,558,724.0,0.003,3m,2.0,3.0,1.3,452.0,0.15000000000000002,9,COMPLETE
21,21,0.8320391230234698,2025-06-15 00:11:07.390954,2025-06-15 00:11:11.610809,0 days 00:00:04.219855,890,0.007,4m,2.5,3.5,1.9000000000000001,314,,,,,,,,480.0,0.001,4m,3.5,3.0,0.5,596.0,,,,,,,,534.0,0.009000000000000001,2m,2.5,3.0,1.1,538.0,84.0,0.008,2m,3.0,1.5,1.9000000000000001,536.0,,,,,,,,808.0,0.004,2m,2.0,1.0,1.2000000000000002,1020.0,,,,,,,,856,0.009000000000000001,4m,3.5,3.5,1.8,734,436.0,0.009000000000000001,1m,3.0,1.5,0.7,172.0,0.35000000000000003,6,COMPLETE
22,22,-3.1051132839779068,2025-06-15 00:11:11.702307,2025-06-15 00:11:17.038163,0 days 00:00:05.335856,696,0.007,4m,2.5,3.5,1.8,210,,,,,,,,894.0,0.009000000000000001,2m,4.0,2.0,1.2000000000000002,144.0,,,,,,,,652.0,0.009000000000000001,2m,3.0,1.0,1.0,296.0,446.0,0.005,3m,4.0,2.5,1.6,720.0,1024.0,0.003,2m,3.5,2.0,0.8,574.0,66.0,0.008,4m,2.5,2.5,0.7,278.0,614.0,0.007,1m,3.0,1.0,1.4,732.0,600,0.001,4m,2.5,4.0,1.8,840,270.0,0.006,1m,1.5,2.5,1.1,694.0,0.35000000000000003,8,COMPLETE
23,23,1.3477725926087898,2025-06-15 00:11:17.130548,2025-06-15 00:11:19.566863,0 days 00:00:02.436315,900,0.008,4m,2.5,3.0,1.9000000000000001,394,,,,,,,,,,,,,,,,,,,,,,474.0,0.008,2m,3.5,2.0,0.8,586.0,222.0,0.007,1m,2.0,3.0,1.2000000000000002,436.0,,,,,,,,,,,,,,,,,,,,,,928,0.007,4m,3.0,3.5,1.5,482,,,,,,,,0.4,3,COMPLETE
24,24,-5.252556348699927,2025-06-15 00:11:19.663426,2025-06-15 00:11:23.439754,0 days 00:00:03.776328,938,0.009000000000000001,4m,3.0,3.5,2.0,604,,,,,,,,630.0,0.005,1m,3.0,2.5,0.8,450.0,,,,,,,,292.0,0.01,4m,2.5,2.5,1.2000000000000002,332.0,98.0,0.002,1m,2.5,3.5,1.5,272.0,,,,,,,,628.0,0.005,3m,1.5,3.5,1.6,836.0,,,,,,,,688,0.003,4m,3.5,4.0,1.9000000000000001,658,,,,,,,,0.3,5,COMPLETE
25,25,-2.706765790927996,2025-06-15 00:11:23.525027,2025-06-15 00:11:28.437553,0 days 00:00:04.912526,728,0.006,4m,2.0,4.0,1.2000000000000002,376,,,,,,,,340.0,0.007,3m,2.0,1.0,1.5,838.0,,,,,,,,154.0,0.008,2m,3.0,3.0,1.0,466.0,786.0,0.009000000000000001,2m,3.5,3.0,1.8,28.0,728.0,0.006,3m,2.0,3.5,1.7000000000000002,836.0,396.0,0.003,1m,3.5,1.5,2.0,670.0,,,,,,,,448,0.005,2m,2.0,3.5,0.9,382,498.0,0.004,3m,2.5,1.0,0.6,434.0,0.4,7,COMPLETE
26,26,-1.9062259724640231,2025-06-15 00:11:28.532177,2025-06-15 00:11:34.071689,0 days 00:00:05.539512,612,0.004,3m,3.5,2.5,1.7000000000000002,244,,,,,,,,158.0,0.003,3m,3.5,1.5,0.9,538.0,596.0,0.003,1m,2.0,3.0,1.5,1024.0,590.0,0.006,2m,3.5,1.5,1.4,114.0,354.0,0.003,3m,3.0,2.5,2.0,922.0,370.0,0.004,3m,3.0,2.0,1.2000000000000002,318.0,876.0,0.007,4m,1.5,3.5,1.3,424.0,218.0,0.003,3m,1.5,2.0,0.5,694.0,794,0.002,1m,4.0,3.0,1.7000000000000002,194,116.0,0.007,4m,3.5,2.0,1.0,884.0,0.25,9,COMPLETE
27,27,1.8423160789823634,2025-06-15 00:11:34.177306,2025-06-15 00:11:36.218869,0 days 00:00:02.041563,442,0.009000000000000001,2m,1.5,3.5,1.8,920,,,,,,,,,,,,,,,,,,,,,,442.0,0.007,4m,3.0,1.0,0.7,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,0.009000000000000001,3m,3.0,4.0,1.4,354,,,,,,,,0.5,2,COMPLETE
28,28,2.3477303807555145,2025-06-15 00:11:36.295036,2025-06-15 00:11:42.504720,0 days 00:00:06.209684,848,0.007,4m,2.5,2.5,1.5,456,474.0,0.001,2m,2.5,3.0,0.9,550.0,28.0,0.005,2m,2.5,3.0,1.5,36.0,986.0,0.01,3m,1.0,2.0,0.7,422.0,322.0,0.009000000000000001,1m,2.0,2.5,1.1,730.0,520.0,0.007,4m,4.0,4.0,1.1,620.0,582.0,0.002,3m,1.5,2.5,0.7,628.0,644.0,0.009000000000000001,2m,3.5,1.5,1.7000000000000002,642.0,468.0,0.002,2m,3.0,1.5,0.9,340.0,592,0.006,4m,3.5,3.5,1.2000000000000002,566,684.0,0.009000000000000001,2m,1.5,3.0,1.3,88.0,0.05,10,COMPLETE
29,29,2.312918521941053,2025-06-15 00:11:42.607765,2025-06-15 00:11:45.047498,0 days 00:00:02.439733,530,0.005,4m,2.0,4.0,1.0,536,,,,,,,,,,,,,,,,,,,,,,520.0,0.01,3m,2.0,3.5,1.3,506.0,122.0,0.004,1m,1.0,1.5,0.6,840.0,,,,,,,,,,,,,,,,,,,,,,410,0.008,3m,3.5,3.0,1.9000000000000001,530,,,,,,,,0.35000000000000003,3,COMPLETE
