,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
25,25,2.21897986658885,2025-06-15 01:00:56.629160,2025-06-15 01:01:00.032995,0 days 00:00:03.403835,510.0,0.009000000000000001,3m,2.0,1.5,1.8,348.0,656.0,0.004,3m,2.0,2.0,0.9,694.0,250.0,0.004,2m,2.0,3.0,1.7000000000000002,606.0,,,,,,,,718.0,0.004,1m,1.5,3.0,1.8,472.0,462,0.007,1m,2.5,1.0,1.4,1022,38.0,0.01,3m,3.5,4.0,2.0,100.0,272.0,0.006,1m,3.5,2.5,1.7000000000000002,670.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
26,26,-1.7372304592054852,2025-06-15 01:01:00.092515,2025-06-15 01:01:02.062373,0 days 00:00:01.969858,176.0,0.006,3m,1.5,2.5,1.8,172.0,,,,,,,,770.0,0.002,3m,1.0,2.5,0.7,810.0,,,,,,,,,,,,,,,708,0.008,1m,3.0,1.5,1.0,890,,,,,,,,96.0,0.009000000000000001,3m,3.0,1.5,1.3,822.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
27,27,9.194110931273979,2025-06-15 01:01:02.121885,2025-06-15 01:01:04.958543,0 days 00:00:02.836658,428.0,0.007,3m,2.0,1.0,2.0,652.0,108.0,0.003,1m,3.5,1.0,0.9,220.0,592.0,0.005,4m,1.5,1.0,1.3,366.0,,,,,,,,274.0,0.008,3m,2.0,2.0,1.4,36.0,384,0.004,1m,3.5,2.0,1.1,400,,,,,,,,468.0,0.008,3m,4.0,2.0,1.0,948.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
28,28,-2.8448779001601716,2025-06-15 01:01:05.015056,2025-06-15 01:01:05.520154,0 days 00:00:00.505098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,0.005,2m,3.5,3.0,1.7000000000000002,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
29,29,2.574341167482153,2025-06-15 01:01:05.582157,2025-06-15 01:01:06.701390,0 days 00:00:01.119233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0.004,4m,3.5,2.0,1.3,182,,,,,,,,492.0,0.006,3m,3.5,2.5,1.0,1020.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
30,30,3.864330694199057,2025-06-15 01:01:06.782396,2025-06-15 01:01:09.205941,0 days 00:00:02.423545,670.0,0.005,4m,2.0,2.5,1.5,644.0,,,,,,,,380.0,0.006,4m,2.5,1.0,2.0,16.0,,,,,,,,248.0,0.008,3m,2.5,1.0,1.4,62.0,426,0.003,1m,3.5,2.5,1.1,604,,,,,,,,282.0,0.009000000000000001,3m,2.0,3.5,1.0,942.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
31,31,1.5547587514923713,2025-06-15 01:01:09.290969,2025-06-15 01:01:12.082667,0 days 00:00:02.791698,442.0,0.007,3m,1.0,1.0,2.0,744.0,30.0,0.002,1m,3.5,1.0,0.9,206.0,590.0,0.004,4m,1.5,1.0,1.3,350.0,,,,,,,,284.0,0.008,3m,1.5,2.0,1.8,564.0,530,0.002,1m,3.0,1.5,0.9,436,,,,,,,,418.0,0.008,3m,4.0,2.0,1.4,790.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
32,32,-0.27126328267287886,2025-06-15 01:01:12.173191,2025-06-15 01:01:15.748683,0 days 00:00:03.575492,426.0,0.009000000000000001,3m,1.5,1.0,1.8,666.0,226.0,0.003,1m,3.5,1.5,0.8,150.0,632.0,0.003,4m,1.0,2.0,1.1,550.0,1008.0,0.01,2m,4.0,4.0,2.0,44.0,466.0,0.01,3m,2.0,2.0,1.0,838.0,486,0.002,1m,3.5,2.0,1.1,426,880.0,0.001,2m,3.5,2.5,1.1,1008.0,372.0,0.008,3m,4.0,2.0,1.4,910.0,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
33,33,5.696719784892422,2025-06-15 01:01:15.824714,2025-06-15 01:01:18.748036,0 days 00:00:02.923322,126.0,0.01,3m,2.0,1.5,1.9000000000000001,898.0,806.0,0.001,1m,4.0,2.5,1.1,428.0,466.0,0.005,4m,1.5,3.5,1.5,340.0,,,,,,,,192.0,0.009000000000000001,4m,1.0,3.0,1.3,392.0,342,0.006,1m,3.0,1.5,0.8,942,,,,,,,,590.0,0.008,3m,4.0,2.5,1.2000000000000002,436.0,,,,,,,,,,,,,,,0.2,6,COMPLETE
34,34,3.691687670489742,2025-06-15 01:01:18.809056,2025-06-15 01:01:20.124538,0 days 00:00:01.315482,300.0,0.008,3m,1.0,1.0,1.9000000000000001,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,0.01,1m,2.5,1.0,1.2000000000000002,348,,,,,,,,462.0,0.007,3m,3.5,1.5,1.2000000000000002,642.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
