,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
88,88,-1.5509606236752063,2025-06-15 01:03:21.908425,2025-06-15 01:03:26.212381,0 days 00:00:04.303956,842.0,0.006,3m,1.5,4.0,1.8,408.0,24.0,0.009000000000000001,4m,2.5,4.0,1.2000000000000002,632.0,404.0,0.007,4m,2.5,2.0,1.4,574.0,,,,,,,,294.0,0.003,4m,3.0,3.0,0.5,244.0,686,0.005,2m,3.5,3.0,1.3,240,898.0,0.009000000000000001,4m,1.5,3.5,2.0,20.0,946.0,0.006,3m,2.5,1.5,1.2000000000000002,892.0,,,,,,,,,,,,,,,0.45,7,COMPLETE
89,89,6.0832365907721915,2025-06-15 01:03:26.309895,2025-06-15 01:03:30.497068,0 days 00:00:04.187173,494.0,0.006,4m,3.0,3.5,2.0,582.0,,,,,,,,214.0,0.003,2m,2.0,1.0,1.6,24.0,,,,,,,,244.0,0.001,4m,2.0,2.5,0.9,22.0,644,0.003,3m,3.5,1.5,1.2000000000000002,142,,,,,,,,992.0,0.005,3m,2.0,1.5,1.1,708.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
90,90,1.3384199120625897,2025-06-15 01:03:30.609583,2025-06-15 01:03:31.563763,0 days 00:00:00.954180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,0.004,2m,3.5,2.0,1.1,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
91,91,5.418428028213725,2025-06-15 01:03:31.664276,2025-06-15 01:03:34.552277,0 days 00:00:02.888001,554.0,0.005,3m,1.5,3.0,2.0,246.0,,,,,,,,346.0,0.003,2m,1.5,2.5,1.6,426.0,,,,,,,,,,,,,,,580,0.006,2m,3.0,1.0,1.1,500,,,,,,,,1024.0,0.007,3m,3.0,1.5,1.3,760.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
92,92,4.17978840379045,2025-06-15 01:03:34.657800,2025-06-15 01:03:36.510841,0 days 00:00:01.853041,654.0,0.003,3m,1.5,2.0,1.9000000000000001,482.0,,,,,,,,296.0,0.004,2m,1.5,1.5,1.7000000000000002,490.0,,,,,,,,,,,,,,,596,0.008,2m,3.0,1.0,1.0,312,,,,,,,,940.0,0.007,3m,3.0,2.0,1.2000000000000002,670.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
93,93,3.458623375142134,2025-06-15 01:03:36.575356,2025-06-15 01:03:38.026571,0 days 00:00:01.451215,906.0,0.005,3m,1.5,4.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,0.006,2m,3.5,1.0,1.1,524,,,,,,,,992.0,0.006,3m,3.0,1.5,1.4,18.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
94,94,2.8190799802636946,2025-06-15 01:03:38.105079,2025-06-15 01:03:40.492480,0 days 00:00:02.387401,704.0,0.007,3m,1.0,4.0,1.9000000000000001,342.0,,,,,,,,332.0,0.002,2m,1.0,1.5,1.2000000000000002,734.0,,,,,,,,344.0,0.008,4m,2.5,3.0,0.7,100.0,556,0.005,4m,3.0,1.0,1.2000000000000002,864,,,,,,,,344.0,0.004,3m,3.5,2.0,1.0,796.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
95,95,7.685049209898811,2025-06-15 01:03:40.548996,2025-06-15 01:03:42.403487,0 days 00:00:01.854491,730.0,0.008,2m,2.0,2.0,1.8,282.0,,,,,,,,266.0,0.003,3m,2.5,1.0,1.5,368.0,,,,,,,,,,,,,,,926,0.007,2m,2.5,1.0,0.9,384,,,,,,,,506.0,0.005,3m,3.0,1.5,1.8,490.0,,,,,,,,,,,,,,,0.1,4,COMPLETE
96,96,6.029932459951315,2025-06-15 01:03:42.470931,2025-06-15 01:03:44.312844,0 days 00:00:01.841913,776.0,0.008,2m,2.5,2.5,1.7000000000000002,284.0,,,,,,,,240.0,0.003,3m,2.5,1.0,1.5,372.0,,,,,,,,,,,,,,,936,0.007,2m,2.0,1.0,0.9,378,,,,,,,,902.0,0.005,3m,3.0,1.5,1.6,428.0,,,,,,,,,,,,,,,0.1,4,COMPLETE
97,97,3.6106112809529023,2025-06-15 01:03:44.386951,2025-06-15 01:03:47.174907,0 days 00:00:02.787956,724.0,0.008,2m,2.0,2.0,1.6,268.0,184.0,0.007,3m,2.0,3.0,1.3,348.0,398.0,0.004,3m,2.5,1.0,1.3,330.0,,,,,,,,50.0,0.004,4m,1.5,2.0,1.2000000000000002,194.0,896,0.005,2m,2.5,3.0,0.8,452,,,,,,,,502.0,0.005,1m,3.0,1.5,1.8,360.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
98,98,-0.5882416449767783,2025-06-15 01:03:47.247425,2025-06-15 01:03:48.664158,0 days 00:00:01.416733,652.0,0.007,2m,2.5,2.5,1.8,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0.009000000000000001,2m,2.5,1.0,1.0,420,,,,,,,,624.0,0.006,3m,3.5,1.0,2.0,438.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
99,99,-1.971721358342837,2025-06-15 01:03:48.744419,2025-06-15 01:03:51.220302,0 days 00:00:02.475883,584.0,0.006,2m,2.0,2.0,1.4,522.0,,,,,,,,266.0,0.003,3m,3.0,1.0,2.0,282.0,,,,,,,,146.0,0.009000000000000001,2m,2.0,2.5,0.8,80.0,990,0.008,2m,2.5,4.0,1.3,704,,,,,,,,520.0,0.004,3m,2.5,4.0,1.7000000000000002,468.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
100,100,3.644718245165875,2025-06-15 01:03:51.288386,2025-06-15 01:03:53.090960,0 days 00:00:01.802574,736.0,0.008,1m,2.0,3.0,1.7000000000000002,618.0,,,,,,,,528.0,0.005,3m,2.5,1.5,1.8,404.0,,,,,,,,,,,,,,,840,0.009000000000000001,2m,1.5,1.5,0.9,834,,,,,,,,954.0,0.005,3m,1.5,1.5,1.9000000000000001,596.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
101,101,5.049221363238031,2025-06-15 01:03:53.156477,2025-06-15 01:03:55.069749,0 days 00:00:01.913272,612.0,0.007,3m,1.5,3.5,2.0,162.0,,,,,,,,336.0,0.003,2m,2.0,1.0,1.7000000000000002,1020.0,,,,,,,,,,,,,,,952,0.007,3m,2.5,1.0,1.0,336,,,,,,,,420.0,0.007,3m,3.0,1.5,1.8,504.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
102,102,6.946958856764993,2025-06-15 01:03:55.130754,2025-06-15 01:03:56.444220,0 days 00:00:01.313466,694.0,0.006,4m,3.5,4.0,1.9000000000000001,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,0.007,1m,3.5,1.0,1.9000000000000001,390,,,,,,,,468.0,0.006,3m,3.0,1.5,1.3,774.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
103,103,2.37844196587127,2025-06-15 01:03:56.514220,2025-06-15 01:03:58.409361,0 days 00:00:01.895141,478.0,0.005,2m,1.5,2.5,1.8,814.0,,,,,,,,384.0,0.002,1m,1.5,3.0,1.5,450.0,,,,,,,,,,,,,,,656,0.006,2m,2.0,1.0,1.1,786,,,,,,,,446.0,0.001,3m,3.0,1.5,1.5,744.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
104,104,5.950417728054622,2025-06-15 01:03:58.471530,2025-06-15 01:04:00.736929,0 days 00:00:02.265399,516.0,0.009000000000000001,3m,1.5,1.5,2.0,118.0,,,,,,,,294.0,0.003,2m,1.5,2.0,1.4,776.0,,,,,,,,218.0,0.005,4m,2.5,3.5,1.4,282.0,154,0.008,1m,3.0,1.0,1.0,274,,,,,,,,1006.0,0.008,3m,3.0,2.0,1.3,642.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
105,105,-0.6707818000417622,2025-06-15 01:04:00.804176,2025-06-15 01:04:02.736056,0 days 00:00:01.931880,676.0,0.004,4m,1.0,3.0,1.9000000000000001,942.0,,,,,,,,482.0,0.004,4m,2.0,1.0,1.6,358.0,,,,,,,,,,,,,,,1024,0.007,2m,3.5,1.0,0.9,912,,,,,,,,34.0,0.005,3m,2.5,1.5,1.7000000000000002,676.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
106,106,5.782039323005783,2025-06-15 01:04:02.814566,2025-06-15 01:04:05.475010,0 days 00:00:02.660444,552.0,0.007,3m,1.5,1.0,1.9000000000000001,338.0,320.0,0.005,1m,2.5,3.5,1.5,840.0,424.0,0.006,2m,1.0,1.5,1.5,410.0,,,,,,,,272.0,0.003,4m,1.0,1.5,1.0,444.0,542,0.006,2m,4.0,1.0,1.1,478,,,,,,,,372.0,0.005,4m,3.5,3.0,1.9000000000000001,858.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
107,107,7.205878461599711,2025-06-15 01:04:05.549533,2025-06-15 01:04:08.944918,0 days 00:00:03.395385,404.0,0.005,4m,1.5,4.0,0.9,74.0,,,,,,,,174.0,0.002,3m,3.0,1.0,1.6,224.0,,,,,,,,92.0,0.007,3m,1.5,3.0,1.1,144.0,364,0.004,1m,3.0,1.0,1.2000000000000002,598,,,,,,,,246.0,0.006,3m,3.0,1.0,1.2000000000000002,722.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
108,108,-0.7707742580995447,2025-06-15 01:04:09.047432,2025-06-15 01:04:13.399721,0 days 00:00:04.352289,432.0,0.005,4m,1.5,4.0,0.7,384.0,,,,,,,,170.0,0.002,3m,3.5,1.0,1.7000000000000002,212.0,,,,,,,,88.0,0.007,3m,1.5,3.0,1.1,140.0,286,0.004,2m,3.0,1.0,1.2000000000000002,644,,,,,,,,206.0,0.006,3m,3.0,1.0,1.2000000000000002,578.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
109,109,0.6612842570034416,2025-06-15 01:04:13.505232,2025-06-15 01:04:17.241827,0 days 00:00:03.736595,366.0,0.004,4m,1.0,4.0,0.9,424.0,,,,,,,,92.0,0.002,3m,2.5,1.0,1.6,134.0,,,,,,,,174.0,0.008,3m,1.5,2.0,1.5,196.0,438,0.004,1m,3.0,3.5,1.2000000000000002,604,,,,,,,,298.0,0.006,2m,4.0,1.0,1.1,718.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
110,110,5.2584236612933255,2025-06-15 01:04:17.333339,2025-06-15 01:04:20.431177,0 days 00:00:03.097838,418.0,0.006,4m,1.5,4.0,0.6,120.0,1002.0,0.008,4m,3.0,4.0,1.7000000000000002,478.0,232.0,0.003,3m,3.0,1.0,1.5,298.0,,,,,,,,18.0,0.006,3m,1.0,3.0,0.9,58.0,354,0.003,4m,2.5,1.5,1.3,578,,,,,,,,250.0,0.004,3m,3.5,1.0,2.0,618.0,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
111,111,3.9806437631694718,2025-06-15 01:04:20.487699,2025-06-15 01:04:22.357322,0 days 00:00:01.869623,402.0,0.005,4m,1.5,3.5,0.7,84.0,,,,,,,,112.0,0.003,3m,3.0,2.5,1.6,524.0,,,,,,,,,,,,,,,402,0.004,1m,3.0,1.0,1.1,738,,,,,,,,574.0,0.006,3m,3.0,2.0,1.4,696.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
112,112,0.30383727686182666,2025-06-15 01:04:22.449325,2025-06-15 01:04:24.974283,0 days 00:00:02.524958,460.0,0.005,4m,1.5,4.0,1.2000000000000002,64.0,,,,,,,,320.0,0.001,2m,3.0,3.5,1.5,174.0,,,,,,,,126.0,0.009000000000000001,3m,2.0,2.5,1.3,20.0,314,0.005,1m,3.0,1.0,1.1,694,,,,,,,,980.0,0.002,3m,3.0,1.5,1.2000000000000002,654.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
113,113,-0.5445539191066171,2025-06-15 01:04:25.044287,2025-06-15 01:04:26.977447,0 days 00:00:01.933160,636.0,0.01,3m,1.5,4.0,2.0,38.0,,,,,,,,674.0,0.004,2m,1.5,1.0,1.4,254.0,,,,,,,,,,,,,,,368,0.008,1m,3.5,1.0,1.0,548,,,,,,,,192.0,0.009000000000000001,3m,3.0,2.0,1.3,736.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
114,114,1.9968388327118636,2025-06-15 01:04:27.055963,2025-06-15 01:04:29.370910,0 days 00:00:02.314947,326.0,0.006,4m,2.5,1.0,1.8,148.0,,,,,,,,450.0,0.003,3m,2.5,1.5,1.6,482.0,,,,,,,,56.0,0.007,3m,1.5,2.5,1.2000000000000002,360.0,472,0.007,1m,3.0,1.0,1.2000000000000002,446,,,,,,,,148.0,0.007,3m,3.0,1.5,1.4,776.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
115,115,-1.8215431782359417,2025-06-15 01:04:29.458420,2025-06-15 01:04:31.522650,0 days 00:00:02.064230,752.0,0.009000000000000001,3m,2.0,4.0,2.0,298.0,,,,,,,,276.0,0.002,2m,2.0,1.0,0.6,340.0,,,,,,,,,,,,,,,618,0.005,1m,3.5,1.0,0.9,408,,,,,,,,248.0,0.008,3m,2.5,2.5,1.2000000000000002,1024.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
116,116,1.4715064095510346,2025-06-15 01:04:31.594163,2025-06-15 01:04:34.450034,0 days 00:00:02.855871,824.0,0.005,2m,1.5,4.0,0.9,672.0,386.0,0.009000000000000001,4m,1.5,3.0,1.9000000000000001,346.0,188.0,0.004,4m,4.0,3.5,1.7000000000000002,686.0,,,,,,,,312.0,0.008,2m,2.0,3.0,1.0,124.0,566,0.003,2m,3.0,3.0,1.8,674,,,,,,,,480.0,0.007,3m,3.0,1.5,1.6,552.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
117,117,-4.8854068150591115,2025-06-15 01:04:34.521547,2025-06-15 01:04:35.478544,0 days 00:00:00.956997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,0.004,2m,3.5,2.0,1.1,762,,,,,,,,328.0,0.005,1m,2.0,2.5,1.3,832.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
118,118,3.718250922469876,2025-06-15 01:04:35.538545,2025-06-15 01:04:37.092489,0 days 00:00:01.553944,536.0,0.003,1m,1.5,3.5,1.9000000000000001,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,0.006,1m,3.0,1.0,1.0,614,,,,,,,,396.0,0.006,3m,4.0,1.0,1.1,500.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
119,119,2.6265468098249305,2025-06-15 01:04:37.178025,2025-06-15 01:04:39.513962,0 days 00:00:02.335937,494.0,0.004,4m,2.0,2.0,1.7000000000000002,172.0,,,,,,,,348.0,0.005,1m,1.5,4.0,1.9000000000000001,984.0,,,,,,,,242.0,0.007,3m,1.0,2.0,1.3,230.0,604,0.01,2m,2.5,1.0,1.2000000000000002,352,,,,,,,,516.0,0.005,3m,3.5,1.5,1.5,708.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
120,120,-2.501465342602668,2025-06-15 01:04:39.578482,2025-06-15 01:04:42.940303,0 days 00:00:03.361821,218.0,0.007,3m,1.5,3.0,1.8,206.0,94.0,0.006,1m,2.5,2.5,1.2000000000000002,986.0,626.0,0.003,2m,3.5,1.5,1.8,270.0,,,,,,,,380.0,0.008,4m,1.5,3.5,1.6,172.0,418,0.008,3m,3.5,1.5,1.0,310,176.0,0.005,3m,3.0,3.0,0.9,210.0,358.0,0.006,3m,3.0,2.0,1.0,756.0,,,,,,,,,,,,,,,0.25,7,COMPLETE
121,121,6.662315156829102,2025-06-15 01:04:43.005819,2025-06-15 01:04:46.130178,0 days 00:00:03.124359,272.0,0.01,3m,1.0,1.0,2.0,44.0,886.0,0.003,2m,3.5,1.0,0.9,110.0,584.0,0.001,3m,1.0,4.0,1.1,458.0,,,,,,,,414.0,0.01,1m,1.0,3.0,1.7000000000000002,724.0,580,0.002,1m,3.0,1.5,1.1,1012,,,,,,,,428.0,0.008,3m,4.0,2.0,1.4,782.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
122,122,7.136472569406384,2025-06-15 01:04:46.202696,2025-06-15 01:04:48.963251,0 days 00:00:02.760555,332.0,0.01,3m,1.0,1.0,1.9000000000000001,80.0,578.0,0.001,2m,4.0,2.0,0.7,234.0,16.0,0.002,3m,1.0,4.0,1.0,512.0,,,,,,,,460.0,0.009000000000000001,1m,1.0,3.5,0.6,80.0,484,0.001,1m,3.0,2.0,1.0,936,,,,,,,,412.0,0.009000000000000001,3m,4.0,2.0,1.4,806.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
123,123,1.1625999451559057,2025-06-15 01:04:49.044251,2025-06-15 01:04:51.787157,0 days 00:00:02.742906,324.0,0.01,3m,1.0,1.0,1.9000000000000001,132.0,570.0,0.003,4m,3.0,1.0,1.4,470.0,18.0,0.002,3m,1.0,4.0,1.3,566.0,,,,,,,,178.0,0.009000000000000001,1m,1.0,3.5,0.6,78.0,332,0.001,1m,3.0,2.5,1.0,936,,,,,,,,444.0,0.01,3m,4.0,2.0,1.4,798.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
124,124,-0.7165245977338967,2025-06-15 01:04:51.859673,2025-06-15 01:04:54.242447,0 days 00:00:02.382774,374.0,0.009000000000000001,3m,1.0,1.0,1.9000000000000001,72.0,,,,,,,,46.0,0.002,3m,1.0,4.0,0.9,520.0,,,,,,,,,,,,,,,542,0.007,1m,3.0,2.0,1.1,872,,,,,,,,926.0,0.009000000000000001,3m,4.0,1.5,1.5,878.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
125,125,0.10448210270875055,2025-06-15 01:04:54.309960,2025-06-15 01:04:57.216262,0 days 00:00:02.906302,350.0,0.01,3m,1.5,1.5,2.0,106.0,450.0,0.004,2m,1.0,2.5,1.0,232.0,384.0,0.003,3m,1.5,2.5,0.8,380.0,,,,,,,,86.0,0.009000000000000001,1m,1.5,4.0,0.8,280.0,504,0.006,1m,3.5,2.5,0.9,958,,,,,,,,404.0,0.01,3m,3.5,1.5,1.3,732.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
126,126,-2.111196795244996,2025-06-15 01:04:57.293779,2025-06-15 01:05:01.196457,0 days 00:00:03.902678,240.0,0.005,4m,1.5,1.0,0.9,260.0,598.0,0.001,1m,4.0,1.5,0.7,744.0,934.0,0.003,2m,1.0,1.0,1.6,620.0,764.0,0.008,2m,3.0,1.5,1.6,284.0,818.0,0.009000000000000001,3m,1.0,3.5,0.9,60.0,462,0.007,2m,2.5,1.0,1.2000000000000002,524,780.0,0.002,2m,2.0,2.0,1.3,438.0,814.0,0.009000000000000001,3m,4.0,2.0,1.2000000000000002,812.0,,,,,,,,,,,,,,,0.3,8,COMPLETE
127,127,-1.062169805035021,2025-06-15 01:05:01.268986,2025-06-15 01:05:04.603045,0 days 00:00:03.334059,396.0,0.007,3m,1.5,4.0,1.8,16.0,396.0,0.002,3m,2.0,2.0,0.5,386.0,100.0,0.002,2m,2.5,2.0,1.2000000000000002,312.0,,,,,,,,458.0,0.008,1m,2.0,3.0,0.6,124.0,902,0.006,1m,3.0,2.0,1.0,902,994.0,0.007,4m,1.5,1.5,1.8,854.0,722.0,0.005,3m,3.0,1.5,1.3,688.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
128,128,1.7141103607969659,2025-06-15 01:05:04.673568,2025-06-15 01:05:07.172045,0 days 00:00:02.498477,446.0,0.002,4m,1.0,1.0,2.0,788.0,,,,,,,,416.0,0.006,4m,1.5,4.0,1.0,58.0,,,,,,,,142.0,0.01,3m,1.5,3.5,0.7,160.0,436,0.005,2m,3.5,1.0,1.4,630,,,,,,,,1002.0,0.006,4m,3.0,2.5,1.4,926.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
129,129,1.5295831615039501,2025-06-15 01:05:07.236043,2025-06-15 01:05:09.739018,0 days 00:00:02.502975,770.0,0.008,3m,2.0,4.0,1.9000000000000001,154.0,,,,,,,,318.0,0.003,2m,2.0,1.5,1.5,224.0,,,,,,,,356.0,0.008,2m,1.0,2.5,1.4,214.0,854,0.008,2m,3.0,1.0,1.0,986,,,,,,,,278.0,0.007,3m,2.0,1.5,1.2000000000000002,966.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
130,130,1.8666338369165287,2025-06-15 01:05:09.816536,2025-06-15 01:05:11.895349,0 days 00:00:02.078813,788.0,0.006,4m,1.5,1.5,1.9000000000000001,92.0,,,,,,,,134.0,0.004,3m,1.0,1.0,1.4,794.0,,,,,,,,,,,,,,,480,0.009000000000000001,1m,1.0,1.0,0.8,846,,,,,,,,340.0,0.004,2m,2.5,1.0,1.1,646.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
131,131,3.067090194727352,2025-06-15 01:05:11.974858,2025-06-15 01:05:14.874173,0 days 00:00:02.899315,288.0,0.01,3m,1.0,1.0,2.0,60.0,720.0,0.001,2m,4.0,2.0,0.6,80.0,368.0,0.002,3m,1.0,4.0,1.0,428.0,,,,,,,,486.0,0.01,1m,1.0,3.0,2.0,98.0,516,0.001,1m,3.0,2.0,1.1,970,,,,,,,,376.0,0.009000000000000001,3m,4.0,2.0,1.4,754.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
132,132,3.9060278746428656,2025-06-15 01:05:14.952174,2025-06-15 01:05:17.921364,0 days 00:00:02.969190,268.0,0.01,3m,1.0,1.0,2.0,38.0,902.0,0.001,2m,4.0,2.0,0.8,138.0,610.0,0.001,3m,1.0,4.0,1.1,468.0,,,,,,,,194.0,0.009000000000000001,1m,1.0,3.5,1.9000000000000001,50.0,534,0.001,1m,3.0,1.5,1.1,1004,,,,,,,,308.0,0.008,3m,4.0,3.5,1.3,720.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
133,133,2.8872452540046103,2025-06-15 01:05:18.000877,2025-06-15 01:05:21.126478,0 days 00:00:03.125601,306.0,0.009000000000000001,3m,1.0,1.0,1.1,132.0,678.0,0.002,2m,3.5,2.5,0.5,238.0,654.0,0.002,3m,1.5,3.5,1.1,902.0,,,,,,,,552.0,0.01,1m,1.0,3.0,0.5,522.0,814,0.002,1m,3.0,1.0,0.9,940,,,,,,,,458.0,0.008,3m,4.0,2.0,1.5,834.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
134,134,3.381287555149506,2025-06-15 01:05:21.195994,2025-06-15 01:05:24.627637,0 days 00:00:03.431643,348.0,0.01,3m,2.5,1.0,0.5,190.0,618.0,0.001,2m,4.0,1.5,0.8,308.0,552.0,0.003,2m,1.5,4.0,0.9,550.0,,,,,,,,444.0,0.009000000000000001,1m,1.5,4.0,1.6,804.0,562,0.001,1m,3.0,1.0,1.0,822,530.0,0.005,2m,3.5,3.5,0.6,640.0,412.0,0.008,3m,4.0,2.0,1.8,678.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
135,135,5.035356242817844,2025-06-15 01:05:24.717152,2025-06-15 01:05:27.150468,0 days 00:00:02.433316,598.0,0.01,2m,1.5,1.5,1.8,116.0,,,,,,,,582.0,0.005,3m,1.0,2.5,1.7000000000000002,506.0,,,,,,,,384.0,0.01,4m,1.0,2.0,1.1,20.0,636,0.002,2m,3.5,1.5,0.9,1020,,,,,,,,482.0,0.007,3m,1.5,1.5,0.9,784.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
136,136,1.0281294269884056,2025-06-15 01:05:27.232991,2025-06-15 01:05:30.153755,0 days 00:00:02.920764,692.0,0.005,3m,1.5,2.5,1.9000000000000001,80.0,740.0,0.003,2m,3.5,2.0,0.6,46.0,710.0,0.003,2m,2.5,4.0,1.0,596.0,,,,,,,,106.0,0.008,1m,2.5,2.5,1.0,418.0,682,0.001,4m,3.5,1.0,1.3,500,,,,,,,,542.0,0.005,3m,3.0,2.0,1.4,766.0,,,,,,,,,,,,,,,0.45,6,COMPLETE
137,137,4.297202031470921,2025-06-15 01:05:30.227270,2025-06-15 01:05:32.346121,0 days 00:00:02.118851,726.0,0.009000000000000001,3m,1.5,4.0,2.0,558.0,,,,,,,,282.0,0.002,2m,1.5,3.0,1.6,392.0,,,,,,,,,,,,,,,490,0.007,2m,3.0,1.0,1.2000000000000002,916,,,,,,,,392.0,0.009000000000000001,3m,4.0,1.5,1.3,816.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
138,138,-2.086400452114073,2025-06-15 01:05:32.421148,2025-06-15 01:05:34.319453,0 days 00:00:01.898305,414.0,0.007,4m,1.0,1.0,1.5,224.0,,,,,,,,398.0,0.003,3m,1.0,1.0,1.3,438.0,,,,,,,,,,,,,,,386,0.005,1m,3.0,2.0,1.0,594,,,,,,,,366.0,0.006,3m,3.0,3.0,1.6,738.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
139,139,0.6940395003087068,2025-06-15 01:05:34.376414,2025-06-15 01:05:35.969739,0 days 00:00:01.593325,574.0,0.01,1m,1.0,3.5,1.3,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,0.003,2m,2.5,1.5,1.1,886,,,,,,,,982.0,0.005,1m,3.0,1.5,1.2000000000000002,476.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
