,number,value,datetime_start,datetime_complete,duration,params_ALGN_VRTX_beta_win,params_ALGN_VRTX_stop_loss,params_ALGN_VRTX_trade_freq,params_ALGN_VRTX_z_entry,params_ALGN_VRTX_z_exit,params_ALGN_VRTX_z_stop_scaler,params_ALGN_VRTX_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_FANG_VRTX_beta_win,params_FANG_VRTX_stop_loss,params_FANG_VRTX_trade_freq,params_FANG_VRTX_z_entry,params_FANG_VRTX_z_exit,params_FANG_VRTX_z_stop_scaler,params_FANG_VRTX_z_win,params_HON_PEP_beta_win,params_HON_PEP_stop_loss,params_HON_PEP_trade_freq,params_HON_PEP_z_entry,params_HON_PEP_z_exit,params_HON_PEP_z_stop_scaler,params_HON_PEP_z_win,params_META_VRTX_beta_win,params_META_VRTX_stop_loss,params_META_VRTX_trade_freq,params_META_VRTX_z_entry,params_META_VRTX_z_exit,params_META_VRTX_z_stop_scaler,params_META_VRTX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SGEN_VRTX_beta_win,params_SGEN_VRTX_stop_loss,params_SGEN_VRTX_trade_freq,params_SGEN_VRTX_z_entry,params_SGEN_VRTX_z_exit,params_SGEN_VRTX_z_stop_scaler,params_SGEN_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
69,69,1.0678679400148725,2025-06-15 01:13:01.212488,2025-06-15 01:13:05.001543,0 days 00:00:03.789055,588.0,0.002,2m,2.5,4.0,1.3,718.0,20.0,0.01,3m,4.0,2.0,0.7,70.0,542.0,0.001,2m,1.0,3.5,0.7,358.0,,,,,,,,172.0,0.002,1m,2.5,1.5,1.7000000000000002,228.0,152.0,0.007,2m,1.5,2.5,1.2000000000000002,802.0,862.0,0.01,1m,3.5,2.0,1.4,774.0,610.0,0.005,1m,1.0,3.0,0.7,484.0,380,0.009000000000000001,3m,4.0,2.0,0.6,178,420.0,0.003,1m,2.5,2.5,1.9000000000000001,274.0,0.45,9,COMPLETE
70,70,4.977509974536016,2025-06-15 01:13:05.062778,2025-06-15 01:13:08.770077,0 days 00:00:03.707299,664.0,0.002,2m,3.0,4.0,1.2000000000000002,326.0,128.0,0.01,3m,4.0,3.0,0.8,134.0,618.0,0.002,2m,1.5,3.0,0.5,988.0,,,,,,,,46.0,0.002,4m,2.0,1.0,1.9000000000000001,46.0,72.0,0.008,1m,1.5,1.5,1.7000000000000002,906.0,944.0,0.009000000000000001,1m,4.0,3.0,1.3,896.0,158.0,0.005,4m,1.0,1.0,1.8,792.0,500,0.006,2m,3.5,1.5,1.1,360,356.0,0.002,1m,2.0,1.5,1.6,510.0,0.5,9,COMPLETE
71,71,9.146419603634456,2025-06-15 01:13:08.839880,2025-06-15 01:13:12.673637,0 days 00:00:03.833757,786.0,0.003,3m,3.5,3.5,1.5,834.0,58.0,0.009000000000000001,3m,4.0,4.0,0.9,196.0,690.0,0.003,3m,1.0,2.5,0.6,922.0,,,,,,,,116.0,0.001,4m,1.5,1.5,0.8,272.0,188.0,0.007,2m,1.5,1.5,1.4,1024.0,786.0,0.01,3m,3.5,1.5,1.4,980.0,740.0,0.004,2m,1.0,1.5,1.2000000000000002,762.0,622,0.004,4m,4.0,2.5,1.6,298,300.0,0.001,1m,2.0,1.5,1.8,416.0,0.45,9,COMPLETE
72,72,8.286955516238429,2025-06-15 01:13:12.753827,2025-06-15 01:13:16.599499,0 days 00:00:03.845672,770.0,0.003,3m,3.5,3.5,1.5,820.0,70.0,0.009000000000000001,3m,4.0,4.0,0.9,252.0,454.0,0.003,3m,1.0,2.5,0.6,924.0,,,,,,,,114.0,0.001,4m,1.5,1.5,1.2000000000000002,148.0,196.0,0.007,2m,1.5,1.5,1.4,1008.0,778.0,0.01,2m,3.5,2.0,1.4,970.0,732.0,0.004,2m,1.0,2.5,1.2000000000000002,824.0,614,0.004,4m,4.0,2.5,1.5,280,296.0,0.001,1m,2.0,1.5,1.8,390.0,0.45,9,COMPLETE
73,73,6.775419334273375,2025-06-15 01:13:16.654303,2025-06-15 01:13:19.994975,0 days 00:00:03.340672,842.0,0.003,3m,4.0,4.0,1.4,760.0,62.0,0.01,3m,4.0,3.5,0.6,58.0,582.0,0.003,3m,1.0,3.5,0.5,980.0,,,,,,,,164.0,0.001,4m,1.0,1.5,0.6,278.0,250.0,0.007,2m,1.5,1.5,1.4,852.0,854.0,0.009000000000000001,3m,3.0,1.5,1.5,844.0,,,,,,,,542,0.005,4m,4.0,2.5,1.6,208,262.0,0.002,1m,2.5,1.5,1.9000000000000001,442.0,0.5,8,COMPLETE
74,74,3.625637987687386,2025-06-15 01:13:20.073310,2025-06-15 01:13:24.451467,0 days 00:00:04.378157,710.0,0.001,3m,3.5,3.0,1.7000000000000002,872.0,192.0,0.009000000000000001,3m,4.0,4.0,1.0,298.0,694.0,0.002,3m,1.0,3.0,1.5,764.0,402.0,0.007,3m,1.5,3.5,0.5,234.0,68.0,0.002,4m,1.5,1.0,0.8,216.0,118.0,0.006,2m,2.0,2.0,1.6,1024.0,590.0,0.01,3m,3.5,1.5,1.7000000000000002,932.0,596.0,0.005,2m,1.0,1.0,1.1,764.0,476,0.004,4m,4.0,2.5,1.4,150,212.0,0.001,1m,1.0,1.5,1.7000000000000002,400.0,0.5,10,COMPLETE
75,75,8.326590923677925,2025-06-15 01:13:24.522426,2025-06-15 01:13:26.558068,0 days 00:00:02.035642,,,,,,,,,,,,,,,656.0,0.001,1m,1.0,3.0,0.7,858.0,,,,,,,,126.0,0.001,4m,1.5,1.5,0.8,468.0,288.0,0.009000000000000001,2m,1.5,1.5,1.4,706.0,,,,,,,,,,,,,,,572,0.005,4m,3.5,2.0,1.7000000000000002,130,,,,,,,,0.45,4,COMPLETE
76,76,7.278689271240098,2025-06-15 01:13:26.607632,2025-06-15 01:13:30.684475,0 days 00:00:04.076843,892.0,0.003,4m,2.5,3.5,1.5,892.0,128.0,0.01,3m,3.5,3.5,0.6,226.0,136.0,0.002,3m,1.0,2.0,0.6,886.0,,,,,,,,212.0,0.001,4m,1.5,1.0,1.1,736.0,1024.0,0.008,2m,3.5,3.5,1.3,750.0,900.0,0.01,3m,4.0,2.0,1.2000000000000002,992.0,972.0,0.003,2m,1.0,1.5,1.5,938.0,412,0.004,4m,4.0,3.0,1.5,48,310.0,0.002,1m,2.0,2.0,1.8,100.0,0.4,9,COMPLETE
77,77,9.146547331308605,2025-06-15 01:13:30.762254,2025-06-15 01:13:34.831860,0 days 00:00:04.069606,956.0,0.002,3m,3.0,2.5,1.6,638.0,18.0,0.009000000000000001,1m,4.0,4.0,2.0,174.0,714.0,0.003,3m,1.5,2.5,0.5,922.0,,,,,,,,162.0,0.002,2m,2.0,2.0,1.6,358.0,182.0,0.007,2m,1.0,2.0,1.5,978.0,996.0,0.009000000000000001,4m,3.5,2.5,1.6,902.0,768.0,0.004,2m,1.0,1.0,1.2000000000000002,334.0,634,0.006,3m,4.0,2.5,1.6,192,192.0,0.001,1m,1.5,1.0,2.0,778.0,0.45,9,COMPLETE
78,78,3.7216613736685806,2025-06-15 01:13:34.896746,2025-06-15 01:13:38.456897,0 days 00:00:03.560151,964.0,0.002,3m,2.5,2.5,1.6,646.0,868.0,0.001,1m,4.0,2.5,2.0,48.0,636.0,0.002,3m,2.0,2.5,0.5,932.0,,,,,,,,30.0,0.002,2m,1.0,2.0,1.6,370.0,184.0,0.007,2m,1.0,2.0,2.0,974.0,1002.0,0.008,4m,3.5,2.5,1.6,864.0,,,,,,,,628,0.006,3m,4.0,2.5,1.6,292,364.0,0.001,1m,2.5,1.0,2.0,322.0,0.5,8,COMPLETE
79,79,8.721537255680369,2025-06-15 01:13:38.527911,2025-06-15 01:13:42.950627,0 days 00:00:04.422716,936.0,0.001,2m,4.0,2.0,1.6,594.0,50.0,0.009000000000000001,1m,3.5,4.0,2.0,132.0,602.0,0.001,3m,1.5,3.5,0.6,902.0,90.0,0.01,4m,3.0,2.0,0.8,848.0,106.0,0.001,2m,1.5,1.5,1.5,412.0,230.0,0.006,2m,1.0,2.0,1.5,930.0,954.0,0.009000000000000001,4m,4.0,2.5,1.5,916.0,678.0,0.005,3m,1.0,1.0,1.5,256.0,542,0.007,3m,4.0,3.0,1.7000000000000002,254,280.0,0.001,2m,2.0,3.5,2.0,780.0,0.4,10,COMPLETE
80,80,10.579547974394952,2025-06-15 01:13:43.041152,2025-06-15 01:13:46.968628,0 days 00:00:03.927476,490.0,0.007,1m,3.5,2.5,1.7000000000000002,558.0,20.0,0.01,1m,4.0,4.0,1.3,176.0,710.0,0.002,4m,1.5,1.5,0.5,172.0,,,,,,,,176.0,0.002,2m,2.0,2.0,1.4,342.0,146.0,0.007,2m,1.0,2.5,1.6,940.0,1004.0,0.009000000000000001,4m,3.0,2.0,1.7000000000000002,800.0,756.0,0.004,2m,1.0,1.0,1.6,1014.0,328,0.005,3m,2.5,2.0,1.5,196,208.0,0.002,1m,1.5,1.0,1.3,544.0,0.45,9,COMPLETE
81,81,10.074585190928243,2025-06-15 01:13:47.059404,2025-06-15 01:13:50.965723,0 days 00:00:03.906319,482.0,0.008,1m,3.5,2.5,1.7000000000000002,578.0,26.0,0.01,1m,4.0,4.0,1.2000000000000002,170.0,716.0,0.002,4m,2.0,1.0,0.5,226.0,,,,,,,,150.0,0.002,2m,2.0,2.0,1.4,354.0,136.0,0.007,2m,1.0,2.5,1.6,940.0,1002.0,0.009000000000000001,4m,3.0,2.0,1.7000000000000002,800.0,780.0,0.004,2m,1.0,1.0,1.7000000000000002,1020.0,678,0.005,3m,2.5,2.0,1.5,184,204.0,0.002,1m,1.5,1.0,1.9000000000000001,618.0,0.45,9,COMPLETE
82,82,10.787180068963965,2025-06-15 01:13:51.055979,2025-06-15 01:13:55.100403,0 days 00:00:04.044424,506.0,0.008,1m,3.5,2.5,1.7000000000000002,584.0,20.0,0.01,1m,4.0,4.0,1.3,172.0,718.0,0.003,4m,2.0,1.0,0.7,184.0,,,,,,,,184.0,0.002,2m,2.5,2.0,1.6,436.0,88.0,0.007,2m,1.0,3.0,1.7000000000000002,984.0,998.0,0.008,4m,2.5,2.0,1.7000000000000002,954.0,752.0,0.004,2m,1.0,1.0,1.7000000000000002,988.0,674,0.005,3m,2.5,2.0,1.5,194,188.0,0.002,1m,1.5,1.0,1.1,548.0,0.45,9,COMPLETE
83,83,8.224474576201061,2025-06-15 01:13:55.196311,2025-06-15 01:13:59.516487,0 days 00:00:04.320176,504.0,0.008,1m,3.5,2.5,1.8,564.0,42.0,0.01,1m,4.0,4.0,1.3,252.0,792.0,0.003,4m,2.0,1.0,0.7,154.0,880.0,0.007,2m,1.5,3.5,1.2000000000000002,442.0,180.0,0.002,2m,2.5,2.0,1.7000000000000002,448.0,146.0,0.007,2m,1.0,3.0,1.7000000000000002,984.0,1004.0,0.008,4m,2.5,2.0,1.7000000000000002,798.0,760.0,0.005,2m,1.0,1.0,1.8,1018.0,688,0.005,3m,2.5,2.0,1.4,174,202.0,0.002,1m,1.5,1.0,1.3,560.0,0.45,10,COMPLETE
84,84,7.914338002046418,2025-06-15 01:13:59.561448,2025-06-15 01:14:03.223151,0 days 00:00:03.661703,318.0,0.008,1m,3.5,2.5,1.7000000000000002,494.0,18.0,0.01,1m,4.0,4.0,1.2000000000000002,158.0,738.0,0.002,4m,2.5,1.0,0.5,196.0,,,,,,,,162.0,0.002,2m,3.5,2.0,1.4,352.0,92.0,0.001,2m,1.0,2.5,1.6,948.0,1014.0,0.007,4m,2.5,2.0,1.6,736.0,706.0,0.003,2m,1.0,1.0,1.7000000000000002,980.0,680,0.005,3m,2.5,2.0,1.5,188,136.0,0.002,1m,1.5,1.0,1.1,532.0,0.4,9,COMPLETE
85,85,3.347510565698179,2025-06-15 01:14:03.283259,2025-06-15 01:14:06.756049,0 days 00:00:03.472790,486.0,0.007,1m,3.5,2.0,1.8,602.0,540.0,0.01,1m,4.0,4.0,1.4,340.0,714.0,0.003,4m,2.0,1.5,0.5,118.0,,,,,,,,70.0,0.001,2m,2.5,2.0,1.6,328.0,136.0,0.005,4m,1.0,3.0,1.8,930.0,912.0,0.009000000000000001,4m,3.0,2.0,1.9000000000000001,956.0,,,,,,,,636,0.005,3m,2.5,1.5,1.3,130,188.0,0.003,1m,1.0,1.0,1.1,618.0,0.45,8,COMPLETE
86,86,9.064848004049745,2025-06-15 01:14:06.849703,2025-06-15 01:14:12.659774,0 days 00:00:05.810071,544.0,0.007,1m,3.5,2.5,1.9000000000000001,680.0,106.0,0.01,1m,3.5,4.0,1.1,116.0,674.0,0.003,4m,2.0,1.0,0.6,264.0,218.0,0.002,4m,2.5,2.5,1.9000000000000001,854.0,192.0,0.002,2m,3.0,2.0,1.5,392.0,50.0,0.006,2m,1.0,2.5,1.8,998.0,966.0,0.008,4m,3.0,2.0,1.7000000000000002,830.0,760.0,0.005,2m,1.0,1.0,1.2000000000000002,1014.0,594,0.004,3m,2.5,2.0,1.4,198,930.0,0.01,1m,1.5,1.0,1.0,598.0,0.45,10,COMPLETE
87,87,5.4717802455642595,2025-06-15 01:14:12.777955,2025-06-15 01:14:19.389068,0 days 00:00:06.611113,370.0,0.008,1m,4.0,2.5,1.7000000000000002,634.0,16.0,0.01,1m,4.0,2.5,1.0,206.0,752.0,0.003,4m,2.5,1.5,0.7,206.0,,,,,,,,246.0,0.001,2m,2.0,2.0,1.8,302.0,192.0,0.007,3m,1.0,3.0,1.7000000000000002,914.0,990.0,0.009000000000000001,4m,3.0,2.5,1.6,912.0,762.0,0.004,4m,1.0,1.0,1.5,246.0,666,0.006,3m,2.0,2.0,1.4,84,152.0,0.003,1m,1.5,1.0,1.0,554.0,0.4,9,COMPLETE
88,88,1.235820679266248,2025-06-15 01:14:19.467929,2025-06-15 01:14:23.066830,0 days 00:00:03.598901,486.0,0.009000000000000001,1m,3.5,2.0,1.6,568.0,170.0,0.009000000000000001,1m,3.5,4.0,1.4,386.0,696.0,0.002,4m,1.5,1.0,0.8,150.0,,,,,,,,100.0,0.001,2m,2.0,2.0,1.6,444.0,136.0,0.006,2m,1.0,2.5,1.6,1020.0,1024.0,0.01,4m,3.0,2.0,1.4,778.0,,,,,,,,256,0.004,3m,2.5,4.0,1.5,304,226.0,0.002,1m,1.0,1.0,1.5,510.0,0.45,8,COMPLETE
89,89,6.036454291284383,2025-06-15 01:14:23.130234,2025-06-15 01:14:27.055803,0 days 00:00:03.925569,448.0,0.009000000000000001,1m,3.5,2.5,1.8,660.0,132.0,0.008,1m,4.0,3.5,0.9,426.0,666.0,0.003,4m,2.0,1.0,0.6,98.0,,,,,,,,154.0,0.002,2m,2.5,2.0,1.4,384.0,174.0,0.007,2m,1.0,3.5,1.7000000000000002,960.0,922.0,0.009000000000000001,4m,2.5,2.0,1.8,694.0,562.0,0.002,2m,1.0,1.0,1.1,968.0,346,0.005,3m,2.0,1.5,1.5,254,194.0,0.001,1m,1.5,1.0,1.3,668.0,0.45,9,COMPLETE
90,90,0.4176850854232648,2025-06-15 01:14:27.125884,2025-06-15 01:14:31.637297,0 days 00:00:04.511413,50.0,0.007,1m,4.0,2.5,1.5,448.0,98.0,0.009000000000000001,1m,3.5,3.5,0.9,152.0,784.0,0.002,4m,1.5,1.5,0.5,230.0,484.0,0.006,3m,4.0,1.0,0.7,272.0,276.0,0.002,2m,2.0,1.5,1.7000000000000002,342.0,90.0,0.007,2m,1.0,3.5,1.6,984.0,956.0,0.008,4m,2.0,2.0,2.0,946.0,646.0,0.004,2m,1.5,1.5,1.9000000000000001,966.0,724,0.005,3m,2.5,2.0,1.6,162,272.0,0.009000000000000001,4m,1.5,1.0,0.9,624.0,0.1,10,COMPLETE
91,91,9.659193215744384,2025-06-15 01:14:31.716319,2025-06-15 01:14:35.817503,0 days 00:00:04.101184,622.0,0.008,1m,3.5,2.5,1.6,734.0,62.0,0.009000000000000001,1m,4.0,4.0,1.3,184.0,714.0,0.002,4m,1.5,1.5,0.6,300.0,,,,,,,,202.0,0.003,2m,1.5,1.5,1.8,516.0,30.0,0.007,2m,1.5,2.5,1.5,638.0,988.0,0.009000000000000001,4m,2.5,1.5,1.7000000000000002,1000.0,1020.0,0.004,2m,1.0,1.0,1.7000000000000002,320.0,454,0.005,3m,2.5,2.5,1.7000000000000002,232,248.0,0.002,1m,1.5,1.0,1.9000000000000001,808.0,0.45,9,COMPLETE
92,92,10.285385855801298,2025-06-15 01:14:35.902488,2025-06-15 01:14:39.926941,0 days 00:00:04.024453,552.0,0.009000000000000001,1m,3.5,2.5,1.6,712.0,50.0,0.01,1m,4.0,4.0,1.3,276.0,718.0,0.002,4m,1.5,1.5,0.7,290.0,,,,,,,,190.0,0.003,2m,1.5,2.0,1.9000000000000001,492.0,38.0,0.007,2m,1.0,2.5,1.5,648.0,990.0,0.009000000000000001,4m,2.5,2.5,1.6,1004.0,1008.0,0.004,2m,1.0,1.0,1.7000000000000002,300.0,442,0.005,3m,2.5,2.5,1.7000000000000002,238,312.0,0.002,1m,1.5,1.0,1.2000000000000002,808.0,0.4,9,COMPLETE
93,93,6.264797231430832,2025-06-15 01:14:39.989726,2025-06-15 01:14:46.753942,0 days 00:00:06.764216,554.0,0.009000000000000001,1m,3.5,2.5,1.7000000000000002,710.0,46.0,0.01,1m,4.0,4.0,1.3,290.0,712.0,0.002,4m,1.5,1.5,0.7,292.0,,,,,,,,244.0,0.003,2m,1.5,2.0,1.8,502.0,58.0,0.008,2m,1.0,2.5,1.5,838.0,998.0,0.009000000000000001,4m,2.5,2.5,1.8,1006.0,1018.0,0.005,2m,4.0,1.0,1.7000000000000002,320.0,328,0.005,3m,2.5,2.5,1.8,232,90.0,0.003,1m,1.5,1.0,1.2000000000000002,788.0,0.4,9,COMPLETE
94,94,4.715390300867424,2025-06-15 01:14:46.878210,2025-06-15 01:14:51.177255,0 days 00:00:04.299045,606.0,0.01,1m,3.5,2.5,1.6,614.0,92.0,0.01,1m,4.0,4.0,1.2000000000000002,230.0,750.0,0.002,4m,1.5,1.5,0.6,334.0,,,,,,,,192.0,0.003,2m,2.0,2.0,1.9000000000000001,554.0,40.0,0.006,2m,1.0,2.5,1.5,646.0,966.0,0.008,4m,2.5,2.5,1.7000000000000002,952.0,,,,,,,,444,0.006,3m,2.5,2.5,1.7000000000000002,196,236.0,0.002,1m,1.5,1.0,1.1,840.0,0.4,8,COMPLETE
95,95,8.481682743757926,2025-06-15 01:14:51.255765,2025-06-15 01:14:55.796197,0 days 00:00:04.540432,510.0,0.008,1m,3.0,2.0,1.8,752.0,38.0,0.01,1m,4.0,3.0,1.3,110.0,718.0,0.002,4m,2.0,1.0,0.5,194.0,900.0,0.002,2m,3.0,2.0,1.8,680.0,298.0,0.003,2m,1.5,2.0,2.0,522.0,100.0,0.007,2m,1.0,2.5,1.6,636.0,1024.0,0.009000000000000001,4m,2.5,2.0,1.6,1006.0,1010.0,0.003,2m,1.0,1.0,1.8,434.0,366,0.005,3m,2.0,2.0,1.7000000000000002,812,170.0,0.002,1m,1.0,1.0,1.2000000000000002,820.0,0.35000000000000003,10,COMPLETE
96,96,0.05262767081497273,2025-06-15 01:14:55.855968,2025-06-15 01:14:59.983146,0 days 00:00:04.127178,576.0,0.008,1m,3.5,2.5,1.4,576.0,108.0,0.01,1m,4.0,4.0,1.4,270.0,862.0,0.002,4m,1.5,1.5,0.5,240.0,,,,,,,,150.0,0.002,2m,2.0,2.5,1.9000000000000001,594.0,80.0,0.008,1m,1.0,2.5,1.7000000000000002,666.0,926.0,0.007,4m,2.0,2.5,1.7000000000000002,926.0,980.0,0.004,1m,1.0,1.0,1.7000000000000002,314.0,452,0.006,3m,3.0,2.5,1.8,144,316.0,0.003,3m,1.5,1.0,1.3,710.0,0.4,9,COMPLETE
97,97,7.4638751290185965,2025-06-15 01:15:00.063262,2025-06-15 01:15:04.376186,0 days 00:00:04.312924,618.0,0.01,1m,3.0,2.5,1.7000000000000002,734.0,18.0,0.005,1m,3.5,4.0,1.4,174.0,646.0,0.002,4m,1.5,1.0,0.8,376.0,,,,,,,,210.0,0.002,2m,1.5,2.0,1.8,526.0,132.0,0.007,2m,1.0,3.0,1.6,698.0,886.0,0.009000000000000001,4m,2.5,2.5,1.6,894.0,1024.0,0.005,2m,1.0,1.0,1.6,352.0,308,0.005,3m,2.5,2.5,1.5,558,268.0,0.002,1m,1.5,1.0,1.9000000000000001,588.0,0.45,9,COMPLETE
98,98,6.102512284464242,2025-06-15 01:15:04.462735,2025-06-15 01:15:08.987739,0 days 00:00:04.525004,472.0,0.009000000000000001,1m,4.0,2.0,1.9000000000000001,698.0,442.0,0.009000000000000001,4m,4.0,4.0,1.1,34.0,800.0,0.002,4m,2.5,2.0,0.6,172.0,630.0,0.009000000000000001,1m,1.5,3.5,1.4,92.0,330.0,0.003,2m,3.0,2.0,1.3,440.0,34.0,0.002,2m,1.0,2.5,1.9000000000000001,886.0,992.0,0.008,4m,2.5,2.0,1.9000000000000001,1024.0,452.0,0.004,2m,2.5,1.0,1.8,208.0,504,0.007,3m,2.5,2.0,1.7000000000000002,330,208.0,0.003,1m,1.5,1.0,1.1,892.0,0.45,10,COMPLETE
99,99,-1.5573622443666226,2025-06-15 01:15:09.055509,2025-06-15 01:15:12.810711,0 days 00:00:03.755202,410.0,0.008,1m,3.5,2.5,1.6,650.0,90.0,0.01,1m,4.0,4.0,1.9000000000000001,132.0,758.0,0.003,4m,1.5,1.5,0.7,300.0,,,,,,,,174.0,0.002,2m,2.5,1.5,1.5,630.0,246.0,0.006,2m,3.0,3.0,1.5,572.0,948.0,0.01,4m,2.5,2.0,1.8,860.0,,,,,,,,534,0.008,3m,2.5,2.5,1.3,260,128.0,0.002,1m,1.0,1.0,1.4,644.0,0.35000000000000003,8,COMPLETE
100,100,10.737630506599556,2025-06-15 01:15:12.877254,2025-06-15 01:15:17.009338,0 days 00:00:04.132084,560.0,0.006,1m,3.0,2.5,1.7000000000000002,782.0,154.0,0.009000000000000001,1m,4.0,3.5,1.2000000000000002,336.0,830.0,0.003,4m,2.0,1.0,0.7,262.0,,,,,,,,238.0,0.003,2m,2.0,2.5,1.9000000000000001,486.0,160.0,0.007,2m,1.5,2.5,1.8,782.0,892.0,0.009000000000000001,4m,2.0,2.0,0.6,962.0,982.0,0.01,2m,1.5,1.0,1.5,1022.0,574,0.005,3m,3.0,2.0,1.6,122,232.0,0.002,1m,1.5,3.0,1.9000000000000001,744.0,0.45,9,COMPLETE
101,101,6.888474559727462,2025-06-15 01:15:17.087262,2025-06-15 01:15:21.187565,0 days 00:00:04.100303,524.0,0.006,1m,3.0,2.5,1.7000000000000002,680.0,68.0,0.009000000000000001,1m,4.0,3.5,1.2000000000000002,332.0,992.0,0.003,4m,2.0,1.0,0.7,252.0,,,,,,,,234.0,0.003,2m,2.0,2.5,1.9000000000000001,466.0,162.0,0.007,2m,1.5,2.5,1.8,638.0,894.0,0.009000000000000001,4m,2.0,2.0,0.6,960.0,986.0,0.005,2m,1.5,1.0,1.5,1024.0,596,0.005,3m,3.0,2.0,1.6,114,228.0,0.002,1m,1.5,3.0,1.9000000000000001,754.0,0.45,9,COMPLETE
102,102,7.672437238688571,2025-06-15 01:15:21.260525,2025-06-15 01:15:25.551348,0 days 00:00:04.290823,564.0,0.006,1m,3.0,2.5,1.7000000000000002,784.0,44.0,0.008,1m,4.0,4.0,1.3,310.0,890.0,0.004,4m,2.0,1.0,0.5,320.0,,,,,,,,136.0,0.003,2m,2.0,2.5,1.8,396.0,206.0,0.008,2m,1.5,2.5,1.7000000000000002,776.0,844.0,0.009000000000000001,4m,1.5,2.0,1.5,992.0,982.0,0.009000000000000001,2m,1.0,1.0,1.4,984.0,568,0.005,3m,2.5,2.0,1.5,164,252.0,0.002,1m,4.0,3.5,1.9000000000000001,686.0,0.45,9,COMPLETE
103,103,9.500993127783529,2025-06-15 01:15:25.623352,2025-06-15 01:15:29.926491,0 days 00:00:04.303139,636.0,0.007,1m,3.5,2.5,1.6,734.0,144.0,0.01,1m,4.0,4.0,2.0,358.0,836.0,0.002,4m,2.0,1.5,0.6,268.0,,,,,,,,264.0,0.003,2m,1.5,2.0,2.0,484.0,64.0,0.007,2m,1.5,2.5,1.6,690.0,990.0,0.009000000000000001,4m,2.0,2.5,0.8,924.0,872.0,0.01,2m,1.0,1.0,1.7000000000000002,186.0,644,0.006,3m,2.5,2.5,1.6,92,180.0,0.001,1m,1.5,3.0,2.0,794.0,0.4,9,COMPLETE
104,104,7.863908983218081,2025-06-15 01:15:30.013614,2025-06-15 01:15:34.005722,0 days 00:00:03.992108,652.0,0.007,1m,3.5,3.0,1.9000000000000001,978.0,140.0,0.01,1m,4.0,3.5,1.9000000000000001,360.0,838.0,0.002,4m,2.0,1.5,0.8,278.0,,,,,,,,268.0,0.003,2m,1.5,2.0,2.0,478.0,76.0,0.007,2m,1.5,2.5,1.9000000000000001,678.0,926.0,0.01,2m,2.0,2.0,0.7,936.0,,,,,,,,488,0.005,3m,2.5,2.0,1.8,94,152.0,0.003,1m,1.5,3.0,1.2000000000000002,802.0,0.4,8,COMPLETE
105,105,7.271761695866055,2025-06-15 01:15:34.085800,2025-06-15 01:15:38.486396,0 days 00:00:04.400596,630.0,0.007,1m,3.5,2.5,1.8,738.0,178.0,0.01,1m,4.0,4.0,1.1,428.0,818.0,0.002,4m,2.0,1.5,0.6,218.0,,,,,,,,212.0,0.008,2m,1.5,2.0,1.9000000000000001,498.0,122.0,0.008,4m,1.5,2.5,1.6,590.0,960.0,0.01,4m,1.5,2.0,0.8,958.0,884.0,0.01,2m,1.5,1.0,1.7000000000000002,106.0,392,0.005,3m,3.0,2.5,1.4,62,280.0,0.002,1m,1.5,3.0,1.9000000000000001,874.0,0.4,9,COMPLETE
106,106,6.3935153246905765,2025-06-15 01:15:38.579658,2025-06-15 01:15:43.256926,0 days 00:00:04.677268,588.0,0.006,1m,3.5,2.5,1.6,784.0,154.0,0.01,1m,3.5,4.0,1.5,408.0,932.0,0.001,4m,2.5,1.0,0.7,436.0,322.0,0.006,1m,3.5,1.5,1.2000000000000002,516.0,974.0,0.003,2m,1.0,3.5,2.0,424.0,24.0,0.006,2m,1.5,2.5,1.8,624.0,980.0,0.009000000000000001,4m,2.0,2.5,0.5,986.0,848.0,0.009000000000000001,2m,1.0,1.5,1.6,988.0,432,0.006,3m,2.5,2.0,1.7000000000000002,24,88.0,0.003,1m,1.5,3.5,1.7000000000000002,826.0,0.35000000000000003,10,COMPLETE
