,number,value,datetime_start,datetime_complete,duration,params_AAPL_ZM_beta_win,params_AAPL_ZM_stop_loss,params_AAPL_ZM_trade_freq,params_AAPL_ZM_z_entry,params_AAPL_ZM_z_exit,params_AAPL_ZM_z_stop_scaler,params_AAPL_ZM_z_win,params_ANSS_NXPI_beta_win,params_ANSS_NXPI_stop_loss,params_ANSS_NXPI_trade_freq,params_ANSS_NXPI_z_entry,params_ANSS_NXPI_z_exit,params_ANSS_NXPI_z_stop_scaler,params_ANSS_NXPI_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_COST_ZM_beta_win,params_COST_ZM_stop_loss,params_COST_ZM_trade_freq,params_COST_ZM_z_entry,params_COST_ZM_z_exit,params_COST_ZM_z_stop_scaler,params_COST_ZM_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_EBAY_NXPI_beta_win,params_EBAY_NXPI_stop_loss,params_EBAY_NXPI_trade_freq,params_EBAY_NXPI_z_entry,params_EBAY_NXPI_z_exit,params_EBAY_NXPI_z_stop_scaler,params_EBAY_NXPI_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SIRI_ZM_beta_win,params_SIRI_ZM_stop_loss,params_SIRI_ZM_trade_freq,params_SIRI_ZM_z_entry,params_SIRI_ZM_z_exit,params_SIRI_ZM_z_stop_scaler,params_SIRI_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,2.5069034170858764,2025-06-15 01:10:59.251253,2025-06-15 01:11:00.250830,0 days 00:00:00.999577,,,,,,,,654,0.005,2m,3.5,4.0,1.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.0,0.002,1m,2.0,2.0,0.5,868.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
21,21,2.205807760088578,2025-06-15 01:11:00.306110,2025-06-15 01:11:00.862619,0 days 00:00:00.556509,,,,,,,,758,0.005,2m,2.5,3.0,1.7000000000000002,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
22,22,-0.8782385175121986,2025-06-15 01:11:00.910686,2025-06-15 01:11:01.823229,0 days 00:00:00.912543,,,,,,,,890,0.007,2m,3.0,3.5,1.7000000000000002,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,0.005,1m,1.5,1.5,1.0,1016.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
23,23,4.288469805551388,2025-06-15 01:11:01.887388,2025-06-15 01:11:02.396527,0 days 00:00:00.509139,,,,,,,,822,0.003,2m,2.5,3.0,1.8,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
24,24,3.114605400974265,2025-06-15 01:11:02.458557,2025-06-15 01:11:03.718783,0 days 00:00:01.260226,,,,,,,,484,0.003,2m,2.0,4.0,1.8,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,0.003,4m,3.0,2.0,1.3,20.0,,,,,,,,366.0,0.001,4m,3.5,4.0,1.7000000000000002,174.0,,,,,,,,0.25,3,COMPLETE
25,25,2.6396265179816374,2025-06-15 01:11:03.767334,2025-06-15 01:11:05.606813,0 days 00:00:01.839479,,,,,,,,812,0.002,2m,2.5,3.5,1.5,98,,,,,,,,,,,,,,,690.0,0.003,4m,3.5,2.5,1.3,436.0,,,,,,,,484.0,0.002,2m,3.0,2.0,0.7,428.0,,,,,,,,228.0,0.01,4m,1.5,1.0,1.5,1022.0,,,,,,,,0.4,4,COMPLETE
26,26,0.6148948295821013,2025-06-15 01:11:05.656643,2025-06-15 01:11:06.636334,0 days 00:00:00.979691,,,,,,,,908,0.003,2m,3.0,3.0,1.8,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,0.006,3m,4.0,1.0,1.4,682.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
27,27,2.801627926385215,2025-06-15 01:11:06.690266,2025-06-15 01:11:07.143496,0 days 00:00:00.453230,,,,,,,,704,0.001,3m,3.5,4.0,1.6,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
28,28,0.5782203654044189,2025-06-15 01:11:07.190320,2025-06-15 01:11:08.181257,0 days 00:00:00.990937,,,,,,,,552,0.002,1m,1.5,3.5,1.1,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.0,0.004,1m,1.0,1.5,1.0,246.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
29,29,3.120134720792485,2025-06-15 01:11:08.233019,2025-06-15 01:11:09.571451,0 days 00:00:01.338432,,,,,,,,824,0.004,3m,2.5,2.5,1.3,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.0,0.008,1m,2.0,3.5,0.6,314.0,,,,,,,,524.0,0.004,1m,1.0,2.0,1.8,656.0,,,,,,,,0.35000000000000003,3,COMPLETE
