,number,value,datetime_start,datetime_complete,duration,params_AAPL_ZM_beta_win,params_AAPL_ZM_stop_loss,params_AAPL_ZM_trade_freq,params_AAPL_ZM_z_entry,params_AAPL_ZM_z_exit,params_AAPL_ZM_z_stop_scaler,params_AAPL_ZM_z_win,params_ANSS_NXPI_beta_win,params_ANSS_NXPI_stop_loss,params_ANSS_NXPI_trade_freq,params_ANSS_NXPI_z_entry,params_ANSS_NXPI_z_exit,params_ANSS_NXPI_z_stop_scaler,params_ANSS_NXPI_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_COST_ZM_beta_win,params_COST_ZM_stop_loss,params_COST_ZM_trade_freq,params_COST_ZM_z_entry,params_COST_ZM_z_exit,params_COST_ZM_z_stop_scaler,params_COST_ZM_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_EBAY_NXPI_beta_win,params_EBAY_NXPI_stop_loss,params_EBAY_NXPI_trade_freq,params_EBAY_NXPI_z_entry,params_EBAY_NXPI_z_exit,params_EBAY_NXPI_z_stop_scaler,params_EBAY_NXPI_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SIRI_ZM_beta_win,params_SIRI_ZM_stop_loss,params_SIRI_ZM_trade_freq,params_SIRI_ZM_z_entry,params_SIRI_ZM_z_exit,params_SIRI_ZM_z_stop_scaler,params_SIRI_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
109,109,1.7156527329792541,2025-06-15 01:12:55.465631,2025-06-15 01:12:56.885687,0 days 00:00:01.420056,,,,,,,,574,0.008,1m,4.0,2.5,1.1,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,0.008,1m,2.5,3.0,0.5,546.0,,,,,,,,894.0,0.006,1m,1.5,3.0,1.1,508.0,,,,,,,,0.4,3,COMPLETE
110,110,1.9190625695645618,2025-06-15 01:12:56.939896,2025-06-15 01:12:57.829020,0 days 00:00:00.889124,,,,,,,,840,0.007,2m,3.5,3.0,1.9000000000000001,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0,0.002,4m,3.0,2.5,0.6,1000.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
111,111,5.558652740864008,2025-06-15 01:12:57.894192,2025-06-15 01:12:58.948041,0 days 00:00:01.053849,,,,,,,,746,0.01,1m,3.5,1.5,2.0,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,0.007,2m,2.5,3.0,0.5,834.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
112,112,-1.1420357292160452,2025-06-15 01:12:58.989042,2025-06-15 01:13:00.039913,0 days 00:00:01.050871,,,,,,,,774,0.01,1m,3.5,1.5,2.0,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,0.006,2m,2.0,3.0,0.5,866.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
113,113,6.672262758760045,2025-06-15 01:13:00.099427,2025-06-15 01:13:00.655238,0 days 00:00:00.555811,,,,,,,,412,0.01,1m,3.5,1.5,2.0,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
114,114,5.76099293470698,2025-06-15 01:13:00.705027,2025-06-15 01:13:01.643118,0 days 00:00:00.938091,,,,,,,,408,0.01,1m,3.5,1.5,2.0,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,0.007,2m,2.5,2.0,0.5,776.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
115,115,6.7696452526181075,2025-06-15 01:13:01.689298,2025-06-15 01:13:02.169788,0 days 00:00:00.480490,,,,,,,,434,0.01,1m,3.5,1.5,2.0,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
116,116,4.595864333063314,2025-06-15 01:13:02.210846,2025-06-15 01:13:02.794854,0 days 00:00:00.584008,,,,,,,,398,0.01,1m,3.5,1.5,2.0,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
117,117,5.751724695428089,2025-06-15 01:13:02.849228,2025-06-15 01:13:03.451114,0 days 00:00:00.601886,,,,,,,,416,0.01,1m,3.5,1.5,2.0,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
118,118,0.7226276181777953,2025-06-15 01:13:03.526444,2025-06-15 01:13:04.108553,0 days 00:00:00.582109,,,,,,,,528,0.01,1m,4.0,1.0,2.0,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
119,119,-1.061331206840607,2025-06-15 01:13:04.185873,2025-06-15 01:13:04.729803,0 days 00:00:00.543930,,,,,,,,366,0.01,1m,3.5,1.5,2.0,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
120,120,5.44069286151724,2025-06-15 01:13:04.788768,2025-06-15 01:13:05.249720,0 days 00:00:00.460952,,,,,,,,446,0.01,1m,3.5,1.5,2.0,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
121,121,5.548729119031,2025-06-15 01:13:05.287564,2025-06-15 01:13:05.782367,0 days 00:00:00.494803,,,,,,,,400,0.01,1m,3.5,1.5,1.9000000000000001,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
122,122,5.953762203654301,2025-06-15 01:13:05.832086,2025-06-15 01:13:06.376583,0 days 00:00:00.544497,,,,,,,,422,0.01,1m,3.5,1.5,2.0,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
123,123,5.761179279994045,2025-06-15 01:13:06.456596,2025-06-15 01:13:07.038193,0 days 00:00:00.581597,,,,,,,,426,0.01,1m,3.5,1.5,2.0,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
124,124,3.97273362526927,2025-06-15 01:13:07.095992,2025-06-15 01:13:07.639147,0 days 00:00:00.543155,,,,,,,,474,0.01,1m,3.5,1.5,2.0,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
125,125,-4.020504823326179,2025-06-15 01:13:07.689562,2025-06-15 01:13:08.189129,0 days 00:00:00.499567,,,,,,,,342,0.01,1m,3.5,1.5,2.0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
126,126,-2.214578989350528,2025-06-15 01:13:08.227333,2025-06-15 01:13:08.796931,0 days 00:00:00.569598,,,,,,,,322,0.01,1m,3.5,1.5,2.0,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
127,127,5.245186092250703,2025-06-15 01:13:08.841856,2025-06-15 01:13:09.341536,0 days 00:00:00.499680,,,,,,,,424,0.01,1m,3.5,1.5,2.0,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
128,128,5.228084121628307,2025-06-15 01:13:09.395944,2025-06-15 01:13:09.878962,0 days 00:00:00.483018,,,,,,,,462,0.009000000000000001,1m,3.5,1.0,2.0,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
129,129,-0.6112955141577212,2025-06-15 01:13:09.940216,2025-06-15 01:13:12.863033,0 days 00:00:02.922817,790.0,0.004,2m,4.0,3.0,0.5,326.0,498,0.01,1m,4.0,1.5,1.9000000000000001,348,464.0,0.007,2m,3.5,1.5,1.3,876.0,,,,,,,,472.0,0.007,3m,3.5,1.0,1.6,864.0,,,,,,,,736.0,0.004,3m,4.0,2.0,0.8,658.0,218.0,0.003,1m,1.0,2.0,1.1,536.0,24.0,0.001,2m,4.0,1.0,1.6,290.0,,,,,,,,0.45,7,COMPLETE
130,130,-4.815441147660034,2025-06-15 01:13:12.911047,2025-06-15 01:13:13.388742,0 days 00:00:00.477695,,,,,,,,372,0.01,1m,3.5,1.5,1.9000000000000001,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
131,131,4.862502698204199,2025-06-15 01:13:13.420310,2025-06-15 01:13:13.885772,0 days 00:00:00.465462,,,,,,,,440,0.005,1m,3.5,1.5,2.0,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
132,132,5.388462534451986,2025-06-15 01:13:13.929012,2025-06-15 01:13:14.897897,0 days 00:00:00.968885,,,,,,,,876,0.004,1m,3.5,2.0,1.9000000000000001,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,0.001,2m,3.5,1.5,0.9,244.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
133,133,5.509037142493138,2025-06-15 01:13:14.958160,2025-06-15 01:13:15.558514,0 days 00:00:00.600354,,,,,,,,408,0.01,1m,3.5,1.5,2.0,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
134,134,1.5925157570988122,2025-06-15 01:13:15.619639,2025-06-15 01:13:16.609263,0 days 00:00:00.989624,,,,,,,,538,0.01,3m,3.0,1.5,2.0,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,0.005,3m,3.5,2.0,0.7,786.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
135,135,9.630436291864717,2025-06-15 01:13:16.664454,2025-06-15 01:13:17.128979,0 days 00:00:00.464525,,,,,,,,858,0.01,1m,3.5,1.0,1.9000000000000001,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
136,136,-2.012667956433003,2025-06-15 01:13:17.162705,2025-06-15 01:13:17.671597,0 days 00:00:00.508892,,,,,,,,360,0.01,1m,3.5,1.0,1.9000000000000001,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
137,137,3.132959345486757,2025-06-15 01:13:17.726009,2025-06-15 01:13:18.284855,0 days 00:00:00.558846,,,,,,,,908,0.01,1m,3.5,1.0,1.9000000000000001,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
138,138,5.919184100376119,2025-06-15 01:13:18.351821,2025-06-15 01:13:18.870214,0 days 00:00:00.518393,,,,,,,,426,0.01,1m,3.5,1.0,1.9000000000000001,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
139,139,-1.5411299094292086,2025-06-15 01:13:18.935868,2025-06-15 01:13:21.397153,0 days 00:00:02.461285,,,,,,,,488,0.009000000000000001,1m,3.5,1.0,1.9000000000000001,336,874.0,0.005,1m,1.5,3.5,0.7,630.0,,,,,,,,38.0,0.006,2m,2.5,3.5,0.7,292.0,,,,,,,,806.0,0.004,2m,4.0,2.5,1.2000000000000002,344.0,510.0,0.008,2m,2.0,1.5,0.7,846.0,188.0,0.003,4m,4.0,1.5,1.9000000000000001,64.0,,,,,,,,0.35000000000000003,6,COMPLETE
140,140,1.9319664441801558,2025-06-15 01:13:21.458882,2025-06-15 01:13:21.982985,0 days 00:00:00.524103,,,,,,,,388,0.009000000000000001,1m,3.5,1.0,1.9000000000000001,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
141,141,4.64561382301902,2025-06-15 01:13:22.028591,2025-06-15 01:13:22.556025,0 days 00:00:00.527434,,,,,,,,426,0.01,1m,3.5,1.0,2.0,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
142,142,5.737121515757788,2025-06-15 01:13:22.613461,2025-06-15 01:13:23.193677,0 days 00:00:00.580216,,,,,,,,422,0.01,1m,3.5,1.0,2.0,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
143,143,5.009655111324019,2025-06-15 01:13:23.260787,2025-06-15 01:13:23.838321,0 days 00:00:00.577534,,,,,,,,854,0.01,1m,3.5,1.5,2.0,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
144,144,5.45390794770065,2025-06-15 01:13:23.909046,2025-06-15 01:13:24.478013,0 days 00:00:00.568967,,,,,,,,808,0.01,1m,3.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
145,145,0.7129881238447193,2025-06-15 01:13:24.553964,2025-06-15 01:13:25.722054,0 days 00:00:01.168090,,,,,,,,452,0.01,1m,3.5,1.5,1.8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,0.003,4m,3.0,2.0,1.0,626.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
146,146,6.241189507962035,2025-06-15 01:13:25.809866,2025-06-15 01:13:26.337367,0 days 00:00:00.527501,,,,,,,,886,0.01,1m,3.5,1.0,2.0,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
147,147,5.510851657816536,2025-06-15 01:13:26.396738,2025-06-15 01:13:27.212710,0 days 00:00:00.815972,,,,,,,,884,0.01,1m,3.5,1.0,1.9000000000000001,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,0.005,2m,4.0,2.5,1.5,712.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
148,148,-2.3569535260273766,2025-06-15 01:13:27.262258,2025-06-15 01:13:29.695984,0 days 00:00:02.433726,,,,,,,,864,0.009000000000000001,4m,4.0,1.0,1.8,60,188.0,0.008,4m,2.5,4.0,2.0,834.0,,,,,,,,906.0,0.004,3m,4.0,1.5,0.9,182.0,,,,,,,,900.0,0.01,3m,3.5,2.5,1.1,714.0,,,,,,,,320.0,0.01,3m,3.0,4.0,1.5,328.0,,,,,,,,0.35000000000000003,5,COMPLETE
149,149,8.218693004456911,2025-06-15 01:13:29.788038,2025-06-15 01:13:30.385110,0 days 00:00:00.597072,,,,,,,,830,0.01,1m,3.5,1.0,2.0,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
