,number,value,datetime_start,datetime_complete,duration,params_AMD_VRTX_beta_win,params_AMD_VRTX_stop_loss,params_AMD_VRTX_trade_freq,params_AMD_VRTX_z_entry,params_AMD_VRTX_z_exit,params_AMD_VRTX_z_stop_scaler,params_AMD_VRTX_z_win,params_CERN_VRTX_beta_win,params_CERN_VRTX_stop_loss,params_CERN_VRTX_trade_freq,params_CERN_VRTX_z_entry,params_CERN_VRTX_z_exit,params_CERN_VRTX_z_stop_scaler,params_CERN_VRTX_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CHTR_VRTX_beta_win,params_CHTR_VRTX_stop_loss,params_CHTR_VRTX_trade_freq,params_CHTR_VRTX_z_entry,params_CHTR_VRTX_z_exit,params_CHTR_VRTX_z_stop_scaler,params_CHTR_VRTX_z_win,params_CTSH_VRTX_beta_win,params_CTSH_VRTX_stop_loss,params_CTSH_VRTX_trade_freq,params_CTSH_VRTX_z_entry,params_CTSH_VRTX_z_exit,params_CTSH_VRTX_z_stop_scaler,params_CTSH_VRTX_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PTON_VRTX_beta_win,params_PTON_VRTX_stop_loss,params_PTON_VRTX_trade_freq,params_PTON_VRTX_z_entry,params_PTON_VRTX_z_exit,params_PTON_VRTX_z_stop_scaler,params_PTON_VRTX_z_win,params_QCOM_VRTX_beta_win,params_QCOM_VRTX_stop_loss,params_QCOM_VRTX_trade_freq,params_QCOM_VRTX_z_entry,params_QCOM_VRTX_z_exit,params_QCOM_VRTX_z_stop_scaler,params_QCOM_VRTX_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_VRSK_VRTX_beta_win,params_VRSK_VRTX_stop_loss,params_VRSK_VRTX_trade_freq,params_VRSK_VRTX_z_entry,params_VRSK_VRTX_z_exit,params_VRSK_VRTX_z_stop_scaler,params_VRSK_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
96,96,0.7193494976539755,2025-06-15 00:14:41.745866,2025-06-15 00:14:43.914552,0 days 00:00:02.168686,,,,,,,,814.0,0.007,3m,1.5,2.5,1.0,210.0,490.0,0.002,4m,2.5,1.0,0.7,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,0.003,3m,4.0,3.0,1.8,586,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
97,97,4.318784203219496,2025-06-15 00:14:44.005098,2025-06-15 00:14:46.643757,0 days 00:00:02.638659,,,,,,,,952.0,0.008,1m,1.5,3.0,1.2000000000000002,304.0,596.0,0.003,4m,3.0,1.5,0.5,598.0,,,,,,,,264.0,0.003,3m,3.5,3.5,1.9000000000000001,828.0,,,,,,,,,,,,,,,654,0.002,3m,4.0,3.5,2.0,718,,,,,,,,,,,,,,,0.4,4,COMPLETE
98,98,3.7041581445046567,2025-06-15 00:14:46.721322,2025-06-15 00:14:48.825245,0 days 00:00:02.103923,,,,,,,,892.0,0.007,2m,2.0,2.5,1.1,266.0,432.0,0.001,4m,3.5,1.5,0.6,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,0.002,4m,4.0,3.5,1.8,656,,,,,,,,,,,,,,,0.45,3,COMPLETE
99,99,2.58984350649412,2025-06-15 00:14:48.906267,2025-06-15 00:14:51.803178,0 days 00:00:02.896911,,,,,,,,760.0,0.008,1m,1.0,2.5,1.3,16.0,164.0,0.007,4m,2.0,2.0,0.6,610.0,,,,,,,,350.0,0.001,3m,4.0,3.0,1.8,978.0,,,,,,,,,,,,,,,442,0.003,3m,3.5,3.5,1.7000000000000002,108,,,,,,,,,,,,,,,0.4,4,COMPLETE
100,100,1.9788724325616014,2025-06-15 00:14:51.881044,2025-06-15 00:14:54.349161,0 days 00:00:02.468117,,,,,,,,982.0,0.007,4m,1.5,2.5,1.4,164.0,36.0,0.002,4m,2.5,2.5,1.0,544.0,,,,,,,,398.0,0.002,3m,3.5,3.0,0.6,912.0,,,,,,,,,,,,,,,588,0.003,1m,4.0,3.0,2.0,846,,,,,,,,,,,,,,,0.5,4,COMPLETE
101,101,-7.013564395864435,2025-06-15 00:14:54.452481,2025-06-15 00:14:58.021621,0 days 00:00:03.569140,780.0,0.005,3m,1.0,3.0,1.7000000000000002,90.0,720.0,0.009000000000000001,1m,1.5,2.0,1.5,96.0,336.0,0.003,4m,3.0,2.5,0.5,390.0,,,,,,,,552.0,0.003,3m,3.5,3.0,1.3,786.0,,,,,,,,,,,,,,,682,0.001,3m,3.0,4.0,1.9000000000000001,616,,,,,,,,,,,,,,,0.45,5,COMPLETE
102,102,4.483931763616932,2025-06-15 00:14:58.094138,2025-06-15 00:15:00.672417,0 days 00:00:02.578279,,,,,,,,834.0,0.008,1m,1.5,2.0,1.6,82.0,520.0,0.003,4m,3.0,2.5,0.5,500.0,,,,,,,,714.0,0.003,3m,3.0,3.5,1.5,746.0,,,,,,,,,,,,,,,570,0.002,3m,4.0,4.0,0.8,558,,,,,,,,,,,,,,,0.3,4,COMPLETE
103,103,-3.7324950493951237,2025-06-15 00:15:00.771073,2025-06-15 00:15:05.002543,0 days 00:00:04.231470,410.0,0.007,1m,4.0,4.0,1.6,844.0,614.0,0.008,1m,1.5,2.0,1.4,134.0,290.0,0.004,2m,3.0,2.5,0.5,330.0,,,,,,,,452.0,0.003,2m,3.5,2.5,1.7000000000000002,678.0,356.0,0.005,3m,1.0,1.0,1.2000000000000002,830.0,,,,,,,,512,0.001,3m,3.5,4.0,0.9,742,,,,,,,,,,,,,,,0.2,6,COMPLETE
104,104,4.677876691957172,2025-06-15 00:15:05.062372,2025-06-15 00:15:08.157597,0 days 00:00:03.095225,644.0,0.006,2m,3.0,2.0,0.9,664.0,800.0,0.01,1m,3.0,2.5,1.2000000000000002,232.0,228.0,0.003,1m,3.5,2.0,0.5,476.0,,,,,,,,492.0,0.002,3m,3.5,3.0,0.7,858.0,,,,,,,,,,,,,,,926,0.002,3m,3.5,3.5,1.1,788,,,,,,,,,,,,,,,0.25,5,COMPLETE
105,105,5.849108598974477,2025-06-15 00:15:08.256965,2025-06-15 00:15:10.399149,0 days 00:00:02.142184,,,,,,,,856.0,0.009000000000000001,1m,1.0,2.0,1.5,192.0,460.0,0.004,4m,3.0,3.0,1.2000000000000002,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,0.002,4m,2.5,2.5,0.7,798,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
106,106,-100.0,2025-06-15 00:15:10.506281,2025-06-15 00:15:11.297490,0 days 00:00:00.791209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0.001,3m,3.0,4.0,1.0,518,,,,,,,,,,,,,,,0.4,1,COMPLETE
107,107,-5.799399231737525,2025-06-15 00:15:11.366423,2025-06-15 00:15:13.392580,0 days 00:00:02.026157,,,,,,,,702.0,0.008,1m,2.0,2.0,1.3,38.0,208.0,0.002,4m,2.5,2.5,0.6,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,0.002,4m,3.5,3.5,1.3,694,,,,,,,,,,,,,,,0.45,3,COMPLETE
108,108,-0.6848755828224001,2025-06-15 00:15:13.472572,2025-06-15 00:15:14.794436,0 days 00:00:01.321864,,,,,,,,,,,,,,,76.0,0.005,1m,3.0,3.0,0.7,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0.007,3m,2.5,4.0,0.8,874,,,,,,,,,,,,,,,0.4,2,COMPLETE
109,109,-0.7346915132872202,2025-06-15 00:15:14.867599,2025-06-15 00:15:21.196051,0 days 00:00:06.328452,968.0,0.002,1m,2.5,3.5,1.4,402.0,740.0,0.004,1m,1.5,1.5,1.7000000000000002,154.0,318.0,0.008,3m,2.5,1.5,0.8,698.0,926.0,0.001,2m,4.0,1.0,1.7000000000000002,1024.0,762.0,0.004,1m,3.0,2.5,1.4,806.0,450.0,0.006,2m,1.5,2.0,0.6,18.0,272.0,0.008,1m,1.5,1.5,0.9,350.0,960,0.006,3m,4.0,3.0,1.2000000000000002,826,226.0,0.01,2m,2.5,1.5,2.0,950.0,166.0,0.002,2m,3.5,4.0,1.1,782.0,0.45,10,COMPLETE
110,110,-4.448013670807878,2025-06-15 00:15:21.282628,2025-06-15 00:15:24.132564,0 days 00:00:02.849936,,,,,,,,422.0,0.002,1m,1.5,2.0,1.5,116.0,256.0,0.009000000000000001,2m,2.0,2.0,0.6,428.0,,,,,,,,424.0,0.002,4m,3.5,2.0,0.8,768.0,,,,,,,,,,,,,,,886,0.001,4m,3.0,3.5,1.5,718,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
111,111,6.453782028380638,2025-06-15 00:15:24.208558,2025-06-15 00:15:26.688466,0 days 00:00:02.479908,,,,,,,,878.0,0.009000000000000001,1m,2.0,2.5,1.4,200.0,290.0,0.002,4m,2.5,2.0,0.9,644.0,,,,,,,,316.0,0.003,3m,3.5,3.5,0.7,840.0,,,,,,,,,,,,,,,538,0.002,3m,4.0,3.5,0.7,660,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
112,112,2.4649173989179545,2025-06-15 00:15:26.797013,2025-06-15 00:15:30.258732,0 days 00:00:03.461719,186.0,0.008,4m,3.5,3.5,0.6,560.0,920.0,0.008,1m,2.5,3.0,1.4,286.0,380.0,0.002,4m,2.5,2.0,0.8,628.0,,,,,,,,276.0,0.002,3m,3.5,4.0,0.6,798.0,,,,,,,,,,,,,,,558,0.002,3m,4.0,3.5,0.6,602,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
113,113,1.174919756773853,2025-06-15 00:15:30.336689,2025-06-15 00:15:32.864681,0 days 00:00:02.527992,,,,,,,,968.0,0.008,1m,1.5,2.5,1.3,1024.0,306.0,0.003,4m,3.0,1.5,0.5,586.0,,,,,,,,220.0,0.003,3m,3.5,3.5,0.5,894.0,,,,,,,,,,,,,,,604,0.003,3m,4.0,3.5,1.9000000000000001,686,,,,,,,,,,,,,,,0.3,4,COMPLETE
114,114,6.055716663572736,2025-06-15 00:15:32.942740,2025-06-15 00:15:35.723583,0 days 00:00:02.780843,,,,,,,,816.0,0.007,1m,2.5,2.5,1.6,220.0,334.0,0.001,4m,2.5,2.0,0.8,622.0,,,,,,,,162.0,0.002,3m,3.0,3.5,0.8,740.0,,,,,,,,,,,,,,,630,0.001,3m,4.0,4.0,0.8,642,,,,,,,,,,,,,,,0.4,4,COMPLETE
115,115,-100.0,2025-06-15 00:15:35.795094,2025-06-15 00:15:36.502533,0 days 00:00:00.707439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,0.004,3m,3.5,4.0,0.9,776,,,,,,,,,,,,,,,0.3,1,COMPLETE
116,116,-3.656150231095118,2025-06-15 00:15:36.580556,2025-06-15 00:15:39.781528,0 days 00:00:03.200972,446.0,0.003,3m,2.0,2.5,2.0,900.0,996.0,0.005,4m,2.0,2.5,1.4,174.0,348.0,0.002,4m,3.0,2.0,1.1,524.0,,,,,,,,108.0,0.004,3m,4.0,3.0,0.7,700.0,,,,,,,,,,,,,,,860,0.002,4m,4.0,3.0,0.8,674,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
117,117,7.39175033064789,2025-06-15 00:15:39.896376,2025-06-15 00:15:42.567161,0 days 00:00:02.670785,,,,,,,,946.0,0.009000000000000001,1m,1.5,2.0,1.3,84.0,184.0,0.003,1m,2.5,1.5,0.7,402.0,,,,,,,,324.0,0.001,3m,3.5,3.0,0.9,658.0,,,,,,,,,,,,,,,492,0.003,2m,3.0,3.5,0.7,538,,,,,,,,,,,,,,,0.25,4,COMPLETE
118,118,-0.9447465004317224,2025-06-15 00:15:42.643830,2025-06-15 00:15:44.748618,0 days 00:00:02.104788,,,,,,,,898.0,0.009000000000000001,3m,1.5,2.0,1.3,74.0,148.0,0.003,1m,2.0,1.0,0.6,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,0.002,2m,3.0,4.0,0.7,494,,,,,,,,,,,,,,,0.25,3,COMPLETE
119,119,-3.2106150288303352,2025-06-15 00:15:44.814586,2025-06-15 00:15:47.465669,0 days 00:00:02.651083,,,,,,,,770.0,0.01,1m,1.0,2.0,0.6,48.0,110.0,0.003,1m,3.0,1.5,0.7,392.0,,,,,,,,674.0,0.001,3m,3.5,3.0,0.9,598.0,,,,,,,,,,,,,,,800,0.001,2m,3.0,3.5,0.6,534,,,,,,,,,,,,,,,0.25,4,COMPLETE
120,120,10.713712735447206,2025-06-15 00:15:47.552434,2025-06-15 00:15:51.503244,0 days 00:00:03.950810,58.0,0.001,1m,3.0,3.0,1.6,56.0,512.0,0.009000000000000001,2m,1.5,2.0,1.2000000000000002,90.0,186.0,0.004,1m,2.5,1.5,0.6,284.0,,,,,,,,386.0,0.001,4m,4.0,1.0,1.1,652.0,796.0,0.004,1m,3.0,1.5,1.0,310.0,,,,,,,,450,0.007,2m,3.0,4.0,0.5,578,,,,,,,,,,,,,,,0.2,6,COMPLETE
121,121,10.257594057145615,2025-06-15 00:15:51.584583,2025-06-15 00:15:55.741094,0 days 00:00:04.156511,58.0,0.001,1m,3.0,3.0,1.6,52.0,476.0,0.009000000000000001,2m,1.5,2.0,1.2000000000000002,136.0,184.0,0.004,1m,2.5,1.5,0.6,304.0,,,,,,,,386.0,0.001,4m,4.0,3.0,1.1,642.0,946.0,0.004,1m,4.0,1.5,1.0,320.0,,,,,,,,392,0.007,2m,3.0,4.0,0.5,558,,,,,,,,,,,,,,,0.2,6,COMPLETE
122,122,6.299533859356739,2025-06-15 00:15:55.815427,2025-06-15 00:15:59.901096,0 days 00:00:04.085669,68.0,0.001,1m,3.0,3.0,1.6,70.0,408.0,0.009000000000000001,2m,1.5,2.0,1.2000000000000002,124.0,188.0,0.004,1m,2.5,1.5,0.6,278.0,,,,,,,,376.0,0.001,4m,4.0,1.0,1.0,566.0,922.0,0.004,1m,4.0,2.0,1.0,318.0,,,,,,,,406,0.007,2m,3.0,4.0,0.5,574,,,,,,,,,,,,,,,0.2,6,COMPLETE
123,123,2.520991272617279,2025-06-15 00:15:59.981699,2025-06-15 00:16:03.753318,0 days 00:00:03.771619,48.0,0.001,1m,3.5,3.0,1.5,22.0,496.0,0.009000000000000001,2m,1.5,2.0,1.1,148.0,132.0,0.004,1m,2.5,1.5,0.7,146.0,,,,,,,,334.0,0.001,4m,4.0,1.0,1.1,674.0,852.0,0.005,1m,3.5,1.0,1.4,446.0,,,,,,,,384,0.007,2m,3.0,4.0,0.5,540,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
124,124,-1.1414394287845577,2025-06-15 00:16:03.849322,2025-06-15 00:16:08.977494,0 days 00:00:05.128172,100.0,0.001,1m,3.0,2.5,1.4,174.0,530.0,0.009000000000000001,2m,1.5,2.0,1.1,92.0,164.0,0.005,1m,2.5,1.5,0.7,298.0,,,,,,,,394.0,0.001,4m,4.0,3.0,1.2000000000000002,606.0,962.0,0.007,1m,4.0,1.5,1.0,496.0,,,,,,,,464,0.007,2m,2.5,4.0,0.5,472,1010.0,0.008,3m,1.5,3.0,1.1,326.0,648.0,0.005,4m,1.5,3.5,0.8,928.0,0.2,8,COMPLETE
125,125,4.90479658968317,2025-06-15 00:16:09.060483,2025-06-15 00:16:12.389871,0 days 00:00:03.329388,20.0,0.002,1m,4.0,3.0,1.5,56.0,478.0,0.01,2m,1.5,1.5,1.2000000000000002,66.0,56.0,0.004,1m,2.5,1.5,0.6,254.0,,,,,,,,294.0,0.001,4m,4.0,3.0,1.0,636.0,,,,,,,,,,,,,,,442,0.008,2m,3.0,4.0,0.5,554,,,,,,,,,,,,,,,0.25,5,COMPLETE
126,126,8.142433722840314,2025-06-15 00:16:12.439162,2025-06-15 00:16:16.403099,0 days 00:00:03.963937,230.0,0.002,1m,3.0,2.0,1.7000000000000002,134.0,452.0,0.006,2m,1.5,2.0,1.3,248.0,204.0,0.005,1m,2.5,1.5,0.5,234.0,,,,,,,,470.0,0.001,2m,4.0,3.0,1.1,660.0,808.0,0.004,1m,3.5,2.0,0.9,308.0,,,,,,,,348,0.006,2m,3.0,3.5,0.6,510,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
127,127,6.92453553960347,2025-06-15 00:16:16.493391,2025-06-15 00:16:20.483819,0 days 00:00:03.990428,160.0,0.002,1m,3.0,2.0,1.7000000000000002,130.0,436.0,0.006,2m,1.0,2.0,1.2000000000000002,360.0,198.0,0.006,1m,2.5,1.5,1.6,370.0,,,,,,,,460.0,0.001,4m,4.0,3.0,1.1,626.0,824.0,0.004,1m,3.5,2.0,0.9,300.0,,,,,,,,244,0.006,2m,3.0,3.5,0.6,442,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
128,128,2.326701645337664,2025-06-15 00:16:20.580991,2025-06-15 00:16:25.077947,0 days 00:00:04.496956,228.0,0.001,1m,3.0,1.5,1.6,284.0,342.0,0.006,2m,1.5,2.0,1.3,242.0,240.0,0.005,1m,2.0,1.5,0.7,222.0,,,,,,,,240.0,0.001,2m,4.0,3.0,0.9,676.0,752.0,0.006,1m,4.0,2.0,1.1,388.0,,,,,,,,342,0.006,2m,2.5,3.5,0.5,510,,,,,,,,238.0,0.009000000000000001,3m,2.5,3.0,1.5,898.0,0.1,7,COMPLETE
129,129,-5.036796823132319,2025-06-15 00:16:25.179649,2025-06-15 00:16:29.087211,0 days 00:00:03.907562,272.0,0.002,1m,3.0,2.0,1.7000000000000002,224.0,570.0,0.005,2m,1.5,1.5,1.2000000000000002,116.0,216.0,0.006,1m,2.5,1.0,0.5,168.0,,,,,,,,328.0,0.001,2m,4.0,1.0,1.2000000000000002,658.0,1006.0,0.005,1m,3.0,1.5,0.9,240.0,,,,,,,,396,0.007,2m,3.0,3.5,0.6,590,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
130,130,9.538345171883291,2025-06-15 00:16:29.176870,2025-06-15 00:16:33.034743,0 days 00:00:03.857873,316.0,0.001,1m,3.5,2.5,1.8,56.0,458.0,0.006,2m,1.5,2.0,1.1,40.0,176.0,0.005,2m,2.0,1.5,1.4,324.0,,,,,,,,420.0,0.002,2m,4.0,1.5,1.0,572.0,888.0,0.004,1m,3.5,2.0,0.8,174.0,,,,,,,,306,0.008,2m,3.5,3.5,0.6,614,,,,,,,,,,,,,,,0.25,6,COMPLETE
131,131,7.312902792007643,2025-06-15 00:16:33.125492,2025-06-15 00:16:36.844139,0 days 00:00:03.718647,196.0,0.001,1m,3.5,2.5,1.8,52.0,458.0,0.006,2m,1.5,2.0,1.1,40.0,184.0,0.005,2m,2.0,1.5,1.5,322.0,,,,,,,,424.0,0.002,2m,4.0,1.5,1.1,566.0,886.0,0.004,1m,3.5,2.0,0.8,164.0,,,,,,,,326,0.009000000000000001,2m,3.5,3.5,0.5,614,,,,,,,,,,,,,,,0.25,6,COMPLETE
132,132,4.70376380856841,2025-06-15 00:16:36.916877,2025-06-15 00:16:41.362404,0 days 00:00:04.445527,296.0,0.001,1m,3.5,2.5,1.9000000000000001,100.0,520.0,0.006,2m,1.5,2.0,1.3,140.0,230.0,0.006,2m,2.0,1.5,1.4,298.0,,,,,,,,374.0,0.001,2m,4.0,1.0,1.0,588.0,744.0,0.004,1m,4.0,2.5,1.0,310.0,,,,,,,,252,0.008,2m,3.5,3.5,0.6,568,,,,,,,,570.0,0.006,1m,2.0,1.5,1.9000000000000001,620.0,0.25,7,COMPLETE
133,133,9.681357604947255,2025-06-15 00:16:41.435010,2025-06-15 00:16:45.165906,0 days 00:00:03.730896,142.0,0.002,1m,2.5,3.0,1.6,138.0,386.0,0.006,2m,1.5,2.0,1.2000000000000002,102.0,152.0,0.005,2m,2.5,1.5,1.3,236.0,,,,,,,,494.0,0.002,2m,4.0,1.5,1.0,530.0,796.0,0.005,1m,3.5,2.0,0.9,270.0,,,,,,,,314,0.008,2m,3.0,3.5,0.6,626,,,,,,,,,,,,,,,0.2,6,COMPLETE
134,134,6.432024393538434,2025-06-15 00:16:45.247832,2025-06-15 00:16:49.268759,0 days 00:00:04.020927,140.0,0.002,1m,2.5,3.0,1.6,134.0,370.0,0.006,2m,1.5,2.0,1.0,270.0,148.0,0.005,2m,2.0,1.5,1.3,238.0,,,,,,,,506.0,0.002,2m,4.0,1.5,1.0,446.0,938.0,0.005,1m,3.5,2.0,0.9,254.0,,,,,,,,362,0.008,2m,3.5,4.0,0.5,592,,,,,,,,,,,,,,,0.2,6,COMPLETE
135,135,3.0146477170691512,2025-06-15 00:16:49.351847,2025-06-15 00:16:53.120621,0 days 00:00:03.768774,98.0,0.001,1m,2.5,3.0,1.5,16.0,392.0,0.005,2m,1.0,2.0,1.1,168.0,120.0,0.005,2m,1.5,1.0,1.3,266.0,,,,,,,,476.0,0.002,2m,4.0,1.5,1.1,492.0,794.0,0.005,1m,3.0,2.0,0.8,216.0,,,,,,,,304,0.008,2m,3.5,3.5,0.6,622,,,,,,,,,,,,,,,0.2,6,COMPLETE
136,136,4.402650130460485,2025-06-15 00:16:53.207878,2025-06-15 00:16:57.114907,0 days 00:00:03.907029,234.0,0.002,1m,2.5,2.5,1.7000000000000002,180.0,442.0,0.006,2m,1.5,2.0,1.2000000000000002,56.0,274.0,0.004,2m,2.5,1.5,1.2000000000000002,198.0,,,,,,,,438.0,0.002,2m,4.0,1.5,1.0,520.0,656.0,0.004,1m,4.0,2.0,1.0,342.0,,,,,,,,304,0.007,2m,2.5,4.0,0.6,636,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
137,137,4.592242253723428,2025-06-15 00:16:57.220836,2025-06-15 00:17:01.742018,0 days 00:00:04.521182,50.0,0.001,1m,3.0,3.0,1.8,84.0,326.0,0.007,2m,2.0,1.5,1.0,200.0,166.0,0.005,2m,2.0,1.5,1.4,98.0,,,,,,,,412.0,0.002,2m,4.0,1.5,1.2000000000000002,414.0,876.0,0.004,1m,3.5,2.5,0.9,144.0,,,,,,,,232,0.007,2m,3.0,3.5,0.5,232,,,,,,,,442.0,0.004,4m,3.0,2.0,0.7,546.0,0.2,7,COMPLETE
138,138,6.481683615300772,2025-06-15 00:17:01.856166,2025-06-15 00:17:05.560995,0 days 00:00:03.704829,166.0,0.002,1m,3.5,2.0,1.6,112.0,486.0,0.007,2m,1.5,2.5,1.1,16.0,94.0,0.006,2m,2.5,1.5,1.4,344.0,,,,,,,,510.0,0.002,2m,4.0,2.0,1.1,178.0,790.0,0.003,1m,3.5,1.5,1.2000000000000002,282.0,,,,,,,,286,0.009000000000000001,2m,3.0,4.0,2.0,582,,,,,,,,,,,,,,,0.45,6,COMPLETE
139,139,-3.107824193604059,2025-06-15 00:17:05.655802,2025-06-15 00:17:09.515334,0 days 00:00:03.859532,118.0,0.002,1m,3.0,2.5,1.8,50.0,294.0,0.006,2m,1.5,2.0,1.2000000000000002,108.0,254.0,0.005,2m,2.5,1.0,1.5,278.0,,,,,,,,558.0,0.006,2m,4.0,1.5,1.0,518.0,892.0,0.009000000000000001,4m,3.0,3.0,1.1,200.0,,,,,,,,152,0.009000000000000001,2m,3.5,3.5,0.6,658,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
140,140,2.775627854311516,2025-06-15 00:17:09.597738,2025-06-15 00:17:13.597653,0 days 00:00:03.999915,84.0,0.001,1m,2.5,3.0,1.4,134.0,508.0,0.001,2m,1.5,2.0,1.2000000000000002,138.0,204.0,0.004,2m,2.0,4.0,1.3,236.0,,,,,,,,384.0,0.001,2m,4.0,1.0,1.8,932.0,674.0,0.004,1m,4.0,2.0,0.7,180.0,,,,,,,,346,0.008,2m,2.5,4.0,0.5,758,,,,,,,,716.0,0.008,2m,1.0,2.5,1.3,758.0,0.1,7,COMPLETE
141,141,-0.12901392401301032,2025-06-15 00:17:13.669615,2025-06-15 00:17:18.824071,0 days 00:00:05.154456,340.0,0.003,1m,3.5,1.5,1.7000000000000002,162.0,542.0,0.007,2m,1.5,2.0,1.3,86.0,148.0,0.006,1m,2.5,1.5,1.5,312.0,,,,,,,,342.0,0.001,1m,3.5,3.0,0.9,714.0,976.0,0.006,1m,3.0,1.5,0.8,352.0,780.0,0.004,4m,3.0,3.0,1.6,762.0,312,0.006,2m,3.0,3.5,0.7,546,696.0,0.001,3m,3.5,1.5,1.4,562.0,126.0,0.001,4m,2.0,4.0,1.8,146.0,0.25,9,COMPLETE
142,142,2.3074611357168795,2025-06-15 00:17:18.916226,2025-06-15 00:17:22.547301,0 days 00:00:03.631075,206.0,0.001,1m,2.5,3.0,1.6,208.0,400.0,0.003,2m,1.5,3.5,1.3,78.0,174.0,0.004,1m,2.5,1.5,0.6,178.0,,,,,,,,444.0,0.001,2m,3.5,2.0,0.9,554.0,790.0,0.005,1m,4.0,1.5,0.9,556.0,,,,,,,,366,0.008,2m,1.0,3.5,0.7,520,,,,,,,,,,,,,,,0.25,6,COMPLETE
143,143,-2.465947245324488,2025-06-15 00:17:22.640670,2025-06-15 00:17:25.837148,0 days 00:00:03.196478,296.0,0.002,1m,4.0,2.0,1.3,250.0,372.0,0.009000000000000001,4m,1.5,2.0,1.1,158.0,226.0,0.005,3m,2.5,1.5,0.5,374.0,,,,,,,,480.0,0.001,4m,3.5,3.0,0.9,616.0,,,,,,,,,,,,,,,278,0.005,2m,3.0,3.5,0.7,606,,,,,,,,,,,,,,,0.2,5,COMPLETE
144,144,-0.3766205539405306,2025-06-15 00:17:25.893824,2025-06-15 00:17:28.777150,0 days 00:00:02.883326,16.0,0.001,1m,3.0,2.5,1.5,38.0,466.0,0.006,2m,1.5,2.0,1.2000000000000002,186.0,188.0,0.004,2m,2.5,1.5,0.6,332.0,,,,,,,,366.0,0.002,3m,3.5,3.0,0.8,762.0,,,,,,,,,,,,,,,428,0.007,2m,3.0,3.5,0.6,486,,,,,,,,,,,,,,,0.2,5,COMPLETE
145,145,-100.0,2025-06-15 00:17:28.851693,2025-06-15 00:17:29.528688,0 days 00:00:00.676995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,0.007,4m,3.0,3.5,0.6,556,,,,,,,,,,,,,,,0.45,1,COMPLETE
146,146,1.3522809079795446,2025-06-15 00:17:29.606613,2025-06-15 00:17:32.902125,0 days 00:00:03.295512,248.0,0.003,1m,3.0,3.5,1.9000000000000001,72.0,448.0,0.008,2m,4.0,2.0,1.3,102.0,728.0,0.005,1m,2.5,1.5,1.3,406.0,,,,,,,,598.0,0.002,4m,3.5,2.5,1.9000000000000001,652.0,834.0,0.003,3m,3.5,2.5,1.0,248.0,,,,,,,,378,0.008,1m,3.0,4.0,1.6,722,,,,,,,,,,,,,,,0.25,6,COMPLETE
147,147,-2.837438569374824,2025-06-15 00:17:32.995006,2025-06-15 00:17:36.694953,0 days 00:00:03.699947,128.0,0.002,4m,2.0,3.0,1.2000000000000002,146.0,408.0,0.007,4m,2.0,2.5,1.2000000000000002,254.0,134.0,0.004,4m,2.0,1.5,1.4,206.0,,,,,,,,530.0,0.003,3m,1.5,2.0,2.0,578.0,638.0,0.007,1m,3.5,1.0,1.1,68.0,,,,,,,,446,0.006,4m,3.0,3.5,0.7,528,,,,,,,,,,,,,,,0.25,6,COMPLETE
