,number,value,datetime_start,datetime_complete,duration,params_AMD_VRTX_beta_win,params_AMD_VRTX_stop_loss,params_AMD_VRTX_trade_freq,params_AMD_VRTX_z_entry,params_AMD_VRTX_z_exit,params_AMD_VRTX_z_stop_scaler,params_AMD_VRTX_z_win,params_CERN_VRTX_beta_win,params_CERN_VRTX_stop_loss,params_CERN_VRTX_trade_freq,params_CERN_VRTX_z_entry,params_CERN_VRTX_z_exit,params_CERN_VRTX_z_stop_scaler,params_CERN_VRTX_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CHTR_VRTX_beta_win,params_CHTR_VRTX_stop_loss,params_CHTR_VRTX_trade_freq,params_CHTR_VRTX_z_entry,params_CHTR_VRTX_z_exit,params_CHTR_VRTX_z_stop_scaler,params_CHTR_VRTX_z_win,params_CTSH_VRTX_beta_win,params_CTSH_VRTX_stop_loss,params_CTSH_VRTX_trade_freq,params_CTSH_VRTX_z_entry,params_CTSH_VRTX_z_exit,params_CTSH_VRTX_z_stop_scaler,params_CTSH_VRTX_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PTON_VRTX_beta_win,params_PTON_VRTX_stop_loss,params_PTON_VRTX_trade_freq,params_PTON_VRTX_z_entry,params_PTON_VRTX_z_exit,params_PTON_VRTX_z_stop_scaler,params_PTON_VRTX_z_win,params_QCOM_VRTX_beta_win,params_QCOM_VRTX_stop_loss,params_QCOM_VRTX_trade_freq,params_QCOM_VRTX_z_entry,params_QCOM_VRTX_z_exit,params_QCOM_VRTX_z_stop_scaler,params_QCOM_VRTX_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_VRSK_VRTX_beta_win,params_VRSK_VRTX_stop_loss,params_VRSK_VRTX_trade_freq,params_VRSK_VRTX_z_entry,params_VRSK_VRTX_z_exit,params_VRSK_VRTX_z_stop_scaler,params_VRSK_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,2.201013768389135,2025-06-15 00:10:54.453643,2025-06-15 00:11:00.441256,0 days 00:00:05.987613,176.0,0.001,1m,2.0,3.5,1.4,24.0,390.0,0.001,4m,1.0,1.5,1.8,50.0,478.0,0.006,2m,1.5,2.0,1.1,178.0,,,,,,,,728.0,0.003,3m,4.0,2.0,1.8,692.0,62.0,0.004,3m,4.0,1.0,0.9,154.0,74.0,0.01,1m,1.0,4.0,0.5,72.0,486,0.002,4m,1.5,3.5,0.9,598,988.0,0.006,3m,2.0,2.0,1.2000000000000002,382.0,310.0,0.003,3m,1.5,3.5,1.7000000000000002,710.0,0.4,9,COMPLETE
21,21,-2.389399059868826,2025-06-15 00:11:00.514786,2025-06-15 00:11:05.936982,0 days 00:00:05.422196,22.0,0.006,1m,2.0,3.5,1.4,154.0,460.0,0.003,4m,1.5,2.0,1.5,152.0,270.0,0.006,2m,2.0,2.0,0.5,398.0,,,,,,,,774.0,0.006,3m,3.5,2.0,1.5,1020.0,250.0,0.008,3m,3.5,2.0,1.0,280.0,,,,,,,,402,0.002,4m,2.5,3.0,0.7,424,336.0,0.006,3m,1.5,1.0,1.2000000000000002,472.0,250.0,0.004,3m,1.5,3.0,1.7000000000000002,730.0,0.4,8,COMPLETE
22,22,-0.31139975898952876,2025-06-15 00:11:06.051933,2025-06-15 00:11:09.854044,0 days 00:00:03.802111,216.0,0.003,1m,3.0,3.0,1.7000000000000002,404.0,236.0,0.001,4m,1.5,2.0,1.7000000000000002,152.0,124.0,0.008,2m,3.0,1.5,0.5,302.0,,,,,,,,808.0,0.003,3m,3.0,1.0,2.0,752.0,538.0,0.002,3m,3.0,1.5,1.1,524.0,,,,,,,,184,0.005,4m,2.5,2.5,1.1,578,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
23,23,-2.6141354021361796,2025-06-15 00:11:09.931881,2025-06-15 00:11:14.659762,0 days 00:00:04.727881,408.0,0.005,1m,1.0,4.0,1.0,164.0,662.0,0.01,1m,2.0,1.0,2.0,388.0,424.0,0.004,2m,2.0,2.5,0.7,514.0,,,,,,,,620.0,0.005,2m,3.5,3.0,1.8,342.0,194.0,0.005,4m,3.5,3.0,0.6,558.0,,,,,,,,362,0.002,4m,2.0,4.0,0.9,840,986.0,0.005,3m,3.0,3.0,1.5,168.0,520.0,0.008,2m,3.0,4.0,1.2000000000000002,458.0,0.4,8,COMPLETE
24,24,-2.6871819617912402,2025-06-15 00:11:14.736192,2025-06-15 00:11:20.223018,0 days 00:00:05.486826,208.0,0.007,3m,1.5,3.5,1.4,126.0,234.0,0.007,4m,1.0,2.5,1.2000000000000002,512.0,624.0,0.008,1m,1.5,2.0,1.0,682.0,,,,,,,,466.0,0.001,4m,4.0,2.0,1.5,144.0,830.0,0.008,4m,3.0,2.5,1.6,340.0,474.0,0.001,1m,4.0,1.0,1.1,996.0,530,0.001,4m,3.0,3.0,1.5,484,684.0,0.007,1m,2.5,2.0,1.0,620.0,168.0,0.007,3m,2.0,2.0,1.5,854.0,0.25,9,COMPLETE
25,25,-3.7162311933040058,2025-06-15 00:11:20.317680,2025-06-15 00:11:21.777153,0 days 00:00:01.459473,,,,,,,,,,,,,,,278.0,0.004,2m,1.0,1.0,0.6,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,0.003,2m,2.5,3.5,0.5,414,,,,,,,,,,,,,,,0.5,2,COMPLETE
26,26,0.35895670036393096,2025-06-15 00:11:21.897131,2025-06-15 00:11:25.508177,0 days 00:00:03.611046,128.0,0.002,4m,3.5,2.0,1.8,694.0,454.0,0.003,4m,3.5,4.0,1.8,982.0,416.0,0.006,2m,2.0,2.5,0.9,18.0,,,,,,,,864.0,0.008,1m,2.5,2.5,2.0,1006.0,598.0,0.006,3m,4.0,3.5,1.8,180.0,,,,,,,,202,0.004,1m,2.0,2.5,1.1,810,,,,,,,,,,,,,,,0.45,6,COMPLETE
27,27,7.247796372507311,2025-06-15 00:11:25.598384,2025-06-15 00:11:28.387162,0 days 00:00:02.788778,,,,,,,,868.0,0.008,1m,1.5,2.0,1.5,176.0,118.0,0.009000000000000001,1m,3.0,1.5,0.5,452.0,,,,,,,,674.0,0.003,3m,3.5,3.0,1.1,742.0,,,,,,,,,,,,,,,480,0.002,3m,3.0,3.0,0.7,570,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
28,28,5.860578644992109,2025-06-15 00:11:28.468553,2025-06-15 00:11:30.840738,0 days 00:00:02.372185,,,,,,,,882.0,0.008,1m,1.5,2.0,1.4,144.0,140.0,0.003,4m,2.5,1.5,1.2000000000000002,456.0,,,,,,,,580.0,0.003,3m,3.5,3.0,1.0,820.0,,,,,,,,,,,,,,,592,0.002,3m,3.0,3.5,0.7,574,,,,,,,,,,,,,,,0.25,4,COMPLETE
29,29,3.064044208538898,2025-06-15 00:11:30.925495,2025-06-15 00:11:33.435032,0 days 00:00:02.509537,,,,,,,,648.0,0.009000000000000001,1m,1.0,2.5,1.6,212.0,22.0,0.009000000000000001,3m,1.5,1.0,1.4,128.0,,,,,,,,680.0,0.004,3m,3.0,2.5,1.1,672.0,,,,,,,,,,,,,,,488,0.001,3m,3.5,3.0,0.8,762,,,,,,,,,,,,,,,0.5,4,COMPLETE
30,30,2.836585240298082,2025-06-15 00:11:33.511071,2025-06-15 00:11:36.613981,0 days 00:00:03.102910,314.0,0.004,2m,2.5,2.5,1.3,264.0,868.0,0.006,1m,2.0,1.5,1.3,88.0,104.0,0.005,2m,2.5,3.5,0.7,342.0,,,,,,,,880.0,0.002,3m,4.0,3.5,0.8,934.0,,,,,,,,,,,,,,,334,0.003,3m,3.0,4.0,0.6,926,,,,,,,,,,,,,,,0.1,5,COMPLETE
31,31,7.6933177955612795,2025-06-15 00:11:36.673649,2025-06-15 00:11:39.007329,0 days 00:00:02.333680,,,,,,,,900.0,0.008,1m,1.5,2.0,1.5,144.0,158.0,0.003,4m,2.5,1.5,1.1,450.0,,,,,,,,528.0,0.003,3m,3.5,3.0,0.9,800.0,,,,,,,,,,,,,,,604,0.002,3m,3.5,3.5,0.8,552,,,,,,,,,,,,,,,0.25,4,COMPLETE
32,32,7.986390893239925,2025-06-15 00:11:39.117708,2025-06-15 00:11:41.696286,0 days 00:00:02.578578,,,,,,,,818.0,0.008,1m,1.5,2.0,1.5,202.0,276.0,0.001,4m,2.0,1.5,0.9,438.0,,,,,,,,506.0,0.002,3m,3.5,3.0,0.7,742.0,,,,,,,,,,,,,,,708,0.002,3m,3.5,3.5,0.8,548,,,,,,,,,,,,,,,0.3,4,COMPLETE
33,33,5.984424366927673,2025-06-15 00:11:41.806018,2025-06-15 00:11:44.311789,0 days 00:00:02.505771,,,,,,,,922.0,0.007,1m,1.5,2.0,1.5,208.0,280.0,0.001,4m,2.5,1.5,0.9,440.0,,,,,,,,498.0,0.002,3m,3.5,3.0,0.7,766.0,,,,,,,,,,,,,,,874,0.002,3m,3.5,3.5,1.0,546,,,,,,,,,,,,,,,0.3,4,COMPLETE
34,34,3.767279286418153,2025-06-15 00:11:44.395906,2025-06-15 00:11:47.511671,0 days 00:00:03.115765,674.0,0.002,3m,1.5,1.0,0.8,926.0,696.0,0.009000000000000001,1m,1.0,2.0,1.7000000000000002,100.0,414.0,0.002,4m,3.0,1.5,0.6,582.0,,,,,,,,402.0,0.003,3m,3.0,3.0,0.5,946.0,,,,,,,,,,,,,,,694,0.003,3m,3.5,3.0,0.6,608,,,,,,,,,,,,,,,0.3,5,COMPLETE
35,35,4.005455701629062,2025-06-15 00:11:47.603876,2025-06-15 00:11:48.904945,0 days 00:00:01.301069,,,,,,,,,,,,,,,80.0,0.002,4m,2.0,1.0,1.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,0.002,3m,4.0,3.5,0.5,648,,,,,,,,,,,,,,,0.4,2,COMPLETE
36,36,3.1995365773381734,2025-06-15 00:11:48.975578,2025-06-15 00:11:51.134601,0 days 00:00:02.159023,,,,,,,,826.0,0.01,1m,1.5,1.5,1.5,332.0,562.0,0.001,4m,3.0,1.5,0.6,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.004,3m,3.5,3.0,1.0,500,,,,,,,,,,,,,,,0.25,3,COMPLETE
37,37,7.124322496782217,2025-06-15 00:11:51.193237,2025-06-15 00:11:53.724353,0 days 00:00:02.531116,,,,,,,,942.0,0.008,1m,2.0,2.5,1.4,204.0,292.0,0.002,4m,2.5,2.0,0.8,616.0,,,,,,,,304.0,0.002,3m,3.5,3.5,0.7,802.0,,,,,,,,,,,,,,,558,0.003,3m,4.0,3.5,0.8,680,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
38,38,3.0987084615008036,2025-06-15 00:11:53.813765,2025-06-15 00:11:57.028255,0 days 00:00:03.214490,462.0,0.001,4m,1.0,2.0,0.5,860.0,602.0,0.007,1m,1.5,2.0,1.8,344.0,146.0,0.009000000000000001,3m,3.5,1.0,1.2000000000000002,412.0,,,,,,,,664.0,0.001,3m,3.0,4.0,0.9,686.0,,,,,,,,,,,,,,,850,0.001,3m,3.0,2.0,1.3,748,,,,,,,,,,,,,,,0.2,5,COMPLETE
39,39,2.1210192559734105,2025-06-15 00:11:57.126645,2025-06-15 00:11:59.096321,0 days 00:00:01.969676,,,,,,,,1012.0,0.006,2m,1.0,1.5,1.6,96.0,1016.0,0.003,4m,4.0,1.5,0.7,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,0.002,3m,1.0,3.0,0.7,546,,,,,,,,,,,,,,,0.3,3,COMPLETE
40,40,0.36327540592569657,2025-06-15 00:11:59.165711,2025-06-15 00:12:01.702423,0 days 00:00:02.536712,,,,,,,,722.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,30.0,216.0,0.003,4m,2.0,2.0,0.9,684.0,,,,,,,,530.0,0.004,3m,3.5,2.5,1.1,582.0,,,,,,,,,,,,,,,492,0.004,3m,3.5,3.5,0.9,362,,,,,,,,,,,,,,,0.45,4,COMPLETE
