,number,value,datetime_start,datetime_complete,duration,params_AMD_FOX_beta_win,params_AMD_FOX_stop_loss,params_AMD_FOX_trade_freq,params_AMD_FOX_z_entry,params_AMD_FOX_z_exit,params_AMD_FOX_z_stop_scaler,params_AMD_FOX_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_QCOM_CMCSA_beta_win,params_QCOM_CMCSA_stop_loss,params_QCOM_CMCSA_trade_freq,params_QCOM_CMCSA_z_entry,params_QCOM_CMCSA_z_exit,params_QCOM_CMCSA_z_stop_scaler,params_QCOM_CMCSA_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
53,53,3.83109023185846,2025-06-15 00:22:05.319318,2025-06-15 00:22:07.620519,0 days 00:00:02.301201,,,,,,,,,,,,,,,910.0,0.002,3m,3.5,2.5,1.8,318.0,312.0,0.002,2m,2.5,3.0,1.9000000000000001,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,0.004,2m,3.0,3.5,1.0,346,302.0,0.009000000000000001,4m,1.5,3.5,0.5,630.0,0.3,4,COMPLETE
54,54,-6.021586173607153,2025-06-15 00:22:07.684555,2025-06-15 00:22:09.810814,0 days 00:00:02.126259,,,,,,,,,,,,,,,722.0,0.004,3m,2.5,3.0,1.0,600.0,224.0,0.001,2m,3.5,3.5,1.8,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,0.005,2m,3.5,3.5,1.3,250,88.0,0.007,3m,1.0,3.0,0.7,270.0,0.35000000000000003,4,COMPLETE
55,55,7.592200635751436,2025-06-15 00:22:09.890327,2025-06-15 00:22:11.237108,0 days 00:00:01.346781,,,,,,,,,,,,,,,,,,,,,,62.0,0.003,2m,3.0,2.5,1.7000000000000002,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,0.006,2m,2.5,4.0,1.4,974,,,,,,,,0.25,2,COMPLETE
56,56,0.4486403215395322,2025-06-15 00:22:11.309148,2025-06-15 00:22:11.978333,0 days 00:00:00.669185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,0.007,2m,2.0,4.0,1.4,912,,,,,,,,0.25,1,COMPLETE
57,57,4.001602945355268,2025-06-15 00:22:12.047858,2025-06-15 00:22:13.191536,0 days 00:00:01.143678,,,,,,,,,,,,,,,,,,,,,,60.0,0.003,1m,4.0,2.0,1.8,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0.006,3m,2.5,4.0,1.5,672,,,,,,,,0.2,2,COMPLETE
58,58,5.622942740487936,2025-06-15 00:22:13.262955,2025-06-15 00:22:15.050214,0 days 00:00:01.787259,,,,,,,,,,,,,,,818.0,0.007,2m,2.0,3.5,1.4,248.0,152.0,0.003,2m,2.0,2.5,1.6,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0.009000000000000001,2m,3.0,4.0,1.6,1002,,,,,,,,0.05,3,COMPLETE
59,59,-100.0,2025-06-15 00:22:15.117214,2025-06-15 00:22:15.790960,0 days 00:00:00.673746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.007,2m,4.0,3.0,1.7000000000000002,762,,,,,,,,0.25,1,COMPLETE
60,60,3.182959263337153,2025-06-15 00:22:15.860991,2025-06-15 00:22:17.053181,0 days 00:00:01.192190,,,,,,,,,,,,,,,,,,,,,,110.0,0.002,4m,3.0,2.0,1.7000000000000002,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0.006,1m,3.5,1.5,1.8,568,,,,,,,,0.2,2,COMPLETE
61,61,6.780076044546664,2025-06-15 00:22:17.125181,2025-06-15 00:22:18.889576,0 days 00:00:01.764395,,,,,,,,,,,,,,,968.0,0.002,3m,3.0,1.5,1.7000000000000002,518.0,48.0,0.001,2m,3.0,2.5,1.9000000000000001,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0.004,2m,2.5,3.5,1.2000000000000002,292,,,,,,,,0.3,3,COMPLETE
62,62,5.534713349987894,2025-06-15 00:22:18.957100,2025-06-15 00:22:20.108573,0 days 00:00:01.151473,,,,,,,,,,,,,,,,,,,,,,50.0,0.002,2m,3.0,2.5,1.9000000000000001,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,0.003,2m,2.5,4.0,1.1,302,,,,,,,,0.3,2,COMPLETE
63,63,3.1935270681502237,2025-06-15 00:22:20.179088,2025-06-15 00:22:21.898936,0 days 00:00:01.719848,,,,,,,,,,,,,,,984.0,0.001,3m,2.5,1.5,1.6,384.0,56.0,0.001,2m,2.5,2.5,1.8,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.004,2m,2.5,3.5,1.4,450,,,,,,,,0.35000000000000003,3,COMPLETE
64,64,4.039964917880907,2025-06-15 00:22:21.971385,2025-06-15 00:22:23.721738,0 days 00:00:01.750353,,,,,,,,,,,,,,,1020.0,0.002,1m,3.5,1.5,1.7000000000000002,848.0,122.0,0.01,2m,3.5,2.5,1.6,924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0.004,2m,2.0,3.5,1.2000000000000002,366,,,,,,,,0.3,3,COMPLETE
65,65,-3.1165442750193364,2025-06-15 00:22:23.800249,2025-06-15 00:22:25.438442,0 days 00:00:01.638193,,,,,,,,,,,,,,,958.0,0.005,4m,3.0,1.0,1.9000000000000001,440.0,162.0,0.002,2m,3.0,2.0,1.9000000000000001,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,0.005,2m,3.0,3.0,1.3,856,,,,,,,,0.25,3,COMPLETE
66,66,0.8952638188973526,2025-06-15 00:22:25.503954,2025-06-15 00:22:28.273860,0 days 00:00:02.769906,,,,,,,,,,,,,,,856.0,0.006,3m,3.0,2.0,1.0,210.0,22.0,0.009000000000000001,1m,3.0,2.5,1.7000000000000002,976.0,754.0,0.007,1m,3.0,4.0,1.0,774.0,,,,,,,,,,,,,,,,,,,,,,514,0.006,2m,2.0,4.0,1.4,158,838.0,0.004,2m,1.5,4.0,1.1,154.0,0.1,5,COMPLETE
67,67,2.7965682189862076,2025-06-15 00:22:28.324376,2025-06-15 00:22:29.521199,0 days 00:00:01.196823,,,,,,,,,,,,,,,,,,,,,,102.0,0.003,2m,3.5,3.0,1.8,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0.008,3m,2.5,3.5,1.6,224,,,,,,,,0.25,2,COMPLETE
68,68,1.0213874864841739,2025-06-15 00:22:29.593710,2025-06-15 00:22:33.108232,0 days 00:00:03.514522,,,,,,,,238.0,0.007,1m,2.0,3.0,1.6,804.0,930.0,0.002,2m,2.5,1.5,1.6,496.0,206.0,0.001,2m,2.5,2.5,2.0,950.0,182.0,0.002,1m,4.0,2.5,0.8,388.0,,,,,,,,,,,,,,,,,,,,,,52,0.002,2m,2.0,3.0,1.1,80,366.0,0.006,3m,2.0,2.0,1.4,582.0,0.35000000000000003,6,COMPLETE
69,69,-2.0774569002264287,2025-06-15 00:22:33.199753,2025-06-15 00:22:35.590648,0 days 00:00:02.390895,,,,,,,,,,,,,,,732.0,0.001,3m,3.5,2.0,1.5,636.0,66.0,0.004,1m,3.5,1.0,1.2000000000000002,646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,0.007,2m,2.5,1.0,1.5,316,582.0,0.009000000000000001,1m,1.5,2.5,1.2000000000000002,240.0,0.3,4,COMPLETE
70,70,3.8199874603959643,2025-06-15 00:22:35.660160,2025-06-15 00:22:38.445566,0 days 00:00:02.785406,,,,,,,,,,,,,,,868.0,0.006,3m,3.0,4.0,1.3,144.0,152.0,0.002,2m,4.0,3.5,1.9000000000000001,806.0,102.0,0.004,1m,2.5,3.5,1.7000000000000002,114.0,,,,,,,,,,,,,,,,,,,,,,662,0.005,4m,2.5,4.0,1.3,388,680.0,0.003,4m,2.5,4.0,1.0,676.0,0.45,5,COMPLETE
71,71,2.0513820908232394,2025-06-15 00:22:38.507074,2025-06-15 00:22:40.451563,0 days 00:00:01.944489,,,,,,,,,,,,,,,900.0,0.003,3m,3.0,2.5,1.8,574.0,258.0,0.001,2m,3.0,3.0,2.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,0.005,2m,3.0,3.5,0.9,272,198.0,0.008,4m,1.0,3.5,0.6,510.0,0.3,4,COMPLETE
72,72,5.919812612178247,2025-06-15 00:22:40.491566,2025-06-15 00:22:44.664480,0 days 00:00:04.172914,192.0,0.01,2m,1.0,4.0,0.7,44.0,844.0,0.004,3m,3.5,3.5,0.7,1010.0,944.0,0.003,3m,3.0,3.0,1.7000000000000002,512.0,112.0,0.001,2m,3.0,3.0,2.0,940.0,844.0,0.005,2m,3.5,3.0,1.4,204.0,,,,,,,,24.0,0.003,4m,1.0,2.0,1.4,752.0,218.0,0.004,1m,3.5,1.0,1.4,842.0,308,0.004,2m,2.5,3.5,1.2000000000000002,200,260.0,0.007,4m,1.0,3.0,0.8,380.0,0.3,9,COMPLETE
73,73,1.8538892275494576,2025-06-15 00:22:44.723483,2025-06-15 00:22:46.290426,0 days 00:00:01.566943,,,,,,,,,,,,,,,984.0,0.004,3m,3.0,3.0,1.7000000000000002,396.0,114.0,0.002,2m,3.0,3.0,1.9000000000000001,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.003,2m,2.5,3.5,1.2000000000000002,202,,,,,,,,0.25,3,COMPLETE
74,74,6.08519415647204,2025-06-15 00:22:46.347948,2025-06-15 00:22:50.446735,0 days 00:00:04.098787,168.0,0.01,2m,1.0,4.0,0.5,32.0,810.0,0.004,3m,3.5,3.5,0.7,990.0,926.0,0.003,3m,2.5,3.0,1.6,450.0,48.0,0.002,2m,3.0,3.0,1.7000000000000002,962.0,996.0,0.005,2m,3.5,3.0,1.5,190.0,,,,,,,,22.0,0.003,4m,1.0,2.0,1.4,734.0,232.0,0.004,1m,3.5,1.0,1.4,834.0,244,0.004,2m,2.0,3.5,1.0,296,304.0,0.007,4m,1.0,3.5,0.8,336.0,0.35000000000000003,9,COMPLETE
75,75,3.3648533615973992,2025-06-15 00:22:50.516245,2025-06-15 00:22:54.512198,0 days 00:00:03.995953,374.0,0.007,2m,2.0,3.0,1.1,116.0,652.0,0.006,3m,4.0,4.0,0.7,890.0,816.0,0.002,3m,2.5,3.5,1.6,440.0,48.0,0.003,3m,2.5,2.5,1.7000000000000002,836.0,994.0,0.003,2m,4.0,2.5,1.5,58.0,,,,,,,,266.0,0.004,4m,2.5,2.0,1.0,694.0,514.0,0.003,1m,3.5,2.0,1.7000000000000002,454.0,250,0.004,2m,2.0,3.0,0.9,342,326.0,0.006,1m,1.0,4.0,0.5,324.0,0.35000000000000003,9,COMPLETE
76,76,3.018869878810759,2025-06-15 00:22:54.584720,2025-06-15 00:22:58.186917,0 days 00:00:03.602197,,,,,,,,528.0,0.003,3m,3.5,3.5,1.2000000000000002,748.0,924.0,0.005,3m,2.0,3.0,0.9,354.0,84.0,0.002,2m,3.5,2.5,1.6,998.0,912.0,0.006,2m,3.5,3.5,1.3,180.0,,,,,,,,,,,,,,,210.0,0.005,1m,3.0,1.5,1.2000000000000002,796.0,198,0.006,2m,2.0,1.5,1.0,478,426.0,0.007,4m,1.5,3.5,0.9,936.0,0.4,7,COMPLETE
77,77,-0.07973561958331608,2025-06-15 00:22:58.258946,2025-06-15 00:23:00.893047,0 days 00:00:02.634101,,,,,,,,,,,,,,,996.0,0.003,3m,2.5,1.5,1.9000000000000001,296.0,36.0,0.003,1m,3.0,3.0,1.5,876.0,618.0,0.003,3m,3.5,4.0,1.6,384.0,,,,,,,,,,,,,,,,,,,,,,590,0.01,2m,1.5,4.0,0.8,434,462.0,0.008,3m,1.0,3.5,1.0,450.0,0.35000000000000003,5,COMPLETE
78,78,1.2549231332201067,2025-06-15 00:23:00.964560,2025-06-15 00:23:03.658919,0 days 00:00:02.694359,,,,,,,,,,,,,,,240.0,0.004,2m,2.5,2.0,1.6,268.0,176.0,0.006,4m,3.5,3.5,1.4,776.0,386.0,0.004,2m,3.0,3.0,1.1,918.0,,,,,,,,,,,,,,,,,,,,,,386,0.004,4m,1.5,3.5,1.4,296,278.0,0.005,4m,2.5,4.0,0.8,64.0,0.25,5,COMPLETE
79,79,-3.1040791967234944,2025-06-15 00:23:03.722920,2025-06-15 00:23:06.822256,0 days 00:00:03.099336,,,,,,,,758.0,0.002,3m,3.0,3.0,0.8,600.0,780.0,0.002,3m,2.5,3.0,1.8,686.0,442.0,0.002,2m,3.0,2.5,1.8,966.0,496.0,0.005,3m,4.0,2.0,1.7000000000000002,106.0,,,,,,,,,,,,,,,,,,,,,,462,0.005,1m,2.0,2.0,1.1,382,508.0,0.007,4m,1.0,1.5,0.6,238.0,0.4,6,COMPLETE
80,80,2.654387944109703,2025-06-15 00:23:06.891784,2025-06-15 00:23:09.123593,0 days 00:00:02.231809,,,,,,,,,,,,,,,878.0,0.004,4m,1.5,1.0,2.0,68.0,536.0,0.005,2m,3.0,3.0,1.7000000000000002,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,0.009000000000000001,2m,2.0,3.0,1.8,234,222.0,0.001,2m,4.0,1.0,0.5,794.0,0.2,4,COMPLETE
81,81,1.2776100942143165,2025-06-15 00:23:09.162109,2025-06-15 00:23:13.461874,0 days 00:00:04.299765,154.0,0.01,2m,1.0,4.0,0.5,18.0,880.0,0.004,3m,3.5,3.5,0.6,1016.0,928.0,0.003,3m,3.0,3.0,1.7000000000000002,550.0,134.0,0.001,2m,3.0,3.0,1.9000000000000001,956.0,878.0,0.005,2m,3.5,3.0,1.4,230.0,,,,,,,,74.0,0.002,4m,1.0,2.0,1.5,712.0,220.0,0.003,1m,3.5,1.0,1.4,868.0,280,0.004,2m,2.5,3.5,1.3,144,106.0,0.007,4m,1.0,3.0,0.8,384.0,0.3,9,COMPLETE
82,82,0.08555006783968111,2025-06-15 00:23:13.524876,2025-06-15 00:23:18.153095,0 days 00:00:04.628219,366.0,0.008,2m,1.0,3.5,0.9,188.0,812.0,0.004,3m,4.0,4.0,1.1,942.0,960.0,0.003,3m,3.0,3.0,1.7000000000000002,504.0,92.0,0.001,2m,3.0,3.0,2.0,932.0,952.0,0.006,2m,3.0,3.0,1.4,238.0,68.0,0.01,2m,2.5,3.5,0.5,52.0,208.0,0.004,4m,1.0,2.0,1.6,952.0,178.0,0.004,1m,3.5,1.0,1.6,980.0,304,0.003,2m,2.5,3.5,1.2000000000000002,194,386.0,0.006,4m,1.0,2.5,0.7,376.0,0.3,10,COMPLETE
83,83,5.856652029811432,2025-06-15 00:23:18.230599,2025-06-15 00:23:22.873642,0 days 00:00:04.643043,250.0,0.01,2m,2.0,2.5,0.8,720.0,906.0,0.005,3m,3.5,3.5,0.7,762.0,940.0,0.003,3m,3.5,2.5,1.5,458.0,20.0,0.002,2m,3.0,3.0,1.8,902.0,814.0,0.006,2m,4.0,2.5,1.5,144.0,,,,,,,,30.0,0.005,4m,1.5,1.0,1.7000000000000002,638.0,328.0,0.002,1m,4.0,2.0,1.4,804.0,238,0.004,2m,2.5,3.5,1.1,318,246.0,0.007,4m,3.5,3.5,0.8,512.0,0.3,9,COMPLETE
84,84,2.852308139151745,2025-06-15 00:23:22.927644,2025-06-15 00:23:27.253453,0 days 00:00:04.325809,,,,,,,,696.0,0.002,3m,2.5,2.5,0.9,956.0,1024.0,0.005,3m,3.0,3.0,1.9000000000000001,362.0,66.0,0.002,2m,2.5,2.5,1.6,858.0,838.0,0.007,2m,3.5,3.5,1.3,348.0,,,,,,,,382.0,0.001,3m,1.5,2.5,1.3,308.0,28.0,0.005,1m,2.5,1.0,1.1,582.0,266,0.003,2m,2.5,3.5,1.9000000000000001,264,320.0,0.009000000000000001,4m,1.5,3.0,0.9,306.0,0.3,8,COMPLETE
85,85,-2.516271477286006,2025-06-15 00:23:27.317896,2025-06-15 00:23:31.641720,0 days 00:00:04.323824,,,,,,,,590.0,0.004,3m,3.0,3.0,0.5,816.0,836.0,0.004,3m,2.5,3.0,1.4,520.0,174.0,0.001,1m,3.5,1.5,2.0,550.0,744.0,0.004,2m,3.0,2.5,1.2000000000000002,488.0,,,,,,,,790.0,0.003,4m,3.0,1.5,1.0,820.0,462.0,0.004,2m,3.5,1.5,1.9000000000000001,872.0,730,0.005,3m,2.0,2.5,1.3,346,184.0,0.008,4m,1.0,3.5,1.8,338.0,0.35000000000000003,8,COMPLETE
86,86,0.5049603068965235,2025-06-15 00:23:31.702234,2025-06-15 00:23:36.396992,0 days 00:00:04.694758,524.0,0.005,2m,1.5,4.0,0.5,234.0,862.0,0.006,3m,3.5,3.5,0.8,1014.0,888.0,0.007,1m,3.0,3.5,1.8,326.0,108.0,0.001,2m,1.5,3.5,1.9000000000000001,948.0,1022.0,0.005,4m,3.5,3.5,1.7000000000000002,280.0,,,,,,,,194.0,0.007,4m,1.5,3.0,1.7000000000000002,556.0,264.0,0.007,4m,3.0,2.0,1.5,708.0,420,0.004,2m,3.0,4.0,0.9,102,256.0,0.007,1m,1.0,3.5,1.0,398.0,0.25,9,COMPLETE
87,87,2.205989911178957,2025-06-15 00:23:36.485506,2025-06-15 00:23:40.301530,0 days 00:00:03.816024,,,,,,,,1016.0,0.007,2m,4.0,2.5,1.1,426.0,996.0,0.003,3m,3.0,2.5,1.7000000000000002,406.0,140.0,0.008,2m,3.0,3.0,0.6,978.0,926.0,0.004,2m,2.5,3.0,1.5,194.0,,,,,,,,,,,,,,,136.0,0.002,1m,4.0,1.0,0.8,806.0,898,0.006,2m,2.0,1.5,2.0,524,350.0,0.008,4m,1.5,3.0,0.6,274.0,0.35000000000000003,7,COMPLETE
