,number,value,datetime_start,datetime_complete,duration,params_ADSK_FISV_beta_win,params_ADSK_FISV_stop_loss,params_ADSK_FISV_trade_freq,params_ADSK_FISV_z_entry,params_ADSK_FISV_z_exit,params_ADSK_FISV_z_stop_scaler,params_ADSK_FISV_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_ANSS_SPLK_beta_win,params_ANSS_SPLK_stop_loss,params_ANSS_SPLK_trade_freq,params_ANSS_SPLK_z_entry,params_ANSS_SPLK_z_exit,params_ANSS_SPLK_z_stop_scaler,params_ANSS_SPLK_z_win,params_ATVI_SIRI_beta_win,params_ATVI_SIRI_stop_loss,params_ATVI_SIRI_trade_freq,params_ATVI_SIRI_z_entry,params_ATVI_SIRI_z_exit,params_ATVI_SIRI_z_stop_scaler,params_ATVI_SIRI_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_ISRG_SPLK_beta_win,params_ISRG_SPLK_stop_loss,params_ISRG_SPLK_trade_freq,params_ISRG_SPLK_z_entry,params_ISRG_SPLK_z_exit,params_ISRG_SPLK_z_stop_scaler,params_ISRG_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
133,133,8.01708556865103,2025-06-15 01:08:27.766070,2025-06-15 01:08:31.935408,0 days 00:00:04.169338,894.0,0.006,3m,3.5,3.0,1.4,766.0,394.0,0.01,2m,3.5,4.0,2.0,220.0,632.0,0.006,1m,4.0,2.5,0.6,104.0,796.0,0.004,4m,2.0,2.5,0.7,400.0,164.0,0.007,1m,4.0,4.0,1.2000000000000002,162.0,620.0,0.008,3m,1.0,2.5,1.4,822.0,380.0,0.003,4m,1.0,1.0,1.3,248.0,594.0,0.001,1m,3.5,4.0,1.3,928.0,706.0,0.005,3m,4.0,2.0,0.5,190.0,374,0.001,3m,1.0,2.0,1.5,460,0.15000000000000002,10,COMPLETE
134,134,12.353070952088439,2025-06-15 01:08:32.024979,2025-06-15 01:08:35.483549,0 days 00:00:03.458570,930.0,0.008,3m,3.5,2.0,1.3,686.0,498.0,0.009000000000000001,2m,3.5,4.0,1.8,164.0,756.0,0.006,1m,4.0,2.5,0.5,274.0,866.0,0.003,4m,1.5,3.0,0.9,430.0,284.0,0.008,3m,3.5,3.5,1.0,252.0,,,,,,,,442.0,0.004,4m,1.0,1.0,1.4,482.0,618.0,0.001,1m,3.0,4.0,1.5,846.0,610.0,0.004,3m,4.0,1.5,1.9000000000000001,220.0,328,0.002,3m,1.5,2.0,1.2000000000000002,612,0.2,9,COMPLETE
135,135,11.181433717230687,2025-06-15 01:08:35.554576,2025-06-15 01:08:39.089037,0 days 00:00:03.534461,934.0,0.008,3m,3.5,2.0,1.3,712.0,494.0,0.009000000000000001,2m,3.5,4.0,1.8,168.0,744.0,0.006,1m,4.0,2.5,0.5,278.0,852.0,0.003,4m,1.5,3.0,0.9,470.0,298.0,0.009000000000000001,3m,3.5,3.5,1.0,260.0,,,,,,,,402.0,0.004,4m,1.0,1.0,1.4,406.0,616.0,0.002,1m,3.0,4.0,1.7000000000000002,810.0,646.0,0.004,3m,4.0,1.5,1.9000000000000001,214.0,316,0.002,3m,1.5,2.0,1.2000000000000002,564,0.2,9,COMPLETE
136,136,10.302414987951662,2025-06-15 01:08:39.171576,2025-06-15 01:08:42.638504,0 days 00:00:03.466928,938.0,0.008,3m,4.0,2.0,1.4,708.0,492.0,0.008,2m,3.0,4.0,1.9000000000000001,164.0,778.0,0.006,1m,4.0,2.5,0.5,196.0,878.0,0.003,4m,1.5,3.0,0.9,438.0,268.0,0.009000000000000001,3m,3.5,3.5,1.5,244.0,,,,,,,,446.0,0.004,4m,1.0,1.0,1.6,426.0,614.0,0.002,1m,3.0,4.0,1.7000000000000002,846.0,602.0,0.004,3m,4.0,1.5,1.9000000000000001,210.0,350,0.002,3m,1.5,2.0,1.1,608,0.2,9,COMPLETE
137,137,12.27326203509735,2025-06-15 01:08:42.724446,2025-06-15 01:08:46.224767,0 days 00:00:03.500321,1024.0,0.008,3m,4.0,2.0,1.4,720.0,536.0,0.009000000000000001,2m,4.0,4.0,1.9000000000000001,140.0,838.0,0.003,1m,4.0,2.5,0.5,292.0,870.0,0.003,4m,1.5,3.0,0.9,470.0,298.0,0.009000000000000001,3m,3.5,3.5,1.0,244.0,,,,,,,,408.0,0.004,4m,1.0,1.0,1.7000000000000002,430.0,616.0,0.002,1m,3.0,4.0,1.7000000000000002,810.0,614.0,0.004,3m,4.0,1.5,1.9000000000000001,272.0,344,0.002,3m,1.5,2.0,1.1,594,0.2,9,COMPLETE
138,138,11.16182758064589,2025-06-15 01:08:46.297882,2025-06-15 01:08:49.816827,0 days 00:00:03.518945,990.0,0.008,3m,4.0,2.0,1.3,714.0,538.0,0.009000000000000001,2m,4.0,4.0,1.6,164.0,850.0,0.003,1m,4.0,2.5,0.5,206.0,864.0,0.003,4m,1.5,3.0,0.8,452.0,276.0,0.009000000000000001,3m,3.5,3.5,1.5,240.0,,,,,,,,436.0,0.004,4m,1.0,1.0,1.6,408.0,566.0,0.002,1m,3.0,4.0,1.7000000000000002,772.0,610.0,0.004,3m,4.0,1.5,1.9000000000000001,282.0,350,0.002,3m,1.5,2.0,1.0,568,0.15000000000000002,9,COMPLETE
139,139,11.995103148203501,2025-06-15 01:08:49.892441,2025-06-15 01:08:53.387508,0 days 00:00:03.495067,1020.0,0.008,3m,4.0,2.0,1.3,716.0,536.0,0.009000000000000001,2m,4.0,4.0,1.6,166.0,854.0,0.003,1m,4.0,2.5,0.5,200.0,870.0,0.003,4m,1.5,3.0,0.8,442.0,284.0,0.009000000000000001,3m,3.5,3.5,1.5,248.0,,,,,,,,404.0,0.004,4m,1.0,1.0,1.6,396.0,556.0,0.002,1m,3.0,4.0,1.7000000000000002,764.0,600.0,0.004,3m,4.0,1.5,1.9000000000000001,270.0,354,0.002,3m,1.5,2.0,1.0,582,0.15000000000000002,9,COMPLETE
140,140,12.0906345738973,2025-06-15 01:08:53.459701,2025-06-15 01:08:57.243355,0 days 00:00:03.783654,1016.0,0.008,3m,4.0,2.0,1.3,722.0,542.0,0.009000000000000001,2m,4.0,4.0,1.5,158.0,870.0,0.003,1m,4.0,2.5,0.5,196.0,880.0,0.003,4m,4.0,3.0,0.8,440.0,276.0,0.009000000000000001,3m,3.5,3.5,1.5,248.0,,,,,,,,444.0,0.003,4m,1.0,1.0,1.7000000000000002,400.0,568.0,0.002,1m,3.0,4.0,1.7000000000000002,812.0,606.0,0.004,3m,4.0,1.5,1.9000000000000001,268.0,350,0.002,3m,1.5,2.0,1.0,588,0.15000000000000002,9,COMPLETE
141,141,10.717841635684042,2025-06-15 01:08:57.317921,2025-06-15 01:09:01.166784,0 days 00:00:03.848863,1022.0,0.008,3m,4.0,2.0,1.3,716.0,542.0,0.009000000000000001,2m,4.0,4.0,1.5,162.0,884.0,0.003,1m,4.0,2.5,0.5,194.0,862.0,0.003,4m,4.0,3.0,0.7,438.0,274.0,0.009000000000000001,3m,3.5,3.5,1.5,246.0,,,,,,,,396.0,0.003,4m,1.0,1.0,1.6,406.0,526.0,0.002,1m,3.0,4.0,1.7000000000000002,780.0,602.0,0.004,3m,4.0,1.5,1.9000000000000001,274.0,356,0.002,3m,1.5,2.0,1.0,578,0.15000000000000002,9,COMPLETE
142,142,10.760803291824448,2025-06-15 01:09:01.245003,2025-06-15 01:09:04.863309,0 days 00:00:03.618306,1018.0,0.008,3m,4.0,2.0,1.3,698.0,538.0,0.009000000000000001,2m,4.0,4.0,1.5,164.0,882.0,0.003,1m,4.0,2.5,0.5,198.0,870.0,0.003,4m,4.0,3.0,0.8,430.0,272.0,0.009000000000000001,3m,3.5,3.5,1.5,242.0,,,,,,,,412.0,0.003,4m,1.0,1.0,1.7000000000000002,398.0,562.0,0.002,1m,3.0,4.0,1.7000000000000002,778.0,588.0,0.004,3m,4.0,1.5,1.9000000000000001,264.0,354,0.002,3m,1.5,2.0,1.0,582,0.15000000000000002,9,COMPLETE
143,143,11.281986567382662,2025-06-15 01:09:04.915159,2025-06-15 01:09:08.638940,0 days 00:00:03.723781,1024.0,0.008,3m,4.0,2.0,1.3,710.0,532.0,0.009000000000000001,2m,4.0,4.0,1.5,176.0,892.0,0.003,1m,4.0,2.5,0.5,194.0,872.0,0.003,4m,4.0,3.0,0.7,438.0,272.0,0.009000000000000001,3m,3.5,3.5,1.5,242.0,,,,,,,,396.0,0.003,4m,1.0,1.0,1.7000000000000002,402.0,562.0,0.002,1m,3.0,4.0,1.7000000000000002,772.0,602.0,0.004,3m,4.0,1.5,1.9000000000000001,272.0,302,0.002,3m,1.5,2.0,1.0,570,0.15000000000000002,9,COMPLETE
144,144,11.209803144242594,2025-06-15 01:09:08.718775,2025-06-15 01:09:12.468379,0 days 00:00:03.749604,1016.0,0.008,3m,4.0,2.0,1.3,714.0,538.0,0.009000000000000001,2m,4.0,4.0,1.5,164.0,896.0,0.003,1m,4.0,2.5,0.5,180.0,868.0,0.003,4m,4.0,3.0,0.7,446.0,274.0,0.009000000000000001,3m,3.5,3.5,1.5,244.0,,,,,,,,406.0,0.003,4m,1.0,1.0,1.7000000000000002,402.0,564.0,0.002,1m,3.0,4.0,1.7000000000000002,774.0,588.0,0.004,3m,4.0,1.5,1.9000000000000001,282.0,304,0.002,3m,1.5,2.0,1.0,574,0.1,9,COMPLETE
145,145,11.935034252331665,2025-06-15 01:09:12.540796,2025-06-15 01:09:16.139967,0 days 00:00:03.599171,1024.0,0.008,3m,4.0,2.0,1.3,724.0,526.0,0.009000000000000001,2m,4.0,4.0,1.5,160.0,892.0,0.003,1m,4.0,2.5,0.5,194.0,868.0,0.003,3m,4.0,3.0,0.7,436.0,280.0,0.009000000000000001,3m,3.5,3.5,1.5,240.0,,,,,,,,404.0,0.003,4m,1.0,1.0,1.7000000000000002,396.0,566.0,0.002,1m,3.0,4.0,1.7000000000000002,776.0,592.0,0.004,3m,4.0,1.5,1.9000000000000001,276.0,290,0.002,3m,1.5,2.0,1.0,570,0.1,9,COMPLETE
146,146,10.216070564570602,2025-06-15 01:09:16.219512,2025-06-15 01:09:19.946888,0 days 00:00:03.727376,1020.0,0.008,3m,4.0,2.0,1.3,712.0,552.0,0.009000000000000001,2m,4.0,4.0,1.5,144.0,904.0,0.003,1m,4.0,2.5,0.5,146.0,906.0,0.003,3m,4.0,3.0,0.7,380.0,300.0,0.009000000000000001,3m,3.5,3.5,1.6,298.0,,,,,,,,408.0,0.002,4m,1.0,1.0,1.7000000000000002,378.0,520.0,0.002,1m,3.0,4.0,1.7000000000000002,774.0,638.0,0.004,3m,4.0,1.5,1.9000000000000001,278.0,296,0.002,3m,1.5,2.0,1.0,532,0.1,9,COMPLETE
147,147,11.717149172620292,2025-06-15 01:09:20.023745,2025-06-15 01:09:23.765239,0 days 00:00:03.741494,988.0,0.008,3m,4.0,2.0,1.3,758.0,534.0,0.009000000000000001,2m,4.0,4.0,1.6,168.0,980.0,0.003,1m,4.0,2.5,0.5,196.0,858.0,0.003,3m,4.0,3.0,0.7,454.0,234.0,0.01,3m,3.5,3.5,1.5,240.0,,,,,,,,392.0,0.003,4m,1.0,1.0,1.7000000000000002,384.0,566.0,0.002,1m,3.0,4.0,1.8,818.0,598.0,0.004,3m,4.0,1.5,1.9000000000000001,330.0,274,0.002,3m,1.5,2.0,1.0,570,0.1,9,COMPLETE
148,148,12.154890243521546,2025-06-15 01:09:23.833477,2025-06-15 01:09:27.541380,0 days 00:00:03.707903,988.0,0.008,3m,4.0,2.0,1.2000000000000002,764.0,534.0,0.009000000000000001,2m,4.0,4.0,1.6,120.0,988.0,0.003,1m,4.0,2.5,0.5,112.0,852.0,0.003,3m,4.0,3.0,0.7,438.0,234.0,0.01,3m,3.5,3.5,1.5,236.0,,,,,,,,392.0,0.003,4m,1.0,1.0,1.8,382.0,566.0,0.002,1m,3.0,4.0,1.8,812.0,554.0,0.004,3m,4.0,1.5,1.9000000000000001,304.0,278,0.002,3m,1.5,2.0,1.0,574,0.1,9,COMPLETE
149,149,10.663923261714324,2025-06-15 01:09:27.637756,2025-06-15 01:09:31.314798,0 days 00:00:03.677042,1000.0,0.008,3m,4.0,2.0,1.2000000000000002,760.0,568.0,0.009000000000000001,2m,4.0,4.0,1.6,120.0,982.0,0.003,1m,4.0,3.0,0.5,86.0,908.0,0.003,3m,4.0,3.0,0.7,456.0,222.0,0.01,3m,3.5,3.5,1.6,306.0,,,,,,,,434.0,0.003,4m,1.0,1.0,1.7000000000000002,358.0,550.0,0.002,1m,3.0,4.0,1.8,806.0,556.0,0.004,3m,4.0,1.5,1.9000000000000001,308.0,248,0.002,3m,1.5,2.0,1.0,572,0.1,9,COMPLETE
