,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ALGN_DDOG_beta_win,params_ALGN_DDOG_stop_loss,params_ALGN_DDOG_trade_freq,params_ALGN_DDOG_z_entry,params_ALGN_DDOG_z_exit,params_ALGN_DDOG_z_stop_scaler,params_ALGN_DDOG_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_AMZN_MSFT_beta_win,params_AMZN_MSFT_stop_loss,params_AMZN_MSFT_trade_freq,params_AMZN_MSFT_z_entry,params_AMZN_MSFT_z_exit,params_AMZN_MSFT_z_stop_scaler,params_AMZN_MSFT_z_win,params_AMZN_PYPL_beta_win,params_AMZN_PYPL_stop_loss,params_AMZN_PYPL_trade_freq,params_AMZN_PYPL_z_entry,params_AMZN_PYPL_z_exit,params_AMZN_PYPL_z_stop_scaler,params_AMZN_PYPL_z_win,params_AMZN_VRSN_beta_win,params_AMZN_VRSN_stop_loss,params_AMZN_VRSN_trade_freq,params_AMZN_VRSN_z_entry,params_AMZN_VRSN_z_exit,params_AMZN_VRSN_z_stop_scaler,params_AMZN_VRSN_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_WBA_MNST_beta_win,params_WBA_MNST_stop_loss,params_WBA_MNST_trade_freq,params_WBA_MNST_z_entry,params_WBA_MNST_z_exit,params_WBA_MNST_z_stop_scaler,params_WBA_MNST_z_win,params_buffer_capital,params_pairs_to_trade,state
70,70,1.1427229259921883,2025-06-15 01:02:01.656613,2025-06-15 01:02:06.406670,0 days 00:00:04.750057,312.0,0.002,2m,2.5,1.5,1.9000000000000001,102.0,1006.0,0.001,1m,1.0,1.0,1.2000000000000002,694.0,958.0,0.004,1m,1.0,2.5,0.9,214.0,394.0,0.003,4m,3.0,2.5,1.4,500.0,446.0,0.002,4m,2.0,3.5,0.6,160.0,836,0.004,3m,2.5,1.5,1.2000000000000002,414,972.0,0.002,2m,2.0,2.0,1.9000000000000001,608.0,42.0,0.007,2m,3.5,1.5,1.3,474.0,360.0,0.005,1m,3.0,3.0,1.8,930.0,306.0,0.001,3m,1.0,2.5,0.6,380.0,0.2,10,COMPLETE
71,71,6.339482739488345,2025-06-15 01:02:06.492181,2025-06-15 01:02:10.374146,0 days 00:00:03.881965,1004.0,0.001,1m,3.5,1.0,2.0,258.0,920.0,0.001,4m,1.0,1.0,1.3,456.0,800.0,0.002,1m,1.5,3.5,1.3,328.0,276.0,0.002,4m,2.0,3.0,0.9,660.0,322.0,0.005,3m,2.5,3.0,0.6,388.0,562,0.004,4m,3.0,1.5,0.8,876,764.0,0.001,3m,2.5,3.5,1.9000000000000001,64.0,194.0,0.001,3m,3.5,2.5,0.6,86.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
72,72,2.767192459499877,2025-06-15 01:02:10.452665,2025-06-15 01:02:13.705135,0 days 00:00:03.252470,932.0,0.001,1m,3.5,1.0,2.0,188.0,930.0,0.001,3m,1.0,1.0,1.4,518.0,790.0,0.002,1m,1.0,3.5,1.1,452.0,274.0,0.002,4m,2.5,3.0,1.3,786.0,344.0,0.004,3m,2.5,2.5,0.7,472.0,616,0.003,4m,2.5,1.5,0.7,748,758.0,0.001,3m,2.5,3.5,2.0,128.0,,,,,,,,,,,,,,,,,,,,,,0.05,7,COMPLETE
73,73,5.987545955189001,2025-06-15 01:02:13.799652,2025-06-15 01:02:18.077806,0 days 00:00:04.278154,986.0,0.001,3m,3.5,1.5,1.8,256.0,464.0,0.002,4m,1.0,4.0,1.3,486.0,828.0,0.002,1m,1.5,3.5,1.3,270.0,462.0,0.001,4m,1.5,2.5,0.6,620.0,320.0,0.003,3m,2.5,2.5,0.8,350.0,680,0.004,4m,3.0,1.5,0.8,876,852.0,0.001,3m,3.0,3.5,1.8,90.0,316.0,0.002,3m,4.0,2.5,0.6,80.0,,,,,,,,100.0,0.003,1m,2.0,1.0,0.8,454.0,0.1,9,COMPLETE
74,74,3.140610948268774,2025-06-15 01:02:18.170318,2025-06-15 01:02:22.464899,0 days 00:00:04.294581,982.0,0.01,3m,3.5,1.5,0.8,316.0,478.0,0.002,4m,1.0,3.5,1.3,558.0,872.0,0.002,2m,1.5,3.0,1.3,264.0,450.0,0.001,4m,2.5,2.5,0.5,626.0,286.0,0.003,3m,2.5,3.0,0.9,344.0,696,0.003,4m,3.0,1.5,0.8,878,862.0,0.002,3m,3.5,3.5,1.7000000000000002,98.0,318.0,0.003,3m,4.0,2.5,0.5,76.0,,,,,,,,100.0,0.003,1m,2.0,1.0,0.8,468.0,0.1,9,COMPLETE
75,75,1.6780366317756539,2025-06-15 01:02:22.556415,2025-06-15 01:02:26.516232,0 days 00:00:03.959817,996.0,0.001,3m,3.5,1.5,1.8,374.0,308.0,0.002,4m,1.5,4.0,1.5,624.0,816.0,0.003,1m,1.5,4.0,1.3,326.0,534.0,0.001,1m,1.5,2.5,0.7,702.0,326.0,0.002,3m,2.0,3.5,0.8,286.0,668,0.005,4m,3.0,1.5,0.8,786,890.0,0.001,3m,3.0,3.0,1.5,208.0,596.0,0.002,3m,4.0,3.0,0.6,32.0,,,,,,,,252.0,0.002,1m,1.5,1.0,1.0,380.0,0.05,9,COMPLETE
76,76,0.4140580381636632,2025-06-15 01:02:26.605239,2025-06-15 01:02:30.907507,0 days 00:00:04.302268,928.0,0.005,3m,3.5,2.0,1.6,246.0,434.0,0.002,2m,2.0,4.0,1.6,452.0,906.0,0.002,1m,2.0,3.5,1.4,608.0,348.0,0.001,4m,2.0,2.5,0.6,610.0,260.0,0.003,2m,2.5,2.0,1.4,28.0,734,0.004,1m,3.0,2.0,1.0,508,836.0,0.001,3m,1.5,4.0,1.8,74.0,274.0,0.004,3m,4.0,2.5,0.5,738.0,,,,,,,,138.0,0.004,1m,2.0,1.5,1.0,564.0,0.1,9,COMPLETE
77,77,-1.5655533404885649,2025-06-15 01:02:30.984015,2025-06-15 01:02:35.400679,0 days 00:00:04.416664,384.0,0.002,3m,3.0,1.0,1.9000000000000001,466.0,596.0,0.003,1m,1.0,1.5,1.8,522.0,978.0,0.01,1m,2.5,4.0,1.9000000000000001,268.0,482.0,0.003,4m,1.0,3.5,1.6,752.0,376.0,0.009000000000000001,3m,2.5,3.0,1.0,242.0,550,0.01,3m,3.0,1.5,1.2000000000000002,842,1022.0,0.001,3m,3.0,3.5,1.6,298.0,212.0,0.008,3m,3.0,3.5,0.9,102.0,16.0,0.003,1m,2.0,2.0,1.4,406.0,58.0,0.002,1m,1.0,1.0,0.8,414.0,0.15000000000000002,10,COMPLETE
78,78,5.205720137338195,2025-06-15 01:02:35.490200,2025-06-15 01:02:39.650073,0 days 00:00:04.159873,962.0,0.001,2m,3.0,1.5,1.8,180.0,520.0,0.001,4m,1.5,3.0,1.1,584.0,784.0,0.002,1m,2.0,3.5,1.4,194.0,556.0,0.004,4m,1.5,2.0,0.6,648.0,220.0,0.003,1m,1.5,2.5,0.9,516.0,786,0.003,4m,2.0,1.5,0.6,658,740.0,0.002,3m,2.0,3.0,1.9000000000000001,20.0,442.0,0.003,3m,2.5,2.5,1.1,186.0,,,,,,,,206.0,0.006,1m,1.5,1.5,1.3,100.0,0.1,9,COMPLETE
79,79,3.6432266063883407,2025-06-15 01:02:39.737602,2025-06-15 01:02:44.357131,0 days 00:00:04.619529,996.0,0.003,3m,2.5,2.0,1.9000000000000001,262.0,456.0,0.01,4m,1.0,1.5,1.4,976.0,1016.0,0.003,1m,1.5,1.0,1.3,432.0,240.0,0.006,3m,2.5,2.5,0.9,676.0,434.0,0.003,3m,2.5,1.0,0.8,100.0,644,0.005,4m,3.5,1.5,1.1,922,502.0,0.001,3m,2.0,3.5,1.7000000000000002,152.0,256.0,0.008,3m,3.5,3.0,1.5,20.0,614.0,0.002,4m,1.0,4.0,1.8,730.0,312.0,0.003,1m,1.0,1.0,0.7,348.0,0.05,10,COMPLETE
80,80,2.9066637778889306,2025-06-15 01:02:44.471659,2025-06-15 01:02:46.616147,0 days 00:00:02.144488,,,,,,,,1022.0,0.002,4m,1.5,3.5,1.3,386.0,,,,,,,,,,,,,,,400.0,0.002,3m,2.0,2.0,0.7,186.0,480,0.004,4m,3.0,1.0,0.9,726,440.0,0.003,2m,3.5,3.5,1.8,382.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
81,81,6.586804512050052,2025-06-15 01:02:46.725174,2025-06-15 01:02:50.462815,0 days 00:00:03.737641,882.0,0.001,1m,4.0,3.5,1.9000000000000001,202.0,884.0,0.001,4m,1.0,1.0,1.2000000000000002,486.0,850.0,0.002,1m,1.0,3.5,1.1,376.0,392.0,0.002,4m,1.5,3.0,1.4,564.0,640.0,0.004,3m,3.0,2.5,0.6,368.0,608,0.004,4m,2.5,1.5,0.7,894,804.0,0.002,3m,2.5,3.5,2.0,48.0,924.0,0.002,4m,3.5,2.0,0.7,230.0,,,,,,,,,,,,,,,0.25,8,COMPLETE
82,82,3.586914296201858,2025-06-15 01:02:50.546340,2025-06-15 01:02:54.201949,0 days 00:00:03.655609,70.0,0.001,1m,4.0,3.5,1.9000000000000001,310.0,884.0,0.001,4m,1.0,1.0,1.0,542.0,838.0,0.002,1m,1.0,3.5,1.2000000000000002,356.0,386.0,0.002,4m,1.5,3.0,1.4,594.0,640.0,0.005,3m,3.0,2.5,0.7,332.0,448,0.004,4m,2.5,1.5,0.8,884,810.0,0.002,3m,2.5,3.5,1.9000000000000001,18.0,888.0,0.002,4m,4.0,2.0,0.7,228.0,,,,,,,,,,,,,,,0.25,8,COMPLETE
83,83,0.029857816146936004,2025-06-15 01:02:54.285469,2025-06-15 01:02:58.270307,0 days 00:00:03.984838,930.0,0.002,4m,4.0,3.0,1.8,196.0,394.0,0.001,4m,1.0,1.0,1.1,506.0,878.0,0.009000000000000001,1m,1.0,3.0,1.3,886.0,304.0,0.002,4m,1.0,3.0,1.6,526.0,338.0,0.004,3m,2.5,2.5,0.6,392.0,680,0.003,4m,2.5,1.5,0.7,948,778.0,0.002,3m,2.5,4.0,1.9000000000000001,56.0,948.0,0.002,4m,3.5,2.5,0.6,1014.0,,,,,,,,18.0,0.001,4m,1.5,2.0,0.5,250.0,0.15000000000000002,9,COMPLETE
84,84,5.756846833832538,2025-06-15 01:02:58.355334,2025-06-15 01:03:01.905886,0 days 00:00:03.550552,860.0,0.001,1m,3.5,1.0,1.7000000000000002,354.0,932.0,0.001,4m,1.0,1.0,1.4,450.0,924.0,0.002,1m,1.0,3.5,1.2000000000000002,306.0,360.0,0.001,4m,2.0,2.5,1.3,566.0,684.0,0.004,3m,3.5,2.5,0.6,572.0,642,0.005,4m,2.5,2.0,0.6,800,866.0,0.003,3m,2.5,3.5,1.3,112.0,810.0,0.006,4m,1.5,2.0,1.9000000000000001,74.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
85,85,-2.2160994585576628,2025-06-15 01:03:01.987405,2025-06-15 01:03:05.151894,0 days 00:00:03.164489,628.0,0.002,1m,3.5,1.0,1.7000000000000002,350.0,850.0,0.001,4m,1.0,1.0,1.4,448.0,932.0,0.002,2m,1.0,3.5,1.2000000000000002,296.0,382.0,0.001,4m,2.0,2.5,1.3,474.0,692.0,0.005,3m,3.5,2.5,0.8,560.0,514,0.006,3m,2.0,2.0,0.8,474,926.0,0.003,3m,3.0,3.5,1.3,104.0,,,,,,,,,,,,,,,,,,,,,,0.1,7,COMPLETE
86,86,2.975561129902084,2025-06-15 01:03:05.238425,2025-06-15 01:03:08.867532,0 days 00:00:03.629107,860.0,0.001,1m,3.5,1.0,1.5,260.0,752.0,0.001,3m,1.0,1.5,1.5,494.0,886.0,0.003,1m,1.0,3.0,1.1,186.0,342.0,0.001,4m,2.0,2.5,1.5,566.0,716.0,0.004,2m,3.5,2.5,0.7,450.0,212,0.005,4m,2.5,2.0,0.6,802,870.0,0.002,3m,2.5,4.0,1.2000000000000002,694.0,796.0,0.006,4m,1.5,3.0,1.9000000000000001,72.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
87,87,4.144701585025486,2025-06-15 01:03:08.967053,2025-06-15 01:03:12.610531,0 days 00:00:03.643478,908.0,0.006,1m,4.0,1.0,1.6,374.0,988.0,0.001,4m,1.0,1.0,1.3,720.0,848.0,0.003,3m,1.0,3.5,1.5,236.0,422.0,0.002,4m,1.5,4.0,1.3,410.0,664.0,0.006,3m,4.0,3.0,1.7000000000000002,420.0,640,0.005,4m,1.5,2.5,1.4,832,912.0,0.001,3m,2.0,3.5,1.1,38.0,952.0,0.005,4m,1.5,2.5,1.7000000000000002,148.0,,,,,,,,,,,,,,,0.05,8,COMPLETE
88,88,1.6167215424478523,2025-06-15 01:03:12.696053,2025-06-15 01:03:16.413694,0 days 00:00:03.717641,818.0,0.007,1m,3.5,1.5,1.8,964.0,544.0,0.001,1m,1.5,1.5,1.4,392.0,974.0,0.004,1m,1.5,4.0,1.2000000000000002,72.0,462.0,0.001,4m,3.0,2.5,1.1,632.0,614.0,0.01,3m,3.5,2.0,0.5,282.0,610,0.004,4m,3.0,4.0,0.7,862,954.0,0.003,3m,4.0,3.0,1.4,130.0,838.0,0.007,4m,2.0,2.0,1.8,464.0,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
89,89,3.3608375886050736,2025-06-15 01:03:16.463212,2025-06-15 01:03:19.282291,0 days 00:00:02.819079,726.0,0.001,1m,4.0,2.0,1.7000000000000002,308.0,900.0,0.001,4m,1.0,1.0,1.3,650.0,,,,,,,,172.0,0.002,1m,2.0,2.0,0.7,510.0,574.0,0.004,4m,2.5,2.5,1.0,508.0,558,0.004,1m,2.5,3.5,0.7,684,764.0,0.001,3m,2.5,3.5,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.2,6,COMPLETE
90,90,0.16342001412709303,2025-06-15 01:03:19.349324,2025-06-15 01:03:23.151869,0 days 00:00:03.802545,786.0,0.002,1m,2.0,1.5,1.9000000000000001,206.0,878.0,0.002,4m,1.0,1.0,1.2000000000000002,442.0,562.0,0.002,4m,1.0,3.5,1.4,292.0,364.0,0.001,2m,2.5,3.5,1.7000000000000002,602.0,756.0,0.005,3m,3.5,3.0,0.7,624.0,602,0.005,4m,1.0,2.0,0.9,768,722.0,0.002,2m,1.5,3.0,0.6,86.0,740.0,0.006,2m,1.0,2.0,0.8,178.0,,,,,,,,,,,,,,,0.3,8,COMPLETE
91,91,4.297989352549579,2025-06-15 01:03:23.243371,2025-06-15 01:03:30.647102,0 days 00:00:07.403731,888.0,0.001,3m,3.0,3.5,2.0,416.0,926.0,0.002,4m,1.0,1.0,1.2000000000000002,332.0,770.0,0.002,1m,1.5,3.5,1.1,140.0,316.0,0.005,4m,1.5,3.0,1.4,700.0,302.0,0.003,3m,3.0,2.5,0.6,380.0,726,0.006,4m,2.5,1.5,0.6,906,850.0,0.001,3m,2.5,3.5,1.0,166.0,692.0,0.001,4m,3.5,2.0,0.7,114.0,,,,,,,,406.0,0.005,2m,2.5,3.5,1.9000000000000001,480.0,0.1,9,COMPLETE
92,92,6.785990222407028,2025-06-15 01:03:30.770616,2025-06-15 01:03:36.035253,0 days 00:00:05.264637,996.0,0.001,3m,1.0,3.5,1.9000000000000001,158.0,938.0,0.008,4m,1.0,1.0,1.4,480.0,818.0,0.002,1m,1.0,3.5,1.0,400.0,982.0,0.003,4m,1.5,3.0,1.5,572.0,464.0,0.008,3m,3.0,2.0,0.6,154.0,684,0.004,4m,2.5,1.5,0.5,892,826.0,0.003,2m,2.5,3.5,1.5,440.0,184.0,0.003,3m,1.5,2.0,2.0,62.0,,,,,,,,512.0,0.006,1m,1.0,1.0,0.9,1014.0,0.05,9,COMPLETE
93,93,4.8459195414706695,2025-06-15 01:03:36.115256,2025-06-15 01:03:40.249916,0 days 00:00:04.134660,1002.0,0.001,3m,1.0,3.5,1.7000000000000002,132.0,996.0,0.008,4m,1.0,1.0,1.5,482.0,932.0,0.002,1m,1.0,3.5,1.0,400.0,982.0,0.003,4m,1.5,3.0,1.5,566.0,464.0,0.004,3m,3.0,2.0,0.6,458.0,640,0.004,4m,2.5,1.5,0.5,860,804.0,0.003,2m,2.5,3.5,1.5,66.0,784.0,0.004,3m,1.5,1.5,2.0,66.0,,,,,,,,550.0,0.007,1m,2.0,1.0,0.6,936.0,0.05,9,COMPLETE
94,94,2.1940510377811377,2025-06-15 01:03:40.330923,2025-06-15 01:03:43.460194,0 days 00:00:03.129271,842.0,0.002,1m,1.0,3.0,1.9000000000000001,160.0,956.0,0.008,4m,1.0,1.0,1.4,540.0,830.0,0.001,1m,1.0,3.5,1.2000000000000002,360.0,272.0,0.002,4m,1.5,2.5,1.2000000000000002,526.0,488.0,0.007,3m,3.0,1.5,0.5,310.0,686,0.004,4m,2.5,1.0,0.6,888,662.0,0.004,2m,2.5,3.5,1.3,446.0,,,,,,,,,,,,,,,,,,,,,,0.05,7,COMPLETE
95,95,2.8573434541368745,2025-06-15 01:03:43.557732,2025-06-15 01:03:47.235911,0 days 00:00:03.678179,918.0,0.001,2m,1.5,1.0,1.8,256.0,722.0,0.006,4m,1.0,1.0,1.4,594.0,862.0,0.003,1m,1.0,2.5,1.3,488.0,244.0,0.002,4m,1.5,3.0,1.3,640.0,422.0,0.008,3m,2.5,2.0,0.8,362.0,756,0.003,4m,3.0,1.5,0.8,798,896.0,0.003,2m,3.0,4.0,1.6,488.0,168.0,0.003,3m,1.5,3.5,2.0,598.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
96,96,-3.7461659294692327,2025-06-15 01:03:47.342443,2025-06-15 01:03:51.462936,0 days 00:00:04.120493,1020.0,0.001,3m,3.5,1.5,1.9000000000000001,120.0,828.0,0.007,4m,4.0,1.5,1.3,496.0,890.0,0.002,1m,1.0,3.0,1.5,310.0,146.0,0.003,4m,1.5,2.5,1.5,574.0,530.0,0.008,2m,3.0,2.5,0.9,156.0,628,0.005,3m,2.0,1.5,1.3,822,826.0,0.002,2m,2.5,3.5,1.4,422.0,902.0,0.002,3m,2.0,2.0,1.9000000000000001,530.0,,,,,,,,692.0,0.007,3m,1.0,1.0,1.2000000000000002,838.0,0.05,9,COMPLETE
97,97,2.349986117980047,2025-06-15 01:03:51.531941,2025-06-15 01:03:55.116752,0 days 00:00:03.584811,950.0,0.002,3m,4.0,3.5,1.8,84.0,972.0,0.001,2m,1.5,1.0,1.6,400.0,938.0,0.001,1m,1.5,4.0,1.1,342.0,212.0,0.002,4m,2.0,3.0,1.6,1006.0,634.0,0.01,3m,3.5,3.0,0.6,572.0,300,0.004,4m,3.0,2.0,0.7,752,22.0,0.004,3m,1.0,3.5,1.2000000000000002,566.0,142.0,0.003,4m,1.0,2.5,1.8,146.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
98,98,3.9598490375542337,2025-06-15 01:03:55.182267,2025-06-15 01:03:59.117123,0 days 00:00:03.934856,880.0,0.001,4m,4.0,3.0,1.9000000000000001,338.0,916.0,0.009000000000000001,4m,1.0,1.0,0.9,568.0,752.0,0.006,4m,1.0,3.5,1.0,262.0,430.0,0.003,2m,1.5,3.5,1.4,432.0,478.0,0.007,1m,3.0,2.0,0.7,964.0,532,0.003,4m,2.5,1.0,0.5,444,740.0,0.005,2m,2.0,3.5,0.5,518.0,946.0,0.003,3m,1.5,2.0,1.5,262.0,,,,,,,,642.0,0.006,4m,2.5,1.0,0.7,730.0,0.25,9,COMPLETE
99,99,8.33876502008454,2025-06-15 01:03:59.208638,2025-06-15 01:04:02.841570,0 days 00:00:03.632932,950.0,0.001,1m,3.5,3.5,0.5,166.0,944.0,0.001,4m,1.0,4.0,1.3,136.0,716.0,0.002,1m,1.0,3.0,1.7000000000000002,394.0,472.0,0.001,3m,2.5,2.0,0.8,474.0,676.0,0.009000000000000001,3m,2.5,3.0,0.5,94.0,398,0.004,4m,3.0,1.5,0.7,920,780.0,0.002,3m,2.5,3.5,2.0,456.0,352.0,0.005,3m,3.0,1.5,1.8,196.0,,,,,,,,,,,,,,,0.05,8,COMPLETE
100,100,5.778373057179191,2025-06-15 01:04:02.937589,2025-06-15 01:04:07.111587,0 days 00:00:04.173998,974.0,0.001,3m,1.5,3.5,0.6,32.0,662.0,0.008,4m,1.5,4.0,1.2000000000000002,72.0,714.0,0.001,1m,1.5,2.5,1.7000000000000002,388.0,618.0,0.002,3m,2.5,1.5,0.8,464.0,738.0,0.009000000000000001,3m,2.5,3.0,0.5,94.0,368,0.003,4m,3.5,1.5,0.8,944,628.0,0.002,2m,2.5,4.0,2.0,360.0,348.0,0.005,3m,3.0,1.5,1.8,218.0,,,,,,,,490.0,0.001,1m,1.5,1.5,1.0,72.0,0.05,9,COMPLETE
101,101,4.835467683182491,2025-06-15 01:04:07.200108,2025-06-15 01:04:14.821927,0 days 00:00:07.621819,978.0,0.001,3m,1.0,3.5,1.0,44.0,456.0,0.008,4m,2.0,4.0,1.2000000000000002,74.0,660.0,0.001,1m,1.5,2.5,1.7000000000000002,386.0,600.0,0.002,3m,2.5,1.5,0.8,332.0,732.0,0.009000000000000001,3m,2.5,3.0,0.5,102.0,386,0.002,4m,4.0,1.5,0.8,920,778.0,0.002,2m,2.5,4.0,2.0,458.0,342.0,0.005,3m,3.0,1.0,1.8,182.0,,,,,,,,528.0,0.001,1m,1.5,1.5,1.0,42.0,0.05,9,COMPLETE
102,102,2.8928867435699277,2025-06-15 01:04:14.937958,2025-06-15 01:04:19.982617,0 days 00:00:05.044659,958.0,0.009000000000000001,3m,1.5,3.5,0.5,206.0,998.0,0.009000000000000001,4m,1.0,4.0,1.3,134.0,682.0,0.001,1m,1.5,2.0,1.9000000000000001,424.0,526.0,0.002,3m,2.5,1.5,0.9,472.0,800.0,0.009000000000000001,3m,2.5,3.0,0.5,72.0,312,0.003,4m,3.5,1.5,0.8,898,610.0,0.002,2m,2.5,4.0,2.0,392.0,372.0,0.005,3m,3.0,1.5,1.6,204.0,,,,,,,,486.0,0.002,1m,1.5,1.0,0.9,66.0,0.05,9,COMPLETE
103,103,4.781271514946606,2025-06-15 01:04:20.095130,2025-06-15 01:04:24.343656,0 days 00:00:04.248526,910.0,0.001,3m,1.0,3.5,0.6,162.0,624.0,0.008,4m,1.5,4.0,1.2000000000000002,80.0,778.0,0.002,1m,1.5,2.5,1.8,376.0,956.0,0.001,3m,2.5,1.5,0.6,488.0,390.0,0.009000000000000001,3m,2.5,3.0,0.5,42.0,364,0.004,4m,3.5,1.5,0.7,930,554.0,0.001,2m,2.5,3.0,2.0,458.0,238.0,0.004,3m,3.0,1.5,1.7000000000000002,212.0,,,,,,,,610.0,0.001,1m,2.0,1.5,1.1,180.0,0.05,9,COMPLETE
104,104,7.048375573636016,2025-06-15 01:04:24.445685,2025-06-15 01:04:27.728565,0 days 00:00:03.282880,992.0,0.001,3m,1.5,3.5,0.6,112.0,884.0,0.005,4m,2.5,4.0,1.3,38.0,692.0,0.002,1m,1.0,3.0,1.7000000000000002,522.0,468.0,0.002,3m,3.0,1.5,0.7,378.0,662.0,0.009000000000000001,3m,2.5,3.0,0.6,88.0,448,0.002,4m,3.0,1.5,0.7,946,794.0,0.002,2m,2.5,4.0,1.9000000000000001,544.0,,,,,,,,,,,,,,,,,,,,,,0.05,7,COMPLETE
105,105,-2.1763556296419093,2025-06-15 01:04:27.804083,2025-06-15 01:04:31.117056,0 days 00:00:03.312973,1002.0,0.002,3m,2.0,4.0,0.6,114.0,850.0,0.005,4m,2.5,3.5,1.3,206.0,724.0,0.003,1m,1.0,3.0,1.6,620.0,474.0,0.003,3m,3.0,2.0,0.6,424.0,594.0,0.008,3m,2.5,1.5,2.0,202.0,422,0.002,4m,3.0,1.5,0.7,954,798.0,0.001,2m,2.0,3.5,1.9000000000000001,776.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
106,106,-0.46707334209708823,2025-06-15 01:04:31.212573,2025-06-15 01:04:34.518546,0 days 00:00:03.305973,244.0,0.006,1m,3.5,3.5,0.5,74.0,888.0,0.004,1m,3.0,4.0,1.3,44.0,812.0,0.002,2m,1.0,3.0,1.9000000000000001,506.0,500.0,0.01,3m,1.5,1.5,0.7,252.0,358.0,0.01,3m,2.5,3.0,0.6,130.0,402,0.004,3m,3.0,1.5,0.9,844,756.0,0.001,3m,2.5,3.5,1.9000000000000001,846.0,,,,,,,,,,,,,,,,,,,,,,0.05,7,COMPLETE
107,107,3.107815483738528,2025-06-15 01:04:34.609065,2025-06-15 01:04:38.388747,0 days 00:00:03.779682,934.0,0.001,2m,1.0,4.0,1.3,166.0,954.0,0.001,3m,3.5,4.0,1.4,140.0,764.0,0.002,1m,1.0,3.0,1.6,542.0,994.0,0.003,3m,3.0,2.0,0.7,366.0,520.0,0.01,2m,3.0,3.0,0.7,1024.0,494,0.004,4m,3.0,1.0,0.7,882,714.0,0.002,1m,3.0,3.0,1.8,542.0,422.0,0.002,2m,3.5,3.0,0.6,46.0,,,,,,,,,,,,,,,0.05,8,COMPLETE
108,108,-1.3728505589588973,2025-06-15 01:04:38.469262,2025-06-15 01:04:42.259942,0 days 00:00:03.790680,988.0,0.002,3m,4.0,3.0,0.8,224.0,776.0,0.005,4m,1.0,3.5,1.5,552.0,590.0,0.003,4m,1.0,3.0,2.0,666.0,444.0,0.001,3m,2.5,3.0,0.7,352.0,662.0,0.01,3m,2.0,3.0,0.7,148.0,576,0.002,4m,3.0,1.5,0.6,1000,676.0,0.009000000000000001,2m,2.5,4.0,1.9000000000000001,990.0,102.0,0.003,3m,2.5,1.0,1.0,502.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
109,109,-0.09433400350361838,2025-06-15 01:04:42.344947,2025-06-15 01:04:46.314219,0 days 00:00:03.969272,1022.0,0.001,1m,2.5,3.5,2.0,242.0,816.0,0.01,4m,2.5,4.0,1.1,612.0,740.0,0.002,3m,1.0,3.0,1.7000000000000002,428.0,1020.0,0.004,2m,2.5,2.0,0.8,664.0,562.0,0.009000000000000001,3m,2.5,3.0,0.8,174.0,472,0.003,4m,3.0,1.5,0.7,906,818.0,0.002,3m,3.0,3.5,1.7000000000000002,46.0,490.0,0.002,1m,3.5,2.5,0.7,146.0,,,,,,,,,,,,,,,0.05,8,COMPLETE
