,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ALGN_DDOG_beta_win,params_ALGN_DDOG_stop_loss,params_ALGN_DDOG_trade_freq,params_ALGN_DDOG_z_entry,params_ALGN_DDOG_z_exit,params_ALGN_DDOG_z_stop_scaler,params_ALGN_DDOG_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_AMZN_MSFT_beta_win,params_AMZN_MSFT_stop_loss,params_AMZN_MSFT_trade_freq,params_AMZN_MSFT_z_entry,params_AMZN_MSFT_z_exit,params_AMZN_MSFT_z_stop_scaler,params_AMZN_MSFT_z_win,params_AMZN_PYPL_beta_win,params_AMZN_PYPL_stop_loss,params_AMZN_PYPL_trade_freq,params_AMZN_PYPL_z_entry,params_AMZN_PYPL_z_exit,params_AMZN_PYPL_z_stop_scaler,params_AMZN_PYPL_z_win,params_AMZN_VRSN_beta_win,params_AMZN_VRSN_stop_loss,params_AMZN_VRSN_trade_freq,params_AMZN_VRSN_z_entry,params_AMZN_VRSN_z_exit,params_AMZN_VRSN_z_stop_scaler,params_AMZN_VRSN_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_WBA_MNST_beta_win,params_WBA_MNST_stop_loss,params_WBA_MNST_trade_freq,params_WBA_MNST_z_entry,params_WBA_MNST_z_exit,params_WBA_MNST_z_stop_scaler,params_WBA_MNST_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-5.681490676961666,2025-06-15 00:58:34.244612,2025-06-15 00:58:37.818621,0 days 00:00:03.574009,226.0,0.005,3m,2.5,3.0,2.0,1020.0,652.0,0.002,4m,2.0,3.0,1.4,1024.0,174.0,0.003,1m,3.0,2.0,1.6,316.0,582.0,0.008,2m,2.0,1.5,1.4,406.0,668.0,0.005,4m,2.0,1.5,0.9,890.0,702,0.005,2m,2.0,3.5,1.1,620,300.0,0.006,1m,3.5,2.0,1.3,838.0,912.0,0.01,4m,4.0,2.5,2.0,62.0,,,,,,,,,,,,,,,0.5,8,COMPLETE
21,21,3.5220001521685127,2025-06-15 00:58:37.907133,2025-06-15 00:58:42.331742,0 days 00:00:04.424609,460.0,0.007,4m,1.5,3.0,1.7000000000000002,736.0,1018.0,0.004,4m,3.0,2.0,0.5,20.0,582.0,0.003,2m,1.0,1.5,1.6,48.0,206.0,0.007,2m,3.0,1.0,1.9000000000000001,58.0,876.0,0.006,3m,4.0,1.5,0.9,706.0,470,0.003,2m,3.5,1.5,0.9,778,730.0,0.01,4m,2.0,1.0,0.8,744.0,488.0,0.004,1m,2.0,4.0,1.0,438.0,890.0,0.008,3m,3.0,2.5,0.8,600.0,650.0,0.01,4m,4.0,4.0,2.0,32.0,0.45,10,COMPLETE
22,22,2.537878865057407,2025-06-15 00:58:42.413262,2025-06-15 00:58:46.475595,0 days 00:00:04.062333,570.0,0.007,2m,1.5,3.0,1.6,656.0,848.0,0.002,4m,3.0,2.0,0.6,52.0,476.0,0.002,2m,1.5,2.0,1.6,22.0,314.0,0.007,2m,2.5,1.5,2.0,70.0,872.0,0.006,3m,3.5,2.0,0.8,706.0,466,0.003,2m,3.5,1.0,1.5,772,736.0,0.009000000000000001,4m,2.0,1.0,0.7,938.0,266.0,0.005,1m,1.0,3.5,1.1,680.0,,,,,,,,366.0,0.006,1m,1.0,1.0,1.4,30.0,0.4,9,COMPLETE
23,23,1.6197008257664058,2025-06-15 00:58:46.555110,2025-06-15 00:58:50.490858,0 days 00:00:03.935748,502.0,0.009000000000000001,4m,2.0,2.0,1.8,808.0,876.0,0.005,4m,3.5,2.5,0.8,368.0,794.0,0.004,1m,1.5,1.5,0.5,208.0,216.0,0.005,2m,3.0,1.0,1.8,620.0,896.0,0.005,3m,4.0,1.5,1.0,590.0,652,0.001,2m,3.5,2.0,0.9,934,480.0,0.009000000000000001,1m,2.0,1.0,0.5,662.0,754.0,0.005,3m,3.0,4.0,1.2000000000000002,346.0,,,,,,,,558.0,0.006,2m,3.0,3.0,1.4,18.0,0.45,9,COMPLETE
24,24,-5.163384136643741,2025-06-15 00:58:50.563372,2025-06-15 00:58:54.878829,0 days 00:00:04.315457,302.0,0.002,1m,3.5,2.5,1.5,598.0,544.0,0.002,4m,2.5,2.5,0.7,676.0,154.0,0.002,3m,1.0,1.5,1.5,18.0,828.0,0.007,2m,1.0,2.0,1.8,394.0,666.0,0.003,3m,3.5,2.0,0.8,774.0,862,0.003,2m,3.0,1.5,1.7000000000000002,766,572.0,0.01,4m,1.5,1.5,0.9,962.0,382.0,0.007,2m,2.0,3.0,1.6,278.0,1024.0,0.001,3m,1.5,4.0,1.8,930.0,986.0,0.008,4m,2.5,2.5,0.7,802.0,0.3,10,COMPLETE
25,25,-2.1651697251213946,2025-06-15 00:58:54.949349,2025-06-15 00:58:58.124351,0 days 00:00:03.175002,762.0,0.004,1m,3.5,3.5,1.8,856.0,714.0,0.007,3m,2.0,2.0,0.9,140.0,480.0,0.004,2m,2.0,2.0,1.8,170.0,672.0,0.009000000000000001,1m,3.5,2.5,1.0,576.0,782.0,0.006,3m,4.0,1.0,1.2000000000000002,664.0,510,0.002,2m,2.5,2.0,1.1,532,302.0,0.008,1m,3.0,2.0,0.7,816.0,,,,,,,,,,,,,,,,,,,,,,0.4,7,COMPLETE
26,26,-6.236424505165342,2025-06-15 00:58:58.215839,2025-06-15 00:59:00.830016,0 days 00:00:02.614177,522.0,0.007,4m,2.0,3.0,1.1,584.0,902.0,0.004,2m,2.5,2.5,0.6,372.0,,,,,,,,504.0,0.009000000000000001,3m,2.0,1.5,0.5,930.0,892.0,0.007,3m,3.0,2.5,1.0,902.0,580,0.001,3m,3.5,1.0,1.4,940,92.0,0.009000000000000001,1m,2.0,1.0,0.6,890.0,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
27,27,3.250945618271943,2025-06-15 00:59:00.912531,2025-06-15 00:59:04.552121,0 days 00:00:03.639590,760.0,0.002,1m,3.0,3.5,1.9000000000000001,432.0,1018.0,0.001,4m,1.0,1.0,1.0,496.0,680.0,0.002,1m,1.5,3.0,1.2000000000000002,396.0,880.0,0.005,4m,1.5,3.0,1.4,704.0,608.0,0.003,3m,3.5,1.5,0.7,490.0,670,0.005,4m,3.0,1.5,0.7,812,740.0,0.01,4m,2.5,1.5,0.6,1024.0,22.0,0.003,1m,3.0,2.0,0.9,632.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
28,28,2.9352094472903403,2025-06-15 00:59:04.631121,2025-06-15 00:59:06.465437,0 days 00:00:01.834316,,,,,,,,746.0,0.004,4m,3.5,3.0,0.7,808.0,,,,,,,,,,,,,,,738.0,0.004,4m,4.0,4.0,0.5,612.0,780,0.003,1m,3.5,2.5,1.8,618,298.0,0.007,3m,1.0,2.0,0.9,766.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
29,29,7.0738686034215945,2025-06-15 00:59:06.551949,2025-06-15 00:59:10.654566,0 days 00:00:04.102617,390.0,0.006,3m,4.0,2.0,1.7000000000000002,782.0,448.0,0.002,4m,1.5,2.0,0.5,604.0,1016.0,0.003,1m,1.0,1.5,1.8,122.0,180.0,0.007,2m,2.5,1.5,1.9000000000000001,492.0,444.0,0.01,2m,3.0,2.0,0.9,776.0,406,0.002,3m,2.0,2.0,1.3,444,510.0,0.001,2m,4.0,1.0,0.5,488.0,784.0,0.007,1m,1.5,3.0,1.6,254.0,,,,,,,,314.0,0.002,1m,1.0,1.0,1.7000000000000002,258.0,0.5,9,COMPLETE
