,number,value,datetime_start,datetime_complete,duration,params_ADP_INTC_beta_win,params_ADP_INTC_stop_loss,params_ADP_INTC_trade_freq,params_ADP_INTC_z_entry,params_ADP_INTC_z_exit,params_ADP_INTC_z_stop_scaler,params_ADP_INTC_z_win,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ANSS_INTC_beta_win,params_ANSS_INTC_stop_loss,params_ANSS_INTC_trade_freq,params_ANSS_INTC_z_entry,params_ANSS_INTC_z_exit,params_ANSS_INTC_z_stop_scaler,params_ANSS_INTC_z_win,params_CDNS_INTC_beta_win,params_CDNS_INTC_stop_loss,params_CDNS_INTC_trade_freq,params_CDNS_INTC_z_entry,params_CDNS_INTC_z_exit,params_CDNS_INTC_z_stop_scaler,params_CDNS_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EXC_INTC_beta_win,params_EXC_INTC_stop_loss,params_EXC_INTC_trade_freq,params_EXC_INTC_z_entry,params_EXC_INTC_z_exit,params_EXC_INTC_z_stop_scaler,params_EXC_INTC_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
96,96,10.29477614321289,2025-06-15 00:38:36.483416,2025-06-15 00:38:37.067223,0 days 00:00:00.583807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,0.002,2m,1.0,2.5,1.1,312,0.05,1,COMPLETE
97,97,2.437620049086688,2025-06-15 00:38:37.120253,2025-06-15 00:38:37.750479,0 days 00:00:00.630226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,0.002,3m,1.0,2.5,1.3,348,0.05,1,COMPLETE
98,98,3.7617183714161,2025-06-15 00:38:37.816005,2025-06-15 00:38:38.541159,0 days 00:00:00.725154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,0.002,2m,1.0,2.0,1.1,296,0.05,1,COMPLETE
99,99,10.628960306950042,2025-06-15 00:38:38.635180,2025-06-15 00:38:39.328063,0 days 00:00:00.692883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,0.001,2m,1.0,2.5,1.2000000000000002,320,0.05,1,COMPLETE
100,100,7.923162179314595,2025-06-15 00:38:39.420577,2025-06-15 00:38:40.086268,0 days 00:00:00.665691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,0.001,2m,1.5,2.5,1.2000000000000002,314,0.05,1,COMPLETE
101,101,10.53932732325783,2025-06-15 00:38:40.144787,2025-06-15 00:38:40.849948,0 days 00:00:00.705161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0.002,2m,1.0,2.5,1.2000000000000002,338,0.05,1,COMPLETE
102,102,7.931383065014114,2025-06-15 00:38:40.944480,2025-06-15 00:38:41.609238,0 days 00:00:00.664758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0.001,2m,1.0,2.5,1.3,426,0.05,1,COMPLETE
103,103,11.269434302624257,2025-06-15 00:38:41.679763,2025-06-15 00:38:42.837607,0 days 00:00:01.157844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,0.003,2m,3.5,1.5,1.5,334.0,430,0.002,2m,1.0,2.0,1.2000000000000002,342,0.05,2,COMPLETE
104,104,5.9515868550789355,2025-06-15 00:38:42.905124,2025-06-15 00:38:43.614242,0 days 00:00:00.709118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0.002,2m,1.0,2.0,1.2000000000000002,360,0.05,1,COMPLETE
105,105,10.055898249805898,2025-06-15 00:38:43.669631,2025-06-15 00:38:44.943425,0 days 00:00:01.273794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.0,0.003,2m,3.5,1.5,1.5,308.0,416,0.002,2m,1.0,2.0,1.1,338,0.05,2,COMPLETE
106,106,10.247722446193752,2025-06-15 00:38:44.997937,2025-06-15 00:38:46.170747,0 days 00:00:01.172810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,0.003,2m,3.5,1.5,1.5,356.0,422,0.001,2m,1.0,2.0,1.2000000000000002,338,0.05,2,COMPLETE
107,107,8.58613068314602,2025-06-15 00:38:46.244255,2025-06-15 00:38:47.435506,0 days 00:00:01.191251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,0.003,2m,4.0,1.5,1.3,346.0,424,0.001,2m,1.0,2.0,1.2000000000000002,412,0.05,2,COMPLETE
108,108,6.21296070882299,2025-06-15 00:38:47.503021,2025-06-15 00:38:48.738774,0 days 00:00:01.235753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,0.003,2m,3.5,1.0,1.5,212.0,336,0.001,2m,1.0,2.0,1.1,354,0.05,2,COMPLETE
109,109,9.181955077126586,2025-06-15 00:38:48.811284,2025-06-15 00:38:50.073190,0 days 00:00:01.261906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.0,0.003,2m,3.5,1.5,1.5,308.0,426,0.002,2m,1.0,2.0,1.3,266,0.05,2,COMPLETE
110,110,4.67755133203385,2025-06-15 00:38:50.142212,2025-06-15 00:38:50.817377,0 days 00:00:00.675165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,0.001,2m,1.5,2.0,1.2000000000000002,302,0.05,1,COMPLETE
111,111,7.969262464571899,2025-06-15 00:38:50.877381,2025-06-15 00:38:51.952688,0 days 00:00:01.075307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,0.003,2m,3.5,1.5,1.4,16.0,468,0.002,2m,1.0,2.5,1.2000000000000002,234,0.1,2,COMPLETE
112,112,7.833954968708563,2025-06-15 00:38:52.015751,2025-06-15 00:38:53.491038,0 days 00:00:01.475287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,0.004,2m,4.0,1.5,1.6,412.0,386,0.002,2m,1.0,2.0,1.1,344,0.05,2,COMPLETE
113,113,8.844666050029298,2025-06-15 00:38:53.564037,2025-06-15 00:38:54.439483,0 days 00:00:00.875446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,0.002,2m,1.0,2.5,1.1,382,0.05,1,COMPLETE
114,114,-7.036303472098248,2025-06-15 00:38:54.528997,2025-06-15 00:38:55.635259,0 days 00:00:01.106262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,0.001,2m,1.0,2.5,1.4,332,0.1,1,COMPLETE
115,115,6.562346299173332,2025-06-15 00:38:55.727770,2025-06-15 00:38:57.724207,0 days 00:00:01.996437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,0.002,2m,3.5,1.0,1.6,234.0,372,0.002,2m,1.0,2.5,1.0,450,0.05,2,COMPLETE
116,116,3.5421825099395954,2025-06-15 00:38:57.820719,2025-06-15 00:38:58.883920,0 days 00:00:01.063201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,0.002,1m,1.0,2.0,1.2000000000000002,278,0.05,1,COMPLETE
117,117,8.445926486350974,2025-06-15 00:38:58.987940,2025-06-15 00:39:00.917789,0 days 00:00:01.929849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0,0.003,2m,3.5,1.5,1.4,334.0,514,0.001,2m,1.0,2.5,1.0,378,0.1,2,COMPLETE
118,118,-0.6531310890636556,2025-06-15 00:39:01.019311,2025-06-15 00:39:02.988704,0 days 00:00:01.969393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,0.002,2m,4.0,1.5,1.3,394.0,422,0.001,3m,1.0,1.5,1.3,312,0.05,2,COMPLETE
119,119,3.9513363540842326,2025-06-15 00:39:03.095222,2025-06-15 00:39:04.103409,0 days 00:00:01.008187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0.002,2m,1.0,2.0,1.1,410,0.1,1,COMPLETE
120,120,5.450513814873053,2025-06-15 00:39:04.199448,2025-06-15 00:39:04.860027,0 days 00:00:00.660579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0.003,2m,1.5,2.5,1.2000000000000002,254,0.05,1,COMPLETE
121,121,9.308421862391024,2025-06-15 00:39:04.912539,2025-06-15 00:39:05.597655,0 days 00:00:00.685116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.002,2m,1.0,2.5,1.1,328,0.05,1,COMPLETE
122,122,4.056193594662394,2025-06-15 00:39:05.671166,2025-06-15 00:39:06.337302,0 days 00:00:00.666136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,0.002,2m,1.0,2.5,1.1,438,0.05,1,COMPLETE
123,123,8.817568893876803,2025-06-15 00:39:06.403813,2025-06-15 00:39:07.068976,0 days 00:00:00.665163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,0.002,2m,1.0,2.5,1.0,366,0.05,1,COMPLETE
124,124,-1.0042404954176423,2025-06-15 00:39:07.132003,2025-06-15 00:39:08.382257,0 days 00:00:01.250254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,0.003,2m,3.5,1.0,1.5,240.0,470,0.003,4m,1.0,2.5,1.1,340,0.05,2,COMPLETE
125,125,10.406482717345327,2025-06-15 00:39:08.433771,2025-06-15 00:39:09.538214,0 days 00:00:01.104443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.0,0.004,2m,3.5,1.5,1.4,202.0,402,0.002,2m,1.0,2.0,1.0,290,0.1,2,COMPLETE
126,126,9.913290965670141,2025-06-15 00:39:09.604742,2025-06-15 00:39:10.844518,0 days 00:00:01.239776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,0.004,2m,3.5,1.5,1.4,160.0,406,0.002,2m,1.0,2.0,1.0,278,0.1,2,COMPLETE
127,127,0.042228881940426316,2025-06-15 00:39:10.920045,2025-06-15 00:39:12.130763,0 days 00:00:01.210718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.0,0.004,2m,3.5,1.5,1.4,190.0,288,0.001,2m,1.0,2.0,1.0,276,0.1,2,COMPLETE
128,128,7.997462642302778,2025-06-15 00:39:12.214272,2025-06-15 00:39:13.475504,0 days 00:00:01.261232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,0.005,2m,4.0,1.0,1.3,126.0,394,0.003,2m,1.0,2.0,1.0,186,0.1,2,COMPLETE
129,129,6.2465128566645145,2025-06-15 00:39:13.538019,2025-06-15 00:39:14.659025,0 days 00:00:01.121006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,0.004,2m,3.5,1.5,1.4,256.0,364,0.001,2m,1.0,2.0,0.9,292,0.1,2,COMPLETE
130,130,9.2873876516366,2025-06-15 00:39:14.732561,2025-06-15 00:39:16.007951,0 days 00:00:01.275390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,0.004,2m,4.0,1.5,1.1,176.0,418,0.002,2m,1.0,2.0,1.2000000000000002,230,0.1,2,COMPLETE
131,131,8.628156477916974,2025-06-15 00:39:16.065950,2025-06-15 00:39:17.354401,0 days 00:00:01.288451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,0.003,2m,3.5,1.5,1.5,306.0,440,0.002,2m,1.0,2.0,1.0,478,0.1,2,COMPLETE
132,132,8.18916594410922,2025-06-15 00:39:17.419912,2025-06-15 00:39:18.120064,0 days 00:00:00.700152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,0.002,2m,1.0,2.0,1.2000000000000002,312,0.05,1,COMPLETE
133,133,9.154158651200824,2025-06-15 00:39:18.183581,2025-06-15 00:39:18.780182,0 days 00:00:00.596601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,0.003,2m,1.0,1.5,1.3,278,0.1,1,COMPLETE
134,134,11.014511060860332,2025-06-15 00:39:18.856353,2025-06-15 00:39:20.094033,0 days 00:00:01.237680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.0,0.003,2m,3.5,1.5,1.6,128.0,448,0.002,2m,1.0,2.5,0.9,402,0.05,2,COMPLETE
135,135,6.486594768438316,2025-06-15 00:39:20.164556,2025-06-15 00:39:21.401969,0 days 00:00:01.237413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,0.003,2m,3.5,1.5,1.6,72.0,390,0.001,2m,1.0,2.0,1.0,246,0.05,2,COMPLETE
136,136,3.3124707290916944,2025-06-15 00:39:21.473969,2025-06-15 00:39:22.796010,0 days 00:00:01.322041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.004,2m,3.5,1.0,1.5,130.0,334,0.002,2m,1.0,2.5,0.9,300,0.05,2,COMPLETE
137,137,9.926654579332368,2025-06-15 00:39:22.859009,2025-06-15 00:39:23.452614,0 days 00:00:00.593605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0.003,2m,1.0,2.0,0.9,368,0.1,1,COMPLETE
138,138,9.477861942085271,2025-06-15 00:39:23.504126,2025-06-15 00:39:24.641129,0 days 00:00:01.137003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0,0.003,2m,4.0,1.5,1.6,72.0,430,0.003,2m,1.0,2.0,0.9,370,0.1,2,COMPLETE
139,139,-2.9691428929801726,2025-06-15 00:39:24.707639,2025-06-15 00:39:25.365269,0 days 00:00:00.657630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,0.003,1m,1.5,2.0,0.9,398,0.1,1,COMPLETE
140,140,8.54802727063325,2025-06-15 00:39:25.431783,2025-06-15 00:39:26.790075,0 days 00:00:01.358292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.0,0.004,2m,3.5,1.0,1.5,204.0,408,0.003,2m,1.0,1.5,0.8,402,0.1,2,COMPLETE
141,141,-3.5767037597482383,2025-06-15 00:39:26.864586,2025-06-15 00:39:27.510361,0 days 00:00:00.645775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.002,2m,1.0,2.5,1.1,342,0.05,1,COMPLETE
142,142,9.301206903355574,2025-06-15 00:39:27.565363,2025-06-15 00:39:28.149504,0 days 00:00:00.584141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,0.002,2m,1.0,2.0,1.0,322,0.05,1,COMPLETE
143,143,9.256906097595552,2025-06-15 00:39:28.216549,2025-06-15 00:39:28.877625,0 days 00:00:00.661076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0.001,2m,1.0,2.5,0.9,358,0.05,1,COMPLETE
144,144,9.785791927206095,2025-06-15 00:39:28.935144,2025-06-15 00:39:29.627321,0 days 00:00:00.692177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,0.002,2m,1.0,2.5,1.1,308,0.05,1,COMPLETE
145,145,8.723961556664223,2025-06-15 00:39:29.706353,2025-06-15 00:39:31.015051,0 days 00:00:01.308698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.0,0.005,2m,3.5,1.5,1.4,150.0,430,0.002,2m,1.0,2.0,1.0,266,0.1,2,COMPLETE
146,146,8.571106003339125,2025-06-15 00:39:31.080054,2025-06-15 00:39:31.705414,0 days 00:00:00.625360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,0.003,2m,1.0,2.0,1.2000000000000002,388,0.05,1,COMPLETE
147,147,-3.278943598222734,2025-06-15 00:39:31.773413,2025-06-15 00:39:32.840786,0 days 00:00:01.067373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,0.003,2m,4.0,1.5,1.3,100.0,508,0.002,4m,1.0,2.5,0.8,218,0.1,2,COMPLETE
148,148,-4.624183433563279,2025-06-15 00:39:32.920087,2025-06-15 00:39:33.573684,0 days 00:00:00.653597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,0.001,3m,1.0,2.5,0.9,966,0.05,1,COMPLETE
149,149,9.941520271138765,2025-06-15 00:39:33.634226,2025-06-15 00:39:34.894977,0 days 00:00:01.260751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.0,0.004,2m,3.5,1.5,1.2000000000000002,308.0,450,0.002,2m,1.0,2.0,1.3,332,0.05,2,COMPLETE
