,number,value,datetime_start,datetime_complete,duration,params_ADP_INTC_beta_win,params_ADP_INTC_stop_loss,params_ADP_INTC_trade_freq,params_ADP_INTC_z_entry,params_ADP_INTC_z_exit,params_ADP_INTC_z_stop_scaler,params_ADP_INTC_z_win,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ANSS_INTC_beta_win,params_ANSS_INTC_stop_loss,params_ANSS_INTC_trade_freq,params_ANSS_INTC_z_entry,params_ANSS_INTC_z_exit,params_ANSS_INTC_z_stop_scaler,params_ANSS_INTC_z_win,params_CDNS_INTC_beta_win,params_CDNS_INTC_stop_loss,params_CDNS_INTC_trade_freq,params_CDNS_INTC_z_entry,params_CDNS_INTC_z_exit,params_CDNS_INTC_z_stop_scaler,params_CDNS_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EXC_INTC_beta_win,params_EXC_INTC_stop_loss,params_EXC_INTC_trade_freq,params_EXC_INTC_z_entry,params_EXC_INTC_z_exit,params_EXC_INTC_z_stop_scaler,params_EXC_INTC_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
26,26,-0.9271361147599039,2025-06-15 00:35:37.407137,2025-06-15 00:35:41.956650,0 days 00:00:04.549513,34.0,0.006,3m,1.0,2.5,2.0,1006.0,722.0,0.005,4m,2.0,3.5,0.7,836.0,,,,,,,,208.0,0.004,3m,3.0,2.0,1.1,428.0,422.0,0.005,1m,2.0,1.5,1.5,682.0,24.0,0.01,3m,3.0,1.5,1.0,308.0,174.0,0.006,4m,3.5,3.5,0.5,318.0,942.0,0.005,2m,1.0,1.0,1.5,938.0,122.0,0.004,1m,2.0,1.0,1.4,814.0,680,0.007,2m,2.5,2.5,1.4,604,0.4,9,COMPLETE
27,27,2.2354638615387112,2025-06-15 00:35:42.022168,2025-06-15 00:35:46.139872,0 days 00:00:04.117704,72.0,0.009000000000000001,3m,1.0,2.5,1.4,756.0,850.0,0.002,4m,2.5,3.0,0.6,1006.0,,,,,,,,486.0,0.008,3m,3.5,2.0,1.5,636.0,700.0,0.008,4m,2.5,1.5,1.8,436.0,250.0,0.008,3m,2.5,2.0,0.6,298.0,264.0,0.005,4m,3.0,4.0,0.5,654.0,,,,,,,,254.0,0.006,1m,1.5,3.5,1.2000000000000002,692.0,556,0.01,4m,2.0,1.5,1.7000000000000002,550,0.4,8,COMPLETE
28,28,-4.284048971595417,2025-06-15 00:35:46.207877,2025-06-15 00:35:50.819606,0 days 00:00:04.611729,280.0,0.004,3m,3.0,2.0,1.6,1010.0,614.0,0.004,4m,1.5,4.0,0.9,778.0,,,,,,,,302.0,0.006,3m,3.5,3.0,1.1,288.0,502.0,0.004,3m,2.0,3.0,1.3,46.0,794.0,0.003,3m,4.0,1.0,1.4,352.0,874.0,0.007,4m,3.5,3.5,0.7,498.0,18.0,0.01,1m,1.0,4.0,0.5,42.0,102.0,0.004,3m,2.0,2.0,1.0,610.0,868,0.008,3m,1.5,2.0,1.2000000000000002,204,0.35000000000000003,9,COMPLETE
29,29,-5.623533715431879,2025-06-15 00:35:50.904118,2025-06-15 00:35:51.863762,0 days 00:00:00.959644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,0.002,4m,2.5,2.5,1.4,860.0,324,0.008,3m,2.5,1.5,1.4,830,0.5,2,COMPLETE
30,30,2.0666324207927538,2025-06-15 00:35:51.916768,2025-06-15 00:35:55.566224,0 days 00:00:03.649456,,,,,,,,712.0,0.002,4m,3.5,3.5,0.7,934.0,,,,,,,,132.0,0.001,3m,2.5,3.0,2.0,990.0,280.0,0.005,2m,1.5,1.0,1.1,588.0,446.0,0.008,3m,3.0,3.0,0.9,808.0,142.0,0.003,4m,3.5,4.0,0.9,246.0,,,,,,,,282.0,0.006,2m,1.0,1.0,1.2000000000000002,716.0,186,0.006,2m,2.0,2.5,1.9000000000000001,502,0.25,7,COMPLETE
31,31,2.1316006501276337,2025-06-15 00:35:55.654253,2025-06-15 00:35:59.669574,0 days 00:00:04.015321,18.0,0.009000000000000001,3m,1.0,3.0,1.0,724.0,862.0,0.002,4m,2.5,3.0,0.6,942.0,,,,,,,,468.0,0.008,3m,3.5,2.0,1.5,622.0,666.0,0.008,4m,2.5,1.5,1.9000000000000001,422.0,202.0,0.009000000000000001,3m,2.5,2.0,0.5,296.0,288.0,0.005,4m,3.0,4.0,0.5,684.0,,,,,,,,248.0,0.006,1m,1.5,3.5,1.2000000000000002,728.0,568,0.01,4m,2.0,1.5,1.7000000000000002,570,0.4,8,COMPLETE
32,32,1.2033700162139749,2025-06-15 00:35:59.755091,2025-06-15 00:36:05.003874,0 days 00:00:05.248783,176.0,0.008,3m,1.0,2.5,1.6,756.0,886.0,0.002,4m,2.5,3.5,0.6,978.0,982.0,0.001,1m,1.0,4.0,2.0,1006.0,578.0,0.009000000000000001,3m,3.5,2.0,1.5,788.0,686.0,0.008,4m,2.5,1.5,1.7000000000000002,530.0,30.0,0.008,3m,2.5,2.0,0.7,198.0,252.0,0.005,4m,3.0,3.5,0.6,566.0,416.0,0.001,1m,4.0,1.0,1.1,1016.0,210.0,0.005,1m,1.0,3.0,1.3,472.0,530,0.01,4m,1.0,2.0,1.6,566,0.4,10,COMPLETE
33,33,-0.8584443729500242,2025-06-15 00:36:05.083904,2025-06-15 00:36:09.223275,0 days 00:00:04.139371,198.0,0.005,3m,1.5,2.0,1.1,818.0,830.0,0.003,4m,2.0,2.0,1.0,850.0,,,,,,,,774.0,0.009000000000000001,3m,3.5,2.5,1.2000000000000002,576.0,562.0,0.007,4m,2.5,2.5,2.0,736.0,240.0,0.008,3m,2.0,1.5,1.0,408.0,328.0,0.006,4m,3.5,4.0,0.5,730.0,,,,,,,,78.0,0.006,1m,1.5,3.5,1.0,654.0,604,0.009000000000000001,4m,2.5,1.5,1.8,458,0.35000000000000003,8,COMPLETE
34,34,-2.5392288923695587,2025-06-15 00:36:09.315781,2025-06-15 00:36:14.015572,0 days 00:00:04.699791,424.0,0.008,4m,2.0,3.0,1.7000000000000002,560.0,694.0,0.004,4m,1.5,4.0,0.6,780.0,,,,,,,,340.0,0.01,3m,3.0,1.5,1.7000000000000002,488.0,856.0,0.01,4m,3.0,1.5,1.4,392.0,142.0,0.01,3m,3.5,2.0,0.7,478.0,94.0,0.005,1m,3.0,3.0,0.7,456.0,418.0,0.006,4m,2.5,2.0,2.0,40.0,296.0,0.003,3m,2.0,3.0,1.4,850.0,706,0.01,4m,1.5,2.0,1.3,360,0.5,9,COMPLETE
35,35,1.2810714277556987,2025-06-15 00:36:14.100261,2025-06-15 00:36:16.778584,0 days 00:00:02.678323,,,,,,,,498.0,0.002,4m,2.5,3.0,0.9,1024.0,,,,,,,,,,,,,,,712.0,0.002,2m,2.0,1.0,1.8,560.0,,,,,,,,454.0,0.004,4m,3.5,3.5,0.6,634.0,,,,,,,,140.0,0.005,1m,1.0,4.0,1.2000000000000002,946.0,370,0.009000000000000001,4m,2.0,1.0,1.9000000000000001,542,0.2,5,COMPLETE
36,36,4.65765686686365,2025-06-15 00:36:16.876095,2025-06-15 00:36:24.862536,0 days 00:00:07.986441,814.0,0.01,2m,1.5,2.0,1.3,924.0,666.0,0.003,2m,3.5,2.5,0.7,506.0,,,,,,,,106.0,0.007,4m,4.0,2.0,0.7,804.0,582.0,0.004,4m,2.5,2.5,1.7000000000000002,482.0,368.0,0.007,4m,3.5,3.0,1.1,170.0,216.0,0.01,4m,2.0,4.0,1.0,828.0,990.0,0.006,3m,3.0,3.0,1.1,662.0,40.0,0.004,1m,1.5,2.5,1.7000000000000002,646.0,440,0.007,4m,2.5,4.0,1.7000000000000002,638,0.3,9,COMPLETE
37,37,4.294247279130498,2025-06-15 00:36:24.974046,2025-06-15 00:36:31.527657,0 days 00:00:06.553611,856.0,0.002,2m,1.5,1.5,0.9,1004.0,96.0,0.006,2m,3.5,2.0,0.9,342.0,16.0,0.01,2m,2.5,3.5,1.9000000000000001,20.0,138.0,0.007,4m,4.0,2.5,0.7,850.0,478.0,0.004,1m,1.5,2.5,1.6,734.0,534.0,0.004,4m,3.5,3.5,1.1,152.0,662.0,0.002,2m,2.0,3.5,1.3,932.0,1018.0,0.006,3m,3.0,3.0,1.1,684.0,38.0,0.004,4m,3.5,2.5,1.8,284.0,438,0.007,1m,2.5,4.0,2.0,746,0.15000000000000002,10,COMPLETE
