,number,value,datetime_start,datetime_complete,duration,params_AMAT_BIIB_beta_win,params_AMAT_BIIB_stop_loss,params_AMAT_BIIB_trade_freq,params_AMAT_BIIB_z_entry,params_AMAT_BIIB_z_exit,params_AMAT_BIIB_z_stop_scaler,params_AMAT_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ATVI_BIIB_beta_win,params_ATVI_BIIB_stop_loss,params_ATVI_BIIB_trade_freq,params_ATVI_BIIB_z_entry,params_ATVI_BIIB_z_exit,params_ATVI_BIIB_z_stop_scaler,params_ATVI_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_TMUS_beta_win,params_JD_TMUS_stop_loss,params_JD_TMUS_trade_freq,params_JD_TMUS_z_entry,params_JD_TMUS_z_exit,params_JD_TMUS_z_stop_scaler,params_JD_TMUS_z_win,params_PEP_TMUS_beta_win,params_PEP_TMUS_stop_loss,params_PEP_TMUS_trade_freq,params_PEP_TMUS_z_entry,params_PEP_TMUS_z_exit,params_PEP_TMUS_z_stop_scaler,params_PEP_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
111,111,2.116808733457738,2025-06-15 00:21:53.013992,2025-06-15 00:21:53.655135,0 days 00:00:00.641143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,0.006,1m,2.0,1.5,0.5,640,,,,,,,,0.2,1,COMPLETE
112,112,7.480697441113361,2025-06-15 00:21:53.707138,2025-06-15 00:21:54.417554,0 days 00:00:00.710416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,0.006,1m,3.5,2.0,0.5,616,,,,,,,,0.05,1,COMPLETE
113,113,3.5005599675342545,2025-06-15 00:21:54.484067,2025-06-15 00:21:55.146936,0 days 00:00:00.662869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,0.005,1m,3.0,1.0,0.6,708,,,,,,,,0.25,1,COMPLETE
114,114,9.68923830968733,2025-06-15 00:21:55.215937,2025-06-15 00:21:55.933722,0 days 00:00:00.717785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0.006,1m,4.0,1.5,2.0,798,,,,,,,,0.2,1,COMPLETE
115,115,1.987466733790024,2025-06-15 00:21:56.005725,2025-06-15 00:21:59.187723,0 days 00:00:03.181998,,,,,,,,974.0,0.002,1m,3.0,2.0,1.3,836.0,,,,,,,,212.0,0.003,4m,1.0,3.0,1.1,54.0,,,,,,,,452.0,0.005,4m,1.0,2.5,1.5,560.0,684.0,0.004,1m,2.5,4.0,0.5,702.0,832.0,0.002,3m,2.0,2.5,1.0,160.0,488,0.007,1m,3.0,1.5,2.0,878,,,,,,,,0.2,6,COMPLETE
116,116,8.69298843478337,2025-06-15 00:21:59.257245,2025-06-15 00:21:59.933286,0 days 00:00:00.676041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,0.006,1m,3.5,1.0,1.9000000000000001,792,,,,,,,,0.15000000000000002,1,COMPLETE
117,117,6.474308531890201,2025-06-15 00:21:59.985683,2025-06-15 00:22:00.716510,0 days 00:00:00.730827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,0.006,1m,3.5,1.0,1.9000000000000001,796,,,,,,,,0.15000000000000002,1,COMPLETE
118,118,2.1812198847769526,2025-06-15 00:22:00.783026,2025-06-15 00:22:01.942517,0 days 00:00:01.159491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.002,1m,1.5,3.5,1.6,488.0,,,,,,,,,,,,,,,352,0.005,1m,3.5,1.0,1.9000000000000001,808,,,,,,,,0.15000000000000002,2,COMPLETE
119,119,4.342141003193851,2025-06-15 00:22:02.010518,2025-06-15 00:22:02.709679,0 days 00:00:00.699161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0.006,1m,3.5,1.0,1.8,834,,,,,,,,0.1,1,COMPLETE
120,120,3.3206188109557253,2025-06-15 00:22:02.792209,2025-06-15 00:22:03.408248,0 days 00:00:00.616039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0.006,2m,3.0,1.0,2.0,968,,,,,,,,0.15000000000000002,1,COMPLETE
121,121,2.7794650745989915,2025-06-15 00:22:03.473761,2025-06-15 00:22:04.190894,0 days 00:00:00.717133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,0.007,1m,4.0,1.5,2.0,756,,,,,,,,0.2,1,COMPLETE
122,122,6.856504201784396,2025-06-15 00:22:04.268426,2025-06-15 00:22:05.013141,0 days 00:00:00.744715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,0.006,1m,3.5,1.0,1.9000000000000001,772,,,,,,,,0.2,1,COMPLETE
123,123,9.671885033448504,2025-06-15 00:22:05.090661,2025-06-15 00:22:05.761918,0 days 00:00:00.671257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,0.008,1m,3.0,1.0,2.0,732,,,,,,,,0.1,1,COMPLETE
124,124,8.128789083137304,2025-06-15 00:22:05.826442,2025-06-15 00:22:06.545092,0 days 00:00:00.718650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0.005,1m,3.0,1.0,2.0,734,,,,,,,,0.05,1,COMPLETE
125,125,8.776425276557212,2025-06-15 00:22:06.616093,2025-06-15 00:22:07.488998,0 days 00:00:00.872905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,0.006,1m,3.0,1.0,1.9000000000000001,846,,,,,,,,0.1,1,COMPLETE
126,126,8.882027045103355,2025-06-15 00:22:07.555515,2025-06-15 00:22:08.177933,0 days 00:00:00.622418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.006,1m,3.0,1.0,1.8,850,,,,,,,,0.1,1,COMPLETE
127,127,7.059021592854151,2025-06-15 00:22:08.246976,2025-06-15 00:22:09.461736,0 days 00:00:01.214760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,0.007,2m,2.5,1.5,0.5,738.0,,,,,,,,,,,,,,,232,0.006,1m,3.0,1.0,1.8,848,,,,,,,,0.1,2,COMPLETE
128,128,5.162750898570381,2025-06-15 00:22:09.535741,2025-06-15 00:22:10.253389,0 days 00:00:00.717648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,0.006,1m,3.0,1.0,1.7000000000000002,898,,,,,,,,0.1,1,COMPLETE
129,129,5.322687272305565,2025-06-15 00:22:10.312912,2025-06-15 00:22:11.163102,0 days 00:00:00.850190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,0.005,1m,2.5,1.0,1.8,926,,,,,,,,0.1,1,COMPLETE
130,130,8.66399393733375,2025-06-15 00:22:11.225109,2025-06-15 00:22:12.407911,0 days 00:00:01.182802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,0.009000000000000001,4m,3.0,2.0,1.8,22.0,,,,,,,,,,,,,,,464,0.006,1m,3.5,1.0,1.1,796,,,,,,,,0.1,2,COMPLETE
131,131,4.847365252354107,2025-06-15 00:22:12.464417,2025-06-15 00:22:14.307673,0 days 00:00:01.843256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.009000000000000001,4m,3.0,2.0,1.8,30.0,,,,,,,,938.0,0.01,4m,3.0,3.5,2.0,404.0,468,0.006,1m,3.5,1.0,1.1,818,,,,,,,,0.1,3,COMPLETE
132,132,7.617723614992744,2025-06-15 00:22:14.377183,2025-06-15 00:22:15.623920,0 days 00:00:01.246737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,0.01,4m,4.0,1.0,2.0,94.0,,,,,,,,,,,,,,,442,0.006,1m,3.5,1.0,1.2000000000000002,870,,,,,,,,0.05,2,COMPLETE
133,133,7.434263488800696,2025-06-15 00:22:15.695432,2025-06-15 00:22:16.393074,0 days 00:00:00.697642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,0.006,1m,3.5,1.0,1.9000000000000001,790,,,,,,,,0.1,1,COMPLETE
134,134,9.283946992978148,2025-06-15 00:22:16.457584,2025-06-15 00:22:17.199695,0 days 00:00:00.742111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,0.005,1m,3.0,1.0,1.0,836,,,,,,,,0.1,1,COMPLETE
135,135,5.6591990126719445,2025-06-15 00:22:17.261209,2025-06-15 00:22:18.014844,0 days 00:00:00.753635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,0.005,1m,3.0,1.0,0.9,842,,,,,,,,0.1,1,COMPLETE
136,136,9.56031058291874,2025-06-15 00:22:18.080362,2025-06-15 00:22:18.803551,0 days 00:00:00.723189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,0.005,1m,3.5,1.0,0.8,890,,,,,,,,0.1,1,COMPLETE
137,137,-5.087297455802971,2025-06-15 00:22:18.871576,2025-06-15 00:22:20.643165,0 days 00:00:01.771589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,0.008,4m,3.5,2.5,1.7000000000000002,174.0,,,,,,,,426.0,0.007,2m,1.5,3.0,1.2000000000000002,928.0,448,0.005,3m,3.5,1.0,1.0,858,,,,,,,,0.1,3,COMPLETE
138,138,-5.285715207406056,2025-06-15 00:22:20.712169,2025-06-15 00:22:21.983385,0 days 00:00:01.271216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,0.01,4m,3.0,1.5,1.4,54.0,,,,,,,,,,,,,,,340,0.004,4m,3.5,1.0,0.9,892,,,,,,,,0.1,2,COMPLETE
139,139,-3.2060593663972443,2025-06-15 00:22:22.053905,2025-06-15 00:22:22.803048,0 days 00:00:00.749143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,0.005,1m,3.5,1.0,1.1,940,,,,,,,,0.05,1,COMPLETE
140,140,9.42808435937753,2025-06-15 00:22:22.880065,2025-06-15 00:22:24.164817,0 days 00:00:01.284752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,0.009000000000000001,4m,3.5,2.0,1.6,344.0,,,,,,,,,,,,,,,466,0.005,1m,3.5,1.0,1.1,816,,,,,,,,0.1,2,COMPLETE
141,141,12.38534871067366,2025-06-15 00:22:24.224816,2025-06-15 00:22:25.473950,0 days 00:00:01.249134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,0.009000000000000001,4m,3.5,2.0,1.6,234.0,,,,,,,,,,,,,,,440,0.005,1m,3.5,1.0,1.1,804,,,,,,,,0.1,2,COMPLETE
142,142,12.169298830800626,2025-06-15 00:22:25.531956,2025-06-15 00:22:26.793689,0 days 00:00:01.261733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,0.009000000000000001,4m,3.5,2.0,1.6,232.0,,,,,,,,,,,,,,,468,0.005,1m,3.5,1.0,1.2000000000000002,812,,,,,,,,0.1,2,COMPLETE
143,143,8.620028656196762,2025-06-15 00:22:26.882711,2025-06-15 00:22:31.968725,0 days 00:00:05.086014,92.0,0.003,4m,1.0,3.0,1.4,714.0,864.0,0.007,2m,3.5,1.5,1.7000000000000002,386.0,,,,,,,,492.0,0.008,1m,2.0,1.5,0.7,854.0,462.0,0.001,1m,4.0,1.0,1.2000000000000002,1020.0,246.0,0.009000000000000001,4m,3.5,1.5,1.6,222.0,486.0,0.006,3m,3.5,1.5,1.8,880.0,330.0,0.009000000000000001,1m,2.5,3.5,1.8,854.0,438,0.004,1m,3.5,1.0,1.2000000000000002,820,384.0,0.008,3m,4.0,3.5,0.5,820.0,0.1,9,COMPLETE
144,144,7.304649793509128,2025-06-15 00:22:32.068248,2025-06-15 00:22:33.408059,0 days 00:00:01.339811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0,0.008,4m,3.5,2.0,1.5,278.0,,,,,,,,,,,,,,,420,0.005,1m,3.5,1.0,1.2000000000000002,880,,,,,,,,0.1,2,COMPLETE
145,145,9.155672272887665,2025-06-15 00:22:33.464570,2025-06-15 00:22:34.170704,0 days 00:00:00.706134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,0.005,1m,3.5,1.0,1.1,842,,,,,,,,0.05,1,COMPLETE
146,146,8.52114407670234,2025-06-15 00:22:34.231706,2025-06-15 00:22:35.048004,0 days 00:00:00.816298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,0.005,1m,3.5,1.0,1.0,860,,,,,,,,0.05,1,COMPLETE
147,147,9.732866229710323,2025-06-15 00:22:35.112008,2025-06-15 00:22:35.809676,0 days 00:00:00.697668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,0.005,1m,3.5,1.0,1.1,844,,,,,,,,0.05,1,COMPLETE
148,148,8.793460198974545,2025-06-15 00:22:35.875702,2025-06-15 00:22:37.165209,0 days 00:00:01.289507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,0.01,4m,3.5,2.0,1.6,332.0,,,,,,,,,,,,,,,476,0.005,1m,3.5,1.0,1.1,908,,,,,,,,0.05,2,COMPLETE
149,149,6.9746421202492135,2025-06-15 00:22:37.247227,2025-06-15 00:22:38.983717,0 days 00:00:01.736490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.01,4m,3.5,2.0,1.6,338.0,,,,,,,,750.0,0.008,3m,2.5,3.0,0.6,322.0,498,0.005,1m,3.5,1.0,1.1,970,,,,,,,,0.05,3,COMPLETE
