,number,value,datetime_start,datetime_complete,duration,params_AMAT_BIIB_beta_win,params_AMAT_BIIB_stop_loss,params_AMAT_BIIB_trade_freq,params_AMAT_BIIB_z_entry,params_AMAT_BIIB_z_exit,params_AMAT_BIIB_z_stop_scaler,params_AMAT_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ATVI_BIIB_beta_win,params_ATVI_BIIB_stop_loss,params_ATVI_BIIB_trade_freq,params_ATVI_BIIB_z_entry,params_ATVI_BIIB_z_exit,params_ATVI_BIIB_z_stop_scaler,params_ATVI_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_TMUS_beta_win,params_JD_TMUS_stop_loss,params_JD_TMUS_trade_freq,params_JD_TMUS_z_entry,params_JD_TMUS_z_exit,params_JD_TMUS_z_stop_scaler,params_JD_TMUS_z_win,params_PEP_TMUS_beta_win,params_PEP_TMUS_stop_loss,params_PEP_TMUS_trade_freq,params_PEP_TMUS_z_entry,params_PEP_TMUS_z_exit,params_PEP_TMUS_z_stop_scaler,params_PEP_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.5985253404740216,2025-06-15 00:19:44.249459,2025-06-15 00:19:47.440335,0 days 00:00:03.190876,,,,,,,,642.0,0.01,1m,1.0,3.0,2.0,640.0,,,,,,,,668.0,0.001,2m,4.0,2.0,0.6,72.0,,,,,,,,36.0,0.002,4m,3.0,1.5,0.5,200.0,340.0,0.003,4m,3.5,1.0,0.6,748.0,224.0,0.001,1m,3.5,4.0,1.6,236.0,634,0.003,1m,2.5,3.0,1.0,608,,,,,,,,0.5,6,COMPLETE
21,21,6.711510037347254,2025-06-15 00:19:47.513772,2025-06-15 00:19:48.264491,0 days 00:00:00.750719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,0.006,1m,3.0,1.0,0.5,966,,,,,,,,0.35000000000000003,1,COMPLETE
22,22,-2.1442883358880587,2025-06-15 00:19:48.331001,2025-06-15 00:19:49.075633,0 days 00:00:00.744632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,0.007,1m,3.5,1.5,0.7,924,,,,,,,,0.4,1,COMPLETE
23,23,-0.7597005944287174,2025-06-15 00:19:49.139639,2025-06-15 00:19:50.244768,0 days 00:00:01.105129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.006,1m,1.5,3.5,0.9,418.0,,,,,,,,,,,,,,,580,0.006,1m,3.0,1.0,0.6,796,,,,,,,,0.3,2,COMPLETE
24,24,-1.3527642957597914,2025-06-15 00:19:50.304793,2025-06-15 00:19:51.064969,0 days 00:00:00.760176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.005,1m,2.5,2.0,0.5,1024,,,,,,,,0.35000000000000003,1,COMPLETE
25,25,2.5466296140518345,2025-06-15 00:19:51.143479,2025-06-15 00:19:53.272662,0 days 00:00:02.129183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.003,4m,3.0,2.0,2.0,694.0,762.0,0.008,3m,2.0,2.5,1.0,28.0,374.0,0.01,4m,1.0,1.0,0.5,1000.0,472,0.007,1m,3.5,1.5,0.9,950,,,,,,,,0.45,4,COMPLETE
26,26,5.723291171779535,2025-06-15 00:19:53.339175,2025-06-15 00:19:55.134404,0 days 00:00:01.795229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,0.008,3m,2.0,1.5,1.3,312.0,,,,,,,,732.0,0.004,3m,2.0,4.0,0.9,686.0,866,0.006,3m,3.0,1.0,0.6,776,,,,,,,,0.4,3,COMPLETE
27,27,3.341841377224094,2025-06-15 00:19:55.202918,2025-06-15 00:19:56.341277,0 days 00:00:01.138359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,0.004,2m,1.0,3.5,1.0,478.0,,,,,,,,,,,,,,,698,0.008,2m,2.5,1.5,0.8,442,,,,,,,,0.25,2,COMPLETE
28,28,4.7950026073935526,2025-06-15 00:19:56.404794,2025-06-15 00:20:05.778653,0 days 00:00:09.373859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,0.01,4m,3.0,1.0,1.5,908,,,,,,,,0.3,1,COMPLETE
29,29,3.464347886057446,2025-06-15 00:20:05.860166,2025-06-15 00:20:07.463980,0 days 00:00:01.603814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,0.006,4m,4.0,1.0,0.6,124.0,,,,,,,,232.0,0.005,2m,3.0,2.5,1.5,208.0,380,0.003,3m,3.5,2.0,0.6,150,,,,,,,,0.5,3,COMPLETE
