,number,value,datetime_start,datetime_complete,duration,params_ADP_BIIB_beta_win,params_ADP_BIIB_stop_loss,params_ADP_BIIB_trade_freq,params_ADP_BIIB_z_entry,params_ADP_BIIB_z_exit,params_ADP_BIIB_z_stop_scaler,params_ADP_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_stop_loss,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_stop_scaler,params_BIDU_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
81,81,1.217705846225971,2025-06-15 00:13:36.992583,2025-06-15 00:13:42.719649,0 days 00:00:05.727066,364.0,0.008,3m,3.5,2.0,1.4,192.0,1022.0,0.008,1m,2.5,1.0,0.6,1022.0,800.0,0.004,4m,4.0,1.0,2.0,866.0,90.0,0.007,2m,2.0,3.5,1.7000000000000002,284.0,746.0,0.002,3m,1.0,3.0,0.9,458.0,,,,,,,,226.0,0.008,2m,1.5,3.5,0.8,18.0,800.0,0.008,4m,1.5,1.5,1.2000000000000002,868.0,640.0,0.002,4m,3.5,2.0,1.0,908.0,758,0.009000000000000001,3m,1.5,4.0,1.3,852,0.3,9,COMPLETE
82,82,-1.2233009677125033,2025-06-15 00:13:42.829535,2025-06-15 00:13:48.572639,0 days 00:00:05.743104,208.0,0.006,2m,3.5,3.0,1.5,512.0,1020.0,0.008,1m,2.5,1.0,0.6,998.0,834.0,0.004,4m,4.0,1.0,1.9000000000000001,898.0,136.0,0.008,2m,2.0,3.0,1.8,256.0,414.0,0.003,3m,1.0,2.5,1.7000000000000002,200.0,,,,,,,,572.0,0.008,2m,1.5,2.0,1.4,164.0,902.0,0.009000000000000001,4m,3.0,1.0,1.1,922.0,620.0,0.002,4m,4.0,2.0,1.1,808.0,886,0.009000000000000001,3m,1.5,4.0,1.3,794,0.3,9,COMPLETE
83,83,4.483334324611336,2025-06-15 00:13:48.692581,2025-06-15 00:13:54.158498,0 days 00:00:05.465917,718.0,0.004,3m,3.0,2.0,1.0,656.0,950.0,0.009000000000000001,4m,2.0,1.5,0.6,108.0,992.0,0.005,4m,4.0,1.0,2.0,838.0,22.0,0.005,2m,2.5,3.5,1.5,484.0,902.0,0.004,3m,1.5,3.5,0.7,580.0,,,,,,,,214.0,0.009000000000000001,2m,1.5,3.5,1.7000000000000002,26.0,824.0,0.007,4m,2.0,1.5,1.3,778.0,698.0,0.005,4m,3.5,1.5,0.8,464.0,728,0.01,3m,1.5,4.0,1.4,828,0.25,9,COMPLETE
84,84,5.5696645282376265,2025-06-15 00:13:54.266528,2025-06-15 00:13:56.421463,0 days 00:00:02.154935,,,,,,,,916.0,0.01,1m,3.0,1.0,0.5,990.0,912.0,0.004,4m,4.0,1.0,1.9000000000000001,878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,0.01,3m,1.5,4.0,1.4,750,0.3,3,COMPLETE
85,85,0.7884241592724901,2025-06-15 00:13:56.541707,2025-06-15 00:13:59.297644,0 days 00:00:02.755937,,,,,,,,902.0,0.01,1m,3.0,1.0,0.5,912.0,880.0,0.003,3m,3.5,1.0,1.9000000000000001,728.0,454.0,0.004,3m,1.0,2.5,1.2000000000000002,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,0.01,3m,1.5,4.0,1.4,888,0.25,4,COMPLETE
86,86,2.0779001693587,2025-06-15 00:13:59.387338,2025-06-15 00:14:01.209172,0 days 00:00:01.821834,,,,,,,,868.0,0.01,1m,3.0,1.5,0.5,946.0,244.0,0.004,4m,4.0,1.5,1.9000000000000001,968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,0.01,3m,4.0,4.0,1.5,740,0.35000000000000003,3,COMPLETE
87,87,0.36269541238729935,2025-06-15 00:14:01.311954,2025-06-15 00:14:02.758793,0 days 00:00:01.446839,,,,,,,,,,,,,,,922.0,0.001,3m,4.0,1.0,1.8,794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,0.01,3m,1.0,3.5,1.6,920,0.3,2,COMPLETE
88,88,4.629272599478983,2025-06-15 00:14:02.837641,2025-06-15 00:14:04.973484,0 days 00:00:02.135843,,,,,,,,982.0,0.01,1m,2.0,1.0,0.7,812.0,132.0,0.003,3m,3.5,1.0,1.7000000000000002,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,0.008,2m,2.0,4.0,1.2000000000000002,790,0.2,3,COMPLETE
89,89,1.340811358042767,2025-06-15 00:14:05.066232,2025-06-15 00:14:06.426643,0 days 00:00:01.360411,,,,,,,,,,,,,,,780.0,0.002,4m,4.0,1.5,1.9000000000000001,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,0.01,3m,1.5,3.5,1.4,990,0.25,2,COMPLETE
90,90,-3.644992467383726,2025-06-15 00:14:06.468966,2025-06-15 00:14:08.882464,0 days 00:00:02.413498,,,,,,,,922.0,0.009000000000000001,3m,2.5,1.5,0.8,988.0,830.0,0.004,1m,2.5,1.0,0.8,816.0,410.0,0.003,1m,3.0,4.0,0.7,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,0.009000000000000001,3m,1.5,4.0,1.5,960,0.3,4,COMPLETE
91,91,5.927000610420209,2025-06-15 00:14:08.972873,2025-06-15 00:14:11.048973,0 days 00:00:02.076100,,,,,,,,1024.0,0.009000000000000001,1m,2.5,1.0,0.6,996.0,966.0,0.004,4m,4.0,1.0,2.0,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,0.01,3m,1.5,4.0,1.3,856,0.3,3,COMPLETE
92,92,5.944400764837872,2025-06-15 00:14:11.168183,2025-06-15 00:14:13.260702,0 days 00:00:02.092519,,,,,,,,948.0,0.009000000000000001,1m,2.5,1.0,0.5,994.0,960.0,0.005,4m,4.0,1.0,1.9000000000000001,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.01,3m,1.5,4.0,1.3,854,0.3,3,COMPLETE
93,93,5.875876280275917,2025-06-15 00:14:13.339230,2025-06-15 00:14:15.254151,0 days 00:00:01.914921,,,,,,,,948.0,0.009000000000000001,1m,2.5,1.0,0.5,994.0,956.0,0.005,4m,4.0,1.0,1.8,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.01,3m,1.5,4.0,1.3,764,0.3,3,COMPLETE
94,94,5.245463303435766,2025-06-15 00:14:15.344036,2025-06-15 00:14:17.453511,0 days 00:00:02.109475,,,,,,,,944.0,0.009000000000000001,1m,2.5,1.0,0.5,966.0,1012.0,0.005,4m,4.0,1.0,1.8,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,0.01,3m,1.5,4.0,1.3,850,0.3,3,COMPLETE
95,95,5.319443086100663,2025-06-15 00:14:17.531579,2025-06-15 00:14:19.517284,0 days 00:00:01.985705,,,,,,,,1000.0,0.009000000000000001,1m,2.5,1.0,0.5,996.0,962.0,0.006,3m,4.0,1.0,1.8,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,0.009000000000000001,4m,2.0,4.0,1.2000000000000002,892,0.25,3,COMPLETE
96,96,0.536381005828369,2025-06-15 00:14:19.599579,2025-06-15 00:14:20.959965,0 days 00:00:01.360386,,,,,,,,,,,,,,,880.0,0.005,2m,4.0,1.0,1.7000000000000002,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,0.01,3m,1.0,4.0,1.1,810,0.3,2,COMPLETE
97,97,3.6322199566298723,2025-06-15 00:14:21.062952,2025-06-15 00:14:23.883966,0 days 00:00:02.821014,,,,,,,,950.0,0.008,1m,2.5,1.0,0.7,574.0,952.0,0.006,4m,4.0,1.0,1.6,776.0,568.0,0.002,3m,3.5,1.5,0.6,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,0.001,3m,1.5,3.5,1.3,942,0.25,4,COMPLETE
98,98,3.798944170320945,2025-06-15 00:14:23.965374,2025-06-15 00:14:25.950453,0 days 00:00:01.985079,,,,,,,,842.0,0.009000000000000001,1m,2.5,1.0,1.0,922.0,922.0,0.005,3m,3.5,1.0,1.7000000000000002,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,0.009000000000000001,3m,1.5,4.0,1.2000000000000002,768,0.3,3,COMPLETE
99,99,0.35713956265335933,2025-06-15 00:14:26.031779,2025-06-15 00:14:27.459848,0 days 00:00:01.428069,,,,,,,,,,,,,,,1018.0,0.004,4m,4.0,1.0,1.9000000000000001,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,0.01,3m,1.5,4.0,1.3,924,0.2,2,COMPLETE
100,100,-0.19393601996099963,2025-06-15 00:14:27.541217,2025-06-15 00:14:29.602788,0 days 00:00:02.061571,,,,,,,,882.0,0.008,4m,2.5,1.0,0.6,964.0,970.0,0.005,3m,4.0,1.0,1.8,726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,0.009000000000000001,3m,2.0,4.0,1.3,836,0.25,3,COMPLETE
101,101,5.696386394186528,2025-06-15 00:14:29.682788,2025-06-15 00:14:31.770923,0 days 00:00:02.088135,,,,,,,,916.0,0.01,1m,3.0,1.0,0.5,996.0,906.0,0.004,4m,4.0,1.0,1.9000000000000001,836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,0.01,3m,1.5,4.0,1.4,622,0.3,3,COMPLETE
102,102,-3.529017595655438,2025-06-15 00:14:31.837221,2025-06-15 00:14:33.636605,0 days 00:00:01.799384,,,,,,,,992.0,0.009000000000000001,1m,2.5,1.0,0.5,998.0,878.0,0.004,4m,1.0,1.0,1.9000000000000001,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,0.01,3m,1.5,4.0,1.4,540,0.3,3,COMPLETE
103,103,5.439887380248402,2025-06-15 00:14:33.726181,2025-06-15 00:14:36.487370,0 days 00:00:02.761189,,,,,,,,964.0,0.009000000000000001,1m,2.5,1.0,0.6,1006.0,936.0,0.004,4m,4.0,1.0,1.8,750.0,672.0,0.001,1m,4.0,2.5,0.9,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,0.01,3m,1.5,4.0,1.2000000000000002,708,0.3,4,COMPLETE
104,104,6.1760814925612655,2025-06-15 00:14:36.565586,2025-06-15 00:14:38.705068,0 days 00:00:02.139482,,,,,,,,998.0,0.01,1m,2.5,1.0,0.5,968.0,814.0,0.005,4m,4.0,1.0,1.9000000000000001,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.01,3m,1.5,4.0,1.4,636,0.25,3,COMPLETE
105,105,5.786466017189357,2025-06-15 00:14:38.777112,2025-06-15 00:14:40.520656,0 days 00:00:01.743544,,,,,,,,998.0,0.01,1m,3.0,1.0,0.5,964.0,814.0,0.005,4m,4.0,1.0,2.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,0.01,3m,1.5,4.0,1.4,644,0.25,3,COMPLETE
106,106,0.3174220333921169,2025-06-15 00:14:40.599462,2025-06-15 00:14:41.977305,0 days 00:00:01.377843,,,,,,,,,,,,,,,740.0,0.006,4m,4.0,1.0,2.0,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,0.01,3m,1.5,4.0,1.3,566,0.25,2,COMPLETE
107,107,1.5472276333652104,2025-06-15 00:14:42.076782,2025-06-15 00:14:44.172148,0 days 00:00:02.095366,,,,,,,,1024.0,0.01,1m,2.5,1.0,0.6,880.0,708.0,0.005,4m,4.0,1.0,2.0,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,0.008,2m,1.0,4.0,1.4,498,0.2,3,COMPLETE
108,108,2.2918408960588694,2025-06-15 00:14:44.257687,2025-06-15 00:14:46.807077,0 days 00:00:02.549390,,,,,,,,998.0,0.01,3m,2.5,2.0,0.7,1024.0,822.0,0.006,4m,4.0,1.5,2.0,704.0,500.0,0.009000000000000001,3m,3.5,1.0,0.8,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,0.003,3m,3.0,1.5,1.4,624,0.25,4,COMPLETE
109,109,3.613778085647525,2025-06-15 00:14:46.873660,2025-06-15 00:14:49.619305,0 days 00:00:02.745645,,,,,,,,942.0,0.009000000000000001,1m,3.0,1.5,0.6,962.0,844.0,0.005,4m,3.5,1.0,1.9000000000000001,770.0,272.0,0.008,3m,1.0,2.0,1.3,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,0.009000000000000001,3m,1.5,3.5,1.3,718,0.25,4,COMPLETE
110,110,1.0692957421687987,2025-06-15 00:14:49.703262,2025-06-15 00:14:51.271883,0 days 00:00:01.568621,,,,,,,,,,,,,,,768.0,0.005,3m,4.0,1.0,2.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0.01,3m,2.0,1.0,1.5,674,0.25,2,COMPLETE
111,111,2.5683292317798703,2025-06-15 00:14:51.369786,2025-06-15 00:14:53.282815,0 days 00:00:01.913029,,,,,,,,994.0,0.01,1m,3.0,1.0,0.5,978.0,904.0,0.004,4m,4.0,1.0,1.9000000000000001,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,0.01,3m,1.5,4.0,1.4,656,0.3,3,COMPLETE
112,112,5.101644296645256,2025-06-15 00:14:53.365452,2025-06-15 00:14:55.287308,0 days 00:00:01.921856,,,,,,,,912.0,0.01,1m,3.0,1.0,0.5,930.0,622.0,0.004,4m,4.0,1.0,1.9000000000000001,802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.01,3m,1.5,4.0,1.5,636,0.25,3,COMPLETE
113,113,6.477415857024928,2025-06-15 00:14:55.379448,2025-06-15 00:14:57.563031,0 days 00:00:02.183583,,,,,,,,966.0,0.01,1m,2.5,1.0,0.5,1000.0,796.0,0.005,4m,4.0,1.0,1.8,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.01,3m,1.5,4.0,1.4,594,0.3,3,COMPLETE
114,114,6.802487992078422,2025-06-15 00:14:57.642054,2025-06-15 00:14:59.711401,0 days 00:00:02.069347,,,,,,,,962.0,0.009000000000000001,1m,2.5,1.0,0.5,952.0,798.0,0.005,4m,4.0,1.0,1.8,868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,0.01,3m,1.5,4.0,1.3,592,0.3,3,COMPLETE
115,115,6.38412127572984,2025-06-15 00:14:59.803833,2025-06-15 00:15:01.648438,0 days 00:00:01.844605,,,,,,,,966.0,0.009000000000000001,1m,2.5,1.0,0.6,1002.0,796.0,0.005,4m,4.0,1.0,1.8,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,0.01,3m,1.5,4.0,1.3,572,0.35000000000000003,3,COMPLETE
116,116,-0.07299438059460443,2025-06-15 00:15:01.745833,2025-06-15 00:15:04.694400,0 days 00:00:02.948567,,,,,,,,970.0,0.005,1m,2.5,1.0,0.7,932.0,804.0,0.006,3m,2.0,1.0,1.0,880.0,614.0,0.01,1m,2.5,3.0,1.1,826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,0.009000000000000001,4m,1.5,4.0,1.3,584,0.35000000000000003,4,COMPLETE
117,117,0.7144655127581011,2025-06-15 00:15:04.775236,2025-06-15 00:15:05.982591,0 days 00:00:01.207355,,,,,,,,,,,,,,,854.0,0.005,4m,4.0,1.5,1.7000000000000002,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.01,3m,1.5,4.0,1.5,504,0.35000000000000003,2,COMPLETE
118,118,6.511393673742935,2025-06-15 00:15:06.062084,2025-06-15 00:15:08.093615,0 days 00:00:02.031531,,,,,,,,974.0,0.008,1m,2.5,1.5,0.6,1024.0,790.0,0.005,1m,4.0,1.0,1.8,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,0.009000000000000001,3m,1.5,4.0,1.4,558,0.3,3,COMPLETE
119,119,2.0032680400621836,2025-06-15 00:15:08.200213,2025-06-15 00:15:10.333630,0 days 00:00:02.133417,,,,,,,,890.0,0.008,1m,2.5,2.0,0.6,950.0,722.0,0.005,1m,3.5,1.0,1.8,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.009000000000000001,3m,1.0,4.0,1.6,552,0.45,3,COMPLETE
120,120,3.0225004147535883,2025-06-15 00:15:10.419149,2025-06-15 00:15:12.351863,0 days 00:00:01.932714,,,,,,,,964.0,0.007,1m,2.5,1.5,0.6,1014.0,750.0,0.006,1m,4.0,1.0,1.7000000000000002,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,0.009000000000000001,3m,1.5,4.0,1.4,592,0.35000000000000003,3,COMPLETE
121,121,5.071049762715507,2025-06-15 00:15:12.441077,2025-06-15 00:15:14.283352,0 days 00:00:01.842275,,,,,,,,1006.0,0.009000000000000001,1m,2.5,1.5,0.6,982.0,804.0,0.004,1m,4.0,1.0,1.8,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,0.01,3m,1.5,4.0,1.3,522,0.3,3,COMPLETE
122,122,6.9293347579675135,2025-06-15 00:15:14.377522,2025-06-15 00:15:16.326273,0 days 00:00:01.948751,,,,,,,,1024.0,0.009000000000000001,1m,2.5,1.0,0.7,1020.0,784.0,0.005,3m,4.0,1.0,1.8,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,0.01,3m,1.5,4.0,1.4,614,0.3,3,COMPLETE
123,123,6.640222498509689,2025-06-15 00:15:16.428741,2025-06-15 00:15:18.613750,0 days 00:00:02.185009,,,,,,,,936.0,0.009000000000000001,1m,2.5,1.5,0.8,1014.0,776.0,0.005,3m,4.0,1.0,1.8,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,0.01,3m,1.5,4.0,1.4,612,0.3,3,COMPLETE
124,124,6.814173477813597,2025-06-15 00:15:18.699666,2025-06-15 00:15:21.190912,0 days 00:00:02.491246,,,,,,,,972.0,0.008,1m,2.5,1.5,0.8,1024.0,678.0,0.005,3m,4.0,1.0,1.7000000000000002,960.0,398.0,0.003,3m,4.0,2.5,1.0,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,0.01,3m,1.5,4.0,1.5,612,0.3,4,COMPLETE
125,125,6.610370408279693,2025-06-15 00:15:21.275621,2025-06-15 00:15:24.065440,0 days 00:00:02.789819,,,,,,,,932.0,0.006,1m,2.5,1.5,0.8,1022.0,786.0,0.005,3m,4.0,1.0,1.7000000000000002,932.0,406.0,0.003,3m,4.0,2.5,1.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,0.01,3m,1.5,4.0,1.5,610,0.3,4,COMPLETE
126,126,6.371959519825671,2025-06-15 00:15:24.159557,2025-06-15 00:15:26.592833,0 days 00:00:02.433276,,,,,,,,930.0,0.006,1m,2.5,1.5,0.9,962.0,668.0,0.005,3m,4.0,1.0,1.7000000000000002,974.0,386.0,0.003,3m,4.0,2.5,1.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,0.01,3m,1.5,4.0,1.5,608,0.3,4,COMPLETE
127,127,-3.454336763598274,2025-06-15 00:15:26.679467,2025-06-15 00:15:30.112481,0 days 00:00:03.433014,,,,,,,,72.0,0.006,4m,2.5,1.5,0.9,898.0,678.0,0.006,3m,4.0,1.0,1.7000000000000002,970.0,400.0,0.003,3m,4.0,2.5,1.0,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,0.007,1m,1.0,2.5,1.6,110.0,804,0.01,1m,1.5,3.5,1.5,610,0.35000000000000003,5,COMPLETE
128,128,3.9312901586932747,2025-06-15 00:15:30.207044,2025-06-15 00:15:33.314048,0 days 00:00:03.107004,,,,,,,,932.0,0.006,1m,2.5,1.5,0.8,1022.0,786.0,0.005,3m,4.0,1.5,1.7000000000000002,932.0,554.0,0.002,3m,4.0,2.5,1.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,0.009000000000000001,2m,2.0,3.0,1.4,240.0,838,0.01,3m,1.5,4.0,1.6,576,0.3,5,COMPLETE
129,129,5.358169038916177,2025-06-15 00:15:33.395551,2025-06-15 00:15:36.093930,0 days 00:00:02.698379,,,,,,,,902.0,0.005,1m,2.0,1.5,0.8,948.0,668.0,0.005,3m,4.0,1.0,1.6,982.0,352.0,0.003,3m,4.0,2.5,0.8,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,0.01,3m,1.5,4.0,1.5,480,0.35000000000000003,4,COMPLETE
130,130,-0.6282063317130429,2025-06-15 00:15:36.164994,2025-06-15 00:15:38.555738,0 days 00:00:02.390744,,,,,,,,858.0,0.007,1m,2.5,2.0,0.9,1002.0,768.0,0.005,3m,4.0,1.0,1.6,934.0,516.0,0.004,3m,3.5,2.0,1.1,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,0.01,3m,1.0,4.0,1.6,604,0.3,4,COMPLETE
131,131,3.004656451159426,2025-06-15 00:15:38.646940,2025-06-15 00:15:41.259732,0 days 00:00:02.612792,,,,,,,,970.0,0.006,1m,2.5,1.5,1.0,974.0,724.0,0.005,3m,4.0,1.0,1.8,908.0,416.0,0.002,3m,4.0,3.0,0.9,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,0.01,3m,1.5,4.0,1.4,530,0.3,4,COMPLETE
132,132,2.4271875042378093,2025-06-15 00:15:41.346083,2025-06-15 00:15:44.624880,0 days 00:00:03.278797,,,,,,,,928.0,0.006,1m,2.5,1.5,0.8,968.0,788.0,0.005,3m,4.0,1.0,1.7000000000000002,962.0,294.0,0.003,3m,3.5,2.5,0.8,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,0.006,1m,3.0,1.0,1.7000000000000002,332.0,842,0.01,3m,1.5,4.0,1.5,560,0.3,5,COMPLETE
133,133,3.5308422325653375,2025-06-15 00:15:44.721701,2025-06-15 00:15:47.293234,0 days 00:00:02.571533,,,,,,,,1002.0,0.008,1m,2.5,1.5,0.7,920.0,830.0,0.005,3m,4.0,1.0,1.8,936.0,240.0,0.004,3m,4.0,2.0,1.0,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,0.01,3m,1.5,4.0,1.4,668,0.3,4,COMPLETE
134,134,6.57832816035098,2025-06-15 00:15:47.380044,2025-06-15 00:15:50.243076,0 days 00:00:02.863032,,,,,,,,980.0,0.007,1m,2.5,1.5,0.8,1004.0,570.0,0.005,3m,4.0,1.0,1.7000000000000002,1006.0,388.0,0.001,3m,3.5,3.0,1.2000000000000002,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.01,3m,1.5,4.0,1.4,630,0.35000000000000003,4,COMPLETE
135,135,4.697618013473952,2025-06-15 00:15:50.331683,2025-06-15 00:15:52.720450,0 days 00:00:02.388767,,,,,,,,878.0,0.007,3m,2.5,1.5,0.8,1024.0,552.0,0.006,3m,4.0,1.0,1.7000000000000002,1004.0,436.0,0.001,3m,4.0,3.0,1.2000000000000002,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,0.009000000000000001,3m,1.5,2.0,1.5,612,0.35000000000000003,4,COMPLETE
136,136,2.787731715649954,2025-06-15 00:15:52.808045,2025-06-15 00:15:56.748747,0 days 00:00:03.940702,,,,,,,,964.0,0.008,1m,2.5,1.5,0.9,1006.0,632.0,0.005,3m,4.0,1.0,1.8,982.0,382.0,0.001,3m,3.5,3.0,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,484.0,0.002,3m,2.5,3.5,0.5,464.0,1024.0,0.008,2m,2.0,4.0,2.0,394.0,826,0.01,2m,1.5,4.0,1.4,560,0.4,6,COMPLETE
137,137,4.866215515587749,2025-06-15 00:15:56.859845,2025-06-15 00:15:59.584900,0 days 00:00:02.725055,,,,,,,,980.0,0.007,1m,2.5,1.5,0.8,948.0,738.0,0.005,3m,4.0,1.0,1.5,1020.0,464.0,0.002,3m,3.5,2.5,1.3,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.01,3m,1.5,4.0,1.5,576,0.35000000000000003,4,COMPLETE
138,138,5.5832834305745855,2025-06-15 00:15:59.689314,2025-06-15 00:16:02.249855,0 days 00:00:02.560541,,,,,,,,938.0,0.006,1m,2.5,2.0,0.8,980.0,678.0,0.006,3m,4.0,1.0,1.6,950.0,490.0,0.002,3m,4.0,3.0,1.2000000000000002,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,0.01,3m,1.5,4.0,1.6,688,0.35000000000000003,4,COMPLETE
