,number,value,datetime_start,datetime_complete,duration,params_ADP_BIIB_beta_win,params_ADP_BIIB_stop_loss,params_ADP_BIIB_trade_freq,params_ADP_BIIB_z_entry,params_ADP_BIIB_z_exit,params_ADP_BIIB_z_stop_scaler,params_ADP_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_stop_loss,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_stop_scaler,params_BIDU_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-4.659233773780811,2025-06-15 00:10:36.056446,2025-06-15 00:10:39.707296,0 days 00:00:03.650850,,,,,,,,406.0,0.006,4m,3.5,2.5,0.9,648.0,808.0,0.005,4m,4.0,3.5,2.0,670.0,808.0,0.008,4m,3.5,4.0,0.9,320.0,,,,,,,,,,,,,,,,,,,,,,30.0,0.01,1m,2.5,2.5,0.9,714.0,270.0,0.008,1m,2.0,2.0,0.8,732.0,22,0.01,1m,2.5,2.5,1.4,850,0.4,6,COMPLETE
21,21,0.18678920338078314,2025-06-15 00:10:39.796137,2025-06-15 00:10:41.875136,0 days 00:00:02.078999,,,,,,,,740.0,0.007,2m,3.5,3.5,1.6,700.0,892.0,0.01,3m,3.5,2.5,1.5,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.003,3m,2.0,2.5,0.7,662,0.1,3,COMPLETE
22,22,1.5755602155354664,2025-06-15 00:10:41.957539,2025-06-15 00:10:44.329370,0 days 00:00:02.371831,,,,,,,,632.0,0.01,2m,3.5,3.0,1.3,894.0,812.0,0.009000000000000001,3m,3.5,2.0,1.7000000000000002,490.0,880.0,0.002,4m,1.0,2.0,1.4,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,0.005,3m,2.0,3.0,1.0,794,0.1,4,COMPLETE
23,23,-3.043460302110774,2025-06-15 00:10:44.427008,2025-06-15 00:10:45.924109,0 days 00:00:01.497101,,,,,,,,,,,,,,,606.0,0.01,3m,3.0,2.5,1.5,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.003,3m,1.5,2.0,1.4,592,0.1,2,COMPLETE
24,24,1.1074338181534948,2025-06-15 00:10:46.020140,2025-06-15 00:10:47.611613,0 days 00:00:01.591473,,,,,,,,,,,,,,,774.0,0.008,3m,4.0,1.0,1.8,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,0.004,3m,1.0,2.5,1.1,946,0.05,2,COMPLETE
25,25,0.5793528811275247,2025-06-15 00:10:47.694567,2025-06-15 00:10:49.466811,0 days 00:00:01.772244,,,,,,,,868.0,0.007,2m,2.0,4.0,1.5,800.0,912.0,0.009000000000000001,3m,3.5,1.5,1.4,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,0.007,3m,1.5,3.5,0.8,448,0.15000000000000002,3,COMPLETE
26,26,0.7617931370394583,2025-06-15 00:10:49.525518,2025-06-15 00:10:52.948824,0 days 00:00:03.423306,,,,,,,,444.0,0.005,2m,3.0,2.0,1.2000000000000002,700.0,362.0,0.008,2m,2.0,2.5,1.6,522.0,574.0,0.006,2m,2.0,1.5,0.7,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.0,0.005,3m,2.5,3.0,0.9,754.0,434,0.003,4m,2.0,3.0,1.7000000000000002,288,0.2,5,COMPLETE
27,27,-0.2832287296774604,2025-06-15 00:10:53.041869,2025-06-15 00:10:55.258952,0 days 00:00:02.217083,,,,,,,,628.0,0.008,2m,3.0,3.5,1.9000000000000001,898.0,956.0,0.006,1m,3.0,3.5,1.9000000000000001,174.0,340.0,0.008,3m,2.5,2.0,1.1,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,0.005,2m,2.5,4.0,2.0,586,0.1,4,COMPLETE
28,28,-0.6531081677343936,2025-06-15 00:10:55.352621,2025-06-15 00:10:56.251698,0 days 00:00:00.899077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,0.006,1m,3.0,3.5,1.4,774,0.05,1,COMPLETE
29,29,-2.5491127334387333,2025-06-15 00:10:56.336307,2025-06-15 00:10:58.578222,0 days 00:00:02.241915,,,,,,,,216.0,0.004,2m,3.0,2.5,1.8,238.0,576.0,0.01,4m,2.5,1.5,1.3,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,0.008,3m,1.5,2.0,1.3,906,0.25,3,COMPLETE
