,number,value,datetime_start,datetime_complete,duration,params_CMCSA_TSLA_beta_win,params_CMCSA_TSLA_stop_loss,params_CMCSA_TSLA_trade_freq,params_CMCSA_TSLA_z_entry,params_CMCSA_TSLA_z_exit,params_CMCSA_TSLA_z_stop_scaler,params_CMCSA_TSLA_z_win,params_COST_GILD_beta_win,params_COST_GILD_stop_loss,params_COST_GILD_trade_freq,params_COST_GILD_z_entry,params_COST_GILD_z_exit,params_COST_GILD_z_stop_scaler,params_COST_GILD_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_FAST_PCAR_beta_win,params_FAST_PCAR_stop_loss,params_FAST_PCAR_trade_freq,params_FAST_PCAR_z_entry,params_FAST_PCAR_z_exit,params_FAST_PCAR_z_stop_scaler,params_FAST_PCAR_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MELI_TSLA_beta_win,params_MELI_TSLA_stop_loss,params_MELI_TSLA_trade_freq,params_MELI_TSLA_z_entry,params_MELI_TSLA_z_exit,params_MELI_TSLA_z_stop_scaler,params_MELI_TSLA_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-2.523043444135782,2025-06-15 00:23:05.581945,2025-06-15 00:23:09.125593,0 days 00:00:03.543648,,,,,,,,,,,,,,,122.0,0.001,1m,3.5,4.0,2.0,62.0,856.0,0.002,4m,3.5,1.0,1.2000000000000002,692.0,544.0,0.007,2m,2.0,2.5,1.9000000000000001,860.0,656.0,0.001,1m,2.0,4.0,0.5,20.0,626.0,0.002,2m,1.5,4.0,2.0,294.0,768,0.003,1m,2.5,2.5,1.4,976,,,,,,,,700.0,0.004,3m,2.5,3.0,0.9,746.0,0.1,7,COMPLETE
21,21,5.420363928652414,2025-06-15 00:23:09.172109,2025-06-15 00:23:11.047702,0 days 00:00:01.875593,,,,,,,,,,,,,,,,,,,,,,574.0,0.003,2m,3.0,2.0,1.4,946.0,448.0,0.009000000000000001,2m,2.0,1.5,1.7000000000000002,308.0,606.0,0.003,1m,2.5,3.5,0.7,216.0,,,,,,,,546,0.006,1m,3.5,2.0,1.1,850,,,,,,,,,,,,,,,0.25,4,COMPLETE
22,22,-0.12043940716350006,2025-06-15 00:23:11.131211,2025-06-15 00:23:13.527876,0 days 00:00:02.396665,,,,,,,,,,,,,,,,,,,,,,588.0,0.003,2m,3.0,2.0,1.1,998.0,412.0,0.007,2m,2.0,2.5,1.7000000000000002,344.0,416.0,0.003,1m,1.5,3.5,0.6,138.0,,,,,,,,556,0.006,1m,3.5,2.0,1.3,882,,,,,,,,366.0,0.001,3m,1.5,3.5,0.7,538.0,0.25,5,COMPLETE
23,23,3.468292161254292,2025-06-15 00:23:13.600041,2025-06-15 00:23:15.377755,0 days 00:00:01.777714,,,,,,,,,,,,,,,,,,,,,,732.0,0.003,2m,3.5,2.0,1.4,696.0,652.0,0.009000000000000001,2m,2.0,1.5,1.6,28.0,890.0,0.002,1m,2.5,3.5,0.6,248.0,,,,,,,,658,0.005,1m,2.5,2.5,1.0,988,,,,,,,,,,,,,,,0.2,4,COMPLETE
24,24,-3.9266033121680217,2025-06-15 00:23:15.444754,2025-06-15 00:23:16.479372,0 days 00:00:01.034618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.0,0.003,1m,2.0,4.0,1.0,192.0,,,,,,,,504,0.003,1m,2.0,2.0,1.1,902,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
25,25,6.100532618815851,2025-06-15 00:23:16.553378,2025-06-15 00:23:19.458920,0 days 00:00:02.905542,,,,,,,,,,,,,,,,,,,,,,500.0,0.004,2m,3.0,1.5,0.8,480.0,456.0,0.005,2m,1.0,3.5,1.9000000000000001,608.0,638.0,0.002,1m,3.0,3.5,0.7,348.0,238.0,0.005,1m,3.0,1.0,1.0,678.0,386,0.006,1m,3.0,3.0,1.4,802,,,,,,,,216.0,0.007,2m,4.0,3.5,1.4,856.0,0.25,6,COMPLETE
26,26,6.585474796952924,2025-06-15 00:23:19.528430,2025-06-15 00:23:22.676091,0 days 00:00:03.147661,,,,,,,,,,,,,,,,,,,,,,522.0,0.004,2m,3.5,2.0,0.7,496.0,462.0,0.004,2m,1.5,2.5,1.9000000000000001,570.0,440.0,0.002,1m,3.0,3.5,0.7,322.0,232.0,0.005,1m,3.0,1.0,1.0,674.0,380,0.006,2m,3.0,3.0,1.7000000000000002,762,,,,,,,,208.0,0.008,2m,4.0,2.0,1.9000000000000001,836.0,0.25,6,COMPLETE
27,27,6.532485204784097,2025-06-15 00:23:22.750096,2025-06-15 00:23:26.842336,0 days 00:00:04.092240,,,,,,,,,,,,,,,970.0,0.01,2m,3.0,2.0,1.3,990.0,464.0,0.005,2m,3.5,1.5,0.7,456.0,642.0,0.004,2m,1.5,2.5,1.9000000000000001,630.0,440.0,0.002,1m,3.0,3.0,0.5,364.0,260.0,0.005,1m,3.0,1.0,1.0,686.0,370,0.005,2m,3.0,3.0,1.7000000000000002,820,1016.0,0.01,3m,4.0,4.0,2.0,34.0,202.0,0.008,2m,4.0,2.0,2.0,832.0,0.3,8,COMPLETE
28,28,3.824340265983912,2025-06-15 00:23:26.943861,2025-06-15 00:23:31.080029,0 days 00:00:04.136168,,,,,,,,,,,,,,,990.0,0.01,2m,3.0,2.0,1.2000000000000002,1016.0,670.0,0.005,2m,3.5,2.5,0.5,650.0,652.0,0.003,4m,1.5,2.5,2.0,620.0,428.0,0.002,1m,3.0,3.0,0.5,306.0,220.0,0.007,1m,3.0,1.5,1.0,684.0,224,0.004,2m,3.0,3.0,1.8,756,996.0,0.01,3m,4.0,4.0,2.0,26.0,196.0,0.01,2m,3.5,1.5,2.0,592.0,0.35000000000000003,8,COMPLETE
29,29,5.3315703987159395,2025-06-15 00:23:31.167567,2025-06-15 00:23:35.085046,0 days 00:00:03.917479,,,,,,,,,,,,,,,752.0,0.008,2m,3.0,3.0,0.9,324.0,436.0,0.006,2m,3.5,1.0,0.7,468.0,712.0,0.001,2m,1.5,2.5,1.8,470.0,338.0,0.004,1m,1.0,2.5,0.6,456.0,458.0,0.004,1m,3.5,2.0,0.8,534.0,346,0.005,2m,2.5,2.5,2.0,1020,994.0,0.01,3m,4.0,2.5,2.0,92.0,220.0,0.008,2m,4.0,2.0,1.8,824.0,0.3,8,COMPLETE
