,number,value,datetime_start,datetime_complete,duration,params_CMCSA_TSLA_beta_win,params_CMCSA_TSLA_stop_loss,params_CMCSA_TSLA_trade_freq,params_CMCSA_TSLA_z_entry,params_CMCSA_TSLA_z_exit,params_CMCSA_TSLA_z_stop_scaler,params_CMCSA_TSLA_z_win,params_COST_GILD_beta_win,params_COST_GILD_stop_loss,params_COST_GILD_trade_freq,params_COST_GILD_z_entry,params_COST_GILD_z_exit,params_COST_GILD_z_stop_scaler,params_COST_GILD_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_FAST_PCAR_beta_win,params_FAST_PCAR_stop_loss,params_FAST_PCAR_trade_freq,params_FAST_PCAR_z_entry,params_FAST_PCAR_z_exit,params_FAST_PCAR_z_stop_scaler,params_FAST_PCAR_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MELI_TSLA_beta_win,params_MELI_TSLA_stop_loss,params_MELI_TSLA_trade_freq,params_MELI_TSLA_z_entry,params_MELI_TSLA_z_exit,params_MELI_TSLA_z_stop_scaler,params_MELI_TSLA_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
86,86,3.002072841076073,2025-06-15 00:26:00.096486,2025-06-15 00:26:02.057904,0 days 00:00:01.961418,,,,,,,,,,,,,,,,,,,,,,514.0,0.003,2m,2.0,1.0,1.3,812.0,790.0,0.004,2m,1.0,2.5,2.0,472.0,358.0,0.002,1m,2.0,3.5,2.0,402.0,,,,,,,,354,0.006,2m,1.5,3.0,0.8,996,,,,,,,,,,,,,,,0.3,4,COMPLETE
87,87,8.658072213395217,2025-06-15 00:26:02.123426,2025-06-15 00:26:06.954953,0 days 00:00:04.831527,982.0,0.001,3m,1.0,4.0,2.0,928.0,32.0,0.01,2m,1.0,4.0,0.5,18.0,490.0,0.003,4m,1.5,1.5,2.0,216.0,616.0,0.004,2m,4.0,1.5,1.1,678.0,584.0,0.003,2m,1.0,2.0,1.5,356.0,318.0,0.008,1m,2.5,3.5,0.6,328.0,152.0,0.006,1m,4.0,1.0,1.3,180.0,608,0.007,2m,1.0,2.5,0.6,854,36.0,0.004,2m,1.0,2.0,1.0,664.0,320.0,0.009000000000000001,4m,4.0,1.5,1.9000000000000001,598.0,0.2,10,COMPLETE
88,88,5.268948531083601,2025-06-15 00:26:07.051210,2025-06-15 00:26:09.230572,0 days 00:00:02.179362,,,,,,,,,,,,,,,,,,,,,,634.0,0.002,2m,4.0,2.0,1.1,682.0,580.0,0.003,2m,1.5,1.5,1.4,374.0,740.0,0.009000000000000001,1m,2.5,3.5,1.6,480.0,,,,,,,,606,0.007,2m,1.0,2.5,0.5,848,,,,,,,,,,,,,,,0.5,4,COMPLETE
89,89,-1.6902088961157617,2025-06-15 00:26:09.297572,2025-06-15 00:26:13.922638,0 days 00:00:04.625066,996.0,0.001,3m,1.0,4.0,2.0,1020.0,36.0,0.01,2m,1.0,4.0,0.5,22.0,498.0,0.003,4m,1.5,1.5,2.0,230.0,716.0,0.005,2m,4.0,1.0,1.4,714.0,538.0,0.003,1m,1.0,2.0,1.5,294.0,536.0,0.008,1m,2.5,3.0,0.5,334.0,126.0,0.006,1m,4.0,1.5,1.7000000000000002,172.0,684,0.003,2m,1.0,2.0,0.6,740,70.0,0.004,2m,1.0,2.0,1.0,678.0,328.0,0.009000000000000001,4m,3.5,3.0,1.9000000000000001,306.0,0.2,10,COMPLETE
90,90,3.3441491470930234,2025-06-15 00:26:13.997638,2025-06-15 00:26:18.968692,0 days 00:00:04.971054,954.0,0.001,3m,1.0,4.0,2.0,954.0,380.0,0.007,2m,2.0,3.0,1.1,34.0,414.0,0.003,4m,1.5,1.5,1.8,444.0,576.0,0.003,2m,4.0,1.5,1.1,628.0,688.0,0.003,4m,1.0,1.5,1.6,332.0,450.0,0.01,1m,2.5,3.5,0.6,214.0,884.0,0.009000000000000001,4m,4.0,3.5,1.5,214.0,564,0.007,3m,1.5,2.5,1.0,808,306.0,0.001,2m,1.5,2.0,1.0,1024.0,582.0,0.01,4m,1.0,2.5,1.9000000000000001,572.0,0.2,10,COMPLETE
91,91,8.910725175525343,2025-06-15 00:26:19.064224,2025-06-15 00:26:23.378821,0 days 00:00:04.314597,,,,,,,,416.0,0.006,2m,4.0,2.5,1.0,774.0,182.0,0.002,4m,2.5,2.5,1.8,156.0,604.0,0.004,2m,3.5,1.5,1.2000000000000002,516.0,516.0,0.002,2m,1.0,3.0,1.6,416.0,324.0,0.007,1m,3.0,3.5,0.7,364.0,154.0,0.006,1m,3.5,1.0,1.3,334.0,410,0.005,2m,2.0,2.5,1.3,928,310.0,0.004,4m,3.0,1.0,1.1,358.0,156.0,0.009000000000000001,4m,4.0,1.5,1.7000000000000002,690.0,0.25,9,COMPLETE
92,92,7.469623802381585,2025-06-15 00:26:23.465846,2025-06-15 00:26:28.382698,0 days 00:00:04.916852,186.0,0.01,1m,2.5,2.5,1.5,608.0,388.0,0.006,2m,4.0,2.5,0.9,818.0,192.0,0.002,4m,2.5,2.5,1.8,172.0,658.0,0.004,2m,3.5,1.5,1.2000000000000002,868.0,588.0,0.002,2m,1.0,3.0,1.7000000000000002,356.0,302.0,0.007,1m,2.0,3.5,0.7,298.0,136.0,0.007,1m,3.5,1.0,1.3,316.0,732,0.005,2m,2.0,2.5,1.3,858,264.0,0.004,4m,3.0,1.0,1.1,266.0,140.0,0.009000000000000001,4m,4.0,1.0,1.8,664.0,0.25,10,COMPLETE
93,93,8.402026751318429,2025-06-15 00:26:28.442725,2025-06-15 00:26:32.882998,0 days 00:00:04.440273,,,,,,,,232.0,0.003,2m,3.0,1.5,1.4,746.0,46.0,0.005,4m,2.5,2.5,2.0,438.0,604.0,0.004,2m,4.0,1.5,1.0,756.0,510.0,0.002,2m,1.0,1.0,1.6,404.0,420.0,0.008,1m,3.0,3.5,0.8,366.0,64.0,0.006,3m,4.0,1.0,1.4,148.0,586,0.005,2m,2.0,2.5,0.9,934,58.0,0.003,4m,3.0,1.5,0.8,588.0,88.0,0.01,4m,4.0,1.5,1.7000000000000002,716.0,0.2,9,COMPLETE
94,94,5.334274588223577,2025-06-15 00:26:32.949035,2025-06-15 00:26:37.452606,0 days 00:00:04.503571,,,,,,,,648.0,0.008,2m,2.0,3.0,0.8,640.0,622.0,0.002,4m,1.0,3.0,1.7000000000000002,132.0,544.0,0.005,3m,3.5,1.5,1.2000000000000002,790.0,548.0,0.004,2m,1.0,2.0,1.5,440.0,608.0,0.009000000000000001,1m,2.5,3.5,0.9,432.0,176.0,0.004,1m,3.5,1.5,1.4,356.0,490,0.004,2m,1.0,2.5,0.5,774,206.0,0.007,4m,2.5,2.0,1.5,306.0,382.0,0.008,4m,4.0,2.0,1.9000000000000001,778.0,0.25,9,COMPLETE
95,95,7.272611236545073,2025-06-15 00:26:37.542139,2025-06-15 00:26:45.405279,0 days 00:00:07.863140,,,,,,,,246.0,0.004,3m,3.0,2.0,1.1,268.0,296.0,0.002,4m,3.5,2.0,1.9000000000000001,42.0,760.0,0.004,4m,2.5,2.0,1.5,560.0,646.0,0.002,2m,1.0,2.5,1.6,548.0,256.0,0.007,1m,2.5,3.5,1.4,844.0,318.0,0.008,1m,4.0,1.0,1.7000000000000002,282.0,534,0.005,2m,1.5,2.0,0.7,1004,454.0,0.005,2m,2.5,1.5,1.7000000000000002,684.0,160.0,0.001,4m,3.5,2.0,1.6,622.0,0.2,9,COMPLETE
96,96,6.9913645136683265,2025-06-15 00:26:45.506795,2025-06-15 00:26:51.931186,0 days 00:00:06.424391,692.0,0.004,2m,2.0,3.0,1.4,622.0,880.0,0.008,1m,1.5,3.5,0.7,968.0,152.0,0.004,4m,2.0,1.0,1.4,416.0,690.0,0.003,2m,3.0,1.0,1.1,652.0,458.0,0.003,2m,1.0,3.0,1.4,500.0,380.0,0.006,4m,2.0,3.5,0.6,182.0,828.0,0.006,2m,3.5,2.0,1.6,126.0,652,0.006,2m,2.0,2.5,1.2000000000000002,86,736.0,0.002,4m,3.5,2.5,1.2000000000000002,426.0,794.0,0.009000000000000001,3m,3.0,1.0,2.0,462.0,0.3,10,COMPLETE
97,97,6.5333095027314965,2025-06-15 00:26:51.986698,2025-06-15 00:26:56.017682,0 days 00:00:04.030984,,,,,,,,,,,,,,,400.0,0.005,4m,1.5,1.5,1.0,192.0,604.0,0.002,2m,3.5,1.5,1.4,518.0,514.0,0.003,2m,1.5,2.5,1.7000000000000002,422.0,492.0,0.008,2m,2.5,3.0,0.5,384.0,406.0,0.007,1m,3.0,1.5,1.9000000000000001,422.0,612,0.006,2m,1.5,2.5,0.6,886,182.0,0.005,2m,1.5,1.0,0.8,236.0,258.0,0.01,4m,4.0,1.5,1.8,502.0,0.25,8,COMPLETE
98,98,7.460476198900917,2025-06-15 00:26:56.118975,2025-06-15 00:27:00.689341,0 days 00:00:04.570366,,,,,,,,530.0,0.002,4m,3.5,2.0,1.8,590.0,760.0,0.001,3m,2.5,3.5,1.7000000000000002,244.0,262.0,0.001,2m,4.0,1.5,1.7000000000000002,712.0,736.0,0.004,2m,1.0,3.5,1.6,268.0,358.0,0.007,1m,3.5,3.5,0.7,276.0,44.0,0.002,4m,1.0,1.0,1.3,246.0,576,0.007,2m,1.0,2.5,1.1,960,402.0,0.008,1m,2.0,3.0,0.5,590.0,312.0,0.008,4m,3.5,2.0,1.7000000000000002,734.0,0.2,9,COMPLETE
99,99,5.594827391213157,2025-06-15 00:27:00.775855,2025-06-15 00:27:02.716768,0 days 00:00:01.940913,,,,,,,,,,,,,,,,,,,,,,528.0,0.004,2m,3.5,2.0,1.3,984.0,426.0,0.002,2m,1.0,3.0,1.5,388.0,438.0,0.006,1m,3.0,3.5,0.7,550.0,,,,,,,,514,0.005,2m,2.5,3.0,0.7,914,,,,,,,,,,,,,,,0.25,4,COMPLETE
100,100,4.665309149879374,2025-06-15 00:27:02.797289,2025-06-15 00:27:04.419622,0 days 00:00:01.622333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.001,2m,1.0,2.0,1.6,206.0,634.0,0.004,1m,2.0,4.0,0.8,252.0,,,,,,,,418,0.007,2m,1.5,2.0,1.4,838,,,,,,,,,,,,,,,0.2,3,COMPLETE
101,101,9.309158317496344,2025-06-15 00:27:04.479815,2025-06-15 00:27:06.977639,0 days 00:00:02.497824,,,,,,,,,,,,,,,,,,,,,,402.0,0.004,2m,3.5,1.5,1.2000000000000002,504.0,494.0,0.003,2m,1.0,3.0,1.8,638.0,336.0,0.002,1m,3.5,3.5,0.6,352.0,,,,,,,,406,0.006,2m,2.5,3.0,1.3,924,,,,,,,,230.0,0.007,2m,4.0,1.5,1.4,816.0,0.25,5,COMPLETE
102,102,9.684637941782634,2025-06-15 00:27:07.055155,2025-06-15 00:27:09.822132,0 days 00:00:02.766977,,,,,,,,,,,,,,,,,,,,,,576.0,0.004,2m,3.5,1.5,0.9,472.0,564.0,0.003,2m,1.0,3.0,1.7000000000000002,634.0,336.0,0.003,1m,3.5,3.5,0.6,330.0,,,,,,,,468,0.006,2m,2.5,3.0,1.2000000000000002,866,,,,,,,,178.0,0.008,2m,4.0,1.5,1.9000000000000001,810.0,0.25,5,COMPLETE
103,103,-5.45270997491956,2025-06-15 00:27:09.914175,2025-06-15 00:27:14.667583,0 days 00:00:04.753408,,,,,,,,,,,,,,,,,,,,,,362.0,0.005,2m,3.5,1.5,0.9,462.0,494.0,0.003,2m,3.5,3.0,1.8,628.0,406.0,0.003,1m,3.5,3.5,1.5,408.0,,,,,,,,446,0.006,2m,2.5,3.0,1.3,946,,,,,,,,176.0,0.008,2m,4.0,1.0,1.6,810.0,0.3,5,COMPLETE
104,104,8.947682374914642,2025-06-15 00:27:14.775094,2025-06-15 00:27:19.288984,0 days 00:00:04.513890,,,,,,,,,,,,,,,,,,,,,,498.0,0.003,2m,3.5,1.5,1.3,438.0,550.0,0.003,2m,1.0,3.0,1.7000000000000002,608.0,462.0,0.004,1m,4.0,3.0,0.6,460.0,,,,,,,,470,0.006,2m,2.5,3.0,1.2000000000000002,876,,,,,,,,238.0,0.007,2m,3.5,1.5,1.3,846.0,0.25,5,COMPLETE
105,105,8.352997162626815,2025-06-15 00:27:19.403013,2025-06-15 00:27:22.204831,0 days 00:00:02.801818,,,,,,,,,,,,,,,,,,,,,,494.0,0.006,1m,3.5,1.0,1.3,424.0,556.0,0.002,2m,1.0,3.0,1.7000000000000002,718.0,342.0,0.005,1m,4.0,3.0,0.5,462.0,,,,,,,,472,0.005,2m,2.5,3.0,1.2000000000000002,984,,,,,,,,108.0,0.007,2m,3.5,1.5,1.3,866.0,0.25,5,COMPLETE
106,106,5.364412720243425,2025-06-15 00:27:22.280349,2025-06-15 00:27:24.854945,0 days 00:00:02.574596,,,,,,,,,,,,,,,,,,,,,,412.0,0.004,2m,3.0,4.0,1.3,374.0,470.0,0.003,2m,1.5,3.0,1.8,602.0,466.0,0.004,1m,3.5,3.0,0.6,516.0,,,,,,,,410,0.006,4m,2.5,3.0,1.3,806,,,,,,,,238.0,0.008,2m,4.0,1.5,1.5,826.0,0.3,5,COMPLETE
107,107,6.247850927120457,2025-06-15 00:27:24.921463,2025-06-15 00:27:27.421444,0 days 00:00:02.499981,,,,,,,,,,,,,,,,,,,,,,404.0,0.002,3m,3.5,1.5,1.4,492.0,384.0,0.003,2m,1.0,3.0,1.7000000000000002,658.0,368.0,0.004,1m,4.0,4.0,0.6,488.0,,,,,,,,396,0.005,1m,2.5,3.0,1.2000000000000002,868,,,,,,,,44.0,0.007,2m,4.0,2.0,1.2000000000000002,758.0,0.25,5,COMPLETE
108,108,1.5339082544682698,2025-06-15 00:27:27.485960,2025-06-15 00:27:30.325710,0 days 00:00:02.839750,,,,,,,,,,,,,,,,,,,,,,436.0,0.005,2m,3.5,2.0,0.9,436.0,522.0,0.004,3m,2.0,2.5,1.8,554.0,232.0,0.003,1m,4.0,2.0,0.5,366.0,,,,,,,,486,0.006,2m,2.5,3.5,1.2000000000000002,916,,,,,,,,196.0,0.006,2m,3.5,1.5,1.3,684.0,0.25,5,COMPLETE
109,109,1.7176171147228512,2025-06-15 00:27:30.408742,2025-06-15 00:27:33.092601,0 days 00:00:02.683859,,,,,,,,,,,,,,,,,,,,,,376.0,0.003,2m,3.5,1.5,1.2000000000000002,388.0,452.0,0.002,1m,1.0,3.5,1.9000000000000001,594.0,262.0,0.003,2m,4.0,3.5,0.7,306.0,,,,,,,,454,0.006,3m,2.5,3.0,1.4,964,,,,,,,,156.0,0.008,2m,3.5,1.0,1.7000000000000002,924.0,0.3,5,COMPLETE
110,110,0.2950790845773446,2025-06-15 00:27:33.165122,2025-06-15 00:27:36.351035,0 days 00:00:03.185913,,,,,,,,,,,,,,,,,,,,,,456.0,0.004,2m,3.0,1.0,1.4,524.0,138.0,0.002,2m,1.0,2.5,1.6,640.0,942.0,0.004,4m,4.0,3.0,1.3,434.0,578.0,0.009000000000000001,3m,1.5,3.5,0.6,24.0,534,0.005,2m,2.0,3.0,1.1,1010,,,,,,,,354.0,0.005,2m,3.0,1.5,1.5,852.0,0.25,6,COMPLETE
111,111,7.037715301853498,2025-06-15 00:27:36.412556,2025-06-15 00:27:38.478302,0 days 00:00:02.065746,,,,,,,,,,,,,,,,,,,,,,582.0,0.003,2m,3.5,1.5,1.2000000000000002,546.0,560.0,0.003,2m,1.0,3.0,1.7000000000000002,578.0,532.0,0.002,1m,3.5,3.5,0.7,126.0,,,,,,,,372,0.006,2m,2.5,3.0,1.3,898,,,,,,,,,,,,,,,0.25,4,COMPLETE
112,112,9.746573132129736,2025-06-15 00:27:38.550813,2025-06-15 00:27:40.841988,0 days 00:00:02.291175,,,,,,,,,,,,,,,,,,,,,,520.0,0.003,2m,3.5,1.5,1.0,446.0,604.0,0.003,2m,1.0,3.0,1.7000000000000002,484.0,496.0,0.002,1m,3.5,3.5,0.6,34.0,,,,,,,,500,0.006,2m,2.5,3.5,0.8,938,,,,,,,,,,,,,,,0.25,4,COMPLETE
113,113,9.460119158606057,2025-06-15 00:27:40.919014,2025-06-15 00:27:42.911161,0 days 00:00:01.992147,,,,,,,,,,,,,,,,,,,,,,282.0,0.003,2m,3.5,1.5,1.0,448.0,598.0,0.004,2m,1.0,3.0,1.6,688.0,488.0,0.003,1m,3.5,3.5,0.6,340.0,,,,,,,,498,0.006,2m,2.5,3.5,1.3,936,,,,,,,,,,,,,,,0.25,4,COMPLETE
114,114,8.155852578132844,2025-06-15 00:27:42.974673,2025-06-15 00:27:44.831066,0 days 00:00:01.856393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,0.004,2m,1.0,3.0,1.8,684.0,484.0,0.002,1m,3.5,3.5,0.6,352.0,,,,,,,,442,0.006,2m,2.5,3.5,1.4,938,,,,,,,,,,,,,,,0.25,3,COMPLETE
115,115,7.799883519580733,2025-06-15 00:27:44.907583,2025-06-15 00:27:47.489306,0 days 00:00:02.581723,,,,,,,,,,,,,,,,,,,,,,208.0,0.002,2m,3.5,1.5,1.0,394.0,530.0,0.003,2m,1.0,3.5,1.7000000000000002,750.0,504.0,0.003,1m,3.5,3.5,1.8,338.0,,,,,,,,466,0.006,2m,3.0,3.5,1.2000000000000002,880,,,,,,,,232.0,0.009000000000000001,2m,4.0,2.0,1.4,808.0,0.3,5,COMPLETE
116,116,1.840635890981272,2025-06-15 00:27:47.553818,2025-06-15 00:27:49.903386,0 days 00:00:02.349568,,,,,,,,,,,,,,,,,,,,,,524.0,0.003,2m,3.5,1.5,0.9,446.0,696.0,0.004,4m,1.0,2.5,1.9000000000000001,616.0,554.0,0.002,1m,3.5,2.5,0.5,30.0,,,,,,,,496,0.006,2m,2.5,3.5,1.3,926,,,,,,,,,,,,,,,0.25,4,COMPLETE
117,117,1.899656469055134,2025-06-15 00:27:49.960373,2025-06-15 00:27:51.072084,0 days 00:00:01.111711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0,0.001,1m,3.5,4.0,0.6,288.0,,,,,,,,408,0.006,2m,2.5,3.5,1.0,986,,,,,,,,,,,,,,,0.25,2,COMPLETE
118,118,7.109802270151495,2025-06-15 00:27:51.141094,2025-06-15 00:27:53.397054,0 days 00:00:02.255960,,,,,,,,,,,,,,,,,,,,,,320.0,0.001,4m,3.0,1.5,0.8,484.0,542.0,0.003,2m,1.0,3.0,1.1,690.0,298.0,0.005,1m,3.0,3.5,0.5,400.0,,,,,,,,338,0.007,2m,2.5,3.5,1.2000000000000002,588,,,,,,,,,,,,,,,0.3,4,COMPLETE
119,119,5.120567777385864,2025-06-15 00:27:53.461085,2025-06-15 00:27:55.058877,0 days 00:00:01.597792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,0.004,2m,1.5,3.0,1.8,788.0,518.0,0.004,1m,3.5,1.5,1.7000000000000002,86.0,,,,,,,,386,0.006,2m,3.0,3.5,1.1,828,,,,,,,,,,,,,,,0.45,3,COMPLETE
120,120,8.822223910341753,2025-06-15 00:27:55.149882,2025-06-15 00:27:58.175251,0 days 00:00:03.025369,,,,,,,,,,,,,,,,,,,,,,346.0,0.003,2m,3.5,2.0,1.0,506.0,562.0,0.003,2m,1.0,2.5,1.7000000000000002,564.0,464.0,0.002,1m,4.0,3.5,0.7,264.0,,,,,,,,552,0.007,2m,2.5,3.0,1.3,1024,,,,,,,,196.0,0.007,2m,4.0,4.0,1.8,1004.0,0.25,5,COMPLETE
121,121,6.269331674069865,2025-06-15 00:27:58.233251,2025-06-15 00:28:01.042758,0 days 00:00:02.809507,,,,,,,,,,,,,,,,,,,,,,298.0,0.003,2m,3.5,2.0,1.0,334.0,598.0,0.003,2m,1.0,2.5,1.7000000000000002,508.0,468.0,0.002,1m,4.0,3.5,0.7,232.0,,,,,,,,552,0.007,2m,2.5,3.0,1.3,952,,,,,,,,186.0,0.007,2m,4.0,4.0,1.8,1012.0,0.25,5,COMPLETE
122,122,8.507385283308755,2025-06-15 00:28:01.111266,2025-06-15 00:28:03.671234,0 days 00:00:02.559968,,,,,,,,,,,,,,,,,,,,,,346.0,0.003,2m,3.5,1.5,1.0,504.0,510.0,0.003,2m,1.0,2.5,1.6,646.0,398.0,0.002,1m,4.0,3.5,0.6,254.0,,,,,,,,522,0.008,2m,2.5,3.0,1.4,1020,,,,,,,,100.0,0.006,2m,4.0,3.5,2.0,984.0,0.25,5,COMPLETE
123,123,6.449201433230051,2025-06-15 00:28:03.749249,2025-06-15 00:28:07.108322,0 days 00:00:03.359073,,,,,,,,,,,,,,,,,,,,,,242.0,0.002,2m,3.5,1.5,0.9,466.0,630.0,0.003,2m,1.0,2.5,1.7000000000000002,560.0,438.0,0.003,1m,4.0,3.5,0.6,316.0,1008.0,0.002,2m,2.5,4.0,1.8,482.0,476,0.007,2m,2.5,3.0,1.3,990,,,,,,,,246.0,0.008,2m,4.0,4.0,1.9000000000000001,764.0,0.25,6,COMPLETE
124,124,7.945950901908779,2025-06-15 00:28:07.182839,2025-06-15 00:28:09.945892,0 days 00:00:02.763053,,,,,,,,,,,,,,,,,,,,,,300.0,0.003,2m,3.5,2.0,0.8,574.0,564.0,0.002,2m,1.0,2.5,1.7000000000000002,530.0,498.0,0.003,1m,4.0,3.5,0.7,204.0,,,,,,,,430,0.006,2m,2.0,3.0,1.2000000000000002,914,,,,,,,,290.0,0.007,2m,3.5,1.5,0.6,858.0,0.25,5,COMPLETE
125,125,10.979202403929758,2025-06-15 00:28:10.020403,2025-06-15 00:28:12.250005,0 days 00:00:02.229602,,,,,,,,,,,,,,,,,,,,,,370.0,0.003,2m,3.5,1.5,1.5,398.0,536.0,0.003,2m,1.0,4.0,1.8,480.0,464.0,0.002,1m,3.5,3.5,0.6,362.0,,,,,,,,544,0.007,2m,2.5,3.5,1.3,938,,,,,,,,,,,,,,,0.3,4,COMPLETE
126,126,8.749228062062656,2025-06-15 00:28:12.320515,2025-06-15 00:28:14.606406,0 days 00:00:02.285891,,,,,,,,,,,,,,,,,,,,,,500.0,0.002,1m,2.5,3.5,1.5,402.0,474.0,0.002,2m,1.0,4.0,2.0,486.0,334.0,0.002,1m,3.5,4.0,0.5,376.0,,,,,,,,502,0.006,2m,2.5,3.5,1.1,354,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
127,127,8.483674208653527,2025-06-15 00:28:14.671922,2025-06-15 00:28:16.797679,0 days 00:00:02.125757,,,,,,,,,,,,,,,,,,,,,,452.0,0.004,2m,3.0,1.5,1.6,352.0,534.0,0.003,2m,1.0,4.0,1.8,708.0,518.0,0.001,1m,3.5,3.5,0.6,420.0,,,,,,,,282,0.008,1m,3.0,3.5,1.3,940,,,,,,,,,,,,,,,0.3,4,COMPLETE
128,128,8.83641478010957,2025-06-15 00:28:16.873205,2025-06-15 00:28:19.173565,0 days 00:00:02.300360,,,,,,,,,,,,,,,,,,,,,,280.0,0.003,2m,3.5,1.0,1.5,440.0,504.0,0.003,2m,1.0,3.5,1.9000000000000001,464.0,548.0,0.003,1m,3.0,3.5,0.6,364.0,,,,,,,,532,0.007,2m,2.0,3.5,1.4,872,,,,,,,,,,,,,,,0.3,4,COMPLETE
129,129,7.552888257242557,2025-06-15 00:28:19.246568,2025-06-15 00:28:21.000880,0 days 00:00:01.754312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0,0.004,2m,1.0,4.0,1.6,608.0,486.0,0.002,1m,3.5,3.0,0.5,386.0,,,,,,,,464,0.006,4m,2.5,3.5,1.2000000000000002,902,,,,,,,,,,,,,,,0.2,3,COMPLETE
130,130,1.6288889087772167,2025-06-15 00:28:21.091395,2025-06-15 00:28:23.373045,0 days 00:00:02.281650,,,,,,,,,,,,,,,,,,,,,,392.0,0.001,2m,3.5,3.0,1.1,414.0,442.0,0.01,3m,1.5,3.0,2.0,480.0,422.0,0.003,1m,3.5,3.5,0.6,324.0,,,,,,,,580,0.005,2m,2.0,3.5,1.9000000000000001,964,,,,,,,,,,,,,,,0.3,4,COMPLETE
131,131,10.193232845338441,2025-06-15 00:28:23.441554,2025-06-15 00:28:25.752522,0 days 00:00:02.310968,,,,,,,,,,,,,,,,,,,,,,362.0,0.003,2m,3.5,1.0,1.5,446.0,506.0,0.003,2m,1.0,3.5,1.9000000000000001,518.0,558.0,0.003,1m,3.0,3.5,0.6,354.0,,,,,,,,532,0.007,2m,2.0,3.5,1.4,860,,,,,,,,,,,,,,,0.3,4,COMPLETE
132,132,8.522358110507422,2025-06-15 00:28:25.824035,2025-06-15 00:28:28.110114,0 days 00:00:02.286079,,,,,,,,,,,,,,,,,,,,,,364.0,0.003,2m,3.5,1.0,1.4,476.0,484.0,0.003,2m,1.0,3.5,1.9000000000000001,512.0,572.0,0.003,1m,3.0,3.5,1.2000000000000002,348.0,,,,,,,,514,0.007,2m,2.0,3.5,1.4,850,,,,,,,,,,,,,,,0.3,4,COMPLETE
133,133,9.88565143186373,2025-06-15 00:28:28.208647,2025-06-15 00:28:30.463632,0 days 00:00:02.254985,,,,,,,,,,,,,,,,,,,,,,326.0,0.002,2m,3.5,1.5,1.3,538.0,518.0,0.003,2m,1.0,3.5,2.0,420.0,532.0,0.003,1m,3.5,3.5,0.6,444.0,,,,,,,,486,0.006,2m,2.0,3.5,1.3,922,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
134,134,10.103280052429861,2025-06-15 00:28:30.500142,2025-06-15 00:28:32.733037,0 days 00:00:02.232895,,,,,,,,,,,,,,,,,,,,,,426.0,0.002,2m,3.5,1.0,1.5,538.0,538.0,0.003,2m,1.0,3.5,2.0,538.0,526.0,0.003,1m,3.5,3.5,0.5,448.0,,,,,,,,488,0.006,2m,2.5,3.5,1.2000000000000002,892,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
135,135,10.199755874612855,2025-06-15 00:28:32.799543,2025-06-15 00:28:34.882531,0 days 00:00:02.082988,,,,,,,,,,,,,,,,,,,,,,432.0,0.002,2m,3.5,1.0,1.6,536.0,580.0,0.003,2m,1.0,3.5,2.0,530.0,592.0,0.003,4m,3.5,3.5,0.5,432.0,,,,,,,,544,0.007,2m,2.5,3.5,1.4,902,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
