,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_TXN_beta_win,params_AMZN_TXN_stop_loss,params_AMZN_TXN_trade_freq,params_AMZN_TXN_z_entry,params_AMZN_TXN_z_exit,params_AMZN_TXN_z_stop_scaler,params_AMZN_TXN_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_CDNS_GOOGL_beta_win,params_CDNS_GOOGL_stop_loss,params_CDNS_GOOGL_trade_freq,params_CDNS_GOOGL_z_entry,params_CDNS_GOOGL_z_exit,params_CDNS_GOOGL_z_stop_scaler,params_CDNS_GOOGL_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
137,137,4.043537967739734,2025-06-15 00:47:31.061320,2025-06-15 00:47:36.151185,0 days 00:00:05.089865,494.0,0.001,1m,2.5,4.0,0.7,710.0,730.0,0.009000000000000001,4m,1.0,4.0,1.1,668.0,620.0,0.009000000000000001,2m,4.0,4.0,0.8,120.0,780.0,0.001,1m,3.0,1.0,0.5,66.0,184.0,0.007,3m,2.5,3.5,1.3,194.0,910.0,0.001,1m,4.0,4.0,1.0,70.0,632.0,0.001,4m,4.0,2.0,1.9000000000000001,878.0,244,0.005,3m,2.0,1.0,0.7,98,318.0,0.004,2m,4.0,3.5,0.6,284.0,946.0,0.009000000000000001,3m,2.0,1.0,1.4,784.0,0.35000000000000003,10,COMPLETE
138,138,1.3126097830308245,2025-06-15 00:47:36.258704,2025-06-15 00:47:40.824959,0 days 00:00:04.566255,532.0,0.001,1m,2.5,4.0,0.5,792.0,410.0,0.008,4m,1.0,4.0,1.2000000000000002,102.0,732.0,0.01,4m,4.0,3.5,0.9,282.0,56.0,0.004,3m,2.0,3.0,0.6,148.0,892.0,0.006,3m,2.5,3.5,0.5,82.0,,,,,,,,716.0,0.001,2m,4.0,2.0,1.7000000000000002,872.0,178,0.006,4m,2.5,1.5,0.7,54,408.0,0.002,3m,3.0,3.0,0.5,232.0,698.0,0.01,3m,2.5,2.5,1.6,724.0,0.25,9,COMPLETE
139,139,1.1083199471405345,2025-06-15 00:47:40.911467,2025-06-15 00:47:45.860310,0 days 00:00:04.948843,470.0,0.001,4m,2.5,3.0,0.8,750.0,462.0,0.009000000000000001,3m,1.0,4.0,0.9,36.0,692.0,0.008,2m,3.5,3.5,0.5,952.0,32.0,0.001,4m,1.5,1.5,0.5,104.0,800.0,0.005,3m,2.5,3.5,1.2000000000000002,452.0,994.0,0.001,2m,1.0,3.0,0.9,984.0,748.0,0.002,2m,4.0,2.0,2.0,750.0,290,0.004,3m,2.0,2.5,0.6,108,360.0,0.003,4m,4.0,4.0,0.7,404.0,968.0,0.008,3m,1.5,1.0,1.5,750.0,0.3,10,COMPLETE
140,140,4.053986795737334,2025-06-15 00:47:45.962821,2025-06-15 00:47:51.104456,0 days 00:00:05.141635,550.0,0.001,1m,3.0,4.0,2.0,764.0,496.0,0.009000000000000001,4m,1.0,4.0,1.3,86.0,772.0,0.008,2m,1.5,4.0,0.8,982.0,120.0,0.002,4m,2.5,1.5,0.6,58.0,984.0,0.001,3m,2.5,1.0,2.0,326.0,874.0,0.001,4m,4.0,2.0,2.0,330.0,682.0,0.001,4m,4.0,1.5,0.6,978.0,240,0.004,4m,1.0,1.0,0.7,80,248.0,0.003,3m,3.5,3.0,0.5,286.0,994.0,0.006,3m,1.5,1.0,1.3,802.0,0.3,10,COMPLETE
141,141,5.911524184486854,2025-06-15 00:47:51.188965,2025-06-15 00:47:56.390966,0 days 00:00:05.202001,618.0,0.004,4m,2.5,4.0,0.5,676.0,584.0,0.01,4m,1.0,4.0,1.2000000000000002,216.0,1022.0,0.008,2m,4.0,3.5,1.1,1008.0,28.0,0.001,4m,2.0,1.5,0.5,136.0,932.0,0.006,3m,2.5,3.5,1.9000000000000001,846.0,984.0,0.002,2m,1.0,2.0,1.1,290.0,616.0,0.001,2m,4.0,1.5,1.8,826.0,192,0.003,3m,2.0,1.5,0.6,140,442.0,0.003,3m,4.0,2.5,0.5,190.0,958.0,0.007,3m,2.0,1.0,1.3,688.0,0.3,10,COMPLETE
142,142,5.905899855619761,2025-06-15 00:47:56.487500,2025-06-15 00:48:01.503164,0 days 00:00:05.015664,588.0,0.003,1m,1.0,4.0,0.6,696.0,564.0,0.01,4m,1.0,4.0,1.3,180.0,40.0,0.008,2m,4.0,3.5,1.1,674.0,58.0,0.001,4m,2.0,1.5,0.5,124.0,870.0,0.006,3m,2.5,3.5,1.8,360.0,960.0,0.001,2m,4.0,2.0,1.2000000000000002,244.0,608.0,0.001,2m,4.0,2.5,0.5,944.0,278,0.002,3m,2.0,1.5,0.6,114,478.0,0.003,3m,4.0,2.0,0.6,164.0,920.0,0.007,3m,2.0,1.0,1.4,700.0,0.3,10,COMPLETE
143,143,3.0929407023698205,2025-06-15 00:48:01.585567,2025-06-15 00:48:06.544762,0 days 00:00:04.959195,642.0,0.002,4m,2.5,4.0,0.6,622.0,618.0,0.008,4m,1.0,4.0,1.2000000000000002,152.0,960.0,0.009000000000000001,2m,4.0,3.5,1.0,940.0,84.0,0.001,4m,2.0,4.0,0.5,86.0,950.0,0.007,3m,2.5,3.5,1.8,114.0,996.0,0.002,2m,1.0,2.0,2.0,196.0,536.0,0.001,2m,4.0,1.5,1.7000000000000002,598.0,334,0.003,3m,1.0,1.5,0.5,38,392.0,0.003,3m,4.0,2.5,0.5,436.0,990.0,0.007,3m,2.0,1.0,0.5,770.0,0.15000000000000002,10,COMPLETE
144,144,4.917719835474466,2025-06-15 00:48:06.623279,2025-06-15 00:48:11.676090,0 days 00:00:05.052811,518.0,0.008,1m,2.0,4.0,0.5,570.0,652.0,0.01,4m,1.0,4.0,1.3,242.0,552.0,0.007,2m,4.0,3.5,1.0,1024.0,16.0,0.001,3m,2.0,1.5,0.6,422.0,916.0,0.006,3m,3.0,3.5,1.4,424.0,916.0,0.001,1m,2.0,4.0,1.9000000000000001,900.0,652.0,0.001,2m,3.0,1.5,0.5,84.0,322,0.008,3m,1.0,1.5,0.6,414,420.0,0.003,3m,4.0,4.0,0.6,260.0,974.0,0.008,3m,2.0,1.0,0.6,824.0,0.3,10,COMPLETE
145,145,4.243020191304955,2025-06-15 00:48:11.750599,2025-06-15 00:48:19.491001,0 days 00:00:07.740402,558.0,0.001,4m,3.5,4.0,0.7,716.0,356.0,0.009000000000000001,4m,1.0,4.0,1.2000000000000002,120.0,902.0,0.006,4m,4.0,4.0,2.0,994.0,48.0,0.001,4m,1.5,1.5,0.7,182.0,910.0,0.006,1m,2.5,3.5,1.9000000000000001,152.0,948.0,0.001,2m,1.5,2.5,1.3,456.0,578.0,0.004,2m,3.5,2.0,1.0,994.0,696,0.004,3m,2.5,1.5,0.7,70,456.0,0.004,3m,3.0,3.0,0.5,198.0,1010.0,0.006,4m,2.0,1.0,1.2000000000000002,730.0,0.35000000000000003,10,COMPLETE
146,146,5.9086200837469365,2025-06-15 00:48:19.602518,2025-06-15 00:48:26.869432,0 days 00:00:07.266914,988.0,0.006,1m,2.5,4.0,1.9000000000000001,538.0,634.0,0.007,4m,1.0,4.0,1.1,56.0,978.0,0.008,2m,4.0,2.5,0.5,972.0,94.0,0.002,4m,2.0,1.5,0.5,120.0,854.0,0.009000000000000001,3m,3.0,3.5,0.6,538.0,504.0,0.002,1m,4.0,4.0,1.1,358.0,790.0,0.001,4m,4.0,1.5,0.9,1008.0,306,0.006,3m,1.5,1.0,0.5,182,328.0,0.003,3m,4.0,4.0,0.5,238.0,946.0,0.002,3m,1.5,1.5,0.7,680.0,0.25,10,COMPLETE
147,147,-0.5030028332688907,2025-06-15 00:48:26.962945,2025-06-15 00:48:31.583071,0 days 00:00:04.620126,608.0,0.002,4m,1.0,4.0,0.6,698.0,262.0,0.001,4m,2.5,4.0,1.9000000000000001,182.0,694.0,0.009000000000000001,4m,4.0,3.5,0.9,476.0,68.0,0.001,3m,2.0,1.5,0.5,28.0,886.0,0.003,2m,2.5,1.0,1.8,468.0,,,,,,,,950.0,0.002,2m,2.5,1.0,1.6,964.0,730,0.005,4m,2.0,1.5,0.9,56,1012.0,0.002,3m,4.0,3.5,0.6,312.0,908.0,0.007,3m,1.5,1.0,1.6,752.0,0.3,9,COMPLETE
148,148,5.058710846556351,2025-06-15 00:48:31.663580,2025-06-15 00:48:36.732941,0 days 00:00:05.069361,488.0,0.005,1m,2.5,4.0,0.5,648.0,532.0,0.001,4m,1.5,4.0,0.6,18.0,884.0,0.01,2m,4.0,3.0,0.6,994.0,144.0,0.001,4m,1.5,1.5,1.0,156.0,834.0,0.001,3m,4.0,3.5,1.4,508.0,846.0,0.001,2m,1.0,2.0,1.7000000000000002,404.0,508.0,0.001,3m,4.0,1.5,1.7000000000000002,244.0,980,0.002,3m,1.0,2.0,0.6,126,548.0,0.003,3m,3.0,3.0,0.6,382.0,1024.0,0.006,2m,2.5,1.0,0.5,572.0,0.3,10,COMPLETE
149,149,6.265340556359402,2025-06-15 00:48:36.824978,2025-06-15 00:48:41.875970,0 days 00:00:05.050992,16.0,0.004,2m,3.0,4.0,2.0,38.0,588.0,0.003,4m,1.0,3.5,1.0,148.0,914.0,0.009000000000000001,1m,2.0,4.0,1.1,712.0,42.0,0.001,2m,2.5,2.0,0.6,94.0,1000.0,0.004,3m,2.5,3.0,1.7000000000000002,392.0,38.0,0.008,3m,4.0,2.0,1.0,174.0,628.0,0.001,4m,3.5,1.0,0.6,702.0,944,0.004,2m,2.0,1.0,1.2000000000000002,306,366.0,0.008,2m,4.0,4.0,0.5,344.0,934.0,0.007,3m,1.5,1.0,0.7,410.0,0.3,10,COMPLETE
