,number,value,datetime_start,datetime_complete,duration,params_ADSK_DOCU_beta_win,params_ADSK_DOCU_stop_loss,params_ADSK_DOCU_trade_freq,params_ADSK_DOCU_z_entry,params_ADSK_DOCU_z_exit,params_ADSK_DOCU_z_stop_scaler,params_ADSK_DOCU_z_win,params_ALGN_DOCU_beta_win,params_ALGN_DOCU_stop_loss,params_ALGN_DOCU_trade_freq,params_ALGN_DOCU_z_entry,params_ALGN_DOCU_z_exit,params_ALGN_DOCU_z_stop_scaler,params_ALGN_DOCU_z_win,params_AMAT_DOCU_beta_win,params_AMAT_DOCU_stop_loss,params_AMAT_DOCU_trade_freq,params_AMAT_DOCU_z_entry,params_AMAT_DOCU_z_exit,params_AMAT_DOCU_z_stop_scaler,params_AMAT_DOCU_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_DOCU_beta_win,params_ASML_DOCU_stop_loss,params_ASML_DOCU_trade_freq,params_ASML_DOCU_z_entry,params_ASML_DOCU_z_exit,params_ASML_DOCU_z_stop_scaler,params_ASML_DOCU_z_win,params_BIIB_DOCU_beta_win,params_BIIB_DOCU_stop_loss,params_BIIB_DOCU_trade_freq,params_BIIB_DOCU_z_entry,params_BIIB_DOCU_z_exit,params_BIIB_DOCU_z_stop_scaler,params_BIIB_DOCU_z_win,params_CPRT_DOCU_beta_win,params_CPRT_DOCU_stop_loss,params_CPRT_DOCU_trade_freq,params_CPRT_DOCU_z_entry,params_CPRT_DOCU_z_exit,params_CPRT_DOCU_z_stop_scaler,params_CPRT_DOCU_z_win,params_EBAY_DOCU_beta_win,params_EBAY_DOCU_stop_loss,params_EBAY_DOCU_trade_freq,params_EBAY_DOCU_z_entry,params_EBAY_DOCU_z_exit,params_EBAY_DOCU_z_stop_scaler,params_EBAY_DOCU_z_win,params_MTCH_DOCU_beta_win,params_MTCH_DOCU_stop_loss,params_MTCH_DOCU_trade_freq,params_MTCH_DOCU_z_entry,params_MTCH_DOCU_z_exit,params_MTCH_DOCU_z_stop_scaler,params_MTCH_DOCU_z_win,params_SBUX_DOCU_beta_win,params_SBUX_DOCU_stop_loss,params_SBUX_DOCU_trade_freq,params_SBUX_DOCU_z_entry,params_SBUX_DOCU_z_exit,params_SBUX_DOCU_z_stop_scaler,params_SBUX_DOCU_z_win,params_buffer_capital,params_pairs_to_trade,state
25,25,2.4610986955535,2025-06-15 00:53:32.899399,2025-06-15 00:53:34.066611,0 days 00:00:01.167212,382,0.003,4m,2.0,2.5,0.6,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,0.008,4m,3.0,1.5,1.0,652.0,,,,,,,,0.25,2,COMPLETE
26,26,0.3019887721350373,2025-06-15 00:53:34.153149,2025-06-15 00:53:36.362796,0 days 00:00:02.209647,558,0.002,1m,1.5,1.5,1.8,574,,,,,,,,,,,,,,,264.0,0.005,3m,1.0,3.5,1.5,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,0.007,4m,4.0,1.5,1.2000000000000002,830.0,566.0,0.006,1m,2.0,4.0,1.8,700.0,0.1,4,COMPLETE
27,27,-0.6732124960117092,2025-06-15 00:53:36.433802,2025-06-15 00:53:38.648389,0 days 00:00:02.214587,382,0.003,2m,1.0,1.0,0.6,622,,,,,,,,,,,,,,,402.0,0.008,4m,3.5,3.0,0.7,968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.009000000000000001,4m,3.0,1.0,0.8,500.0,876.0,0.003,2m,1.0,2.0,0.8,356.0,0.05,4,COMPLETE
28,28,4.186246194773899,2025-06-15 00:53:38.728901,2025-06-15 00:53:39.804038,0 days 00:00:01.075137,232,0.005,3m,3.0,2.5,1.4,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,0.006,4m,2.0,2.0,0.6,666.0,,,,,,,,0.15000000000000002,2,COMPLETE
29,29,2.7354243118164527,2025-06-15 00:53:39.884551,2025-06-15 00:53:41.533972,0 days 00:00:01.649421,334,0.002,3m,1.5,2.0,2.0,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,0.005,3m,3.0,2.5,0.9,362.0,442.0,0.007,3m,2.0,3.5,1.9000000000000001,980.0,0.2,3,COMPLETE
30,30,1.3528284137146807,2025-06-15 00:53:41.635491,2025-06-15 00:53:46.349113,0 days 00:00:04.713622,134,0.008,4m,2.0,1.5,1.2000000000000002,780,406.0,0.002,3m,1.0,2.0,1.8,118.0,776.0,0.008,3m,4.0,4.0,1.5,1012.0,808.0,0.003,2m,2.0,4.0,1.1,210.0,176.0,0.01,3m,3.5,2.5,1.6,582.0,890.0,0.01,4m,3.0,2.5,2.0,688.0,966.0,0.005,3m,2.0,2.0,1.2000000000000002,444.0,,,,,,,,576.0,0.009000000000000001,4m,2.5,1.5,1.2000000000000002,1012.0,244.0,0.008,4m,3.0,1.0,1.3,146.0,0.35000000000000003,9,COMPLETE
31,31,-0.6015358282368007,2025-06-15 00:53:46.428119,2025-06-15 00:53:47.116268,0 days 00:00:00.688149,76,0.006,4m,1.0,3.0,0.7,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
32,32,1.7416525534188856,2025-06-15 00:53:47.205293,2025-06-15 00:53:48.755346,0 days 00:00:01.550053,304,0.007,4m,1.0,3.0,0.5,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.007,3m,3.5,3.5,1.1,572.0,650.0,0.01,4m,3.0,2.5,1.5,680.0,0.1,3,COMPLETE
33,33,1.43612577106012,2025-06-15 00:53:48.836347,2025-06-15 00:53:49.462459,0 days 00:00:00.626112,222,0.008,4m,1.0,3.5,0.7,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
34,34,-2.4006740428477977,2025-06-15 00:53:49.531462,2025-06-15 00:53:50.709194,0 days 00:00:01.177732,66,0.01,4m,1.5,2.0,0.8,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,0.008,4m,2.0,2.0,0.6,800.0,,,,,,,,0.3,2,COMPLETE
