,number,value,datetime_start,datetime_complete,duration,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_CHKP_beta_win,params_ALGN_CHKP_stop_loss,params_ALGN_CHKP_trade_freq,params_ALGN_CHKP_z_entry,params_ALGN_CHKP_z_exit,params_ALGN_CHKP_z_stop_scaler,params_ALGN_CHKP_z_win,params_COST_CHKP_beta_win,params_COST_CHKP_stop_loss,params_COST_CHKP_trade_freq,params_COST_CHKP_z_entry,params_COST_CHKP_z_exit,params_COST_CHKP_z_stop_scaler,params_COST_CHKP_z_win,params_CPRT_CHKP_beta_win,params_CPRT_CHKP_stop_loss,params_CPRT_CHKP_trade_freq,params_CPRT_CHKP_z_entry,params_CPRT_CHKP_z_exit,params_CPRT_CHKP_z_stop_scaler,params_CPRT_CHKP_z_win,params_GOOGL_CHKP_beta_win,params_GOOGL_CHKP_stop_loss,params_GOOGL_CHKP_trade_freq,params_GOOGL_CHKP_z_entry,params_GOOGL_CHKP_z_exit,params_GOOGL_CHKP_z_stop_scaler,params_GOOGL_CHKP_z_win,params_GOOG_CHKP_beta_win,params_GOOG_CHKP_stop_loss,params_GOOG_CHKP_trade_freq,params_GOOG_CHKP_z_entry,params_GOOG_CHKP_z_exit,params_GOOG_CHKP_z_stop_scaler,params_GOOG_CHKP_z_win,params_ISRG_CHKP_beta_win,params_ISRG_CHKP_stop_loss,params_ISRG_CHKP_trade_freq,params_ISRG_CHKP_z_entry,params_ISRG_CHKP_z_exit,params_ISRG_CHKP_z_stop_scaler,params_ISRG_CHKP_z_win,params_LULU_CHKP_beta_win,params_LULU_CHKP_stop_loss,params_LULU_CHKP_trade_freq,params_LULU_CHKP_z_entry,params_LULU_CHKP_z_exit,params_LULU_CHKP_z_stop_scaler,params_LULU_CHKP_z_win,params_MSFT_CHKP_beta_win,params_MSFT_CHKP_stop_loss,params_MSFT_CHKP_trade_freq,params_MSFT_CHKP_z_entry,params_MSFT_CHKP_z_exit,params_MSFT_CHKP_z_stop_scaler,params_MSFT_CHKP_z_win,params_PEP_CHKP_beta_win,params_PEP_CHKP_stop_loss,params_PEP_CHKP_trade_freq,params_PEP_CHKP_z_entry,params_PEP_CHKP_z_exit,params_PEP_CHKP_z_stop_scaler,params_PEP_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
22,22,3.1232087674253997,2025-06-15 00:23:32.009312,2025-06-15 00:23:37.070129,0 days 00:00:05.060817,690.0,0.001,4m,3.0,2.0,1.0,768.0,404.0,0.007,4m,1.0,4.0,2.0,444.0,784.0,0.003,3m,2.0,1.0,1.5,348.0,360,0.007,4m,1.0,3.0,0.7,212,898.0,0.008,3m,1.5,4.0,1.1,698.0,598.0,0.004,4m,1.0,3.5,1.8,92.0,138.0,0.005,2m,3.0,3.5,0.8,206.0,58.0,0.001,3m,2.5,2.5,0.5,440.0,742.0,0.005,4m,2.0,3.0,1.0,514.0,994.0,0.002,2m,1.0,4.0,2.0,1018.0,0.2,10,COMPLETE
23,23,8.10130006803084,2025-06-15 00:23:37.155133,2025-06-15 00:23:41.249217,0 days 00:00:04.094084,302.0,0.004,4m,3.0,2.0,1.3,710.0,588.0,0.01,4m,2.0,3.5,1.7000000000000002,300.0,420.0,0.001,3m,3.0,2.0,1.1,180.0,198,0.009000000000000001,4m,1.5,2.0,0.5,102,914.0,0.006,3m,1.5,3.5,0.8,572.0,156.0,0.003,4m,1.5,4.0,1.4,298.0,186.0,0.002,2m,3.5,3.0,1.4,366.0,,,,,,,,462.0,0.006,1m,2.0,3.0,0.5,622.0,,,,,,,,0.05,8,COMPLETE
24,24,4.041077219124328,2025-06-15 00:23:41.324738,2025-06-15 00:23:45.294072,0 days 00:00:03.969334,216.0,0.004,3m,3.0,3.0,1.3,240.0,362.0,0.01,4m,2.0,3.0,1.7000000000000002,224.0,380.0,0.001,2m,3.5,2.0,0.6,82.0,144,0.009000000000000001,4m,1.5,2.0,1.4,122,776.0,0.004,2m,2.5,3.5,0.9,552.0,528.0,0.006,4m,1.5,3.0,1.3,304.0,178.0,0.001,2m,3.5,3.0,1.4,444.0,,,,,,,,448.0,0.003,1m,2.5,3.5,0.5,898.0,,,,,,,,0.05,8,COMPLETE
25,25,2.450650480081036,2025-06-15 00:23:45.400130,2025-06-15 00:23:48.459274,0 days 00:00:03.059144,,,,,,,,182.0,0.004,2m,2.0,4.0,1.4,898.0,252.0,0.009000000000000001,3m,3.0,3.0,1.1,178.0,44,0.01,4m,2.0,2.5,2.0,246,658.0,0.006,3m,2.5,3.5,1.5,310.0,778.0,0.007,3m,2.0,3.0,1.3,346.0,358.0,0.002,3m,2.5,2.5,1.8,454.0,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
26,26,5.023563672366723,2025-06-15 00:23:48.538783,2025-06-15 00:23:52.242095,0 days 00:00:03.703312,,,,,,,,694.0,0.009000000000000001,2m,3.0,2.5,1.5,330.0,526.0,0.007,4m,1.5,2.0,0.7,720.0,758,0.009000000000000001,3m,2.5,3.0,0.9,366,904.0,0.002,2m,2.0,4.0,1.0,510.0,194.0,0.004,4m,3.0,1.5,1.1,532.0,592.0,0.003,1m,3.5,3.0,1.7000000000000002,346.0,,,,,,,,134.0,0.007,1m,1.5,3.5,1.5,682.0,,,,,,,,0.05,7,COMPLETE
27,27,4.473710934247965,2025-06-15 00:23:52.310196,2025-06-15 00:23:56.725500,0 days 00:00:04.415304,,,,,,,,504.0,0.002,4m,2.0,3.5,1.8,86.0,,,,,,,,430,0.007,2m,3.5,2.0,1.2000000000000002,490,358.0,0.004,3m,1.0,3.5,1.3,120.0,420.0,0.001,2m,2.5,3.5,0.7,846.0,158.0,0.007,2m,2.5,4.0,1.2000000000000002,122.0,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
28,28,1.6520470198348283,2025-06-15 00:23:56.826017,2025-06-15 00:24:00.284667,0 days 00:00:03.458650,,,,,,,,116.0,0.004,1m,3.0,3.0,1.2000000000000002,504.0,,,,,,,,516,0.002,1m,1.5,3.5,1.8,110,574.0,0.009000000000000001,4m,3.5,2.0,1.9000000000000001,840.0,,,,,,,,896.0,0.009000000000000001,4m,4.0,1.5,1.4,550.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
29,29,3.7140738782525387,2025-06-15 00:24:00.398691,2025-06-15 00:24:05.585060,0 days 00:00:05.186369,354.0,0.008,2m,1.0,2.0,1.6,672.0,232.0,0.006,3m,1.0,3.5,1.4,168.0,246.0,0.004,1m,3.5,3.5,1.5,492.0,354,0.009000000000000001,3m,3.0,2.5,1.4,572,790.0,0.008,1m,1.5,3.0,1.6,940.0,536.0,0.008,1m,1.5,4.0,1.4,436.0,462.0,0.008,1m,3.5,3.0,1.5,768.0,,,,,,,,220.0,0.005,1m,3.5,3.0,1.1,354.0,,,,,,,,0.05,8,COMPLETE
30,30,-0.14431312820113745,2025-06-15 00:24:05.660061,2025-06-15 00:24:06.752492,0 days 00:00:01.092431,,,,,,,,,,,,,,,,,,,,,,94,0.008,4m,2.0,3.0,1.3,292,730.0,0.002,4m,4.0,4.0,1.8,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
31,31,3.0423796744532305,2025-06-15 00:24:06.843527,2025-06-15 00:24:11.380657,0 days 00:00:04.537130,530.0,0.003,4m,3.0,1.5,1.0,748.0,582.0,0.008,4m,1.5,3.5,1.9000000000000001,338.0,410.0,0.002,3m,2.5,1.5,1.2000000000000002,230.0,226,0.008,4m,1.0,1.5,0.5,28,914.0,0.005,3m,1.5,4.0,0.7,684.0,130.0,0.003,4m,1.0,4.0,1.7000000000000002,216.0,34.0,0.005,2m,3.0,3.5,0.8,298.0,358.0,0.005,2m,1.5,1.5,1.0,158.0,536.0,0.006,3m,2.0,2.0,0.7,608.0,,,,,,,,0.25,9,COMPLETE
32,32,3.8215452595047874,2025-06-15 00:24:11.457664,2025-06-15 00:24:15.994340,0 days 00:00:04.536676,852.0,0.004,4m,2.5,2.0,1.0,838.0,554.0,0.01,4m,1.5,4.0,1.6,588.0,850.0,0.003,3m,1.5,1.5,1.4,450.0,300,0.01,4m,1.0,1.5,0.6,16,968.0,0.006,3m,1.0,4.0,0.5,736.0,318.0,0.003,4m,1.5,4.0,1.6,220.0,106.0,0.004,2m,3.0,3.5,1.1,172.0,366.0,0.003,3m,3.5,4.0,1.1,770.0,452.0,0.007,4m,1.5,2.5,0.7,446.0,,,,,,,,0.15000000000000002,9,COMPLETE
33,33,3.7704339046541615,2025-06-15 00:24:16.080345,2025-06-15 00:24:20.684667,0 days 00:00:04.604322,360.0,0.002,4m,3.5,1.5,1.6,638.0,664.0,0.008,4m,2.0,3.5,1.9000000000000001,462.0,646.0,0.002,3m,2.5,1.0,1.1,602.0,194,0.009000000000000001,4m,1.5,2.0,0.7,192,960.0,0.007,3m,1.5,3.5,0.7,608.0,126.0,0.004,4m,1.0,3.5,2.0,138.0,204.0,0.002,2m,3.0,3.0,0.5,452.0,682.0,0.009000000000000001,2m,2.0,2.0,1.5,634.0,726.0,0.004,1m,2.0,3.0,0.6,612.0,156.0,0.01,3m,2.5,3.5,0.5,716.0,0.05,10,COMPLETE
34,34,6.738275906995645,2025-06-15 00:24:20.770676,2025-06-15 00:24:24.516342,0 days 00:00:03.745666,116.0,0.005,4m,2.5,2.5,0.8,878.0,476.0,0.009000000000000001,4m,1.5,3.0,1.7000000000000002,322.0,304.0,0.004,3m,3.5,2.5,1.7000000000000002,408.0,316,0.009000000000000001,4m,1.0,1.5,0.6,96,840.0,0.003,3m,2.0,3.0,0.9,572.0,226.0,0.002,4m,2.0,4.0,1.4,284.0,324.0,0.006,2m,2.5,4.0,1.2000000000000002,26.0,,,,,,,,550.0,0.008,4m,2.0,2.0,1.1,762.0,,,,,,,,0.2,8,COMPLETE
35,35,1.395211249310397,2025-06-15 00:24:24.610860,2025-06-15 00:24:28.182322,0 days 00:00:03.571462,,,,,,,,460.0,0.009000000000000001,1m,1.0,3.0,1.5,324.0,304.0,0.006,2m,3.5,2.5,1.7000000000000002,444.0,346,0.009000000000000001,4m,1.5,1.0,0.6,112,816.0,0.003,3m,2.0,3.0,1.2000000000000002,364.0,208.0,0.002,3m,2.5,3.0,1.1,372.0,302.0,0.006,2m,2.5,4.0,1.2000000000000002,20.0,,,,,,,,530.0,0.008,3m,2.5,2.0,1.1,794.0,,,,,,,,0.35000000000000003,7,COMPLETE
36,36,6.700547293243868,2025-06-15 00:24:28.271833,2025-06-15 00:24:31.244133,0 days 00:00:02.972300,,,,,,,,400.0,0.01,4m,1.5,2.5,1.7000000000000002,174.0,166.0,0.004,3m,3.0,3.0,2.0,622.0,396,0.01,2m,1.0,2.0,0.8,318,832.0,0.001,3m,2.0,3.0,0.9,556.0,368.0,0.002,4m,2.0,2.0,1.4,290.0,320.0,0.007,2m,2.0,2.5,1.4,140.0,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
