,number,value,datetime_start,datetime_complete,duration,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_CHKP_beta_win,params_ALGN_CHKP_stop_loss,params_ALGN_CHKP_trade_freq,params_ALGN_CHKP_z_entry,params_ALGN_CHKP_z_exit,params_ALGN_CHKP_z_stop_scaler,params_ALGN_CHKP_z_win,params_COST_CHKP_beta_win,params_COST_CHKP_stop_loss,params_COST_CHKP_trade_freq,params_COST_CHKP_z_entry,params_COST_CHKP_z_exit,params_COST_CHKP_z_stop_scaler,params_COST_CHKP_z_win,params_CPRT_CHKP_beta_win,params_CPRT_CHKP_stop_loss,params_CPRT_CHKP_trade_freq,params_CPRT_CHKP_z_entry,params_CPRT_CHKP_z_exit,params_CPRT_CHKP_z_stop_scaler,params_CPRT_CHKP_z_win,params_GOOGL_CHKP_beta_win,params_GOOGL_CHKP_stop_loss,params_GOOGL_CHKP_trade_freq,params_GOOGL_CHKP_z_entry,params_GOOGL_CHKP_z_exit,params_GOOGL_CHKP_z_stop_scaler,params_GOOGL_CHKP_z_win,params_GOOG_CHKP_beta_win,params_GOOG_CHKP_stop_loss,params_GOOG_CHKP_trade_freq,params_GOOG_CHKP_z_entry,params_GOOG_CHKP_z_exit,params_GOOG_CHKP_z_stop_scaler,params_GOOG_CHKP_z_win,params_ISRG_CHKP_beta_win,params_ISRG_CHKP_stop_loss,params_ISRG_CHKP_trade_freq,params_ISRG_CHKP_z_entry,params_ISRG_CHKP_z_exit,params_ISRG_CHKP_z_stop_scaler,params_ISRG_CHKP_z_win,params_LULU_CHKP_beta_win,params_LULU_CHKP_stop_loss,params_LULU_CHKP_trade_freq,params_LULU_CHKP_z_entry,params_LULU_CHKP_z_exit,params_LULU_CHKP_z_stop_scaler,params_LULU_CHKP_z_win,params_MSFT_CHKP_beta_win,params_MSFT_CHKP_stop_loss,params_MSFT_CHKP_trade_freq,params_MSFT_CHKP_z_entry,params_MSFT_CHKP_z_exit,params_MSFT_CHKP_z_stop_scaler,params_MSFT_CHKP_z_win,params_PEP_CHKP_beta_win,params_PEP_CHKP_stop_loss,params_PEP_CHKP_trade_freq,params_PEP_CHKP_z_entry,params_PEP_CHKP_z_exit,params_PEP_CHKP_z_stop_scaler,params_PEP_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
81,81,7.511040523739784,2025-06-15 00:27:21.296546,2025-06-15 00:27:25.270540,0 days 00:00:03.973994,166.0,0.003,4m,2.5,3.5,1.4,340.0,832.0,0.009000000000000001,4m,2.0,3.5,1.5,556.0,498.0,0.004,3m,3.5,4.0,0.9,586.0,276,0.009000000000000001,3m,1.0,1.5,0.5,336,896.0,0.001,3m,2.5,3.5,0.9,538.0,188.0,0.001,4m,2.0,2.5,1.4,236.0,198.0,0.005,1m,1.5,2.5,1.2000000000000002,264.0,,,,,,,,888.0,0.007,3m,1.0,2.5,1.0,864.0,,,,,,,,0.05,8,COMPLETE
82,82,6.702061206295278,2025-06-15 00:27:25.355054,2025-06-15 00:27:29.645086,0 days 00:00:04.290032,156.0,0.003,4m,3.5,4.0,1.5,344.0,828.0,0.005,4m,2.0,3.5,1.3,554.0,494.0,0.006,3m,3.5,4.0,0.8,498.0,238,0.008,3m,1.0,1.5,0.5,432,892.0,0.001,3m,2.5,3.5,0.9,790.0,268.0,0.001,4m,2.0,2.5,1.4,232.0,126.0,0.005,1m,1.5,2.5,1.6,272.0,,,,,,,,832.0,0.007,3m,1.0,3.0,0.9,900.0,,,,,,,,0.05,8,COMPLETE
83,83,5.071012438861206,2025-06-15 00:27:29.729088,2025-06-15 00:27:33.298638,0 days 00:00:03.569550,,,,,,,,642.0,0.009000000000000001,4m,2.0,3.5,1.2000000000000002,646.0,568.0,0.004,3m,3.0,4.0,1.0,588.0,274,0.01,3m,1.0,2.0,0.5,342,978.0,0.001,3m,3.0,3.5,1.0,716.0,186.0,0.001,4m,1.5,2.5,1.6,202.0,182.0,0.004,1m,1.5,2.5,1.3,232.0,,,,,,,,804.0,0.006,3m,1.0,3.5,1.2000000000000002,250.0,,,,,,,,0.05,7,COMPLETE
84,84,1.672139761047123,2025-06-15 00:27:33.372762,2025-06-15 00:27:37.450118,0 days 00:00:04.077356,438.0,0.003,2m,2.0,3.5,1.3,156.0,684.0,0.01,4m,2.5,3.5,1.4,558.0,700.0,0.005,2m,3.5,4.0,0.8,684.0,154,0.009000000000000001,3m,1.0,1.5,0.9,518,866.0,0.001,3m,2.5,3.5,0.9,500.0,64.0,0.001,3m,2.0,2.5,1.5,156.0,158.0,0.005,1m,1.0,2.5,1.1,396.0,,,,,,,,428.0,0.005,3m,4.0,2.5,0.5,392.0,,,,,,,,0.1,8,COMPLETE
85,85,3.8893197062313467,2025-06-15 00:27:37.546624,2025-06-15 00:27:40.861502,0 days 00:00:03.314878,,,,,,,,782.0,0.01,4m,2.0,4.0,1.5,120.0,940.0,0.004,3m,3.0,3.5,1.1,510.0,196,0.008,3m,1.0,1.0,0.6,482,922.0,0.002,4m,2.5,3.5,0.8,534.0,388.0,0.001,4m,2.0,3.0,1.3,62.0,122.0,0.005,1m,1.5,2.5,1.2000000000000002,162.0,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
86,86,3.2847337243503563,2025-06-15 00:27:40.948527,2025-06-15 00:27:45.547313,0 days 00:00:04.598786,312.0,0.002,1m,3.0,3.5,1.8,286.0,906.0,0.009000000000000001,3m,2.0,3.5,1.3,28.0,604.0,0.007,3m,4.0,4.0,1.3,466.0,212,0.01,3m,1.0,1.5,0.7,292,892.0,0.001,3m,2.5,4.0,1.2000000000000002,854.0,198.0,0.002,4m,1.5,2.0,1.6,256.0,204.0,0.007,1m,1.0,2.5,1.4,320.0,198.0,0.006,4m,1.5,3.5,1.3,870.0,952.0,0.007,3m,1.0,2.5,0.6,978.0,,,,,,,,0.05,9,COMPLETE
87,87,-2.338232434705742,2025-06-15 00:27:45.596403,2025-06-15 00:27:47.275311,0 days 00:00:01.678908,,,,,,,,660.0,0.01,4m,2.5,3.5,1.6,702.0,,,,,,,,514,0.01,3m,1.0,2.0,0.8,328,960.0,0.002,3m,2.5,2.5,0.8,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
88,88,1.8249259146091839,2025-06-15 00:27:47.352266,2025-06-15 00:27:49.532305,0 days 00:00:02.180039,,,,,,,,738.0,0.01,4m,2.0,2.0,1.8,616.0,,,,,,,,176,0.009000000000000001,3m,1.5,1.5,0.6,390,856.0,0.006,3m,1.5,3.5,0.7,596.0,,,,,,,,158.0,0.004,1m,1.5,3.0,1.3,498.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
89,89,1.3715741307823794,2025-06-15 00:27:49.627832,2025-06-15 00:27:53.371052,0 days 00:00:03.743220,,,,,,,,844.0,0.009000000000000001,4m,2.0,2.5,1.5,52.0,514.0,0.003,3m,3.5,3.5,1.2000000000000002,556.0,116,0.001,2m,1.5,2.0,0.5,356,102.0,0.001,1m,2.5,2.5,0.9,488.0,256.0,0.009000000000000001,4m,1.5,2.5,1.4,312.0,62.0,0.003,1m,2.0,2.0,1.5,196.0,,,,,,,,44.0,0.006,1m,1.5,3.5,0.8,848.0,,,,,,,,0.15000000000000002,7,COMPLETE
90,90,0.17983509233931555,2025-06-15 00:27:53.450574,2025-06-15 00:27:57.818038,0 days 00:00:04.367464,212.0,0.002,3m,2.0,4.0,1.2000000000000002,418.0,794.0,0.01,4m,2.5,3.5,1.7000000000000002,184.0,696.0,0.008,4m,3.0,4.0,1.0,644.0,286,0.01,2m,1.0,2.0,0.6,286,808.0,0.005,3m,2.0,3.0,1.3,668.0,1022.0,0.002,4m,2.0,2.0,1.5,352.0,518.0,0.009000000000000001,3m,4.0,3.0,0.9,370.0,,,,,,,,662.0,0.004,2m,1.0,1.0,1.0,714.0,,,,,,,,0.05,8,COMPLETE
91,91,4.987206524986812,2025-06-15 00:27:57.906557,2025-06-15 00:28:02.131453,0 days 00:00:04.224896,58.0,0.004,4m,2.5,3.0,1.4,904.0,420.0,0.006,4m,1.5,3.0,1.7000000000000002,142.0,362.0,0.004,3m,1.0,3.5,0.8,714.0,248,0.009000000000000001,4m,1.0,1.5,0.5,246,832.0,0.002,3m,2.0,3.0,0.9,562.0,150.0,0.002,4m,2.0,4.0,1.4,276.0,222.0,0.006,2m,3.0,2.5,1.2000000000000002,42.0,,,,,,,,902.0,0.008,3m,2.0,2.5,1.2000000000000002,822.0,,,,,,,,0.3,8,COMPLETE
92,92,0.8072349327572184,2025-06-15 00:28:02.207963,2025-06-15 00:28:06.448209,0 days 00:00:04.240246,84.0,0.005,4m,2.5,3.0,0.9,792.0,752.0,0.008,4m,1.5,3.0,1.6,238.0,424.0,0.005,3m,3.5,3.0,0.5,630.0,404,0.009000000000000001,3m,1.0,1.5,0.6,168,762.0,0.003,3m,2.0,3.0,1.0,76.0,292.0,0.002,4m,2.0,2.0,1.3,232.0,276.0,0.006,2m,1.5,3.5,1.1,128.0,,,,,,,,462.0,0.007,1m,1.5,2.0,1.3,908.0,,,,,,,,0.25,8,COMPLETE
93,93,7.075167212620745,2025-06-15 00:28:06.533723,2025-06-15 00:28:11.240782,0 days 00:00:04.707059,152.0,0.004,4m,3.0,2.0,0.7,674.0,876.0,0.009000000000000001,4m,2.0,3.5,1.8,436.0,478.0,0.004,3m,3.5,2.0,0.6,246.0,312,0.01,4m,1.0,1.5,0.7,90,926.0,0.002,3m,2.0,3.5,0.8,578.0,214.0,0.001,4m,1.5,2.5,1.4,198.0,310.0,0.005,2m,1.0,2.0,1.2000000000000002,88.0,598.0,0.009000000000000001,3m,2.0,2.0,0.7,306.0,734.0,0.01,4m,1.5,3.0,1.0,780.0,,,,,,,,0.25,9,COMPLETE
94,94,4.486018402898172,2025-06-15 00:28:11.328295,2025-06-15 00:28:16.175086,0 days 00:00:04.846791,160.0,0.004,4m,3.0,2.0,1.4,688.0,896.0,0.009000000000000001,4m,2.0,3.5,1.9000000000000001,484.0,496.0,0.005,3m,3.5,2.0,0.7,238.0,364,0.01,2m,1.0,1.5,0.7,210,922.0,0.002,3m,1.5,3.5,0.8,642.0,210.0,0.001,4m,1.5,2.5,1.4,194.0,242.0,0.005,2m,1.0,2.0,1.3,84.0,448.0,0.009000000000000001,3m,2.0,2.0,0.8,304.0,906.0,0.01,2m,1.5,3.0,0.8,986.0,,,,,,,,0.25,9,COMPLETE
95,95,0.5665506124827496,2025-06-15 00:28:16.251092,2025-06-15 00:28:21.504002,0 days 00:00:05.252910,16.0,0.004,4m,3.0,2.0,0.7,488.0,864.0,0.01,4m,2.0,4.0,1.8,84.0,548.0,0.003,3m,3.5,1.5,0.6,176.0,318,0.01,4m,1.0,1.0,0.8,1018,994.0,0.001,3m,2.0,3.5,0.7,442.0,332.0,0.001,4m,1.5,3.0,1.5,126.0,376.0,0.005,4m,1.0,2.0,1.1,106.0,626.0,0.009000000000000001,3m,1.0,3.0,0.7,516.0,742.0,0.01,2m,1.5,3.0,1.0,944.0,650.0,0.01,3m,2.5,2.5,1.3,1002.0,0.3,10,COMPLETE
96,96,4.800958884540091,2025-06-15 00:28:21.581072,2025-06-15 00:28:26.416265,0 days 00:00:04.835193,220.0,0.01,4m,3.0,1.5,1.1,594.0,918.0,0.009000000000000001,2m,2.0,3.5,1.9000000000000001,448.0,468.0,0.004,3m,3.0,1.5,0.9,746.0,258,0.01,2m,1.0,2.0,0.7,266,942.0,0.002,2m,1.5,3.5,1.1,542.0,580.0,0.001,4m,1.5,2.5,1.3,150.0,16.0,0.002,2m,1.0,2.5,1.2000000000000002,152.0,800.0,0.008,3m,3.0,1.0,0.5,166.0,518.0,0.01,3m,1.5,3.0,0.6,536.0,,,,,,,,0.35000000000000003,9,COMPLETE
97,97,-0.23751668861881017,2025-06-15 00:28:26.514316,2025-06-15 00:28:29.471957,0 days 00:00:02.957641,,,,,,,,864.0,0.003,1m,2.0,2.0,1.7000000000000002,104.0,,,,,,,,476,0.01,2m,1.0,1.5,1.5,136,898.0,0.001,3m,2.0,3.5,0.8,592.0,246.0,0.007,1m,1.5,2.0,1.5,220.0,418.0,0.005,1m,1.0,2.0,1.0,180.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
98,98,3.2469600657316904,2025-06-15 00:28:29.551979,2025-06-15 00:28:33.787761,0 days 00:00:04.235782,68.0,0.003,4m,3.5,2.0,0.6,642.0,814.0,0.01,4m,2.0,1.0,1.8,530.0,16.0,0.006,3m,4.0,2.0,0.6,850.0,432,0.002,1m,1.0,2.0,1.1,420,864.0,0.007,3m,2.5,1.0,0.7,340.0,106.0,0.001,4m,1.0,2.5,1.7000000000000002,262.0,308.0,0.01,2m,1.5,1.5,1.4,224.0,,,,,,,,424.0,0.009000000000000001,4m,1.0,3.5,1.5,878.0,,,,,,,,0.05,8,COMPLETE
99,99,-2.208826942175598,2025-06-15 00:28:33.882274,2025-06-15 00:28:38.601684,0 days 00:00:04.719410,160.0,0.007,3m,1.5,3.5,1.5,720.0,616.0,0.01,4m,2.5,3.5,2.0,600.0,52.0,0.002,3m,2.5,3.5,1.1,906.0,392,0.005,3m,2.5,2.0,0.9,186,1010.0,0.002,3m,3.0,4.0,0.9,388.0,858.0,0.003,2m,2.5,2.0,1.4,98.0,184.0,0.004,2m,1.5,2.5,1.3,64.0,592.0,0.006,3m,2.0,2.0,1.0,342.0,802.0,0.01,2m,1.5,3.0,0.7,1024.0,,,,,,,,0.25,9,COMPLETE
100,100,-0.04398909803231862,2025-06-15 00:28:38.693196,2025-06-15 00:28:42.442351,0 days 00:00:03.749155,,,,,,,,966.0,0.008,4m,2.0,2.0,1.8,162.0,452.0,0.004,2m,3.0,4.0,0.5,580.0,300,0.009000000000000001,4m,1.5,1.5,0.7,372,978.0,0.001,3m,2.0,3.0,0.6,826.0,186.0,0.002,4m,2.0,2.0,1.6,838.0,332.0,0.006,2m,1.0,2.5,1.2000000000000002,130.0,,,,,,,,700.0,0.009000000000000001,1m,1.5,3.5,1.5,794.0,,,,,,,,0.2,7,COMPLETE
101,101,2.0663449699634984,2025-06-15 00:28:42.548866,2025-06-15 00:28:46.759094,0 days 00:00:04.210228,128.0,0.005,4m,2.5,2.5,0.8,528.0,456.0,0.007,4m,1.5,3.5,1.7000000000000002,432.0,270.0,0.004,3m,3.5,2.5,1.9000000000000001,404.0,338,0.009000000000000001,4m,1.0,1.5,0.6,112,850.0,0.003,3m,2.0,2.5,0.9,612.0,290.0,0.002,4m,2.0,3.5,1.4,294.0,272.0,0.007,2m,2.0,2.5,1.1,94.0,,,,,,,,358.0,0.008,4m,3.5,2.5,1.0,760.0,,,,,,,,0.25,8,COMPLETE
102,102,3.503492774694729,2025-06-15 00:28:46.848603,2025-06-15 00:28:51.091608,0 days 00:00:04.243005,46.0,0.006,4m,2.0,3.0,1.0,808.0,584.0,0.009000000000000001,4m,1.5,3.0,1.7000000000000002,396.0,342.0,0.003,3m,3.5,2.5,2.0,314.0,378,0.01,4m,1.0,1.5,0.6,82,878.0,0.002,3m,2.0,3.0,1.0,580.0,240.0,0.001,4m,2.0,2.5,1.4,344.0,370.0,0.006,2m,3.5,2.0,1.2000000000000002,28.0,,,,,,,,506.0,0.009000000000000001,4m,2.0,1.5,0.9,658.0,,,,,,,,0.2,8,COMPLETE
103,103,-0.4438605742269992,2025-06-15 00:28:51.189128,2025-06-15 00:28:55.450609,0 days 00:00:04.261481,72.0,0.004,4m,2.5,2.0,1.3,74.0,1014.0,0.009000000000000001,4m,1.5,3.5,1.6,366.0,506.0,0.004,3m,3.5,2.0,0.7,276.0,316,0.009000000000000001,4m,1.0,1.0,0.5,44,822.0,0.004,3m,2.0,3.0,0.8,516.0,144.0,0.002,4m,2.0,4.0,1.5,244.0,294.0,0.007,2m,1.5,2.5,1.4,16.0,,,,,,,,600.0,0.008,4m,2.5,2.0,1.4,622.0,,,,,,,,0.3,8,COMPLETE
104,104,6.140881982712888,2025-06-15 00:28:55.531126,2025-06-15 00:29:00.350123,0 days 00:00:04.818997,940.0,0.005,4m,2.0,1.5,0.8,1000.0,392.0,0.01,4m,2.0,2.0,1.9000000000000001,34.0,130.0,0.005,3m,3.5,3.0,1.2000000000000002,346.0,220,0.01,4m,1.0,1.5,0.7,98,910.0,0.001,3m,1.5,3.5,0.9,968.0,176.0,0.004,4m,1.5,2.0,1.2000000000000002,180.0,338.0,0.006,2m,2.5,2.5,1.3,70.0,812.0,0.008,3m,1.5,1.5,1.2000000000000002,144.0,762.0,0.007,4m,2.0,1.5,1.1,926.0,,,,,,,,0.25,9,COMPLETE
105,105,3.50605260449605,2025-06-15 00:29:00.422641,2025-06-15 00:29:04.412986,0 days 00:00:03.990345,,,,,,,,296.0,0.009000000000000001,4m,1.5,4.0,1.7000000000000002,256.0,536.0,0.001,3m,3.0,3.5,1.8,74.0,438,0.01,2m,1.0,2.0,0.8,726,946.0,0.002,3m,2.0,2.5,0.8,548.0,216.0,0.001,3m,2.0,2.0,1.3,316.0,458.0,0.001,2m,1.0,2.0,2.0,44.0,,,,,,,,466.0,0.01,2m,1.5,1.0,1.1,738.0,,,,,,,,0.1,7,COMPLETE
106,106,0.678151874612898,2025-06-15 00:29:04.495011,2025-06-15 00:29:08.696321,0 days 00:00:04.201310,560.0,0.006,4m,3.0,1.0,0.7,638.0,528.0,0.01,3m,3.0,3.0,1.8,466.0,390.0,0.005,1m,4.0,2.0,2.0,204.0,354,0.008,2m,3.5,1.5,0.5,228,798.0,0.003,3m,3.5,3.0,0.9,470.0,300.0,0.001,4m,2.5,2.5,1.4,278.0,540.0,0.005,2m,2.0,3.0,1.5,116.0,,,,,,,,892.0,0.009000000000000001,2m,2.0,1.5,1.6,492.0,,,,,,,,0.2,8,COMPLETE
107,107,1.2449891734388012,2025-06-15 00:29:08.777832,2025-06-15 00:29:11.436859,0 days 00:00:02.659027,,,,,,,,346.0,0.008,4m,2.0,2.5,1.6,316.0,,,,,,,,500,0.009000000000000001,4m,1.0,2.5,0.6,142,930.0,0.001,4m,2.5,2.0,1.0,430.0,262.0,0.003,4m,1.5,1.5,1.3,378.0,402.0,0.005,2m,3.5,4.0,1.1,152.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
108,108,4.576006963501474,2025-06-15 00:29:11.531377,2025-06-15 00:29:16.631821,0 days 00:00:05.100444,182.0,0.003,2m,2.5,2.5,0.9,438.0,506.0,0.01,4m,2.0,3.5,1.8,74.0,40.0,0.004,3m,3.5,2.5,1.9000000000000001,668.0,454,0.01,2m,1.0,1.5,0.8,332,876.0,0.002,3m,2.0,3.0,0.9,500.0,496.0,0.002,4m,2.0,3.5,1.5,936.0,316.0,0.007,3m,1.5,2.5,1.2000000000000002,94.0,192.0,0.01,2m,2.5,2.5,1.4,554.0,310.0,0.006,4m,1.0,2.5,1.9000000000000001,994.0,630.0,0.005,4m,2.0,3.0,0.5,340.0,0.25,10,COMPLETE
109,109,3.6231232690636515,2025-06-15 00:29:16.725336,2025-06-15 00:29:21.459680,0 days 00:00:04.734344,126.0,0.004,4m,2.0,3.0,0.8,376.0,366.0,0.009000000000000001,4m,4.0,1.5,1.5,124.0,80.0,0.002,3m,3.0,4.0,1.3,620.0,278,0.009000000000000001,2m,1.5,2.0,0.7,76,960.0,0.002,1m,1.0,3.5,0.8,568.0,228.0,0.001,4m,1.0,2.0,1.4,204.0,252.0,0.006,1m,1.0,2.5,1.0,1020.0,428.0,0.004,1m,3.0,3.0,0.8,458.0,642.0,0.01,2m,1.5,2.0,1.2000000000000002,580.0,,,,,,,,0.15000000000000002,9,COMPLETE
110,110,3.123291588904171,2025-06-15 00:29:21.580197,2025-06-15 00:29:25.248036,0 days 00:00:03.667839,,,,,,,,840.0,0.01,4m,1.5,2.5,1.7000000000000002,46.0,400.0,0.003,3m,3.5,3.5,1.8,534.0,298,0.01,4m,1.0,4.0,0.6,198,844.0,0.001,3m,1.5,2.5,1.1,412.0,372.0,0.006,4m,2.0,3.0,1.5,238.0,222.0,0.006,2m,3.0,2.0,1.3,40.0,,,,,,,,524.0,0.009000000000000001,1m,1.5,2.5,1.8,878.0,,,,,,,,0.3,7,COMPLETE
111,111,6.6816624929253585,2025-06-15 00:29:25.368550,2025-06-15 00:29:29.589441,0 days 00:00:04.220891,236.0,0.003,4m,4.0,4.0,1.6,360.0,776.0,0.005,4m,2.0,3.5,1.2000000000000002,572.0,484.0,0.006,3m,3.5,4.0,0.9,508.0,248,0.008,3m,1.0,1.5,0.5,442,902.0,0.001,3m,2.5,3.5,0.9,728.0,268.0,0.001,4m,2.0,2.5,1.4,228.0,160.0,0.005,1m,1.5,2.5,1.8,280.0,,,,,,,,874.0,0.007,3m,1.0,3.0,0.9,906.0,,,,,,,,0.05,8,COMPLETE
112,112,6.441406411667864,2025-06-15 00:29:29.668444,2025-06-15 00:29:33.903618,0 days 00:00:04.235174,150.0,0.002,4m,3.5,4.0,1.5,278.0,820.0,0.005,4m,2.0,3.5,1.3,492.0,592.0,0.006,3m,3.5,4.0,1.0,480.0,230,0.008,3m,1.0,1.5,0.5,432,896.0,0.001,3m,2.5,3.5,0.9,786.0,280.0,0.001,4m,2.0,2.5,1.4,298.0,112.0,0.005,1m,1.5,2.5,1.6,254.0,,,,,,,,816.0,0.006,3m,1.0,3.0,1.0,954.0,,,,,,,,0.05,8,COMPLETE
113,113,3.1401791932351166,2025-06-15 00:29:33.986142,2025-06-15 00:29:38.135038,0 days 00:00:04.148896,314.0,0.005,4m,3.5,4.0,1.5,336.0,794.0,0.01,4m,2.0,3.5,1.4,548.0,446.0,0.006,3m,3.5,4.0,0.8,432.0,406,0.009000000000000001,3m,1.0,1.5,0.5,552,890.0,0.001,3m,2.5,3.5,1.0,786.0,408.0,0.002,4m,2.0,2.5,1.3,272.0,122.0,0.005,1m,1.5,2.5,1.7000000000000002,208.0,,,,,,,,958.0,0.007,3m,1.0,3.0,1.1,786.0,,,,,,,,0.05,8,COMPLETE
114,114,1.4249412578789162,2025-06-15 00:29:38.226550,2025-06-15 00:29:42.270706,0 days 00:00:04.044156,46.0,0.003,4m,4.0,3.0,1.7000000000000002,554.0,446.0,0.005,4m,2.0,2.0,1.1,206.0,98.0,0.005,3m,3.0,4.0,2.0,808.0,328,0.01,3m,1.0,1.5,0.6,400,786.0,0.001,3m,2.0,3.5,0.9,526.0,342.0,0.001,4m,1.5,2.0,1.4,172.0,352.0,0.004,1m,2.0,3.0,1.6,72.0,,,,,,,,574.0,0.008,3m,1.0,1.5,1.0,838.0,,,,,,,,0.1,8,COMPLETE
115,115,-2.5006320181449193,2025-06-15 00:29:42.355221,2025-06-15 00:29:46.342081,0 days 00:00:03.986860,94.0,0.005,4m,3.0,3.5,0.7,334.0,828.0,0.004,4m,2.0,3.5,1.3,516.0,560.0,0.004,4m,3.0,3.5,0.9,614.0,178,0.008,3m,1.0,1.0,0.7,484,822.0,0.002,3m,2.5,3.0,0.7,888.0,314.0,0.002,4m,2.0,2.5,1.5,44.0,84.0,0.005,1m,1.5,2.5,1.4,364.0,,,,,,,,850.0,0.007,3m,2.0,3.0,0.9,710.0,,,,,,,,0.05,8,COMPLETE
116,116,5.17044480843527,2025-06-15 00:29:46.416514,2025-06-15 00:29:51.037429,0 days 00:00:04.620915,138.0,0.004,4m,2.5,3.5,1.3,198.0,732.0,0.009000000000000001,1m,1.5,3.5,1.7000000000000002,344.0,480.0,0.007,3m,4.0,4.0,0.8,126.0,360,0.006,2m,1.0,2.0,0.5,466,856.0,0.006,3m,2.0,4.0,0.8,680.0,166.0,0.001,4m,1.5,2.5,1.4,718.0,502.0,0.007,2m,1.5,2.5,1.2000000000000002,326.0,576.0,0.002,3m,2.0,2.0,1.0,678.0,392.0,0.005,2m,1.5,1.0,0.7,902.0,,,,,,,,0.1,9,COMPLETE
117,117,3.4687434986547774,2025-06-15 00:29:51.110944,2025-06-15 00:29:54.637639,0 days 00:00:03.526695,,,,,,,,408.0,0.005,4m,2.0,2.0,1.4,16.0,432.0,0.004,3m,3.5,2.5,0.7,704.0,248,0.009000000000000001,3m,1.0,1.5,0.6,306,724.0,0.003,2m,3.0,1.5,1.0,812.0,122.0,0.002,1m,2.0,2.0,1.3,334.0,140.0,0.006,4m,1.0,3.5,1.5,282.0,,,,,,,,838.0,0.01,4m,3.0,3.0,1.4,990.0,,,,,,,,0.05,7,COMPLETE
118,118,4.8125464176630395,2025-06-15 00:29:54.737151,2025-06-15 00:29:57.545097,0 days 00:00:02.807946,,,,,,,,554.0,0.01,2m,2.5,3.0,1.6,152.0,,,,,,,,394,0.007,2m,3.0,2.0,2.0,164,922.0,0.001,3m,2.0,3.5,0.8,610.0,202.0,0.001,2m,2.5,1.0,1.5,248.0,1022.0,0.007,2m,2.5,2.5,1.2000000000000002,776.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
119,119,-1.1859369213758648,2025-06-15 00:29:57.635607,2025-06-15 00:29:58.778323,0 days 00:00:01.142716,,,,,,,,,,,,,,,,,,,,,,316,0.01,4m,1.0,2.0,1.8,350,956.0,0.002,3m,2.5,3.0,0.8,638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
120,120,0.1499021873719282,2025-06-15 00:29:58.858843,2025-06-15 00:30:03.037968,0 days 00:00:04.179125,18.0,0.003,4m,3.5,3.0,1.0,480.0,848.0,0.006,4m,2.0,2.0,1.3,90.0,528.0,0.005,3m,3.0,3.5,1.4,566.0,234,0.009000000000000001,1m,1.5,1.5,0.6,26,260.0,0.001,3m,1.5,2.5,0.9,314.0,250.0,0.003,4m,2.0,4.0,1.6,204.0,194.0,0.004,2m,2.0,2.0,1.8,270.0,,,,,,,,938.0,0.007,2m,1.0,2.0,1.5,934.0,,,,,,,,0.25,8,COMPLETE
121,121,8.903830559184946,2025-06-15 00:30:03.127488,2025-06-15 00:30:06.836598,0 days 00:00:03.709110,,,,,,,,390.0,0.01,4m,1.5,2.5,1.7000000000000002,176.0,160.0,0.004,3m,3.0,3.0,2.0,602.0,422,0.01,2m,1.0,2.0,0.8,318,834.0,0.001,3m,2.0,3.0,0.9,552.0,378.0,0.002,4m,2.0,2.0,1.4,278.0,318.0,0.008,2m,2.0,2.5,1.4,424.0,,,,,,,,552.0,0.008,3m,1.5,1.5,1.7000000000000002,858.0,,,,,,,,0.1,7,COMPLETE
122,122,5.4569973114611185,2025-06-15 00:30:06.925125,2025-06-15 00:30:09.896736,0 days 00:00:02.971611,,,,,,,,434.0,0.01,4m,1.5,2.5,1.7000000000000002,186.0,156.0,0.004,3m,3.0,3.0,1.9000000000000001,600.0,468,0.01,2m,1.0,2.0,0.8,278,872.0,0.001,3m,2.0,3.0,0.9,572.0,366.0,0.002,4m,2.0,2.0,1.4,308.0,288.0,0.008,2m,2.0,2.5,1.3,462.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
123,123,6.120684074254828,2025-06-15 00:30:09.974777,2025-06-15 00:30:13.511367,0 days 00:00:03.536590,,,,,,,,382.0,0.01,4m,1.0,2.5,1.8,134.0,186.0,0.003,3m,3.5,3.5,2.0,656.0,420,0.01,2m,1.0,2.0,0.7,320,842.0,0.001,3m,2.0,3.0,1.0,534.0,230.0,0.002,4m,3.5,2.0,1.4,230.0,394.0,0.009000000000000001,2m,2.0,2.5,1.4,480.0,,,,,,,,474.0,0.008,3m,1.5,1.5,1.6,854.0,,,,,,,,0.05,7,COMPLETE
