,number,value,datetime_start,datetime_complete,duration,params_AVGO_ZM_beta_win,params_AVGO_ZM_stop_loss,params_AVGO_ZM_trade_freq,params_AVGO_ZM_z_entry,params_AVGO_ZM_z_exit,params_AVGO_ZM_z_stop_scaler,params_AVGO_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_ILMN_ZM_beta_win,params_ILMN_ZM_stop_loss,params_ILMN_ZM_trade_freq,params_ILMN_ZM_z_entry,params_ILMN_ZM_z_exit,params_ILMN_ZM_z_stop_scaler,params_ILMN_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_KLAC_ZM_beta_win,params_KLAC_ZM_stop_loss,params_KLAC_ZM_trade_freq,params_KLAC_ZM_z_entry,params_KLAC_ZM_z_exit,params_KLAC_ZM_z_stop_scaler,params_KLAC_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_ROST_ZM_beta_win,params_ROST_ZM_stop_loss,params_ROST_ZM_trade_freq,params_ROST_ZM_z_entry,params_ROST_ZM_z_exit,params_ROST_ZM_z_stop_scaler,params_ROST_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
76,76,-1.195196836446054,2025-06-15 01:17:54.380025,2025-06-15 01:17:58.346673,0 days 00:00:03.966648,660.0,0.002,1m,1.0,1.0,1.2000000000000002,512.0,120.0,0.001,4m,2.5,3.5,1.7000000000000002,488.0,632,0.002,3m,3.0,3.5,0.9,224,118.0,0.01,4m,1.5,3.5,1.4,752.0,,,,,,,,680.0,0.001,4m,3.5,3.0,1.2000000000000002,960.0,710.0,0.009000000000000001,4m,3.0,2.0,1.9000000000000001,844.0,,,,,,,,518.0,0.002,1m,1.5,3.0,0.6,150.0,582.0,0.001,2m,3.0,1.5,1.8,912.0,0.4,8,COMPLETE
77,77,-2.400977982936919,2025-06-15 01:17:58.398275,2025-06-15 01:18:01.710346,0 days 00:00:03.312071,630.0,0.006,4m,1.5,2.0,1.6,546.0,482.0,0.001,3m,1.5,2.0,1.4,254.0,426,0.001,4m,1.5,4.0,0.7,434,730.0,0.009000000000000001,1m,3.5,1.5,0.6,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,0.001,4m,2.0,2.5,1.3,84.0,690.0,0.001,3m,3.0,1.0,1.9000000000000001,248.0,0.45,6,COMPLETE
78,78,-3.5581192247677786,2025-06-15 01:18:01.798268,2025-06-15 01:18:06.039533,0 days 00:00:04.241265,52.0,0.004,1m,2.0,1.0,0.5,412.0,394.0,0.003,2m,2.0,4.0,1.5,452.0,378,0.006,4m,2.5,2.5,1.3,184,298.0,0.006,4m,2.5,4.0,1.1,350.0,,,,,,,,26.0,0.005,4m,3.0,2.5,1.0,482.0,626.0,0.005,2m,2.0,1.0,0.5,708.0,,,,,,,,596.0,0.005,2m,3.5,2.5,1.0,186.0,616.0,0.002,1m,3.5,2.5,1.7000000000000002,58.0,0.4,8,COMPLETE
79,79,1.0872308710302188,2025-06-15 01:18:06.131254,2025-06-15 01:18:10.238300,0 days 00:00:04.107046,558.0,0.01,3m,1.5,1.5,0.7,650.0,296.0,0.009000000000000001,2m,3.0,3.0,0.9,418.0,492,0.007,2m,2.5,3.5,1.1,306,234.0,0.009000000000000001,2m,2.5,1.0,0.9,642.0,,,,,,,,286.0,0.004,1m,4.0,2.5,1.5,206.0,350.0,0.007,1m,4.0,3.0,1.3,470.0,,,,,,,,818.0,0.004,3m,2.5,2.0,1.1,52.0,768.0,0.008,2m,4.0,4.0,0.7,978.0,0.3,8,COMPLETE
80,80,5.0063823241882925,2025-06-15 01:18:10.311503,2025-06-15 01:18:14.944463,0 days 00:00:04.632960,506.0,0.009000000000000001,1m,1.0,1.5,1.7000000000000002,806.0,252.0,0.002,1m,1.0,4.0,1.9000000000000001,228.0,546,0.008,4m,2.0,4.0,1.0,544,158.0,0.008,4m,2.0,4.0,1.5,922.0,286.0,0.008,2m,3.5,1.5,1.8,834.0,918.0,0.003,4m,3.5,1.0,2.0,374.0,756.0,0.003,1m,1.5,4.0,0.7,362.0,,,,,,,,446.0,0.003,4m,2.5,3.0,0.7,118.0,550.0,0.004,4m,3.5,1.5,1.2000000000000002,518.0,0.4,9,COMPLETE
81,81,4.302228353609373,2025-06-15 01:18:15.009256,2025-06-15 01:18:18.417577,0 days 00:00:03.408321,458.0,0.008,3m,3.0,1.5,1.4,314.0,354.0,0.004,2m,2.0,1.0,1.5,350.0,594,0.009000000000000001,4m,2.0,3.0,1.1,352,182.0,0.007,4m,2.0,2.0,1.6,486.0,,,,,,,,836.0,0.002,4m,1.0,1.0,0.9,354.0,,,,,,,,,,,,,,,478.0,0.007,4m,3.0,2.0,0.9,40.0,420.0,0.003,2m,3.5,2.0,1.5,866.0,0.45,7,COMPLETE
82,82,3.7969950432346407,2025-06-15 01:18:18.490434,2025-06-15 01:18:22.068385,0 days 00:00:03.577951,402.0,0.009000000000000001,3m,3.5,1.5,1.4,446.0,318.0,0.003,2m,2.0,1.0,1.6,478.0,574,0.009000000000000001,4m,2.0,3.0,0.8,446,202.0,0.008,4m,2.0,2.0,1.5,450.0,,,,,,,,362.0,0.002,4m,1.0,1.5,0.7,272.0,,,,,,,,,,,,,,,516.0,0.005,4m,3.0,2.0,0.9,26.0,454.0,0.003,2m,3.5,2.0,1.6,852.0,0.5,7,COMPLETE
83,83,3.9940642918333373,2025-06-15 01:18:22.129363,2025-06-15 01:18:25.635032,0 days 00:00:03.505669,484.0,0.007,3m,3.5,2.0,1.3,342.0,436.0,0.002,2m,2.5,1.0,1.5,350.0,696,0.009000000000000001,4m,2.0,3.0,1.1,378,16.0,0.008,4m,2.0,2.0,1.3,426.0,,,,,,,,876.0,0.001,4m,1.0,1.5,0.9,410.0,,,,,,,,,,,,,,,406.0,0.006,4m,3.0,2.5,0.8,16.0,350.0,0.003,2m,3.5,1.5,1.5,790.0,0.45,7,COMPLETE
84,84,3.102926385175813,2025-06-15 01:18:25.696796,2025-06-15 01:18:29.305163,0 days 00:00:03.608367,354.0,0.008,3m,3.0,1.5,0.6,380.0,198.0,0.003,2m,2.0,1.0,1.4,942.0,528,0.008,4m,2.5,2.5,0.9,244,996.0,0.009000000000000001,4m,2.0,1.5,1.7000000000000002,506.0,,,,,,,,762.0,0.003,4m,1.5,2.0,1.0,320.0,,,,,,,,,,,,,,,480.0,0.006,4m,3.0,1.5,1.8,82.0,388.0,0.002,2m,2.5,3.5,1.6,936.0,0.5,7,COMPLETE
85,85,1.463515285369049,2025-06-15 01:18:29.368921,2025-06-15 01:18:32.989252,0 days 00:00:03.620331,734.0,0.008,3m,2.5,1.0,1.5,152.0,392.0,0.001,2m,2.0,1.0,0.5,394.0,600,0.01,4m,1.5,2.5,1.2000000000000002,276,474.0,0.005,4m,3.0,2.5,1.5,566.0,,,,,,,,844.0,0.004,4m,4.0,1.0,0.7,358.0,,,,,,,,,,,,,,,572.0,0.001,4m,2.0,2.0,0.9,126.0,502.0,0.009000000000000001,2m,3.0,2.0,1.1,896.0,0.45,7,COMPLETE
86,86,-2.585377990453194,2025-06-15 01:18:33.071221,2025-06-15 01:18:36.202364,0 days 00:00:03.131143,442.0,0.009000000000000001,2m,1.5,1.5,1.4,976.0,272.0,0.004,2m,1.5,1.5,1.6,232.0,466,0.007,4m,2.0,4.0,1.0,344,76.0,0.004,3m,1.5,2.5,1.6,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,0.006,4m,3.5,2.5,0.8,72.0,238.0,0.004,2m,3.5,1.5,0.9,86.0,0.35000000000000003,6,COMPLETE
87,87,1.7171838786343139,2025-06-15 01:18:36.277815,2025-06-15 01:18:40.439632,0 days 00:00:04.161817,618.0,0.009000000000000001,1m,2.0,1.0,1.8,206.0,360.0,0.001,3m,2.5,2.5,1.7000000000000002,284.0,758,0.009000000000000001,1m,2.5,3.0,0.9,496,326.0,0.008,4m,4.0,2.0,1.2000000000000002,846.0,,,,,,,,798.0,0.002,2m,3.5,2.0,1.8,260.0,464.0,0.01,3m,3.0,1.0,1.5,20.0,,,,,,,,458.0,0.007,3m,3.0,1.5,1.0,154.0,460.0,0.003,1m,3.0,1.0,1.0,842.0,0.45,8,COMPLETE
88,88,3.884110617138853,2025-06-15 01:18:40.528264,2025-06-15 01:18:44.200632,0 days 00:00:03.672368,546.0,0.01,1m,3.0,1.5,0.8,48.0,64.0,0.002,2m,2.0,3.5,1.1,542.0,562,0.001,4m,2.0,3.5,1.0,198,218.0,0.007,4m,2.5,1.0,1.4,488.0,,,,,,,,108.0,0.008,4m,4.0,2.5,1.9000000000000001,444.0,,,,,,,,,,,,,,,496.0,0.002,2m,2.0,2.5,1.1,106.0,328.0,0.002,2m,4.0,1.5,1.7000000000000002,828.0,0.4,7,COMPLETE
89,89,-0.9279619259449143,2025-06-15 01:18:44.285712,2025-06-15 01:18:48.513036,0 days 00:00:04.227324,690.0,0.008,3m,4.0,3.0,1.0,106.0,210.0,0.003,2m,1.5,2.0,1.4,584.0,446,0.009000000000000001,4m,2.5,3.5,0.8,316,270.0,0.009000000000000001,4m,2.0,1.5,0.8,690.0,,,,,,,,958.0,0.003,4m,3.0,1.5,1.4,826.0,230.0,0.006,4m,2.0,1.5,1.1,300.0,,,,,,,,420.0,0.004,4m,3.0,1.0,0.7,16.0,280.0,0.001,4m,3.5,2.0,1.5,44.0,0.45,8,COMPLETE
90,90,9.086326458654854,2025-06-15 01:18:48.594784,2025-06-15 01:18:51.563238,0 days 00:00:02.968454,652.0,0.01,1m,1.5,2.0,1.1,496.0,132.0,0.001,4m,1.0,1.5,1.5,816.0,644,0.004,4m,3.0,4.0,1.1,130,882.0,0.01,3m,1.5,3.0,1.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.0,0.003,1m,2.5,2.0,1.2000000000000002,62.0,642.0,0.002,1m,3.0,2.5,2.0,612.0,0.35000000000000003,6,COMPLETE
91,91,7.119605071611753,2025-06-15 01:18:51.647743,2025-06-15 01:18:54.634431,0 days 00:00:02.986688,760.0,0.01,1m,1.5,2.0,1.1,444.0,178.0,0.001,4m,1.0,1.5,1.5,748.0,644,0.004,4m,3.0,4.0,1.1,134,904.0,0.01,3m,1.5,3.0,1.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,0.003,1m,2.5,2.0,1.2000000000000002,54.0,644.0,0.002,1m,3.0,2.5,2.0,564.0,0.35000000000000003,6,COMPLETE
92,92,7.125320570777216,2025-06-15 01:18:54.704254,2025-06-15 01:18:57.254077,0 days 00:00:02.549823,714.0,0.01,1m,1.5,2.0,1.1,492.0,130.0,0.001,4m,1.0,1.5,1.5,820.0,640,0.004,4m,3.0,4.0,1.2000000000000002,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,0.003,1m,2.5,2.0,1.2000000000000002,58.0,644.0,0.002,1m,2.5,2.5,2.0,594.0,0.35000000000000003,5,COMPLETE
93,93,4.60677753580277,2025-06-15 01:18:57.351081,2025-06-15 01:18:59.404948,0 days 00:00:02.053867,906.0,0.01,1m,1.5,2.0,1.1,496.0,138.0,0.001,4m,1.0,1.5,1.5,826.0,642,0.004,4m,3.0,4.0,1.3,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,0.003,1m,2.5,2.0,1.2000000000000002,64.0,,,,,,,,0.3,4,COMPLETE
94,94,6.175432298034873,2025-06-15 01:18:59.481854,2025-06-15 01:19:02.089443,0 days 00:00:02.607589,780.0,0.01,1m,1.5,2.5,1.2000000000000002,448.0,90.0,0.001,4m,1.0,1.5,1.3,800.0,712,0.003,4m,3.5,4.0,1.2000000000000002,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,0.003,1m,2.5,2.0,1.2000000000000002,136.0,638.0,0.002,1m,2.0,2.5,2.0,596.0,0.35000000000000003,5,COMPLETE
95,95,4.196032358187475,2025-06-15 01:19:02.160283,2025-06-15 01:19:04.692284,0 days 00:00:02.532001,770.0,0.01,1m,1.5,2.0,1.1,566.0,180.0,0.001,4m,1.0,1.5,1.4,740.0,680,0.004,3m,3.0,4.0,1.2000000000000002,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,0.003,1m,2.5,1.5,1.3,90.0,670.0,0.002,1m,2.5,2.5,2.0,496.0,0.3,5,COMPLETE
96,96,4.600107232324026,2025-06-15 01:19:04.758962,2025-06-15 01:19:07.347749,0 days 00:00:02.588787,726.0,0.01,1m,1.0,2.5,1.2000000000000002,484.0,138.0,0.001,4m,1.0,1.5,1.5,852.0,648,0.004,4m,3.0,4.0,1.1,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,0.004,1m,2.0,1.5,1.2000000000000002,166.0,596.0,0.001,1m,2.5,2.5,2.0,568.0,0.35000000000000003,5,COMPLETE
97,97,4.075290947378515,2025-06-15 01:19:07.412397,2025-06-15 01:19:10.489698,0 days 00:00:03.077301,840.0,0.01,1m,1.5,2.0,1.1,430.0,42.0,0.001,4m,1.0,2.0,1.6,680.0,620,0.005,4m,3.0,4.0,1.3,178,912.0,0.01,3m,1.0,3.0,1.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,0.003,1m,2.5,2.0,1.1,914.0,702.0,0.002,1m,2.5,2.5,1.9000000000000001,610.0,0.35000000000000003,6,COMPLETE
98,98,6.774610715280546,2025-06-15 01:19:10.557568,2025-06-15 01:19:13.065645,0 days 00:00:02.508077,678.0,0.01,1m,1.5,2.0,1.0,530.0,92.0,0.006,4m,1.0,1.5,1.4,900.0,522,0.003,4m,3.0,4.0,0.9,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,0.003,1m,2.5,2.0,1.3,64.0,634.0,0.001,1m,3.0,3.0,1.9000000000000001,642.0,0.3,5,COMPLETE
99,99,4.314007418364991,2025-06-15 01:19:13.151912,2025-06-15 01:19:16.093924,0 days 00:00:02.942012,870.0,0.01,1m,1.5,2.0,0.9,462.0,178.0,0.001,4m,1.0,1.5,1.3,764.0,486,0.005,2m,3.5,4.0,1.1,148,872.0,0.01,3m,1.5,3.5,1.0,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,0.002,1m,2.0,1.5,1.5,362.0,586.0,0.006,1m,3.0,3.0,2.0,670.0,0.35000000000000003,6,COMPLETE
100,100,4.723231313595131,2025-06-15 01:19:16.183160,2025-06-15 01:19:18.688187,0 days 00:00:02.505027,16.0,0.01,4m,2.0,2.5,1.1,598.0,160.0,0.001,4m,1.0,1.5,1.2000000000000002,876.0,726,0.004,4m,3.0,4.0,1.2000000000000002,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0,0.004,1m,2.5,2.0,1.1,210.0,666.0,0.002,1m,1.0,2.5,1.8,544.0,0.25,5,COMPLETE
101,101,4.818612113431653,2025-06-15 01:19:18.761275,2025-06-15 01:19:21.691716,0 days 00:00:02.930441,754.0,0.009000000000000001,1m,1.5,2.0,1.2000000000000002,496.0,222.0,0.002,4m,1.0,3.0,1.6,820.0,694,0.003,4m,3.0,4.0,1.0,228,812.0,0.01,3m,1.5,3.5,1.1,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,0.002,1m,2.5,2.5,1.2000000000000002,42.0,530.0,0.002,1m,3.0,2.5,1.9000000000000001,446.0,0.4,6,COMPLETE
102,102,2.682364139501351,2025-06-15 01:19:21.755927,2025-06-15 01:19:25.151211,0 days 00:00:03.395284,650.0,0.009000000000000001,1m,1.5,2.0,1.3,886.0,118.0,0.002,4m,1.5,1.5,1.5,774.0,662,0.005,4m,3.0,4.0,0.9,172,964.0,0.01,3m,1.5,3.5,1.0,402.0,,,,,,,,80.0,0.01,2m,3.5,3.0,1.1,558.0,,,,,,,,,,,,,,,532.0,0.003,1m,2.0,2.5,1.0,98.0,614.0,0.002,1m,3.0,2.5,2.0,590.0,0.35000000000000003,7,COMPLETE
103,103,11.916058241455316,2025-06-15 01:19:25.240818,2025-06-15 01:19:28.094101,0 days 00:00:02.853283,706.0,0.01,1m,1.5,2.0,0.9,394.0,238.0,0.001,4m,1.0,2.0,1.7000000000000002,928.0,608,0.004,4m,2.5,4.0,1.0,210,1020.0,0.009000000000000001,3m,3.5,3.0,0.8,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,0.001,1m,2.5,2.5,1.2000000000000002,118.0,544.0,0.002,1m,3.0,2.5,1.8,714.0,0.4,6,COMPLETE
104,104,7.810033338982669,2025-06-15 01:19:28.181968,2025-06-15 01:19:30.973207,0 days 00:00:02.791239,706.0,0.01,1m,1.5,2.0,1.0,394.0,248.0,0.001,4m,1.0,2.0,1.7000000000000002,928.0,412,0.004,4m,2.5,4.0,1.0,208,1022.0,0.01,3m,3.5,3.0,0.9,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.0,0.002,1m,2.5,2.5,1.2000000000000002,120.0,550.0,0.002,1m,2.5,2.5,1.8,730.0,0.35000000000000003,6,COMPLETE
105,105,3.2376323756796155,2025-06-15 01:19:31.060845,2025-06-15 01:19:33.990842,0 days 00:00:02.929997,800.0,0.01,1m,1.0,2.0,1.0,396.0,270.0,0.001,4m,1.0,2.0,1.8,926.0,628,0.004,4m,2.5,4.0,1.1,68,1004.0,0.01,3m,3.5,3.0,0.9,596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,0.002,1m,2.5,2.0,1.3,248.0,558.0,0.002,1m,2.5,2.5,1.8,720.0,0.35000000000000003,6,COMPLETE
106,106,8.12224675128104,2025-06-15 01:19:34.066377,2025-06-15 01:19:36.441113,0 days 00:00:02.374736,700.0,0.01,1m,1.5,2.0,0.9,364.0,196.0,0.001,4m,1.0,2.0,1.7000000000000002,990.0,420,0.004,4m,2.5,4.0,1.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,0.001,1m,2.5,2.5,1.2000000000000002,178.0,536.0,0.001,1m,2.5,2.5,1.9000000000000001,746.0,0.3,5,COMPLETE
107,107,2.8739414692035012,2025-06-15 01:19:36.499066,2025-06-15 01:19:38.415073,0 days 00:00:01.916007,702.0,0.01,1m,2.0,2.0,0.9,368.0,254.0,0.001,4m,1.0,2.0,1.7000000000000002,986.0,388,0.003,4m,2.5,4.0,1.0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.0,0.001,1m,2.0,2.5,1.4,280.0,,,,,,,,0.3,4,COMPLETE
108,108,5.302683007542718,2025-06-15 01:19:38.482720,2025-06-15 01:19:40.750319,0 days 00:00:02.267599,718.0,0.01,1m,1.5,2.0,0.9,426.0,314.0,0.001,4m,1.0,2.0,1.8,1022.0,424,0.004,1m,2.5,3.5,1.0,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,0.001,1m,2.5,2.5,1.3,186.0,526.0,0.001,1m,2.0,3.0,1.9000000000000001,764.0,0.25,5,COMPLETE
109,109,5.203194301002939,2025-06-15 01:19:40.801895,2025-06-15 01:19:42.689367,0 days 00:00:01.887472,594.0,0.01,1m,1.5,2.5,0.8,350.0,200.0,0.001,4m,1.0,2.5,1.7000000000000002,966.0,340,0.004,4m,2.5,4.0,0.8,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,0.001,1m,2.5,3.0,1.2000000000000002,788.0,,,,,,,,0.4,4,COMPLETE
110,110,4.908694427189581,2025-06-15 01:19:42.748661,2025-06-15 01:19:45.169544,0 days 00:00:02.420883,100.0,0.01,2m,1.5,2.5,1.0,292.0,292.0,0.002,4m,1.0,2.0,1.7000000000000002,996.0,416,0.003,4m,2.5,1.5,0.7,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.0,0.002,1m,2.0,2.5,2.0,130.0,550.0,0.001,1m,2.5,2.5,1.8,740.0,0.35000000000000003,5,COMPLETE
111,111,7.698112576359648,2025-06-15 01:19:45.243312,2025-06-15 01:19:48.201171,0 days 00:00:02.957859,756.0,0.01,1m,1.5,2.0,1.0,398.0,154.0,0.001,4m,1.0,2.0,1.9000000000000001,940.0,458,0.004,4m,2.5,4.0,1.1,128,930.0,0.01,3m,3.5,3.0,0.9,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,0.001,1m,2.5,2.5,1.2000000000000002,170.0,608.0,0.001,1m,2.5,2.5,2.0,714.0,0.35000000000000003,6,COMPLETE
112,112,11.192764638862833,2025-06-15 01:19:48.272259,2025-06-15 01:19:51.190466,0 days 00:00:02.918207,742.0,0.01,1m,1.5,2.0,0.9,264.0,146.0,0.001,4m,1.0,2.0,1.8,930.0,606,0.004,4m,2.5,4.0,1.0,80,948.0,0.01,3m,3.5,3.0,0.7,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.0,0.001,1m,2.5,2.5,1.2000000000000002,166.0,612.0,0.001,1m,2.5,2.5,1.9000000000000001,678.0,0.3,6,COMPLETE
113,113,8.641032425455759,2025-06-15 01:19:51.266719,2025-06-15 01:19:54.107376,0 days 00:00:02.840657,692.0,0.01,1m,1.5,2.0,0.9,266.0,162.0,0.001,4m,1.0,2.0,1.9000000000000001,934.0,456,0.004,4m,2.5,4.0,1.0,26,952.0,0.01,3m,3.5,3.0,0.8,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,0.001,1m,2.5,2.5,1.1,166.0,502.0,0.001,1m,2.5,3.0,1.9000000000000001,704.0,0.3,6,COMPLETE
114,114,6.519685678894247,2025-06-15 01:19:54.173863,2025-06-15 01:19:57.016651,0 days 00:00:02.842788,990.0,0.01,1m,1.5,2.0,0.9,182.0,156.0,0.001,4m,1.0,2.0,1.9000000000000001,930.0,372,0.004,4m,2.5,4.0,1.0,20,946.0,0.01,3m,3.5,3.0,0.8,638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0,0.001,1m,2.5,2.5,1.1,174.0,504.0,0.001,1m,2.5,3.0,1.9000000000000001,714.0,0.3,6,COMPLETE
115,115,12.757142719547183,2025-06-15 01:19:57.084951,2025-06-15 01:20:01.618627,0 days 00:00:04.533676,758.0,0.01,1m,2.0,2.0,0.9,266.0,106.0,0.001,4m,1.0,2.0,2.0,956.0,456,0.005,4m,2.5,4.0,0.9,116,1022.0,0.01,3m,3.5,3.0,0.7,748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,0.001,1m,2.5,2.5,1.1,234.0,576.0,0.001,1m,2.5,3.0,1.9000000000000001,680.0,0.3,6,COMPLETE
116,116,8.927300485761544,2025-06-15 01:20:01.733638,2025-06-15 01:20:05.297247,0 days 00:00:03.563609,804.0,0.01,1m,2.0,2.0,0.8,266.0,100.0,0.001,4m,1.0,2.0,2.0,882.0,452,0.005,4m,2.5,4.0,0.9,46,976.0,0.01,3m,3.5,3.0,0.7,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0,0.001,1m,2.5,2.5,1.2000000000000002,234.0,544.0,0.001,1m,2.5,3.0,1.9000000000000001,690.0,0.3,6,COMPLETE
117,117,7.593251398870115,2025-06-15 01:20:05.376695,2025-06-15 01:20:08.258725,0 days 00:00:02.882030,824.0,0.01,1m,2.0,2.0,0.8,272.0,102.0,0.001,4m,3.5,2.0,2.0,890.0,454,0.005,4m,2.5,4.0,1.0,34,972.0,0.01,3m,3.5,3.0,0.7,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,0.001,1m,2.5,2.5,1.2000000000000002,268.0,558.0,0.001,1m,2.5,3.0,1.9000000000000001,672.0,0.25,6,COMPLETE
118,118,8.215203693394939,2025-06-15 01:20:08.350713,2025-06-15 01:20:11.278402,0 days 00:00:02.927689,746.0,0.01,1m,1.5,2.0,0.9,238.0,42.0,0.001,4m,4.0,2.0,2.0,956.0,412,0.005,4m,2.5,4.0,1.7000000000000002,62,1022.0,0.01,3m,3.5,3.0,0.7,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0,0.001,1m,2.5,2.5,1.1,220.0,574.0,0.001,1m,2.5,3.0,1.9000000000000001,700.0,0.3,6,COMPLETE
119,119,7.6969265557359074,2025-06-15 01:20:11.345847,2025-06-15 01:20:14.414068,0 days 00:00:03.068221,794.0,0.01,1m,2.0,2.0,1.0,244.0,80.0,0.001,4m,1.0,2.0,1.9000000000000001,958.0,354,0.005,3m,2.5,4.0,1.7000000000000002,62,940.0,0.01,3m,3.5,3.0,0.7,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.0,0.001,1m,2.5,2.5,1.3,316.0,538.0,0.001,1m,2.5,3.5,1.9000000000000001,738.0,0.3,6,COMPLETE
120,120,1.2440679794243918,2025-06-15 01:20:14.481337,2025-06-15 01:20:17.435969,0 days 00:00:02.954632,748.0,0.01,1m,1.0,2.0,0.9,306.0,50.0,0.001,4m,4.0,2.0,2.0,916.0,318,0.005,4m,2.5,4.0,2.0,16,1020.0,0.01,3m,3.5,3.0,0.6,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.0,0.001,1m,2.5,2.5,1.2000000000000002,214.0,574.0,0.001,1m,2.0,3.0,1.8,694.0,0.3,6,COMPLETE
121,121,6.030396891172146,2025-06-15 01:20:17.500496,2025-06-15 01:20:21.394129,0 days 00:00:03.893633,800.0,0.01,1m,2.0,2.0,0.9,240.0,74.0,0.001,4m,1.0,2.0,1.9000000000000001,964.0,348,0.005,3m,2.5,4.0,1.6,60,930.0,0.01,3m,3.5,3.0,0.7,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.001,1m,2.5,2.5,1.3,200.0,538.0,0.001,1m,2.5,3.5,1.9000000000000001,734.0,0.3,6,COMPLETE
122,122,5.150208121558519,2025-06-15 01:20:21.500537,2025-06-15 01:20:27.141645,0 days 00:00:05.641108,784.0,0.01,1m,2.0,2.0,1.0,232.0,76.0,0.001,4m,1.0,2.0,1.9000000000000001,942.0,410,0.005,3m,2.5,4.0,1.7000000000000002,120,988.0,0.01,3m,3.5,3.0,0.7,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,0.001,1m,2.5,2.5,1.1,330.0,488.0,0.001,1m,2.5,3.5,1.9000000000000001,778.0,0.3,6,COMPLETE
