,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AMD_SPLK_beta_win,params_AMD_SPLK_stop_loss,params_AMD_SPLK_trade_freq,params_AMD_SPLK_z_entry,params_AMD_SPLK_z_exit,params_AMD_SPLK_z_stop_scaler,params_AMD_SPLK_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_ATVI_SPLK_beta_win,params_ATVI_SPLK_stop_loss,params_ATVI_SPLK_trade_freq,params_ATVI_SPLK_z_entry,params_ATVI_SPLK_z_exit,params_ATVI_SPLK_z_stop_scaler,params_ATVI_SPLK_z_win,params_CDNS_VRSK_beta_win,params_CDNS_VRSK_stop_loss,params_CDNS_VRSK_trade_freq,params_CDNS_VRSK_z_entry,params_CDNS_VRSK_z_exit,params_CDNS_VRSK_z_stop_scaler,params_CDNS_VRSK_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_FISV_VRSK_beta_win,params_FISV_VRSK_stop_loss,params_FISV_VRSK_trade_freq,params_FISV_VRSK_z_entry,params_FISV_VRSK_z_exit,params_FISV_VRSK_z_stop_scaler,params_FISV_VRSK_z_win,params_MSFT_SPLK_beta_win,params_MSFT_SPLK_stop_loss,params_MSFT_SPLK_trade_freq,params_MSFT_SPLK_z_entry,params_MSFT_SPLK_z_exit,params_MSFT_SPLK_z_stop_scaler,params_MSFT_SPLK_z_win,params_QCOM_SPLK_beta_win,params_QCOM_SPLK_stop_loss,params_QCOM_SPLK_trade_freq,params_QCOM_SPLK_z_entry,params_QCOM_SPLK_z_exit,params_QCOM_SPLK_z_stop_scaler,params_QCOM_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-2.8498973210895793,2025-06-15 01:05:57.741520,2025-06-15 01:06:01.645376,0 days 00:00:03.903856,796,0.001,4m,1.0,2.5,0.7,592,486.0,0.005,3m,2.0,1.5,2.0,572.0,316.0,0.003,3m,2.0,1.5,1.0,1018.0,544.0,0.008,4m,3.0,2.0,1.0,486.0,772.0,0.005,4m,3.0,3.5,1.5,656.0,524.0,0.006,4m,4.0,1.0,1.0,28.0,740.0,0.005,2m,3.5,1.0,1.4,408.0,,,,,,,,822.0,0.01,4m,1.0,2.0,1.0,416.0,,,,,,,,0.05,8,COMPLETE
21,21,4.730682247172583,2025-06-15 01:06:01.720484,2025-06-15 01:06:05.022364,0 days 00:00:03.301880,138,0.008,3m,3.0,3.0,1.1,26,320.0,0.005,2m,1.0,3.0,1.4,452.0,138.0,0.001,2m,2.5,3.5,1.7000000000000002,858.0,384.0,0.005,3m,2.0,3.0,1.2000000000000002,702.0,112.0,0.001,2m,3.5,3.0,1.3,458.0,,,,,,,,124.0,0.007,1m,3.0,3.0,1.6,744.0,,,,,,,,530.0,0.009000000000000001,4m,2.0,1.0,1.2000000000000002,244.0,,,,,,,,0.05,7,COMPLETE
22,22,2.210921710628054,2025-06-15 01:06:05.090873,2025-06-15 01:06:07.812006,0 days 00:00:02.721133,118,0.008,3m,2.5,3.0,1.7000000000000002,32,246.0,0.004,2m,1.0,3.0,1.4,480.0,34.0,0.002,2m,3.0,3.5,2.0,848.0,,,,,,,,628.0,0.001,2m,3.5,3.5,1.3,436.0,,,,,,,,116.0,0.007,1m,2.5,3.0,1.1,712.0,,,,,,,,444.0,0.008,4m,2.5,1.0,1.4,144.0,,,,,,,,0.15000000000000002,6,COMPLETE
23,23,-1.74340592067501,2025-06-15 01:06:07.890032,2025-06-15 01:06:11.651686,0 days 00:00:03.761654,264,0.006,3m,3.5,2.5,0.5,114,140.0,0.002,2m,1.5,4.0,1.0,230.0,280.0,0.001,2m,3.0,3.5,1.5,692.0,474.0,0.005,3m,1.5,3.0,1.4,766.0,470.0,0.003,2m,3.0,3.0,1.5,350.0,736.0,0.004,4m,3.0,2.0,1.7000000000000002,856.0,164.0,0.008,1m,3.5,3.5,1.5,686.0,,,,,,,,488.0,0.009000000000000001,4m,2.0,1.5,0.5,630.0,,,,,,,,0.05,8,COMPLETE
24,24,-1.7651294738957457,2025-06-15 01:06:11.738201,2025-06-15 01:06:16.350123,0 days 00:00:04.611922,20,0.008,4m,3.0,3.5,1.1,132,528.0,0.006,2m,3.0,2.5,1.2000000000000002,772.0,112.0,0.002,1m,2.0,3.5,0.6,1008.0,324.0,0.001,3m,2.0,3.5,0.7,566.0,212.0,0.002,2m,2.0,4.0,1.2000000000000002,166.0,368.0,0.008,3m,2.5,4.0,0.9,568.0,16.0,0.002,3m,3.0,2.5,1.7000000000000002,818.0,360.0,0.003,3m,1.0,1.0,0.9,90.0,160.0,0.005,2m,1.5,1.0,1.3,150.0,82.0,0.01,2m,2.5,3.5,0.5,814.0,0.1,10,COMPLETE
25,25,-1.9961322304479878,2025-06-15 01:06:16.430143,2025-06-15 01:06:19.733499,0 days 00:00:03.303356,160,0.01,3m,2.5,3.0,1.4,246,354.0,0.004,3m,2.0,3.5,1.6,412.0,496.0,0.005,3m,1.0,4.0,1.2000000000000002,826.0,692.0,0.007,3m,3.0,2.5,1.1,856.0,18.0,0.003,2m,3.5,2.5,0.9,252.0,,,,,,,,326.0,0.005,4m,2.0,3.0,1.0,620.0,,,,,,,,354.0,0.002,3m,3.0,3.0,1.5,378.0,,,,,,,,0.25,7,COMPLETE
26,26,1.5592665925491451,2025-06-15 01:06:19.807012,2025-06-15 01:06:24.099935,0 days 00:00:04.292923,288,0.007,2m,2.0,2.0,1.0,16,884.0,0.002,1m,1.0,3.5,1.4,556.0,696.0,0.003,2m,2.5,3.5,0.9,516.0,826.0,0.004,3m,1.5,3.0,0.7,684.0,348.0,0.007,4m,3.0,3.5,1.7000000000000002,388.0,620.0,0.003,2m,3.5,3.0,1.8,912.0,204.0,0.007,1m,2.5,4.0,0.7,384.0,740.0,0.009000000000000001,2m,2.5,2.5,1.8,596.0,620.0,0.007,1m,2.5,1.5,0.9,222.0,,,,,,,,0.15000000000000002,9,COMPLETE
27,27,-2.1284660456703515,2025-06-15 01:06:24.178957,2025-06-15 01:06:26.995382,0 days 00:00:02.816425,422,0.005,1m,3.5,2.5,1.8,380,448.0,0.007,4m,2.5,1.5,1.0,250.0,576.0,0.007,1m,1.5,4.0,1.7000000000000002,924.0,,,,,,,,574.0,0.01,3m,2.0,2.0,1.9000000000000001,496.0,,,,,,,,90.0,0.003,2m,3.5,2.0,1.4,152.0,,,,,,,,790.0,0.009000000000000001,4m,2.0,3.5,1.7000000000000002,130.0,,,,,,,,0.1,6,COMPLETE
28,28,0.12817929344424245,2025-06-15 01:06:27.084388,2025-06-15 01:06:30.896809,0 days 00:00:03.812421,498,0.002,4m,1.5,3.5,0.7,212,606.0,0.005,1m,1.5,2.5,1.3,700.0,926.0,0.004,4m,2.0,2.5,1.4,594.0,242.0,0.005,4m,2.5,3.5,1.4,470.0,854.0,0.001,1m,3.5,3.5,1.4,678.0,898.0,0.01,4m,3.5,2.0,0.5,184.0,404.0,0.008,2m,3.0,3.5,1.0,1010.0,,,,,,,,362.0,0.005,4m,1.5,2.0,1.4,516.0,,,,,,,,0.05,8,COMPLETE
29,29,1.3014927032038508,2025-06-15 01:06:30.992323,2025-06-15 01:06:35.256400,0 days 00:00:04.264077,340,0.008,3m,3.0,1.5,1.2000000000000002,116,276.0,0.004,2m,2.5,3.0,0.8,440.0,132.0,0.002,1m,3.0,2.5,0.6,710.0,428.0,0.003,3m,1.0,2.5,2.0,932.0,494.0,0.005,2m,4.0,4.0,1.6,302.0,368.0,0.007,4m,2.5,1.5,1.6,680.0,80.0,0.006,1m,4.0,2.5,2.0,520.0,270.0,0.007,1m,4.0,3.5,1.6,272.0,532.0,0.007,4m,2.5,2.5,1.2000000000000002,688.0,,,,,,,,0.5,9,COMPLETE
