,number,value,datetime_start,datetime_complete,duration,params_AAPL_OKTA_beta_win,params_AAPL_OKTA_stop_loss,params_AAPL_OKTA_trade_freq,params_AAPL_OKTA_z_entry,params_AAPL_OKTA_z_exit,params_AAPL_OKTA_z_stop_scaler,params_AAPL_OKTA_z_win,params_ADBE_OKTA_beta_win,params_ADBE_OKTA_stop_loss,params_ADBE_OKTA_trade_freq,params_ADBE_OKTA_z_entry,params_ADBE_OKTA_z_exit,params_ADBE_OKTA_z_stop_scaler,params_ADBE_OKTA_z_win,params_ANSS_PEP_beta_win,params_ANSS_PEP_stop_loss,params_ANSS_PEP_trade_freq,params_ANSS_PEP_z_entry,params_ANSS_PEP_z_exit,params_ANSS_PEP_z_stop_scaler,params_ANSS_PEP_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CPRT_OKTA_beta_win,params_CPRT_OKTA_stop_loss,params_CPRT_OKTA_trade_freq,params_CPRT_OKTA_z_entry,params_CPRT_OKTA_z_exit,params_CPRT_OKTA_z_stop_scaler,params_CPRT_OKTA_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_CTAS_SPLK_beta_win,params_CTAS_SPLK_stop_loss,params_CTAS_SPLK_trade_freq,params_CTAS_SPLK_z_entry,params_CTAS_SPLK_z_exit,params_CTAS_SPLK_z_stop_scaler,params_CTAS_SPLK_z_win,params_FOX_SWKS_beta_win,params_FOX_SWKS_stop_loss,params_FOX_SWKS_trade_freq,params_FOX_SWKS_z_entry,params_FOX_SWKS_z_exit,params_FOX_SWKS_z_stop_scaler,params_FOX_SWKS_z_win,params_ISRG_KHC_beta_win,params_ISRG_KHC_stop_loss,params_ISRG_KHC_trade_freq,params_ISRG_KHC_z_entry,params_ISRG_KHC_z_exit,params_ISRG_KHC_z_stop_scaler,params_ISRG_KHC_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
82,82,2.866241989890561,2025-06-15 00:34:41.879925,2025-06-15 00:34:43.521300,0 days 00:00:01.641375,,,,,,,,,,,,,,,,,,,,,,850,0.007,4m,1.5,2.5,2.0,420,,,,,,,,,,,,,,,,,,,,,,298.0,0.004,4m,2.5,1.0,1.7000000000000002,278.0,,,,,,,,788.0,0.006,3m,1.5,3.5,0.5,662.0,0.3,3,COMPLETE
83,83,1.9029500582383068,2025-06-15 00:34:43.594833,2025-06-15 00:34:46.593197,0 days 00:00:02.998364,,,,,,,,,,,,,,,,,,,,,,588,0.007,4m,2.0,3.5,1.9000000000000001,480,800.0,0.004,1m,1.0,3.5,2.0,146.0,738.0,0.005,3m,2.0,2.0,1.0,698.0,664.0,0.006,3m,2.5,2.0,0.9,252.0,568.0,0.003,4m,2.0,2.5,1.9000000000000001,390.0,,,,,,,,596.0,0.01,3m,1.5,3.5,0.6,572.0,0.25,6,COMPLETE
84,84,-2.7778162468035705,2025-06-15 00:34:46.661705,2025-06-15 00:34:47.874038,0 days 00:00:01.212333,,,,,,,,,,,,,,,,,,,,,,776,0.006,1m,1.5,1.0,1.8,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,0.009000000000000001,3m,2.0,4.0,0.7,698.0,0.35000000000000003,2,COMPLETE
85,85,5.637632673226105,2025-06-15 00:34:47.943552,2025-06-15 00:34:49.938208,0 days 00:00:01.994656,,,,,,,,,,,,,,,,,,,,,,904,0.008,2m,3.0,4.0,1.9000000000000001,380,,,,,,,,,,,,,,,708.0,0.007,3m,2.0,2.5,0.9,202.0,228.0,0.004,3m,2.5,4.0,0.5,170.0,,,,,,,,662.0,0.001,1m,1.0,1.5,0.9,190.0,0.2,4,COMPLETE
86,86,5.3159633225011005,2025-06-15 00:34:50.010727,2025-06-15 00:34:52.719883,0 days 00:00:02.709156,,,,,,,,,,,,,,,,,,,,,,620,0.005,3m,1.0,3.0,1.6,292,600.0,0.003,4m,3.5,4.0,1.6,52.0,,,,,,,,748.0,0.006,3m,2.5,2.0,1.0,320.0,512.0,0.005,2m,1.0,3.5,2.0,16.0,,,,,,,,754.0,0.007,2m,2.0,3.5,0.8,608.0,0.25,5,COMPLETE
87,87,-3.1065619977423893,2025-06-15 00:34:52.791887,2025-06-15 00:34:56.570370,0 days 00:00:03.778483,596.0,0.002,2m,1.5,2.5,1.6,170.0,332.0,0.006,4m,2.0,1.0,1.2000000000000002,340.0,,,,,,,,156,0.009000000000000001,4m,1.5,2.5,1.3,786,948.0,0.007,1m,4.0,3.0,1.4,610.0,798.0,0.003,4m,3.0,1.0,0.8,326.0,576.0,0.005,3m,3.0,2.5,1.3,242.0,368.0,0.007,4m,2.0,1.0,1.8,220.0,,,,,,,,938.0,0.002,4m,1.5,3.5,1.8,744.0,0.3,8,COMPLETE
88,88,-2.175968349880374,2025-06-15 00:34:56.663893,2025-06-15 00:34:57.334029,0 days 00:00:00.670136,,,,,,,,,,,,,,,,,,,,,,970,0.01,3m,2.0,3.0,2.0,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
89,89,3.546929736839895,2025-06-15 00:34:57.390035,2025-06-15 00:35:01.776794,0 days 00:00:04.386759,952.0,0.009000000000000001,4m,4.0,1.5,2.0,390.0,454.0,0.005,4m,1.5,3.0,0.6,592.0,602.0,0.007,3m,3.5,3.5,1.3,318.0,474,0.007,2m,1.0,2.0,1.7000000000000002,534,634.0,0.003,3m,2.5,3.5,1.8,724.0,974.0,0.008,1m,1.0,1.5,1.2000000000000002,424.0,860.0,0.004,4m,3.5,2.0,0.6,184.0,446.0,0.003,4m,1.5,1.5,1.7000000000000002,352.0,,,,,,,,722.0,0.009000000000000001,3m,1.5,4.0,0.6,538.0,0.15000000000000002,9,COMPLETE
90,90,3.9409638369435047,2025-06-15 00:35:01.841313,2025-06-15 00:35:05.589092,0 days 00:00:03.747779,,,,,,,,204.0,0.004,2m,1.5,2.0,1.1,720.0,,,,,,,,686,0.002,1m,1.5,3.5,1.8,602,698.0,0.001,4m,3.5,4.0,1.5,244.0,56.0,0.001,3m,4.0,2.0,1.4,250.0,690.0,0.004,2m,3.0,2.5,1.1,414.0,418.0,0.009000000000000001,1m,3.5,2.5,1.9000000000000001,92.0,,,,,,,,516.0,0.004,3m,3.0,3.0,0.5,112.0,0.35000000000000003,7,COMPLETE
91,91,3.3154475492474984,2025-06-15 00:35:05.662606,2025-06-15 00:35:09.066878,0 days 00:00:03.404272,,,,,,,,,,,,,,,,,,,,,,908,0.008,2m,3.0,4.0,1.9000000000000001,576,,,,,,,,,,,,,,,702.0,0.007,3m,2.0,2.5,0.9,204.0,216.0,0.004,3m,2.5,4.0,0.5,158.0,,,,,,,,654.0,0.001,1m,1.0,3.5,0.9,204.0,0.2,4,COMPLETE
92,92,-0.3916331240304211,2025-06-15 00:35:09.170390,2025-06-15 00:35:12.055488,0 days 00:00:02.885098,,,,,,,,,,,,,,,,,,,,,,1024,0.008,2m,3.5,4.0,1.9000000000000001,136,,,,,,,,,,,,,,,,,,,,,,104.0,0.004,3m,2.5,4.0,0.8,46.0,,,,,,,,690.0,0.001,1m,1.0,1.0,0.9,170.0,0.2,3,COMPLETE
93,93,-2.4198761449744985,2025-06-15 00:35:12.152007,2025-06-15 00:35:15.779236,0 days 00:00:03.627229,,,,,,,,,,,,,,,,,,,,,,988,0.008,2m,3.0,4.0,1.9000000000000001,386,,,,,,,,,,,,,,,630.0,0.008,3m,1.5,2.5,0.9,112.0,164.0,0.005,3m,3.0,4.0,0.7,174.0,,,,,,,,672.0,0.001,1m,1.0,1.5,0.8,136.0,0.2,4,COMPLETE
94,94,-3.4262249144982935,2025-06-15 00:35:15.894765,2025-06-15 00:35:18.014212,0 days 00:00:02.119447,,,,,,,,,,,,,,,,,,,,,,960,0.008,2m,2.5,4.0,1.8,504,,,,,,,,,,,,,,,248.0,0.007,3m,2.0,2.5,0.8,274.0,846.0,0.004,3m,2.5,3.5,0.6,136.0,,,,,,,,628.0,0.002,1m,1.0,1.5,1.3,294.0,0.25,4,COMPLETE
95,95,-1.3105848125856638,2025-06-15 00:35:18.103759,2025-06-15 00:35:20.612211,0 days 00:00:02.508452,,,,,,,,,,,,,,,,,,,,,,934,0.009000000000000001,2m,3.5,3.5,1.9000000000000001,674,386.0,0.006,1m,2.0,3.5,1.7000000000000002,868.0,,,,,,,,520.0,0.006,3m,2.5,3.0,1.0,210.0,238.0,0.003,3m,2.0,4.0,1.5,238.0,,,,,,,,580.0,0.001,1m,1.5,2.5,1.1,76.0,0.2,5,COMPLETE
96,96,-1.7598567851420175,2025-06-15 00:35:20.679212,2025-06-15 00:35:22.630996,0 days 00:00:01.951784,,,,,,,,,,,,,,,,,,,,,,874,0.007,4m,1.0,2.5,0.8,102,,,,,,,,,,,,,,,790.0,0.007,3m,2.0,3.5,0.8,308.0,984.0,0.005,4m,2.5,3.5,1.1,722.0,,,,,,,,454.0,0.002,4m,1.0,2.0,0.7,52.0,0.25,4,COMPLETE
97,97,0.08050340214091778,2025-06-15 00:35:22.705998,2025-06-15 00:35:27.369127,0 days 00:00:04.663129,464.0,0.004,3m,3.0,2.0,1.0,962.0,592.0,0.002,3m,2.0,3.0,1.6,886.0,816.0,0.001,4m,1.0,1.0,2.0,202.0,830,0.006,2m,2.5,3.0,2.0,452,72.0,0.002,4m,1.5,3.0,1.6,316.0,704.0,0.01,3m,3.5,3.0,1.7000000000000002,568.0,850.0,0.005,3m,2.5,1.5,0.9,154.0,292.0,0.004,4m,1.5,3.0,0.7,822.0,622.0,0.005,2m,1.0,2.5,1.4,472.0,744.0,0.008,3m,2.5,3.5,1.6,642.0,0.4,10,COMPLETE
98,98,-1.7747662688376864,2025-06-15 00:35:27.429536,2025-06-15 00:35:29.026405,0 days 00:00:01.596869,,,,,,,,,,,,,,,,,,,,,,66,0.003,4m,3.0,1.5,1.8,562,,,,,,,,,,,,,,,,,,,,,,256.0,0.01,1m,3.0,2.5,1.9000000000000001,190.0,,,,,,,,808.0,0.01,1m,2.0,4.0,0.9,798.0,0.15000000000000002,3,COMPLETE
99,99,3.8058555348876335,2025-06-15 00:35:29.095919,2025-06-15 00:35:30.244157,0 days 00:00:01.148238,,,,,,,,,,,,,,,,,,,,,,728,0.007,3m,1.5,4.0,1.1,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,0.006,3m,1.5,2.0,1.0,690.0,0.3,2,COMPLETE
100,100,-7.835973172029509,2025-06-15 00:35:30.313163,2025-06-15 00:35:33.211697,0 days 00:00:02.898534,,,,,,,,,,,,,,,,,,,,,,650,0.001,1m,2.0,3.5,1.7000000000000002,532,552.0,0.004,2m,1.0,4.0,1.9000000000000001,86.0,912.0,0.004,1m,3.0,1.0,1.1,666.0,706.0,0.006,2m,3.5,2.0,1.2000000000000002,238.0,160.0,0.003,3m,2.0,2.0,2.0,290.0,,,,,,,,1006.0,0.003,3m,1.0,3.5,0.6,428.0,0.25,6,COMPLETE
101,101,7.160354546694834,2025-06-15 00:35:33.266215,2025-06-15 00:35:35.349080,0 days 00:00:02.082865,,,,,,,,,,,,,,,,,,,,,,770,0.008,3m,1.5,2.5,1.8,60,,,,,,,,,,,,,,,752.0,0.003,3m,3.0,2.5,0.8,148.0,340.0,0.005,4m,2.0,1.0,1.8,190.0,,,,,,,,966.0,0.002,3m,1.0,3.5,0.7,78.0,0.5,4,COMPLETE
102,102,-2.4354908896759104,2025-06-15 00:35:35.426608,2025-06-15 00:35:37.604690,0 days 00:00:02.178082,,,,,,,,,,,,,,,,,,,,,,770,0.008,3m,1.5,2.5,1.7000000000000002,66,,,,,,,,,,,,,,,734.0,0.002,3m,3.0,2.5,0.7,188.0,614.0,0.006,4m,2.0,1.0,1.8,332.0,,,,,,,,116.0,0.001,3m,1.0,3.5,0.7,46.0,0.5,4,COMPLETE
103,103,1.250103059196838,2025-06-15 00:35:37.678202,2025-06-15 00:35:39.213466,0 days 00:00:01.535264,,,,,,,,,,,,,,,,,,,,,,236,0.008,3m,1.5,2.5,1.8,52,,,,,,,,,,,,,,,,,,,,,,332.0,0.005,4m,1.5,1.0,0.9,108.0,,,,,,,,884.0,0.001,3m,1.0,3.5,0.8,94.0,0.45,3,COMPLETE
104,104,4.680886976866881,2025-06-15 00:35:39.301974,2025-06-15 00:35:41.525044,0 days 00:00:02.223070,,,,,,,,,,,,,,,,,,,,,,792,0.009000000000000001,3m,1.0,2.5,1.9000000000000001,88,,,,,,,,,,,,,,,672.0,0.003,3m,3.0,2.5,0.8,88.0,368.0,0.006,4m,2.5,1.0,1.7000000000000002,258.0,,,,,,,,922.0,0.007,3m,1.0,3.5,0.8,210.0,0.2,4,COMPLETE
105,105,5.550142350985357,2025-06-15 00:35:41.590584,2025-06-15 00:35:44.007290,0 days 00:00:02.416706,,,,,,,,,,,,,,,,,,,,,,362,0.004,3m,1.5,3.0,1.8,20,500.0,0.005,1m,1.5,3.5,1.1,806.0,,,,,,,,632.0,0.002,3m,3.0,2.5,0.9,356.0,286.0,0.004,4m,3.0,1.5,1.9000000000000001,212.0,,,,,,,,962.0,0.002,3m,1.5,3.0,0.6,528.0,0.25,5,COMPLETE
106,106,-1.331779153650522,2025-06-15 00:35:44.091316,2025-06-15 00:35:47.524536,0 days 00:00:03.433220,,,,,,,,382.0,0.007,2m,2.5,4.0,1.3,626.0,,,,,,,,740,0.008,4m,4.0,3.0,1.9000000000000001,150,264.0,0.01,4m,3.0,4.0,0.8,174.0,642.0,0.008,3m,2.5,3.5,2.0,384.0,186.0,0.001,1m,1.5,3.0,0.5,276.0,242.0,0.005,2m,1.0,2.5,1.2000000000000002,748.0,,,,,,,,1002.0,0.009000000000000001,4m,1.5,4.0,0.7,354.0,0.15000000000000002,7,COMPLETE
107,107,-0.673832302236901,2025-06-15 00:35:47.610060,2025-06-15 00:35:48.817324,0 days 00:00:01.207264,,,,,,,,,,,,,,,,,,,,,,604,0.007,2m,1.0,2.5,2.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.0,0.001,2m,4.0,3.5,1.0,612.0,0.3,2,COMPLETE
108,108,6.729279518046083,2025-06-15 00:35:48.888834,2025-06-15 00:35:51.062167,0 days 00:00:02.173333,,,,,,,,,,,,,,,,,,,,,,674,0.009000000000000001,3m,2.0,2.0,1.7000000000000002,360,,,,,,,,,,,,,,,762.0,0.008,3m,4.0,2.0,0.7,132.0,678.0,0.005,4m,1.5,4.0,0.5,374.0,,,,,,,,704.0,0.007,3m,2.5,3.5,0.9,590.0,0.2,4,COMPLETE
109,109,2.674419804685135,2025-06-15 00:35:51.105668,2025-06-15 00:35:53.456227,0 days 00:00:02.350559,,,,,,,,,,,,,,,,,,,,,,526,0.01,3m,2.0,2.0,1.6,202,740.0,0.002,1m,2.0,1.5,1.4,410.0,,,,,,,,754.0,0.008,2m,4.0,2.0,0.6,66.0,672.0,0.008,4m,1.5,3.5,1.8,400.0,,,,,,,,830.0,0.005,3m,2.5,3.5,0.5,488.0,0.3,5,COMPLETE
110,110,6.220747051017925,2025-06-15 00:35:53.550760,2025-06-15 00:35:57.556571,0 days 00:00:04.005811,790.0,0.007,1m,3.5,1.0,1.3,574.0,66.0,0.006,4m,1.0,1.5,0.5,508.0,,,,,,,,668,0.009000000000000001,3m,2.0,1.5,1.7000000000000002,616,860.0,0.003,3m,4.0,3.0,1.9000000000000001,558.0,522.0,0.006,2m,2.0,1.5,1.2000000000000002,502.0,814.0,0.009000000000000001,4m,4.0,2.0,0.7,104.0,702.0,0.005,4m,1.0,1.5,0.6,48.0,,,,,,,,708.0,0.007,3m,2.5,4.0,0.8,568.0,0.45,8,COMPLETE
111,111,3.473912655501567,2025-06-15 00:35:57.625102,2025-06-15 00:36:01.691956,0 days 00:00:04.066854,800.0,0.008,1m,3.5,1.0,1.4,804.0,102.0,0.006,4m,1.0,1.5,0.5,522.0,,,,,,,,686,0.009000000000000001,3m,2.0,1.5,1.7000000000000002,728,896.0,0.003,3m,4.0,3.0,1.9000000000000001,570.0,522.0,0.003,2m,2.0,1.5,1.2000000000000002,482.0,828.0,0.009000000000000001,4m,4.0,2.0,0.7,126.0,776.0,0.005,4m,1.0,1.5,0.6,436.0,,,,,,,,730.0,0.007,3m,2.5,4.0,0.8,570.0,0.45,8,COMPLETE
112,112,1.1632271158956409,2025-06-15 00:36:01.766471,2025-06-15 00:36:06.376174,0 days 00:00:04.609703,734.0,0.007,1m,4.0,1.0,1.3,542.0,20.0,0.007,4m,1.0,1.0,0.7,472.0,314.0,0.007,2m,2.0,2.0,0.8,498.0,670,0.01,3m,2.0,1.5,1.7000000000000002,632,1008.0,0.004,3m,4.0,3.0,2.0,646.0,414.0,0.007,2m,1.5,1.5,1.4,290.0,898.0,0.01,4m,4.0,2.0,0.7,158.0,710.0,0.006,4m,1.0,1.0,0.6,50.0,,,,,,,,722.0,0.007,3m,2.5,4.0,0.8,654.0,0.5,9,COMPLETE
113,113,8.628631654786519,2025-06-15 00:36:06.461693,2025-06-15 00:36:10.496646,0 days 00:00:04.034953,592.0,0.009000000000000001,1m,3.5,1.5,1.4,762.0,84.0,0.006,4m,1.0,1.5,0.6,522.0,,,,,,,,578,0.009000000000000001,3m,2.0,1.5,1.6,612,856.0,0.001,3m,3.5,3.5,1.8,556.0,572.0,0.006,2m,2.0,2.0,1.0,442.0,786.0,0.009000000000000001,4m,4.0,1.5,0.8,16.0,746.0,0.005,4m,1.5,2.0,1.3,86.0,,,,,,,,698.0,0.006,3m,2.5,3.5,0.7,594.0,0.5,8,COMPLETE
114,114,4.492040539571143,2025-06-15 00:36:10.576692,2025-06-15 00:36:14.279985,0 days 00:00:03.703293,,,,,,,,80.0,0.008,4m,1.0,1.5,0.6,288.0,,,,,,,,640,0.009000000000000001,3m,2.0,1.5,1.6,568,852.0,0.001,3m,3.5,2.5,1.8,526.0,564.0,0.006,2m,2.0,2.0,0.9,442.0,310.0,0.009000000000000001,4m,4.0,1.5,0.8,16.0,726.0,0.005,4m,1.5,2.0,1.3,40.0,,,,,,,,640.0,0.007,3m,2.5,4.0,0.7,594.0,0.45,7,COMPLETE
115,115,4.953817335774982,2025-06-15 00:36:14.342506,2025-06-15 00:36:20.148713,0 days 00:00:05.806207,626.0,0.009000000000000001,1m,3.0,1.5,1.1,800.0,136.0,0.009000000000000001,4m,1.0,2.0,0.5,368.0,484.0,0.004,1m,2.5,2.5,0.5,798.0,572,0.009000000000000001,3m,2.0,1.5,1.6,604,904.0,0.001,3m,4.0,3.0,1.7000000000000002,464.0,292.0,0.005,2m,1.5,2.0,0.9,226.0,804.0,0.009000000000000001,4m,4.0,1.0,0.8,60.0,662.0,0.005,4m,1.5,1.5,0.5,72.0,,,,,,,,696.0,0.006,3m,2.5,3.5,0.7,550.0,0.5,9,COMPLETE
116,116,5.129213118363859,2025-06-15 00:36:20.242226,2025-06-15 00:36:25.461129,0 days 00:00:05.218903,,,,,,,,,,,,,,,,,,,,,,700,0.01,3m,2.0,1.5,1.5,588,954.0,0.002,3m,3.5,3.5,1.6,684.0,870.0,0.006,2m,2.0,1.0,1.0,360.0,70.0,0.01,4m,4.0,1.5,0.5,92.0,626.0,0.005,4m,1.0,2.0,1.4,80.0,,,,,,,,614.0,0.006,3m,2.5,4.0,0.8,618.0,0.5,6,COMPLETE
117,117,0.7387993853730261,2025-06-15 00:36:25.572653,2025-06-15 00:36:31.282623,0 days 00:00:05.709970,506.0,0.006,1m,3.5,1.0,1.6,652.0,64.0,0.006,4m,1.0,1.5,0.5,422.0,186.0,0.002,3m,1.5,1.5,1.0,178.0,594,0.009000000000000001,3m,2.0,1.0,1.7000000000000002,614,810.0,0.001,3m,4.0,3.0,1.8,534.0,502.0,0.002,2m,2.5,1.5,0.7,100.0,858.0,0.009000000000000001,4m,4.0,1.5,0.7,44.0,698.0,0.006,4m,1.5,1.5,1.4,124.0,,,,,,,,896.0,0.008,3m,3.0,3.5,0.9,668.0,0.45,9,COMPLETE
118,118,4.805494138777431,2025-06-15 00:36:31.354135,2025-06-15 00:36:35.142464,0 days 00:00:03.788329,400.0,0.007,1m,2.5,1.0,1.1,870.0,714.0,0.005,4m,1.5,1.0,0.7,508.0,,,,,,,,662,0.01,3m,2.5,1.5,1.5,654,666.0,0.002,3m,4.0,3.5,1.7000000000000002,772.0,362.0,0.004,2m,2.0,1.5,1.0,402.0,934.0,0.008,4m,4.0,1.5,0.6,116.0,750.0,0.005,4m,1.0,2.0,1.6,476.0,,,,,,,,684.0,0.007,3m,2.5,3.5,0.7,728.0,0.5,8,COMPLETE
119,119,5.53657441602815,2025-06-15 00:36:35.206463,2025-06-15 00:36:37.133373,0 days 00:00:01.926910,,,,,,,,,,,,,,,,,,,,,,750,0.005,3m,2.0,2.0,1.8,548,,,,,,,,,,,,,,,760.0,0.01,4m,3.5,1.0,0.6,140.0,582.0,0.006,4m,1.5,2.5,1.3,382.0,,,,,,,,940.0,0.006,3m,2.5,4.0,1.0,502.0,0.5,4,COMPLETE
120,120,-0.47443012092360287,2025-06-15 00:36:37.187884,2025-06-15 00:36:38.598330,0 days 00:00:01.410446,,,,,,,,,,,,,,,,,,,,,,720,0.009000000000000001,3m,2.0,2.0,0.6,128,,,,,,,,,,,,,,,,,,,,,,554.0,0.005,4m,1.5,1.5,1.2000000000000002,148.0,,,,,,,,550.0,0.005,3m,3.0,3.5,0.9,590.0,0.45,3,COMPLETE
121,121,5.563695527754877,2025-06-15 00:36:38.675844,2025-06-15 00:36:42.294588,0 days 00:00:03.618744,592.0,0.01,1m,3.5,1.5,1.4,480.0,184.0,0.006,4m,1.5,2.0,0.8,628.0,,,,,,,,630,0.008,3m,1.5,1.5,1.7000000000000002,520,778.0,0.003,3m,3.5,2.0,1.9000000000000001,620.0,690.0,0.009000000000000001,2m,2.5,2.5,1.2000000000000002,510.0,682.0,0.008,2m,3.5,2.0,0.8,232.0,784.0,0.004,4m,1.5,2.5,1.9000000000000001,110.0,,,,,,,,790.0,0.008,3m,2.0,3.5,0.6,630.0,0.5,8,COMPLETE
122,122,2.5679469713849317,2025-06-15 00:36:42.372130,2025-06-15 00:36:46.632778,0 days 00:00:04.260648,864.0,0.009000000000000001,1m,4.0,2.0,1.4,742.0,262.0,0.004,1m,1.0,2.5,0.9,540.0,,,,,,,,558,0.009000000000000001,3m,1.5,2.5,1.8,478,862.0,0.004,3m,3.5,4.0,2.0,486.0,592.0,0.01,3m,1.0,2.0,1.3,594.0,788.0,0.008,2m,4.0,2.0,1.0,258.0,820.0,0.005,4m,2.0,1.0,0.7,616.0,,,,,,,,708.0,0.006,3m,2.0,3.5,0.6,564.0,0.2,8,COMPLETE
123,123,-3.975751436104572,2025-06-15 00:36:46.686292,2025-06-15 00:36:50.742292,0 days 00:00:04.056000,752.0,0.008,1m,3.0,1.5,1.5,426.0,168.0,0.007,4m,2.0,1.5,0.6,446.0,,,,,,,,580,0.009000000000000001,4m,1.5,1.0,1.6,584,606.0,0.001,1m,4.0,3.5,1.8,566.0,460.0,0.005,1m,1.5,1.5,1.1,454.0,726.0,0.009000000000000001,3m,3.5,2.5,0.9,222.0,604.0,0.004,4m,1.0,3.0,2.0,786.0,,,,,,,,766.0,0.008,3m,2.5,3.5,0.7,522.0,0.4,8,COMPLETE
124,124,-3.3330960518977486,2025-06-15 00:36:50.795804,2025-06-15 00:36:54.206217,0 days 00:00:03.410413,,,,,,,,76.0,0.005,3m,1.5,1.5,0.8,612.0,,,,,,,,498,0.01,1m,2.5,2.5,1.8,508,916.0,0.003,4m,2.5,4.0,1.5,422.0,542.0,0.003,3m,2.5,2.0,1.5,514.0,838.0,0.01,1m,4.0,1.5,0.8,190.0,634.0,0.007,1m,1.5,2.5,0.5,664.0,,,,,,,,486.0,0.007,3m,2.5,3.5,0.5,644.0,0.25,7,COMPLETE
125,125,6.115285456460751,2025-06-15 00:36:54.282732,2025-06-15 00:36:58.808231,0 days 00:00:04.525499,704.0,0.01,1m,3.5,1.0,1.3,602.0,644.0,0.006,4m,2.0,3.5,0.7,682.0,866.0,0.006,3m,3.5,3.5,1.7000000000000002,660.0,618,0.007,3m,2.0,2.0,1.7000000000000002,546,734.0,0.008,3m,4.0,3.5,1.9000000000000001,1022.0,624.0,0.007,2m,2.0,2.5,1.4,328.0,754.0,0.009000000000000001,2m,3.0,4.0,0.7,168.0,724.0,0.009000000000000001,4m,1.0,2.0,1.5,340.0,,,,,,,,668.0,0.007,3m,1.5,3.0,0.6,686.0,0.5,9,COMPLETE
126,126,2.694536733141026,2025-06-15 00:36:58.881742,2025-06-15 00:37:03.433507,0 days 00:00:04.551765,694.0,0.009000000000000001,1m,3.5,1.0,1.2000000000000002,616.0,860.0,0.008,4m,1.0,3.5,0.7,32.0,802.0,0.006,3m,3.5,3.5,1.7000000000000002,596.0,620,0.007,3m,2.0,2.0,1.6,636,452.0,0.009000000000000001,3m,4.0,3.0,1.9000000000000001,978.0,622.0,0.007,2m,2.0,2.5,1.2000000000000002,328.0,800.0,0.009000000000000001,3m,3.0,4.0,0.7,166.0,518.0,0.009000000000000001,4m,1.0,2.0,1.6,338.0,,,,,,,,414.0,0.007,3m,2.0,3.0,0.8,908.0,0.5,9,COMPLETE
127,127,1.8861190330334079,2025-06-15 00:37:03.487024,2025-06-15 00:37:08.841592,0 days 00:00:05.354568,1022.0,0.01,1m,3.0,1.0,1.3,542.0,656.0,0.006,4m,1.5,2.0,0.5,710.0,878.0,0.006,3m,3.5,3.5,1.8,742.0,610,0.008,3m,2.0,1.5,1.7000000000000002,712,716.0,0.008,3m,4.0,3.5,1.6,1024.0,444.0,0.007,2m,2.0,2.5,0.5,186.0,874.0,0.01,4m,3.0,4.0,1.6,98.0,696.0,0.009000000000000001,4m,1.0,2.0,1.5,374.0,54.0,0.005,1m,2.5,3.0,1.3,522.0,666.0,0.007,3m,1.5,3.0,0.6,692.0,0.5,10,COMPLETE
128,128,1.860452429953825,2025-06-15 00:37:08.918100,2025-06-15 00:37:13.736651,0 days 00:00:04.818551,570.0,0.008,1m,3.5,1.5,0.6,1024.0,622.0,0.007,4m,3.0,4.0,1.8,812.0,506.0,0.008,3m,3.0,3.0,1.4,478.0,710,0.006,3m,2.0,2.0,0.5,544,828.0,0.008,3m,3.5,3.0,1.7000000000000002,872.0,736.0,0.006,2m,1.5,1.0,1.3,270.0,764.0,0.009000000000000001,2m,3.5,4.0,0.6,36.0,748.0,0.009000000000000001,4m,1.0,1.5,1.3,416.0,,,,,,,,586.0,0.006,3m,2.5,4.0,1.1,784.0,0.45,9,COMPLETE
129,129,6.167431877972261,2025-06-15 00:37:13.821175,2025-06-15 00:37:15.056998,0 days 00:00:01.235823,,,,,,,,,,,,,,,,,,,,,,678,0.007,3m,2.0,2.5,1.7000000000000002,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.0,0.007,3m,2.5,3.5,0.7,672.0,0.5,2,COMPLETE
130,130,6.1209778885158705,2025-06-15 00:37:15.123516,2025-06-15 00:37:16.165941,0 days 00:00:01.042425,,,,,,,,,,,,,,,,,,,,,,652,0.007,3m,2.0,2.5,1.7000000000000002,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,0.007,3m,2.5,3.5,0.7,666.0,0.5,2,COMPLETE
