,number,value,datetime_start,datetime_complete,duration,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_ATVI_DXCM_beta_win,params_ATVI_DXCM_stop_loss,params_ATVI_DXCM_trade_freq,params_ATVI_DXCM_z_entry,params_ATVI_DXCM_z_exit,params_ATVI_DXCM_z_stop_scaler,params_ATVI_DXCM_z_win,params_ATVI_VRSK_beta_win,params_ATVI_VRSK_stop_loss,params_ATVI_VRSK_trade_freq,params_ATVI_VRSK_z_entry,params_ATVI_VRSK_z_exit,params_ATVI_VRSK_z_stop_scaler,params_ATVI_VRSK_z_win,params_CTAS_DXCM_beta_win,params_CTAS_DXCM_stop_loss,params_CTAS_DXCM_trade_freq,params_CTAS_DXCM_z_entry,params_CTAS_DXCM_z_exit,params_CTAS_DXCM_z_stop_scaler,params_CTAS_DXCM_z_win,params_DLTR_FANG_beta_win,params_DLTR_FANG_stop_loss,params_DLTR_FANG_trade_freq,params_DLTR_FANG_z_entry,params_DLTR_FANG_z_exit,params_DLTR_FANG_z_stop_scaler,params_DLTR_FANG_z_win,params_EXC_ZM_beta_win,params_EXC_ZM_stop_loss,params_EXC_ZM_trade_freq,params_EXC_ZM_z_entry,params_EXC_ZM_z_exit,params_EXC_ZM_z_stop_scaler,params_EXC_ZM_z_win,params_FAST_GFS_beta_win,params_FAST_GFS_stop_loss,params_FAST_GFS_trade_freq,params_FAST_GFS_z_entry,params_FAST_GFS_z_exit,params_FAST_GFS_z_stop_scaler,params_FAST_GFS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MSFT_REGN_beta_win,params_MSFT_REGN_stop_loss,params_MSFT_REGN_trade_freq,params_MSFT_REGN_z_entry,params_MSFT_REGN_z_exit,params_MSFT_REGN_z_stop_scaler,params_MSFT_REGN_z_win,params_NXPI_PCAR_beta_win,params_NXPI_PCAR_stop_loss,params_NXPI_PCAR_trade_freq,params_NXPI_PCAR_z_entry,params_NXPI_PCAR_z_exit,params_NXPI_PCAR_z_stop_scaler,params_NXPI_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.4899439544380038,2025-06-15 01:15:26.056675,2025-06-15 01:15:27.416800,0 days 00:00:01.360125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,0.5,3,COMPLETE
1,1,-0.1719335357615043,2025-06-15 01:15:27.493652,2025-06-15 01:15:28.827901,0 days 00:00:01.334249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,0.3,3,COMPLETE
2,2,0.16726606849648723,2025-06-15 01:15:28.893361,2025-06-15 01:15:32.753259,0 days 00:00:03.859898,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,270,0.008,4m,1.0,1.5,0.5,50,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,0.2,9,COMPLETE
3,3,-3.6407569215230673,2025-06-15 01:15:32.812298,2025-06-15 01:15:35.022137,0 days 00:00:02.209839,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,352.0,0.007,2m,1.0,3.5,1.3,856.0,0.05,5,COMPLETE
4,4,-1.4556368413469023,2025-06-15 01:15:35.083144,2025-06-15 01:15:37.365595,0 days 00:00:02.282451,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,0.2,5,COMPLETE
5,5,1.5890002053042052,2025-06-15 01:15:37.454520,2025-06-15 01:15:40.817798,0 days 00:00:03.363278,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,430,0.001,4m,2.5,4.0,0.8,278,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,0.15000000000000002,8,COMPLETE
6,6,3.2771577000278094,2025-06-15 01:15:40.909092,2025-06-15 01:15:42.830006,0 days 00:00:01.920914,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,0.45,4,COMPLETE
7,7,2.6169525406186334,2025-06-15 01:15:42.892592,2025-06-15 01:15:44.107231,0 days 00:00:01.214639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,0.1,3,COMPLETE
8,8,-4.381939234831765,2025-06-15 01:15:44.160800,2025-06-15 01:15:47.283029,0 days 00:00:03.122229,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,0.05,7,COMPLETE
9,9,2.329878664161045,2025-06-15 01:15:47.334521,2025-06-15 01:15:51.690406,0 days 00:00:04.355885,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,90,0.004,2m,4.0,1.5,0.9,844,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,0.45,10,COMPLETE
10,10,-1.3319657287219149,2025-06-15 01:15:51.748846,2025-06-15 01:15:52.257916,0 days 00:00:00.509070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.49933379483297907,2025-06-15 01:15:52.320625,2025-06-15 01:15:53.770491,0 days 00:00:01.449866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,0.005,3m,2.0,2.5,0.8,668,,,,,,,,,,,,,,,524.0,0.007,2m,4.0,1.5,1.1,454.0,,,,,,,,28.0,0.01,3m,3.5,1.0,1.7000000000000002,92.0,0.4,3,COMPLETE
12,12,-3.1570112299593056,2025-06-15 01:15:53.819181,2025-06-15 01:15:54.967004,0 days 00:00:01.147823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,0.003,1m,2.5,3.0,1.0,604,,,,,,,,,,,,,,,564.0,0.008,3m,2.0,2.0,0.5,574.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
13,13,-1.5307927796530592,2025-06-15 01:15:55.022466,2025-06-15 01:15:57.720025,0 days 00:00:02.697559,354.0,0.001,2m,1.0,4.0,1.4,1004.0,100.0,0.01,1m,4.0,1.5,0.5,26.0,,,,,,,,,,,,,,,802,0.007,1m,2.0,1.0,0.6,816,,,,,,,,,,,,,,,726.0,0.005,1m,3.0,2.0,1.3,306.0,986.0,0.001,1m,4.0,2.0,0.5,838.0,398.0,0.004,2m,3.5,2.0,1.6,148.0,0.1,6,COMPLETE
14,14,-6.225715346435768,2025-06-15 01:15:57.787673,2025-06-15 01:15:59.863165,0 days 00:00:02.075492,462.0,0.008,3m,2.0,3.0,1.0,690.0,,,,,,,,,,,,,,,,,,,,,,504,0.002,3m,3.0,2.5,1.6,512,,,,,,,,,,,,,,,382.0,0.006,2m,4.0,1.0,1.0,706.0,,,,,,,,620.0,0.01,4m,1.5,2.0,1.6,268.0,0.5,4,COMPLETE
15,15,2.6314022874662752,2025-06-15 01:15:59.915111,2025-06-15 01:16:00.444951,0 days 00:00:00.529840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.006,1m,3.5,4.0,0.7,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
16,16,2.35025535210121,2025-06-15 01:16:00.484573,2025-06-15 01:16:01.036091,0 days 00:00:00.551518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.007,1m,3.5,4.0,1.1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
17,17,5.404993656622336,2025-06-15 01:16:01.097324,2025-06-15 01:16:01.656047,0 days 00:00:00.558723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0.006,1m,3.5,3.5,0.7,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
18,18,-1.4616898952027324,2025-06-15 01:16:01.729872,2025-06-15 01:16:04.647119,0 days 00:00:02.917247,276.0,0.003,2m,1.0,4.0,1.6,798.0,708.0,0.001,3m,4.0,2.0,0.5,36.0,,,,,,,,,,,,,,,180,0.007,1m,4.0,3.5,1.5,796,,,,,,,,,,,,,,,412.0,0.002,2m,2.0,1.0,0.8,50.0,658.0,0.01,2m,1.0,3.0,2.0,726.0,242.0,0.004,3m,2.0,1.0,0.9,284.0,0.45,6,COMPLETE
19,19,-1.3884408921095257,2025-06-15 01:16:04.704602,2025-06-15 01:16:06.719705,0 days 00:00:02.015103,668.0,0.008,3m,2.0,2.5,1.1,458.0,,,,,,,,,,,,,,,,,,,,,,188,0.01,1m,3.5,3.0,0.6,928,,,,,,,,,,,,,,,638.0,0.005,1m,1.0,2.0,0.5,1006.0,,,,,,,,46.0,0.004,3m,3.0,1.5,1.2000000000000002,46.0,0.3,4,COMPLETE
20,20,-1.7446669258265748,2025-06-15 01:16:06.782172,2025-06-15 01:16:07.875158,0 days 00:00:01.092986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,0.005,2m,4.0,3.5,1.1,470,,,,,,,,,,,,,,,390.0,0.004,2m,2.0,2.5,1.0,806.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
21,21,3.2617639082335153,2025-06-15 01:16:07.938719,2025-06-15 01:16:08.548420,0 days 00:00:00.609701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.006,1m,3.5,4.0,0.7,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
22,22,3.6648813392477284,2025-06-15 01:16:08.609002,2025-06-15 01:16:09.566451,0 days 00:00:00.957449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,0.007,1m,3.5,3.5,0.7,748,,,,,,,,,,,,,,,1008.0,0.008,2m,3.0,1.5,0.7,182.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
23,23,-0.1814695338267008,2025-06-15 01:16:09.600532,2025-06-15 01:16:10.609620,0 days 00:00:01.009088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0.008,1m,3.0,3.5,0.9,756,,,,,,,,,,,,,,,978.0,0.008,2m,3.0,1.5,0.7,208.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
24,24,-1.328873679108869,2025-06-15 01:16:10.657271,2025-06-15 01:16:12.709087,0 days 00:00:02.051816,724.0,0.009000000000000001,2m,3.0,3.0,1.6,994.0,,,,,,,,,,,,,,,,,,,,,,258,0.008,1m,4.0,3.0,0.5,574,,,,,,,,,,,,,,,1018.0,0.006,2m,2.5,1.5,1.1,362.0,,,,,,,,450.0,0.001,4m,2.0,4.0,0.8,234.0,0.25,4,COMPLETE
25,25,-4.389726650319573,2025-06-15 01:16:12.783732,2025-06-15 01:16:13.842473,0 days 00:00:01.058741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0.007,1m,3.5,2.0,0.7,738,,,,,,,,,,,,,,,778.0,0.008,2m,3.0,2.5,0.6,218.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
26,26,-3.230900150928177,2025-06-15 01:16:13.894405,2025-06-15 01:16:14.789193,0 days 00:00:00.894788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0.005,1m,2.5,3.5,1.0,426,,,,,,,,,,,,,,,624.0,0.009000000000000001,2m,2.5,1.0,0.9,648.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
27,27,1.073265399462017,2025-06-15 01:16:14.852057,2025-06-15 01:16:16.920765,0 days 00:00:02.068708,218.0,0.002,2m,2.0,3.5,2.0,420.0,,,,,,,,,,,,,,,,,,,,,,112,0.01,1m,4.0,3.0,0.6,936,,,,,,,,,,,,,,,308.0,0.006,4m,1.5,2.0,1.4,160.0,,,,,,,,262.0,0.005,3m,3.0,1.5,2.0,368.0,0.3,4,COMPLETE
28,28,1.9705437872003564,2025-06-15 01:16:17.018250,2025-06-15 01:16:18.443266,0 days 00:00:01.425016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,0.008,4m,3.0,1.0,1.5,762,,,,,,,,,,,,,,,20.0,0.009000000000000001,1m,3.5,1.5,1.1,480.0,,,,,,,,156.0,0.009000000000000001,3m,1.0,2.5,0.5,186.0,0.45,3,COMPLETE
29,29,-2.1667579846871847,2025-06-15 01:16:18.492763,2025-06-15 01:16:19.890214,0 days 00:00:01.397451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,0.004,2m,3.5,2.0,0.9,586,,,,,,,,,,,,,,,940.0,0.007,2m,2.0,3.5,0.6,328.0,,,,,,,,688.0,0.006,1m,2.0,2.5,1.4,684.0,0.5,3,COMPLETE
30,30,-1.094577337485975,2025-06-15 01:16:19.949561,2025-06-15 01:16:22.322869,0 days 00:00:02.373308,480.0,0.006,4m,3.5,1.0,0.7,698.0,,,,,,,,,,,,,,,,,,,,,,298,0.006,1m,4.0,2.5,1.3,894,,,,,,,,,,,,,,,512.0,0.004,2m,3.0,2.5,0.9,596.0,316.0,0.001,3m,2.0,1.0,0.9,622.0,496.0,0.01,4m,3.0,1.0,1.8,22.0,0.4,5,COMPLETE
31,31,2.9412617661036906,2025-06-15 01:16:22.399169,2025-06-15 01:16:22.988462,0 days 00:00:00.589293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.006,1m,3.5,4.0,0.7,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
32,32,-4.081850098350612,2025-06-15 01:16:23.038933,2025-06-15 01:16:23.655652,0 days 00:00:00.616719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,0.007,1m,3.5,4.0,0.7,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
33,33,-2.3611164488888274,2025-06-15 01:16:23.716794,2025-06-15 01:16:24.795288,0 days 00:00:01.078494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0.008,1m,3.5,3.5,0.5,690,,,,,,,,,,,,,,,912.0,0.008,2m,2.5,3.5,1.2000000000000002,114.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
34,34,1.996230404125111,2025-06-15 01:16:24.846160,2025-06-15 01:16:25.466442,0 days 00:00:00.620282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,0.006,1m,4.0,4.0,0.6,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
35,35,-4.043004599084237,2025-06-15 01:16:25.525983,2025-06-15 01:16:27.019413,0 days 00:00:01.493430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0.005,2m,3.0,1.5,2.0,636,,,,,,,,,,,,,,,746.0,0.005,3m,4.0,2.0,0.7,412.0,,,,,,,,322.0,0.005,3m,1.5,1.5,1.1,990.0,0.5,3,COMPLETE
36,36,-3.2993812553028166,2025-06-15 01:16:27.075352,2025-06-15 01:16:28.107227,0 days 00:00:01.031875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,0.007,4m,1.0,3.5,1.0,872,,,,,,,,,,,,,,,866.0,0.003,4m,1.0,1.5,0.9,850.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
37,37,0.7185569995730976,2025-06-15 01:16:28.168485,2025-06-15 01:16:28.750661,0 days 00:00:00.582176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.009000000000000001,1m,3.5,4.0,0.8,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
38,38,-1.0377250735380839,2025-06-15 01:16:28.814159,2025-06-15 01:16:31.313576,0 days 00:00:02.499417,18.0,0.008,3m,1.5,2.5,1.4,806.0,,,,,,,,,,,,,,,,,,,,,,310,0.008,4m,2.5,3.5,0.7,774,,,,,,,,,,,,,,,492.0,0.009000000000000001,1m,3.5,2.5,1.4,284.0,776.0,0.008,1m,4.0,2.0,1.6,16.0,146.0,0.009000000000000001,3m,3.5,2.0,1.4,620.0,0.35000000000000003,5,COMPLETE
39,39,-3.339728053198101,2025-06-15 01:16:31.390542,2025-06-15 01:16:32.907119,0 days 00:00:01.516577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.004,3m,4.0,3.0,0.5,220,,,,,,,,,,,,,,,632.0,0.003,3m,3.0,1.0,2.0,400.0,,,,,,,,856.0,0.003,4m,2.0,4.0,0.7,326.0,0.45,3,COMPLETE
