,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_CPRT_ROST_beta_win,params_CPRT_ROST_stop_loss,params_CPRT_ROST_trade_freq,params_CPRT_ROST_z_entry,params_CPRT_ROST_z_exit,params_CPRT_ROST_z_stop_scaler,params_CPRT_ROST_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_MRNA_beta_win,params_KDP_MRNA_stop_loss,params_KDP_MRNA_trade_freq,params_KDP_MRNA_z_entry,params_KDP_MRNA_z_exit,params_KDP_MRNA_z_stop_scaler,params_KDP_MRNA_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,2.1376614013230952,2025-06-15 00:47:41.093503,2025-06-15 00:47:43.745099,0 days 00:00:02.651596,644.0,0.007,3m,1.5,1.0,1.1,174.0,,,,,,,,270,0.008,4m,4.0,3.0,1.4,370,,,,,,,,,,,,,,,,,,,,,,478.0,0.005,3m,1.5,2.5,1.0,706.0,162.0,0.007,1m,3.0,1.0,2.0,738.0,694.0,0.004,4m,1.5,3.0,1.8,998.0,700.0,0.008,3m,3.5,1.0,1.1,1008.0,0.35000000000000003,6,COMPLETE
21,21,4.590662366687448,2025-06-15 00:47:43.858128,2025-06-15 00:47:47.682738,0 days 00:00:03.824610,824.0,0.008,1m,3.0,3.5,0.5,560.0,,,,,,,,438,0.001,4m,2.5,4.0,0.5,278,,,,,,,,290.0,0.008,1m,2.5,1.0,1.5,570.0,348.0,0.007,4m,1.5,1.0,2.0,652.0,290.0,0.003,2m,1.5,3.0,1.6,92.0,1010.0,0.009000000000000001,4m,3.0,4.0,1.7000000000000002,988.0,22.0,0.005,1m,3.0,3.5,1.5,206.0,630.0,0.006,1m,4.0,2.0,2.0,40.0,0.15000000000000002,8,COMPLETE
22,22,3.5078484047183216,2025-06-15 00:47:47.760739,2025-06-15 00:47:52.242662,0 days 00:00:04.481923,896.0,0.01,1m,3.0,3.0,0.5,554.0,,,,,,,,476,0.003,4m,2.5,4.0,0.6,230,968.0,0.005,1m,2.0,2.0,1.2000000000000002,376.0,302.0,0.008,3m,3.0,1.0,1.5,764.0,420.0,0.007,4m,1.5,1.5,1.5,528.0,278.0,0.002,2m,1.0,3.0,2.0,20.0,1024.0,0.01,4m,3.0,4.0,1.6,998.0,168.0,0.005,1m,3.0,4.0,1.4,170.0,562.0,0.005,1m,3.5,2.5,1.5,138.0,0.15000000000000002,9,COMPLETE
23,23,-3.6544786750983955,2025-06-15 00:47:52.336385,2025-06-15 00:47:56.171906,0 days 00:00:03.835521,830.0,0.008,1m,3.0,4.0,0.8,404.0,,,,,,,,620,0.001,4m,1.0,3.5,0.5,504,,,,,,,,620.0,0.007,4m,2.5,1.5,2.0,692.0,184.0,0.008,4m,2.0,2.0,2.0,774.0,166.0,0.003,2m,3.0,2.0,1.7000000000000002,418.0,842.0,0.003,3m,2.0,3.0,1.4,668.0,382.0,0.008,1m,4.0,3.5,1.7000000000000002,370.0,822.0,0.006,1m,4.0,2.0,2.0,44.0,0.1,8,COMPLETE
24,24,0.263440401688042,2025-06-15 00:47:56.260420,2025-06-15 00:48:00.551955,0 days 00:00:04.291535,700.0,0.005,3m,3.5,3.5,1.8,650.0,,,,,,,,330,0.003,4m,2.5,3.5,0.7,120,388.0,0.005,2m,3.0,3.0,1.1,810.0,208.0,0.001,1m,3.0,4.0,1.1,686.0,760.0,0.005,1m,1.0,1.0,1.3,438.0,322.0,0.007,2m,1.5,3.5,1.5,200.0,852.0,0.008,4m,4.0,2.5,2.0,362.0,102.0,0.004,1m,2.5,3.0,1.3,138.0,346.0,0.005,4m,3.5,2.0,0.8,204.0,0.25,9,COMPLETE
25,25,1.4917875419419264,2025-06-15 00:48:00.663474,2025-06-15 00:48:03.901734,0 days 00:00:03.238260,462.0,0.009000000000000001,4m,2.0,3.0,1.2000000000000002,536.0,,,,,,,,216,0.005,2m,3.5,2.5,1.0,234,,,,,,,,,,,,,,,530.0,0.006,2m,2.0,2.0,2.0,798.0,158.0,0.004,1m,2.0,2.5,1.7000000000000002,266.0,570.0,0.003,3m,2.0,1.5,1.0,620.0,18.0,0.002,3m,3.5,3.5,1.1,632.0,232.0,0.007,1m,3.0,3.5,1.1,392.0,0.2,7,COMPLETE
26,26,4.666376187975583,2025-06-15 00:48:03.991250,2025-06-15 00:48:08.776994,0 days 00:00:04.785744,904.0,0.007,1m,3.5,4.0,0.7,354.0,26.0,0.01,2m,2.5,3.5,0.5,22.0,378,0.01,3m,1.5,1.5,0.5,326,414.0,0.003,3m,1.0,1.0,1.9000000000000001,118.0,770.0,0.01,3m,2.5,2.0,1.6,352.0,242.0,0.004,4m,1.5,3.0,0.8,566.0,408.0,0.001,2m,1.5,4.0,1.9000000000000001,536.0,824.0,0.005,4m,3.5,3.0,1.5,876.0,1002.0,0.005,2m,2.0,4.0,1.7000000000000002,256.0,816.0,0.003,2m,2.0,1.0,1.4,158.0,0.1,10,COMPLETE
27,27,5.761800002015147,2025-06-15 00:48:08.852012,2025-06-15 00:48:13.465109,0 days 00:00:04.613097,920.0,0.006,3m,3.5,4.0,0.9,358.0,16.0,0.01,2m,2.5,3.5,0.5,100.0,96,0.01,3m,1.5,1.5,0.7,434,408.0,0.003,3m,1.0,1.0,1.8,44.0,802.0,0.01,3m,1.5,2.5,0.8,226.0,20.0,0.002,4m,2.5,3.0,0.5,292.0,502.0,0.001,1m,3.0,4.0,1.9000000000000001,506.0,836.0,0.005,1m,3.5,3.0,1.4,848.0,970.0,0.007,2m,1.5,4.0,1.7000000000000002,376.0,484.0,0.002,2m,2.0,1.0,1.4,400.0,0.1,10,COMPLETE
28,28,2.906282428426631,2025-06-15 00:48:13.591129,2025-06-15 00:48:21.547430,0 days 00:00:07.956301,1024.0,0.006,3m,2.0,4.0,1.0,214.0,,,,,,,,108,0.01,3m,1.0,2.0,0.7,464,244.0,0.003,3m,2.5,2.5,1.5,254.0,948.0,0.004,3m,1.5,3.0,0.8,90.0,20.0,0.001,4m,3.0,3.0,0.5,264.0,714.0,0.009000000000000001,1m,3.0,4.0,1.9000000000000001,472.0,564.0,0.002,1m,3.5,2.5,1.0,824.0,1012.0,0.007,2m,1.5,2.0,2.0,398.0,480.0,0.002,2m,1.5,4.0,1.2000000000000002,420.0,0.3,9,COMPLETE
29,29,0.38499068734036956,2025-06-15 00:48:21.667951,2025-06-15 00:48:25.072129,0 days 00:00:03.404178,612.0,0.003,3m,1.5,2.5,1.3,160.0,,,,,,,,54,0.008,3m,1.5,2.0,1.2000000000000002,586,,,,,,,,,,,,,,,,,,,,,,606.0,0.006,1m,4.0,3.5,0.7,654.0,,,,,,,,,,,,,,,146.0,0.002,2m,1.0,2.5,1.7000000000000002,684.0,0.5,4,COMPLETE
