,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AEP_PANW_beta_win,params_AEP_PANW_stop_loss,params_AEP_PANW_trade_freq,params_AEP_PANW_z_entry,params_AEP_PANW_z_exit,params_AEP_PANW_z_stop_scaler,params_AEP_PANW_z_win,params_AMGN_ZS_beta_win,params_AMGN_ZS_stop_loss,params_AMGN_ZS_trade_freq,params_AMGN_ZS_z_entry,params_AMGN_ZS_z_exit,params_AMGN_ZS_z_stop_scaler,params_AMGN_ZS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_TEAM_ZS_beta_win,params_TEAM_ZS_stop_loss,params_TEAM_ZS_trade_freq,params_TEAM_ZS_z_entry,params_TEAM_ZS_z_exit,params_TEAM_ZS_z_stop_scaler,params_TEAM_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
93,93,3.590691392058936,2025-06-15 01:11:07.091147,2025-06-15 01:11:08.914200,0 days 00:00:01.823053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,0.005,3m,4.0,3.0,1.6,332.0,198.0,0.009000000000000001,3m,1.5,3.5,1.1,530.0,62,0.004,4m,1.5,2.0,1.7000000000000002,160,,,,,,,,212.0,0.007,2m,4.0,2.0,0.7,50.0,,,,,,,,0.15000000000000002,4,COMPLETE
94,94,0.5969978745128297,2025-06-15 01:11:09.002714,2025-06-15 01:11:11.074914,0 days 00:00:02.072200,,,,,,,,,,,,,,,954.0,0.005,3m,2.5,3.0,1.7000000000000002,554.0,,,,,,,,952.0,0.004,1m,4.0,3.0,1.0,248.0,298.0,0.01,4m,1.5,2.5,1.3,654.0,882,0.009000000000000001,4m,1.5,2.0,1.8,862,,,,,,,,838.0,0.006,2m,3.5,1.5,0.8,218.0,,,,,,,,0.25,5,COMPLETE
95,95,3.3065385649411203,2025-06-15 01:11:11.139529,2025-06-15 01:11:12.924623,0 days 00:00:01.785094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,0.006,3m,4.0,2.5,1.9000000000000001,532.0,998.0,0.007,4m,2.0,3.0,0.9,308.0,982,0.007,4m,1.0,1.5,2.0,276,,,,,,,,918.0,0.007,2m,2.5,1.0,0.9,110.0,,,,,,,,0.2,4,COMPLETE
96,96,1.9693882861935776,2025-06-15 01:11:12.992080,2025-06-15 01:11:15.165735,0 days 00:00:02.173655,,,,,,,,,,,,,,,638.0,0.003,4m,4.0,4.0,1.2000000000000002,464.0,,,,,,,,868.0,0.005,3m,3.5,3.5,1.8,404.0,464.0,0.01,1m,4.0,3.5,0.8,436.0,648,0.009000000000000001,1m,1.5,3.0,1.9000000000000001,40,,,,,,,,424.0,0.008,1m,4.0,1.5,1.1,154.0,,,,,,,,0.3,5,COMPLETE
97,97,-1.2570157326624771,2025-06-15 01:11:15.244990,2025-06-15 01:11:17.117039,0 days 00:00:01.872049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.0,0.005,3m,4.0,2.0,0.9,198.0,80.0,0.008,3m,1.5,3.0,1.0,342.0,158,0.005,4m,1.5,2.0,1.8,86,,,,,,,,474.0,0.003,4m,3.5,2.0,1.3,256.0,,,,,,,,0.1,4,COMPLETE
98,98,0.5752376492240808,2025-06-15 01:11:17.196203,2025-06-15 01:11:19.224597,0 days 00:00:02.028394,,,,,,,,,,,,,,,826.0,0.009000000000000001,4m,3.0,3.0,0.8,696.0,,,,,,,,754.0,0.006,1m,4.0,2.5,0.6,566.0,712.0,0.009000000000000001,4m,1.0,3.5,1.2000000000000002,524.0,700,0.002,3m,2.0,2.5,2.0,184,,,,,,,,288.0,0.005,3m,1.5,2.0,1.0,72.0,,,,,,,,0.15000000000000002,5,COMPLETE
99,99,4.663279278075831,2025-06-15 01:11:19.297832,2025-06-15 01:11:21.117508,0 days 00:00:01.819676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,0.004,3m,3.5,3.0,2.0,428.0,252.0,0.009000000000000001,1m,1.5,1.5,1.1,410.0,544,0.006,4m,4.0,1.5,1.9000000000000001,130,,,,,,,,654.0,0.006,2m,3.0,1.0,1.0,206.0,,,,,,,,0.25,4,COMPLETE
100,100,3.1364122627471747,2025-06-15 01:11:21.196362,2025-06-15 01:11:24.947550,0 days 00:00:03.751188,424.0,0.001,1m,4.0,1.0,1.2000000000000002,966.0,,,,,,,,26.0,0.007,4m,2.0,2.5,0.6,602.0,984.0,0.003,1m,3.5,1.0,2.0,180.0,930.0,0.009000000000000001,3m,2.0,3.5,0.8,474.0,160.0,0.002,4m,1.0,3.0,0.8,722.0,778,0.01,4m,1.5,1.0,1.7000000000000002,252,272.0,0.009000000000000001,4m,1.0,4.0,1.1,262.0,170.0,0.007,1m,4.0,2.0,1.1,302.0,326.0,0.008,2m,3.0,1.5,1.6,352.0,0.05,9,COMPLETE
101,101,3.951157277334406,2025-06-15 01:11:25.022656,2025-06-15 01:11:26.465334,0 days 00:00:01.442678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.0,0.006,3m,4.0,2.5,0.7,190.0,,,,,,,,704,0.005,4m,2.5,2.0,0.6,290,,,,,,,,234.0,0.004,2m,3.5,2.0,1.2000000000000002,566.0,,,,,,,,0.2,3,COMPLETE
102,102,4.700982622928585,2025-06-15 01:11:26.533891,2025-06-15 01:11:28.266413,0 days 00:00:01.732522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.0,0.005,3m,4.0,2.5,0.7,170.0,284.0,0.01,4m,2.0,3.5,0.9,286.0,830,0.005,4m,2.5,2.0,0.9,298,,,,,,,,334.0,0.004,2m,3.5,2.0,1.2000000000000002,620.0,,,,,,,,0.2,4,COMPLETE
103,103,6.771985417241423,2025-06-15 01:11:28.339538,2025-06-15 01:11:30.154443,0 days 00:00:01.814905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.0,0.006,3m,4.0,2.5,0.5,516.0,372.0,0.01,4m,2.0,3.5,0.9,366.0,712,0.004,4m,2.5,2.0,0.7,344,,,,,,,,190.0,0.004,2m,3.5,2.0,1.4,510.0,,,,,,,,0.15000000000000002,4,COMPLETE
104,104,2.5118734428783274,2025-06-15 01:11:30.208708,2025-06-15 01:11:32.431187,0 days 00:00:02.222479,,,,,,,,,,,,,,,482.0,0.006,1m,3.5,1.0,1.3,322.0,,,,,,,,778.0,0.005,3m,4.0,2.0,0.5,498.0,360.0,0.01,4m,1.5,3.5,1.0,370.0,742,0.004,4m,2.5,2.0,0.8,340,,,,,,,,72.0,0.005,2m,1.0,1.5,1.5,860.0,,,,,,,,0.1,5,COMPLETE
105,105,6.231402217078313,2025-06-15 01:11:32.491035,2025-06-15 01:11:34.290220,0 days 00:00:01.799185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,0.006,3m,4.0,2.5,0.5,528.0,410.0,0.01,4m,2.5,3.5,1.3,596.0,624,0.003,4m,1.5,2.5,1.1,394,,,,,,,,184.0,0.006,2m,3.0,2.5,1.4,498.0,,,,,,,,0.15000000000000002,4,COMPLETE
106,106,-2.452896589838139,2025-06-15 01:11:34.364353,2025-06-15 01:11:36.169740,0 days 00:00:01.805387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,0.007,3m,4.0,2.5,0.5,452.0,514.0,0.01,4m,2.5,3.5,1.5,218.0,610,0.003,2m,3.0,2.5,1.1,432,,,,,,,,178.0,0.01,2m,2.5,2.5,1.4,526.0,,,,,,,,0.15000000000000002,4,COMPLETE
107,107,5.912255939089552,2025-06-15 01:11:36.239355,2025-06-15 01:11:37.238584,0 days 00:00:00.999229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0,0.006,4m,4.0,2.5,0.5,528.0,,,,,,,,722,0.003,4m,2.0,2.5,0.7,390,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
108,108,4.264835965644659,2025-06-15 01:11:37.294604,2025-06-15 01:11:38.657222,0 days 00:00:01.362618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.0,0.006,1m,4.0,2.5,0.6,612.0,,,,,,,,660,0.004,4m,2.5,2.5,1.2000000000000002,472,,,,,,,,154.0,0.002,1m,3.0,2.5,1.6,496.0,,,,,,,,0.1,3,COMPLETE
109,109,-0.6134243211673126,2025-06-15 01:11:38.705935,2025-06-15 01:11:40.534578,0 days 00:00:01.828643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.0,0.006,3m,1.0,2.0,0.5,506.0,430.0,0.004,4m,3.0,3.5,1.3,494.0,580,0.001,1m,1.5,2.5,1.0,36,,,,,,,,738.0,0.006,4m,3.0,3.0,1.4,432.0,,,,,,,,0.15000000000000002,4,COMPLETE
110,110,4.826430359925529,2025-06-15 01:11:40.600704,2025-06-15 01:11:42.457908,0 days 00:00:01.857204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.0,0.01,3m,4.0,2.5,0.6,104.0,320.0,0.01,4m,2.5,3.0,0.9,246.0,686,0.002,4m,1.0,2.5,0.6,362,,,,,,,,20.0,0.003,3m,2.0,3.5,1.3,482.0,,,,,,,,0.3,4,COMPLETE
111,111,6.27694422176499,2025-06-15 01:11:42.515789,2025-06-15 01:11:44.654411,0 days 00:00:02.138622,,,,,,,,,,,,,,,94.0,0.008,4m,3.0,2.0,1.1,726.0,,,,,,,,886.0,0.005,3m,4.0,3.0,0.8,584.0,394.0,0.01,4m,2.5,3.5,1.2000000000000002,612.0,768,0.009000000000000001,4m,1.5,2.0,0.7,402,,,,,,,,234.0,0.006,2m,3.5,2.0,1.3,942.0,,,,,,,,0.2,5,COMPLETE
112,112,4.791600963380746,2025-06-15 01:11:44.725104,2025-06-15 01:11:46.867681,0 days 00:00:02.142577,,,,,,,,,,,,,,,98.0,0.009000000000000001,2m,2.5,2.0,1.1,858.0,,,,,,,,884.0,0.005,3m,4.0,2.5,0.8,548.0,370.0,0.01,4m,2.5,3.5,1.3,582.0,806,0.004,4m,1.5,2.0,0.7,424,,,,,,,,260.0,0.006,2m,3.5,2.0,2.0,942.0,,,,,,,,0.2,5,COMPLETE
113,113,4.875634185785994,2025-06-15 01:11:46.939499,2025-06-15 01:11:48.783090,0 days 00:00:01.843591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.0,0.005,3m,4.0,3.0,0.8,580.0,398.0,0.01,4m,2.5,3.5,1.4,640.0,764,0.009000000000000001,4m,1.5,2.0,1.0,536,,,,,,,,194.0,0.007,2m,3.5,2.5,1.4,762.0,,,,,,,,0.1,4,COMPLETE
114,114,0.3093718283578228,2025-06-15 01:11:48.838933,2025-06-15 01:11:51.387351,0 days 00:00:02.548418,,,,,,,,,,,,,,,192.0,0.008,4m,3.5,2.0,1.5,732.0,,,,,,,,838.0,0.007,3m,4.0,2.5,0.9,520.0,466.0,0.01,4m,3.0,3.5,1.1,682.0,844,0.003,4m,1.5,2.0,0.7,402,560.0,0.003,3m,2.5,2.5,0.8,890.0,130.0,0.005,2m,4.0,1.5,1.3,722.0,,,,,,,,0.15000000000000002,6,COMPLETE
115,115,4.002080826139099,2025-06-15 01:11:51.455710,2025-06-15 01:11:53.631047,0 days 00:00:02.175337,,,,,,,,,,,,,,,70.0,0.008,3m,2.0,1.5,1.9000000000000001,946.0,,,,,,,,912.0,0.005,3m,4.0,3.0,0.9,636.0,352.0,0.009000000000000001,4m,2.0,4.0,1.2000000000000002,556.0,748,0.008,4m,1.5,2.0,0.6,448,,,,,,,,376.0,0.006,2m,3.0,2.0,1.3,462.0,,,,,,,,0.25,5,COMPLETE
116,116,4.891181300933061,2025-06-15 01:11:53.701975,2025-06-15 01:11:55.451915,0 days 00:00:01.749940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.0,0.006,3m,4.0,2.5,1.4,476.0,258.0,0.01,4m,2.5,3.0,1.0,326.0,798,0.007,4m,3.5,2.0,0.5,326,,,,,,,,232.0,0.004,1m,2.5,4.0,1.4,34.0,,,,,,,,0.15000000000000002,4,COMPLETE
117,117,3.8215518518469658,2025-06-15 01:11:55.521274,2025-06-15 01:11:56.922604,0 days 00:00:01.401330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.0,0.004,2m,3.5,3.5,0.5,670.0,,,,,,,,774,0.009000000000000001,2m,1.5,2.0,1.8,370,,,,,,,,276.0,0.007,2m,3.5,2.0,1.4,412.0,,,,,,,,0.35000000000000003,3,COMPLETE
118,118,9.144884064960515,2025-06-15 01:11:56.972819,2025-06-15 01:11:58.837408,0 days 00:00:01.864589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.0,0.008,3m,4.0,2.0,0.6,312.0,448.0,0.01,3m,2.5,3.5,1.1,972.0,638,0.01,3m,2.0,1.5,0.7,72,,,,,,,,214.0,0.006,2m,3.5,3.0,1.5,238.0,,,,,,,,0.2,4,COMPLETE
119,119,1.9185771280271084,2025-06-15 01:11:58.903087,2025-06-15 01:12:01.142930,0 days 00:00:02.239843,,,,,,,,,,,,,,,316.0,0.007,4m,1.5,2.5,1.1,994.0,,,,,,,,718.0,0.008,1m,4.0,2.0,0.7,762.0,558.0,0.009000000000000001,3m,1.5,4.0,1.1,982.0,732,0.01,3m,2.0,1.5,0.8,72,,,,,,,,222.0,0.005,1m,3.5,3.0,1.6,820.0,,,,,,,,0.2,5,COMPLETE
120,120,3.9306169791900643,2025-06-15 01:12:01.205784,2025-06-15 01:12:02.975826,0 days 00:00:01.770042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.008,3m,3.5,1.5,0.6,304.0,334.0,0.01,3m,1.5,2.0,1.0,358.0,680,0.01,3m,2.0,1.5,0.6,108,,,,,,,,346.0,0.006,4m,4.0,3.0,1.5,184.0,,,,,,,,0.2,4,COMPLETE
121,121,5.709919724087775,2025-06-15 01:12:03.037144,2025-06-15 01:12:04.778229,0 days 00:00:01.741085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0,0.009000000000000001,3m,4.0,2.0,0.6,342.0,446.0,0.01,3m,2.5,3.5,1.2000000000000002,778.0,620,0.01,3m,2.0,1.0,0.7,82,,,,,,,,198.0,0.006,2m,3.5,2.5,1.5,230.0,,,,,,,,0.3,4,COMPLETE
122,122,-0.4524267821395275,2025-06-15 01:12:04.865189,2025-06-15 01:12:06.661732,0 days 00:00:01.796543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,0.005,3m,4.0,2.0,0.5,270.0,394.0,0.01,2m,2.5,3.5,1.1,882.0,518,0.009000000000000001,3m,2.5,1.5,0.7,58,,,,,,,,146.0,0.006,2m,3.5,3.5,1.3,510.0,,,,,,,,0.2,4,COMPLETE
123,123,-1.56944291835902,2025-06-15 01:12:06.726957,2025-06-15 01:12:08.150843,0 days 00:00:01.423886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.0,0.007,3m,4.0,2.0,0.8,320.0,,,,,,,,714,0.01,3m,1.5,2.0,0.8,138,,,,,,,,252.0,0.008,2m,3.0,2.0,1.5,136.0,,,,,,,,0.15000000000000002,3,COMPLETE
124,124,0.3203401432170416,2025-06-15 01:12:08.207356,2025-06-15 01:12:09.914836,0 days 00:00:01.707480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0,0.005,3m,4.0,2.5,0.7,420.0,424.0,0.01,3m,2.5,3.5,1.3,1016.0,822,0.004,1m,1.5,1.5,0.9,174,,,,,,,,296.0,0.007,2m,4.0,2.5,1.4,942.0,,,,,,,,0.2,4,COMPLETE
125,125,7.052651773276397,2025-06-15 01:12:09.988961,2025-06-15 01:12:12.137899,0 days 00:00:02.148938,,,,,,,,,,,,,,,232.0,0.009000000000000001,4m,3.0,1.5,1.5,868.0,,,,,,,,936.0,0.005,3m,4.0,2.5,0.6,596.0,480.0,0.009000000000000001,4m,2.0,3.5,1.0,396.0,648,0.009000000000000001,4m,2.0,2.5,1.9000000000000001,16,,,,,,,,112.0,0.005,2m,3.5,1.0,1.2000000000000002,296.0,,,,,,,,0.1,5,COMPLETE
126,126,3.7164067463765624,2025-06-15 01:12:12.207003,2025-06-15 01:12:14.911316,0 days 00:00:02.704313,,,,,,,,,,,,,,,232.0,0.009000000000000001,4m,3.0,1.5,1.6,752.0,,,,,,,,942.0,0.005,3m,4.0,3.0,0.6,594.0,488.0,0.009000000000000001,4m,2.0,3.5,1.0,394.0,642,0.009000000000000001,4m,2.0,2.0,1.9000000000000001,22,178.0,0.008,4m,3.0,2.0,1.8,28.0,112.0,0.005,3m,3.5,1.0,1.2000000000000002,240.0,,,,,,,,0.05,6,COMPLETE
127,127,1.8839983614823717,2025-06-15 01:12:14.972453,2025-06-15 01:12:17.091128,0 days 00:00:02.118675,,,,,,,,,,,,,,,138.0,0.01,4m,3.0,2.0,1.5,836.0,,,,,,,,918.0,0.004,3m,4.0,2.0,0.7,546.0,214.0,0.009000000000000001,2m,2.0,4.0,0.9,972.0,874,0.008,4m,2.0,2.0,1.9000000000000001,106,,,,,,,,216.0,0.009000000000000001,2m,3.5,1.0,1.7000000000000002,260.0,,,,,,,,0.1,5,COMPLETE
128,128,0.5629626684720497,2025-06-15 01:12:17.157621,2025-06-15 01:12:19.453092,0 days 00:00:02.295471,,,,,,,,,,,,,,,416.0,0.008,4m,2.5,1.0,1.7000000000000002,928.0,,,,,,,,982.0,0.008,1m,3.0,3.5,0.8,290.0,528.0,0.009000000000000001,4m,1.5,3.5,1.1,936.0,928,0.009000000000000001,4m,2.5,3.0,2.0,48,,,,,,,,984.0,0.005,1m,3.5,1.0,1.1,282.0,,,,,,,,0.1,5,COMPLETE
129,129,1.3207063184349168,2025-06-15 01:12:19.494548,2025-06-15 01:12:21.611194,0 days 00:00:02.116646,,,,,,,,,,,,,,,242.0,0.009000000000000001,4m,3.0,1.5,1.3,890.0,,,,,,,,270.0,0.005,3m,4.0,2.5,0.7,816.0,376.0,0.01,3m,1.5,3.5,1.0,830.0,742,0.009000000000000001,2m,2.0,1.5,2.0,84,,,,,,,,574.0,0.004,2m,4.0,1.0,1.2000000000000002,170.0,,,,,,,,0.25,5,COMPLETE
130,130,-0.4818140171040226,2025-06-15 01:12:21.677635,2025-06-15 01:12:23.973978,0 days 00:00:02.296343,,,,,,,,,,,,,,,62.0,0.008,4m,3.5,2.0,1.8,618.0,,,,,,,,806.0,0.009000000000000001,4m,4.0,3.0,0.6,390.0,472.0,0.009000000000000001,4m,1.5,4.0,0.8,290.0,790,0.01,4m,2.5,2.5,1.8,18,,,,,,,,314.0,0.005,2m,3.5,1.0,1.1,198.0,,,,,,,,0.1,5,COMPLETE
131,131,3.663199926466316,2025-06-15 01:12:24.034716,2025-06-15 01:12:25.775770,0 days 00:00:01.741054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,0.005,3m,4.0,2.5,0.5,568.0,502.0,0.01,4m,2.5,3.5,1.2000000000000002,440.0,628,0.006,4m,2.0,2.5,1.9000000000000001,346,,,,,,,,178.0,0.006,2m,3.0,2.0,1.3,300.0,,,,,,,,0.15000000000000002,4,COMPLETE
132,132,3.5211429863498043,2025-06-15 01:12:25.841774,2025-06-15 01:12:27.553180,0 days 00:00:01.711406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.0,0.005,3m,4.0,2.5,0.6,522.0,414.0,0.01,4m,3.0,3.5,1.2000000000000002,606.0,588,0.009000000000000001,4m,1.5,2.5,1.9000000000000001,310,,,,,,,,146.0,0.006,2m,4.0,1.5,0.9,104.0,,,,,,,,0.2,4,COMPLETE
133,133,1.6820956659231194,2025-06-15 01:12:27.616112,2025-06-15 01:12:29.504552,0 days 00:00:01.888440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.0,0.006,3m,4.0,2.5,0.5,488.0,442.0,0.01,4m,2.0,3.5,1.1,470.0,664,0.009000000000000001,4m,1.5,2.5,2.0,384,,,,,,,,268.0,0.006,2m,3.5,3.0,1.2000000000000002,214.0,,,,,,,,0.1,4,COMPLETE
134,134,2.6197773941308924,2025-06-15 01:12:29.580094,2025-06-15 01:12:30.928600,0 days 00:00:01.348506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.0,0.006,3m,4.0,2.5,0.8,248.0,,,,,,,,692,0.01,4m,2.0,2.0,1.8,218,,,,,,,,200.0,0.007,2m,4.0,2.0,0.8,372.0,,,,,,,,0.3,3,COMPLETE
135,135,4.342177556586997,2025-06-15 01:12:30.981362,2025-06-15 01:12:33.274939,0 days 00:00:02.293577,,,,,,,,,,,,,,,324.0,0.006,4m,2.5,1.5,1.5,660.0,,,,,,,,828.0,0.005,3m,4.0,2.0,0.9,608.0,314.0,0.01,4m,2.5,3.5,1.3,386.0,722,0.008,4m,1.5,2.5,1.3,64,,,,,,,,166.0,0.006,1m,2.5,3.5,1.3,158.0,,,,,,,,0.15000000000000002,5,COMPLETE
136,136,0.32974461458196885,2025-06-15 01:12:33.338469,2025-06-15 01:12:34.930158,0 days 00:00:01.591689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.0,0.007,3m,4.0,2.5,1.3,540.0,390.0,0.009000000000000001,2m,3.0,3.0,0.9,324.0,556,0.01,1m,2.0,2.0,1.9000000000000001,144,,,,,,,,92.0,0.005,2m,2.0,2.0,1.0,68.0,,,,,,,,0.2,4,COMPLETE
137,137,7.406158928450591,2025-06-15 01:12:34.994302,2025-06-15 01:12:36.888617,0 days 00:00:01.894315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0,0.005,3m,4.0,1.5,0.7,502.0,360.0,0.01,4m,2.0,4.0,1.4,538.0,776,0.003,4m,1.5,2.5,0.7,256,,,,,,,,244.0,0.006,4m,3.5,2.5,1.1,658.0,,,,,,,,0.05,4,COMPLETE
138,138,5.43169148088028,2025-06-15 01:12:36.959506,2025-06-15 01:12:38.975038,0 days 00:00:02.015532,,,,,,,,,,,,,,,146.0,0.01,1m,3.0,1.0,1.4,712.0,,,,,,,,922.0,0.005,1m,4.0,1.5,0.7,454.0,296.0,0.008,4m,2.0,4.0,0.5,504.0,772,0.004,4m,1.5,3.0,0.7,238,,,,,,,,234.0,0.004,4m,3.5,1.5,1.1,656.0,,,,,,,,0.05,5,COMPLETE
139,139,0.764599775358867,2025-06-15 01:12:39.055009,2025-06-15 01:12:40.874213,0 days 00:00:01.819204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,0.004,3m,4.0,1.0,0.8,494.0,272.0,0.01,3m,2.0,4.0,1.4,424.0,804,0.009000000000000001,3m,1.0,2.0,0.7,260,,,,,,,,282.0,0.007,4m,3.5,2.0,1.2000000000000002,130.0,,,,,,,,0.05,4,COMPLETE
140,140,1.4746627054197796,2025-06-15 01:12:40.925163,2025-06-15 01:12:43.266459,0 days 00:00:02.341296,,,,,,,,,,,,,,,218.0,0.009000000000000001,4m,2.5,2.0,0.9,772.0,,,,,,,,858.0,0.005,2m,2.5,1.5,0.7,510.0,342.0,0.009000000000000001,2m,1.5,4.0,1.0,536.0,842,0.005,4m,1.5,1.5,0.8,208,,,,,,,,770.0,0.007,4m,3.5,1.5,1.1,796.0,,,,,,,,0.05,5,COMPLETE
141,141,6.761996707617373,2025-06-15 01:12:43.341399,2025-06-15 01:12:46.692254,0 days 00:00:03.350855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.005,3m,4.0,3.5,0.6,470.0,364.0,0.01,4m,2.5,3.5,1.4,568.0,752,0.003,4m,1.5,2.5,1.9000000000000001,270,,,,,,,,188.0,0.006,4m,1.5,2.5,1.4,712.0,,,,,,,,0.15000000000000002,4,COMPLETE
142,142,7.073825603169352,2025-06-15 01:12:46.792756,2025-06-15 01:12:49.962084,0 days 00:00:03.169328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.005,3m,4.0,3.5,0.6,474.0,356.0,0.01,4m,2.0,3.5,1.5,562.0,758,0.002,4m,1.5,2.5,0.6,276,,,,,,,,248.0,0.006,4m,1.5,2.5,0.9,718.0,,,,,,,,0.5,4,COMPLETE
143,143,5.394900373882614,2025-06-15 01:12:50.833363,2025-06-15 01:12:53.084677,0 days 00:00:02.251314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,0.005,3m,4.0,3.5,0.6,470.0,360.0,0.01,4m,2.0,4.0,1.5,574.0,752,0.002,4m,1.5,2.5,0.6,278,,,,,,,,216.0,0.006,4m,1.5,2.5,0.9,696.0,,,,,,,,0.5,4,COMPLETE
144,144,7.319603978875261,2025-06-15 01:12:53.162130,2025-06-15 01:12:54.403300,0 days 00:00:01.241170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,0.005,3m,2.0,3.5,0.6,420.0,,,,,,,,774,0.001,4m,1.5,2.5,0.6,312,,,,,,,,250.0,0.006,4m,1.5,2.5,1.0,666.0,,,,,,,,0.45,3,COMPLETE
145,145,4.949320905359173,2025-06-15 01:12:54.467363,2025-06-15 01:12:55.889565,0 days 00:00:01.422202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,0.005,3m,2.5,3.5,0.6,432.0,,,,,,,,734,0.001,4m,1.5,2.5,0.6,314,,,,,,,,248.0,0.006,4m,1.5,2.5,1.0,724.0,,,,,,,,0.5,3,COMPLETE
146,146,1.3038160993043375,2025-06-15 01:12:55.952683,2025-06-15 01:12:57.298095,0 days 00:00:01.345412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,0.004,3m,4.0,3.5,0.6,358.0,,,,,,,,698,0.002,4m,2.0,2.5,0.5,262,,,,,,,,118.0,0.005,4m,1.5,2.5,0.8,670.0,,,,,,,,0.45,3,COMPLETE
147,147,1.2042853310064332,2025-06-15 01:12:57.347362,2025-06-15 01:12:58.754061,0 days 00:00:01.406699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,0.005,3m,1.5,4.0,0.6,412.0,,,,,,,,714,0.001,2m,3.0,2.5,0.5,656,,,,,,,,260.0,0.006,4m,1.5,2.5,0.9,734.0,,,,,,,,0.5,3,COMPLETE
