,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AEP_PANW_beta_win,params_AEP_PANW_stop_loss,params_AEP_PANW_trade_freq,params_AEP_PANW_z_entry,params_AEP_PANW_z_exit,params_AEP_PANW_z_stop_scaler,params_AEP_PANW_z_win,params_AMGN_ZS_beta_win,params_AMGN_ZS_stop_loss,params_AMGN_ZS_trade_freq,params_AMGN_ZS_z_entry,params_AMGN_ZS_z_exit,params_AMGN_ZS_z_stop_scaler,params_AMGN_ZS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_TEAM_ZS_beta_win,params_TEAM_ZS_stop_loss,params_TEAM_ZS_trade_freq,params_TEAM_ZS_z_entry,params_TEAM_ZS_z_exit,params_TEAM_ZS_z_stop_scaler,params_TEAM_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
27,27,1.8915687813907067,2025-06-15 01:08:58.351134,2025-06-15 01:09:01.352348,0 days 00:00:03.001214,,,,,,,,,,,,,,,544.0,0.004,3m,1.5,3.0,0.5,878.0,452.0,0.001,3m,2.0,3.0,1.3,764.0,426.0,0.004,1m,3.0,3.0,1.9000000000000001,928.0,540.0,0.004,4m,1.5,2.5,1.5,36.0,200,0.007,1m,3.5,2.5,1.4,484,240.0,0.004,2m,2.0,3.0,1.1,874.0,886.0,0.005,2m,2.0,3.5,0.8,284.0,,,,,,,,0.15000000000000002,7,COMPLETE
28,28,3.163457225809875,2025-06-15 01:09:01.406220,2025-06-15 01:09:02.205239,0 days 00:00:00.799019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,0.004,4m,1.0,4.0,1.9000000000000001,816.0,,,,,,,,898,0.005,2m,1.0,4.0,1.0,610,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
29,29,4.560000541460534,2025-06-15 01:09:02.262728,2025-06-15 01:09:05.849795,0 days 00:00:03.587067,30.0,0.009000000000000001,1m,1.0,4.0,0.5,42.0,,,,,,,,508.0,0.001,2m,2.0,1.5,1.4,490.0,302.0,0.006,3m,3.0,2.0,1.0,382.0,264.0,0.006,3m,1.5,3.5,1.7000000000000002,146.0,758.0,0.009000000000000001,1m,3.5,3.0,1.7000000000000002,332.0,376,0.009000000000000001,3m,2.5,1.5,1.2000000000000002,314,496.0,0.006,1m,3.0,3.5,1.4,526.0,262.0,0.003,3m,3.5,2.5,1.0,554.0,50.0,0.003,3m,1.0,3.0,0.9,720.0,0.3,9,COMPLETE
30,30,4.664665878043357,2025-06-15 01:09:05.910767,2025-06-15 01:09:06.825416,0 days 00:00:00.914649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,0.002,2m,3.5,1.0,1.4,344.0,,,,,,,,120,0.008,3m,3.0,1.0,1.4,516,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
31,31,-0.6413079459769078,2025-06-15 01:09:06.888483,2025-06-15 01:09:07.833331,0 days 00:00:00.944848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.0,0.002,2m,3.5,1.0,1.4,316.0,,,,,,,,134,0.008,3m,3.0,1.0,1.4,500,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
32,32,4.220631072825287,2025-06-15 01:09:07.895338,2025-06-15 01:09:09.223794,0 days 00:00:01.328456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,0.002,2m,3.0,1.5,1.3,330.0,,,,,,,,306,0.008,3m,3.5,1.0,1.3,518,,,,,,,,100.0,0.001,4m,4.0,2.5,1.2000000000000002,424.0,,,,,,,,0.5,3,COMPLETE
33,33,0.8382420385794186,2025-06-15 01:09:09.278094,2025-06-15 01:09:10.866876,0 days 00:00:01.588782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.001,2m,3.5,1.0,1.5,158.0,126.0,0.006,4m,2.5,2.0,0.6,518.0,248,0.009000000000000001,3m,3.0,1.5,1.3,436,,,,,,,,468.0,0.003,1m,3.0,3.0,0.7,540.0,,,,,,,,0.25,4,COMPLETE
34,34,5.321366841379166,2025-06-15 01:09:10.933604,2025-06-15 01:09:13.017781,0 days 00:00:02.084177,,,,,,,,,,,,,,,578.0,0.005,4m,3.0,4.0,1.0,354.0,,,,,,,,766.0,0.004,3m,4.0,3.0,1.8,346.0,436.0,0.007,1m,1.0,3.5,1.2000000000000002,602.0,114,0.009000000000000001,4m,2.5,1.0,1.8,362,,,,,,,,248.0,0.006,2m,3.5,2.0,1.0,170.0,,,,,,,,0.2,5,COMPLETE
35,35,6.035778681134362,2025-06-15 01:09:13.081174,2025-06-15 01:09:15.216770,0 days 00:00:02.135596,,,,,,,,,,,,,,,562.0,0.005,4m,3.0,4.0,1.0,340.0,,,,,,,,892.0,0.005,3m,4.0,3.0,1.8,560.0,414.0,0.007,1m,1.0,3.5,1.2000000000000002,606.0,36,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,350,,,,,,,,238.0,0.006,2m,3.5,2.0,1.0,156.0,,,,,,,,0.2,5,COMPLETE
36,36,8.767585150271879,2025-06-15 01:09:15.286330,2025-06-15 01:09:17.243637,0 days 00:00:01.957307,,,,,,,,,,,,,,,422.0,0.005,4m,3.0,4.0,0.9,368.0,,,,,,,,912.0,0.005,3m,4.0,3.0,0.5,522.0,464.0,0.008,1m,1.0,3.5,1.0,596.0,1024,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,360,,,,,,,,242.0,0.006,2m,3.5,2.0,1.0,58.0,,,,,,,,0.2,5,COMPLETE
