,number,value,datetime_start,datetime_complete,duration,params_ABNB_KDP_beta_win,params_ABNB_KDP_stop_loss,params_ABNB_KDP_trade_freq,params_ABNB_KDP_z_entry,params_ABNB_KDP_z_exit,params_ABNB_KDP_z_stop_scaler,params_ABNB_KDP_z_win,params_ADSK_KLAC_beta_win,params_ADSK_KLAC_stop_loss,params_ADSK_KLAC_trade_freq,params_ADSK_KLAC_z_entry,params_ADSK_KLAC_z_exit,params_ADSK_KLAC_z_stop_scaler,params_ADSK_KLAC_z_win,params_CTAS_PAYX_beta_win,params_CTAS_PAYX_stop_loss,params_CTAS_PAYX_trade_freq,params_CTAS_PAYX_z_entry,params_CTAS_PAYX_z_exit,params_CTAS_PAYX_z_stop_scaler,params_CTAS_PAYX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_KDP_beta_win,params_ILMN_KDP_stop_loss,params_ILMN_KDP_trade_freq,params_ILMN_KDP_z_entry,params_ILMN_KDP_z_exit,params_ILMN_KDP_z_stop_scaler,params_ILMN_KDP_z_win,params_NTES_EA_beta_win,params_NTES_EA_stop_loss,params_NTES_EA_trade_freq,params_NTES_EA_z_entry,params_NTES_EA_z_exit,params_NTES_EA_z_stop_scaler,params_NTES_EA_z_win,params_TSLA_DXCM_beta_win,params_TSLA_DXCM_stop_loss,params_TSLA_DXCM_trade_freq,params_TSLA_DXCM_z_entry,params_TSLA_DXCM_z_exit,params_TSLA_DXCM_z_stop_scaler,params_TSLA_DXCM_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_WDAY_KDP_beta_win,params_WDAY_KDP_stop_loss,params_WDAY_KDP_trade_freq,params_WDAY_KDP_z_entry,params_WDAY_KDP_z_exit,params_WDAY_KDP_z_stop_scaler,params_WDAY_KDP_z_win,params_ZM_BIIB_beta_win,params_ZM_BIIB_stop_loss,params_ZM_BIIB_trade_freq,params_ZM_BIIB_z_entry,params_ZM_BIIB_z_exit,params_ZM_BIIB_z_stop_scaler,params_ZM_BIIB_z_win,params_buffer_capital,params_pairs_to_trade,state
91,91,5.268530769361891,2025-06-15 00:56:47.511108,2025-06-15 00:56:49.117489,0 days 00:00:01.606381,,,,,,,,,,,,,,,,,,,,,,356,0.001,2m,3.0,3.0,1.9000000000000001,196,,,,,,,,,,,,,,,216.0,0.01,2m,1.5,1.0,1.9000000000000001,62.0,194.0,0.004,2m,2.5,4.0,0.6,592.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
92,92,0.6366225338905159,2025-06-15 00:56:49.195495,2025-06-15 00:56:50.804485,0 days 00:00:01.608990,,,,,,,,,,,,,,,,,,,,,,416,0.002,2m,3.0,3.0,1.9000000000000001,78,,,,,,,,,,,,,,,260.0,0.01,2m,1.5,1.0,1.9000000000000001,68.0,178.0,0.005,2m,2.5,4.0,0.6,580.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
93,93,-6.997264642237345,2025-06-15 00:56:50.881486,2025-06-15 00:56:53.116469,0 days 00:00:02.234983,,,,,,,,,,,,,,,,,,,,,,248,0.001,2m,4.0,3.0,1.9000000000000001,262,,,,,,,,,,,,,,,118.0,0.009000000000000001,2m,1.5,1.0,2.0,550.0,284.0,0.004,2m,2.5,4.0,0.7,646.0,,,,,,,,252.0,0.006,3m,3.0,1.5,1.3,668.0,0.25,4,COMPLETE
94,94,4.590752275912978,2025-06-15 00:56:53.195474,2025-06-15 00:56:55.459731,0 days 00:00:02.264257,,,,,,,,,,,,,,,,,,,,,,384,0.001,2m,3.0,3.0,2.0,544,,,,,,,,,,,,,,,398.0,0.005,2m,1.5,1.0,0.9,86.0,598.0,0.004,2m,3.0,3.5,0.8,688.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
95,95,-0.9046428826065332,2025-06-15 00:56:55.553246,2025-06-15 00:56:57.539640,0 days 00:00:01.986394,,,,,,,,,,,,,,,,,,,,,,386,0.001,2m,3.0,3.0,2.0,556,,,,,,,,,,,,,,,72.0,0.005,2m,1.5,1.5,0.8,82.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
96,96,1.9753790013587544,2025-06-15 00:56:57.642154,2025-06-15 00:57:00.451747,0 days 00:00:02.809593,,,,,,,,,,,,,,,,,,,,,,462,0.001,2m,3.5,2.5,2.0,48,,,,,,,,,,,,,,,188.0,0.01,2m,1.5,1.0,0.9,44.0,624.0,0.004,1m,3.0,3.5,0.8,600.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
97,97,3.1013147861367734,2025-06-15 00:57:00.553265,2025-06-15 00:57:03.076732,0 days 00:00:02.523467,,,,,,,,,,,,,,,,,,,,,,326,0.001,2m,3.0,3.0,2.0,132,,,,,,,,,,,,,,,398.0,0.005,2m,1.5,3.0,1.0,170.0,732.0,0.003,2m,3.0,3.5,0.5,696.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
98,98,7.061926316187205,2025-06-15 00:57:03.166243,2025-06-15 00:57:05.320752,0 days 00:00:02.154509,,,,,,,,,,,,,,,,,,,,,,360,0.001,3m,3.0,2.5,1.9000000000000001,216,,,,,,,,,,,,,,,446.0,0.004,1m,1.5,1.0,1.2000000000000002,104.0,808.0,0.005,2m,3.0,4.0,0.6,538.0,,,,,,,,194.0,0.007,3m,3.5,2.5,0.6,570.0,0.3,4,COMPLETE
99,99,-10.523851864685742,2025-06-15 00:57:05.379751,2025-06-15 00:57:07.306615,0 days 00:00:01.926864,,,,,,,,,,,,,,,,,,,,,,290,0.001,3m,3.0,2.5,1.9000000000000001,290,,,,,,,,,,,,,,,292.0,0.004,1m,1.5,1.0,1.2000000000000002,718.0,816.0,0.005,2m,3.0,4.0,0.6,544.0,,,,,,,,194.0,0.007,3m,3.5,2.5,0.5,552.0,0.25,4,COMPLETE
100,100,-1.2494706664328066,2025-06-15 00:57:07.365124,2025-06-15 00:57:10.406577,0 days 00:00:03.041453,,,,,,,,908.0,0.005,4m,2.0,2.5,0.7,236.0,66.0,0.007,1m,1.5,1.5,0.9,154.0,488,0.001,3m,3.0,3.0,1.8,222,,,,,,,,,,,,,,,438.0,0.004,1m,1.5,1.5,1.1,112.0,690.0,0.004,2m,3.0,4.0,0.5,480.0,,,,,,,,68.0,0.008,3m,4.0,2.0,0.6,740.0,0.3,6,COMPLETE
101,101,1.173140640548781,2025-06-15 00:57:10.491092,2025-06-15 00:57:11.941545,0 days 00:00:01.450453,,,,,,,,,,,,,,,,,,,,,,376,0.001,3m,3.5,2.5,1.9000000000000001,534,,,,,,,,,,,,,,,494.0,0.004,1m,1.0,1.0,0.7,60.0,786.0,0.005,2m,3.0,4.0,0.6,620.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
102,102,1.4278933641066098,2025-06-15 00:57:12.006548,2025-06-15 00:57:14.033267,0 days 00:00:02.026719,,,,,,,,,,,,,,,,,,,,,,342,0.001,3m,3.0,2.5,2.0,180,,,,,,,,,,,,,,,476.0,0.003,1m,1.5,1.0,0.9,94.0,610.0,0.005,2m,3.0,4.0,0.8,574.0,,,,,,,,486.0,0.006,3m,3.5,2.5,0.7,588.0,0.3,4,COMPLETE
103,103,1.6452952606060185,2025-06-15 00:57:14.116783,2025-06-15 00:57:15.264975,0 days 00:00:01.148192,,,,,,,,,,,,,,,,,,,,,,442,0.002,2m,3.5,3.0,1.9000000000000001,248,,,,,,,,,,,,,,,534.0,0.005,2m,2.0,1.0,2.0,34.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
104,104,4.348094310217701,2025-06-15 00:57:15.339491,2025-06-15 00:57:16.804294,0 days 00:00:01.464803,,,,,,,,,,,,,,,,,,,,,,366,0.001,2m,3.0,2.5,1.9000000000000001,202,,,,,,,,,,,,,,,390.0,0.01,2m,1.5,1.0,1.2000000000000002,144.0,894.0,0.004,2m,3.5,4.0,0.7,516.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
105,105,2.3899842208516926,2025-06-15 00:57:16.858803,2025-06-15 00:57:18.780593,0 days 00:00:01.921790,,,,,,,,,,,,,,,,,,,,,,414,0.001,2m,3.0,3.0,1.8,204,,,,,,,,,,,,,,,334.0,0.01,1m,1.5,1.0,1.2000000000000002,132.0,868.0,0.004,2m,3.5,4.0,0.7,524.0,,,,,,,,360.0,0.009000000000000001,3m,4.0,2.0,0.9,468.0,0.35000000000000003,4,COMPLETE
106,106,-4.984315922941947,2025-06-15 00:57:18.866126,2025-06-15 00:57:21.463785,0 days 00:00:02.597659,,,,,,,,374.0,0.006,3m,3.0,2.0,0.7,544.0,,,,,,,,366,0.001,2m,3.0,2.5,1.9000000000000001,228,,,,,,,,,,,,,,,242.0,0.01,2m,1.5,2.5,1.3,82.0,922.0,0.004,2m,3.5,4.0,0.6,658.0,,,,,,,,182.0,0.007,3m,3.5,2.5,0.6,888.0,0.35000000000000003,5,COMPLETE
107,107,2.580465226716209,2025-06-15 00:57:21.535293,2025-06-15 00:57:23.089566,0 days 00:00:01.554273,,,,,,,,,,,,,,,,,,,,,,396,0.001,2m,3.0,3.0,1.8,158,,,,,,,,,,,,,,,388.0,0.002,3m,1.5,1.0,1.1,54.0,726.0,0.003,2m,3.5,4.0,0.7,420.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
108,108,-1.1659540034862887,2025-06-15 00:57:23.167078,2025-06-15 00:57:24.800038,0 days 00:00:01.632960,,,,,,,,,,,,,,,,,,,,,,434,0.001,2m,3.0,3.0,1.9000000000000001,578,,,,,,,,,,,,,,,168.0,0.004,2m,1.5,1.0,1.4,154.0,830.0,0.004,2m,2.5,4.0,0.8,500.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
109,109,-4.967004450934372,2025-06-15 00:57:24.867548,2025-06-15 00:57:26.442366,0 days 00:00:01.574818,,,,,,,,,,,,,,,,,,,,,,472,0.001,2m,2.5,2.5,1.9000000000000001,504,,,,,,,,,,,,,,,352.0,0.003,4m,2.0,1.0,1.0,110.0,772.0,0.003,2m,3.0,4.0,0.9,354.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
110,110,3.1647518720445693,2025-06-15 00:57:26.520884,2025-06-15 00:57:28.621393,0 days 00:00:02.100509,,,,,,,,,,,,,,,,,,,,,,528,0.002,3m,3.0,3.5,1.8,102,,,,,,,,,,,,,,,414.0,0.005,2m,1.5,1.0,0.5,232.0,526.0,0.005,2m,2.5,3.5,0.7,606.0,,,,,,,,454.0,0.005,3m,4.0,3.0,1.0,626.0,0.3,4,COMPLETE
111,111,4.606229437233106,2025-06-15 00:57:28.695391,2025-06-15 00:57:29.825090,0 days 00:00:01.129699,,,,,,,,,,,,,,,,,,,,,,312,0.002,2m,2.5,2.5,2.0,182,,,,,,,,,,,,,,,432.0,0.01,2m,1.5,1.0,1.2000000000000002,190.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
112,112,5.011032712707228,2025-06-15 00:57:29.920600,2025-06-15 00:57:31.048301,0 days 00:00:01.127701,,,,,,,,,,,,,,,,,,,,,,310,0.002,2m,2.5,2.5,2.0,182,,,,,,,,,,,,,,,448.0,0.01,2m,1.5,1.0,1.3,188.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
113,113,1.6757839284328075,2025-06-15 00:57:31.117820,2025-06-15 00:57:32.195024,0 days 00:00:01.077204,,,,,,,,,,,,,,,,,,,,,,314,0.003,2m,2.5,2.5,2.0,188,,,,,,,,,,,,,,,516.0,0.009000000000000001,2m,1.5,1.0,0.7,16.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
114,114,6.441363046056159,2025-06-15 00:57:32.266041,2025-06-15 00:57:33.389469,0 days 00:00:01.123428,,,,,,,,,,,,,,,,,,,,,,250,0.002,2m,2.5,2.5,2.0,146,,,,,,,,,,,,,,,448.0,0.01,2m,1.5,1.0,1.3,64.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
115,115,1.0530152012198082,2025-06-15 00:57:33.446983,2025-06-15 00:57:34.489915,0 days 00:00:01.042932,,,,,,,,,,,,,,,,,,,,,,226,0.002,2m,2.5,2.5,2.0,122,,,,,,,,,,,,,,,462.0,0.01,2m,1.5,1.0,1.3,192.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
116,116,-0.4556057891480733,2025-06-15 00:57:34.562436,2025-06-15 00:57:35.213915,0 days 00:00:00.651479,,,,,,,,,,,,,,,,,,,,,,188,0.002,2m,2.5,2.5,2.0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
117,117,3.534080796663374,2025-06-15 00:57:35.296944,2025-06-15 00:57:36.423214,0 days 00:00:01.126270,,,,,,,,,,,,,,,,,,,,,,254,0.002,1m,2.5,2.5,2.0,152,,,,,,,,,,,,,,,428.0,0.009000000000000001,1m,1.5,1.5,1.2000000000000002,80.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
118,118,4.349843561722779,2025-06-15 00:57:36.487212,2025-06-15 00:57:37.512417,0 days 00:00:01.025205,,,,,,,,,,,,,,,,,,,,,,284,0.003,2m,2.5,2.0,2.0,258,,,,,,,,,,,,,,,436.0,0.01,2m,1.5,1.0,1.4,118.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
119,119,-0.9335227747343134,2025-06-15 00:57:37.570925,2025-06-15 00:57:38.694262,0 days 00:00:01.123337,,,,,,,,,,,,,,,,,,,,,,274,0.002,2m,2.5,2.5,2.0,222,,,,,,,,,,,,,,,448.0,0.01,3m,1.5,1.0,1.5,98.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
120,120,4.886885122662327,2025-06-15 00:57:38.756297,2025-06-15 00:57:39.789482,0 days 00:00:01.033185,,,,,,,,,,,,,,,,,,,,,,216,0.002,2m,2.5,2.5,1.9000000000000001,284,,,,,,,,,,,,,,,366.0,0.01,2m,1.5,2.0,1.3,298.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
121,121,3.372419629528347,2025-06-15 00:57:39.883997,2025-06-15 00:57:41.104309,0 days 00:00:01.220312,,,,,,,,,,,,,,,,,,,,,,140,0.002,2m,2.5,2.5,1.9000000000000001,292,,,,,,,,,,,,,,,378.0,0.01,2m,1.5,2.0,1.3,214.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
122,122,-0.6584453153498859,2025-06-15 00:57:41.171372,2025-06-15 00:57:41.763229,0 days 00:00:00.591857,,,,,,,,,,,,,,,,,,,,,,210,0.003,2m,2.5,2.5,2.0,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
123,123,5.15475448142624,2025-06-15 00:57:41.833751,2025-06-15 00:57:42.924034,0 days 00:00:01.090283,,,,,,,,,,,,,,,,,,,,,,304,0.002,2m,2.5,2.5,1.9000000000000001,232,,,,,,,,,,,,,,,364.0,0.01,2m,1.5,2.0,1.4,310.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
124,124,1.2760252808916264,2025-06-15 00:57:42.997032,2025-06-15 00:57:43.682134,0 days 00:00:00.685102,,,,,,,,,,,,,,,,,,,,,,338,0.002,2m,2.5,2.0,1.9000000000000001,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
125,125,4.88286104129999,2025-06-15 00:57:43.748154,2025-06-15 00:57:44.769610,0 days 00:00:01.021456,,,,,,,,,,,,,,,,,,,,,,154,0.002,2m,2.5,2.5,1.4,212,,,,,,,,,,,,,,,364.0,0.01,2m,1.5,2.0,1.3,316.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
126,126,2.8309584318761094,2025-06-15 00:57:44.837118,2025-06-15 00:57:46.067359,0 days 00:00:01.230241,,,,,,,,,,,,,,,,,,,,,,76,0.003,2m,2.5,2.5,1.4,274,,,,,,,,,,,,,,,308.0,0.009000000000000001,2m,1.5,2.0,1.3,296.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
127,127,1.7372422054644217,2025-06-15 00:57:46.118359,2025-06-15 00:57:47.187027,0 days 00:00:01.068668,,,,,,,,,,,,,,,,,,,,,,176,0.002,2m,2.0,2.5,1.3,322,,,,,,,,,,,,,,,342.0,0.01,2m,1.5,2.0,1.4,360.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
128,128,0.3564332629636836,2025-06-15 00:57:47.251046,2025-06-15 00:57:47.839652,0 days 00:00:00.588606,,,,,,,,,,,,,,,,,,,,,,152,0.003,2m,2.5,2.0,1.7000000000000002,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
129,129,-3.182279031185431,2025-06-15 00:57:47.903652,2025-06-15 00:57:49.106862,0 days 00:00:01.203210,,,,,,,,,,,,,,,,,,,,,,118,0.002,3m,2.5,2.5,1.8,214,,,,,,,,,,,,,,,360.0,0.01,1m,1.5,2.0,1.5,292.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
130,130,-5.932128989779281,2025-06-15 00:57:49.179376,2025-06-15 00:57:50.211542,0 days 00:00:01.032166,,,,,,,,,,,,,,,,,,,,,,242,0.007,2m,2.5,2.5,1.8,250,,,,,,,,,,,,,,,286.0,0.01,2m,1.5,2.5,1.4,338.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
131,131,4.575203850474521,2025-06-15 00:57:50.279471,2025-06-15 00:57:51.409128,0 days 00:00:01.129657,,,,,,,,,,,,,,,,,,,,,,220,0.002,2m,2.5,2.5,1.5,172,,,,,,,,,,,,,,,374.0,0.01,2m,1.5,2.0,1.2000000000000002,390.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
132,132,-2.1409046325654324,2025-06-15 00:57:51.485640,2025-06-15 00:57:55.247935,0 days 00:00:03.762295,,,,,,,,602.0,0.004,4m,2.5,1.5,1.3,1024.0,588.0,0.004,2m,2.5,3.0,1.1,404.0,302,0.002,2m,2.5,2.5,1.4,194,,,,,,,,,,,,,,,412.0,0.01,2m,1.5,2.0,1.3,438.0,54.0,0.006,1m,2.0,3.0,0.5,434.0,700.0,0.005,3m,3.0,3.0,1.3,468.0,280.0,0.009000000000000001,3m,3.5,2.0,0.7,718.0,0.3,7,COMPLETE
133,133,3.4786150614409377,2025-06-15 00:57:55.324444,2025-06-15 00:57:56.405611,0 days 00:00:01.081167,,,,,,,,,,,,,,,,,,,,,,268,0.002,2m,2.5,2.5,1.1,144,,,,,,,,,,,,,,,456.0,0.01,2m,1.5,2.5,1.3,258.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
134,134,4.0501418290280835,2025-06-15 00:57:56.467122,2025-06-15 00:57:57.592817,0 days 00:00:01.125695,,,,,,,,,,,,,,,,,,,,,,198,0.002,2m,2.5,2.5,1.9000000000000001,234,,,,,,,,,,,,,,,422.0,0.009000000000000001,2m,1.5,1.5,1.2000000000000002,322.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
135,135,2.0098872683607127,2025-06-15 00:57:57.653333,2025-06-15 00:57:58.899042,0 days 00:00:01.245709,,,,,,,,,,,,,,,,,,,,,,306,0.002,2m,2.5,3.5,1.9000000000000001,108,,,,,,,,,,,,,,,480.0,0.01,2m,1.5,2.5,1.1,302.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
136,136,3.3129122433357194,2025-06-15 00:57:58.985558,2025-06-15 00:58:03.505907,0 days 00:00:04.520349,618.0,0.009000000000000001,4m,1.0,2.0,2.0,1010.0,496.0,0.003,2m,2.0,2.5,1.1,886.0,178.0,0.003,3m,2.5,1.0,1.4,304.0,326,0.003,2m,2.5,2.5,1.9000000000000001,280,668.0,0.003,4m,3.0,3.0,0.9,770.0,,,,,,,,326.0,0.01,2m,1.5,2.0,1.2000000000000002,244.0,236.0,0.002,3m,3.5,1.5,1.0,724.0,826.0,0.005,2m,2.5,3.5,0.5,258.0,586.0,0.006,3m,3.0,3.0,1.8,824.0,0.35000000000000003,9,COMPLETE
137,137,-2.2933157666537287,2025-06-15 00:58:03.590415,2025-06-15 00:58:07.518676,0 days 00:00:03.928261,166.0,0.004,3m,2.5,3.0,1.2000000000000002,130.0,96.0,0.001,3m,1.0,1.0,1.9000000000000001,274.0,898.0,0.004,2m,2.0,1.5,1.8,816.0,348,0.004,2m,2.5,2.5,1.5,214,,,,,,,,,,,,,,,216.0,0.009000000000000001,3m,1.5,1.5,1.4,58.0,318.0,0.006,1m,2.0,2.5,1.4,770.0,436.0,0.007,1m,1.5,2.0,1.0,562.0,132.0,0.007,2m,4.0,1.5,1.2000000000000002,970.0,0.3,8,COMPLETE
138,138,-0.03853251695656768,2025-06-15 00:58:07.582186,2025-06-15 00:58:08.206785,0 days 00:00:00.624599,,,,,,,,,,,,,,,,,,,,,,82,0.01,1m,2.0,2.5,1.2000000000000002,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
139,139,-2.7930827641399056,2025-06-15 00:58:08.269803,2025-06-15 00:58:10.010149,0 days 00:00:01.740346,,,,,,,,,,,,,,,,,,,,,,158,0.001,2m,2.5,2.5,2.0,124,,,,,,,,,,,,,,,556.0,0.01,1m,3.5,1.0,1.3,36.0,482.0,0.003,4m,3.0,3.5,0.5,676.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
140,140,-1.5734619346221497,2025-06-15 00:58:10.086672,2025-06-15 00:58:11.203374,0 days 00:00:01.116702,,,,,,,,,,,,,,,,,,,,,,108,0.002,2m,2.5,3.5,1.6,308,,,,,,,,,,,,,,,248.0,0.01,2m,1.0,1.0,1.1,366.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
141,141,2.7792316990382107,2025-06-15 00:58:11.265394,2025-06-15 00:58:12.640623,0 days 00:00:01.375229,,,,,,,,,,,,,,,,,,,,,,384,0.001,2m,3.0,3.0,1.9000000000000001,618,,,,,,,,,,,,,,,400.0,0.01,2m,1.5,1.0,1.3,276.0,580.0,0.005,3m,3.0,3.5,0.6,554.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
142,142,-3.3906138290731476,2025-06-15 00:58:12.697623,2025-06-15 00:58:14.351728,0 days 00:00:01.654105,,,,,,,,,,,,,,,,,,,,,,408,0.001,2m,2.5,3.0,2.0,194,,,,,,,,,,,,,,,776.0,0.01,2m,1.5,1.0,1.2000000000000002,84.0,698.0,0.004,2m,3.0,3.5,0.6,620.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
143,143,2.9747851051270033,2025-06-15 00:58:14.424730,2025-06-15 00:58:16.059811,0 days 00:00:01.635081,,,,,,,,,,,,,,,,,,,,,,1010,0.001,2m,2.5,3.0,2.0,482,,,,,,,,,,,,,,,370.0,0.002,2m,1.5,1.0,1.6,118.0,410.0,0.005,4m,3.0,3.5,0.9,734.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
144,144,3.0392308172848246,2025-06-15 00:58:16.123829,2025-06-15 00:58:17.592427,0 days 00:00:01.468598,,,,,,,,,,,,,,,,,,,,,,336,0.001,2m,2.5,3.5,1.9000000000000001,428,,,,,,,,,,,,,,,392.0,0.01,2m,1.5,2.0,1.4,68.0,126.0,0.003,2m,2.5,3.0,1.0,468.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
145,145,-2.0200551859983946,2025-06-15 00:58:17.656912,2025-06-15 00:58:18.757146,0 days 00:00:01.100234,,,,,,,,,,,,,,,,,,,,,,352,0.002,2m,3.0,2.5,1.3,258,,,,,,,,,,,,,,,334.0,0.009000000000000001,2m,1.5,1.0,1.3,170.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
146,146,-1.3819725151849023,2025-06-15 00:58:18.814146,2025-06-15 00:58:20.528343,0 days 00:00:01.714197,,,,,,,,,,,,,,,,,,,,,,398,0.001,3m,2.5,3.0,2.0,228,,,,,,,,,,,,,,,450.0,0.01,4m,1.5,1.0,2.0,36.0,1024.0,0.004,2m,3.0,3.5,0.5,668.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
147,147,-2.4728662504347927,2025-06-15 00:58:20.596856,2025-06-15 00:58:21.779892,0 days 00:00:01.183036,,,,,,,,,,,,,,,,,,,,,,870,0.001,2m,2.5,3.0,1.9000000000000001,178,,,,,,,,,,,,,,,352.0,0.001,2m,1.5,1.0,1.9000000000000001,136.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
148,148,-5.644176853030783,2025-06-15 00:58:21.849414,2025-06-15 00:58:23.266467,0 days 00:00:01.417053,,,,,,,,,,,,,,,,,,,,,,288,0.002,2m,3.0,2.5,1.9000000000000001,210,,,,,,,,,,,,,,,146.0,0.01,1m,2.0,1.0,0.9,96.0,156.0,0.005,1m,1.0,4.0,0.6,708.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
149,149,-1.003453526693472,2025-06-15 00:58:23.345979,2025-06-15 00:58:24.612246,0 days 00:00:01.266267,,,,,,,,,,,,,,,,,,,,,,380,0.001,2m,2.5,3.5,1.8,150,,,,,,,,,,,,,,,406.0,0.01,2m,1.5,1.5,1.8,484.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
