,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_BIIB_EBAY_beta_win,params_BIIB_EBAY_stop_loss,params_BIIB_EBAY_trade_freq,params_BIIB_EBAY_z_entry,params_BIIB_EBAY_z_exit,params_BIIB_EBAY_z_stop_scaler,params_BIIB_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CPRT_PYPL_beta_win,params_CPRT_PYPL_stop_loss,params_CPRT_PYPL_trade_freq,params_CPRT_PYPL_z_entry,params_CPRT_PYPL_z_exit,params_CPRT_PYPL_z_stop_scaler,params_CPRT_PYPL_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
26,26,5.108681185927779,2025-06-15 00:50:02.528620,2025-06-15 00:50:04.529966,0 days 00:00:02.001346,,,,,,,,918,0.005,2m,2.0,1.5,1.1,140,,,,,,,,,,,,,,,930.0,0.004,3m,1.5,1.5,0.6,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
27,27,2.229163515775088,2025-06-15 00:50:04.632480,2025-06-15 00:50:10.703957,0 days 00:00:06.071477,708.0,0.001,2m,4.0,1.5,1.9000000000000001,38.0,726,0.005,2m,2.5,2.5,2.0,386,,,,,,,,570.0,0.005,1m,3.0,2.5,0.5,842.0,788.0,0.002,3m,1.0,3.0,1.2000000000000002,786.0,,,,,,,,824.0,0.007,2m,3.5,3.0,1.1,1004.0,,,,,,,,962.0,0.001,1m,4.0,4.0,0.6,1006.0,22.0,0.01,2m,2.5,2.5,0.9,946.0,0.4,7,COMPLETE
28,28,-100.0,2025-06-15 00:50:10.826990,2025-06-15 00:50:11.741663,0 days 00:00:00.914673,,,,,,,,590,0.003,3m,3.0,2.0,1.8,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
29,29,6.282088237366377,2025-06-15 00:50:11.842704,2025-06-15 00:50:13.427527,0 days 00:00:01.584823,,,,,,,,420,0.002,2m,4.0,1.5,1.9000000000000001,338,,,,,,,,480.0,0.003,1m,2.0,1.5,1.3,500.0,890.0,0.006,3m,1.0,4.0,1.4,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
30,30,0.9242303242964639,2025-06-15 00:50:13.502530,2025-06-15 00:50:15.965872,0 days 00:00:02.463342,996.0,0.008,1m,1.5,2.0,1.6,702.0,458,0.002,2m,2.5,1.0,1.9000000000000001,476,,,,,,,,458.0,0.003,4m,2.0,1.0,1.3,342.0,650.0,0.006,3m,1.5,4.0,1.5,1022.0,,,,,,,,630.0,0.009000000000000001,3m,2.0,2.0,1.5,374.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
31,31,6.0688847253790605,2025-06-15 00:50:16.031393,2025-06-15 00:50:17.251591,0 days 00:00:01.220198,,,,,,,,342,0.001,2m,4.0,1.5,2.0,332,,,,,,,,,,,,,,,892.0,0.005,3m,1.0,3.5,1.3,876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
32,32,6.3791198435912175,2025-06-15 00:50:17.326114,2025-06-15 00:50:18.767845,0 days 00:00:01.441731,,,,,,,,322,0.003,2m,4.0,1.5,1.8,338,,,,,,,,450.0,0.002,1m,1.5,1.5,1.1,486.0,916.0,0.004,3m,1.0,4.0,1.5,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
33,33,5.026137899725935,2025-06-15 00:50:18.835367,2025-06-15 00:50:20.491377,0 days 00:00:01.656010,,,,,,,,340,0.003,2m,4.0,1.5,1.8,264,,,,,,,,462.0,0.002,1m,1.5,1.5,1.1,528.0,888.0,0.004,3m,1.0,4.0,1.5,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
34,34,3.6716872332939263,2025-06-15 00:50:20.576891,2025-06-15 00:50:22.128412,0 days 00:00:01.551521,,,,,,,,186,0.002,2m,4.0,1.5,1.9000000000000001,362,,,,,,,,602.0,0.003,1m,1.5,1.5,1.2000000000000002,684.0,928.0,0.007,3m,1.5,4.0,1.4,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
35,35,6.25773490767122,2025-06-15 00:50:22.199412,2025-06-15 00:50:23.719230,0 days 00:00:01.519818,,,,,,,,460,0.003,4m,3.5,1.0,1.8,176,,,,,,,,446.0,0.004,1m,2.0,1.0,1.4,512.0,794.0,0.009000000000000001,1m,1.0,3.5,1.6,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
36,36,-3.706792727109629,2025-06-15 00:50:23.793244,2025-06-15 00:50:25.819866,0 days 00:00:02.026622,,,,,,,,258,0.004,2m,3.0,1.5,1.6,314,,,,,,,,628.0,0.005,1m,1.5,1.5,1.0,278.0,708.0,0.006,3m,3.0,4.0,0.6,560.0,,,,,,,,180.0,0.006,3m,1.5,3.0,1.0,362.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
37,37,1.7056012662304803,2025-06-15 00:50:25.902383,2025-06-15 00:50:28.372051,0 days 00:00:02.469668,218.0,0.004,2m,2.5,1.0,0.9,636.0,414,0.001,2m,3.5,1.5,1.9000000000000001,466,,,,,,,,504.0,0.001,1m,2.0,2.0,1.0,920.0,946.0,0.009000000000000001,2m,1.5,4.0,1.4,692.0,,,,,,,,386.0,0.01,1m,2.5,2.0,0.7,110.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
