,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_BIIB_EBAY_beta_win,params_BIIB_EBAY_stop_loss,params_BIIB_EBAY_trade_freq,params_BIIB_EBAY_z_entry,params_BIIB_EBAY_z_exit,params_BIIB_EBAY_z_stop_scaler,params_BIIB_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CPRT_PYPL_beta_win,params_CPRT_PYPL_stop_loss,params_CPRT_PYPL_trade_freq,params_CPRT_PYPL_z_entry,params_CPRT_PYPL_z_exit,params_CPRT_PYPL_z_stop_scaler,params_CPRT_PYPL_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
106,106,5.194724351784834,2025-06-15 00:52:03.084865,2025-06-15 00:52:04.267249,0 days 00:00:01.182384,,,,,,,,226,0.004,1m,1.0,1.0,2.0,870,,,,,,,,,,,,,,,362.0,0.006,1m,3.5,1.5,1.9000000000000001,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
107,107,5.183640022515022,2025-06-15 00:52:04.356764,2025-06-15 00:52:05.046666,0 days 00:00:00.689902,,,,,,,,290,0.003,4m,1.0,1.0,1.8,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
108,108,-0.02075104351527566,2025-06-15 00:52:05.130700,2025-06-15 00:52:06.243401,0 days 00:00:01.112701,,,,,,,,194,0.004,4m,1.0,1.0,1.7000000000000002,978,,,,,,,,,,,,,,,606.0,0.007,4m,4.0,2.0,0.6,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
109,109,-5.3330961611501,2025-06-15 00:52:06.312920,2025-06-15 00:52:06.907530,0 days 00:00:00.594610,,,,,,,,522,0.005,4m,1.0,1.5,2.0,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
110,110,6.523340063514142,2025-06-15 00:52:06.974530,2025-06-15 00:52:08.091736,0 days 00:00:01.117206,,,,,,,,126,0.004,4m,1.0,2.0,1.9000000000000001,934,,,,,,,,,,,,,,,698.0,0.005,1m,3.5,1.0,0.8,572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
111,111,8.866900100607104,2025-06-15 00:52:08.173757,2025-06-15 00:52:08.815440,0 days 00:00:00.641683,,,,,,,,248,0.005,4m,1.0,1.0,1.6,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
112,112,8.725806879923988,2025-06-15 00:52:08.892451,2025-06-15 00:52:09.504096,0 days 00:00:00.611645,,,,,,,,222,0.005,4m,1.0,1.0,1.5,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
113,113,8.866900100607104,2025-06-15 00:52:09.590609,2025-06-15 00:52:10.200495,0 days 00:00:00.609886,,,,,,,,248,0.005,4m,1.0,1.0,1.6,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
114,114,8.987766817810144,2025-06-15 00:52:10.261029,2025-06-15 00:52:10.916816,0 days 00:00:00.655787,,,,,,,,246,0.005,4m,1.0,1.0,1.6,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
115,115,8.953038232721976,2025-06-15 00:52:11.005820,2025-06-15 00:52:11.639223,0 days 00:00:00.633403,,,,,,,,252,0.005,4m,1.0,1.0,1.6,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
116,116,8.226142766690653,2025-06-15 00:52:11.709739,2025-06-15 00:52:12.365358,0 days 00:00:00.655619,,,,,,,,264,0.005,4m,1.0,3.0,1.6,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
117,117,4.857370747675265,2025-06-15 00:52:12.463873,2025-06-15 00:52:13.547302,0 days 00:00:01.083429,,,,,,,,368,0.005,4m,2.0,1.0,1.6,820,,,,,,,,,,,,,,,734.0,0.007,4m,4.0,3.0,1.5,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
118,118,-2.143374885589005,2025-06-15 00:52:13.598307,2025-06-15 00:52:14.680475,0 days 00:00:01.082168,,,,,,,,310,0.004,4m,1.5,1.0,1.6,806,,,,,,,,,,,,,,,476.0,0.006,2m,2.0,3.5,0.8,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
119,119,6.739816227640643,2025-06-15 00:52:14.761988,2025-06-15 00:52:15.415154,0 days 00:00:00.653166,,,,,,,,268,0.005,4m,1.0,1.0,1.6,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
120,120,5.381572231863186,2025-06-15 00:52:15.472154,2025-06-15 00:52:17.866205,0 days 00:00:02.394051,474.0,0.005,3m,2.0,2.5,1.1,610.0,178,0.004,4m,1.0,2.0,1.6,784,,,,,,,,788.0,0.01,4m,4.0,3.5,0.6,432.0,138.0,0.001,1m,3.0,1.5,1.2000000000000002,982.0,,,,,,,,1018.0,0.006,4m,4.0,3.5,1.8,290.0,,,,,,,,,,,,,,,,,,,,,,0.45,5,COMPLETE
121,121,8.953038232721976,2025-06-15 00:52:17.964733,2025-06-15 00:52:18.619885,0 days 00:00:00.655152,,,,,,,,252,0.005,4m,1.0,1.0,1.7000000000000002,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
122,122,4.531738818854834,2025-06-15 00:52:18.675393,2025-06-15 00:52:19.256730,0 days 00:00:00.581337,,,,,,,,288,0.005,4m,1.0,1.0,1.5,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
123,123,0.5028538670498465,2025-06-15 00:52:19.320242,2025-06-15 00:52:19.935461,0 days 00:00:00.615219,,,,,,,,192,0.005,4m,1.0,1.0,1.7000000000000002,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
124,124,8.96137430783388,2025-06-15 00:52:20.020974,2025-06-15 00:52:20.660145,0 days 00:00:00.639171,,,,,,,,250,0.004,4m,1.0,1.0,1.6,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
125,125,2.8838443568119745,2025-06-15 00:52:20.712661,2025-06-15 00:52:21.305758,0 days 00:00:00.593097,,,,,,,,158,0.005,4m,1.0,1.5,1.6,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
126,126,4.566550717179136,2025-06-15 00:52:21.377264,2025-06-15 00:52:21.960867,0 days 00:00:00.583603,,,,,,,,340,0.004,3m,1.5,1.0,1.5,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
127,127,2.1918024752285987,2025-06-15 00:52:22.029379,2025-06-15 00:52:23.105081,0 days 00:00:01.075702,,,,,,,,218,0.005,1m,2.5,3.0,1.6,858,,,,,,,,,,,,,,,538.0,0.01,2m,3.5,2.0,1.6,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
128,128,5.496788127863104,2025-06-15 00:52:23.190112,2025-06-15 00:52:23.986822,0 days 00:00:00.796710,,,,,,,,286,0.004,4m,1.0,1.0,2.0,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
129,129,8.66875264700435,2025-06-15 00:52:24.052333,2025-06-15 00:52:24.710474,0 days 00:00:00.658141,,,,,,,,258,0.005,4m,1.0,1.0,1.6,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
130,130,-3.9880521019473436,2025-06-15 00:52:24.810001,2025-06-15 00:52:25.856890,0 days 00:00:01.046889,,,,,,,,200,0.005,4m,1.0,1.5,1.5,836,,,,,,,,,,,,,,,344.0,0.005,3m,3.0,2.5,1.9000000000000001,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
131,131,8.717897202271224,2025-06-15 00:52:25.923405,2025-06-15 00:52:26.487105,0 days 00:00:00.563700,,,,,,,,242,0.004,4m,1.0,1.0,1.7000000000000002,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
132,132,6.365538488309198,2025-06-15 00:52:26.551613,2025-06-15 00:52:27.202697,0 days 00:00:00.651084,,,,,,,,312,0.004,4m,1.0,1.0,1.7000000000000002,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
133,133,-4.576066101157077,2025-06-15 00:52:27.283207,2025-06-15 00:52:27.983171,0 days 00:00:00.699964,,,,,,,,496,0.004,4m,1.0,1.0,1.6,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
134,134,8.720086359558918,2025-06-15 00:52:28.078686,2025-06-15 00:52:28.752331,0 days 00:00:00.673645,,,,,,,,242,0.004,4m,1.0,1.0,1.1,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
135,135,3.718819627639397,2025-06-15 00:52:28.898859,2025-06-15 00:52:33.899881,0 days 00:00:05.001022,272.0,0.007,1m,3.0,3.0,0.9,364.0,282,0.01,4m,1.0,1.0,1.6,886,,,,,,,,228.0,0.008,3m,3.0,3.0,1.5,796.0,424.0,0.003,4m,4.0,3.5,0.9,18.0,,,,,,,,44.0,0.004,1m,3.0,2.5,0.5,568.0,,,,,,,,,,,,,,,182.0,0.007,1m,2.5,1.5,1.7000000000000002,174.0,0.45,6,COMPLETE
136,136,5.881850902799798,2025-06-15 00:52:34.002409,2025-06-15 00:52:35.074084,0 days 00:00:01.071675,,,,,,,,222,0.005,4m,1.5,1.0,1.8,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
137,137,8.666897921715053,2025-06-15 00:52:35.172111,2025-06-15 00:52:36.249803,0 days 00:00:01.077692,,,,,,,,258,0.004,4m,1.0,1.0,1.5,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
138,138,6.05420162741194,2025-06-15 00:52:36.363315,2025-06-15 00:52:38.293213,0 days 00:00:01.929898,,,,,,,,176,0.005,4m,1.0,3.0,0.9,770,,,,,,,,,,,,,,,264.0,0.008,3m,3.0,1.5,1.4,658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
139,139,11.037788444146326,2025-06-15 00:52:38.406731,2025-06-15 00:52:39.442424,0 days 00:00:01.035693,,,,,,,,298,0.004,4m,1.0,1.0,0.6,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
140,140,1.1849363527230246,2025-06-15 00:52:39.536936,2025-06-15 00:52:40.528110,0 days 00:00:00.991174,,,,,,,,326,0.005,4m,1.5,1.0,0.6,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
141,141,9.104754016430423,2025-06-15 00:52:40.628626,2025-06-15 00:52:41.515816,0 days 00:00:00.887190,,,,,,,,272,0.004,4m,1.0,1.0,0.8,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
142,142,4.164848159091744,2025-06-15 00:52:41.597318,2025-06-15 00:52:42.404489,0 days 00:00:00.807171,,,,,,,,292,0.004,4m,1.0,1.0,0.8,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
143,143,2.692190827836552,2025-06-15 00:52:42.482011,2025-06-15 00:52:43.186194,0 days 00:00:00.704183,,,,,,,,274,0.004,4m,1.0,1.0,0.5,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
144,144,8.908168712706862,2025-06-15 00:52:43.255709,2025-06-15 00:52:43.907309,0 days 00:00:00.651600,,,,,,,,228,0.004,4m,1.0,1.0,0.7,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
145,145,0.8641997263574216,2025-06-15 00:52:43.959819,2025-06-15 00:52:44.569192,0 days 00:00:00.609373,,,,,,,,212,0.004,4m,1.0,1.0,0.6,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
146,146,5.319995466447767,2025-06-15 00:52:44.622337,2025-06-15 00:52:45.747581,0 days 00:00:01.125244,,,,,,,,228,0.003,4m,1.0,1.0,0.6,350,,,,,,,,,,,,,,,86.0,0.007,2m,3.5,3.0,0.7,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
147,147,3.5928566803947315,2025-06-15 00:52:45.823107,2025-06-15 00:52:46.515687,0 days 00:00:00.692580,,,,,,,,354,0.004,4m,1.0,1.0,0.5,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
148,148,4.300071526999002,2025-06-15 00:52:46.590196,2025-06-15 00:52:48.719621,0 days 00:00:02.129425,,,,,,,,306,0.004,4m,1.0,1.0,0.7,310,,,,,,,,734.0,0.007,2m,2.5,4.0,1.7000000000000002,20.0,480.0,0.009000000000000001,1m,2.0,2.0,1.0,316.0,,,,,,,,648.0,0.002,2m,1.5,2.0,1.5,446.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
149,149,6.310531538865483,2025-06-15 00:52:48.783130,2025-06-15 00:52:52.344326,0 days 00:00:03.561196,866.0,0.002,4m,2.5,2.0,1.5,746.0,194,0.003,3m,1.0,1.5,0.7,746,,,,,,,,544.0,0.009000000000000001,4m,4.0,3.0,2.0,564.0,850.0,0.006,3m,1.5,2.5,1.8,502.0,,,,,,,,294.0,0.003,1m,3.5,1.5,2.0,40.0,,,,,,,,826.0,0.004,3m,2.5,2.0,1.0,346.0,624.0,0.002,2m,3.5,2.5,1.4,1004.0,0.35000000000000003,7,COMPLETE
