,number,value,datetime_start,datetime_complete,duration,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CDW_VRSK_beta_win,params_CDW_VRSK_stop_loss,params_CDW_VRSK_trade_freq,params_CDW_VRSK_z_entry,params_CDW_VRSK_z_exit,params_CDW_VRSK_z_stop_scaler,params_CDW_VRSK_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_CSCO_EXC_beta_win,params_CSCO_EXC_stop_loss,params_CSCO_EXC_trade_freq,params_CSCO_EXC_z_entry,params_CSCO_EXC_z_exit,params_CSCO_EXC_z_stop_scaler,params_CSCO_EXC_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOG_MAR_beta_win,params_GOOG_MAR_stop_loss,params_GOOG_MAR_trade_freq,params_GOOG_MAR_z_entry,params_GOOG_MAR_z_exit,params_GOOG_MAR_z_stop_scaler,params_GOOG_MAR_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-2.3655582572224017,2025-06-15 00:25:49.582326,2025-06-15 00:25:54.117058,0 days 00:00:04.534732,486.0,0.001,3m,3.5,1.5,1.8,186.0,346.0,0.005,3m,4.0,2.5,1.0,180.0,436.0,0.009000000000000001,4m,1.5,3.5,1.1,610.0,82.0,0.001,3m,2.0,4.0,0.7,562.0,,,,,,,,174,0.001,2m,4.0,2.0,1.4,572,32.0,0.005,2m,1.0,2.0,1.8,1014.0,1022.0,0.007,1m,3.0,3.0,2.0,60.0,386.0,0.003,3m,4.0,2.5,1.2000000000000002,620.0,464.0,0.003,4m,2.5,2.0,0.7,330.0,0.35000000000000003,9,COMPLETE
21,21,0.26334050033244644,2025-06-15 00:25:54.211074,2025-06-15 00:25:57.553008,0 days 00:00:03.341934,962.0,0.003,2m,3.0,2.0,1.4,346.0,794.0,0.003,3m,3.5,2.0,0.7,344.0,28.0,0.001,1m,2.0,4.0,2.0,678.0,,,,,,,,,,,,,,,778,0.006,2m,3.5,2.0,1.6,938,638.0,0.007,2m,3.0,1.0,1.8,512.0,,,,,,,,242.0,0.004,3m,3.5,2.0,0.8,768.0,406.0,0.006,4m,2.0,1.5,1.1,786.0,0.5,7,COMPLETE
22,22,10.039417878962881,2025-06-15 00:25:57.637113,2025-06-15 00:26:00.966201,0 days 00:00:03.329088,864.0,0.004,2m,2.5,2.0,1.0,176.0,696.0,0.004,3m,3.5,1.5,0.5,418.0,164.0,0.001,1m,2.0,4.0,2.0,862.0,,,,,,,,,,,,,,,808,0.004,2m,3.5,2.0,1.5,920,734.0,0.007,2m,3.0,1.0,2.0,586.0,,,,,,,,584.0,0.003,3m,3.5,2.0,0.7,704.0,598.0,0.009000000000000001,4m,2.0,1.5,1.0,848.0,0.45,7,COMPLETE
23,23,5.7298603941281,2025-06-15 00:26:01.053719,2025-06-15 00:26:05.790499,0 days 00:00:04.736780,832.0,0.005,2m,2.5,2.5,0.8,150.0,648.0,0.004,3m,4.0,1.5,0.5,488.0,170.0,0.003,1m,1.0,3.5,1.8,866.0,282.0,0.004,4m,1.0,3.0,1.0,650.0,104.0,0.002,4m,3.5,4.0,1.9000000000000001,722.0,852,0.004,2m,3.0,3.0,1.8,966,936.0,0.008,2m,2.0,1.5,2.0,392.0,336.0,0.003,4m,1.0,3.0,0.9,982.0,586.0,0.003,3m,3.0,1.0,0.7,868.0,634.0,0.009000000000000001,4m,2.0,1.0,0.9,676.0,0.45,10,COMPLETE
24,24,2.1199794303532364,2025-06-15 00:26:05.860011,2025-06-15 00:26:09.970931,0 days 00:00:04.110920,804.0,0.008,2m,2.0,1.5,0.5,428.0,510.0,0.004,3m,3.5,1.0,0.7,744.0,184.0,0.006,4m,2.5,4.0,1.8,1016.0,800.0,0.003,1m,2.5,2.0,1.6,210.0,,,,,,,,656,0.003,2m,4.0,1.0,1.1,788,766.0,0.007,4m,3.0,1.0,1.9000000000000001,800.0,748.0,0.009000000000000001,4m,3.0,3.0,1.7000000000000002,526.0,662.0,0.007,3m,4.0,2.5,1.0,676.0,762.0,0.009000000000000001,4m,1.5,1.5,0.9,894.0,0.4,9,COMPLETE
25,25,2.4412181631571435,2025-06-15 00:26:10.039443,2025-06-15 00:26:12.894036,0 days 00:00:02.854593,,,,,,,,692.0,0.006,2m,4.0,1.5,1.4,268.0,480.0,0.004,1m,1.5,2.5,0.7,834.0,,,,,,,,,,,,,,,890,0.002,2m,3.5,1.5,0.9,458,768.0,0.005,1m,3.5,1.5,1.4,564.0,,,,,,,,412.0,0.003,3m,2.0,1.5,0.6,136.0,548.0,0.01,4m,2.5,1.0,1.2000000000000002,718.0,0.45,6,COMPLETE
26,26,2.4554660316525476,2025-06-15 00:26:12.972558,2025-06-15 00:26:16.855963,0 days 00:00:03.883405,624.0,0.005,2m,1.5,1.0,0.9,146.0,916.0,0.002,4m,3.0,1.0,0.6,590.0,142.0,0.002,4m,2.0,3.5,1.5,570.0,580.0,0.008,2m,1.5,3.5,0.7,972.0,,,,,,,,1022,0.005,3m,2.5,1.5,1.2000000000000002,916,492.0,0.009000000000000001,3m,2.5,3.0,1.6,282.0,,,,,,,,888.0,0.001,3m,3.5,4.0,0.7,798.0,980.0,0.008,4m,3.0,3.5,0.6,586.0,0.35000000000000003,8,COMPLETE
27,27,-6.683511515037821,2025-06-15 00:26:16.943995,2025-06-15 00:26:21.217788,0 days 00:00:04.273793,870.0,0.002,2m,3.5,3.0,1.0,174.0,726.0,0.005,3m,3.5,1.5,0.8,424.0,300.0,0.006,3m,3.0,4.0,2.0,932.0,822.0,0.002,1m,1.5,3.5,1.1,334.0,,,,,,,,104,0.004,1m,3.5,3.0,1.4,1020,192.0,0.01,2m,1.5,1.0,1.9000000000000001,886.0,452.0,0.004,3m,3.5,3.5,1.2000000000000002,746.0,566.0,0.005,2m,4.0,2.0,0.9,324.0,292.0,0.009000000000000001,3m,2.0,2.0,1.0,836.0,0.3,9,COMPLETE
28,28,0.4364830800254504,2025-06-15 00:26:21.312307,2025-06-15 00:26:25.981757,0 days 00:00:04.669450,1002.0,0.004,1m,2.5,2.0,1.9000000000000001,426.0,1024.0,0.002,3m,4.0,2.0,0.6,138.0,112.0,0.009000000000000001,2m,1.5,3.0,1.7000000000000002,812.0,204.0,0.005,2m,4.0,2.5,0.5,166.0,312.0,0.01,1m,2.5,1.0,0.5,462.0,550,0.002,4m,4.0,1.0,1.1,648,332.0,0.006,2m,3.5,2.0,0.5,652.0,822.0,0.008,2m,2.0,1.5,1.7000000000000002,358.0,736.0,0.002,1m,3.0,1.0,0.5,932.0,504.0,0.01,2m,2.5,1.5,0.8,926.0,0.45,10,COMPLETE
29,29,3.7572493952761437,2025-06-15 00:26:26.075273,2025-06-15 00:26:29.380078,0 days 00:00:03.304805,540.0,0.01,3m,1.5,1.5,1.3,40.0,878.0,0.004,4m,2.0,1.0,0.5,290.0,432.0,0.004,1m,1.0,1.0,1.2000000000000002,66.0,,,,,,,,,,,,,,,402,0.003,3m,3.0,2.0,1.4,824,522.0,0.008,2m,2.5,1.5,1.8,760.0,,,,,,,,848.0,0.006,4m,3.5,1.5,1.0,494.0,638.0,0.004,1m,1.5,1.0,1.3,954.0,0.25,7,COMPLETE
