,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,2.5724822500900375,2025-06-15 01:22:22.028192,2025-06-15 01:22:25.258715,0 days 00:00:03.230523,,,,,,,,878.0,0.01,3m,3.5,3.0,1.9000000000000001,968.0,,,,,,,,182.0,0.005,4m,1.5,2.5,1.6,886.0,,,,,,,,,,,,,,,424,0.001,2m,4.0,4.0,1.4,728,,,,,,,,584.0,0.008,3m,2.0,1.0,1.3,280.0,832,0.001,4m,3.5,2.0,1.5,990,534.0,0.002,2m,2.5,1.5,1.0,380.0,,,,,,,,752.0,0.009000000000000001,2m,3.0,1.5,0.5,58.0,0.2,4,COMPLETE
21,21,2.108886449573194,2025-06-15 01:22:25.329423,2025-06-15 01:22:28.132515,0 days 00:00:02.803092,,,,,,,,,,,,,,,,,,,,,,862.0,0.002,3m,1.5,3.0,0.5,332.0,,,,,,,,,,,,,,,352,0.009000000000000001,3m,3.5,2.0,1.3,462,,,,,,,,1020.0,0.001,1m,4.0,2.0,1.4,504.0,558,0.002,4m,1.0,4.0,1.0,492,770.0,0.006,2m,2.5,2.0,1.8,680.0,,,,,,,,140.0,0.007,3m,2.5,2.5,1.4,656.0,0.4,3,COMPLETE
22,22,5.242866094682501,2025-06-15 01:22:28.213479,2025-06-15 01:22:30.128399,0 days 00:00:01.914920,,,,,,,,,,,,,,,,,,,,,,774.0,0.005,3m,1.0,3.5,2.0,362.0,,,,,,,,,,,,,,,504,0.01,3m,3.5,2.0,1.1,632,,,,,,,,,,,,,,,502,0.002,4m,2.0,4.0,1.1,548,,,,,,,,,,,,,,,112.0,0.007,3m,2.0,2.5,1.5,838.0,0.35000000000000003,2,COMPLETE
23,23,3.4545013900082773,2025-06-15 01:22:30.239666,2025-06-15 01:22:32.174494,0 days 00:00:01.934828,,,,,,,,,,,,,,,,,,,,,,678.0,0.005,3m,2.5,3.5,2.0,230.0,,,,,,,,,,,,,,,498,0.01,3m,3.5,3.0,1.1,646,,,,,,,,,,,,,,,490,0.003,4m,2.0,3.5,1.2000000000000002,618,,,,,,,,,,,,,,,268.0,0.009000000000000001,3m,2.0,3.5,1.6,872.0,0.35000000000000003,2,COMPLETE
24,24,0.6938531195270264,2025-06-15 01:22:32.252199,2025-06-15 01:22:33.278945,0 days 00:00:01.026746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.01,3m,3.0,1.5,0.9,572,,,,,,,,,,,,,,,374,0.001,4m,2.5,4.0,0.8,368,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
25,25,-5.6121893763453095,2025-06-15 01:22:33.348775,2025-06-15 01:22:36.026672,0 days 00:00:02.677897,,,,,,,,,,,,,,,,,,,,,,458.0,0.007,3m,2.0,4.0,1.2000000000000002,530.0,,,,,,,,,,,,,,,778,0.007,3m,2.5,2.5,1.0,792,,,,,,,,244.0,0.006,3m,2.5,4.0,1.8,788.0,682,0.004,4m,2.0,1.5,1.1,498,160.0,0.005,3m,1.0,3.0,1.4,134.0,,,,,,,,402.0,0.007,3m,1.5,1.0,1.2000000000000002,1024.0,0.1,3,COMPLETE
26,26,-2.465545839576708,2025-06-15 01:22:36.102482,2025-06-15 01:22:38.006927,0 days 00:00:01.904445,,,,,,,,,,,,,,,,,,,,,,758.0,0.007,1m,1.5,3.5,1.3,668.0,,,,,,,,,,,,,,,506,0.009000000000000001,3m,4.0,2.0,0.8,406,,,,,,,,,,,,,,,222,0.002,2m,1.5,3.0,1.4,206,,,,,,,,,,,,,,,176.0,0.005,4m,1.0,2.5,1.8,860.0,0.2,2,COMPLETE
27,27,0.727478561061266,2025-06-15 01:22:38.079771,2025-06-15 01:22:39.182546,0 days 00:00:01.102775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.008,2m,3.5,1.0,1.2000000000000002,614,,,,,,,,,,,,,,,522,0.003,1m,3.0,3.5,0.9,676,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
28,28,7.765345701691599,2025-06-15 01:22:39.249174,2025-06-15 01:22:43.186636,0 days 00:00:03.937462,,,,,,,,568.0,0.002,1m,1.5,4.0,0.7,224.0,302.0,0.001,3m,2.0,3.0,1.3,528.0,790.0,0.005,2m,2.5,4.0,2.0,300.0,1024.0,0.004,3m,2.0,2.5,1.0,22.0,,,,,,,,472,0.01,4m,2.0,1.5,1.7000000000000002,672,,,,,,,,766.0,0.004,2m,3.5,3.0,0.8,578.0,400,0.006,3m,2.0,4.0,2.0,348,460.0,0.003,4m,4.0,4.0,1.7000000000000002,362.0,,,,,,,,422.0,0.01,1m,3.5,3.5,0.9,436.0,0.1,6,COMPLETE
29,29,6.088416073983477,2025-06-15 01:22:43.270276,2025-06-15 01:22:48.379030,0 days 00:00:05.108754,,,,,,,,578.0,0.002,1m,1.5,4.0,0.7,194.0,342.0,0.001,3m,2.0,3.0,1.4,474.0,568.0,0.006,2m,2.5,2.0,1.7000000000000002,48.0,994.0,0.004,3m,2.0,2.5,1.0,22.0,726.0,0.004,2m,4.0,1.5,0.8,340.0,354,0.009000000000000001,4m,2.0,1.5,1.8,516,,,,,,,,776.0,0.004,2m,3.5,3.0,0.7,588.0,354,0.006,3m,2.5,2.5,2.0,336,416.0,0.003,4m,4.0,4.0,1.6,402.0,976.0,0.01,2m,4.0,4.0,2.0,182.0,630.0,0.01,1m,3.5,3.5,0.9,388.0,0.1,8,COMPLETE
