,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
63,63,-1.3379261156511875,2025-06-15 01:25:38.290710,2025-06-15 01:25:43.945645,0 days 00:00:05.654935,,,,,,,,264.0,0.003,1m,1.5,4.0,0.7,110.0,536.0,0.007,3m,2.5,3.0,1.2000000000000002,96.0,920.0,0.007,2m,3.5,1.5,1.8,36.0,958.0,0.005,3m,2.0,3.0,1.2000000000000002,66.0,794.0,0.01,1m,4.0,1.0,0.5,386.0,354,0.008,4m,2.0,2.5,1.8,930,,,,,,,,798.0,0.001,2m,1.5,3.0,0.6,500.0,528,0.006,3m,3.5,1.0,1.8,590,472.0,0.005,4m,4.0,4.0,1.6,94.0,604.0,0.008,1m,3.5,1.0,1.3,326.0,792.0,0.01,1m,3.5,3.5,0.7,414.0,0.05,8,COMPLETE
64,64,0.12033033714327764,2025-06-15 01:25:44.031791,2025-06-15 01:25:49.456393,0 days 00:00:05.424602,,,,,,,,342.0,0.002,1m,3.0,4.0,0.9,150.0,466.0,0.006,2m,2.5,1.5,1.5,246.0,744.0,0.006,2m,2.5,2.0,2.0,142.0,968.0,0.005,3m,3.5,2.5,1.3,216.0,516.0,0.002,2m,3.5,1.5,1.9000000000000001,262.0,288,0.007,4m,2.0,2.5,1.9000000000000001,812,,,,,,,,68.0,0.003,2m,2.5,3.0,0.7,526.0,486,0.007,3m,2.5,1.0,2.0,498,320.0,0.006,4m,1.0,3.5,1.4,224.0,322.0,0.009000000000000001,1m,4.0,1.5,0.8,248.0,398.0,0.009000000000000001,1m,2.0,4.0,0.6,314.0,0.05,8,COMPLETE
65,65,10.242493706028897,2025-06-15 01:25:49.534802,2025-06-15 01:25:54.838715,0 days 00:00:05.303913,,,,,,,,730.0,0.002,1m,1.5,4.0,0.7,266.0,344.0,0.007,3m,2.0,1.0,1.9000000000000001,940.0,1020.0,0.007,2m,3.0,4.0,1.7000000000000002,16.0,754.0,0.009000000000000001,3m,1.5,2.5,1.7000000000000002,812.0,916.0,0.005,2m,4.0,1.0,0.6,642.0,394,0.008,4m,2.5,3.5,2.0,760,,,,,,,,474.0,0.006,3m,3.5,3.5,0.5,978.0,432,0.008,3m,3.0,1.0,1.8,428,418.0,0.005,2m,4.0,4.0,1.7000000000000002,104.0,858.0,0.007,1m,3.5,1.5,0.9,106.0,852.0,0.01,2m,4.0,2.0,0.8,566.0,0.05,8,COMPLETE
66,66,-5.94909437264848,2025-06-15 01:25:54.926342,2025-06-15 01:26:01.418684,0 days 00:00:06.492342,784.0,0.004,1m,4.0,3.0,1.6,732.0,916.0,0.001,1m,2.0,3.5,0.7,296.0,322.0,0.007,3m,2.0,1.0,2.0,968.0,1008.0,0.008,3m,1.5,4.0,1.6,44.0,658.0,0.009000000000000001,2m,1.0,2.0,1.9000000000000001,974.0,914.0,0.005,4m,3.5,1.0,0.6,788.0,192,0.006,4m,3.0,4.0,1.9000000000000001,768,774.0,0.002,2m,1.0,2.5,0.5,748.0,468.0,0.006,3m,3.5,3.5,0.5,986.0,584,0.008,4m,3.0,1.0,1.8,404,542.0,0.006,2m,3.5,4.0,1.8,70.0,876.0,0.007,1m,3.5,1.5,0.9,96.0,916.0,0.001,2m,4.0,2.0,0.8,402.0,0.05,10,COMPLETE
67,67,4.9201843095785485,2025-06-15 01:26:01.528850,2025-06-15 01:26:07.249383,0 days 00:00:05.720533,,,,,,,,692.0,0.009000000000000001,1m,1.0,4.0,0.9,364.0,710.0,0.008,3m,2.0,1.0,1.8,942.0,16.0,0.005,4m,3.0,3.5,1.7000000000000002,20.0,766.0,0.009000000000000001,1m,1.5,2.5,1.7000000000000002,832.0,982.0,0.006,3m,4.0,1.5,1.7000000000000002,662.0,374,0.008,3m,3.0,3.0,1.8,548,,,,,,,,376.0,0.007,3m,4.0,3.5,1.3,406.0,514,0.009000000000000001,3m,3.0,1.0,1.7000000000000002,444,386.0,0.005,2m,4.0,3.5,1.7000000000000002,106.0,936.0,0.005,1m,4.0,1.0,1.1,256.0,954.0,0.009000000000000001,2m,4.0,2.0,0.9,346.0,0.05,8,COMPLETE
68,68,7.683862289581603,2025-06-15 01:26:07.357031,2025-06-15 01:26:13.309773,0 days 00:00:05.952742,234.0,0.003,4m,1.5,3.5,0.9,272.0,738.0,0.002,1m,1.5,3.0,1.2000000000000002,272.0,198.0,0.006,1m,2.0,1.0,1.9000000000000001,808.0,964.0,0.009000000000000001,2m,2.0,4.0,1.8,932.0,570.0,0.009000000000000001,3m,1.0,1.0,1.1,682.0,918.0,0.009000000000000001,2m,3.5,2.5,0.5,994.0,414,0.007,2m,2.5,3.5,0.8,490,,,,,,,,480.0,0.006,3m,3.5,4.0,0.5,618.0,440,0.008,3m,2.5,3.0,2.0,682,442.0,0.003,2m,3.5,4.0,1.6,58.0,1016.0,0.007,1m,3.5,1.5,0.5,122.0,844.0,0.01,2m,2.5,1.5,1.3,604.0,0.05,9,COMPLETE
69,69,-3.5238363812928433,2025-06-15 01:26:13.408085,2025-06-15 01:26:18.814858,0 days 00:00:05.406773,,,,,,,,810.0,0.007,3m,2.0,4.0,0.8,412.0,88.0,0.005,3m,1.5,1.5,1.9000000000000001,872.0,1022.0,0.006,2m,2.5,3.5,1.5,612.0,706.0,0.008,3m,1.5,3.0,0.5,906.0,794.0,0.007,3m,1.0,3.5,1.1,926.0,328,0.008,4m,2.5,3.5,1.0,660,,,,,,,,510.0,0.005,3m,3.5,3.5,0.7,476.0,626,0.006,4m,2.5,2.5,1.8,556,496.0,0.005,2m,1.5,3.0,2.0,258.0,714.0,0.008,1m,3.0,1.0,1.3,252.0,756.0,0.009000000000000001,2m,4.0,1.0,1.0,524.0,0.1,8,COMPLETE
70,70,5.130245698236705,2025-06-15 01:26:18.868217,2025-06-15 01:26:24.889706,0 days 00:00:06.021489,802.0,0.008,3m,3.0,2.0,1.7000000000000002,678.0,636.0,0.001,1m,1.5,3.5,0.7,190.0,356.0,0.008,4m,3.0,2.5,1.9000000000000001,726.0,432.0,0.008,2m,3.5,4.0,1.4,248.0,876.0,0.01,3m,1.0,4.0,1.0,814.0,892.0,0.006,1m,3.0,1.0,1.4,446.0,142,0.01,1m,1.5,3.5,1.7000000000000002,716,,,,,,,,260.0,0.007,1m,4.0,1.0,0.8,132.0,474,0.008,3m,3.0,1.0,1.5,634,420.0,0.007,3m,4.0,3.5,1.3,818.0,886.0,0.01,3m,4.0,2.0,0.9,442.0,876.0,0.01,3m,4.0,1.5,0.5,214.0,0.05,9,COMPLETE
71,71,8.338222160304085,2025-06-15 01:26:24.971256,2025-06-15 01:26:30.973069,0 days 00:00:06.001813,216.0,0.003,4m,1.5,3.5,0.9,274.0,738.0,0.002,1m,1.5,3.0,1.2000000000000002,248.0,178.0,0.006,1m,2.0,1.0,1.9000000000000001,772.0,960.0,0.01,2m,2.0,4.0,1.8,16.0,574.0,0.009000000000000001,3m,1.0,1.5,1.1,682.0,1006.0,0.009000000000000001,2m,3.5,3.5,0.5,1000.0,394,0.007,2m,2.5,3.5,0.8,490,,,,,,,,490.0,0.006,3m,3.5,4.0,0.5,670.0,426,0.008,3m,2.5,3.5,2.0,614,440.0,0.003,2m,3.0,4.0,1.6,114.0,1024.0,0.007,1m,3.5,1.5,0.6,126.0,804.0,0.01,2m,2.5,1.5,1.3,500.0,0.05,9,COMPLETE
72,72,6.618910144710853,2025-06-15 01:26:31.052496,2025-06-15 01:26:37.222726,0 days 00:00:06.170230,220.0,0.003,4m,1.5,3.5,1.1,26.0,568.0,0.002,1m,1.5,3.0,1.1,234.0,122.0,0.007,1m,2.0,1.0,2.0,774.0,850.0,0.01,2m,1.5,4.0,1.7000000000000002,52.0,676.0,0.009000000000000001,3m,1.0,1.0,1.2000000000000002,724.0,882.0,0.009000000000000001,2m,3.5,3.5,0.6,620.0,278,0.007,2m,2.5,3.0,0.8,592,,,,,,,,694.0,0.005,3m,3.5,4.0,0.5,564.0,440,0.008,3m,2.5,3.5,2.0,524,250.0,0.003,2m,3.5,4.0,1.7000000000000002,146.0,914.0,0.006,1m,3.5,1.5,0.6,116.0,238.0,0.01,2m,2.5,1.5,1.2000000000000002,440.0,0.05,9,COMPLETE
73,73,1.9967690787779147,2025-06-15 01:26:37.294568,2025-06-15 01:26:43.691811,0 days 00:00:06.397243,454.0,0.002,4m,2.0,3.5,0.7,288.0,726.0,0.002,1m,2.0,2.5,1.4,316.0,68.0,0.006,1m,2.0,1.0,1.9000000000000001,1000.0,994.0,0.006,2m,2.0,4.0,1.7000000000000002,16.0,596.0,0.008,3m,1.5,1.5,1.0,584.0,972.0,0.008,2m,4.0,3.0,0.8,922.0,388,0.006,2m,2.0,3.5,0.7,450,94.0,0.01,3m,4.0,4.0,2.0,44.0,414.0,0.006,3m,3.5,4.0,0.7,674.0,540,0.007,3m,2.0,3.5,2.0,616,904.0,0.002,2m,3.0,4.0,1.8,118.0,1020.0,0.007,1m,3.5,1.0,0.8,20.0,810.0,0.01,2m,2.0,2.0,1.3,488.0,0.1,10,COMPLETE
74,74,-0.2548329006366631,2025-06-15 01:26:43.778400,2025-06-15 01:26:49.197816,0 days 00:00:05.419416,,,,,,,,862.0,0.002,1m,1.0,4.0,1.3,212.0,218.0,0.006,1m,1.5,1.0,1.7000000000000002,904.0,62.0,0.009000000000000001,2m,2.5,4.0,1.8,100.0,782.0,0.007,3m,1.0,2.0,1.1,810.0,960.0,0.008,2m,3.0,2.5,0.5,424.0,336,0.008,2m,2.5,3.0,0.9,896,,,,,,,,572.0,0.007,3m,3.0,3.5,0.6,742.0,386,0.008,3m,2.5,4.0,1.9000000000000001,422,370.0,0.003,2m,2.5,4.0,1.6,194.0,802.0,0.009000000000000001,1m,3.0,1.5,1.1,194.0,850.0,0.009000000000000001,2m,3.0,1.0,0.8,364.0,0.05,8,COMPLETE
75,75,2.1799364447469154,2025-06-15 01:26:49.252517,2025-06-15 01:26:55.195989,0 days 00:00:05.943472,236.0,0.005,2m,1.5,3.0,1.2000000000000002,622.0,664.0,0.003,2m,1.5,3.5,0.5,166.0,280.0,0.007,3m,2.0,1.5,1.7000000000000002,426.0,952.0,0.007,2m,2.0,3.5,1.9000000000000001,202.0,522.0,0.01,3m,2.5,2.5,1.2000000000000002,532.0,996.0,0.01,2m,4.0,3.5,0.6,566.0,488,0.007,2m,3.0,4.0,0.7,20,,,,,,,,502.0,0.005,3m,3.5,4.0,0.5,538.0,428,0.006,1m,2.0,4.0,1.8,384,202.0,0.004,1m,3.0,4.0,1.7000000000000002,492.0,930.0,0.008,2m,4.0,2.5,0.9,302.0,772.0,0.01,4m,1.5,2.5,1.4,530.0,0.1,9,COMPLETE
76,76,3.0878637636643784,2025-06-15 01:26:55.271495,2025-06-15 01:26:59.986926,0 days 00:00:04.715431,,,,,,,,544.0,0.001,1m,1.5,4.0,1.0,246.0,162.0,0.009000000000000001,2m,1.5,3.0,1.1,306.0,330.0,0.01,3m,2.5,3.5,1.8,138.0,714.0,0.005,4m,1.5,1.5,1.3,46.0,,,,,,,,432,0.005,4m,2.0,3.0,2.0,416,,,,,,,,422.0,0.008,3m,3.0,2.5,0.6,598.0,496,0.007,3m,2.5,3.5,1.9000000000000001,570,618.0,0.006,2m,4.0,3.5,1.8,358.0,,,,,,,,460.0,0.01,3m,2.5,1.5,0.9,150.0,0.1,6,COMPLETE
77,77,-5.498196297184195,2025-06-15 01:27:00.088669,2025-06-15 01:27:05.485445,0 days 00:00:05.396776,,,,,,,,982.0,0.002,1m,2.0,3.0,1.2000000000000002,54.0,506.0,0.005,3m,2.0,2.0,0.9,670.0,706.0,0.004,4m,1.5,4.0,1.6,64.0,446.0,0.006,3m,2.0,2.5,0.8,630.0,790.0,0.004,3m,3.5,3.0,0.8,774.0,530,0.009000000000000001,3m,2.5,1.0,1.0,486,,,,,,,,562.0,0.006,2m,4.0,2.0,1.5,642.0,408,0.009000000000000001,4m,3.0,1.0,2.0,504,514.0,0.002,2m,4.0,4.0,1.6,60.0,618.0,0.006,3m,3.0,2.0,0.7,86.0,634.0,0.009000000000000001,2m,3.0,1.5,1.5,426.0,0.05,8,COMPLETE
78,78,-0.12695489881484873,2025-06-15 01:27:05.569188,2025-06-15 01:27:11.342971,0 days 00:00:05.773783,,,,,,,,778.0,0.004,1m,3.5,4.0,1.1,346.0,650.0,0.005,3m,2.0,1.0,0.5,578.0,812.0,0.005,2m,3.0,4.0,1.2000000000000002,1018.0,980.0,0.009000000000000001,1m,4.0,2.0,0.9,758.0,1006.0,0.005,2m,3.5,4.0,0.6,1018.0,656,0.008,4m,4.0,1.5,1.9000000000000001,774,,,,,,,,902.0,0.004,4m,3.5,3.5,0.7,716.0,264,0.003,3m,2.5,3.0,1.7000000000000002,670,426.0,0.005,4m,3.5,4.0,1.4,116.0,944.0,0.007,1m,3.5,1.0,1.2000000000000002,182.0,740.0,0.01,2m,3.5,2.0,1.1,508.0,0.15000000000000002,8,COMPLETE
79,79,-0.8060845746111934,2025-06-15 01:27:11.422178,2025-06-15 01:27:16.317776,0 days 00:00:04.895598,,,,,,,,520.0,0.002,4m,1.0,1.5,0.8,278.0,436.0,0.006,3m,2.5,4.0,2.0,494.0,876.0,0.001,2m,2.5,3.5,1.3,112.0,644.0,0.007,3m,1.0,3.0,1.8,892.0,560.0,0.004,4m,3.0,2.0,0.5,658.0,362,0.01,2m,2.0,3.5,0.6,628,,,,,,,,754.0,0.003,2m,3.0,1.5,0.5,662.0,338,0.005,2m,3.0,2.5,0.5,716,478.0,0.004,4m,4.0,3.5,1.7000000000000002,308.0,,,,,,,,420.0,0.008,3m,4.0,3.5,0.8,562.0,0.2,7,COMPLETE
80,80,2.0259214007700233,2025-06-15 01:27:16.389225,2025-06-15 01:27:20.591359,0 days 00:00:04.202134,,,,,,,,476.0,0.001,1m,1.5,3.5,0.6,396.0,,,,,,,,668.0,0.007,1m,1.5,3.0,1.7000000000000002,172.0,900.0,0.003,2m,2.5,2.5,1.1,110.0,,,,,,,,412,0.009000000000000001,4m,1.5,3.5,1.4,364,,,,,,,,990.0,0.006,3m,2.5,3.0,0.8,766.0,586,0.008,3m,2.0,4.0,1.9000000000000001,444,360.0,0.003,2m,3.5,4.0,1.5,408.0,,,,,,,,498.0,0.009000000000000001,1m,3.5,1.0,0.9,470.0,0.05,5,COMPLETE
81,81,7.319097979046023,2025-06-15 01:27:20.675458,2025-06-15 01:27:26.554621,0 days 00:00:05.879163,214.0,0.003,4m,1.5,3.5,0.9,302.0,724.0,0.002,1m,1.5,3.0,1.2000000000000002,268.0,210.0,0.006,1m,2.0,1.0,1.9000000000000001,802.0,980.0,0.009000000000000001,2m,2.0,4.0,1.8,980.0,562.0,0.009000000000000001,3m,1.0,1.0,1.1,704.0,914.0,0.009000000000000001,2m,3.5,2.5,0.5,1022.0,400,0.007,2m,2.5,3.5,0.9,508,,,,,,,,464.0,0.006,3m,3.5,4.0,0.5,564.0,440,0.008,3m,2.5,3.0,2.0,780,446.0,0.003,2m,3.0,4.0,1.6,52.0,1004.0,0.007,1m,3.5,1.5,0.5,116.0,866.0,0.01,2m,2.5,1.5,1.3,596.0,0.05,9,COMPLETE
82,82,1.6947384651325226,2025-06-15 01:27:26.620504,2025-06-15 01:27:32.654257,0 days 00:00:06.033753,330.0,0.003,4m,1.0,4.0,0.7,390.0,814.0,0.002,1m,1.5,2.5,1.4,140.0,914.0,0.006,1m,2.0,1.0,1.8,852.0,958.0,0.01,2m,2.0,4.0,1.8,932.0,592.0,0.01,3m,1.0,2.0,1.4,680.0,942.0,0.009000000000000001,2m,3.5,2.0,0.5,940.0,420,0.007,2m,2.5,4.0,0.8,538,,,,,,,,482.0,0.007,3m,3.5,4.0,0.5,596.0,456,0.009000000000000001,3m,2.0,3.5,2.0,684,414.0,0.003,2m,3.5,4.0,1.6,148.0,1012.0,0.005,1m,4.0,1.5,0.6,144.0,824.0,0.01,2m,2.5,1.5,1.3,642.0,0.05,9,COMPLETE
83,83,-3.3520754289041688,2025-06-15 01:27:32.743034,2025-06-15 01:27:38.666265,0 days 00:00:05.923231,98.0,0.005,4m,2.5,3.5,1.0,196.0,748.0,0.003,1m,2.0,3.0,1.3,188.0,176.0,0.007,1m,2.0,1.0,1.9000000000000001,780.0,902.0,0.009000000000000001,2m,2.5,4.0,1.9000000000000001,902.0,536.0,0.008,3m,1.0,1.0,1.0,658.0,866.0,0.01,2m,4.0,1.0,0.7,984.0,476,0.006,2m,3.0,3.5,0.8,492,,,,,,,,434.0,0.005,3m,3.5,4.0,0.6,516.0,522,0.007,3m,2.5,3.5,2.0,652,546.0,0.002,2m,4.0,4.0,1.7000000000000002,18.0,852.0,0.006,4m,3.5,1.5,0.6,234.0,912.0,0.01,2m,2.0,1.5,1.4,766.0,0.45,9,COMPLETE
84,84,3.205457466237308,2025-06-15 01:27:38.740987,2025-06-15 01:27:45.164242,0 days 00:00:06.423255,346.0,0.002,4m,1.5,3.0,1.3,220.0,588.0,0.003,1m,1.5,3.5,1.2000000000000002,222.0,312.0,0.006,1m,4.0,2.5,1.2000000000000002,930.0,372.0,0.01,2m,2.0,4.0,1.7000000000000002,950.0,982.0,0.009000000000000001,3m,1.5,1.0,1.3,758.0,744.0,0.008,2m,4.0,1.5,0.6,838.0,376,0.007,2m,2.5,3.5,0.8,834,426.0,0.006,3m,2.5,1.0,1.2000000000000002,448.0,388.0,0.004,3m,3.5,4.0,0.5,618.0,570,0.008,3m,2.5,3.0,1.9000000000000001,600,278.0,0.003,2m,2.5,4.0,0.7,190.0,398.0,0.008,1m,3.0,1.5,0.5,76.0,788.0,0.01,2m,2.5,1.5,1.2000000000000002,688.0,0.05,10,COMPLETE
85,85,2.891201780327562,2025-06-15 01:27:45.248462,2025-06-15 01:27:50.828570,0 days 00:00:05.580108,,,,,,,,638.0,0.002,1m,1.0,4.0,0.5,894.0,360.0,0.004,3m,1.5,1.0,2.0,716.0,962.0,0.009000000000000001,2m,1.0,4.0,1.8,980.0,476.0,0.004,3m,2.0,1.5,1.1,492.0,1016.0,0.009000000000000001,2m,3.5,1.0,0.5,894.0,570,0.008,1m,2.0,3.0,2.0,472,,,,,,,,332.0,0.006,2m,3.5,3.0,0.6,478.0,372,0.01,3m,2.5,3.0,1.8,346,440.0,0.004,4m,4.0,4.0,1.6,58.0,956.0,0.007,1m,4.0,2.5,1.7000000000000002,172.0,956.0,0.009000000000000001,1m,2.0,2.0,1.1,544.0,0.1,8,COMPLETE
86,86,0.1268795122580142,2025-06-15 01:27:50.918351,2025-06-15 01:27:55.365273,0 days 00:00:04.446922,,,,,,,,894.0,0.003,1m,2.5,3.0,0.7,314.0,64.0,0.005,3m,2.5,1.5,1.7000000000000002,404.0,844.0,0.008,2m,3.0,2.0,1.9000000000000001,88.0,582.0,0.006,3m,1.0,2.5,1.2000000000000002,162.0,,,,,,,,336,0.007,2m,2.0,1.5,1.6,578,,,,,,,,878.0,0.008,2m,3.0,3.5,0.7,658.0,430,0.008,4m,2.5,2.5,2.0,476,342.0,0.002,4m,3.0,3.5,1.5,112.0,,,,,,,,326.0,0.01,2m,3.0,3.5,0.7,622.0,0.05,6,COMPLETE
87,87,2.5010077200561383,2025-06-15 01:27:55.434457,2025-06-15 01:28:01.156749,0 days 00:00:05.722292,,,,,,,,768.0,0.001,4m,1.5,4.0,1.0,526.0,142.0,0.001,1m,3.5,3.0,0.9,336.0,764.0,0.006,2m,2.5,4.0,1.6,830.0,928.0,0.005,3m,2.0,2.5,1.4,548.0,822.0,0.007,2m,2.0,3.0,0.7,310.0,610,0.006,3m,2.5,4.0,0.6,322,,,,,,,,546.0,0.005,3m,4.0,4.0,1.7000000000000002,1000.0,300,0.007,3m,3.0,1.0,1.9000000000000001,758,478.0,0.005,1m,3.5,4.0,1.8,242.0,1020.0,0.006,4m,2.5,1.0,0.7,286.0,850.0,0.006,1m,3.5,1.5,1.6,392.0,0.1,8,COMPLETE
88,88,-1.244749212971077,2025-06-15 01:28:01.246247,2025-06-15 01:28:06.151227,0 days 00:00:04.904980,,,,,,,,670.0,0.002,1m,4.0,3.5,0.6,266.0,244.0,0.007,3m,2.0,3.5,1.0,272.0,528.0,0.007,4m,3.0,3.5,1.8,358.0,680.0,0.009000000000000001,1m,1.5,1.5,1.6,44.0,694.0,0.005,3m,3.0,2.5,0.9,972.0,512,0.008,4m,2.5,1.0,1.9000000000000001,744,,,,,,,,628.0,0.007,1m,1.5,3.5,0.6,626.0,50,0.009000000000000001,2m,2.5,4.0,1.9000000000000001,370,400.0,0.004,2m,4.0,3.5,1.6,206.0,,,,,,,,654.0,0.01,4m,3.0,2.5,1.3,444.0,0.15000000000000002,7,COMPLETE
89,89,1.09406542413908,2025-06-15 01:28:06.225118,2025-06-15 01:28:12.475988,0 days 00:00:06.250870,562.0,0.007,4m,2.0,2.0,0.7,414.0,416.0,0.003,1m,1.5,4.0,2.0,436.0,194.0,0.001,3m,2.5,3.0,1.6,826.0,932.0,0.01,2m,2.0,1.0,1.2000000000000002,50.0,1024.0,0.004,3m,1.5,3.0,1.9000000000000001,92.0,930.0,0.009000000000000001,2m,4.0,1.0,0.6,478.0,440,0.009000000000000001,4m,2.0,2.5,0.9,994,,,,,,,,498.0,0.006,2m,3.0,2.5,0.5,454.0,506,0.006,3m,1.0,3.5,1.4,298,374.0,0.003,3m,3.5,4.0,1.4,164.0,894.0,0.009000000000000001,2m,3.5,4.0,1.5,708.0,900.0,0.004,1m,2.0,2.0,0.8,596.0,0.1,9,COMPLETE
90,90,2.2442365972549045,2025-06-15 01:28:12.539716,2025-06-15 01:28:17.654605,0 days 00:00:05.114889,,,,,,,,494.0,0.004,3m,2.0,4.0,1.1,292.0,566.0,0.006,3m,3.0,4.0,1.4,894.0,902.0,0.005,2m,1.5,1.5,1.6,278.0,818.0,0.008,4m,2.5,1.0,1.0,404.0,774.0,0.004,2m,3.5,1.5,1.1,584.0,314,0.01,1m,2.0,3.5,0.7,412,,,,,,,,462.0,0.003,2m,3.5,3.0,0.7,874.0,396,0.007,3m,3.0,2.5,1.8,700,330.0,0.003,4m,4.0,4.0,1.0,294.0,,,,,,,,804.0,0.007,3m,2.5,3.0,1.4,498.0,0.05,7,COMPLETE
91,91,7.580783309683137,2025-06-15 01:28:17.725372,2025-06-15 01:28:22.550035,0 days 00:00:04.824663,,,,,,,,400.0,0.003,1m,1.5,4.0,0.6,98.0,392.0,0.001,3m,2.5,3.5,1.3,130.0,938.0,0.007,2m,3.0,1.5,2.0,72.0,992.0,0.004,3m,2.0,2.5,1.5,134.0,682.0,0.003,2m,4.0,1.0,0.7,508.0,462,0.009000000000000001,4m,2.0,2.0,2.0,928,,,,,,,,812.0,0.002,2m,3.0,3.0,0.6,910.0,360,0.007,3m,3.5,1.5,2.0,546,298.0,0.004,4m,4.0,4.0,1.5,168.0,,,,,,,,720.0,0.01,1m,3.5,4.0,0.7,570.0,0.1,7,COMPLETE
92,92,2.1795528362730874,2025-06-15 01:28:22.638497,2025-06-15 01:28:27.271339,0 days 00:00:04.632842,,,,,,,,450.0,0.002,1m,1.5,4.0,0.7,166.0,286.0,0.002,3m,2.0,3.5,1.4,160.0,996.0,0.007,2m,3.0,1.5,2.0,84.0,994.0,0.003,3m,2.0,2.5,1.6,1020.0,,,,,,,,414,0.009000000000000001,4m,2.0,1.5,2.0,804,,,,,,,,954.0,0.002,2m,3.0,3.0,0.6,1022.0,344,0.008,3m,3.5,1.0,1.9000000000000001,320,326.0,0.004,4m,4.0,4.0,1.5,134.0,,,,,,,,692.0,0.01,1m,3.5,4.0,0.7,550.0,0.3,6,COMPLETE
93,93,3.196279083709164,2025-06-15 01:28:27.358384,2025-06-15 01:28:32.989293,0 days 00:00:05.630909,,,,,,,,368.0,0.004,1m,1.5,4.0,0.5,146.0,450.0,0.001,3m,2.5,3.5,1.3,54.0,872.0,0.006,2m,3.0,1.5,1.9000000000000001,28.0,938.0,0.004,3m,2.0,2.5,1.5,160.0,642.0,0.003,2m,4.0,1.0,0.8,418.0,350,0.008,4m,2.0,2.5,1.9000000000000001,852,,,,,,,,604.0,0.001,2m,3.0,3.0,0.5,546.0,480,0.006,3m,4.0,1.5,2.0,274,268.0,0.006,4m,4.0,4.0,1.7000000000000002,88.0,764.0,0.01,1m,4.0,2.0,1.9000000000000001,408.0,766.0,0.01,1m,3.5,4.0,0.6,480.0,0.15000000000000002,8,COMPLETE
