,number,value,datetime_start,datetime_complete,duration,params_AAPL_KDP_beta_win,params_AAPL_KDP_stop_loss,params_AAPL_KDP_trade_freq,params_AAPL_KDP_z_entry,params_AAPL_KDP_z_exit,params_AAPL_KDP_z_stop_scaler,params_AAPL_KDP_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ANSS_KDP_beta_win,params_ANSS_KDP_stop_loss,params_ANSS_KDP_trade_freq,params_ANSS_KDP_z_entry,params_ANSS_KDP_z_exit,params_ANSS_KDP_z_stop_scaler,params_ANSS_KDP_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EA_NTES_beta_win,params_EA_NTES_stop_loss,params_EA_NTES_trade_freq,params_EA_NTES_z_entry,params_EA_NTES_z_exit,params_EA_NTES_z_stop_scaler,params_EA_NTES_z_win,params_EBAY_KDP_beta_win,params_EBAY_KDP_stop_loss,params_EBAY_KDP_trade_freq,params_EBAY_KDP_z_entry,params_EBAY_KDP_z_exit,params_EBAY_KDP_z_stop_scaler,params_EBAY_KDP_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_OKTA_KDP_beta_win,params_OKTA_KDP_stop_loss,params_OKTA_KDP_trade_freq,params_OKTA_KDP_z_entry,params_OKTA_KDP_z_exit,params_OKTA_KDP_z_stop_scaler,params_OKTA_KDP_z_win,params_SWKS_ANSS_beta_win,params_SWKS_ANSS_stop_loss,params_SWKS_ANSS_trade_freq,params_SWKS_ANSS_z_entry,params_SWKS_ANSS_z_exit,params_SWKS_ANSS_z_stop_scaler,params_SWKS_ANSS_z_win,params_ZS_KDP_beta_win,params_ZS_KDP_stop_loss,params_ZS_KDP_trade_freq,params_ZS_KDP_z_entry,params_ZS_KDP_z_exit,params_ZS_KDP_z_stop_scaler,params_ZS_KDP_z_win,params_buffer_capital,params_pairs_to_trade,state
113,113,9.958281122172407,2025-06-15 00:57:31.487874,2025-06-15 00:57:32.106509,0 days 00:00:00.618635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,0.006,4m,1.0,2.5,1.3,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
114,114,7.89164731469958,2025-06-15 00:57:32.173018,2025-06-15 00:57:32.803126,0 days 00:00:00.630108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,0.006,4m,1.0,3.0,1.2000000000000002,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
115,115,8.047781627126964,2025-06-15 00:57:32.889649,2025-06-15 00:57:33.511986,0 days 00:00:00.622337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,0.007,4m,1.0,2.0,1.3,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
116,116,9.15179187419948,2025-06-15 00:57:33.569493,2025-06-15 00:57:34.153867,0 days 00:00:00.584374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.006,4m,1.0,4.0,1.4,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
117,117,4.399346081660878,2025-06-15 00:57:34.220376,2025-06-15 00:57:34.839471,0 days 00:00:00.619095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,0.007,3m,1.0,2.0,1.1,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
118,118,8.818291338925652,2025-06-15 00:57:34.905474,2025-06-15 00:57:36.050628,0 days 00:00:01.145154,450.0,0.001,2m,3.0,2.0,1.5,532.0,,,,,,,,,,,,,,,,,,,,,,806,0.006,4m,1.0,2.5,0.9,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
119,119,10.749016105128131,2025-06-15 00:57:36.141138,2025-06-15 00:57:37.121341,0 days 00:00:00.980203,22.0,0.006,3m,4.0,4.0,2.0,398.0,,,,,,,,,,,,,,,,,,,,,,824,0.005,4m,1.0,1.0,1.1,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
120,120,2.7450045686554168,2025-06-15 00:57:37.193341,2025-06-15 00:57:38.289564,0 days 00:00:01.096223,20.0,0.006,3m,4.0,4.0,2.0,260.0,,,,,,,,,,,,,,,,,,,,,,686,0.004,4m,2.5,1.0,1.0,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
121,121,9.81812750483362,2025-06-15 00:57:38.348708,2025-06-15 00:57:38.906823,0 days 00:00:00.558115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,0.005,4m,1.0,1.0,1.2000000000000002,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
122,122,10.823671248884935,2025-06-15 00:57:38.976335,2025-06-15 00:57:39.556950,0 days 00:00:00.580615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,0.005,4m,1.0,1.0,1.1,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
123,123,9.389545388605502,2025-06-15 00:57:39.629460,2025-06-15 00:57:40.367102,0 days 00:00:00.737642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,0.004,4m,1.0,1.0,1.1,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
124,124,-100.0,2025-06-15 00:57:40.430142,2025-06-15 00:57:41.067306,0 days 00:00:00.637164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.005,4m,3.0,1.0,1.0,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
125,125,8.237070272544797,2025-06-15 00:57:41.115315,2025-06-15 00:57:42.128893,0 days 00:00:01.013578,72.0,0.007,3m,4.0,4.0,1.9000000000000001,402.0,,,,,,,,,,,,,,,,,,,,,,808,0.005,4m,1.0,1.0,1.1,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
126,126,-0.44710721086488936,2025-06-15 00:57:42.200893,2025-06-15 00:57:44.194210,0 days 00:00:01.993317,116.0,0.005,3m,4.0,3.0,1.7000000000000002,98.0,436.0,0.006,3m,3.5,1.5,1.9000000000000001,502.0,,,,,,,,,,,,,,,754,0.005,1m,1.0,1.0,1.2000000000000002,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,0.004,4m,3.5,3.0,0.7,48.0,0.1,4,COMPLETE
127,127,8.247480369865842,2025-06-15 00:57:44.251948,2025-06-15 00:57:44.828117,0 days 00:00:00.576169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,0.004,4m,1.0,1.0,1.1,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
128,128,-6.225264751689367,2025-06-15 00:57:44.878118,2025-06-15 00:57:46.068355,0 days 00:00:01.190237,266.0,0.006,3m,3.0,2.5,1.6,324.0,,,,,,,,,,,,,,,,,,,,,,898,0.005,2m,1.5,1.0,0.8,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
129,129,8.678333839012868,2025-06-15 00:57:46.127866,2025-06-15 00:57:46.714952,0 days 00:00:00.587086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,0.005,4m,1.0,1.0,1.2000000000000002,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
130,130,5.118027113912456,2025-06-15 00:57:46.767966,2025-06-15 00:57:47.367561,0 days 00:00:00.599595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,0.005,4m,1.0,1.0,1.1,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
131,131,10.052835358780943,2025-06-15 00:57:47.425074,2025-06-15 00:57:48.014173,0 days 00:00:00.589099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.006,4m,1.0,1.0,1.3,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
132,132,9.39224060082213,2025-06-15 00:57:48.070681,2025-06-15 00:57:48.743318,0 days 00:00:00.672637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,0.005,4m,1.0,1.0,1.2000000000000002,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
133,133,9.76562202201417,2025-06-15 00:57:48.803317,2025-06-15 00:57:49.407917,0 days 00:00:00.604600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.006,4m,1.0,1.0,1.3,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
134,134,6.743192968995465,2025-06-15 00:57:49.472427,2025-06-15 00:57:50.049028,0 days 00:00:00.576601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,0.006,4m,1.0,1.0,1.3,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
135,135,9.503572943366335,2025-06-15 00:57:50.107028,2025-06-15 00:57:50.700522,0 days 00:00:00.593494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.006,4m,1.0,1.0,1.4,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
136,136,5.747663585987071,2025-06-15 00:57:50.757538,2025-06-15 00:57:54.288755,0 days 00:00:03.531217,384.0,0.007,3m,3.5,3.5,2.0,642.0,910.0,0.007,4m,1.0,2.0,1.0,396.0,160.0,0.007,1m,2.0,3.5,0.7,124.0,,,,,,,,820,0.006,4m,1.0,1.0,1.3,506,224.0,0.004,3m,2.5,2.0,0.8,334.0,,,,,,,,,,,,,,,730.0,0.007,1m,3.5,1.5,1.6,592.0,216.0,0.007,3m,3.0,3.5,1.5,814.0,0.05,7,COMPLETE
137,137,0.46987420158687176,2025-06-15 00:57:54.351266,2025-06-15 00:57:55.016884,0 days 00:00:00.665618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.005,4m,1.0,1.0,1.2000000000000002,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
138,138,8.124927240712491,2025-06-15 00:57:55.073395,2025-06-15 00:57:55.632997,0 days 00:00:00.559602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,0.006,4m,1.0,1.0,1.3,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
139,139,-5.185321395813466,2025-06-15 00:57:55.695997,2025-06-15 00:57:59.597146,0 days 00:00:03.901149,184.0,0.009000000000000001,3m,4.0,4.0,1.5,582.0,88.0,0.002,2m,3.0,3.5,1.5,16.0,376.0,0.009000000000000001,2m,1.5,1.0,2.0,604.0,,,,,,,,386,0.005,4m,1.0,1.0,1.2000000000000002,594,824.0,0.003,1m,2.5,3.0,2.0,824.0,320.0,0.008,4m,3.0,3.5,1.6,284.0,,,,,,,,160.0,0.004,4m,3.0,2.0,2.0,166.0,362.0,0.002,2m,2.0,2.5,0.5,344.0,0.05,8,COMPLETE
140,140,-5.613952337623594,2025-06-15 00:57:59.668665,2025-06-15 00:58:00.830404,0 days 00:00:01.161739,870.0,0.006,3m,3.5,3.0,1.7000000000000002,442.0,,,,,,,,,,,,,,,,,,,,,,770,0.007,3m,1.0,1.5,1.5,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
141,141,9.31648418131812,2025-06-15 00:58:00.887405,2025-06-15 00:58:01.516001,0 days 00:00:00.628596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.006,4m,1.0,1.0,1.4,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
142,142,9.563743170741166,2025-06-15 00:58:01.583506,2025-06-15 00:58:02.190124,0 days 00:00:00.606618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.006,4m,1.0,1.0,1.4,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
143,143,9.53319364102363,2025-06-15 00:58:02.247693,2025-06-15 00:58:02.821769,0 days 00:00:00.574076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,0.006,4m,1.0,1.0,1.3,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
144,144,7.5865482770521835,2025-06-15 00:58:02.886273,2025-06-15 00:58:03.563415,0 days 00:00:00.677142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,0.006,4m,1.0,1.0,1.4,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
145,145,9.64511482390737,2025-06-15 00:58:03.629952,2025-06-15 00:58:04.273097,0 days 00:00:00.643145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0.006,4m,1.0,1.0,1.5,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
146,146,8.899936613445558,2025-06-15 00:58:04.331610,2025-06-15 00:58:05.008238,0 days 00:00:00.676628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,0.006,4m,1.0,1.0,1.6,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
147,147,7.098027152071536,2025-06-15 00:58:05.082748,2025-06-15 00:58:06.259471,0 days 00:00:01.176723,324.0,0.004,3m,3.0,3.5,2.0,726.0,,,,,,,,,,,,,,,,,,,,,,896,0.007,4m,1.0,1.0,1.5,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
148,148,8.272149833203455,2025-06-15 00:58:06.313466,2025-06-15 00:58:06.851078,0 days 00:00:00.537612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.005,4m,1.0,1.0,1.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
149,149,9.779847403184105,2025-06-15 00:58:06.902078,2025-06-15 00:58:07.474672,0 days 00:00:00.572594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,0.006,4m,1.0,1.0,1.6,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
