,number,value,datetime_start,datetime_complete,duration,params_AAPL_KDP_beta_win,params_AAPL_KDP_stop_loss,params_AAPL_KDP_trade_freq,params_AAPL_KDP_z_entry,params_AAPL_KDP_z_exit,params_AAPL_KDP_z_stop_scaler,params_AAPL_KDP_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ANSS_KDP_beta_win,params_ANSS_KDP_stop_loss,params_ANSS_KDP_trade_freq,params_ANSS_KDP_z_entry,params_ANSS_KDP_z_exit,params_ANSS_KDP_z_stop_scaler,params_ANSS_KDP_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EA_NTES_beta_win,params_EA_NTES_stop_loss,params_EA_NTES_trade_freq,params_EA_NTES_z_entry,params_EA_NTES_z_exit,params_EA_NTES_z_stop_scaler,params_EA_NTES_z_win,params_EBAY_KDP_beta_win,params_EBAY_KDP_stop_loss,params_EBAY_KDP_trade_freq,params_EBAY_KDP_z_entry,params_EBAY_KDP_z_exit,params_EBAY_KDP_z_stop_scaler,params_EBAY_KDP_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_OKTA_KDP_beta_win,params_OKTA_KDP_stop_loss,params_OKTA_KDP_trade_freq,params_OKTA_KDP_z_entry,params_OKTA_KDP_z_exit,params_OKTA_KDP_z_stop_scaler,params_OKTA_KDP_z_win,params_SWKS_ANSS_beta_win,params_SWKS_ANSS_stop_loss,params_SWKS_ANSS_trade_freq,params_SWKS_ANSS_z_entry,params_SWKS_ANSS_z_exit,params_SWKS_ANSS_z_stop_scaler,params_SWKS_ANSS_z_win,params_ZS_KDP_beta_win,params_ZS_KDP_stop_loss,params_ZS_KDP_trade_freq,params_ZS_KDP_z_entry,params_ZS_KDP_z_exit,params_ZS_KDP_z_stop_scaler,params_ZS_KDP_z_win,params_buffer_capital,params_pairs_to_trade,state
23,23,1.791132291026573,2025-06-15 00:55:43.129729,2025-06-15 00:55:44.905031,0 days 00:00:01.775302,746.0,0.008,4m,3.0,3.5,2.0,310.0,838.0,0.001,1m,1.0,2.0,1.8,904.0,,,,,,,,,,,,,,,644,0.01,4m,1.5,1.5,1.4,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.0,0.001,3m,3.0,2.0,1.8,420.0,0.1,4,COMPLETE
24,24,7.777526145162709,2025-06-15 00:55:44.968035,2025-06-15 00:55:46.103281,0 days 00:00:01.135246,502.0,0.007,4m,4.0,3.0,1.5,194.0,,,,,,,,,,,,,,,,,,,,,,864,0.008,4m,1.0,1.0,1.1,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
25,25,6.482513340144401,2025-06-15 00:55:46.205302,2025-06-15 00:55:47.810839,0 days 00:00:01.605537,484.0,0.007,4m,4.0,2.5,1.5,174.0,232.0,0.01,1m,2.0,2.0,0.5,636.0,,,,,,,,,,,,,,,734,0.008,4m,2.0,1.0,1.1,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
26,26,-6.316817071050646,2025-06-15 00:55:47.882352,2025-06-15 00:55:48.987889,0 days 00:00:01.105537,294.0,0.009000000000000001,4m,4.0,3.0,1.8,224.0,,,,,,,,,,,,,,,,,,,,,,834,0.008,2m,1.5,1.0,1.4,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
27,27,2.935297915493162,2025-06-15 00:55:49.039890,2025-06-15 00:55:51.479438,0 days 00:00:02.439548,482.0,0.007,4m,4.0,3.0,1.4,90.0,666.0,0.006,4m,3.5,1.0,0.8,880.0,346.0,0.01,3m,3.0,2.0,1.5,24.0,,,,,,,,598,0.01,1m,1.0,1.5,0.7,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,0.003,4m,2.0,1.5,1.5,742.0,0.2,5,COMPLETE
28,28,0.4112659631540317,2025-06-15 00:55:51.559972,2025-06-15 00:55:53.543324,0 days 00:00:01.983352,298.0,0.009000000000000001,4m,3.5,2.5,1.8,322.0,876.0,0.004,2m,2.0,3.0,1.3,326.0,,,,,,,,,,,,,,,466,0.005,3m,1.5,2.0,1.2000000000000002,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,0.006,2m,1.5,2.0,1.0,32.0,0.1,4,COMPLETE
29,29,3.9946457968987836,2025-06-15 00:55:53.617852,2025-06-15 00:55:55.120808,0 days 00:00:01.502956,562.0,0.005,4m,3.0,2.0,1.6,122.0,506.0,0.009000000000000001,3m,3.0,4.0,1.2000000000000002,80.0,,,,,,,,,,,,,,,706,0.009000000000000001,3m,3.0,1.0,1.4,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
30,30,-0.8017186376618396,2025-06-15 00:55:55.202822,2025-06-15 00:55:58.606394,0 days 00:00:03.403572,134.0,0.008,1m,2.5,3.0,1.1,216.0,276.0,0.007,1m,1.5,2.5,1.8,188.0,808.0,0.004,3m,2.0,1.0,2.0,492.0,,,,,,,,848,0.008,4m,2.0,2.0,1.0,482,20.0,0.009000000000000001,1m,3.5,3.5,2.0,18.0,,,,,,,,,,,,,,,626.0,0.001,2m,1.5,1.0,2.0,276.0,688.0,0.008,1m,3.5,3.0,2.0,428.0,0.15000000000000002,7,COMPLETE
31,31,6.483012665275184,2025-06-15 00:55:58.662393,2025-06-15 00:55:59.658334,0 days 00:00:00.995941,704.0,0.006,4m,3.5,3.5,1.7000000000000002,424.0,,,,,,,,,,,,,,,,,,,,,,940,0.007,4m,1.0,1.5,1.0,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
32,32,8.650480767289926,2025-06-15 00:55:59.743363,2025-06-15 00:56:00.822888,0 days 00:00:01.079525,766.0,0.006,4m,3.5,3.5,1.5,496.0,,,,,,,,,,,,,,,,,,,,,,900,0.007,4m,1.0,1.5,1.1,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
33,33,5.822371145960069,2025-06-15 00:56:00.889394,2025-06-15 00:56:02.428275,0 days 00:00:01.538881,964.0,0.007,4m,4.0,4.0,1.4,542.0,696.0,0.005,1m,3.5,1.5,0.7,746.0,,,,,,,,,,,,,,,946,0.009000000000000001,4m,1.0,1.5,1.3,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
34,34,4.85381155262388,2025-06-15 00:56:02.486785,2025-06-15 00:56:03.416225,0 days 00:00:00.929440,792.0,0.005,3m,3.0,3.5,1.3,368.0,,,,,,,,,,,,,,,,,,,,,,782,0.008,4m,1.5,2.0,1.1,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
35,35,7.781986678496719,2025-06-15 00:56:03.498761,2025-06-15 00:56:04.081547,0 days 00:00:00.582786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,0.009000000000000001,4m,1.0,1.0,0.9,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
36,36,-0.39732333383441715,2025-06-15 00:56:04.155053,2025-06-15 00:56:04.798698,0 days 00:00:00.643645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,0.01,2m,1.5,1.5,0.5,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
37,37,-3.613001030319943,2025-06-15 00:56:04.896207,2025-06-15 00:56:08.497045,0 days 00:00:03.600838,886.0,0.003,2m,2.0,4.0,1.9000000000000001,670.0,510.0,0.003,4m,2.0,3.5,1.5,956.0,614.0,0.005,1m,3.5,3.0,0.9,696.0,,,,,,,,988,0.009000000000000001,1m,1.0,1.5,0.8,754,950.0,0.01,2m,3.0,2.0,1.3,288.0,48.0,0.01,2m,4.0,4.0,2.0,32.0,,,,,,,,228.0,0.005,1m,3.0,4.0,1.0,972.0,932.0,0.01,1m,2.5,1.0,0.6,762.0,0.2,8,COMPLETE
38,38,-1.0572574877091345,2025-06-15 00:56:08.564045,2025-06-15 00:56:10.160802,0 days 00:00:01.596757,912.0,0.004,3m,1.0,3.0,2.0,500.0,18.0,0.009000000000000001,3m,1.0,2.0,1.0,822.0,,,,,,,,,,,,,,,728,0.009000000000000001,4m,1.5,1.0,0.9,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
39,39,-1.0465789738079143,2025-06-15 00:56:10.263840,2025-06-15 00:56:14.869876,0 days 00:00:04.606036,1024.0,0.009000000000000001,1m,2.0,4.0,1.2000000000000002,826.0,922.0,0.009000000000000001,2m,3.0,3.0,1.2000000000000002,652.0,264.0,0.008,4m,3.5,2.0,1.3,386.0,986.0,0.005,1m,1.0,1.0,1.5,902.0,964,0.005,3m,3.5,2.0,0.7,902,94.0,0.001,3m,3.0,1.0,1.0,996.0,990.0,0.006,3m,1.0,2.5,1.3,996.0,990.0,0.001,2m,1.0,4.0,1.9000000000000001,978.0,826.0,0.007,4m,3.5,2.5,0.9,668.0,554.0,0.007,4m,1.0,1.5,1.1,992.0,0.15000000000000002,10,COMPLETE
