,number,value,datetime_start,datetime_complete,duration,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CDW_MELI_beta_win,params_CDW_MELI_stop_loss,params_CDW_MELI_trade_freq,params_CDW_MELI_z_entry,params_CDW_MELI_z_exit,params_CDW_MELI_z_stop_scaler,params_CDW_MELI_z_win,params_DXCM_KHC_beta_win,params_DXCM_KHC_stop_loss,params_DXCM_KHC_trade_freq,params_DXCM_KHC_z_entry,params_DXCM_KHC_z_exit,params_DXCM_KHC_z_stop_scaler,params_DXCM_KHC_z_win,params_DXCM_TXN_beta_win,params_DXCM_TXN_stop_loss,params_DXCM_TXN_trade_freq,params_DXCM_TXN_z_entry,params_DXCM_TXN_z_exit,params_DXCM_TXN_z_stop_scaler,params_DXCM_TXN_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_KHC_MSFT_beta_win,params_KHC_MSFT_stop_loss,params_KHC_MSFT_trade_freq,params_KHC_MSFT_z_entry,params_KHC_MSFT_z_exit,params_KHC_MSFT_z_stop_scaler,params_KHC_MSFT_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TEAM_TXN_beta_win,params_TEAM_TXN_stop_loss,params_TEAM_TXN_trade_freq,params_TEAM_TXN_z_entry,params_TEAM_TXN_z_exit,params_TEAM_TXN_z_stop_scaler,params_TEAM_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
23,23,6.748915023739422,2025-06-15 00:29:03.300695,2025-06-15 00:29:05.625572,0 days 00:00:02.324877,,,,,,,,648.0,0.009000000000000001,4m,1.0,3.5,1.4,642.0,1012.0,0.005,1m,3.5,1.5,1.0,396.0,,,,,,,,452.0,0.002,3m,2.5,3.0,0.7,984.0,848,0.005,2m,2.0,3.5,1.4,944,,,,,,,,,,,,,,,918.0,0.002,1m,1.5,4.0,1.1,298.0,,,,,,,,0.4,5,COMPLETE
24,24,3.766705840253254,2025-06-15 00:29:05.700092,2025-06-15 00:29:09.491993,0 days 00:00:03.791901,,,,,,,,470.0,0.009000000000000001,4m,2.0,4.0,1.9000000000000001,692.0,876.0,0.004,1m,3.5,3.0,1.3,672.0,,,,,,,,546.0,0.002,3m,3.0,3.5,1.1,788.0,798,0.01,2m,1.5,3.5,1.1,574,44.0,0.01,1m,4.0,4.0,0.5,978.0,30.0,0.01,2m,1.5,1.5,1.0,958.0,1020.0,0.003,1m,1.0,3.0,1.5,464.0,1012.0,0.006,3m,4.0,2.5,1.3,1010.0,0.35000000000000003,8,COMPLETE
25,25,9.736097741192582,2025-06-15 00:29:09.570998,2025-06-15 00:29:12.520978,0 days 00:00:02.949980,,,,,,,,192.0,0.01,4m,1.0,3.5,1.4,818.0,882.0,0.007,1m,2.5,1.5,0.9,376.0,,,,,,,,306.0,0.005,3m,2.5,2.0,1.4,1010.0,676,0.006,2m,1.0,3.5,1.2000000000000002,780,,,,,,,,464.0,0.008,2m,2.0,1.0,1.1,986.0,774.0,0.002,1m,1.5,3.5,1.0,252.0,,,,,,,,0.4,6,COMPLETE
26,26,7.98040993830679,2025-06-15 00:29:12.579491,2025-06-15 00:29:14.459402,0 days 00:00:01.879911,,,,,,,,210.0,0.008,4m,2.0,3.5,1.4,852.0,,,,,,,,,,,,,,,286.0,0.005,3m,2.5,2.0,1.4,868.0,668,0.006,4m,1.0,4.0,1.2000000000000002,934,,,,,,,,,,,,,,,792.0,0.002,1m,1.5,4.0,0.9,166.0,,,,,,,,0.25,4,COMPLETE
27,27,4.238603445726547,2025-06-15 00:29:14.536912,2025-06-15 00:29:18.318184,0 days 00:00:03.781272,,,,,,,,236.0,0.001,4m,1.5,2.5,1.2000000000000002,946.0,814.0,0.007,1m,2.0,1.5,0.9,298.0,,,,,,,,278.0,0.006,3m,2.0,2.0,1.4,392.0,1024,0.005,3m,1.0,3.5,1.4,760,192.0,0.008,1m,2.5,3.0,0.8,804.0,678.0,0.007,3m,2.0,1.0,1.1,1018.0,774.0,0.004,1m,1.5,2.5,1.1,32.0,26.0,0.01,3m,1.0,2.0,2.0,738.0,0.5,8,COMPLETE
28,28,-0.8677652338587877,2025-06-15 00:29:18.401699,2025-06-15 00:29:20.472459,0 days 00:00:02.070760,,,,,,,,38.0,0.007,4m,1.0,3.5,1.5,854.0,,,,,,,,,,,,,,,658.0,0.004,2m,2.0,2.5,1.1,770.0,490,0.008,1m,1.5,2.5,1.1,564,,,,,,,,,,,,,,,618.0,0.001,1m,2.0,3.5,0.6,264.0,,,,,,,,0.3,4,COMPLETE
29,29,4.460038894038154,2025-06-15 00:29:20.547964,2025-06-15 00:29:23.388772,0 days 00:00:02.840808,,,,,,,,888.0,0.009000000000000001,4m,2.0,2.5,1.3,524.0,560.0,0.008,1m,2.5,1.5,0.8,392.0,,,,,,,,322.0,0.002,3m,3.0,2.0,0.7,914.0,756,0.006,3m,3.0,2.0,1.3,466,,,,,,,,426.0,0.009000000000000001,1m,2.5,2.0,0.7,1024.0,914.0,0.003,1m,1.0,3.0,1.0,144.0,,,,,,,,0.4,6,COMPLETE
30,30,3.156291704993748,2025-06-15 00:29:23.459286,2025-06-15 00:29:26.070177,0 days 00:00:02.610891,,,,,,,,640.0,0.01,4m,3.0,4.0,1.8,282.0,910.0,0.006,3m,2.5,2.5,1.2000000000000002,158.0,,,,,,,,172.0,0.007,3m,1.5,2.5,1.6,588.0,896,0.003,2m,1.0,3.5,0.7,938,,,,,,,,,,,,,,,760.0,0.005,1m,1.5,2.0,1.2000000000000002,536.0,,,,,,,,0.45,5,COMPLETE
31,31,8.961812955715812,2025-06-15 00:29:26.124686,2025-06-15 00:29:29.065842,0 days 00:00:02.941156,,,,,,,,432.0,0.01,4m,1.0,4.0,1.5,690.0,946.0,0.004,1m,3.0,2.0,1.4,490.0,,,,,,,,484.0,0.004,3m,3.5,3.0,1.0,1006.0,768,0.007,2m,2.0,3.0,1.0,792,,,,,,,,216.0,0.007,2m,1.5,1.5,1.1,846.0,960.0,0.002,1m,1.0,3.5,1.4,328.0,,,,,,,,0.4,6,COMPLETE
32,32,0.3506925935154801,2025-06-15 00:29:29.176359,2025-06-15 00:29:32.059535,0 days 00:00:02.883176,,,,,,,,246.0,0.009000000000000001,1m,1.0,4.0,1.5,792.0,802.0,0.004,1m,3.0,1.5,1.4,524.0,,,,,,,,528.0,0.005,3m,4.0,3.0,1.0,936.0,594,0.008,2m,2.0,3.5,0.9,684,,,,,,,,160.0,0.007,2m,2.0,1.0,1.2000000000000002,868.0,902.0,0.002,3m,1.0,3.5,1.4,330.0,,,,,,,,0.5,6,COMPLETE
