,number,value,datetime_start,datetime_complete,duration,params_AEP_FB_beta_win,params_AEP_FB_stop_loss,params_AEP_FB_trade_freq,params_AEP_FB_z_entry,params_AEP_FB_z_exit,params_AEP_FB_z_stop_scaler,params_AEP_FB_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_REGN_ZM_beta_win,params_REGN_ZM_stop_loss,params_REGN_ZM_trade_freq,params_REGN_ZM_z_entry,params_REGN_ZM_z_exit,params_REGN_ZM_z_stop_scaler,params_REGN_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
74,74,5.299044862999602,2025-06-15 00:14:39.801130,2025-06-15 00:14:46.012329,0 days 00:00:06.211199,26.0,0.009000000000000001,4m,3.0,2.0,1.8,446.0,88,0.01,4m,1.5,1.5,1.5,234,42,0.002,1m,2.0,1.5,0.9,48,844.0,0.003,2m,4.0,4.0,0.7,796.0,218.0,0.007,2m,2.5,2.0,0.6,842.0,72.0,0.004,3m,2.0,3.0,1.3,848.0,358.0,0.008,4m,1.0,4.0,1.0,350.0,302.0,0.003,1m,2.0,3.5,0.5,844.0,694.0,0.008,3m,2.0,3.5,1.9000000000000001,182.0,892.0,0.001,1m,4.0,2.0,1.5,784.0,,,,,,,,0.05,9,COMPLETE
75,75,1.8473468256309258,2025-06-15 00:14:46.114033,2025-06-15 00:14:52.544422,0 days 00:00:06.430389,604.0,0.004,4m,2.0,1.0,1.1,148.0,340,0.009000000000000001,1m,2.0,1.5,1.9000000000000001,334,974,0.004,1m,1.5,1.0,1.2000000000000002,144,748.0,0.002,2m,3.0,3.5,0.5,936.0,16.0,0.005,2m,3.0,2.0,0.8,922.0,26.0,0.005,3m,1.5,3.5,1.2000000000000002,920.0,136.0,0.004,4m,2.0,4.0,0.7,112.0,366.0,0.002,1m,2.5,3.0,0.7,976.0,358.0,0.01,1m,1.5,4.0,1.7000000000000002,20.0,918.0,0.002,1m,4.0,2.5,1.3,646.0,,,,,,,,0.15000000000000002,9,COMPLETE
76,76,-1.9042250639623124,2025-06-15 00:14:52.651497,2025-06-15 00:14:59.677877,0 days 00:00:07.026380,164.0,0.007,4m,3.0,1.5,1.8,732.0,296,0.009000000000000001,4m,1.5,1.0,1.2000000000000002,376,388,0.002,1m,2.0,1.5,1.0,296,614.0,0.003,2m,4.0,4.0,0.8,894.0,68.0,0.008,2m,3.5,3.0,0.5,728.0,164.0,0.007,3m,2.5,3.0,0.9,1012.0,458.0,0.006,4m,1.5,3.5,0.9,22.0,18.0,0.002,1m,2.0,3.5,0.8,752.0,734.0,0.009000000000000001,1m,1.0,3.0,1.9000000000000001,92.0,982.0,0.003,1m,3.5,2.0,1.2000000000000002,752.0,788.0,0.01,3m,2.5,2.5,0.9,250.0,0.15000000000000002,10,COMPLETE
77,77,-2.665976613601348,2025-06-15 00:14:59.770950,2025-06-15 00:15:05.593839,0 days 00:00:05.822889,,,,,,,,872,0.01,4m,1.5,1.0,1.4,80,734,0.003,1m,1.5,1.0,1.4,78,500.0,0.004,2m,2.5,4.0,0.6,840.0,224.0,0.005,2m,3.0,2.5,0.7,1008.0,120.0,0.006,3m,2.0,3.5,1.0,806.0,626.0,0.007,4m,2.5,4.0,0.6,210.0,96.0,0.003,1m,1.5,3.0,0.6,1024.0,488.0,0.01,3m,2.0,3.5,2.0,268.0,820.0,0.001,1m,4.0,3.0,1.1,978.0,,,,,,,,0.1,8,COMPLETE
78,78,0.45686554669967766,2025-06-15 00:15:05.674936,2025-06-15 00:15:12.331352,0 days 00:00:06.656416,354.0,0.009000000000000001,4m,2.0,2.0,1.5,362.0,416,0.01,2m,1.0,1.5,1.6,988,856,0.002,1m,2.0,1.0,1.3,188,802.0,0.004,2m,3.5,3.5,0.5,720.0,166.0,0.007,2m,2.5,3.0,0.6,784.0,224.0,0.006,3m,2.5,3.5,1.4,1022.0,760.0,0.005,4m,2.0,3.5,0.5,300.0,236.0,0.004,1m,1.0,2.5,0.8,920.0,402.0,0.01,1m,2.5,4.0,1.8,158.0,704.0,0.006,1m,4.0,2.5,1.2000000000000002,868.0,1022.0,0.004,3m,4.0,1.0,0.5,574.0,0.15000000000000002,10,COMPLETE
79,79,-1.533318905136218,2025-06-15 00:15:12.425174,2025-06-15 00:15:18.586745,0 days 00:00:06.161571,498.0,0.005,1m,3.5,1.5,1.3,168.0,200,0.009000000000000001,4m,2.0,2.0,1.8,890,108,0.005,1m,2.5,1.0,1.2000000000000002,228,562.0,0.005,2m,4.0,4.0,0.6,984.0,64.0,0.006,2m,1.0,2.0,0.9,644.0,70.0,0.005,3m,3.0,3.0,0.7,878.0,508.0,0.008,4m,1.0,3.0,0.9,446.0,304.0,0.002,3m,4.0,3.0,0.7,822.0,328.0,0.008,4m,2.0,1.0,0.5,58.0,768.0,0.002,1m,3.5,2.5,1.3,556.0,,,,,,,,0.1,9,COMPLETE
80,80,-0.204017367354792,2025-06-15 00:15:18.681665,2025-06-15 00:15:24.395675,0 days 00:00:05.714010,,,,,,,,474,0.01,3m,2.0,1.0,1.9000000000000001,818,190,0.003,3m,1.5,1.5,1.0,334,664.0,0.002,2m,3.5,4.0,0.7,770.0,124.0,0.008,2m,1.0,2.5,0.5,710.0,26.0,0.007,4m,2.0,4.0,1.2000000000000002,938.0,296.0,0.006,4m,1.5,4.0,0.7,106.0,476.0,0.005,1m,2.5,3.5,0.5,92.0,18.0,0.009000000000000001,1m,2.5,2.5,1.6,24.0,1022.0,0.001,1m,2.0,2.5,1.0,702.0,,,,,,,,0.05,8,COMPLETE
81,81,4.972765591629366,2025-06-15 00:15:24.487066,2025-06-15 00:15:30.755695,0 days 00:00:06.268629,24.0,0.009000000000000001,4m,3.0,2.0,1.8,516.0,62,0.01,4m,1.5,1.5,1.5,242,40,0.002,1m,2.0,1.0,0.9,50,856.0,0.003,2m,4.0,4.0,0.7,798.0,196.0,0.007,2m,2.5,2.0,0.6,842.0,72.0,0.004,3m,2.0,3.0,1.3,846.0,384.0,0.008,4m,1.0,4.0,1.1,320.0,314.0,0.003,1m,2.0,3.5,0.5,856.0,708.0,0.008,3m,2.0,3.5,1.9000000000000001,184.0,872.0,0.001,1m,4.0,2.0,1.5,790.0,,,,,,,,0.05,9,COMPLETE
82,82,0.12674318371291815,2025-06-15 00:15:30.823041,2025-06-15 00:15:36.912275,0 days 00:00:06.089234,116.0,0.009000000000000001,4m,2.5,2.0,1.9000000000000001,416.0,106,0.01,4m,1.5,1.5,1.5,142,42,0.002,1m,2.0,1.0,0.9,50,924.0,0.003,2m,4.0,4.0,0.6,784.0,220.0,0.006,2m,2.5,2.5,0.5,842.0,116.0,0.004,3m,2.0,2.5,1.3,976.0,422.0,0.01,2m,2.5,4.0,1.2000000000000002,534.0,360.0,0.003,1m,2.0,4.0,0.6,836.0,846.0,0.007,3m,1.5,3.0,1.9000000000000001,212.0,902.0,0.002,1m,4.0,2.0,1.5,622.0,,,,,,,,0.05,9,COMPLETE
83,83,3.735018504319564,2025-06-15 00:15:37.023608,2025-06-15 00:15:43.798862,0 days 00:00:06.775254,266.0,0.007,4m,3.5,1.5,1.6,528.0,18,0.009000000000000001,4m,1.0,2.0,1.4,226,80,0.002,1m,2.0,1.5,0.7,24,842.0,0.003,2m,4.0,4.0,0.7,832.0,16.0,0.007,2m,3.0,2.0,0.6,904.0,66.0,0.004,3m,1.5,3.0,1.1,906.0,524.0,0.009000000000000001,4m,1.0,3.5,1.0,28.0,256.0,0.004,1m,2.0,3.5,0.5,922.0,84.0,0.009000000000000001,3m,2.0,3.5,2.0,162.0,952.0,0.001,1m,4.0,2.5,1.7000000000000002,762.0,426.0,0.008,2m,3.0,2.0,1.3,196.0,0.1,10,COMPLETE
84,84,3.2051816690314707,2025-06-15 00:15:43.919087,2025-06-15 00:15:50.309406,0 days 00:00:06.390319,586.0,0.009000000000000001,4m,3.0,1.0,1.8,336.0,90,0.01,4m,1.5,1.5,1.7000000000000002,190,142,0.001,1m,2.0,1.0,1.1,112,732.0,0.002,2m,4.0,4.0,0.9,882.0,148.0,0.001,2m,4.0,2.5,0.5,772.0,176.0,0.005,3m,2.0,2.5,1.5,980.0,602.0,0.007,1m,1.5,4.0,0.8,688.0,414.0,0.001,1m,2.0,3.0,0.7,704.0,574.0,0.008,3m,1.5,4.0,1.9000000000000001,80.0,816.0,0.002,1m,4.0,2.0,1.1,670.0,,,,,,,,0.2,9,COMPLETE
85,85,4.2894185001192024,2025-06-15 00:15:50.425787,2025-06-15 00:15:57.264347,0 days 00:00:06.838560,82.0,0.01,3m,2.5,2.0,1.6,228.0,142,0.01,4m,2.5,1.0,1.3,304,1012,0.003,1m,1.5,1.5,1.0,156,900.0,0.004,2m,1.0,3.5,0.5,744.0,308.0,0.005,4m,2.5,3.0,0.7,856.0,114.0,0.005,3m,2.5,4.0,1.4,874.0,344.0,0.005,4m,1.0,4.0,0.6,84.0,970.0,0.003,1m,2.5,3.0,0.6,770.0,508.0,0.01,1m,3.5,1.0,1.7000000000000002,250.0,640.0,0.003,4m,1.0,3.0,1.6,836.0,830.0,0.008,1m,3.5,1.5,0.8,746.0,0.05,10,COMPLETE
86,86,0.5413751515089205,2025-06-15 00:15:57.370967,2025-06-15 00:16:03.030794,0 days 00:00:05.659827,,,,,,,,64,0.01,4m,1.0,1.5,1.5,936,16,0.002,1m,2.0,1.0,0.8,100,764.0,0.003,1m,3.5,4.0,0.8,814.0,242.0,0.004,2m,1.0,2.0,0.8,802.0,20.0,0.006,3m,2.5,3.5,1.3,942.0,106.0,0.006,4m,2.0,3.5,1.0,898.0,286.0,0.002,4m,1.5,3.5,1.5,806.0,700.0,0.008,2m,3.0,3.5,1.8,198.0,718.0,0.001,1m,3.5,2.5,1.4,892.0,,,,,,,,0.1,8,COMPLETE
87,87,1.0030478815859876,2025-06-15 00:16:03.141341,2025-06-15 00:16:08.239400,0 days 00:00:05.098059,,,,,,,,814,0.009000000000000001,4m,1.5,2.0,1.2000000000000002,1024,56,0.001,2m,1.0,1.0,0.9,430,448.0,0.002,3m,3.0,3.5,0.7,700.0,104.0,0.007,2m,3.5,2.5,0.6,968.0,76.0,0.004,3m,2.0,3.0,1.0,988.0,,,,,,,,162.0,0.004,1m,2.0,3.0,0.8,866.0,424.0,0.009000000000000001,1m,2.5,1.0,1.6,122.0,878.0,0.002,1m,1.0,2.0,1.0,724.0,,,,,,,,0.2,7,COMPLETE
88,88,-3.84278623245157,2025-06-15 00:16:08.333378,2025-06-15 00:16:11.606710,0 days 00:00:03.273332,,,,,,,,172,0.009000000000000001,4m,2.0,1.5,1.4,270,474,0.003,1m,2.5,1.0,1.3,398,814.0,0.003,2m,1.5,4.0,0.6,918.0,,,,,,,,,,,,,,,,,,,,,,216.0,0.005,3m,2.5,3.5,0.5,188.0,,,,,,,,762.0,0.001,3m,1.5,2.5,1.2000000000000002,998.0,,,,,,,,0.15000000000000002,4,COMPLETE
89,89,-0.025907928510829976,2025-06-15 00:16:11.736820,2025-06-15 00:16:17.797962,0 days 00:00:06.061142,218.0,0.008,2m,2.5,2.5,1.5,490.0,760,0.01,4m,2.0,1.0,1.8,30,106,0.002,1m,2.0,1.5,1.1,138,788.0,0.005,4m,4.0,4.0,0.5,858.0,54.0,0.006,2m,1.5,1.5,0.5,646.0,142.0,0.006,3m,1.5,3.5,1.1,910.0,486.0,0.004,4m,1.0,4.0,0.5,170.0,334.0,0.007,1m,3.0,4.0,0.7,244.0,148.0,0.007,1m,2.0,3.0,2.0,56.0,572.0,0.002,1m,2.5,3.0,1.9000000000000001,772.0,,,,,,,,0.05,9,COMPLETE
90,90,0.5995841613967127,2025-06-15 00:16:17.898390,2025-06-15 00:16:21.826779,0 days 00:00:03.928389,,,,,,,,696,0.01,1m,2.5,2.5,2.0,92,918,0.002,2m,1.5,1.0,1.4,272,678.0,0.004,2m,1.0,3.5,0.7,440.0,,,,,,,,208.0,0.007,1m,2.5,4.0,1.6,948.0,,,,,,,,112.0,0.006,1m,1.5,3.0,0.9,980.0,,,,,,,,482.0,0.003,1m,2.0,2.5,1.4,910.0,,,,,,,,0.15000000000000002,5,COMPLETE
91,91,-3.2585659498659516,2025-06-15 00:16:21.913455,2025-06-15 00:16:27.689848,0 days 00:00:05.776393,,,,,,,,730,0.01,4m,3.5,1.0,2.0,130,992,0.001,4m,2.5,1.0,1.4,464,590.0,0.004,2m,1.5,4.0,0.6,960.0,172.0,0.003,2m,2.5,3.0,0.7,750.0,44.0,0.005,4m,3.0,2.5,1.2000000000000002,1022.0,734.0,0.005,3m,2.0,3.5,0.9,234.0,434.0,0.003,1m,3.0,2.5,0.8,142.0,650.0,0.01,1m,3.5,1.0,2.0,20.0,854.0,0.006,2m,1.5,2.0,1.0,814.0,,,,,,,,0.2,8,COMPLETE
92,92,3.8912823986089706,2025-06-15 00:16:27.785705,2025-06-15 00:16:32.781529,0 days 00:00:04.995824,,,,,,,,794,0.005,4m,3.5,1.0,1.9000000000000001,162,928,0.001,4m,2.5,1.0,1.2000000000000002,180,366.0,0.003,2m,2.0,1.5,0.8,618.0,98.0,0.001,3m,1.5,2.0,0.6,552.0,182.0,0.004,3m,2.0,3.0,1.4,736.0,,,,,,,,58.0,0.004,4m,2.0,2.5,0.6,286.0,770.0,0.004,1m,3.0,4.0,1.8,226.0,800.0,0.004,1m,4.0,3.0,1.1,576.0,,,,,,,,0.25,7,COMPLETE
93,93,-0.9102692988317045,2025-06-15 00:16:32.892501,2025-06-15 00:16:39.418198,0 days 00:00:06.525697,390.0,0.007,4m,3.0,1.5,1.9000000000000001,392.0,674,0.005,4m,3.5,1.0,1.1,68,962,0.001,3m,2.0,2.0,1.1,576,860.0,0.003,2m,3.5,3.5,0.5,758.0,136.0,0.002,2m,1.0,2.5,1.1,906.0,98.0,0.003,3m,1.5,4.0,1.5,840.0,62.0,0.008,2m,1.5,4.0,0.7,378.0,262.0,0.001,1m,2.5,3.0,0.5,726.0,472.0,0.009000000000000001,4m,2.5,3.5,1.7000000000000002,290.0,910.0,0.001,1m,1.0,1.5,1.3,854.0,598.0,0.003,4m,1.5,3.0,0.7,132.0,0.2,10,COMPLETE
94,94,2.787602427422834,2025-06-15 00:16:39.523985,2025-06-15 00:16:43.921268,0 days 00:00:04.397283,,,,,,,,848,0.009000000000000001,4m,4.0,1.5,1.9000000000000001,118,994,0.002,1m,2.5,1.5,1.3,532,298.0,0.005,1m,4.0,4.0,0.6,554.0,44.0,0.005,1m,3.0,3.5,0.5,806.0,246.0,0.005,3m,2.5,3.0,0.7,810.0,,,,,,,,386.0,0.005,2m,2.0,3.0,0.6,916.0,,,,,,,,966.0,0.008,1m,1.5,2.5,0.9,984.0,,,,,,,,0.25,6,COMPLETE
95,95,2.842180992012991,2025-06-15 00:16:44.023400,2025-06-15 00:16:49.684499,0 days 00:00:05.661099,,,,,,,,748,0.008,2m,3.5,1.0,1.3,212,770,0.004,4m,2.0,1.0,1.2000000000000002,250,194.0,0.009000000000000001,3m,2.5,3.0,0.8,652.0,858.0,0.007,4m,2.0,3.0,0.9,684.0,16.0,0.006,3m,1.0,3.5,1.3,954.0,1022.0,0.009000000000000001,4m,1.0,3.5,1.2000000000000002,76.0,350.0,0.002,1m,1.5,3.5,0.7,32.0,72.0,0.008,2m,4.0,1.5,1.9000000000000001,136.0,672.0,0.002,2m,4.0,2.5,1.2000000000000002,932.0,,,,,,,,0.1,8,COMPLETE
96,96,-2.30714804443998,2025-06-15 00:16:49.758026,2025-06-15 00:16:55.831856,0 days 00:00:06.073830,154.0,0.009000000000000001,4m,2.5,1.0,1.7000000000000002,660.0,114,0.006,4m,3.0,1.0,2.0,354,1024,0.003,1m,1.5,2.5,1.0,988,646.0,0.004,2m,1.0,4.0,1.5,814.0,108.0,0.008,2m,1.5,2.5,1.8,864.0,58.0,0.008,1m,2.0,3.5,1.0,892.0,392.0,0.006,1m,2.0,2.5,0.8,494.0,502.0,0.005,2m,3.5,3.5,1.7000000000000002,88.0,526.0,0.01,3m,1.0,1.0,2.0,360.0,992.0,0.003,4m,3.0,1.0,1.4,1022.0,,,,,,,,0.2,9,COMPLETE
97,97,4.908647763128339,2025-06-15 00:16:55.933399,2025-06-15 00:17:02.737899,0 days 00:00:06.804500,318.0,0.01,4m,2.0,2.5,1.4,778.0,552,0.004,3m,3.5,1.5,1.8,748,808,0.002,4m,2.0,3.0,1.5,210,482.0,0.004,2m,4.0,3.5,0.5,700.0,250.0,0.004,2m,1.0,2.0,0.7,714.0,944.0,0.01,2m,3.0,4.0,0.9,274.0,282.0,0.003,4m,3.5,1.5,0.5,158.0,180.0,0.006,3m,2.0,2.5,0.8,376.0,260.0,0.009000000000000001,1m,2.0,3.0,1.7000000000000002,390.0,210.0,0.001,3m,2.0,2.0,1.6,736.0,286.0,0.006,3m,3.5,1.5,1.2000000000000002,414.0,0.25,10,COMPLETE
98,98,-1.0575002806494642,2025-06-15 00:17:02.832545,2025-06-15 00:17:08.329106,0 days 00:00:05.496561,,,,,,,,712,0.01,4m,4.0,1.5,1.6,172,630,0.001,2m,2.5,1.5,1.5,488,612.0,0.002,2m,3.5,4.0,0.6,858.0,332.0,0.001,2m,2.5,3.0,1.3,774.0,320.0,0.004,3m,2.5,3.0,1.2000000000000002,856.0,20.0,0.007,3m,3.0,3.0,1.0,74.0,322.0,0.004,1m,3.0,3.0,0.9,676.0,222.0,0.01,1m,3.5,1.5,1.3,696.0,612.0,0.001,1m,1.0,3.0,0.6,690.0,,,,,,,,0.3,8,COMPLETE
99,99,3.506432797108115,2025-06-15 00:17:08.438221,2025-06-15 00:17:11.865666,0 days 00:00:03.427445,,,,,,,,622,0.009000000000000001,4m,1.5,2.0,1.7000000000000002,402,896,0.003,1m,1.0,1.0,1.4,616,828.0,0.005,4m,1.0,4.0,0.7,788.0,,,,,,,,388.0,0.006,4m,2.0,3.5,1.6,994.0,,,,,,,,214.0,0.003,2m,2.5,3.0,0.7,588.0,,,,,,,,430.0,0.002,1m,3.5,2.5,1.1,474.0,,,,,,,,0.2,5,COMPLETE
100,100,1.0702422524292423,2025-06-15 00:17:11.977556,2025-06-15 00:17:16.439947,0 days 00:00:04.462391,,,,,,,,650,0.01,4m,3.0,3.0,1.8,108,874,0.002,4m,2.0,1.0,0.9,378,774.0,0.003,2m,4.0,3.5,1.9000000000000001,910.0,192.0,0.006,3m,3.5,2.5,0.6,452.0,124.0,0.005,3m,3.5,4.0,1.1,540.0,,,,,,,,468.0,0.007,1m,2.0,3.5,0.6,842.0,606.0,0.008,1m,3.0,3.0,1.8,452.0,938.0,0.002,2m,1.5,2.0,1.0,650.0,,,,,,,,0.15000000000000002,7,COMPLETE
101,101,-0.32674336125534964,2025-06-15 00:17:16.526294,2025-06-15 00:17:18.317601,0 days 00:00:01.791307,,,,,,,,866,0.007,4m,2.5,3.5,1.9000000000000001,296,940,0.006,4m,3.5,4.0,1.6,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,0.009000000000000001,2m,3.0,2.5,1.2000000000000002,734.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
102,102,2.3764637361260696,2025-06-15 00:17:18.417244,2025-06-15 00:17:19.692864,0 days 00:00:01.275620,,,,,,,,828,0.006,4m,3.5,3.5,1.9000000000000001,248,960,0.005,4m,3.0,3.5,1.7000000000000002,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
103,103,-0.022058918602302184,2025-06-15 00:17:19.776141,2025-06-15 00:17:21.712289,0 days 00:00:01.936148,,,,,,,,890,0.007,4m,2.5,3.5,2.0,222,984,0.009000000000000001,4m,4.0,4.0,1.6,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,0.008,2m,3.0,2.5,1.0,606.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
104,104,6.055617587617754,2025-06-15 00:17:21.802871,2025-06-15 00:17:24.383535,0 days 00:00:02.580664,,,,,,,,984,0.008,4m,3.0,4.0,1.3,534,42,0.01,4m,3.5,1.0,1.8,706,704.0,0.004,2m,3.0,2.5,1.0,222.0,,,,,,,,,,,,,,,,,,,,,,602.0,0.01,2m,3.0,1.0,0.8,444.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
105,105,5.529679957746875,2025-06-15 00:17:24.483584,2025-06-15 00:17:27.398182,0 days 00:00:02.914598,,,,,,,,990,0.008,4m,3.0,4.0,1.3,532,40,0.002,4m,3.5,1.0,2.0,598,704.0,0.004,2m,3.0,2.5,1.0,182.0,,,,,,,,,,,,,,,,,,,,,,290.0,0.002,2m,3.5,1.0,0.8,16.0,,,,,,,,840.0,0.001,1m,1.0,3.5,1.2000000000000002,594.0,,,,,,,,0.4,4,COMPLETE
106,106,3.9683647645365223,2025-06-15 00:17:27.475278,2025-06-15 00:17:30.219427,0 days 00:00:02.744149,,,,,,,,966,0.008,4m,3.0,4.0,1.3,504,68,0.003,4m,3.5,1.0,1.8,746,700.0,0.004,2m,3.0,2.5,1.1,196.0,,,,,,,,,,,,,,,,,,,,,,286.0,0.002,2m,3.5,1.5,0.8,40.0,,,,,,,,790.0,0.001,1m,1.0,4.0,1.2000000000000002,552.0,,,,,,,,0.4,4,COMPLETE
107,107,2.94148217354055,2025-06-15 00:17:30.292930,2025-06-15 00:17:32.530666,0 days 00:00:02.237736,,,,,,,,1022,0.008,4m,3.0,4.0,1.2000000000000002,598,36,0.002,1m,3.5,1.0,2.0,700,734.0,0.004,2m,3.0,2.5,1.0,278.0,,,,,,,,,,,,,,,,,,,,,,372.0,0.01,2m,4.0,1.0,0.9,80.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
108,108,4.564122938766417,2025-06-15 00:17:32.607625,2025-06-15 00:17:35.811675,0 days 00:00:03.204050,,,,,,,,988,0.008,4m,3.0,4.0,1.4,560,64,0.002,4m,3.5,1.0,2.0,820,650.0,0.004,2m,3.0,2.0,1.2000000000000002,112.0,,,,,,,,,,,,,,,,,,,,,,238.0,0.002,2m,3.5,1.0,0.7,116.0,,,,,,,,838.0,0.001,1m,1.0,3.5,1.3,610.0,,,,,,,,0.45,4,COMPLETE
109,109,6.278145295320785,2025-06-15 00:17:35.897498,2025-06-15 00:17:38.698153,0 days 00:00:02.800655,,,,,,,,920,0.009000000000000001,4m,3.0,4.0,1.3,540,160,0.003,1m,4.0,1.0,2.0,238,728.0,0.005,2m,3.0,2.5,1.3,74.0,,,,,,,,,,,,,,,,,,,,,,302.0,0.001,2m,2.5,1.0,0.8,522.0,,,,,,,,740.0,0.001,1m,1.0,3.5,1.1,586.0,,,,,,,,0.35000000000000003,4,COMPLETE
110,110,3.899885072154008,2025-06-15 00:17:38.781372,2025-06-15 00:17:41.743362,0 days 00:00:02.961990,,,,,,,,918,0.009000000000000001,1m,3.0,4.0,1.3,526,154,0.004,2m,4.0,1.0,2.0,598,724.0,0.005,2m,2.5,2.0,1.3,50.0,,,,,,,,,,,,,,,,,,,,,,404.0,0.001,2m,2.5,1.0,0.8,518.0,,,,,,,,728.0,0.002,1m,1.0,3.5,1.1,586.0,,,,,,,,0.35000000000000003,4,COMPLETE
111,111,5.2254109899972905,2025-06-15 00:17:41.843360,2025-06-15 00:17:44.068231,0 days 00:00:02.224871,,,,,,,,996,0.009000000000000001,4m,3.0,4.0,1.3,476,96,0.003,1m,4.0,1.0,1.9000000000000001,640,760.0,0.006,2m,3.0,2.5,1.3,150.0,,,,,,,,,,,,,,,,,,,,,,308.0,0.001,2m,2.5,1.0,0.8,336.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
112,112,3.6344906861104316,2025-06-15 00:17:44.125951,2025-06-15 00:17:47.013634,0 days 00:00:02.887683,,,,,,,,934,0.008,4m,3.0,4.0,1.4,634,122,0.002,1m,4.0,1.0,1.9000000000000001,232,692.0,0.005,2m,3.0,2.5,1.4,96.0,,,,,,,,,,,,,,,,,,,,,,330.0,0.002,2m,3.5,1.0,0.7,462.0,,,,,,,,898.0,0.001,1m,1.0,4.0,1.1,672.0,,,,,,,,0.35000000000000003,4,COMPLETE
113,113,5.105151298034962,2025-06-15 00:17:47.099485,2025-06-15 00:17:50.397439,0 days 00:00:03.297954,,,,,,,,976,0.007,4m,3.0,4.0,1.0,536,28,0.003,1m,3.5,1.0,1.9000000000000001,260,802.0,0.003,2m,2.5,2.5,1.1,70.0,,,,,,,,90.0,0.007,3m,1.5,3.5,0.8,928.0,,,,,,,,286.0,0.001,2m,2.5,1.5,0.9,56.0,,,,,,,,756.0,0.001,1m,1.0,3.5,1.2000000000000002,524.0,,,,,,,,0.35000000000000003,5,COMPLETE
114,114,0.12642494527300924,2025-06-15 00:17:50.500575,2025-06-15 00:17:52.644453,0 days 00:00:02.143878,,,,,,,,946,0.008,4m,3.0,4.0,1.2000000000000002,498,84,0.002,1m,4.0,1.0,2.0,290,626.0,0.003,2m,3.0,2.5,1.2000000000000002,16.0,,,,,,,,,,,,,,,,,,,,,,258.0,0.002,2m,2.5,1.0,0.8,888.0,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
115,115,5.3484183869028605,2025-06-15 00:17:52.736551,2025-06-15 00:17:55.281971,0 days 00:00:02.545420,,,,,,,,900,0.009000000000000001,4m,2.5,4.0,1.3,994,52,0.003,1m,2.0,1.0,1.9000000000000001,136,534.0,0.004,2m,3.0,2.5,0.9,174.0,,,,,,,,,,,,,,,,,,,,,,354.0,0.005,2m,3.0,1.0,0.7,16.0,,,,,,,,874.0,0.009000000000000001,1m,1.5,3.5,1.2000000000000002,630.0,,,,,,,,0.4,4,COMPLETE
