,number,value,datetime_start,datetime_complete,duration,params_AEP_FB_beta_win,params_AEP_FB_stop_loss,params_AEP_FB_trade_freq,params_AEP_FB_z_entry,params_AEP_FB_z_exit,params_AEP_FB_z_stop_scaler,params_AEP_FB_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_REGN_ZM_beta_win,params_REGN_ZM_stop_loss,params_REGN_ZM_trade_freq,params_REGN_ZM_z_entry,params_REGN_ZM_z_exit,params_REGN_ZM_z_stop_scaler,params_REGN_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.3525621041337184,2025-06-15 00:10:38.283023,2025-06-15 00:10:42.716227,0 days 00:00:04.433204,,,,,,,,336,0.009000000000000001,4m,4.0,1.5,1.7000000000000002,846,134,0.004,1m,1.0,1.5,1.3,90,1018.0,0.002,2m,1.5,3.5,0.7,700.0,266.0,0.003,2m,1.5,3.0,1.0,646.0,628.0,0.004,3m,3.0,3.0,1.4,836.0,,,,,,,,186.0,0.006,1m,2.0,3.0,0.8,214.0,,,,,,,,876.0,0.003,1m,1.5,2.0,1.3,758.0,,,,,,,,0.3,6,COMPLETE
21,21,0.4310135441538996,2025-06-15 00:10:42.819597,2025-06-15 00:10:48.658666,0 days 00:00:05.839069,,,,,,,,576,0.009000000000000001,4m,3.5,1.5,1.3,1018,16,0.002,1m,1.5,1.0,0.9,226,764.0,0.003,2m,1.0,4.0,0.5,830.0,22.0,0.001,2m,1.0,3.0,0.5,824.0,48.0,0.006,3m,3.0,4.0,1.4,1024.0,48.0,0.006,4m,1.0,2.5,0.5,1008.0,432.0,0.005,1m,2.0,3.0,0.5,154.0,304.0,0.009000000000000001,1m,3.0,1.0,1.7000000000000002,24.0,748.0,0.003,1m,1.0,2.5,1.0,1002.0,,,,,,,,0.2,8,COMPLETE
22,22,4.185963731167276,2025-06-15 00:10:48.752747,2025-06-15 00:10:53.802262,0 days 00:00:05.049515,,,,,,,,450,0.01,4m,3.0,1.5,1.5,912,104,0.002,1m,2.0,1.0,1.0,386,740.0,0.005,2m,1.5,4.0,0.7,842.0,200.0,0.003,2m,1.0,2.5,0.8,770.0,18.0,0.004,4m,2.0,3.5,1.0,878.0,,,,,,,,480.0,0.004,1m,2.5,3.5,0.8,110.0,372.0,0.007,1m,2.5,2.0,1.5,234.0,518.0,0.003,1m,1.5,3.0,1.1,850.0,,,,,,,,0.2,7,COMPLETE
23,23,-2.1858535288587264,2025-06-15 00:10:53.920609,2025-06-15 00:10:59.752668,0 days 00:00:05.832059,,,,,,,,674,0.009000000000000001,4m,3.5,2.5,1.2000000000000002,682,242,0.002,1m,1.0,1.5,1.2000000000000002,166,880.0,0.003,2m,1.5,4.0,0.7,576.0,30.0,0.003,2m,1.5,2.0,0.5,982.0,180.0,0.007,3m,3.0,3.5,1.5,824.0,472.0,0.005,3m,2.0,3.0,1.1,600.0,300.0,0.004,1m,2.0,3.0,1.1,312.0,40.0,0.008,2m,3.0,1.0,2.0,194.0,796.0,0.002,1m,1.5,2.5,0.5,1022.0,,,,,,,,0.15000000000000002,8,COMPLETE
24,24,0.544560845206133,2025-06-15 00:10:59.847646,2025-06-15 00:11:06.852416,0 days 00:00:07.004770,756.0,0.001,3m,3.5,1.5,0.5,596.0,292,0.008,4m,3.0,2.0,1.8,918,84,0.004,4m,1.5,1.0,0.9,318,466.0,0.005,2m,1.0,3.0,1.1,764.0,196.0,0.002,2m,1.5,3.0,1.3,734.0,454.0,0.004,3m,2.0,3.5,1.1,1020.0,924.0,0.002,4m,4.0,2.0,1.6,782.0,256.0,0.007,1m,3.0,3.5,0.7,116.0,262.0,0.01,1m,3.5,2.0,1.4,40.0,576.0,0.004,1m,1.0,2.0,1.4,848.0,1004.0,0.01,4m,4.0,4.0,0.5,22.0,0.15000000000000002,10,COMPLETE
25,25,1.1227052254635645,2025-06-15 00:11:06.961378,2025-06-15 00:11:11.859391,0 days 00:00:04.898013,,,,,,,,456,0.01,4m,4.0,2.5,1.3,800,208,0.002,4m,2.0,1.5,1.4,446,686.0,0.003,2m,2.0,3.5,0.5,908.0,164.0,0.005,3m,3.5,2.0,0.8,502.0,150.0,0.006,3m,2.0,4.0,1.6,774.0,,,,,,,,498.0,0.006,3m,2.5,2.0,1.2000000000000002,264.0,532.0,0.007,1m,2.5,1.5,1.7000000000000002,442.0,686.0,0.001,1m,2.0,3.0,0.9,548.0,,,,,,,,0.3,7,COMPLETE
26,26,-0.42832968040346925,2025-06-15 00:11:11.940639,2025-06-15 00:11:17.928229,0 days 00:00:05.987590,64.0,0.01,2m,1.5,4.0,2.0,16.0,806,0.009000000000000001,1m,3.5,1.5,1.1,618,416,0.005,1m,1.5,2.0,1.1,206,924.0,0.006,2m,2.0,3.0,0.7,1012.0,390.0,0.003,4m,1.0,3.5,0.7,20.0,142.0,0.003,3m,3.5,3.0,1.2000000000000002,906.0,272.0,0.008,2m,2.0,1.0,0.8,184.0,630.0,0.005,2m,2.5,4.0,0.7,416.0,188.0,0.008,1m,4.0,1.0,1.0,224.0,844.0,0.004,1m,1.5,3.0,1.1,876.0,,,,,,,,0.2,9,COMPLETE
27,27,-4.194614227648372,2025-06-15 00:11:18.022963,2025-06-15 00:11:22.415277,0 days 00:00:04.392314,,,,,,,,504,0.007,2m,2.5,2.0,1.5,914,162,0.003,3m,2.0,1.0,0.9,16,816.0,0.001,3m,1.0,4.0,0.9,738.0,378.0,0.002,1m,2.0,2.5,1.4,886.0,346.0,0.008,4m,2.5,3.5,0.8,716.0,,,,,,,,376.0,0.003,1m,3.5,3.0,0.9,88.0,,,,,,,,464.0,0.002,1m,2.0,2.0,0.8,900.0,,,,,,,,0.35000000000000003,6,COMPLETE
28,28,-0.1783265922432549,2025-06-15 00:11:22.478669,2025-06-15 00:11:28.623619,0 days 00:00:06.144950,454.0,0.006,2m,2.5,2.5,1.3,1024.0,652,0.01,3m,3.0,1.0,1.7000000000000002,968,22,0.001,4m,1.0,1.5,1.1,588,482.0,0.004,4m,1.5,3.5,0.6,462.0,756.0,0.001,2m,1.5,1.5,1.0,696.0,590.0,0.005,1m,3.5,2.0,1.6,380.0,692.0,0.003,1m,3.0,4.0,1.4,280.0,92.0,0.007,1m,1.0,3.5,0.6,208.0,512.0,0.005,1m,3.0,1.5,1.7000000000000002,410.0,652.0,0.002,3m,1.0,1.5,1.5,732.0,,,,,,,,0.1,9,COMPLETE
29,29,-0.663831350815285,2025-06-15 00:11:28.703367,2025-06-15 00:11:32.188603,0 days 00:00:03.485236,,,,,,,,546,0.008,4m,4.0,1.5,1.0,182,482,0.002,3m,2.5,2.0,0.6,438,660.0,0.005,2m,2.0,4.0,1.4,888.0,,,,,,,,108.0,0.003,3m,1.5,4.0,1.2000000000000002,924.0,,,,,,,,194.0,0.004,2m,2.0,2.5,0.8,24.0,,,,,,,,894.0,0.004,4m,1.5,3.0,1.2000000000000002,576.0,,,,,,,,0.25,5,COMPLETE
