,number,value,datetime_start,datetime_complete,duration,params_ADSK_AMD_beta_win,params_ADSK_AMD_stop_loss,params_ADSK_AMD_trade_freq,params_ADSK_AMD_z_entry,params_ADSK_AMD_z_exit,params_ADSK_AMD_z_stop_scaler,params_ADSK_AMD_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ALXN_PTON_beta_win,params_ALXN_PTON_stop_loss,params_ALXN_PTON_trade_freq,params_ALXN_PTON_z_entry,params_ALXN_PTON_z_exit,params_ALXN_PTON_z_stop_scaler,params_ALXN_PTON_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_MAR_TMUS_beta_win,params_MAR_TMUS_stop_loss,params_MAR_TMUS_trade_freq,params_MAR_TMUS_z_entry,params_MAR_TMUS_z_exit,params_MAR_TMUS_z_stop_scaler,params_MAR_TMUS_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_ROST_TMUS_beta_win,params_ROST_TMUS_stop_loss,params_ROST_TMUS_trade_freq,params_ROST_TMUS_z_entry,params_ROST_TMUS_z_exit,params_ROST_TMUS_z_stop_scaler,params_ROST_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-3.2553805920350376,2025-06-15 00:10:47.872508,2025-06-15 00:10:50.717544,0 days 00:00:02.845036,992.0,0.006,2m,2.5,2.5,0.7,1016.0,652,0.003,2m,1.5,4.0,2.0,874,312.0,0.004,3m,2.0,1.0,1.3,260.0,,,,,,,,240,0.002,2m,2.5,3.5,1.9000000000000001,862,,,,,,,,,,,,,,,526.0,0.001,2m,3.0,2.5,1.6,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
21,21,2.0173346794726044,2025-06-15 00:10:50.826442,2025-06-15 00:10:54.132202,0 days 00:00:03.305760,878.0,0.004,2m,2.5,3.0,0.5,688.0,622,0.004,1m,2.0,3.5,1.5,318,374.0,0.003,3m,2.0,1.5,1.1,244.0,,,,,,,,400,0.005,3m,1.0,2.5,1.5,592,,,,,,,,,,,,,,,766.0,0.002,2m,2.0,3.0,1.7000000000000002,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
22,22,6.290171845412649,2025-06-15 00:10:54.201326,2025-06-15 00:10:56.747323,0 days 00:00:02.545997,868.0,0.007,2m,2.5,3.5,0.5,650.0,444,0.004,1m,2.0,3.5,1.4,22,476.0,0.005,2m,4.0,1.5,1.1,312.0,,,,,,,,468,0.004,3m,1.5,3.0,2.0,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
23,23,4.211799927551208,2025-06-15 00:10:56.823070,2025-06-15 00:10:59.745668,0 days 00:00:02.922598,884.0,0.007,2m,3.0,3.5,0.7,882.0,404,0.004,1m,1.0,3.0,1.7000000000000002,546,442.0,0.005,2m,2.5,1.5,1.2000000000000002,372.0,,,,,,,,434,0.001,3m,2.0,3.0,2.0,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
24,24,9.067466151197506,2025-06-15 00:10:59.825647,2025-06-15 00:11:00.993856,0 days 00:00:01.168209,,,,,,,,470,0.002,1m,2.0,3.5,1.2000000000000002,706,,,,,,,,,,,,,,,482,0.004,3m,1.5,3.5,1.8,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
25,25,2.824957558033774,2025-06-15 00:11:01.056602,2025-06-15 00:11:02.433003,0 days 00:00:01.376401,,,,,,,,442,0.002,1m,2.0,4.0,1.1,724,,,,,,,,,,,,,,,478,0.004,3m,1.5,3.0,1.8,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
26,26,-4.318927937807045,2025-06-15 00:11:02.510862,2025-06-15 00:11:03.990402,0 days 00:00:01.479540,,,,,,,,502,0.002,1m,3.0,3.0,1.2000000000000002,836,,,,,,,,,,,,,,,296,0.006,3m,1.5,4.0,1.7000000000000002,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
27,27,2.592003109327767,2025-06-15 00:11:04.064301,2025-06-15 00:11:07.355266,0 days 00:00:03.290965,766.0,0.008,2m,4.0,1.0,1.1,942.0,586,0.004,2m,2.5,3.5,1.4,938,18.0,0.002,2m,3.5,1.5,1.6,164.0,,,,,,,,606,0.004,3m,1.0,3.5,1.9000000000000001,522,,,,,,,,,,,,,,,540.0,0.007,3m,2.5,2.0,2.0,782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
28,28,-3.598131641322178,2025-06-15 00:11:07.428635,2025-06-15 00:11:10.042030,0 days 00:00:02.613395,910.0,0.007,1m,2.0,4.0,0.9,506.0,352,0.005,1m,2.0,4.0,1.2000000000000002,672,646.0,0.005,2m,4.0,1.5,1.7000000000000002,412.0,,,,,,,,506,0.003,4m,1.5,3.0,1.7000000000000002,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
29,29,3.012343218730992,2025-06-15 00:11:10.098572,2025-06-15 00:11:12.948247,0 days 00:00:02.849675,660.0,0.01,2m,3.0,2.0,1.6,784.0,520,0.002,1m,2.5,2.0,0.8,544,240.0,0.002,4m,3.5,1.0,2.0,616.0,,,,,,,,316,0.007,3m,3.0,3.5,1.9000000000000001,528,,,,,,,,,,,,,,,770.0,0.001,4m,3.5,1.0,0.9,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
