,number,value,datetime_start,datetime_complete,duration,params_ADSK_AMD_beta_win,params_ADSK_AMD_stop_loss,params_ADSK_AMD_trade_freq,params_ADSK_AMD_z_entry,params_ADSK_AMD_z_exit,params_ADSK_AMD_z_stop_scaler,params_ADSK_AMD_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ALXN_PTON_beta_win,params_ALXN_PTON_stop_loss,params_ALXN_PTON_trade_freq,params_ALXN_PTON_z_entry,params_ALXN_PTON_z_exit,params_ALXN_PTON_z_stop_scaler,params_ALXN_PTON_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_MAR_TMUS_beta_win,params_MAR_TMUS_stop_loss,params_MAR_TMUS_trade_freq,params_MAR_TMUS_z_entry,params_MAR_TMUS_z_exit,params_MAR_TMUS_z_stop_scaler,params_MAR_TMUS_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_ROST_TMUS_beta_win,params_ROST_TMUS_stop_loss,params_ROST_TMUS_trade_freq,params_ROST_TMUS_z_entry,params_ROST_TMUS_z_exit,params_ROST_TMUS_z_stop_scaler,params_ROST_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
70,70,-0.8547532727722464,2025-06-15 00:14:16.529532,2025-06-15 00:14:24.011739,0 days 00:00:07.482207,652.0,0.003,1m,2.0,4.0,0.5,296.0,552,0.005,1m,2.0,3.5,1.5,564,206.0,0.01,1m,2.5,2.5,1.2000000000000002,180.0,182.0,0.009000000000000001,1m,3.0,4.0,1.1,452.0,366,0.004,4m,2.5,3.0,1.8,604,174.0,0.004,1m,2.5,3.0,1.6,158.0,230.0,0.007,1m,3.5,3.5,1.3,364.0,578.0,0.001,1m,2.5,3.0,1.4,674.0,750.0,0.005,2m,2.0,3.0,1.0,384.0,392.0,0.005,3m,2.5,1.5,1.1,678.0,84.0,0.01,4m,2.0,1.0,0.6,542.0,708.0,0.006,3m,1.0,3.0,1.3,128.0,0.2,10,COMPLETE
71,71,3.2132608255333217,2025-06-15 00:14:24.115933,2025-06-15 00:14:31.559262,0 days 00:00:07.443329,942.0,0.005,2m,3.0,2.5,0.5,764.0,572,0.004,1m,1.5,3.5,1.6,426,168.0,0.004,3m,1.5,3.5,1.0,330.0,140.0,0.01,3m,4.0,1.0,1.9000000000000001,990.0,504,0.003,3m,3.0,3.5,2.0,546,70.0,0.002,2m,2.5,1.0,1.3,230.0,18.0,0.007,3m,2.5,2.5,1.1,498.0,266.0,0.006,2m,2.0,1.0,1.5,756.0,1014.0,0.001,1m,1.0,1.0,0.5,856.0,294.0,0.008,3m,1.0,2.0,1.0,756.0,16.0,0.01,4m,2.0,2.5,0.8,644.0,40.0,0.001,3m,1.0,1.0,2.0,98.0,0.3,10,COMPLETE
72,72,-0.12646992902923324,2025-06-15 00:14:31.632072,2025-06-15 00:14:38.768112,0 days 00:00:07.136040,976.0,0.005,2m,3.0,2.5,0.5,706.0,628,0.004,1m,1.5,3.5,1.6,398,76.0,0.004,4m,1.5,3.5,0.5,316.0,150.0,0.009000000000000001,3m,4.0,1.0,1.8,920.0,472,0.003,3m,3.0,3.5,1.9000000000000001,568,122.0,0.001,2m,3.0,1.0,1.2000000000000002,338.0,82.0,0.008,3m,2.5,2.5,1.2000000000000002,408.0,124.0,0.006,2m,2.0,1.0,1.6,762.0,830.0,0.003,1m,2.0,1.5,0.8,1024.0,340.0,0.007,3m,1.0,2.0,0.9,784.0,122.0,0.01,4m,1.5,3.0,1.0,582.0,158.0,0.002,3m,1.0,1.0,1.8,18.0,0.35000000000000003,10,COMPLETE
73,73,8.224342366858044,2025-06-15 00:14:38.874672,2025-06-15 00:14:45.318764,0 days 00:00:06.444092,934.0,0.005,2m,3.0,3.0,0.6,804.0,692,0.004,1m,1.5,3.5,1.8,370,110.0,0.004,3m,1.5,4.0,1.1,210.0,28.0,0.009000000000000001,3m,3.5,1.5,2.0,1022.0,546,0.002,3m,3.0,3.5,2.0,512,16.0,0.002,2m,2.0,1.5,1.4,204.0,16.0,0.007,3m,2.5,2.5,1.0,488.0,302.0,0.007,2m,2.0,1.5,1.8,654.0,,,,,,,,588.0,0.008,3m,1.0,2.5,1.1,918.0,16.0,0.009000000000000001,4m,2.5,2.0,0.8,18.0,122.0,0.001,3m,1.5,1.5,1.9000000000000001,136.0,0.3,9,COMPLETE
74,74,4.910476204338812,2025-06-15 00:14:45.389412,2025-06-15 00:14:52.317347,0 days 00:00:06.927935,464.0,0.006,2m,3.5,3.0,0.6,812.0,738,0.003,1m,1.0,4.0,1.9000000000000001,316,140.0,0.005,2m,1.0,4.0,1.3,126.0,472.0,0.009000000000000001,2m,3.5,2.0,2.0,708.0,544,0.001,3m,3.0,3.5,1.9000000000000001,486,162.0,0.003,2m,2.0,1.5,1.4,408.0,172.0,0.006,3m,2.0,2.0,0.9,544.0,506.0,0.007,4m,2.5,1.5,1.8,516.0,,,,,,,,598.0,0.009000000000000001,3m,1.5,2.5,1.2000000000000002,906.0,230.0,0.009000000000000001,4m,2.5,2.0,0.9,38.0,126.0,0.002,3m,1.5,1.5,1.8,242.0,0.4,9,COMPLETE
75,75,6.052224203426994,2025-06-15 00:14:52.410359,2025-06-15 00:14:58.722503,0 days 00:00:06.312144,22.0,0.004,2m,2.5,3.0,0.7,626.0,696,0.002,1m,2.0,3.5,2.0,476,100.0,0.003,3m,1.5,4.0,1.1,200.0,,,,,,,,608,0.002,3m,2.5,4.0,2.0,512,238.0,0.001,2m,1.5,1.5,1.7000000000000002,94.0,98.0,0.009000000000000001,3m,3.0,1.5,1.0,330.0,322.0,0.007,3m,1.5,1.5,1.7000000000000002,658.0,,,,,,,,464.0,0.006,3m,1.0,2.5,1.1,928.0,184.0,0.008,4m,2.5,1.5,1.2000000000000002,248.0,272.0,0.004,4m,2.0,2.0,1.9000000000000001,134.0,0.3,8,COMPLETE
76,76,5.296987442371626,2025-06-15 00:14:58.793033,2025-06-15 00:15:05.006542,0 days 00:00:06.213509,124.0,0.004,2m,2.5,3.5,0.7,640.0,806,0.001,1m,2.0,3.5,2.0,130,124.0,0.004,3m,2.0,4.0,1.1,206.0,,,,,,,,790,0.002,3m,2.5,4.0,1.9000000000000001,400,562.0,0.001,3m,1.5,2.0,1.8,128.0,354.0,0.009000000000000001,3m,3.5,1.5,1.0,268.0,318.0,0.008,3m,1.0,1.5,2.0,684.0,,,,,,,,534.0,0.006,3m,2.0,3.0,1.4,148.0,186.0,0.008,3m,3.0,1.5,1.6,216.0,306.0,0.004,4m,2.0,2.0,1.7000000000000002,134.0,0.25,8,COMPLETE
77,77,5.958073604082161,2025-06-15 00:15:05.063370,2025-06-15 00:15:11.057084,0 days 00:00:05.993714,292.0,0.005,4m,2.5,3.0,0.8,620.0,706,0.002,1m,2.0,3.5,2.0,644,66.0,0.003,3m,1.0,4.0,1.0,266.0,,,,,,,,648,0.002,3m,2.5,4.0,2.0,530,400.0,0.001,1m,1.0,1.5,1.8,62.0,480.0,0.009000000000000001,3m,3.0,1.5,0.8,672.0,414.0,0.007,3m,1.5,1.5,1.7000000000000002,532.0,,,,,,,,516.0,0.001,2m,1.5,2.5,1.4,930.0,378.0,0.009000000000000001,2m,2.5,1.5,1.2000000000000002,30.0,200.0,0.004,4m,2.5,2.5,0.8,368.0,0.3,8,COMPLETE
78,78,-1.6972197859987794,2025-06-15 00:15:11.144082,2025-06-15 00:15:13.600652,0 days 00:00:02.456570,26.0,0.004,2m,2.5,2.0,0.7,678.0,306,0.002,2m,2.5,3.0,1.8,366,38.0,0.005,3m,3.0,4.0,1.2000000000000002,232.0,,,,,,,,590,0.001,3m,2.0,1.0,1.7000000000000002,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
79,79,6.6439346072128815,2025-06-15 00:15:13.662387,2025-06-15 00:15:19.141124,0 days 00:00:05.478737,882.0,0.006,2m,2.0,3.0,0.6,566.0,888,0.003,1m,2.0,4.0,1.8,58,108.0,0.004,3m,2.0,1.0,1.1,422.0,,,,,,,,614,0.002,2m,2.5,4.0,1.8,458,246.0,0.003,4m,1.5,3.5,1.6,124.0,108.0,0.005,3m,1.5,3.5,1.0,174.0,360.0,0.009000000000000001,3m,1.5,2.0,1.9000000000000001,722.0,,,,,,,,436.0,0.004,4m,1.0,3.5,1.1,948.0,96.0,0.005,4m,3.5,1.0,1.4,192.0,,,,,,,,0.2,7,COMPLETE
80,80,3.4694046088949944,2025-06-15 00:15:19.207847,2025-06-15 00:15:24.800426,0 days 00:00:05.592579,784.0,0.005,2m,1.5,3.5,0.6,502.0,960,0.002,1m,2.5,4.0,1.9000000000000001,16,546.0,0.002,3m,2.0,4.0,1.3,498.0,,,,,,,,732,0.002,2m,1.0,4.0,1.8,346,464.0,0.007,4m,1.5,3.5,1.7000000000000002,26.0,202.0,0.004,2m,1.5,4.0,1.0,172.0,348.0,0.01,3m,1.5,2.0,1.9000000000000001,606.0,,,,,,,,456.0,0.004,4m,1.5,3.5,1.4,994.0,292.0,0.005,4m,3.5,1.0,1.4,190.0,,,,,,,,0.15000000000000002,7,COMPLETE
81,81,6.158940883248608,2025-06-15 00:15:24.863899,2025-06-15 00:15:29.993952,0 days 00:00:05.130053,886.0,0.006,2m,2.0,3.0,0.6,568.0,1020,0.003,1m,2.0,3.5,1.9000000000000001,58,116.0,0.004,3m,2.5,1.0,1.1,406.0,,,,,,,,632,0.002,2m,2.5,4.0,2.0,514,244.0,0.002,4m,1.5,3.5,1.5,104.0,,,,,,,,374.0,0.009000000000000001,3m,1.0,2.0,1.8,820.0,,,,,,,,538.0,0.004,4m,1.0,3.5,1.1,888.0,94.0,0.005,4m,3.5,1.0,1.4,92.0,,,,,,,,0.2,6,COMPLETE
82,82,5.924111943698372,2025-06-15 00:15:30.078067,2025-06-15 00:15:34.988781,0 days 00:00:04.910714,874.0,0.006,2m,2.0,3.0,2.0,568.0,870,0.003,1m,2.0,4.0,1.9000000000000001,76,106.0,0.004,3m,2.5,1.0,1.1,410.0,,,,,,,,618,0.002,2m,2.5,4.0,1.9000000000000001,452,252.0,0.003,4m,1.5,3.5,1.6,102.0,,,,,,,,366.0,0.009000000000000001,3m,1.0,2.0,1.8,722.0,,,,,,,,588.0,0.004,4m,1.0,3.5,1.1,956.0,98.0,0.005,4m,3.5,1.0,1.4,80.0,,,,,,,,0.2,6,COMPLETE
83,83,5.894189761559344,2025-06-15 00:15:35.063347,2025-06-15 00:15:40.417024,0 days 00:00:05.353677,984.0,0.007,2m,1.5,3.0,0.6,442.0,954,0.002,1m,2.0,4.0,2.0,32,422.0,0.004,3m,2.5,1.0,1.2000000000000002,292.0,,,,,,,,706,0.001,2m,2.0,4.0,1.6,506,308.0,0.001,4m,1.0,3.5,1.9000000000000001,170.0,84.0,0.004,4m,1.5,3.5,0.7,156.0,522.0,0.009000000000000001,3m,1.0,2.5,1.9000000000000001,660.0,,,,,,,,688.0,0.003,4m,1.0,4.0,1.3,876.0,138.0,0.003,4m,3.5,1.0,1.7000000000000002,268.0,,,,,,,,0.15000000000000002,7,COMPLETE
84,84,3.9756503331518283,2025-06-15 00:15:40.490539,2025-06-15 00:15:45.320921,0 days 00:00:04.830382,812.0,0.005,2m,1.0,3.0,0.8,510.0,1000,0.003,1m,2.0,3.5,1.8,146,496.0,0.004,3m,2.0,1.5,1.0,432.0,,,,,,,,558,0.002,2m,2.0,4.0,0.7,418,232.0,0.003,4m,1.0,4.0,1.5,82.0,,,,,,,,300.0,0.008,3m,1.0,2.0,1.8,816.0,,,,,,,,552.0,0.005,4m,1.5,3.5,1.1,974.0,80.0,0.006,2m,3.0,1.0,1.5,132.0,,,,,,,,0.2,6,COMPLETE
85,85,7.142905128523766,2025-06-15 00:15:45.398733,2025-06-15 00:15:50.511798,0 days 00:00:05.113065,730.0,0.006,2m,2.0,3.0,0.6,586.0,920,0.001,1m,1.5,3.0,2.0,78,34.0,0.003,3m,4.0,1.0,1.1,382.0,,,,,,,,600,0.002,2m,2.5,4.0,1.8,364,362.0,0.004,4m,1.5,3.0,1.7000000000000002,186.0,,,,,,,,256.0,0.01,3m,1.5,2.0,2.0,726.0,,,,,,,,818.0,0.004,4m,3.5,3.0,0.9,1018.0,260.0,0.005,1m,3.5,1.5,1.3,88.0,,,,,,,,0.1,6,COMPLETE
86,86,3.0683762980418807,2025-06-15 00:15:50.583795,2025-06-15 00:15:54.968927,0 days 00:00:04.385132,728.0,0.007,3m,2.0,3.5,0.6,388.0,1024,0.001,3m,1.5,3.0,1.9000000000000001,66,38.0,0.003,2m,4.0,1.0,1.2000000000000002,388.0,,,,,,,,664,0.001,2m,2.5,4.0,1.7000000000000002,372,362.0,0.004,4m,1.5,3.0,1.6,202.0,,,,,,,,248.0,0.01,3m,1.0,2.5,2.0,724.0,,,,,,,,,,,,,,,260.0,0.005,1m,4.0,1.0,1.3,76.0,,,,,,,,0.1,5,COMPLETE
87,87,1.0358558691354165,2025-06-15 00:15:55.046932,2025-06-15 00:16:00.082566,0 days 00:00:05.035634,886.0,0.006,1m,2.0,3.5,0.6,572.0,926,0.001,1m,1.5,3.0,1.8,56,224.0,0.004,3m,3.5,1.5,1.3,476.0,,,,,,,,532,0.002,2m,1.0,2.5,1.8,280,652.0,0.006,4m,2.0,3.5,0.5,142.0,,,,,,,,378.0,0.01,3m,1.5,2.0,2.0,798.0,,,,,,,,1010.0,0.003,4m,4.0,3.0,0.9,1012.0,506.0,0.003,1m,3.5,1.5,1.5,158.0,,,,,,,,0.05,6,COMPLETE
88,88,6.149193408398728,2025-06-15 00:16:00.153795,2025-06-15 00:16:01.577046,0 days 00:00:01.423251,,,,,,,,850,0.003,1m,1.5,3.5,1.8,104,,,,,,,,,,,,,,,590,0.008,2m,1.5,4.0,1.9000000000000001,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
89,89,2.7062721917221193,2025-06-15 00:16:01.638101,2025-06-15 00:16:07.166899,0 days 00:00:05.528798,822.0,0.006,2m,2.0,3.0,1.7000000000000002,536.0,892,0.005,1m,4.0,3.0,1.7000000000000002,126,264.0,0.003,4m,4.0,1.0,0.9,572.0,,,,,,,,772,0.002,2m,2.5,4.0,1.8,322,514.0,0.004,4m,1.5,3.0,1.9000000000000001,192.0,874.0,0.003,1m,1.0,3.5,1.4,66.0,432.0,0.01,3m,1.5,2.5,1.9000000000000001,706.0,,,,,,,,866.0,0.002,4m,3.0,3.5,0.7,868.0,372.0,0.006,1m,4.0,2.0,1.3,90.0,,,,,,,,0.05,7,COMPLETE
90,90,8.713273447959832,2025-06-15 00:16:07.250085,2025-06-15 00:16:12.182077,0 days 00:00:04.931992,856.0,0.008,2m,1.5,3.0,0.7,590.0,990,0.001,1m,1.5,3.5,1.9000000000000001,56,638.0,0.005,3m,3.0,1.0,1.0,876.0,,,,,,,,508,0.001,2m,2.0,3.5,1.7000000000000002,634,824.0,0.003,4m,2.0,4.0,1.5,46.0,,,,,,,,208.0,0.009000000000000001,3m,1.0,2.0,2.0,596.0,,,,,,,,768.0,0.004,4m,3.0,4.0,0.8,300.0,704.0,0.004,1m,4.0,1.5,1.6,20.0,,,,,,,,0.15000000000000002,6,COMPLETE
91,91,7.602891617146361,2025-06-15 00:16:12.235242,2025-06-15 00:16:17.095205,0 days 00:00:04.859963,844.0,0.008,2m,1.5,3.0,0.7,594.0,982,0.001,1m,1.5,3.5,1.9000000000000001,190,62.0,0.005,3m,3.0,1.0,1.0,796.0,,,,,,,,514,0.001,2m,2.0,3.5,1.7000000000000002,634,824.0,0.003,4m,2.0,4.0,1.4,62.0,,,,,,,,146.0,0.009000000000000001,3m,1.0,2.0,2.0,438.0,,,,,,,,788.0,0.004,4m,3.5,4.0,0.8,246.0,676.0,0.004,1m,4.0,1.5,1.8,28.0,,,,,,,,0.15000000000000002,6,COMPLETE
92,92,8.884579291870619,2025-06-15 00:16:17.169900,2025-06-15 00:16:21.607921,0 days 00:00:04.438021,858.0,0.008,2m,1.5,3.0,0.7,662.0,980,0.001,1m,1.5,3.5,2.0,36,632.0,0.005,3m,3.0,1.0,1.0,886.0,,,,,,,,520,0.001,2m,2.0,3.5,1.7000000000000002,638,858.0,0.004,4m,2.0,4.0,1.4,42.0,,,,,,,,162.0,0.009000000000000001,3m,1.0,2.0,2.0,436.0,,,,,,,,,,,,,,,706.0,0.004,1m,4.0,1.5,1.9000000000000001,32.0,,,,,,,,0.15000000000000002,5,COMPLETE
93,93,4.489379872270335,2025-06-15 00:16:21.679945,2025-06-15 00:16:26.758680,0 days 00:00:05.078735,836.0,0.008,2m,1.5,3.0,0.9,594.0,932,0.001,4m,1.5,3.5,2.0,210,662.0,0.006,3m,3.0,1.0,1.0,860.0,,,,,,,,518,0.001,2m,2.0,3.5,1.6,632,868.0,0.004,4m,2.0,4.0,1.4,50.0,,,,,,,,128.0,0.009000000000000001,3m,1.0,2.0,2.0,444.0,,,,,,,,790.0,0.003,4m,3.5,4.0,0.8,204.0,702.0,0.004,1m,4.0,1.5,1.9000000000000001,16.0,,,,,,,,0.1,6,COMPLETE
94,94,0.7656733805279637,2025-06-15 00:16:26.829246,2025-06-15 00:16:31.285179,0 days 00:00:04.455933,788.0,0.008,2m,1.0,3.5,0.7,656.0,984,0.001,1m,1.5,4.0,2.0,20,704.0,0.005,3m,3.0,1.0,0.9,882.0,,,,,,,,570,0.001,2m,2.0,3.5,1.7000000000000002,736,796.0,0.003,4m,2.0,4.0,1.4,54.0,,,,,,,,172.0,0.009000000000000001,3m,1.0,2.0,2.0,402.0,,,,,,,,,,,,,,,660.0,0.003,1m,4.0,1.5,1.8,54.0,,,,,,,,0.15000000000000002,5,COMPLETE
95,95,7.278537174076066,2025-06-15 00:16:31.358818,2025-06-15 00:16:36.054700,0 days 00:00:04.695882,842.0,0.009000000000000001,2m,1.5,3.0,0.8,616.0,982,0.001,1m,1.5,3.5,1.9000000000000001,116,622.0,0.005,3m,3.0,1.5,1.0,930.0,,,,,,,,486,0.001,2m,1.5,3.5,1.6,690,930.0,0.003,4m,2.0,4.0,1.6,132.0,,,,,,,,90.0,0.008,3m,1.0,2.0,1.9000000000000001,304.0,,,,,,,,904.0,0.004,4m,3.5,4.0,0.9,326.0,710.0,0.004,1m,4.0,2.0,1.9000000000000001,162.0,,,,,,,,0.15000000000000002,6,COMPLETE
96,96,2.2658681876234734,2025-06-15 00:16:36.176246,2025-06-15 00:16:41.010087,0 days 00:00:04.833841,702.0,0.01,2m,1.5,3.0,0.8,68.0,994,0.001,1m,1.5,3.5,1.9000000000000001,194,624.0,0.006,3m,3.0,1.0,1.0,816.0,,,,,,,,488,0.001,2m,1.5,3.5,1.6,694,892.0,0.003,4m,2.0,4.0,1.6,140.0,,,,,,,,74.0,0.008,3m,1.0,2.0,1.9000000000000001,234.0,,,,,,,,898.0,0.004,4m,3.5,4.0,0.6,300.0,768.0,0.004,1m,4.0,2.0,2.0,166.0,,,,,,,,0.15000000000000002,6,COMPLETE
97,97,7.536318323134952,2025-06-15 00:16:41.090182,2025-06-15 00:16:45.268612,0 days 00:00:04.178430,858.0,0.009000000000000001,2m,1.5,3.0,0.7,616.0,964,0.001,1m,1.5,3.5,1.9000000000000001,122,718.0,0.005,3m,3.0,1.5,0.9,938.0,,,,,,,,520,0.001,2m,2.0,3.5,1.5,666,930.0,0.004,4m,2.0,4.0,1.5,38.0,,,,,,,,82.0,0.01,3m,1.0,2.0,2.0,362.0,,,,,,,,,,,,,,,726.0,0.004,1m,4.0,2.0,1.8,134.0,,,,,,,,0.1,5,COMPLETE
98,98,7.259915076985377,2025-06-15 00:16:45.357092,2025-06-15 00:16:49.816177,0 days 00:00:04.459085,752.0,0.009000000000000001,2m,1.5,3.0,0.9,610.0,928,0.001,1m,1.5,3.0,1.9000000000000001,110,714.0,0.005,3m,3.0,1.5,0.8,940.0,,,,,,,,524,0.001,2m,2.0,3.5,1.7000000000000002,782,960.0,0.004,4m,2.0,4.0,1.5,36.0,,,,,,,,66.0,0.01,3m,1.0,2.0,2.0,274.0,,,,,,,,,,,,,,,718.0,0.004,1m,4.0,2.0,1.8,120.0,,,,,,,,0.1,5,COMPLETE
99,99,5.223389204064031,2025-06-15 00:16:49.881286,2025-06-15 00:16:54.099015,0 days 00:00:04.217729,748.0,0.009000000000000001,4m,1.5,3.0,1.0,488.0,930,0.001,1m,1.5,3.0,1.9000000000000001,116,740.0,0.005,3m,3.0,1.5,0.8,940.0,,,,,,,,518,0.001,2m,2.0,3.5,1.5,790,988.0,0.004,4m,2.0,4.0,1.5,26.0,,,,,,,,24.0,0.01,3m,1.0,2.0,2.0,298.0,,,,,,,,,,,,,,,706.0,0.004,1m,4.0,2.0,1.8,122.0,,,,,,,,0.1,5,COMPLETE
100,100,1.6457811263249695,2025-06-15 00:16:54.182753,2025-06-15 00:16:58.472952,0 days 00:00:04.290199,638.0,0.009000000000000001,2m,1.5,3.0,0.8,612.0,968,0.001,2m,1.5,2.5,2.0,152,836.0,0.005,3m,3.0,2.0,0.9,936.0,,,,,,,,556,0.001,2m,2.0,3.5,1.4,748,934.0,0.005,4m,2.0,4.0,1.5,70.0,,,,,,,,64.0,0.01,3m,1.0,2.0,2.0,338.0,,,,,,,,,,,,,,,864.0,0.004,1m,4.0,2.0,1.9000000000000001,44.0,,,,,,,,0.05,5,COMPLETE
101,101,7.169878946019592,2025-06-15 00:16:58.561622,2025-06-15 00:17:03.621547,0 days 00:00:05.059925,856.0,0.009000000000000001,2m,1.5,3.0,0.9,544.0,876,0.001,1m,1.5,3.5,1.9000000000000001,76,702.0,0.006,3m,3.0,1.5,0.8,928.0,,,,,,,,602,0.001,2m,2.0,3.5,1.5,662,818.0,0.004,4m,2.0,4.0,1.6,116.0,,,,,,,,146.0,0.009000000000000001,3m,1.0,2.0,1.9000000000000001,370.0,,,,,,,,754.0,0.005,4m,3.5,4.0,0.9,350.0,604.0,0.003,1m,4.0,1.5,1.7000000000000002,118.0,,,,,,,,0.1,6,COMPLETE
102,102,6.4839837106423275,2025-06-15 00:17:03.685779,2025-06-15 00:17:08.623159,0 days 00:00:04.937380,834.0,0.009000000000000001,2m,1.5,3.0,0.9,530.0,908,0.001,1m,1.5,3.5,1.9000000000000001,78,686.0,0.006,3m,3.0,1.5,0.8,912.0,,,,,,,,590,0.001,2m,2.0,3.5,1.6,662,784.0,0.004,4m,2.0,4.0,1.5,44.0,,,,,,,,132.0,0.01,3m,1.0,2.0,2.0,292.0,,,,,,,,754.0,0.005,4m,3.5,4.0,0.9,376.0,584.0,0.003,1m,4.0,1.5,1.7000000000000002,112.0,,,,,,,,0.1,6,COMPLETE
103,103,7.3914209307016145,2025-06-15 00:17:08.697783,2025-06-15 00:17:12.638271,0 days 00:00:03.940488,854.0,0.01,2m,1.5,2.5,0.9,432.0,940,0.001,1m,1.5,3.5,2.0,182,628.0,0.006,3m,3.0,1.5,0.8,988.0,,,,,,,,534,0.001,2m,2.0,3.5,1.5,702,816.0,0.005,4m,2.0,4.0,1.7000000000000002,92.0,,,,,,,,96.0,0.009000000000000001,3m,1.0,2.0,1.9000000000000001,234.0,,,,,,,,,,,,,,,658.0,0.004,1m,4.0,2.0,1.9000000000000001,54.0,,,,,,,,0.1,5,COMPLETE
104,104,7.477985684287851,2025-06-15 00:17:12.700446,2025-06-15 00:17:16.644957,0 days 00:00:03.944511,844.0,0.01,2m,1.0,2.5,1.1,428.0,952,0.001,1m,1.5,3.5,1.9000000000000001,176,602.0,0.007,3m,3.0,1.5,0.7,998.0,,,,,,,,530,0.001,2m,2.0,3.5,1.5,698,836.0,0.005,4m,2.0,4.0,1.4,86.0,,,,,,,,96.0,0.009000000000000001,3m,1.0,1.5,1.9000000000000001,196.0,,,,,,,,,,,,,,,636.0,0.002,1m,4.0,2.0,1.9000000000000001,20.0,,,,,,,,0.1,5,COMPLETE
105,105,4.8372846136980945,2025-06-15 00:17:16.710057,2025-06-15 00:17:20.623233,0 days 00:00:03.913176,790.0,0.01,2m,1.0,2.5,1.0,282.0,948,0.001,1m,1.5,3.5,2.0,186,600.0,0.007,3m,3.0,2.0,0.9,992.0,,,,,,,,494,0.001,2m,2.0,3.5,1.4,714,840.0,0.005,4m,2.0,4.0,1.4,84.0,,,,,,,,100.0,0.008,3m,1.0,1.5,1.9000000000000001,196.0,,,,,,,,,,,,,,,666.0,0.001,1m,4.0,2.0,1.9000000000000001,16.0,,,,,,,,0.15000000000000002,5,COMPLETE
106,106,5.551001347906737,2025-06-15 00:17:20.708305,2025-06-15 00:17:24.970110,0 days 00:00:04.261805,764.0,0.01,2m,1.0,2.5,1.1,454.0,984,0.001,1m,1.5,3.5,1.9000000000000001,228,610.0,0.006,3m,3.0,1.5,0.7,974.0,,,,,,,,540,0.001,2m,2.0,3.5,1.3,808,932.0,0.005,4m,2.0,4.0,1.4,16.0,,,,,,,,92.0,0.009000000000000001,3m,1.0,2.5,2.0,150.0,,,,,,,,,,,,,,,736.0,0.004,1m,4.0,2.0,2.0,56.0,,,,,,,,0.1,5,COMPLETE
107,107,3.7078176391934763,2025-06-15 00:17:25.050772,2025-06-15 00:17:28.335198,0 days 00:00:03.284426,814.0,0.01,2m,1.5,2.5,1.2000000000000002,422.0,1012,0.001,1m,1.5,3.5,1.8,148,804.0,0.007,3m,3.0,1.5,0.7,840.0,,,,,,,,518,0.001,2m,2.0,3.5,1.5,770,710.0,0.005,4m,2.0,4.0,1.5,60.0,,,,,,,,54.0,0.008,3m,1.0,1.5,1.9000000000000001,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
