date,time,PRICE_DASH_DASH_ON_PCAR,PRICE_PCAR_DASH_ON_PCAR,BETA_DASH_ON_PCAR,SPREAD_DASH_ON_PCAR,Z_DASH_ON_PCAR,Z_VOL_DASH_ON_PCAR,market_close,SIGNAL_DASH_ON_PCAR,POS_DASH_ON_PCAR,POS_BETA_DASH_ON_PCAR,PAIR_BASE_DASH_ON_PCAR,PAIR_RET_DASH_ON_PCAR,SL_DASH_ON_PCAR,LOSS_DASH_ON_PCAR,COOLDOWN_DASH_ON_PCAR,CAPITAL_DASH_ON_PCAR,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-07-09,14:42:00.000000000,111.92,101.97,,,,,0,0.0,-1.0,0.6298484505724382,176.14564650487154,-0.000147192974287312,0.0,-0.0052752841330543365,0.0,0.6203111238660702,0.4133583015166309,1.0336694253827012,-0.00008833657237390747
2024-07-09,14:43:00.000000000,111.84,101.92,,,,,0,0.0,-1.0,0.6298484505724382,176.03415408234292,0.0002753833457362338,0.0,-0.005421700622579961,0.0,0.6204819472187579,0.4133583015166309,1.0338402487353888,0.00016525917134904429
2024-07-09,14:44:00.000000000,111.87,101.89,,,,,0,0.0,-1.0,0.6298484505724382,176.04525862882574,-0.00027776117522230407,0.0,-0.005147810322900681,0.0,0.6203096014238942,0.4133583015166309,1.0336679029405251,-0.0001667044739982888
2024-07-09,14:45:00.000000000,111.89,101.755,,,,,0,0.0,-1.0,0.6298484505724382,175.98022908799845,-0.0005966053368623753,0.0,-0.005424141636277802,0.0,0.6199395214051778,0.4133583015166309,1.0332978229218086,-0.0003580260329877117
2024-07-09,14:46:00.000000000,111.88,101.75,0.6128563111767231,49.52187033776842,1.8165709242373018,0.5957355099468283,0,-1.0,-1.0,0.6298484505724382,175.9670798457456,0.00003892913302050169,0.0,-0.006017510901291989,0.0,0.6199636551132712,0.4133583015166309,1.0333219566299021,0.0000233560040078941
2024-07-09,14:47:00.000000000,112.08,101.7,,,,,0,0.0,-1.0,0.6298484505724382,176.13558742321698,-0.001315543922940361,0.0,-0.005978816024753919,0.0,0.6191480656943431,0.4133583015166309,1.032506367210974,-0.0007892887726765241
2024-07-09,14:48:00.000000000,112.01,101.77,,,,,0,0.0,-1.0,0.6298484505724382,176.10967681475705,0.0006477361742117993,0.0,-0.007286494552606437,0.0,0.6195491102936866,0.4133583015166309,1.0329074118103176,0.0003884185241655765
2024-07-09,14:49:00.000000000,111.84,101.745,,,,,0,0.0,-1.0,0.6298484505724382,175.92393060349275,0.0008758961547465389,0.0,-0.006643478104499501,0.0,0.6200917709770696,0.4133583015166309,1.0334500724937006,0.0005253720490124509
2024-07-09,14:50:00.000000000,112.04,101.63,,,,,0,0.0,-1.0,0.6298484505724382,176.05149803167689,-0.001548581656181074,0.0,-0.005773400946678775,0.0,0.6191315082353857,0.4133583015166309,1.0324898097520165,-0.0009291815514289301
2024-07-09,14:51:00.000000000,111.99,101.6,,,,,0,0.0,-1.0,0.6298484505724382,175.9826025781597,0.00017667868112795126,0.0,-0.007313042020060001,0.0,0.6192408955737054,0.4133583015166309,1.0325991970903363,0.00010594519896138257
2024-07-09,14:52:00.000000000,111.885,101.705,,,,,0,0.0,-1.0,0.6298484505724382,175.94373666546983,0.0009724488943961798,0.0,-0.00713765539755129,0.0,0.6198430756979709,0.4133583015166309,1.0332013772146018,0.0005831692741601204
