date,time,PRICE_MDLZ_MDLZ_ON_ZM,PRICE_ZM_MDLZ_ON_ZM,BETA_MDLZ_ON_ZM,SPREAD_MDLZ_ON_ZM,Z_MDLZ_ON_ZM,Z_VOL_MDLZ_ON_ZM,market_close,SIGNAL_MDLZ_ON_ZM,POS_MDLZ_ON_ZM,POS_BETA_MDLZ_ON_ZM,PAIR_BASE_MDLZ_ON_ZM,PAIR_RET_MDLZ_ON_ZM,SL_MDLZ_ON_ZM,LOSS_MDLZ_ON_ZM,COOLDOWN_MDLZ_ON_ZM,CAPITAL_MDLZ_ON_ZM,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-09-27,14:39:00.000000000,70.41,68.455,,,,,0,0.0,1.0,0.4985675285297281,104.53944016550253,-0.00009615984513107565,0.0,-0.002978755869803895,0.0,0.6388729801186703,0.34502742213593296,0.9839004022546033,-0.00006244127794758207
2023-09-27,14:40:00.000000000,70.39,68.36,,,,,0,0.0,1.0,0.4985675285297281,104.47207625029222,0.00026175685623539376,0.0,-0.0030746292782319884,0.0,0.6390402095014799,0.34502742213593296,0.9840676316374128,0.00016996576322801316
2023-09-27,14:41:00.000000000,70.4,68.385,0.5385708149103836,33.56983482235342,-1.0946180572770998,1.1124313314259315,0,0.0,1.0,0.4985675285297281,104.49454043850545,-0.000023587051216776015,0.0,-0.002813677227290645,0.0,0.6390251364273288,0.34502742213593296,0.9840525585632618,-0.000015317112022036852
2023-09-27,14:42:00.000000000,70.38,68.29,,,,,0,0.0,1.0,0.4985675285297281,104.42717652329513,0.0002618693292058853,0.0,-0.002837197912158529,0.0,0.6391924775111507,0.34502742213593296,0.9842198996470837,0.00017005299398459268
2023-09-27,14:43:00.000000000,70.39,68.27,,,,,0,0.0,1.0,0.4985675285297281,104.42720517272454,0.00019124667768980667,0.0,-0.002576071558066717,0.0,0.6393147209488791,0.34502742213593296,0.984342143084812,0.00012420337952139438
2023-09-27,14:44:00.000000000,70.39,68.22,0.5374614871140416,33.72437734908008,-1.0431272722883964,1.0864416707417155,0,0.0,1.0,0.4985675285297281,104.40227679629805,0.00023871534611364325,0.0,-0.002385317545503862,0.0,0.639467335183766,0.34502742213593296,0.9844947573196989,0.00015504185811714624
2023-09-27,14:45:00.000000000,70.37,68.19,,,,,0,0.0,1.0,0.4985675285297281,104.36731977044215,-0.000048303296621998687,0.0,-0.00214717161129363,0.0,0.6394364468033945,0.34502742213593296,0.9844638689393275,-0.00003137485511406612
2023-09-27,14:46:00.000000000,70.38,68.22,,,,,0,0.0,1.0,0.4985675285297281,104.39227679629803,-0.00004749595818695536,0.0,-0.002195371192448392,0.0,0.6394060761566539,0.34502742213593296,0.9844334982925869,-0.00003084993537988243
2023-09-27,14:47:00.000000000,70.36,68.225,0.536508784274029,33.75668819290437,-1.011112961392111,1.0607581980032454,0,0.0,1.0,0.4985675285297281,104.3747696339407,-0.0002154645758568454,0.0,-0.0022427628793769694,0.0,0.6392683067976546,0.34502742213593296,0.9842957289335875,-0.000139947857563044
2023-09-27,14:48:00.000000000,70.37,68.29,,,,,0,0.0,1.0,0.4985675285297281,104.41717652329514,-0.00021467725804828297,0.0,-0.0024577442192812438,0.0,0.6391310704303941,0.34502742213593296,0.984158492566327,-0.00013942595017573672
2023-09-27,14:49:00.000000000,70.39,68.25,,,,,0,0.0,1.0,0.4985675285297281,104.41723382215395,0.0003825299866471867,0.0,-0.0026718938555395644,0.0,0.6393755572302315,0.34502742213593296,0.9844029793661645,0.0002484221816751585
2023-09-27,14:50:00.000000000,70.325,68.12,0.5353101601685714,33.85967188931692,-0.9691369802492459,1.0354035215887045,0,0.0,1.0,0.4985675285297281,104.28742004344508,-1.7834344420082295e-6,0.0,-0.0022903859484133537,0.0,0.6393744169458414,0.34502742213593296,0.9844018390817744,-1.158351217981221e-6
2023-09-27,14:51:00.000000000,70.3,68.0387,,,,,0,0.0,1.0,0.4985675285297281,104.2218865033756,0.00014894931778915797,0.0,-0.0022921652981021667,0.0,0.6394696513290573,0.34502742213593296,0.9844970734649903,0.00009674340237390792
2023-09-27,14:52:00.000000000,70.325,68.02,,,,,0,0.0,1.0,0.4985675285297281,104.2375632905921,0.000329328262374147,0.0,-0.0021435573967704125,0.0,0.6396802467581706,0.34502742213593296,0.9847076688941035,0.00021391168627051235
2023-09-27,14:53:00.000000000,70.3,68.0101,0.5331560744319145,34.040002062278056,-0.9161483294070838,1.0102605331188657,0,0.0,1.0,0.4985675285297281,104.20762747205966,-0.000192485135244633,0.0,-0.0018149350684290022,0.0,0.6395571178193601,0.34502742213593296,0.984584539955293,-0.000125041108848867
2023-09-27,14:54:00.000000000,70.285,68.06,,,,,0,0.0,1.0,0.4985675285297281,104.21750599173329,-0.00038268330870816383,0.0,-0.0020070708556514383,0.0,0.6393123699854051,0.34502742213593296,0.984339792121338,-0.00024857980602266926
2023-09-27,14:55:00.000000000,70.3,68.04,,,,,0,0.0,1.0,0.4985675285297281,104.2225346411627,0.00023960802298009595,0.0,-0.002388986091843792,0.0,0.639465554358444,0.34502742213593296,0.984492976494377,0.0001556214370941769
2023-09-27,14:56:00.000000000,70.285,67.97,0.5306873516053295,34.21418071138575,-0.8649193172212073,0.9850698357587456,0,0.0,1.0,0.4985675285297281,104.17263491416561,0.00019093497452922584,0.0,-0.0021499504890980514,0.0,0.6395876506977778,0.34502742213593296,0.9846150728337107,0.00012401951283447945
2023-09-27,14:57:00.000000000,70.18,67.96,,,,,0,0.0,1.0,0.4985675285297281,104.06264923888033,-0.0009600825091647186,0.0,-0.001959426015310628,0.0,0.6389735937812652,0.34502742213593296,0.9840010159171981,-0.0006236517533144895
2023-09-27,14:58:00.000000000,70.22,67.93,,,,,0,0.0,1.0,0.4985675285297281,104.08769221302444,0.0005281148063963,0.0,-0.0029176273138299402,0.0,0.6393110451970373,0.34502742213593296,0.9843384673329703,0.00034293807660105454
2023-09-27,14:59:00.000000000,70.22,67.955,0.528619053373346,34.29769222801427,-0.8286124872715358,0.9592351017456541,0,0.0,1.0,0.4985675285297281,104.10015640123767,-0.00011974699359966159,0.0,-0.0023910533496176445,0.0,0.6392344896214,0.34502742213593296,0.9842619117573329,-0.00007777362988238574
2023-09-27,15:00:00.000000000,70.19,67.98,,,,,0,0.0,1.0,0.4985675285297281,104.08262058945091,-0.00040791666104297955,0.0,-0.002510514021767052,0.0,0.63897373522277,0.34502742213593296,0.984001157358703,-0.0002649237926563441
2023-09-27,15:01:00.000000000,70.19,68.0299,,,,,0,0.0,1.0,0.4985675285297281,104.10749910912455,-0.00023902664568532667,0.0,-0.0029174066023128775,0.0,0.6388210034741587,0.34502742213593296,0.9838484256100917,-0.00015521500911774337
2023-09-27,15:02:00.000000000,70.145,67.92,0.5278898898971981,34.2907186781823,-0.8070900112157556,0.9338160253250849,0,0.0,1.0,0.4985675285297281,104.00770653773912,0.00009406211338487374,0.0,-0.00315573591008389,0.0,0.6388810923278202,0.34502742213593296,0.9839085144637532,0.00006107531617406105
2023-09-27,15:03:00.000000000,70.165,67.89,,,,,0,0.0,1.0,0.4985675285297281,104.01274951188324,0.0003361003431338862,0.0,-0.003061970631887956,0.0,0.6390958204821734,0.34502742213593296,0.9841232426181064,0.00021823995950500007
2023-09-27,15:04:00.000000000,70.165,67.83,,,,,0,0.0,1.0,0.4985675285297281,103.98283546017146,0.00028759985532703596,0.0,-0.0027268994181339767,0.0,0.6392796243476843,0.34502742213593296,0.9843070464836172,0.00018676915405624003
2023-09-27,15:05:00.000000000,70.15,67.785,0.5253037973769512,34.54228209480337,-0.7440887325033143,0.909185494952866,0,0.0,1.0,0.4985675285297281,103.94539992138762,0.00007150736706623184,0.0,-0.0024400838186849905,0.0,0.6393253375504405,0.34502742213593296,0.9843527596863735,0.000046442015141075046
2023-09-27,15:06:00.000000000,70.12,67.765,,,,,0,0.0,1.0,0.4985675285297281,103.90542857081704,-0.00019268432700783936,0.0,-0.002368750935587971,0.0,0.6392021495780356,0.34502742213593296,0.9842295717139685,-0.00012514616451546098
2023-09-27,15:07:00.000000000,70.13,67.805,,,,,0,0.0,1.0,0.4985675285297281,103.93537127195822,-0.00009568991031515278,0.0,-0.0025609788414159285,0.0,0.6391409843816692,0.34502742213593296,0.9841684065176022,-0.00006214525363206347
2023-09-27,15:08:00.000000000,70.13,67.85,0.5243540073425599,34.552580601807314,-0.7206759268804707,0.8855546253654648,0,0.0,1.0,0.4985675285297281,103.95780681074204,-0.00021586047665261618,0.0,-0.0026564236918953377,0.0,0.6390030191041324,0.34502742213593296,0.9840304412400653,-0.00014018462350871751
2023-09-27,15:09:00.000000000,70.095,67.87,,,,,0,0.0,1.0,0.4985675285297281,103.93277816131265,-0.0004325923367397524,0.0,-0.002871710751663592,0.0,0.6387265912949144,0.34502742213593296,0.9837540134308473,-0.00028091387993001756
2023-09-27,15:10:00.000000000,70.09,67.9071,,,,,0,0.0,1.0,0.4985675285297281,103.9462750166211,-0.00022607742931662138,0.0,-0.0033030608083388646,0.0,0.6385821896291183,0.34502742213593296,0.9836096117650512,-0.00014678635494710671
2023-09-27,15:11:00.000000000,70.12,67.91,0.5239619193310854,34.537746058226,-0.7016496915547074,0.8630964160062524,0,0.0,1.0,0.4985675285297281,103.97772086245384,0.0002747010815221739,0.0,-0.003528391490159044,0.0,0.6387576088472503,0.34502742213593296,0.9837850309831833,0.00017834231796214263
2023-09-27,15:12:00.000000000,70.13,67.87,,,,,0,0.0,1.0,0.4985675285297281,103.96777816131265,0.0002879722780304367,0.0,-0.003254659661595105,0.0,0.6389415533309794,0.34502742213593296,0.9839689754669123,0.0001869762986180185
2023-09-27,15:13:00.000000000,70.15,67.86,,,,,0,0.0,1.0,0.4985675285297281,103.98279248602735,0.00024032133539054706,0.0,-0.0029676246353215197,0.0,0.6390951046183123,0.34502742213593296,0.9841225267542453,0.00015605297642651964
2023-09-27,15:14:00.000000000,70.135,67.82,0.5222614193114659,34.715230542296396,-0.649958238310585,0.8424684043840703,0,0.0,1.0,0.4985675285297281,103.94784978488616,0.00004753383731114459,0.0,-0.0027280164834463383,0.0,0.6391254832610416,0.34502742213593296,0.9841529053969745,0.00003086876065061604
2023-09-27,15:15:00.000000000,70.125,67.75,,,,,0,0.0,1.0,0.4985675285297281,103.90295005788909,0.00023954056816565802,0.0,-0.002680612319227005,0.0,0.6392785797424311,0.34502742213593296,0.984306001878364,0.00015556168208206327
2023-09-27,15:16:00.000000000,70.12,67.75,,,,,0,0.0,1.0,0.4985675285297281,103.89795005788909,-0.00004812182904537093,0.0,-0.002441713866459305,0.0,0.6392478164879044,0.34502742213593296,0.9842752386238374,-0.00003125375083354242
2023-09-27,15:17:00.000000000,70.1,67.75,0.5198260123195316,34.88178766535172,-0.5997399592718333,0.8232003719111501,0,0.0,1.0,0.4985675285297281,103.87795005788908,-0.0001924965794692463,0.0,-0.0024897181957672654,0.0,0.6391247634697973,0.34502742213593296,0.9841521856057303,-0.0001250189106445036
2023-09-27,15:18:00.000000000,70.11,67.68,,,,,0,0.0,1.0,0.4985675285297281,103.85305033089199,0.0004322353971373687,0.0,-0.0026817355129999942,0.0,0.6394010158157559,0.34502742213593296,0.9844284379516889,0.00028070084078368274
2023-09-27,15:19:00.000000000,70.125,67.645,,,,,0,0.0,1.0,0.4985675285297281,103.85060046739346,0.0003124594164076203,0.0,-0.0022506592568771744,0.0,0.6396008026840082,0.34502742213593296,0.9846282248199412,0.0002029470711634273
2023-09-27,15:20:00.000000000,70.1,67.72,0.5171884271276317,35.075999714916776,-0.5439403437374473,0.8059519156296846,0,0.0,1.0,0.4985675285297281,103.86299303203319,-0.0006007915636397931,0.0,-0.001938903080147436,0.0,0.6392165359176584,0.34502742213593296,0.9842439580535913,-0.000390265845182439
2023-09-27,15:21:00.000000000,70.12,67.68,,,,,0,0.0,1.0,0.4985675285297281,103.86305033089201,0.00038457105822938394,0.0,-0.002538529767174058,0.0,0.6394623600973139,0.34502742213593296,0.9844897822332469,0.0002497593992262931
2023-09-27,15:22:00.000000000,70.12,67.71,,,,,0,0.0,1.0,0.4985675285297281,103.87800735674789,-0.00014400718839119872,0.0,-0.002154934954023524,0.0,0.6393702729207543,0.34502742213593296,0.9843976950566873,-0.00009353797085707213
2023-09-27,15:23:00.000000000,70.16,67.78,0.5145186014161504,35.28592919601333,-0.484231938300337,0.7911059705498232,0,0.0,1.0,0.4985675285297281,103.95290708374498,0.000049098679621248035,0.0,-0.0022986318162908637,0.0,0.6394016651569439,0.34502742213593296,0.9844290872928768,0.00003188979042430977
2023-09-27,15:24:00.000000000,70.15,67.69,,,,,0,0.0,1.0,0.4985675285297281,103.8980360061773,0.0003354507203881663,0.0,-0.0022496459964567173,0.0,0.639616152906138,0.34502742213593296,0.984643575042071,0.00021788034502720865
2023-09-27,15:25:00.000000000,70.155,67.68,,,,,0,0.0,1.0,0.4985675285297281,103.898050330892,0.00009611033729934245,0.0,-0.0019149499214388133,0.0,0.639677626630336,0.34502742213593296,0.984705048766269,0.00006243246364079645
2023-09-27,15:26:00.000000000,70.185,67.69,0.5105597359427902,35.62521147403253,-0.398770270659788,0.7793771698148735,0,0.0,1.0,0.4985675285297281,103.9330360061773,0.00024075836490712428,0.0,-0.0018190236306222518,0.0,0.6398316343697912,0.34502742213593296,0.9848590565057241,0.00015639986780623363
