date,time,PRICE_COST_COST_ON_INTU,PRICE_INTU_COST_ON_INTU,PRICE_FAST_FAST_ON_MU,PRICE_MU_FAST_ON_MU,BETA_FAST_ON_MU,SPREAD_FAST_ON_MU,Z_FAST_ON_MU,Z_VOL_FAST_ON_MU,BETA_COST_ON_INTU,SPREAD_COST_ON_INTU,Z_COST_ON_INTU,Z_VOL_COST_ON_INTU,market_close,SIGNAL_FAST_ON_MU,SIGNAL_COST_ON_INTU,POS_FAST_ON_MU,POS_COST_ON_INTU,POS_BETA_FAST_ON_MU,POS_BETA_COST_ON_INTU,PAIR_BASE_FAST_ON_MU,PAIR_BASE_COST_ON_INTU,PAIR_RET_FAST_ON_MU,PAIR_RET_COST_ON_INTU,SL_FAST_ON_MU,SL_COST_ON_INTU,LOSS_FAST_ON_MU,LOSS_COST_ON_INTU,COOLDOWN_FAST_ON_MU,COOLDOWN_COST_ON_INTU,CAPITAL_FAST_ON_MU,CAPITAL_COST_ON_INTU,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-04-11,18:38:00.000000000,498.705,439.5,26.48,63.695,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.216409237122942,585.5930417887934,0.00008376234549652098,0.000042689941593449916,0.0,0.0,-0.0039195140758157,-0.009207310685841907,0.0,0.0,0.04655967026767169,0.9259669252503272,0.0024605247972059666,0.9749871203152048,0.00004454350274720429
2023-04-11,18:39:00.000000000,498.81,439.49,26.4875,63.71,0.031159312722172164,24.502340186470413,0.758100186681163,0.5738006682611778,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.22431815679571,585.6960648140087,-0.0002513105146597658,-0.000182681430875551,0.0,0.0,-0.0038360800380113913,-0.009165013803803745,0.0,0.0,0.04654796933297433,0.9257977682874791,0.0024605247972059666,0.9748062624176593,-0.0001854977299464703
2023-04-11,18:40:00.000000000,498.7719,439.875,26.4925,63.76,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.230681222371597,585.7340783432207,-0.00012885818548059175,0.00019500477478584047,0.0,0.0,-0.004086426505422569,-0.00934602095684356,0.0,0.0,0.046541971246108274,0.9259783032727812,0.0024605247972059666,0.9749807993160954,0.00017904778125160393
2023-04-11,18:41:00.000000000,498.815,439.88,26.495,63.765,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.233317528929188,585.778166830613,-0.00008372782164883447,-0.00007189527494581399,0.0,0.0,-0.0042147581213985985,-0.00915283870076955,0.0,0.0,0.0465380743882406,0.9259117298080736,0.0024605247972059666,0.9749103289935201,-0.00007227867730796869
2023-04-11,18:42:00.000000000,498.59,439.88,26.5,63.7431,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.237720506206948,585.553166830613,-0.00019824176583227218,0.00038410444898859643,0.0,0.0,-0.004298133050531061,-0.00922407592986041,0.0,0.0,0.04652884859819544,0.9262673766228635,0.0024605247972059666,0.9752567500182648,0.0003553362954953311
2023-04-11,18:43:00.000000000,498.71,439.855,26.5,63.76,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.238181222371598,585.6682243936513,0.000016315628754397514,-0.00021337505121539168,0.0,0.0,-0.004495522746877589,-0.008843514489474402,0.0,0.0,0.04652960774561554,0.9260697342739375,0.0024605247972059666,0.9750598668167589,-0.0002018783274273332
2023-04-11,18:44:00.000000000,498.83,439.28,26.495,63.745,,,,,0.19625011375888365,412.6212500279976,2.5951959674171534,1.5532112414413635,0,0.0,-1.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.23277230269883,585.6745483435293,0.00016258413709709427,-0.0003989904870864134,0.0,0.0,-0.004479280465403357,-0.009055002555332647,0.0,0.0,0.04653717272174033,0.9257002412595836,0.0024605247972059666,0.9746979387785298,-0.00037118545285908514
2023-04-11,18:45:00.000000000,498.9399,439.47,26.5,63.725,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.237227076468475,585.8220108644392,-0.00019641097129604842,-0.00012351139262377288,0.0,0.0,-0.0043174245882554585,-0.009450380182538853,0.0,0.0,0.04652803231044468,0.9255859067336335,0.0024605247972059666,0.9745744638412841,-0.00012668020761434447
2023-04-11,18:46:00.000000000,499.15,439.47,26.4925,63.7,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.22904554368053,586.0321108644392,0.00024147084958419187,-0.00035864135540064596,0.0,0.0,-0.004512987569994631,-0.009572724345545347,0.0,0.0,0.04653926747393616,0.9252539533495028,0.0024605247972059666,0.9742537456206448,-0.00032908539320348264
2023-04-11,18:47:00.000000000,499.08,439.47,26.49,63.76,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.228181222371596,585.9621108644392,0.00014650437559669453,0.0001194473795927977,0.0,0.0,-0.004272606475353213,-0.009927932526111904,0.0,0.0,0.046546085680258156,0.9253644725096883,0.0024605247972059666,0.9743710829871525,0.00012043819901652352
