date,time,PRICE_GOOG_GOOG_ON_GOOGL,PRICE_GOOGL_GOOG_ON_GOOGL,PRICE_ADP_ADP_ON_PAYX,PRICE_PAYX_ADP_ON_PAYX,BETA_ADP_ON_PAYX,SPREAD_ADP_ON_PAYX,Z_ADP_ON_PAYX,Z_VOL_ADP_ON_PAYX,BETA_GOOG_ON_GOOGL,SPREAD_GOOG_ON_GOOGL,Z_GOOG_ON_GOOGL,Z_VOL_GOOG_ON_GOOGL,market_close,SIGNAL_ADP_ON_PAYX,SIGNAL_GOOG_ON_GOOGL,POS_ADP_ON_PAYX,POS_GOOG_ON_GOOGL,POS_BETA_ADP_ON_PAYX,POS_BETA_GOOG_ON_GOOGL,PAIR_BASE_ADP_ON_PAYX,PAIR_BASE_GOOG_ON_GOOGL,PAIR_RET_ADP_ON_PAYX,PAIR_RET_GOOG_ON_GOOGL,SL_ADP_ON_PAYX,SL_GOOG_ON_GOOGL,LOSS_ADP_ON_PAYX,LOSS_GOOG_ON_GOOGL,COOLDOWN_ADP_ON_PAYX,COOLDOWN_GOOG_ON_GOOGL,CAPITAL_ADP_ON_PAYX,CAPITAL_GOOG_ON_GOOGL,REMAINING_CAPITAL,CAPITAL,PORT_RET
2025-03-04,20:07:00.000000000,174.55,172.67,316.25,153.07,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:08:00.000000000,174.63,172.75,316.125,152.97,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:09:00.000000000,174.59,172.66,316.105,152.99,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:10:00.000000000,174.72,172.85,316.22,153.03,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:11:00.000000000,174.56,172.69,316.565,152.93,2.507246717674379,-66.86824053394281,-2.259328799156094,1.1219121001057113,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:12:00.000000000,174.59,172.69,316.64,153.04,,,,,1.0307202495277645,-3.4050798909496507,-2.1663685871019207,1.670576579603707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:13:00.000000000,174.63,172.74,316.38,152.955,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:14:00.000000000,174.745,172.8609,316.195,152.86,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:15:00.000000000,174.7472,172.85,316.37,152.99,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:16:00.000000000,174.805,172.91,316.45,153.49,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:17:00.000000000,174.97,173.08,316.775,153.56,2.499506618428572,-67.04923632589157,-2.2518836152719794,1.1246290621662276,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:18:00.000000000,174.9612,173.08,316.8,153.5,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:19:00.000000000,175.105,173.21,316.79,153.5,,,,,1.0308194240013537,-3.4432324312745095,-2.1700015386049505,1.6723224811607427,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:20:00.000000000,174.91,173.05,316.8095,153.6,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:21:00.000000000,175.03,173.1401,317.28,153.71,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-03-04,20:22:00.000000000,174.94,173.11,317.22,153.66,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
