date,time,PRICE_MU_MU_ON_CTAS,PRICE_CTAS_MU_ON_CTAS,PRICE_INTC_INTC_ON_CTAS,PRICE_CTAS_INTC_ON_CTAS,BETA_INTC_ON_CTAS,SPREAD_INTC_ON_CTAS,Z_INTC_ON_CTAS,Z_VOL_INTC_ON_CTAS,BETA_MU_ON_CTAS,SPREAD_MU_ON_CTAS,Z_MU_ON_CTAS,Z_VOL_MU_ON_CTAS,market_close,SIGNAL_INTC_ON_CTAS,SIGNAL_MU_ON_CTAS,POS_INTC_ON_CTAS,POS_MU_ON_CTAS,POS_BETA_INTC_ON_CTAS,POS_BETA_MU_ON_CTAS,PAIR_BASE_INTC_ON_CTAS,PAIR_BASE_MU_ON_CTAS,PAIR_RET_INTC_ON_CTAS,PAIR_RET_MU_ON_CTAS,SL_INTC_ON_CTAS,SL_MU_ON_CTAS,LOSS_INTC_ON_CTAS,LOSS_MU_ON_CTAS,COOLDOWN_INTC_ON_CTAS,COOLDOWN_MU_ON_CTAS,CAPITAL_INTC_ON_CTAS,CAPITAL_MU_ON_CTAS,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-31,17:07:00.000000000,85.732,151.9775,42.755,151.9775,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.5195911768686,0.0,-0.0005624700399640083,0.0,0.0,0.0,-0.006719638057397281,0.0,0.0,0.0,0.9679676584106691,0.05091739492847103,1.0188850533391403,-0.0005343763852487787
2024-01-31,17:08:00.000000000,85.705,151.9775,42.7223,151.9775,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.4925911768686,0.0,0.00012412675039485016,0.0,0.0,0.0,-0.007278328502274611,0.0,0.0,0.0,0.968087809090595,0.05091739492847103,1.019005204019066,0.00011792368484747535
2024-01-31,17:09:00.000000000,85.725,152.0075,42.74,152.0075,,,,,0.5354890554630553,4.326647401699631,1.6836252845824717,0.09030454808913417,0,0.0,-1.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.53860573649294,0.0,0.000027654089694743355,0.0,0.0,0.0,-0.007155105187145017,0.0,0.0,0.0,0.9681145806777001,0.05091739492847103,1.019031975606171,0.00002627227711827843
2024-01-31,17:10:00.000000000,85.68,152.0075,42.69,152.0075,-0.23052822752637422,77.73201954571533,2.5886896405701636,1.6202827964277813,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.49360573649295,0.0,0.00020685983459182652,0.0,0.0,0.0,-0.00712764896537077,0.0,0.0,0.0,0.9683148446997251,0.05091739492847103,1.019232239628196,0.00019652378612161067
2024-01-31,17:11:00.000000000,85.69,152.0075,42.705,152.0075,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.50360573649294,0.0,-0.000045978363208096004,0.0,0.0,0.0,-0.006922263555064867,0.0,0.0,0.0,0.9682703231680957,0.05091739492847103,1.0191877180965667,-0.000043681439713496656
2024-01-31,17:12:00.000000000,85.675,151.9988,42.695,151.9988,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.48106151420188,0.0,0.000034278869463706855,0.0,0.0,0.0,-0.006967923643924956,0.0,0.0,0.0,0.9683035143801091,0.05091739492847103,1.0192209093085802,0.00003256633829486651
2024-01-31,17:13:00.000000000,85.635,151.9988,42.665,151.9988,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.44106151420186,0.0,0.00018392406088830855,0.0,0.0,0.0,-0.006933883627006421,0.0,0.0,0.0,0.9684816086946463,0.05091739492847103,1.0193990036231173,0.00017473573482504036
2024-01-31,17:14:00.000000000,85.665,152.0675,42.675,152.0675,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.5306348557416,0.0,0.0001360062415708877,0.0,0.0,0.0,-0.006751234874152523,0.0,0.0,0.0,0.9686133282382754,0.05091739492847103,1.0195307231667465,0.0001292129413125515
2024-01-31,17:15:00.000000000,85.62,152.2175,42.655,152.2175,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.61570765386324,0.0,0.0008048190464655004,0.0,0.0,0.0,-0.006616146842662762,0.0,0.0,0.0,0.969392886693502,0.05091739492847103,1.0203102816219731,0.0007646247803158097
2024-01-31,17:16:00.000000000,85.585,152.15,42.695,152.15,,,,,,,,,0,0.0,0.0,0.0,-1.0,0.0,0.8671519874775452,0.0,217.52217489470848,0.0,-0.0001081390649986989,0.0,0.0,0.0,-0.0058166525971903305,0.0,0.0,0.0,0.9692880574531185,0.05091739492847103,1.0202054523815896,-0.00010274251104960865
