date,time,PRICE_ANSS_ANSS_ON_NXPI,PRICE_NXPI_ANSS_ON_NXPI,BETA_ANSS_ON_NXPI,SPREAD_ANSS_ON_NXPI,Z_ANSS_ON_NXPI,market_close,SIGNAL_ANSS_ON_NXPI,POS_ANSS_ON_NXPI,POS_BETA_ANSS_ON_NXPI,PAIR_BASE_ANSS_ON_NXPI,PAIR_RET_ANSS_ON_NXPI,SL_ANSS_ON_NXPI,LOSS_ANSS_ON_NXPI,COOLDOWN_ANSS_ON_NXPI,CAPITAL_ANSS_ON_NXPI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-01-25,15:32:00.000000000,251.91,169.74,1.203424510056431,47.64072366302139,-3.909145053536274,0,1.0,1.0,1.1110355722233962,440.4971780291993,0.0007862428224652576,0.0,-0.0006091819705954515,0.0,0.5504092138009719,0.44928252249636014,0.999691736297332,0.000432735828682145
2023-01-25,15:33:00.000000000,251.74,169.67,1.2209859209163525,44.57531879812251,-3.969312454749005,0,1.0,1.0,1.1110355722233962,440.2494055391436,-0.0002093713979211801,0.0,0.0,0.0,0.5502939738544497,0.44928252249636014,0.9995764963508098,-0.00011527548176902013
2023-01-25,15:34:00.000000000,251.24,169.43,1.2397837575551478,41.183437957431295,-4.036666548343286,0,1.0,1.0,1.1110355722233962,439.48275700181,-0.0005300437882037246,0.0,-0.0002093713979210987,0.0,0.5500022939519221,0.44928252249636014,0.9992848164482823,-0.0002918034823671707
2023-01-25,15:35:00.000000000,251.085,169.5975,1.2587349699696235,37.60669593057679,-4.1019024092886545,0,1.0,1.0,1.1110355722233962,439.51385546015746,-0.0007761361575922463,0.0,-0.0007393042101160319,0.0,0.5495754172848274,0.44928252249636014,0.9988579397811875,-0.0004271821807640026
2023-01-25,15:36:00.000000000,251.085,169.4,1.2777197304798975,34.63927765670536,-4.123917125206576,0,1.0,1.0,1.1110355722233962,439.2944259346433,0.000499255081013075,0.0,-0.0015148665669793004,0.0,0.5498497956043067,0.44928252249636014,0.9991323181006668,0.00027469203432412215
2023-01-25,15:37:00.000000000,250.805,169.01,1.2966654668953026,31.65556944002492,-4.1396049284865075,0,1.0,1.0,1.1110355722233962,438.5811220614762,0.0003489775060108657,0.0,-0.001016367790796946,0.0,0.5500416808146572,0.44928252249636014,0.9993242033110173,0.00019205185026472567
2023-01-25,15:38:00.000000000,250.805,169.0,1.3162191268391443,28.363967564184605,-4.163663715583133,0,1.0,1.0,1.1110355722233962,438.5700117057539,0.000025332498740486793,0.0,-0.0006677449742830133,0.0,0.5500556147448437,0.44928252249636014,0.9993381372412038,0.000013943353058279496
2023-01-25,15:39:00.000000000,250.805,169.12,1.3359837657103315,24.86342554306873,-4.189818280483643,0,1.0,1.0,1.1110355722233962,438.7033359744208,-0.00030399768590716095,0.0,-0.0006424293911911905,0.0,0.549888399110841,0.44928252249636014,0.9991709216072011,-0.00016732638110289818
2023-01-25,15:40:00.000000000,250.805,169.27,1.3521080481008667,21.933670697966278,-4.182462864852863,0,1.0,1.0,1.1110355722233962,438.8699913102543,-0.0003798816242492445,0.0,-0.0009462317800501552,0.0,0.5496795066126309,0.44928252249636014,0.998962029108991,-0.000209065830172569
2023-01-25,15:41:00.000000000,251.56,169.37,1.3675747383157728,19.933866571457543,-4.13111392960084,0,1.0,1.0,1.1110355722233962,439.7360948674766,0.0014671689920181359,0.0,-0.0013257539482339764,0.0,0.5504859793402807,0.44928252249636014,0.9997685018366408,0.000807310692648746
2023-01-25,15:42:00.000000000,251.655,169.275,1.3828184171631355,17.57841243471023,-4.096627582139997,0,1.0,1.0,1.1110355722233962,439.7255464881154,0.0004560653121314682,0.0,0.0,0.0,0.5507370369002725,0.44928252249636014,1.0000195593966326,0.00025111569281345114
2023-01-25,15:43:00.000000000,251.74,169.52,1.3981963317624493,14.717757839629598,-4.082647174432238,0,1.0,1.0,1.1110355722233962,440.0827502033102,-0.00042572854065413366,0.0,0.0,0.0,0.5505025724252688,0.44928252249636014,0.9997850949216289,-0.0002344598891096718
2023-01-25,15:44:00.000000000,251.74,169.465,1.4121375802544207,12.43210496218461,-4.043434637823322,0,1.0,1.0,1.1110355722233962,440.0216432468378,0.00013885333257003356,0.0,-0.00042572854065414667,0.0,0.5505790115420385,0.44928252249636014,0.9998615340383986,0.00007645554745510647
2023-01-25,15:45:00.000000000,251.89,169.76,1.4257811536044898,9.84939136410182,-4.016286778189497,0,1.0,1.0,1.1110355722233962,440.49939874064376,-0.00040396988769531375,0.0,-0.00028693432191062573,0.0,0.5503565942005785,0.44928252249636014,0.9996391166969386,-0.00022244814295602254
