date,time,PRICE_FAST_FAST_ON_PCAR,PRICE_PCAR_FAST_ON_PCAR,PRICE_INTC_INTC_ON_MU,PRICE_MU_INTC_ON_MU,PRICE_ISRG_ISRG_ON_PCAR,PRICE_PCAR_ISRG_ON_PCAR,PRICE_MELI_MELI_ON_TSLA,PRICE_TSLA_MELI_ON_TSLA,BETA_MELI_ON_TSLA,SPREAD_MELI_ON_TSLA,Z_MELI_ON_TSLA,BETA_ISRG_ON_PCAR,SPREAD_ISRG_ON_PCAR,Z_ISRG_ON_PCAR,BETA_INTC_ON_MU,SPREAD_INTC_ON_MU,Z_INTC_ON_MU,BETA_FAST_ON_PCAR,SPREAD_FAST_ON_PCAR,Z_FAST_ON_PCAR,market_close,SIGNAL_MELI_ON_TSLA,SIGNAL_ISRG_ON_PCAR,SIGNAL_INTC_ON_MU,SIGNAL_FAST_ON_PCAR,POS_MELI_ON_TSLA,POS_ISRG_ON_PCAR,POS_INTC_ON_MU,POS_FAST_ON_PCAR,POS_BETA_MELI_ON_TSLA,POS_BETA_ISRG_ON_PCAR,POS_BETA_INTC_ON_MU,POS_BETA_FAST_ON_PCAR,PAIR_BASE_MELI_ON_TSLA,PAIR_BASE_ISRG_ON_PCAR,PAIR_BASE_INTC_ON_MU,PAIR_BASE_FAST_ON_PCAR,PAIR_RET_MELI_ON_TSLA,PAIR_RET_ISRG_ON_PCAR,PAIR_RET_INTC_ON_MU,PAIR_RET_FAST_ON_PCAR,SL_MELI_ON_TSLA,SL_ISRG_ON_PCAR,SL_INTC_ON_MU,SL_FAST_ON_PCAR,LOSS_MELI_ON_TSLA,LOSS_ISRG_ON_PCAR,LOSS_INTC_ON_MU,LOSS_FAST_ON_PCAR,COOLDOWN_MELI_ON_TSLA,COOLDOWN_ISRG_ON_PCAR,COOLDOWN_INTC_ON_MU,COOLDOWN_FAST_ON_PCAR,CAPITAL_MELI_ON_TSLA,CAPITAL_ISRG_ON_PCAR,CAPITAL_INTC_ON_MU,CAPITAL_FAST_ON_PCAR,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-08-06,14:57:00.000000000,27.6525,53.5533,54.04,82.295,338.2483,53.5533,1756.8,234.3854,31.251868952447335,-5568.18180516695,-1.6814524439001743,-6.0889488005431724,664.3316018001286,0.8336606216161011,-0.020396190183102552,55.71850447111842,1.5168456967122852,0.012372286602421942,26.989923223894518,1.4590412136915576,0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.39937888280576,55.25890597162086,0.0,0.0,0.0008889809166383423,-0.0011098112727022397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,14:58:00.000000000,27.645,53.5867,54.065,82.315,338.2483,53.5867,1757.1,234.5733,,,,-6.406471444643216,681.5499633626625,1.1398680860378008,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.4593461683827,55.284202200060406,0.0,0.0,0.00013804643489858572,-0.0004577764976479088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,14:59:00.000000000,27.6475,53.63,54.045,82.34,338.205,53.63,1757.95,234.53,30.406084118311554,-5373.188908267609,-1.6179272203038506,-6.6694879543958985,695.889638994252,1.3916434254682304,-0.01980675195084215,55.67588795563235,1.5004241790903252,0.013361812893288262,26.93090597453295,1.4476994859641317,0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.49378818830724,55.26457248560985,0.0,0.0,0.00007927558752802595,0.0003550691457846131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:00:00.000000000,27.6575,53.6733,54.065,82.42,337.9467,53.6733,1755.955,234.5467,,,,-6.872152846558808,706.7978213792048,1.5788441270808808,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.31323020823186,55.28575739936802,0.0,0.0,-0.0004155594049531607,-0.00038333624608591365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:01:00.000000000,27.6575,53.6933,54.0699,82.41,337.9467,53.6933,1756.505,234.3167,29.491523221915397,-5153.851399332583,-1.5474435626994232,-7.023802049698296,715.0778105950656,1.7162693887552127,-0.01910354267033595,55.64422295146238,1.4874395180955018,0.014100435833973538,26.90040106863571,1.441402511178862,0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.3491387624695,55.29050928514825,0.0,0.0,0.00008267893248485273,-0.00008595135535354787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:02:00.000000000,27.655,53.7133,54.095,82.47,338.4833,53.7133,1758.12,234.08,,,,-7.15688829577677,722.9033880975463,1.8431630985319611,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.92164731670715,55.31649797046689,0.0,0.0,0.0013180837790280832,-0.0004700388123504824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:03:00.000000000,27.64,53.6733,54.1,82.45,338.2967,53.6733,1758.325,234.08,28.507755185596576,-4914.770333844447,-1.4714047211723091,-7.307197729507843,730.4981158951932,1.9633641643906137,-0.018217201360787888,55.60200825219696,1.4711728127990364,0.01480006867824456,26.845631473811977,1.4308358693797527,0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.6632302082318,55.32120174202734,0.0,0.0,-0.0005941693407758807,-0.00008503379159977974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:04:00.000000000,27.665,53.74,54.07,82.39,338.005,53.74,1755.19,233.7367,,,,-7.39878505049717,735.615708613718,2.0373255529323986,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.49128523661443,55.290313056708705,0.0,0.0,-0.0003955820498895659,0.0005583516689076279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:05:00.000000000,27.655,53.7333,54.025,82.255,337.88,53.7333,1755.4425,233.44,27.323142425445997,-4622.871867796113,-1.3798403505930577,-7.519373344934479,741.9207437553678,2.1301694683528396,-0.0178500520740219,55.49325603334867,1.4341242761208894,0.015493184930989006,26.822500046147688,1.4257810552550485,0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.3542558709448,55.24331351474177,0.0,0.0,-0.00031537885873817167,0.0008500502053357498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
2021-08-06,15:06:00.000000000,27.685,53.6967,54.015,82.27,338.035,53.6967,1759.98,233.3067,,,,-7.600433204157177,746.1531816336667,2.184564235990752,,,,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.7954277118834099,-0.014811421977287366,0.0,0.0,434.44354321668993,55.233535686071434,0.0,0.0,0.00020556341865713183,0.00017699569501254038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298067544196017,1.0298067544196017,0.0
