date,time,PRICE_BIIB_BIIB_ON_SIRI,PRICE_SIRI_BIIB_ON_SIRI,PRICE_JD_JD_ON_TMUS,PRICE_TMUS_JD_ON_TMUS,BETA_JD_ON_TMUS,SPREAD_JD_ON_TMUS,Z_JD_ON_TMUS,BETA_BIIB_ON_SIRI,SPREAD_BIIB_ON_SIRI,Z_BIIB_ON_SIRI,market_close,SIGNAL_JD_ON_TMUS,SIGNAL_BIIB_ON_SIRI,POS_JD_ON_TMUS,POS_BIIB_ON_SIRI,POS_BETA_JD_ON_TMUS,POS_BETA_BIIB_ON_SIRI,PAIR_BASE_JD_ON_TMUS,PAIR_BASE_BIIB_ON_SIRI,PAIR_RET_JD_ON_TMUS,PAIR_RET_BIIB_ON_SIRI,SL_JD_ON_TMUS,SL_BIIB_ON_SIRI,LOSS_JD_ON_TMUS,LOSS_BIIB_ON_SIRI,COOLDOWN_JD_ON_TMUS,COOLDOWN_BIIB_ON_SIRI,CAPITAL_JD_ON_TMUS,CAPITAL_BIIB_ON_SIRI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-05-25,19:49:00.000000000,273.9,59.85,72.93,137.02,-0.3535259738587859,121.37012893813086,0.3530850056968615,-2.0979258576913637,399.4608625828281,0.47991222112726406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:50:00.000000000,273.61,59.55,72.92,137.16,-0.3506111860635099,121.00983028047102,0.3445942104447966,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:51:00.000000000,273.26,59.55,72.905,137.09,-0.347768110780758,120.58053030693412,0.3348147826195521,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:52:00.000000000,273.46,59.65,72.95,137.21,-0.34464207045432227,120.23833848703757,0.32648034302377066,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:53:00.000000000,273.435,59.75,72.92,137.12,-0.3414288037782708,119.7367175740765,0.3152317865302629,-2.0276260678134874,394.5856575518559,0.4476982224399378,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:54:00.000000000,273.22,59.65,72.945,136.96,-0.3379526110617596,119.2309896110186,0.30379367645521166,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:55:00.000000000,273.34,59.55,72.87,136.89,-0.33307346601360616,118.46442676260256,0.28753388289951465,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:56:00.000000000,273.325,59.7,72.805,136.83,-0.3275147781755934,117.61884709776646,0.269655483022358,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:57:00.000000000,273.4,59.65,72.84,136.93,-0.32217097698396313,116.95487187841408,0.2548848154904862,-1.9493270669731506,389.6773595449484,0.41510463049343943,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-25,19:58:00.000000000,273.56,59.85,72.825,136.91,-0.31744761029873275,116.2867523259995,0.2398625702555503,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
