date,time,PRICE_QCOM_QCOM_ON_FOXA,PRICE_FOXA_QCOM_ON_FOXA,PRICE_CMCSA_CMCSA_ON_FOX,PRICE_FOX_CMCSA_ON_FOX,PRICE_QCOM_QCOM_ON_FOX,PRICE_FOX_QCOM_ON_FOX,PRICE_SBUX_SBUX_ON_FOXA,PRICE_FOXA_SBUX_ON_FOXA,BETA_SBUX_ON_FOXA,SPREAD_SBUX_ON_FOXA,Z_SBUX_ON_FOXA,BETA_QCOM_ON_FOX,SPREAD_QCOM_ON_FOX,Z_QCOM_ON_FOX,BETA_CMCSA_ON_FOX,SPREAD_CMCSA_ON_FOX,Z_CMCSA_ON_FOX,BETA_QCOM_ON_FOXA,SPREAD_QCOM_ON_FOXA,Z_QCOM_ON_FOXA,market_close,SIGNAL_SBUX_ON_FOXA,SIGNAL_QCOM_ON_FOX,SIGNAL_CMCSA_ON_FOX,SIGNAL_QCOM_ON_FOXA,POS_SBUX_ON_FOXA,POS_QCOM_ON_FOX,POS_CMCSA_ON_FOX,POS_QCOM_ON_FOXA,POS_BETA_SBUX_ON_FOXA,POS_BETA_QCOM_ON_FOX,POS_BETA_CMCSA_ON_FOX,POS_BETA_QCOM_ON_FOXA,PAIR_BASE_SBUX_ON_FOXA,PAIR_BASE_QCOM_ON_FOX,PAIR_BASE_CMCSA_ON_FOX,PAIR_BASE_QCOM_ON_FOXA,PAIR_RET_SBUX_ON_FOXA,PAIR_RET_QCOM_ON_FOX,PAIR_RET_CMCSA_ON_FOX,PAIR_RET_QCOM_ON_FOXA,SL_SBUX_ON_FOXA,SL_QCOM_ON_FOX,SL_CMCSA_ON_FOX,SL_QCOM_ON_FOXA,LOSS_SBUX_ON_FOXA,LOSS_QCOM_ON_FOX,LOSS_CMCSA_ON_FOX,LOSS_QCOM_ON_FOXA,COOLDOWN_SBUX_ON_FOXA,COOLDOWN_QCOM_ON_FOX,COOLDOWN_CMCSA_ON_FOX,COOLDOWN_QCOM_ON_FOXA,CAPITAL_SBUX_ON_FOXA,CAPITAL_QCOM_ON_FOX,CAPITAL_CMCSA_ON_FOX,CAPITAL_QCOM_ON_FOXA,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-10-11,15:43:00.000000000,126.575,42.4101,53.48,39.22,126.575,39.22,112.45,42.4101,0.15391258778337316,105.92255176084836,0.6871367132992828,1.2870192203141342,76.09810617927965,-0.24600787787236328,,,,-0.49822355876847435,147.7047109497269,1.975531868499205,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.54737065831408,0.0,0.0,0.0,0.00020390859981488723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:44:00.000000000,126.5312,42.42,53.4861,39.23,126.5312,39.23,112.4,42.42,,,,1.2897575869273805,75.93400986483886,-0.2481879449477928,-0.615602336660605,77.63617966719553,1.7034025958705168,,,,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.55858727500411,0.0,0.0,0.0,-0.0001525087381049316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:45:00.000000000,126.47,42.44,53.465,39.25,126.47,39.25,112.365,42.44,0.11894431476026948,107.31700328157416,0.7157350878333064,1.2851958207928142,76.02606403388204,-0.24744142258023666,,,,-0.5332962864178419,149.1030943955732,1.9982484615830132,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.54772050838419,0.0,0.0,0.0,0.00014772940893087707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:46:00.000000000,126.43,42.43,53.51,39.25,126.43,39.25,112.33,42.43,,,,1.278721455282115,76.240182880177,-0.2453042988335638,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.59272050838419,0.0,0.0,0.0,-0.0006118476505994752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:47:00.000000000,126.385,42.43,53.5,39.25,126.385,39.25,112.335,42.43,0.08109158349898274,108.89428411213815,0.7482511442957095,1.2690479490552418,76.57486799958176,-0.24179111424600114,-0.6263590609867146,78.08459314372854,1.7244174117213777,-0.5644062969809189,150.33275918090038,2.016870171478977,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.58272050838418,0.0,0.0,0.0,0.00013588300488043308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:48:00.000000000,126.37,42.43,53.484,39.23,126.37,39.23,112.255,42.43,,,,1.268954768601033,76.58890442778149,-0.2419482933294107,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.55648727500412,0.0,0.0,0.0,0.0003565135020670985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:49:00.000000000,126.3843,42.425,53.47,39.23,126.3843,39.23,112.21,42.425,0.029041659197284058,110.97790760855521,0.791830606702078,1.269975056831559,76.56317852049793,-0.24255940616942398,,,,-0.5942723476143577,151.5963043475391,2.0358088420001454,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.5424872750041,0.0,0.0,0.0,0.00019032991539778802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:50:00.000000000,126.37,42.445,53.445,39.24,126.37,39.24,112.19,42.445,,,,1.268092598669552,76.61004642820679,-0.24233982774835783,-0.6370867818990164,78.4442853217174,1.7408574778357526,,,,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.52260389169415,0.0,0.0,0.0,0.00027036593466859676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:51:00.000000000,126.35,42.43,53.45,39.245,126.35,39.245,112.21,42.43,-0.027818024528754228,113.39031878075504,0.842471510171951,1.2600148242426268,76.9007182225981,-0.23933153079030642,,,,-0.6207854215766097,152.68992543749553,2.05066862779834,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.53016220003917,0.0,0.0,0.0,-0.00010280251167599531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:52:00.000000000,126.34,42.44,53.4,39.26,126.34,39.26,112.265,42.44,,,,1.2451804050627207,77.45421729723759,-0.23331792185888878,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.48783712507421,0.0,0.0,0.0,0.0005756151448410841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:53:00.000000000,126.32,42.44,53.41,39.25,126.32,39.25,112.26,42.44,-0.08063000494517839,115.68193740987337,0.8901726050793349,1.2340404878279592,77.88391085275259,-0.22872471136569103,-0.647398435721985,78.8203886020879,1.758027968047077,-0.6455661601189865,153.71782783544978,2.063761467588464,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.49272050838418,0.0,0.0,0.0,-0.00006645158574557217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:54:00.000000000,126.4,42.44,53.4164,39.27,126.4,39.27,112.26,42.44,,,,1.2106903165339027,78.85619126971363,-0.21792095560413519,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.50935374176426,0.0,0.0,0.0,-0.00022632491034508878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:55:00.000000000,126.36,42.45,53.35,39.27,126.36,39.27,112.2335,42.45,-0.12903867473689254,117.7111917425811,0.931807904491429,1.184845604461868,79.83111311278245,-0.20709359031808242,,,,-0.6660554903436563,154.6340555650882,2.07413739698006,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.44295374176426,0.0,0.0,0.0,0.0009032864066967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:56:00.000000000,126.4201,42.44,53.3556,39.27,126.4201,39.27,112.23,42.44,,,,1.1634976328357831,80.7295479585388,-0.19715098970730924,-0.6588912310546904,79.2302586435177,1.776789604150282,,,,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.44855374176426,0.0,0.0,0.0,-0.00007624965656598652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:57:00.000000000,126.42,42.45,53.345,39.27,126.42,39.27,112.28,42.45,-0.18245261601230472,120.02511354972233,0.9794808910092082,1.142757464483616,81.5439143697284,-0.18817697199790112,,,,-0.6866953663348168,155.57021830091298,2.084644207465384,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.43795374176426,0.0,0.0,0.0,0.00014431870281972958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:58:00.000000000,126.435,42.44,53.34,39.27,126.435,39.27,112.2971,42.44,,,,1.1227908466994165,82.34300345011391,-0.17938371022766084,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.43295374176427,0.0,0.0,0.0,0.00006808468571411115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,15:59:00.000000000,126.38,42.43,53.32,39.27,126.38,39.27,112.27,42.43,-0.2445212345109861,122.64503598030113,1.0335968668217075,1.1007042412472396,83.1553444462209,-0.17044649115619806,-0.6713438341925201,79.68367236874026,1.7976322460873149,-0.7065348793067858,156.35827492898693,2.091702131131778,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.41295374176426,0.0,0.0,0.0,0.00027235728621706565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,16:00:00.000000000,126.345,42.47,53.315,39.28,126.345,39.28,112.3,42.47,,,,1.0728697825537303,84.20267494128947,-0.15882583144796436,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.41307035845429,0.0,0.0,0.0,-1.5885029016317936e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,16:01:00.000000000,126.31,42.455,53.26,39.28,126.31,39.28,112.25,42.455,-0.2819424495193815,124.21986669434534,1.0643353827251412,1.0442362674671135,85.29239941389179,-0.1467295948495614,,,,-0.727691392446809,157.20413806632928,2.099709002039618,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.35807035845428,0.0,0.0,0.0,0.0007491853934382271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,16:02:00.000000000,126.25,42.42,53.19,39.22,126.25,39.22,112.21,42.42,,,,1.0390409790979618,85.49881279977794,-0.14476374806915365,-0.6843499155679017,80.0302036885731,1.813004461578049,,,,0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.25737065831407,0.0,0.0,0.0,0.0013727146808545506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
2021-10-11,16:03:00.000000000,126.22,42.415,53.205,39.22,126.22,39.22,112.22,42.415,-0.3239829728712323,125.96173779433332,1.098530087761685,1.0338081996193604,85.67404241092868,-0.14315663169228626,,,,-0.7454819848986416,157.83961838947587,2.1030233573888304,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5116616690034187,0.0,0.0,0.0,73.27237065831407,0.0,0.0,0.0,-0.0002047575536114085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9661468175643939,0.9661468175643939,0.0
