date,time,PRICE_BKNG_BKNG_ON_EA,PRICE_EA_BKNG_ON_EA,PRICE_ORLY_ORLY_ON_VRTX,PRICE_VRTX_ORLY_ON_VRTX,PRICE_ATVI_ATVI_ON_MSFT,PRICE_MSFT_ATVI_ON_MSFT,PRICE_DXCM_DXCM_ON_ORLY,PRICE_ORLY_DXCM_ON_ORLY,BETA_DXCM_ON_ORLY,SPREAD_DXCM_ON_ORLY,Z_DXCM_ON_ORLY,BETA_ATVI_ON_MSFT,SPREAD_ATVI_ON_MSFT,Z_ATVI_ON_MSFT,BETA_ORLY_ON_VRTX,SPREAD_ORLY_ON_VRTX,Z_ORLY_ON_VRTX,BETA_BKNG_ON_EA,SPREAD_BKNG_ON_EA,Z_BKNG_ON_EA,market_close,SIGNAL_DXCM_ON_ORLY,SIGNAL_ATVI_ON_MSFT,SIGNAL_ORLY_ON_VRTX,SIGNAL_BKNG_ON_EA,POS_DXCM_ON_ORLY,POS_ATVI_ON_MSFT,POS_ORLY_ON_VRTX,POS_BKNG_ON_EA,POS_BETA_DXCM_ON_ORLY,POS_BETA_ATVI_ON_MSFT,POS_BETA_ORLY_ON_VRTX,POS_BETA_BKNG_ON_EA,PAIR_BASE_DXCM_ON_ORLY,PAIR_BASE_ATVI_ON_MSFT,PAIR_BASE_ORLY_ON_VRTX,PAIR_BASE_BKNG_ON_EA,PAIR_RET_DXCM_ON_ORLY,PAIR_RET_ATVI_ON_MSFT,PAIR_RET_ORLY_ON_VRTX,PAIR_RET_BKNG_ON_EA,SL_DXCM_ON_ORLY,SL_ATVI_ON_MSFT,SL_ORLY_ON_VRTX,SL_BKNG_ON_EA,LOSS_DXCM_ON_ORLY,LOSS_ATVI_ON_MSFT,LOSS_ORLY_ON_VRTX,LOSS_BKNG_ON_EA,COOLDOWN_DXCM_ON_ORLY,COOLDOWN_ATVI_ON_MSFT,COOLDOWN_ORLY_ON_VRTX,COOLDOWN_BKNG_ON_EA,CAPITAL_DXCM_ON_ORLY,CAPITAL_ATVI_ON_MSFT,CAPITAL_ORLY_ON_VRTX,CAPITAL_BKNG_ON_EA,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-12-08,14:29:00.000000000,1957.0043,127.37,828.79,318.13,75.5,245.0,123.99,828.79,0.020111590186041178,107.32171516971093,3.5122539554981436,-0.02363558343453935,81.29071794146213,2.4237464463135696,-1.0828506665136104,1173.2772825379748,2.4606826691215398,15.48147684258886,-14.871405440543185,-0.869668792567704,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.65828483028906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8105337497450901,0.0,0.0,0.0,0.2026334374362725,1.0131671871813626,0.0
2022-12-08,14:30:00.000000000,1960.8,126.76,833.27,318.0,75.34,244.9,122.255,833.27,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,139.01338475432252,0.0,0.0,0.0,0.01297541716960033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8210507632780731,0.0,0.0,0.0,0.2026334374362725,1.0236842007143456,0.01038033373568035
2022-12-08,14:31:00.000000000,1963.06,126.26,831.65,318.0,75.21,244.739,122.1325,831.65,,,,,,,-1.0738590413605031,1173.1371751526399,2.424355652398326,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,138.85830397822113,0.0,0.0,0.0,0.0006468386051999116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8215818506085902,0.0,0.0,0.0,0.2026334374362725,1.0242152880448627,0.0005187999679456778
2022-12-08,14:32:00.000000000,1968.24,126.35,831.65,317.62,75.03,243.69,122.1215,831.65,0.01973867890317949,105.70582769017078,2.7761326536800595,-0.024396175228136592,80.97510394134461,2.35872904406955,,,,15.492524990723789,10.759467422049283,-0.8473754353031163,0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,138.84730397822113,0.0,0.0,0.0,0.00007921744458092291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8216469342233096,0.0,0.0,0.0,0.2026334374362725,1.024280371659582,0.00006354485768669909
2022-12-08,14:33:00.000000000,1965.0,126.3,831.65,318.5,75.0,244.095,120.9,831.65,,,,,,,-1.0570127189421834,1168.3085509830853,2.3760159766033224,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.62580397822114,0.0,0.0,0.0,0.008797434051665777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8288753189408926,0.0,0.0,0.0,0.2026334374362725,1.031508756377165,0.007057037230803497
2022-12-08,14:34:00.000000000,1955.56,126.08,831.65,318.545,74.93,243.84,120.66,831.65,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.38580397822113,0.0,0.0,0.0,0.0017438590225274059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.830320760644378,0.0,0.0,0.0,0.2026334374362725,1.0329541980806505,0.0014012888349703614
2022-12-08,14:35:00.000000000,1950.14,125.605,835.5919,317.67,74.8,243.9,119.62,835.5919,0.019689163312743094,103.1678946180947,1.8459404963250086,-0.02518522562092217,80.94267652894291,2.3272463549962925,-1.029399702777619,1162.6013035813662,2.3268666877128488,15.515072149806825,1.36936262351378,-0.8535126049109687,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,136.4250818555755,0.0,0.0,0.0,0.008146968936701754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370853580888463,0.0,0.0,0.0,0.2026334374362725,1.0397187955251188,0.006548787407067754
2022-12-08,14:36:00.000000000,1953.66,125.645,834.68,317.22,74.715,244.0,120.06,834.68,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,136.84674209648486,0.0,0.0,0.0,-0.0033596443766540198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342730489727637,0.0,0.0,0.0,0.2026334374362725,1.0369064864090363,-0.0027048747490057297
2022-12-08,14:37:00.000000000,1960.63,125.805,833.58,317.42,74.5126,243.955,120.345,833.58,,,,,,,-1.0126452914346773,1155.0138684071953,2.2740946197713234,,,,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.10961934728022,0.0,0.0,0.0,-0.0022442825053746074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033596443766540363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8324007045642486,0.0,0.0,0.0,0.2026334374362725,1.0350341420005211,-0.0018057022817933638
2022-12-08,14:38:00.000000000,1959.23,125.77,834.25,317.575,74.61,243.95,120.56,834.25,0.019525691174264555,104.2706921378698,2.148181156770418,-0.02583780975018569,80.91313368855779,2.29701556131571,,,,15.529386854393195,6.099015322967944,-0.8481684558580155,0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.020111590186041178,0.0,0.0,0.0,137.33809411270485,0.0,0.0,0.0,-0.0014698110572746931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005596386890929783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311772328045969,0.0,0.0,0.0,0.2026334374362725,1.0338106702408694,-0.0011820593253929067
