date,time,PRICE_ALGN_ALGN_ON_IDXX,PRICE_IDXX_ALGN_ON_IDXX,PRICE_ABNB_ABNB_ON_EBAY,PRICE_EBAY_ABNB_ON_EBAY,PRICE_EBAY_EBAY_ON_SPLK,PRICE_SPLK_EBAY_ON_SPLK,PRICE_CSCO_CSCO_ON_WDAY,PRICE_WDAY_CSCO_ON_WDAY,BETA_CSCO_ON_WDAY,SPREAD_CSCO_ON_WDAY,Z_CSCO_ON_WDAY,BETA_EBAY_ON_SPLK,SPREAD_EBAY_ON_SPLK,Z_EBAY_ON_SPLK,BETA_ABNB_ON_EBAY,SPREAD_ABNB_ON_EBAY,Z_ABNB_ON_EBAY,BETA_ALGN_ON_IDXX,SPREAD_ALGN_ON_IDXX,Z_ALGN_ON_IDXX,market_close,SIGNAL_CSCO_ON_WDAY,SIGNAL_EBAY_ON_SPLK,SIGNAL_ABNB_ON_EBAY,SIGNAL_ALGN_ON_IDXX,POS_CSCO_ON_WDAY,POS_EBAY_ON_SPLK,POS_ABNB_ON_EBAY,POS_ALGN_ON_IDXX,POS_BETA_CSCO_ON_WDAY,POS_BETA_EBAY_ON_SPLK,POS_BETA_ABNB_ON_EBAY,POS_BETA_ALGN_ON_IDXX,PAIR_BASE_CSCO_ON_WDAY,PAIR_BASE_EBAY_ON_SPLK,PAIR_BASE_ABNB_ON_EBAY,PAIR_BASE_ALGN_ON_IDXX,PAIR_RET_CSCO_ON_WDAY,PAIR_RET_EBAY_ON_SPLK,PAIR_RET_ABNB_ON_EBAY,PAIR_RET_ALGN_ON_IDXX,SL_CSCO_ON_WDAY,SL_EBAY_ON_SPLK,SL_ABNB_ON_EBAY,SL_ALGN_ON_IDXX,LOSS_CSCO_ON_WDAY,LOSS_EBAY_ON_SPLK,LOSS_ABNB_ON_EBAY,LOSS_ALGN_ON_IDXX,COOLDOWN_CSCO_ON_WDAY,COOLDOWN_EBAY_ON_SPLK,COOLDOWN_ABNB_ON_EBAY,COOLDOWN_ALGN_ON_IDXX,CAPITAL_CSCO_ON_WDAY,CAPITAL_EBAY_ON_SPLK,CAPITAL_ABNB_ON_EBAY,CAPITAL_ALGN_ON_IDXX,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-09-15,14:22:00.000000000,258.87,362.19,128.255,43.525,43.525,96.39,43.5882,158.93,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.89138927500892,486.8683355142206,0.0,0.0,0.0016243454144841602,0.00017716623825842195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:23:00.000000000,258.41,362.19,128.64,43.53,43.53,96.43,43.63,159.03,0.2337711800922062,6.453369229936449,-1.0632415032603613,0.018127214680420552,41.78199268836705,2.483791956042782,,,,0.7839767831502087,-25.538551089174064,-1.789857845109203,0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,142.27795577578718,486.4083355142206,0.0,0.0,-0.0027023028048484173,0.0009448139598442703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:24:00.000000000,258.87,362.19,128.48,43.495,43.495,96.27,43.6245,159.14,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,142.10699027033917,486.8683355142206,0.0,0.0,0.0010474883037174768,-0.000945707477470914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:25:00.000000000,258.74,361.99,128.39,43.43,43.43,96.3513,43.64,159.14,0.23369041389214038,6.450507533204785,-1.0613882155388965,,,,0.17873388428573167,120.62758740547066,1.6903095560279207,0.7949924333922808,-29.03931096367171,-2.029796929820736,0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.9966257602214,486.61243566302966,0.0,0.0,0.0004900215657918928,8.421473548371839e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:26:00.000000000,258.395,361.42,128.295,43.45,43.45,96.31,43.59,158.73,,,,0.018193489949855302,41.69778498292944,2.437843811133911,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.90789176333456,485.9086210871355,0.0,0.0,0.0007131578132296828,-0.000028389278369537462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:27:00.000000000,257.37,359.42,127.86,43.37,43.37,95.955,43.57,158.5,0.23358389319808967,6.54695292810279,-1.049612724256685,,,,,,,0.8045018199674855,-31.784044132713632,-2.209562861285447,0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.44782775088194,483.62462257522617,0.0,0.0,0.0028887469361536518,-0.0004815689653454427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:28:00.000000000,257.16,358.42,127.9084,43.35,43.35,95.85,43.53,158.46,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.48996174776877,482.7851233192715,0.0,0.0,-0.0003864746739655344,-0.0008674067373181329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:29:00.000000000,256.9,356.68,127.605,43.25,43.25,95.85,43.53,158.195,0.23347115575591537,6.596030515192972,-1.0425856117915886,0.018243866236063437,41.50132542127332,2.3478484346388493,0.17040104497901046,120.2351548046578,1.6740451538080785,0.8134762574380987,-33.25071150302108,-2.294282570213428,0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.155231732203,481.42979461391036,0.0,0.0,0.0019228924870247986,-0.0017302287601945255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:30:00.000000000,257.26,356.915,127.6142,43.32,43.32,95.93,43.5884,158.39,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,141.18636274309904,481.93772693905976,0.0,0.0,0.00009019156243673811,-0.00044049553480737314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
2022-09-15,14:31:00.000000000,257.22,355.88,127.25,43.3101,43.3101,95.72,43.575,158.0701,0.23329932652788155,6.697352125805118,-1.0303398851895538,,,,,,,0.8222444859938698,-35.40036767549833,-2.423382064083838,0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.3133001556578728,0.6294992559546663,0.0,0.0,140.81906107155802,481.24619520914666,0.0,0.0,0.00255760061696641,-0.001268901967474454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972802839214276,0.9972802839214276,0.0
